>>swe<< Go.	Gå.
>>swe<< I'll leave tonight.	Jag far i kväll.
>>swe<< I'll miss you guys.	Jag kommer att sakna er alla.
>>swe<< I'll read the book.	Jag skall läsa boken.
>>swe<< I'll read the book.	Jag ska läsa boken.
>>swe<< I'll set the table.	Jag dukar.
>>swe<< I'll vouch for Tom.	Jag kan gå i god för Tom.
>>swe<< I'm a good citizen.	Jag är en god medborgare.
>>swe<< I'm a little crazy.	Jag är lite galen.
>>swe<< I'm a little early.	Jag är lite tidig.
>>swe<< I'm a little shaky.	Jag är lite skakig.
>>swe<< I'm a photographer.	Jag är fotograf.
>>swe<< I'm a very old man.	Jag är en väldigt gammal man.
>>swe<< I'm about to leave.	Jag ska strax gå.
>>swe<< I'm afraid of dogs.	Jag är rädd för hundar.
>>swe<< I'm an old man now.	Jag är en gammal man nu.
>>swe<< I'm angry with you.	Jag är arg på dig.
>>swe<< I'm as tall as you.	Jag är lika lång som du.
>>swe<< I'm double-jointed.	Jag är lealös.
>>swe<< I'm double-jointed.	Jag är mjuk i lederna som en akrobat.
>>swe<< I'm drinking water.	Jag dricker vatten.
>>swe<< I'm engaged to her.	Jag är förlovad med henne.
>>swe<< I'm feeling hungry.	Jag känner mig hungrig.
>>swe<< I'm fine with that.	Det är ok för mig.
>>swe<< I'm getting better.	Jag håller på att bli bättre.
>>swe<< I'm getting hungry.	Jag börjar bli hungrig.
>>swe<< I'm glad I met you.	Jag är glad att jag har träffat dig.
>>swe<< I'm glad Tom is OK.	Jag är glad att Tom är okej.
>>swe<< I'm glad it worked.	Jag är glad att det fungerade.
>>swe<< I'm glad we talked.	Jag är glad att vi pratades vid.
>>swe<< I'm glad we waited.	Jag är glad att vi väntade.
>>swe<< I'm going on a run.	Jag ska ta en joggingrunda.
>>swe<< I'm going to be OK.	Jag klarar mig.
>>swe<< I'm going to do it.	Jag ska göra det.
>>swe<< I'm going to study.	Jag kommer att studera.
>>swe<< I'm going to study.	Jag ska studera.
>>swe<< I'm going with Tom.	Jag följer med Tom.
>>swe<< I'm good at my job.	Jag är bra på mitt jobb.
>>swe<< I'm happy to do it.	Jag gör det gärna.
>>swe<< I'm happy to do it.	Jag gör det gladeligen.
>>swe<< I'm here on my own.	Jag är här ensam.
>>swe<< I'm here on my own.	Jag är här på egen hand.
>>swe<< I'm losing my mind.	Jag håller på att bli galen.
>>swe<< I'm making cookies.	Jag bakar kakor.
>>swe<< I'm not a feminist.	Jag är inte feminist.
>>swe<< I'm not dead, am I?	Jag är inte död, eller hur?
>>swe<< I'm not dead, am I?	Jag är ju inte död, eller hur?
>>swe<< I'm not good at it.	Jag är inte bra på det.
>>swe<< I'm not happy here.	Jag är inte lycklig här.
>>swe<< I'm not in a hurry.	Jag har inte bråttom.
>>swe<< I'm not interested.	Jag är inte intresserad.
>>swe<< I'm not mad at you.	Jag är inte arg på dig.
>>swe<< I'm not used to it.	Jag är inte van vid det.
>>swe<< I'm off to the gym.	Jag sticker till gymmet.
>>swe<< I'm out of control.	Jag är utom kontroll.
>>swe<< I'm out of control.	Jag har tappat kontrollen.
>>swe<< I'm poor at tennis.	Jag är dålig på tennis.
>>swe<< I'm really careful.	Jag är verkligen försiktig.
>>swe<< I'm really careful.	Jag är verkligen noggrann.
>>swe<< I'm seeking asylum.	Jag söker asyl.
>>swe<< I'm sick of school.	Jag är led på skolan.
>>swe<< I'm sick of school.	Jag är less på skolan.
>>swe<< I'm sick of school.	Jag är utled på skolan.
>>swe<< I'm so embarrassed.	Jag är så generad.
>>swe<< I'm super confused.	Jag är jätteförvirrad.
>>swe<< I'm taking off now.	Jag ger mig av nu.
>>swe<< I'm twice your age.	Jag är dubbelt så gammal som du.
>>swe<< I'm very dangerous.	Jag är mycket farlig.
>>swe<< I'm very dangerous.	Jag är väldigt farlig.
>>swe<< I'm very fortunate.	Jag har väldigt tur.
>>swe<< I'm your only hope.	Jag är ditt enda hopp.
>>swe<< I've found a buyer.	Jag har hittat en köpare.
>>swe<< I've got a witness.	Jag har ett vittne.
>>swe<< I've got good news.	Jag har goda nyheter.
>>swe<< I've got the blues.	Jag är lite låg.
>>swe<< I've got the blues.	Jag är deppig.
>>swe<< I've got the money.	Jag har pengarna.
>>swe<< I've got to go now.	Jag måste bege mig nu.
>>swe<< I've gotten better.	Jag har blivit bättre.
>>swe<< I've gotten better.	Jag mår bättre.
>>swe<< I, too, like candy.	Jag tycker också om godis.
>>swe<< I, too, like candy.	Också jag tycker om godis.
>>swe<< Is Tom a Christian?	Är Tom kristen?
>>swe<< Is Tom coming, too?	Kommer Tom också?
>>swe<< Is Tom feeling bad?	Mår Tom dåligt?
>>swe<< Is Tom one of them?	Är Tom en av dem?
>>swe<< Is anybody in here?	Är det någon här inne?
>>swe<< Is it satisfactory?	Är det tillräckligt?
>>swe<< Is that deliberate?	Är det avsiktligt?
>>swe<< Is the coast clear?	Är kusten klar?
>>swe<< Is the door closed?	Är dörren stängd?
>>swe<< Is this seat taken?	Är den här platsen upptagen?
>>swe<< Is this your money?	Är detta dina pengar?
>>swe<< Is today a bad day?	Är idag en dålig dag?
>>swe<< Isn't Tom with you?	Är inte Tom med dig?
>>swe<< Isn't Tom with you?	Är inte Tom med er?
>>swe<< It can be adjusted.	Den kan justeras.
>>swe<< It has to be there.	Den måste vara där.
>>swe<< It hurt to breathe.	Det gjorde ont att andas.
>>swe<< It is Monday today.	Det är måndag i dag.
>>swe<< It is a black hole.	Det är ett svart hål.
>>swe<< It is almost three.	Klockan är nästan tre.
>>swe<< It isn't that easy.	Det är inte så enkelt.
>>swe<< It sometimes helps.	Ibland hjälper det.
>>swe<< It turned out well.	Det slutade bra.
>>swe<< It was a nightmare.	Det var en mardröm.
>>swe<< It was my pleasure.	Det var mitt nöje.
>>swe<< It was my pleasure.	Det var ett nöje.
>>swe<< It was only a joke.	Det var bara ett skämt.
>>swe<< It was really easy.	Det var mycket lätt.
>>swe<< It was rough today.	Det var tufft idag.
>>swe<< It wasn't upstairs.	Den var inte på ovanvåningen.
>>swe<< It wasn't upstairs.	Det var inte på ovanvåningen.
>>swe<< It'll have to wait.	Det får vänta.
>>swe<< It'll have to wait.	Det måste vänta.
>>swe<< It's a big company.	Det är ett stort företag.
>>swe<< It's a good system.	Det är ett bra system.
>>swe<< It's a kind of cat.	Det är en slags katt.
>>swe<< It's a red herring.	Det är ett villospår.
>>swe<< It's a simple plan.	Det är en enkel plan.
>>swe<< It's going to rain.	Det kommer att regna.
>>swe<< It's got to be now.	Det måste vara nu.
>>swe<< It's in the garage.	Den står i garaget.
>>swe<< It's in the garage.	Den är i garaget.
>>swe<< It's just a theory.	Det är bara en teori.
>>swe<< It's not a disease.	Det är inte en sjukdom.
>>swe<< It's not a mistake.	Det är inte ett misstag.
>>swe<< It's not a mistake.	Det är inget misstag.
>>swe<< It's not a mistake.	Det är inte något misstag.
>>swe<< It's not a problem.	Det är inget problem.
>>swe<< It's not a problem.	Det är inte ett problem.
>>swe<< It's not a problem.	Det är inte något problem.
>>swe<< It's not my choice.	Det är inte mitt val.
>>swe<< It's not so little.	Det är inte så lite.
>>swe<< It's not so little.	Det är inte så litet.
>>swe<< It's not that deep.	Det är inte så djupt.
>>swe<< It's not that easy.	Det är inte så enkelt.
>>swe<< It's not there now.	Den är inte där nu.
>>swe<< It's not there now.	Det är inte där nu.
>>swe<< It's not up to you.	Det är inte upp till dig.
>>swe<< It's not up to you.	Det är inte upp till er.
>>swe<< It's really a must.	Det är verkligen ett måste.
>>swe<< It's still raining.	Det regnar fortfarande.
>>swe<< It's the other one.	Det är den andra.
>>swe<< It's the wrong one.	Det är fel.
>>swe<< It's time for cake.	Det är dags för tårta.
>>swe<< It's too dangerous.	Det är för farligt.
>>swe<< It's very hot here.	Det är mycket varmt här.
>>swe<< Italy isn't Greece.	Italien är inte Grekland.
>>swe<< Jam comes in a jar.	Sylt fås på burk.
>>swe<< Just do what I did.	Gör bara som jag gjorde.
>>swe<< Just do what I say.	Gör bara som jag säger.
>>swe<< Just give it a try.	Gör ett försök bara.
>>swe<< Just give it to me.	Ge den till mig bara.
>>swe<< Just sit and relax.	Sitt och slappna av bara.
>>swe<< Just sit and relax.	Sitt och koppla av bara.
>>swe<< Just sit down, Tom.	Sätt dig ned bara, Tom.
>>swe<< Just sit down, Tom.	Sätt dig ner bara, Tom.
>>swe<< Just throw it away.	Släng iväg den bara.
>>swe<< Just throw it away.	Kasta den bara.
>>swe<< Just throw it away.	Släng bort den bara.
>>swe<< Keep an eye on Tom.	Håll ett öga på Tom.
>>swe<< Keep an eye on him.	Håll ett öga på honom.
>>swe<< Keep out of my way.	Ur vägen för mig.
>>swe<< Keep out of my way.	Håll dig ur min väg.
>>swe<< Keep out of my way.	Håll er ur min väg.
>>swe<< Keep your distance.	Håll avståndet.
>>swe<< Knowledge is power.	Kunskap är makt.
>>swe<< Laundry is a chore.	Att tvätta är en hushållssyssla.
>>swe<< Let me help you up.	Låt mig hjälpa dig upp.
>>swe<< Let me out of here.	Släpp ut mig härifrån.
>>swe<< Let me talk to Tom.	Låt mig prata med Tom.
>>swe<< Let me talk to Tom.	Låt mig tala med Tom.
>>swe<< Let's do it my way.	Nu gör vi det på mitt sätt.
>>swe<< Let's give it a go.	Vi ger det ett försök.
>>swe<< Let's go get lunch.	Kom så äter vi lunch.
>>swe<< Let's go home, Tom.	Kom så går vi hem, Tom.
>>swe<< Let's go home, Tom.	Kom så åker vi hem, Tom.
>>swe<< Let's go home, Tom.	Vi går hem, Tom.
>>swe<< Let's go home, Tom.	Vi åker hem, Tom.
>>swe<< Let's have a party.	Låt oss anordna en fest.
>>swe<< Let's just drop it.	Vi släpper det bara.
>>swe<< Let's just drop it.	Vi släpper den bara.
>>swe<< Let's just say yes.	Kan vi inte bara säga ja?
>>swe<< Let's just say yes.	Vi säger bara ja.
>>swe<< Let's keep looking.	Vi fortsätter leta.
>>swe<< Let's keep looking.	Vi fortsätter titta.
>>swe<< Look at that house.	Titta på det huset.
>>swe<< Look at the screen.	Titta på skärmen.
>>swe<< Look at the sharks.	Titta på hajarna.
>>swe<< Look, I have to go.	Du, jag måste gå.
>>swe<< Mary is attractive.	Mary är attraktiv.
>>swe<< Mary put makeup on.	Mary sminkade sig.
>>swe<< May I watch TV now?	Får jag titta på tv nu?
>>swe<< Maybe Tom is right.	Tom har kanske rätt.
>>swe<< Maybe it was a cat.	Kanske var det en katt.
>>swe<< Maybe they're busy.	De är kanske upptagna.
>>swe<< Move back a little.	Gå lite bakåt.
>>swe<< My arm still hurts.	Jag har fortfarande ont i armen.
>>swe<< My bags are packed.	Mina väskor är packade.
>>swe<< My bedroom is dark.	Mitt sovrum är mörkt.
>>swe<< My family is small.	Min familj är liten.
>>swe<< My hands were full.	Mina händer var fulla.
>>swe<< My hands were full.	Jag hade händerna fulla.
>>swe<< My heart is broken.	Mitt hjärta är brustet.
>>swe<< My left hand hurts.	Min vänstra hand gör ont.
>>swe<< My mailbox is full.	Min brevlåda är full.
>>swe<< My nose is too big.	Min näsa är för stor.
>>swe<< My plan is working.	Min plan fungerar.
>>swe<< My question is why.	Min fråga är varför.
>>swe<< My room faces east.	Mitt rum vetter mot öst.
>>swe<< My wife hates cats.	Min fru hatar katter.
>>swe<< Never give up hope.	Ge aldrig upp hoppet.
>>swe<< No one is immortal.	Ingen är odödlig.
>>swe<< No one is innocent.	Ingen är oskyldig.
>>swe<< No one is to leave.	Ingen får avlägsna sig.
>>swe<< No one saw a thing.	Ingen såg någonting.
>>swe<< No one was helping.	Ingen hjälpte till.
>>swe<< No one was with me.	Ingen var med mig.
>>swe<< No one's buying it.	Ingen köper det.
>>swe<< No one's buying it.	Ingen köper den.
>>swe<< No one's convinced.	Ingen är övertygad.
>>swe<< Nobody has to know.	Ingen behöver veta.
>>swe<< Nobody lives there.	Det är ingen som bor där.
>>swe<< Nobody stopped Tom.	Ingen stoppade Tom.
>>swe<< Nobody was injured.	Ingen blev skadad.
>>swe<< Nobody was injured.	Ingen kom till skada.
>>swe<< Nobody was injured.	Ingen gjorde sig illa.
>>swe<< Nothing is missing.	Inget saknas.
>>swe<< Now I want to rest.	Nu vill jag vila.
>>swe<< Now is your chance.	Nu har du din chans.
>>swe<< Now it is official.	Nu är det officiellt.
>>swe<< Now just lie still.	Ligg nu bara stilla.
>>swe<< Now just lie still.	Ligg nu bara still.
>>swe<< Now, wait a minute.	Vänta en minut nu.
>>swe<< OK, I get the idea.	Okej, jag fattar.
>>swe<< Once is not enough.	En gång räcker inte.
>>swe<< Order was restored.	Ordningen var återställd.
>>swe<< Out of my way, boy.	Ur vägen, pojk.
>>swe<< Please shake hands.	Vänligen skaka hand.
>>swe<< Pray for all of us.	Be för oss allihopa.
>>swe<< Rats breed rapidly.	Råttor förökar sig fort.
>>swe<< Real men drink tea.	Riktiga män dricker te.
>>swe<< Return immediately.	Kom genast tillbaka.
>>swe<< Return immediately.	Återvänd genast.
>>swe<< Return to the ship.	Återvänd till skeppet.
>>swe<< Save it till later.	Spara det till senare.
>>swe<< Save it till later.	Spara den till senare.
>>swe<< She bought chicken.	Hon köpte kyckling.
>>swe<< She didn't show up.	Hon dök inte upp.
>>swe<< She has seven sons.	Hon har sju söner.
>>swe<< She has sunglasses.	Hon har solglasögon.
>>swe<< She heard him sing.	Hon hörde honom sjunga.
>>swe<< She is unconscious.	Hon är medvetslös.
>>swe<< She left for Paris.	Hon åkte till Paris.
>>swe<< She lost her purse.	Hon tappade bort handväskan.
>>swe<< She loves antiques.	Hon älskar antikviteter.
>>swe<< She loves children.	Hon älskar barn.
>>swe<< She picked flowers.	Hon plockade blommor.
>>swe<< She shook her head.	Hon skakade på huvudet.
>>swe<< She speaks Chinese.	Hon talar kinesiska.
>>swe<< She speaks quickly.	Hon talar snabbt.
>>swe<< She started crying.	Hon började gråta.
>>swe<< She wants to dance.	Hon vill dansa.
>>swe<< She was born blind.	Hon föddes blind.
>>swe<< She was in a hurry.	Hon hade bråttom.
>>swe<< Should we tell Tom?	Borde vi berätta för Tom?
>>swe<< So how mad are you?	Hur arg är du då?
>>swe<< So what did you do?	Så vad gjorde du?
>>swe<< Some water, please.	Vatten, tack.
>>swe<< Some water, please.	Lite vatten, tack.
>>swe<< State your reasons.	Ange dina skäl.
>>swe<< Stay away from Tom.	Håll dig borta från Tom.
>>swe<< Stay here with Tom.	Stanna här med Tom.
>>swe<< Stones don't float.	Stenar flyter inte.
>>swe<< Stop at the corner.	Stanna vid gatuhörnet.
>>swe<< Stop being naughty.	Sluta vara stygg.
>>swe<< Stop or I'll shoot.	Stanna, annars skjuter jag.
>>swe<< Stop talking to me.	Sluta prata med mig.
>>swe<< Stop that nonsense.	Sluta upp med det där tramset.
>>swe<< Take a sip of this.	Ta en smutt av det här.
>>swe<< Take out the trash.	Ta ut soporna.
>>swe<< Take that box away!	Ta bort lådan.
>>swe<< Tell Tom I said hi.	Hälsa till Tom.
>>swe<< Tell Tom I'm ready.	Hälsa Tom att jag är färdig.
>>swe<< Tell Tom I'm ready.	Säg till Tom att jag är färdig.
>>swe<< Tell Tom I'm sorry.	Säg till Tom att jag är ledsen.
>>swe<< Tell Tom hi for me.	Säg hej till Tom från mig.
>>swe<< Tell Tom hi for me.	Hälsa till Tom från mig.
>>swe<< Tell Tom the truth.	Berätta sanningen för Tom.
>>swe<< Tell us what to do.	Säg vad vi ska göra.
>>swe<< That doll is scary.	Den där dockan är skrämmande.
>>swe<< That part was hard.	Den delen var svår.
>>swe<< That was difficult.	Det var svårt.
>>swe<< That was the point.	Det var poängen.
>>swe<< That was your idea.	Det var din idé.
>>swe<< That would be rude.	Det vore oförskämt.
>>swe<< That would be rude.	Det skulle vara oförskämt.
>>swe<< That'll have to do.	Det får duga.
>>swe<< That's all you get.	Det är allt du får.
>>swe<< That's all you get.	Det är allt ni får.
>>swe<< That's all you get.	Det där är allt du får.
>>swe<< That's all you get.	Det där är allt ni får.
>>swe<< That's an old joke.	Det där är ett gammalt skämt.
>>swe<< That's one of mine.	Det där är en av mina.
>>swe<< That's one of mine.	Den där är en av mina.
>>swe<< That's pretty wild.	Det är ganska häftigt.
>>swe<< That's the problem.	Det är problemet.
>>swe<< That's unimportant.	Det är oviktigt.
>>swe<< That's where I sit.	Det är där jag sitter.
>>swe<< The apples are big.	Äpplena är stora.
>>swe<< The barn's on fire.	Ladugården brinner.
>>swe<< The boy is jumping.	Pojken hoppar.
>>swe<< The cat's sleeping.	Katten sover.
>>swe<< The clock says two.	Klockan är två.
>>swe<< The coast is clear.	Kusten är klar.
>>swe<< The coffee is cold.	Kaffet är kallt.
>>swe<< The coffee's on me.	Jag bjuder på kaffet.
>>swe<< The crow flew away.	Kråkan flög iväg.
>>swe<< The dog is jumping.	Hunden hoppar.
>>swe<< The door is locked.	Dörren är låst.
>>swe<< The doorknob broke.	Dörrhandtaget gick sönder.
>>swe<< The fields are dry.	Åkrarna är torra.
>>swe<< The floor is dirty.	Golvet är smutsigt.
>>swe<< The fog has lifted.	Dimman har lättat.
>>swe<< The girl is lonely.	Tjejen är ensam.
>>swe<< The girl is lonely.	Flickan är ensam.
>>swe<< The ice is melting.	Isen smälter.
>>swe<< The meat is frozen.	Köttet är djupfryst.
>>swe<< The milk went sour.	Mjölken surnade.
>>swe<< The paint's drying.	Färgen torkar.
>>swe<< The plate is dirty.	Tallriken är smutsig.
>>swe<< The skirt is green.	Kjolen är grön.
>>swe<< The spider is dead.	Spindeln är död.
>>swe<< The summer is over.	Sommaren är över.
>>swe<< The telephone rang.	Telefonen ringde.
>>swe<< The water is clean.	Vattnet är rent.
>>swe<< The waves are high.	Vågorna är höga.
>>swe<< The window is open.	Fönstret är öppet.
>>swe<< There's a bus here.	Det finns en buss här.
>>swe<< There's a bus here.	Det är en buss här.
>>swe<< There's a gas leak.	Det är en gasläcka.
>>swe<< These are my pants.	Det här är mina byxor.
>>swe<< They are all happy.	De ser alla lyckliga ut.
>>swe<< They are all happy.	De ser alla glada ut.
>>swe<< They can't stop us.	De kan inte stoppa oss.
>>swe<< They eat chocolate.	De äter choklad.
>>swe<< They found nothing.	De hittade ingenting.
>>swe<< They got a big one.	De fick en stor en.
>>swe<< They had a meeting.	De hade ett möte.
>>swe<< They like to dance.	De tycker om att dansa.
>>swe<< They look confused.	De ser förvirrade ut.
>>swe<< They look familiar.	De ser bekanta ut.
>>swe<< They look so happy.	De ser så lyckliga ut.
>>swe<< They look so happy.	De ser så glada ut.
>>swe<< They never give up.	De ger aldrig upp.
>>swe<< They seem so happy.	De verkar så lyckliga.
>>swe<< They seem so happy.	De verkar så glada.
>>swe<< They want to fight.	De vill slåss.
>>swe<< They were murdered.	De blev mördade.
>>swe<< They were murdered.	De mördades.
>>swe<< They were swimming.	De simmade.
>>swe<< They won't find it.	De kommer inte att hitta det.
>>swe<< They're good folks.	De är bra människor.
>>swe<< They're not afraid.	De är inte rädda.
>>swe<< They've had a talk.	De har haft ett snack.
>>swe<< This book is heavy.	Den här boken är tung.
>>swe<< This boy is my son.	Den här pojken är min son.
>>swe<< This chair is ugly.	Den här stolen är ful.
>>swe<< This corn is fresh.	Den här majsen är färsk.
>>swe<< This corn is fresh.	Denna majs är färsk.
>>swe<< This costs nothing.	Den här kostar ingenting.
>>swe<< This is a bad idea.	Det här är en dålig idé.
>>swe<< This is a bad plan.	Det här är en dålig plan.
>>swe<< This is a big help.	Det här är till stor hjälp.
>>swe<< This is a bus stop.	Det här är en busshållplats.
>>swe<< This is a good job.	Det här är ett bra jobb.
>>swe<< This is a triangle.	Det här är en triangel.
>>swe<< This is all I have.	Det här är allt jag har.
>>swe<< This is all I need.	Det här är allt jag behöver.
>>swe<< This is all I want.	Det här är allt jag vill ha.
>>swe<< This is impossible.	Det här är omöjligt.
>>swe<< This is impossible.	Detta är omöjligt.
>>swe<< This is outrageous!	Detta är skandalöst!
>>swe<< This is outrageous!	Det här är skandalöst!
>>swe<< This is really bad.	Det här är riktigt illa.
>>swe<< This is really bad.	Detta är riktigt illa.
>>swe<< This is ridiculous!	Det här är löjligt!
>>swe<< This is very cheap.	Det här är väldigt billigt.
>>swe<< This is very cheap.	Den här är väldigt billig.
>>swe<< This is very fresh.	Det här är väldigt färskt.
>>swe<< This is very scary.	Det här är mycket skrämmande.
>>swe<< This isn't correct.	Det här är inte rätt.
>>swe<< This isn't correct.	Det här är inte korrekt.
>>swe<< This isn't correct.	Det här är inte riktigt.
>>swe<< This knife is dull.	Den här kniven är slö.
>>swe<< This money is mine.	De här pengarna är mina.
>>swe<< This movie is long.	Den här filmen är lång.
>>swe<< This one is bigger.	Den här är större.
>>swe<< This one's from me.	Den här är från mig.
>>swe<< This one's no good.	Den här är inte bra.
>>swe<< This ought to help.	Det här borde hjälpa.
>>swe<< This soup is great.	Den här soppan är jättegod.
>>swe<< Those are my shoes.	Det där är mina skor.
>>swe<< Time's on our side.	Vi har tiden på vår sida.
>>swe<< Time's running out.	Tiden håller på att rinna ut.
>>swe<< Times are changing.	Tiderna förändras.
>>swe<< Today is a bad day.	Idag är en dålig dag.
>>swe<< Today's March 27th.	I dag är det den 27 mars.
>>swe<< Tom abandoned them.	Tom övergav dem.
>>swe<< Tom almost fainted.	Tom svimmade nästan.
>>swe<< Tom ate your candy.	Tom åt upp ditt godis.
>>swe<< Tom became a judge.	Tom blev domare.
>>swe<< Tom became anxious.	Tom blev ängslig.
>>swe<< Tom bets on horses.	Tom spelar på hästar.
>>swe<< Tom called in sick.	Tom sjukanmälde sig.
>>swe<< Tom can't hear you.	Tom hör dig inte.
>>swe<< Tom can't hear you.	Tom kan inte höra dig.
>>swe<< Tom can't hurt you.	Tom kan inte skada dig.
>>swe<< Tom can't stand up.	Tom kan inte ställa sig upp.
>>swe<< Tom can't stand up.	Tom kan inte stå upp.
>>swe<< Tom could be a cop.	Tom skulle kunna vara en polis.
>>swe<< Tom could be a cop.	Tom skulle kunna vara snut.
>>swe<< Tom counts on Mary.	Tom räknar med Mary.
>>swe<< Tom cut his finger.	Tom skar sig i fingret.
>>swe<< Tom delivers pizza.	Tom levererar pizza.
>>swe<< Tom didn't give up.	Tom gav inte upp.
>>swe<< Tom didn't go back.	Tom gick inte tillbaka.
>>swe<< Tom didn't tell me.	Tom berättade inte det för mig.
>>swe<< Tom died in a fire.	Tom dog i en eldsvåda.
>>swe<< Tom died last year.	Tom dog i fjol.
>>swe<< Tom died of thirst.	Tom dog av törst.
>>swe<< Tom drank lemonade.	Tom drack lemonad.
>>swe<< Tom drank too much.	Tom drack för mycket.
>>swe<< Tom fed the alpaca.	Tom matade alpackan.
>>swe<< Tom found evidence.	Tom hittade bevis.
>>swe<< Tom got a flu shot.	Tom fick ett influensa vaccin.
>>swe<< Tom got in the car.	Tom satte sig i bilen.
>>swe<< Tom got very angry.	Tom blev väldigt arg.
>>swe<< Tom got very drunk.	Tom blev väldigt full.
>>swe<< Tom got very drunk.	Tom blev mycket berusad.
>>swe<< Tom hanged himself.	Tom hängde sig.
>>swe<< Tom has a passport.	Tom har ett pass.
>>swe<< Tom has big dreams.	Tom har stora drömmar.
>>swe<< Tom has passed out.	Tom har svimmat.
>>swe<< Tom has passed out.	Tom har tuppat av.
>>swe<< Tom has passed out.	Tom har kolat av.
>>swe<< Tom has short hair.	Tom har kort hår.
>>swe<< Tom has small feet.	Tom har små fötter.
>>swe<< Tom has to go home.	Tom måste gå hem.
>>swe<< Tom hates children.	Tom hatar barn.
>>swe<< Tom hates his name.	Tom hatar sitt namn.
>>swe<< Tom interrupted me.	Tom avbröt mig.
>>swe<< Tom is a great kid.	Tom är en bra grabb.
>>swe<< Tom is a great man.	Tom är en mäktig man.
>>swe<< Tom is a professor.	Tom är professor.
>>swe<< Tom is a scoundrel.	Tom är en skurk.
>>swe<< Tom is a smart kid.	Tom är en smart grabb.
>>swe<< Tom is a sociopath.	Tom är sociopat.
>>swe<< Tom is about to go.	Tom ska precis gå.
>>swe<< Tom is adventurous.	Tom är äventyrlig.
>>swe<< Tom is at the door.	Tom är vid dörren.
>>swe<< Tom is behind bars.	Tom skakar galler.
>>swe<< Tom is charismatic.	Tom är karismatisk.
>>swe<< Tom is coming back.	Tom kommer tillbaka.
>>swe<< Tom is competitive.	Tom är tävlingsinriktad.
>>swe<< Tom is competitive.	Tom är en tävlingsmänniska.
>>swe<< Tom is competitive.	Tom är tävlingslysten.
>>swe<< Tom is considerate.	Tom är omtänksam.
>>swe<< Tom is cooperative.	Tom är samarbetsvillig.
>>swe<< Tom is discouraged.	Tom är modfälld.
>>swe<< Tom is disgruntled.	Tom är missnöjd.
>>swe<< Tom is disobedient.	Tom är olydig.
>>swe<< Tom is downhearted.	Tom är nedstämd.
>>swe<< Tom is dumbfounded.	Tom är mållös.
>>swe<< Tom is dumbfounded.	Tom är häpen.
>>swe<< Tom is dumbfounded.	Tom är förbluffad.
>>swe<< Tom is dumbfounded.	Tom är förstummad.
>>swe<< Tom is exceptional.	Tom är enastående.
>>swe<< Tom is experienced.	Tom är erfaren.
>>swe<< Tom is handicapped.	Tom är handikappad.
>>swe<< Tom is intelligent.	Tom är intelligent.
>>swe<< Tom is never wrong.	Tom har aldrig fel.
>>swe<< Tom is on the dock.	Tom är på lastkajen.
>>swe<< Tom is on the dock.	Tom är på lastningsplatsen.
>>swe<< Tom is out jogging.	Tom är ute och joggar.
>>swe<< Tom is out of work.	Tom är arbetslös.
>>swe<< Tom is really fast.	Tom är väldigt snabbt.
>>swe<< Tom is really fast.	Tom är jättesnabb.
>>swe<< Tom is right there.	Tom är där.
>>swe<< Tom is still alive.	Tom är fortfarande vid liv.
>>swe<< Tom is still awake.	Tom är fortfarande vaken.
>>swe<< Tom is supervising.	Tom leder.
>>swe<< Tom is tired today.	Tom är trött idag.
>>swe<< Tom is tired today.	Tom är trött i dag.
>>swe<< Tom is unstoppable.	Tom är omöjlig att hindra.
>>swe<< Tom is unstoppable.	Tom är omöjlig att stoppa.
>>swe<< Tom is unstoppable.	Tom är ohejdbar.
>>swe<< Tom is very stingy.	Tom är mycket snål.
>>swe<< Tom is your friend.	Tom är din vän.
>>swe<< Tom isn't a threat.	Tom är inte något hot.
>>swe<< Tom isn't in there.	Tom är inte därinne.
>>swe<< Tom isn't like you.	Tom är inte som du.
>>swe<< Tom isn't like you.	Tom är inte likadan som du.
>>swe<< Tom isn't my enemy.	Tom är inte min fiende.
>>swe<< Tom jogs every day.	Tom joggar varje dag.
>>swe<< Tom just showed up.	Tom dök precis upp.
>>swe<< Tom just showed up.	Tom dök bara upp.
>>swe<< Tom knew the risks.	Tom var medveten om riskerna.
>>swe<< Tom knows too much.	Tom vet för mycket.
>>swe<< Tom laughed loudly.	Tom skrattade högt.
>>swe<< Tom let Mary do it.	Tom lät Mary göra det.
>>swe<< Tom likes swimming.	Tom tycker om simning.
>>swe<< Tom limps slightly.	Tom haltar lätt.
>>swe<< Tom lived upstairs.	Tom bodde på övre våningen.
>>swe<< Tom looked annoyed.	Tom såg irriterad ut.
>>swe<< Tom looked at Mary.	Tom tittade på Mary.
>>swe<< Tom looked puzzled.	Tom såg förbryllad ut.
>>swe<< Tom looked puzzled.	Tom såg villrådig ut.
>>swe<< Tom looked puzzled.	Tom såg häpen ut.
>>swe<< Tom looked puzzled.	Tom såg frågande ut.
>>swe<< Tom looks agitated.	Tom ser orolig ut.
>>swe<< Tom looks agitated.	Tom ser upphetsad ut.
>>swe<< Tom looks agitated.	Tom ser upprörd ut.
>>swe<< Tom looks appalled.	Tom ser förskräckt ut.
>>swe<< Tom looks confused.	Tom såg förbryllad ut.
>>swe<< Tom looks confused.	Tom ser förvirrad ut.
>>swe<< Tom looks confused.	Tom ser konfys ut.
>>swe<< Tom looks confused.	Tom ser konfunderad ut.
>>swe<< Tom looks confused.	Tom ser omtumlad ut.
