>>afr<< Really?	Regtig?
>>afr<< I won't be coming with you.	Ek gaan nie saam met jou kom nie.
>>afr<< I won't be here next month.	Ek gaan nie hier volgende maand wees nie.
>>afr<< I won't be home for a week.	Ek gaan nie tuis vir 'n week wees nie.
>>afr<< I won't be ready for weeks.	Ek gaan nie reg wees vir weke nie.
>>afr<< I'd better get back inside.	Ek moet seker terug ingaan.
>>afr<< I'd like one stamp, please.	Ek versoek een stempel, asseblief.
>>afr<< I'd like to ask a question.	Ek sal graag 'n vraag wil vra
>>afr<< I'll get right back to you.	Ek sal nou terugkom by jou.
>>afr<< I'm happy to see you again.	Ek is bly om jou weer te sien.
>>afr<< I'm not being unreasonable.	Ek is nie besig om onredelik te wees nie.
>>afr<< I'm sorry about being late.	Ek is jammer oor laat wees.
>>afr<< Is that law still in force?	Is daardie wet nogsteeds in werking getree?
>>afr<< Japan is full of surprises!	Japan is vol verrassings!
>>afr<< No one tells me what to do.	Niemand vertel my wat om the doen nie.
>>afr<< Nobody tells me what to do.	Niemand vertel my wat om the doen nie.
>>afr<< She has a house by the sea.	Sy het 'n huis by die see.
>>afr<< Smoking affects our health.	Rook benadeel ons gesondheid.
>>afr<< That's out of the question.	Dit is buite die kwessie.
>>afr<< That's very naughty of you.	Dis baie stout van jou.
>>afr<< The girl is afraid of dogs.	Die meisie is bang vir honde.
>>afr<< The snow has begun melting.	Die sneeu het begin smelt.
>>afr<< There is a map on the wall.	Daar is 'n kaart op die muur.
>>afr<< This factory produces toys.	Die fabriek produseer speelgoed.
>>afr<< This song is easy to learn.	Die liedjie is maklik om te leer.
>>afr<< Tom and Mary are very busy.	Tom en Mary is baie besig.
>>afr<< Tom had better not do that.	Tom beter dit nie gedoen het nie.
>>afr<< Tom has a big day tomorrow.	Tom het 'n groot dag môre.
>>afr<< Tom has a good imagination.	Tom het 'n goeie verbeelding.
>>afr<< Tom has a lot on his plate.	Tom het baie op sy bord.
>>afr<< Tom has a very good memory.	Tom het 'n uitstekende geheue.
>>afr<< Tom has a well-trained dog.	Tom het 'n goed geleerde hond.
>>afr<< Tom has accepted our offer.	Tom het ons aanbod aanvaar.
>>afr<< Tom has already thanked me.	Tom het my reeds gedank.
>>afr<< Tom has been a good friend.	Tom was 'n goeie vriend.
>>afr<< Tom has been quite helpful.	Tom was heel behulpsaam.
>>afr<< Tom has been very tolerant.	Tom was baie verdraagsaam.
>>afr<< Tom has nowhere left to go.	Tom het nêrens meer om te gaan.
>>afr<< Tom has to be more careful.	Tom moet meer versigtig wees.
>>afr<< Tom isn't going to hurt me.	Tom sal my nie seer maak nie.
>>afr<< Tom wants to become famous.	Tom wil beroemd word.
>>afr<< Tom won't be afraid of you.	Tom sal nie bang vir jou wees nie.
>>afr<< Tom wouldn't bother to lie.	Tom sou nie pla om te jok nie.
>>afr<< We won't be able to escape.	Ons sal nie kan ontsnap nie.
>>afr<< What are you searching for?	Wat soek jy?
>>afr<< Which country are you from?	Van watse land is jy?
>>afr<< Which floor do you live on?	Op watter verdieping woon jy?
>>afr<< Why don't you wear a dress?	Hoekom dra jy nie 'n rok nie?
>>afr<< Will you help me with this?	Sal jy my met hierdie help?
>>afr<< You ain't seen nothing yet.	Jy het nog niks gesien nie.
>>afr<< You won't be safe anywhere.	Jy gaan nêrens veilig wees nie.
>>afr<< You've told me that before.	Jy het dit al voorheen vir my gesê.
>>afr<< Don't be late for the train.	Moenie laat wees vir die trein nie.
>>afr<< Everything is under control.	Alles is onder beheer.
>>afr<< He never breaks his promise.	Hy breek nooit sy beloftes nie.
>>afr<< How old do you think she is?	Hoe oud skat u haar?
>>afr<< I am happy to see you again.	Ek is bly om jou weer te sien.
>>afr<< I thought you'd be thrilled.	Ek dog jy sou opgewonde wees.
>>afr<< I won't be able to help you.	Ek sal nie jou kan help nie.
>>afr<< I won't be back for a while.	Ek gaan nie terug vir 'n ruk wees nie.
>>afr<< I wonder what became of Tom.	Ek wonder wat het van Tom geword.
>>afr<< I'd better get back to work.	I moet beter terug kom by die werk.
>>afr<< I'm glad it makes you happy.	Ek is bly dat dit jou gelukkig maak.
>>afr<< I'm not being paid for this.	Ek word nie betaal vir dit nie.
>>afr<< Is that what Tom would want?	Is dit wat Tom sou wou hê?
>>afr<< May I have the bill, please?	Die rekening asseblief.
>>afr<< Our best friend is a doctor.	Ons beste vriend is 'n dokter.
>>afr<< She brought his lunch today.	Sy't vandag sy middagete gebring.
>>afr<< The machine is out of order.	Die masjien is stukkend.
>>afr<< Tom and Mary sang in unison.	Tom en Marie het eensamig gesing.
>>afr<< Tom didn't know what to say.	Tom het nie geweet wat om te sê nie.
>>afr<< Tom plans to go there alone.	Tom is van plan om alleen soontoe te gaan.
>>afr<< Tom won't be here that long.	Tom gaan nie hier so lank wag nie.
>>afr<< Tom wouldn't be that stupid.	Tom sou nie so dom wees nie.
>>afr<< We won't be here after 2:30.	Ons gaan nie hier wees na 2:30 nie.
>>afr<< We've arrived a little late.	Ons het 'n bietjie laat aangekom.
>>afr<< When does Tom eat breakfast?	Wanneer eet Tom ontbyt?
>>afr<< Why do you think he said so?	Hoekom dink jy het hy so gesê?
>>afr<< You're a long way from home.	Jy is ver van die huis af.
>>afr<< He went to America last week.	Hy het laasweek na Amerika toe gegaan.
>>afr<< High tide is at 3 p.m. today.	Hoogwater is vanmiddag om 3 uur.
>>afr<< His story moved her to tears.	Sy storie het haar tot trane gedryf.
>>afr<< How much do you make a month?	Hoeveel het jy gemaak 'n maand?
>>afr<< I am familiar with his music.	Sy musiek is bekend.
>>afr<< I thought you might back out.	Ek dog jou sou uittree.
>>afr<< I told Tom I'd be right back.	Ek het Tom gesê ek sal nou-nou wees.
>>afr<< I was just blowing off steam.	Ek het net 'n bietjie stoom afgeblaas.
>>afr<< I'll have to get back to you.	Ek sal terug na jou toe moet kom.
>>afr<< I'll see you when I get back.	Ek sal jou sien wanneer ek terugkom.
>>afr<< I'm afraid I've got bad news.	Ek het ongelukkig slegte nuus.
>>afr<< I'm falling in love with you.	Ek is om verlief te val op jou.
>>afr<< Is your coworker an American?	Is jou kollega 'n Amerikaner?
>>afr<< May I turn on the television?	Kan ek die televisie aanskakel?
>>afr<< My grandmother speaks slowly.	My ouma praat stadig.
>>afr<< She behaved quite abominably.	Sy het haar heel afskuwelik gedra.
>>afr<< Strong leadership was needed.	Sterk leierskap was nodig.
>>afr<< That wasn't exactly romantic.	Dit was nie baie romanties nie.
>>afr<< The cats are afraid of water.	Die katte is bang vir water.
>>afr<< The conditions are favorable.	Die omstandighede is gunstig.
>>afr<< They'll do whatever they can.	Hulle sal alles doen wat hulle kan.
>>afr<< Tom ate breakfast by himself.	Tom het ontbyt geëet op sy eie.
>>afr<< Tom dumped me over the phone.	Tom het my oor die foon gelos.
>>afr<< Tom dyed his hair dark brown.	Tom het sy hare donker bruin gekleur.
>>afr<< Tom must be Mary's boyfriend.	Tom is seker Marie se kêrel.
>>afr<< Tom said his hands were cold.	Tom het gesê sy hande was koud.
>>afr<< Tom turned the light back on.	Tom het die lig terug aangesit.
>>afr<< Tom unscrewed the light bulb.	Tom het die ligbulb ontskroef.
>>afr<< Tom won't be at school today.	Tom gaan nie vandag by die skool wees nie.
>>afr<< Tom won't be back for a week.	Tom gaan nie vir 'n week terug wees nie.
>>afr<< Tom won't be here next month.	Tom gaan nie volgende maand hier wees nie.
>>afr<< We must clean up the kitchen.	Ons moet die kombuis skoonmaak.
>>afr<< We must destroy the evidence.	Ons moet die bewyse vernietig.
>>afr<< What does this sentence mean?	Wat beteken hierdie sin?
>>afr<< Where does Tom eat breakfast?	Waar eet Tom ontbyt?
>>afr<< You aggravated the situation.	Jy het die situasie vereger.
>>afr<< You won't be able to help us.	Jy sal nie ons kan help nie.
>>afr<< A dog was running after a cat.	'n Hond het agter die kat aan gehardloop.
>>afr<< Could you turn off the lights?	Kan jy die ligte afskakel?
>>afr<< How many children do you have?	Hoeveel kinders het jy?
>>afr<< I dare you to cross this line.	Ek waag jou om oor die lyn te trap.
>>afr<< I thought you might be hungry.	Ek dog jy mag honger wees.
>>afr<< I wish you'd said that before.	Ek wens jy het dit voorheen gesê.
>>afr<< I wouldn't be so sure of that.	Ek sou nie so seker daarvan wees nie.
>>afr<< I'll let you get back to work.	Ek sal jou laat terug gaan aan die werk.
>>afr<< I'll tell you when I get back.	Ek sal jou sê wanneer ek terug is.
>>afr<< I'm a lot bigger than you are.	Ek is baie groter as wat jy is.
>>afr<< My conscience is bothering me.	My gewete pla my.
>>afr<< Please tell me what you think.	Sê my asseblief wat jy dink.
>>afr<< She was formerly a bank clerk.	Sy was voorheen 'n klerk by die bank.
>>afr<< The test was rather difficult.	Die toets was nogal moeilik.
>>afr<< The wind is blowing very hard.	Die wind waai sterk.
>>afr<< They won't bother you anymore.	Hulle sal jou nie meer steur nie.
>>afr<< Tom just got back from Boston.	Tom is sopas terug vanaf Boston.
>>afr<< Tom screwed in the light bulb.	Tom het die ligbulb ingeskroef
>>afr<< Tom won't be happy to see you.	Tom gaan nie gelukkig wees om jou te sien nie.
>>afr<< We both have the same problem.	Ons het beide dieselfde probleem.
>>afr<< You don't know my dad, do you?	Jy ken nie my pa nie, doen jy?
>>afr<< Do you want to rent your house?	Wil u u huis verhuur?
>>afr<< He has atrocious table manners.	Hy het gruwelike tafel maniere.
>>afr<< I don't expect you to remember.	Ek verwag nie van jou om dit te onthou nie.
>>afr<< I have to think of my children.	Ek moet aan my kinders dink.
>>afr<< I just went to check something.	Ek wil net iets kyk.
>>afr<< I think this is a great system.	Ek dink hierdie is 'n fantastiese stelsel.
>>afr<< I thought you might be curious.	Ek dog jy sou nuuskierig wees.
>>afr<< I wouldn't let that bother you.	Ek sou nie dit jou laat pla nie.
>>afr<< I'd better get back to my desk.	Ek beter terug kom by my lessenaar.
>>afr<< I'll be here when you get back.	Ek sal hier wees wanneer jy terugkom.
>>afr<< I'll get back to you about Tom.	Ek sal terugkom na jou oor Tom.
>>afr<< I'm just an innocent bystander.	Ek is net 'n onskuldige omstander.
>>afr<< I've been waiting half an hour.	I wag al vir 'n halfuur.
>>afr<< Our refrigerator isn't working.	Ons yskas is stukkend.
>>afr<< Tell Tom that I won't be there.	Sê vir Tom ek gaan nie daar wees nie.
>>afr<< The food didn't taste that bad.	Die kos het nie so sleg geproe nie.
>>afr<< This, however, is not possible.	Dit is egter nie moontlik nie.
>>afr<< Tom won't be showing up at all.	Tom gaan glad nie verskyn nie.
>>afr<< We'll have a problem, won't we?	Ons gaan 'n probleem hê, gaan ons nie?
>>afr<< Will you pay attention, please?	Sal jy asseblief aandag gee?
>>afr<< You don't have to be sarcastic.	Jy hoef nie sarkasties te wees nie.
>>afr<< You won't believe what I found.	Jy sal nie glo wat ek gevind het nie.
>>afr<< You won't believe what I heard.	Jy sal nie glo wat ek gehoor het nie.
>>afr<< Correct the following sentences.	Korrigeer die volgende sinne.
>>afr<< Do you prefer red or white wine?	Verkies jy rooi of wit wyn?
>>afr<< I need you to help me with this.	Ek het jou nodig om my met hierdie te help.
>>afr<< I put it back where it belonged.	Ek het dit terug gesit waar dit behoort.
>>afr<< I think I might be out of a job.	Ek dink ek mag dalk uit 'n werk wees.
>>afr<< I thought something was strange.	Ek het gedink iets was vreemd.
>>afr<< I was offended by the policeman.	Ek het aanstoot geneem van die polisieman.
>>afr<< I won't be coming back with Tom.	Ek gaan nie saam met Tom terugkom nie.
>>afr<< I wonder what Tom meant by that.	Ek wonder wat Tom daarmee bedoel het.
>>afr<< I'll tell you when you get back.	Ek sal jou sê wanneer jy terug kom.
>>afr<< I'm going to be on the next bus.	Ek gaan op die volgende bus wees.
>>afr<< I'm not sure I want to see this.	Ek is nie seker of ek dit wil sien nie.
>>afr<< I'm not telling you to go alone.	Ek sê nie vir jou dat ek alleen wil gaan nie.
>>afr<< The moon moves around the earth.	Die maan draai om die aarde.
>>afr<< This book doesn't belong to Tom.	Hierdie boek behoort nie aan Tom nie.
>>afr<< This chair needs to be repaired.	Hierdie stoel het herstelwerk nodig.
>>afr<< Tom is worried about being sued.	Tom is bekommerd om gedagvaar te kan word.
>>afr<< Tom turned on the right blinker.	Tom het sy regter flikkerlig aangesit.
>>afr<< Tom was a bit freaked out by it.	Tom was 'n bietjie gegril deur dit.
>>afr<< We can drive as fast as we want.	Ons kan so vinnig ry as wat ons wil.
>>afr<< Would you move your car, please?	Kan jy jou kar beweeg asseblief?
>>afr<< Would you move your car, please?	Kan jy asseblief jou kar skuif.
>>afr<< You won't be needing that again.	Jy gaan nie dit weer nodig hê nie.
>>afr<< You won't be the only one there.	Jy gaan nie die enigste een daar wees nie.
>>afr<< You won't believe what I've got.	Jy sal nie glo wat ek het nie.
>>afr<< You've aggravated the situation.	Jy't die situasie vererger.
>>afr<< Believe me, I wanted to help you.	Glo my dat ek u wou help.
>>afr<< He lives in a village near Osaka.	Hy bly in 'n dorpie naby Osaka.
>>afr<< He was wearing a threadbare suit.	Hy het 'n afgeleefde pak aangehad.
>>afr<< I hope I'm not bothering anybody.	Ek hoop nie ek pla iemand nie.
>>afr<< I thought you might be mad at me.	Ek dog jy sou kwaad vir my wees.
>>afr<< I was up all night brainstorming.	Ek was die hele nag besig om te dinkskrum.
>>afr<< I won't be able to sleep tonight.	Ek sal nie vanaand kan slaap nie.
>>afr<< I wouldn't be so sure about that.	Ek sou nie so seker daarvan wees nie.
>>afr<< I'll get back to you in a moment.	Ek sal terugkom na jou in 'n ruk.
>>afr<< I'm going to help you get better.	Ek gaan jou help beter te word.
>>afr<< I'm sure I won't be of much help.	Ek is seker ek gaan nie van veel hulp wees nie.
>>afr<< It is expensive to live in Japan.	Dit is duur om in Japan te woon.
>>afr<< Our refrigerator is out of order.	Ons yskas is stukkend.
>>afr<< These trees were planted by them.	Die bome was deur hulle geplant.
>>afr<< Tom is an extremely charming guy.	Tom is 'n verskriklike sjarmante ou.
>>afr<< Tom seldom writes to his parents.	Tom skryf selde aan sy ouers.
>>afr<< Tom watched television yesterday.	Tom het gister televisie gekyk.
>>afr<< Tom won't be helping us tomorrow.	Tom gaan nie ons môre help nie.
>>afr<< Tom won't be staying much longer.	Tom gaan nie meer baie langer bly nie.
>>afr<< We sat in front of the fireplace.	Ons het voor die kaggel gesit.
>>afr<< We spent the day in the open air.	Ons het die dag in die buitelug spandeer.
>>afr<< We won't be able to eat all this.	Ons gaan nie alles kan opeet nie.
>>afr<< Where does your grandmother live?	Waar woon jou ouma?
>>afr<< Which sport do you like the most?	Van watse sport hou jy die meeste van?
>>afr<< He invested 500,000 yen in stocks.	Hy het 500,000 yen in aandele belê.
>>afr<< I don't think your plan will work.	Ek dink nie jou plan sal werk nie.
>>afr<< I never thought I'd be doing this.	Ek het nooit kon dink dat ek dit sou doen nie.
>>afr<< I thought it might be complicated.	Ek dog sit mag dalk ingewikkeld wees.
>>afr<< I thought it might be significant.	Ek dog dit mag dalk beduidend wees.
>>afr<< I was waiting for you to get back.	Ek het vir jou gewag om terug te kom.
>>afr<< I won't be sorry to see Tom leave.	Ek gaan nie jammer wees om Tom te sien verlaat nie.
>>afr<< I wouldn't be too sure about that.	Ek sou nie te seker wees daaroor nie.
>>afr<< I'll put it back where it belongs.	Ek sal dit terug sit waar dit behoort.
>>afr<< I'm glad you finally made it back.	Ek is bly jy het uiteindelik terug gekom.
>>afr<< I'm really flattered to hear that.	Ek is regtig gevlei om dit te hoor.
>>afr<< I'm sorry I can't be of more help.	Ek is jammer dat nie van meer hulp kan wees nie.
>>afr<< It seems that he knows the secret.	Dit blyk dat hy die geheim ken.
>>afr<< Naturally, that's why we are here.	Natuurlik, dis hoekom ons hier is.
>>afr<< She left her son alone in the car.	Sy het haar seun alleen in die kar gelos.
>>afr<< Tom died with a knife in his back.	Tom het gesterf met 'n mes in sy rug.
>>afr<< Tom was bullied when he was a kid.	Tom was geboelie toe hy 'n kind was.
>>afr<< Tom won't be back for a few hours.	Tom gaan nie terug wees vir 'n paar ure nie.
>>afr<< Tom won't be here for a long time.	Tom gaan nie hier wees vir 'n lang tyd nie.
>>afr<< We can't afford any more mistakes.	Ons kan nie nog foute bekostig nie.
>>afr<< What time and where could we meet?	Wanneer en waar kan ons ontmoet?
>>afr<< You won't be needing this anymore.	Jy gaan dit nie meer nodig hê nie.
>>afr<< You won't be needing this anymore.	Jy gaan dit nie meer benodig nie.
>>afr<< A thousand meters is one kilometer.	'n Duisend meter is een kilometer.
>>afr<< Aren't you being a little paranoid?	Is jy nie 'n bietjie skrikkerig nie?
>>afr<< I can't think of his name just now.	Ek kan nie nou aan sy naam dink nie.
>>afr<< I don't like living in the country.	Ek hou nie daarvan om in die platteland te woon nie.
>>afr<< I thought this was just between us.	Ek dog dit was net tussen ons gewees.
>>afr<< I thought we could make it by 2:30.	Ek dog ons kon dit maak teen 2:30.
>>afr<< I was born and brought up in Tokyo.	Ek is in Tokio gebore en getoë.
>>afr<< I wish I could be more spontaneous.	Ek wens ek was meer spontaan.
>>afr<< I won't be bullied into doing that.	Ek gaan nie in dit geboelie word om dit te doen nie.
>>afr<< I'm assuming it won't be a problem.	Ek neem aan dit gaan nie 'n probleem wees nie.
>>afr<< I'm glad we put all that behind us.	Ek is bly dat ons dit agter ons gesit het.
>>afr<< I'm surprised Tom isn't busy today.	Ek is verbaas dat Tom nie vandag besig is nie.
>>afr<< I'm trying to figure out something.	Ek probeer om iets uittevind.
>>afr<< Maybe I shouldn't be so suspicious.	Dalk moet ek nie so verdag wees nie.
>>afr<< Our interests conflict with theirs.	Ons belangstelle is in konflik met hulle s'n.
>>afr<< Saturday is when my father is free.	Saterdag is my pa oop.
>>afr<< That isn't how I want things to be.	Dis nie hoe ek wil hê dinge moet wees nie.
>>afr<< That's not how I want things to be.	Dis nie hoe ek wil hê dinge moet wees nie.
>>afr<< That's the way the cookie crumbles.	Dis die lewe.
>>afr<< The cook is sitting in the kitchen.	Die kok sit in die kombuis.
>>afr<< The food didn't taste all that bad.	Die kos het glad nie so sleg geproe nie.
>>afr<< The walls were painted light brown.	Die mure was 'n ligte bruin geverf.
>>afr<< There's too much salt in this soup.	In hierdie sop is te veel sout.
>>afr<< This house is too small to live in.	Hierdie huis is te klein om in te bly.
>>afr<< Tom told us not to do that anymore.	Tom het gesê dat ons moes ophou daarmee.
>>afr<< Tom won't be bothering you anymore.	Tom gaan jou nie meer steur nie.
>>afr<< Tom won't be making a speech today.	Tom gaan nie vandag 'n toespraak voer nie.
>>afr<< Tom won't be that easy to convince.	Tom gaan nie so maklik oorreed word nie.
>>afr<< Tom won't be that hard to convince.	Tom gaan nie so moeilik oorreed word nie.
>>afr<< Tom wouldn't be interested in Mary.	Tom sal nie belangstel in Mary nie.
>>afr<< Was he still here when you arrived?	Was hy nog hier wanneer julle aangekom het?
>>afr<< We don't want you to hurt yourself.	Ons wil nie hê jy moet jouself seer maak nie.
>>afr<< Why don't you all just take a seat?	Hoekom neem almal nie 'n sitplek nie?
>>afr<< You can use my car, if you want to.	Jy kan my kar gebruik as jy wil.
>>afr<< You don't seem too happy to see me.	Jy lyk nie te gelukkig om vir my te sien nie.
>>afr<< You won't be able to see Tom today.	Jy sal nie Tom vandag kan sien nie.
>>afr<< A hundred years is called a century.	'n Honderd jaar word 'n eeu genoem.
>>afr<< He lives in a small town near Osaka.	Hy bly in 'n dorpie naby Osaka.
>>afr<< I don't want to hear about it again.	Ek wil nie weer daarvan hoor nie.
>>afr<< I don't want to talk about my child.	Ek wil nie oor my kind praat nie.
>>afr<< I had hoped we might become friends.	Ek het gehoop ons kan vriende word.
>>afr<< I like the slow rhythm of that song.	Ek hou van die stadige ritme van daai liedjie.
>>afr<< I thought it might be a possibility.	Ek dog dit mag dalk 'n moontlikheid wees.
>>afr<< I was wondering when you'd get back.	Ek het gewonder wanneer jy gaan terugkom.
>>afr<< I was your mother's first boyfriend.	Ek was jou ma se eerste kerêl.
>>afr<< I'll be right back with your drinks.	Ek is nou terug met julle drankies.
>>afr<< Pour melted butter over the popcorn.	Gooi gesmelte botter oor die springmielies.
>>afr<< She is able to answer your question.	Sy kan jou vraag beantwoord.
>>afr<< The only one who isn't going is you.	Die engiste een wat nie gaan nie is jy.
>>afr<< The smallest continent is Australia.	Die kleinste kontinent is Australië.
>>afr<< You won't believe who came by today.	Jy gaan nie glo wie vandag verby gekom het nie.
>>afr<< Does anyone have any other questions?	Het enigiemand enige ander vrae?
>>afr<< Don't believe anything Tom tells you.	Moet niks glo van Tom vir jou vertel nie.
>>afr<< I think you might be able to help me.	Ek dink jy mag dalk vir my kan help.
>>afr<< I thought that something was strange.	Ek het gedink iets was vreemd.
>>afr<< I won't be able to visit for a while.	Ek gaan nie kan kom kuier vir 'n ruk nie.
>>afr<< I wouldn't be too sure if I were you.	Ek sou nie so seker wees as ek jy was nie.
>>afr<< I'll be right back with refreshments.	Ek is nou-nou terug met verversings.
>>afr<< I'll make it back in time for supper.	Ek sal dit terug maak vir aandete.
>>afr<< I'm afraid Tom won't be able to come.	Ongelukkig sal Tom nie kan kom nie.
>>afr<< I'm going to have to get back to you.	Ek sal moet terugkom na jou.
>>afr<< I've told you that before, haven't I?	Ek het dit voorheen vir jou gesê, het ek nie?
>>afr<< Let the chocolate melt in your mouth.	Laat die sjokolade in die mond smelt.
>>afr<< There was a bus schedule on the wall.	Daar was 'n bus skedule op die muur.
>>afr<< There was a bus schedule on the wall.	Op die muur was daar 'n bus skedule.
>>afr<< There's so much I want to say to you.	Daar is soveel wat ek vir jou wil sê.
>>afr<< This is something I need to do alone.	Dit is iets wat ek alleen moet doen.
>>afr<< Tom went back inside to get his coat.	Tom het terug binnegegaan om sy jas te kry.
>>afr<< He bought eggs and milk from a farmer.	Hy het eiers en melk by 'n boer gekoop.
>>afr<< I always wondered what that smell was.	Ek het altyd gewonder wat daardie reuk was.
>>afr<< I didn't think this would be possible.	Ek het nie gedink dat hierdie moontlik sou wees nie.
>>afr<< I don't have much interest in cooking.	Ek stel nie vreeslik belang in kook nie.
>>afr<< I thought Tom might be your boyfriend.	Ek dog Tom was dalk jou kêrel.
>>afr<< I thought that you might be mad at me.	Ek dog jy sou kwaad vir my wees.
>>afr<< I'll get back to you as soon as I can.	Ek sal so gou as moontlik terugkom na jou.
>>afr<< I'll put my passport back in the safe.	Ek sal my paspoort terug in die kluis sit.
>>afr<< Is there anything you want to tell us?	Is daar enigiets wat jy vir ons wil vertel?
>>afr<< My mother put clean sheets on the bed.	My ma het skoon lakens op my bed gesit.
>>afr<< My older sister plays the guitar well.	My ouer suster speel goed kitaar.
>>afr<< Ping pong is also called table tennis.	Ping pong word ook tafeltennis genoem.
>>afr<< Thank you for your beautiful postcard.	Dankie vir jou pragtige poskaart.
>>afr<< Tom sat by the window, reading a book.	Tom sit by venster besig om 'n boek te lees.
>>afr<< Tom won't be able to keep up with you.	Tom sal nie met jou kan byhou nie.
>>afr<< What was the last concert you went to?	Wat was die laaste konsert waarntoe jy gegaan het?
>>afr<< What's your favorite leisure activity?	Wat is jou gunsteling ontspanningsaktiwiteit?
>>afr<< Are you sure you don't want to do that?	Is jy seker jy wil nie daai doen nie?
>>afr<< Could I talk to you alone for a second?	Kan ek met jou praat vir 'n sekonde?
>>afr<< Crossing the river was a piece of cake.	Om oor die revier te gaan was gans te maklik.
>>afr<< He died as he was returning to England.	Hy het gesterf gedurende sy terugkeer na Engeland.
>>afr<< I thought that it might be complicated.	Ek dog sit mag dalk ingewikkeld wees.
>>afr<< I thought that it might be significant.	Ek dog dit mag dalk beduidend wees.
>>afr<< I'm sorry that I can't be of more help.	Ek is jammer dat nie van meer hulp kan wees nie.
>>afr<< The two towns are separated by a river.	Die twee dorpe is geskei deur 'n rivier.
>>afr<< There are a lot of fires in the winter.	Daar is baie vure in die winter.
>>afr<< Tom wouldn't be interested in this job.	Tom sal nie belangstel in hierdie werk nie.
>>afr<< We don't have to understand everything.	Mens hoef nie alles te verstaan nie.
>>afr<< Which is the more expensive of the two?	Wat is die duurder een van die twee?
>>afr<< I have three times as much money as you.	Ek het drie keer soveel geld as jy.
>>afr<< I might be able to come and pick you up.	Ek kan dalk jou kom optel.
>>afr<< I thought that this was just between us.	Ek dog dit was net tussen ons gewees.
>>afr<< I thought that we could make it by 2:30.	Ek dog ons kon dit maak teen 2:30.
>>afr<< I want to know what's going on out here.	Ek wil weet daar buite aan gaan.
>>afr<< I want you to know we can stop worrying.	Ek wil hê jy moet weet dat ons kan ophou bekommerd wees.
>>afr<< I won't be more than two or three hours.	Ek sal nie langer as twee of drie ure neem nie.
>>afr<< I'm assuming that it won't be a problem.	Ek neem aan dit gaan nie 'n probleem wees nie.
>>afr<< If you don't like it, then you can quit.	As jy nie daarvan hou nie kan jy opgee.
>>afr<< Money can't buy happiness, but it helps.	Geld kan nie geluk koop nie, maar dit help.
>>afr<< Tom couldn't believe what was happening.	Tom kon nie glo wat aan die gang is nie.
>>afr<< Tom drinks more than anyone else I know.	Tom drink meer as enigiemand wat ek ken.
>>afr<< Tom won't be getting any help from Mary.	Tom gaan nie meer hulp deur Mary verkry nie.
>>afr<< We must separate politics from religion.	Ons moet politiek van geloof skei.
>>afr<< You don't have to understand everything.	Mens hoef nie alles te verstaan nie.
>>afr<< You won't be able to do that without me.	Jy sal nie dit kan doen sonder my nie.
>>afr<< A green banana is not ripe enough to eat.	'n Groen piesang is nie ryp genoeg om te eet nie.
>>afr<< Apples are usually green, yellow, or red.	Appels is gewoonlik groen, geel of rooi.
>>afr<< I wish we didn't have to do this anymore.	Ek wens dat ek dit nie meer hoef te doen nie.
>>afr<< I won't be ready to do that until Monday.	Ek gaan nie gereed wees om dit te doen tot Maandag nie.
>>afr<< I wonder if you might be able to help me.	Ek wonder of jy my dalk sal kan help.
>>afr<< I've never seen anything quite like this.	Ek het nooit enigiets soos dit gesien nie.
>>afr<< My father has recently returned to Japan.	My pa het onlangs na Japan teruggekeer.
>>afr<< The girl in the blue coat is my daughter.	Die meisie in die blou jas is my dogter.
>>afr<< Tom won't be making any deliveries today.	Tom gaan nie enige aflewerings vandag maak nie.
>>afr<< Tom wouldn't be here if it wasn't for me.	Tom sou nie hier wees as dit nie vir my was nie.
>>afr<< We won't be able to get out of this cell.	Ek gaan nie uit hierdie sel kan kom nie.
>>afr<< Can you make out what he is trying to say?	Kan jy verstaan wat hy probeer sê?
>>afr<< Farmers always complain about the weather.	Boere kla konstant oor die weer.
>>afr<< I always wondered whether you'd come back.	I het altyd gewonder of jy gaan terug kom.
>>afr<< I don't think anyone noticed what you did.	Ek dink nie enigiemend het agtergekom wat jy gedoen het nie.
>>afr<< I thought you might be interested in this.	Ek dog jy sou hierin belangstel.
>>afr<< I want to show you something in my office.	Ek wil vir jou iets wys in my kantoor.
>>afr<< I wouldn't be surprised if Tom left early.	Ek sou nie verbaas wees as Tom vroeg verlaat het nie.
>>afr<< I'm guessing you didn't buy this yourself.	Ek raai jy het dit nie vir jouself gekoop nie.
>>afr<< My uncle has been diagnosed with leukemia.	My oom is gediagnoseer met bloedkanker.
>>afr<< Please leave next Saturday afternoon free.	Los volgende Saterdag middag oop asseblief.
>>afr<< The waiter filled our glasses to the brim.	Die kelner het ons glase tot die randjie gevul.
>>afr<< Tom assumed Mary wouldn't be at the party.	Tom het aangeneem dat Mary nie by die partytjie gaan wees nie.
>>afr<< Tom didn't know where the money came from.	Tom wis nie waar die geld vandaan kom nie.
>>afr<< Tom won't be staying with us next weekend.	Tom gaan nie volgende naweek by ons bly nie.
>>afr<< Tom wondered where he was supposed to sit.	Tom wonder waar hy veronderstel is om te sit.
>>afr<< When he came to, he was lying in the park.	Toe hy bykom, het hy in die park gelê.
>>afr<< You can turn on the heater if you're cold.	Jy kan die verwarmer aanskakel indien jy koud kry.
