>>npi<< Who?	को?
>>npi<< I'll be coming home.	म घर आउदै छु।
>>npi<< I'm drinking coffee.	म कफी पिउदै छु।
>>npi<< I'm drinking coffee.	म कफी पिइरहेको छु।
>>npi<< I'm dying of hunger.	म भोकले मर्छु जस्तो भयो।
>>npi<< I'm eating rice now.	अहिले म भात खादै छु।
>>npi<< I'm not competitive.	म प्रतिस्पर्धी छैन।
>>npi<< I'm sorry. I forgot.	माफ गर्नुहोस्, मैले बिर्सिएँ।
>>npi<< I'm terribly hungry.	मलाई धेरै भोक लागेको छ।
>>npi<< I'm truly impressed.	म साँच्चै प्रभावित छु।
>>npi<< I'm waiting for him.	म उसलाई पर्खिरहेको छु।
>>npi<< I've got a headache.	मेरो टाउको दुखेको छ।
>>npi<< Is she your teacher?	के तिनी तिम्रो शिक्षिका हुन्?
>>npi<< It's worth the pain.	यो दुख को लायक छ।
>>npi<< Let's try something.	केही प्रयास गरौं।
>>npi<< Many fish are dying.	धेरै माछा मरिरहेका छन्।
>>npi<< Many fish are dying.	धेरै माछाहरु मर्दैछन्।
>>npi<< Mary lost her phone.	मेरीले आफ्नो सेल फोन हराईन्।
>>npi<< May I drink alcohol?	के म रक्सी पिउन सक्छु?
>>npi<< My sister likes Tom.	मेरी बहिनीले टमलाई मन पराउँछिन्।
>>npi<< Pleased to meet you.	तपाईँलाई भेटेर खुशी लाग्यो।
>>npi<< Say good night, Tom.	शुभ रात्रि भन, टम।
>>npi<< See me in my office.	मलाई मेरो कार्यालयमा भेट्नुहोस्।
>>npi<< She opened the door.	उनले ढोका खोलिन्।
>>npi<< Sheep feed on grass.	भेडाले घाँस खान्छ।
>>npi<< Sit down over there.	त्यहीँ बस।
>>npi<< That dress is cheap.	त्यो पोशाक सस्तो छ।
>>npi<< That's not a secret.	त्यो गोप्य कुरा होइन।
>>npi<< That's not a secret.	त्यो कुनै गोप्य कुरा होइन।
>>npi<< They're my students.	तिनीहरू मेरा विद्यार्थी हुन्।
>>npi<< This cat is unlucky.	यो बिरालो अभागी छ।
>>npi<< This group is smart.	यो समूह चतुर छ।
>>npi<< Tom called me a pig.	टमले मलाई सुँगुर भन्यो।
>>npi<< Tom chased after me.	टम मेरो पछि पछि लागे।
>>npi<< Tom didn't watch TV.	टमले टिभी हेरेनन्।
>>npi<< Tom has become rich.	टम धनी भएको छ।
>>npi<< Tom has one brother.	टमको एउटा भाइ छ।
>>npi<< Tom is not a member.	टम सदस्य होइन।
>>npi<< Tom started running.	टम दौडन थाल्यो।
>>npi<< Tom stopped himself.	टमले आफैलाई रोक्यो।
>>npi<< Tom's gate was open.	टमको गेट खुला थियो।
>>npi<< Wait thirty minutes.	३० मिनेट पर्खनुहोस्।
>>npi<< We grew up together.	हामी सँगै हुर्क्यौं।
>>npi<< We must pay the tax.	हामीले कर तिर्नु पर्छ।
>>npi<< What did Tom report?	टमले के रिपोर्ट गरे?
>>npi<< What should I drink?	मैले के पिउनु पर्छ?
>>npi<< When's Father's Day?	बुबाको मुख हेर्ने दिन कहिले हो?
>>npi<< Where is Tom anyway?	जे भए पनि टम कहाँ छ?
>>npi<< Where is the toilet?	शौचालय कहाँ छ?
>>npi<< Where were you born?	तपाईं कहाँ जन्मनुभएको हो?
>>npi<< Where's the station?	स्टेशन कहाँ छ?
>>npi<< Who's the lucky one?	भाग्यमानी को हो?
>>npi<< Why did you call me?	तिमीले मलाई किन बोलाएको?
>>npi<< Why did you call me?	तिमीले मलाई किन फोन गरेको?
>>npi<< You have three pens.	तिमीसँग तीनवटा कलम छन्।
>>npi<< You have three pens.	तपाईंसँग तीनवटा कलम छन्।
>>npi<< You must be kidding!	तपाईंले मजाक गरेको हुनु पर्छ!
>>npi<< You've got to hurry.	तिमीले हतार गर्नुपर्छ।
>>npi<< You've got to hurry.	हतार गर्नु पर्यो।
>>npi<< And who would you be?	तपाईं को हुनुहुन्छ?
>>npi<< And who would you be?	को बोल्दै हुनुहुन्छ?
>>npi<< Are you a couple now?	के तपाईहरू अहिले जोडी हुनुहुन्छ?
>>npi<< Are you disappointed?	के तपाई निराश हुनुहुन्छ?
>>npi<< Are you going anyway?	तपाईं जे भए पनि जाँदै हुनुहुन्छ?
>>npi<< Are you unhappy, Tom?	के तिमी दुखी छौ, टम?
>>npi<< Both men were killed.	दुबै जना मारिएका थिए।
>>npi<< Can I ask what it is?	के म सोध्न सक्छु कि यो के हो?
>>npi<< Can I ask what it is?	म सोध्न सक्छु यो के हो?
>>npi<< Can I eat everything?	के म सबै खान सक्छु?
>>npi<< Can I eat this bread?	के म यो रोटी खान सक्छु?
>>npi<< Can plants feel pain?	के बिरुवाहरूले पीडा महसुस गर्न सक्छन्?
>>npi<< Change is inevitable.	परिवर्तन अपरिहार्य छ।
>>npi<< Do you have a secret?	के तपाईसँग गोप्य कुरा छ?
>>npi<< Do you have a secret?	के तिमीसँग गोप्य कुरा छ?
>>npi<< Do you have any food?	के तपाइँसँग कुनै खाना छ?
>>npi<< Do you know this man?	के तपाई यो मान्छे लाई चिन्नुहुन्छ?
>>npi<< Good night, everyone!	सबैलाई शुभ रात्री!
>>npi<< He doesn't like fish.	उसलाई माछा मन पर्दैन।
>>npi<< He got off the train.	ऊ रेलबाट ओर्लियो।
>>npi<< How is this my fault?	यो मेरो गल्ती कसरी भयो ?
>>npi<< How old are you, Tom?	तपाईं कति वर्षको हुनुहुन्छ, टम?
>>npi<< How old are you, Tom?	तिम्रो उमेर कति भयो , टम?
>>npi<< I am afraid of dying.	म मृत्युसँग डराउँछु।
>>npi<< I am terribly hungry.	मलाई धेरै भोक लागेको छ।
>>npi<< I bet I finish first.	म शर्त गर्छु कि म पहिले समाप्त गर्छु।
>>npi<< I borrowed Tom's car.	मैले टमको कार उधारो लिएँ।
>>npi<< I can't dance either.	मलाई नाच्न पनि आउँदैन।
>>npi<< I don't believe this.	मलाई यस्तो कुराको विश्वास लाग्दैन।
>>npi<< I don't like vinegar.	मलाई भिनेगर मन पर्दैन।
>>npi<< I eat rice every day.	म हरेक दिन भात खान्छु।
>>npi<< I got stung by a bee.	मलाई माहुरीले टोक्यो।
>>npi<< I got stung by a bee.	मलाई माहुरीले डस्यो।
>>npi<< I have poor eyesight.	मेरो आँखाको अवस्था ठिक छैन।
>>npi<< I hear a dog barking.	मैले कुकुर भुकिरहेको सुन्छु।
>>npi<< I know Tom is active.	मलाई थाहा छ टम सक्रिय छ।
>>npi<< I know Tom's brother.	म टमको भाइलाई चिन्छु।
>>npi<< I know life is short.	मलाई थाहा छ जीवन छोटो छ।
>>npi<< I like bright colors.	मलाई उज्यालो रंग मन पर्छ।
>>npi<< I made a big mistake.	मैले ठूलो गल्ती गरें।
>>npi<< I miss you very much.	मलाई तिम्रो धेरै याद आइरहेको छ।
>>npi<< I need to rent a car.	मलाई एउटा कार भाडामा लिनु पर्ने छ।
>>npi<< I prefer to be alone.	म एक्लै बस्न रुचाउँछु।
>>npi<< I think you're wrong.	मलाई लाग्छ तपाईं गलत हुनुहुन्छ।
>>npi<< I was in a good mood.	म राम्रो मुडमा थिएँ।
>>npi<< I was in a good mood.	मेरो मुड राम्रो थियो।
>>npi<< I was stung by a bee.	मलाई माहुरीले टोक्यो।
>>npi<< I was stung by a bee.	मलाई माहुरीले डस्यो।
>>npi<< I went to that party.	म त्यो पार्टीमा गएको थिएँ।
>>npi<< I won't let Tom down.	म टमलाई निराश पार्ने छैन।
>>npi<< I'd like to be alone.	म एक्लै बस्न चाहन्छु।
>>npi<< I'm glad to help you.	म तपाईंलाई मद्दत गर्न पाउँदा खुसी छु।
>>npi<< I'm glad to meet you.	तपाईँलाई भेटेर खुशी लाग्यो।
>>npi<< I'm not conservative.	म रूढीवादी होइन।
>>npi<< I'm not good-looking.	म हेर्दा राम्रो छैन।
>>npi<< I'm not middle class.	म मध्यमवर्गीय होइन।
>>npi<< I'm still doing that.	म अझै पनि त्यही गरिरहेको छु।
>>npi<< Is this your bicycle?	के यो तिम्रो साइकल हो?
>>npi<< It could be exciting.	यो रोमाञ्चक हुन सक्छ।
>>npi<< It felt like an hour.	एक घण्टाजस्तो लाग्यो ।
>>npi<< It makes you curious.	यसले तपाईंलाई जिज्ञासु बनाउँछ।
>>npi<< It was hot yesterday.	हिजो गर्मी थियो।
>>npi<< It's made of leather.	यो छालाबाट बनेको हो।
>>npi<< It's too much for me.	यो मेरो लागि धेरै छ।
>>npi<< It's too much for me.	यो मेरो लागि अति नै छ।
>>npi<< Let me handle things.	मलाई कुराहरू सम्हाल्न दिनुहोस्।
>>npi<< Let's face the facts!	तथ्यहरूको सामना गरौं!
>>npi<< May I dance with you?	के म तिमी संग नाच्न सक्छु?
>>npi<< My birthday is today.	मेरो जन्मदिन आज हो ।
>>npi<< My name isn't listed.	सूचीमा मेरो नाम छैन।
>>npi<< My name's not listed.	सूचीमा मेरो नाम छैन।
>>npi<< No one is that lucky.	त्यस्तो भाग्यमानी कोही छैन ।
>>npi<< Put it on Tom's desk.	यसलाई टमको डेस्कमा राख्नुहोस्।
>>npi<< Put it on Tom's desk.	यसलाई टमको डेस्कमा राख।
>>npi<< She has a kind heart.	उनीसँग दयालु हृदय छ।
>>npi<< Show me your ID card.	आफ्नो आईडी कार्ड देखाउ।
>>npi<< That isn't practical.	त्यो व्यावहारिक छैन।
>>npi<< This plan might work.	यो योजना सफल हुन सक्छ।
>>npi<< Today is my birthday.	आज मेरो जन्मदिन हो।
>>npi<< Tom climbed Mt. Fuji.	टम माउन्ट फुजी चढे।
>>npi<< Tom climbed Mt. Fuji.	टम माउन्ट फुजी चढ्यो।
>>npi<< Tom doesn't trust us.	टमले हामीलाई विश्वास गर्दैन।
>>npi<< Tom fixed my bicycle.	टमले मेरो साइकल बनाईदियो ।
>>npi<< Tom has a nice voice.	टमको आवाज सुन्दर छ।
>>npi<< Tom has to get ready.	टम तयार हुनुपर्छ।
>>npi<< Tom is a dog trainer.	टम एक कुकुर प्रशिक्षक हो।
>>npi<< Tom is a naughty boy.	टम एक शरारती केटो हो।
>>npi<< Tom is my first name.	टम मेरो पहिलो नाम हो।
>>npi<< Tom is only thirteen.	टम मात्र तेह्र वर्षको छ।
>>npi<< Tom knew I was tired.	टमलाई म थाकेको थाहा थियो।
>>npi<< Tom knows how to win.	टमलाई कसरी जित्ने थाहा छ।
>>npi<< Tom made fun of Mary.	टमले मेरीको मजाक उडाए।
>>npi<< Tom made fun of Mary.	टमले मेरीको मजाक उडायो।
>>npi<< Tom needed your help.	टमलाई तपाईंको मद्दत चाहिएको थियो।
>>npi<< Tom proved otherwise.	टमले अन्यथा प्रमाणित गरे।
>>npi<< Tom really likes you.	टमले तिमीलाई साँच्चै मन पराउँछ।
>>npi<< Tom sat on the table.	टम टेबलमा बस्यो।
>>npi<< Tom scared everybody.	टमले सबैलाई डराए।
>>npi<< Tom scared everybody.	टमले सबैलाई डराएको थियो।
>>npi<< Tom started vomiting.	टमले बान्ता गर्न थाल्यो।
>>npi<< Tom stole everything.	टमले सबै कुरा चोर्यो।
>>npi<< Tom washed both cars.	टमले दुबै कारहरू धोए।
>>npi<< Tom watched in shock.	टमले स्तब्ध भएर हेर्यो।
>>npi<< Tom, how old are you?	टम, तिम्रो उमेर कति भयो ?
>>npi<< We're serious people.	हामी गम्भीर मानिसहरू हौं।
>>npi<< What are you washing?	के धुँदै हुनुहुन्छ?
>>npi<< What are you washing?	तपाई के धुँदै हुनुहुन्छ?
>>npi<< What are your duties?	तिम्रा कर्तव्यहरु के के छन् ?
>>npi<< What is bullfighting?	बुलफाइटिंग भनेको के हो?
>>npi<< What is bullfighting?	गोरु जुदाई भनेको के हो?
>>npi<< What was Tom wearing?	टमले के लगाएको थियो?
>>npi<< What's that building?	त्यो भवन के हो?
>>npi<< Where's the restroom?	शौचालय कहाँ छ?
>>npi<< Where's your brother?	तपाइको भाई कहाँ हुनुहुन्छ?
>>npi<< Why aren't they here?	तिनीहरू यहाँ किन छैनन्?
>>npi<< Why not come with me?	मसँग किन नआउने?
>>npi<< You must be so angry.	तपाई धेरै रिसाएको हुनुपर्छ।
>>npi<< Am I imagining things?	के म चीजहरूको कल्पना गर्दैछु?
>>npi<< Are you employed here?	के तिमी यहाँ काम गर्छौ?
>>npi<< Are you in a bad mood?	के तपाई खराब मुडमा हुनुहुन्छ?
>>npi<< Can you fix my laptop?	के तपाईं मेरो ल्यापटप ठीक गर्न सक्नुहुन्छ?
>>npi<< Can you fix my laptop?	के तपाईं मेरो ल्यापटप बनाउन सक्नुहुन्छ?
>>npi<< Can you identify that?	के तपाईं त्यो पहिचान गर्न सक्नुहुन्छ?
>>npi<< Can you send it to me?	के तपाईं मलाई पठाउन सक्नुहुन्छ?
>>npi<< Did you hear the bell?	घण्टीको आवाज सुन्नु भयो?
>>npi<< Did you hear the bell?	घण्टीको आवाज सुन्यौ?
>>npi<< Do you pray every day?	के तपाईं हरेक दिन प्रार्थना गर्नुहुन्छ?
>>npi<< He has a Japanese car.	उहाँसँग जापानी कार छ।
>>npi<< He has a Japanese car.	ऊसँग जापानी कार छ।
>>npi<< He has a large family.	उहाँको ठूलो परिवार छ ।
>>npi<< He has a large family.	उसको ठूलो परिवार छ।
>>npi<< His car has no wheels.	उसको कारमा पाङ्ग्रा छैनन्।
>>npi<< I can write very fast.	म धेरै छिटो लेख्न सक्छु।
>>npi<< I can't bear the pain.	म पीडा सहन सक्दिन।
>>npi<< I can't eat that food.	म त्यो खान सक्दिन।
>>npi<< I chose the wrong one.	मैले गलत रोजेँ।
>>npi<< I hated history class.	म इतिहासको कक्षालाई घृणा गर्थे।
>>npi<< I have a grammar book.	मसित व्याकरणको किताब छ​।
>>npi<< I haven't decided yet.	मैले अझै निर्णय गरेको छैन।
>>npi<< I know I've been shot.	मलाई गोली लागेको थाहा छ।
>>npi<< I liked what you said.	तपाईले भनेको कुरा मलाई मन पर्यो।
>>npi<< I liked what you said.	तिमीले भनेको कुरा मलाई मन पर्यो।
>>npi<< I must do that anyway.	मैले जसरी पनि त्यो गर्नुपर्छ।
>>npi<< I need you by my side.	मलाई तिम्रो साथ चाहिन्छ।
>>npi<< I often work with Tom.	म प्राय टमसँग काम गर्छु।
>>npi<< I ran toward the door.	म ढोकातिर दौडिए ।
>>npi<< I remember this place.	म यो ठाउँ सम्झन्छु।
>>npi<< I remember this place.	मलाई यो ठाउँ याद छ।
>>npi<< I want to be like you.	म तिमी जस्तै बन्न चाहन्छु।
>>npi<< I worked hard on that.	त्यसमा मैले कडा मेहनत गरेँ।
>>npi<< I'll be there at once.	म तत्कालै त्यहाँ जान्छु।
>>npi<< I'll show you my room.	म तिमीलाई मेरो कोठा देखाउँछु।
>>npi<< I'm apartment hunting.	म अपार्टमेन्ट खोज्दै छु।
>>npi<< I'm not even a member.	म सदस्य पनि होइन ।
>>npi<< I'm your new roommate.	म तिम्रो नयाँ रूममेट हुँ।
>>npi<< I'm your new roommate.	म तिम्रो नयाँ कोठामा बस्ने साथी हुँ।
>>npi<< Is Tom afraid of Mary?	के टम मेरीसँग डराउँछन्?
>>npi<< Is sugar good for you?	के तपाईंको लागि चिनी ठिक छ?
>>npi<< Is that a real tattoo?	के त्यो वास्तविक ट्याटू हो?
>>npi<< It was a nice feeling.	यो एउटा राम्रो अनुभूति थियो।
>>npi<< It's causing problems.	यसले समस्या निम्त्याइरहेको छ ।
>>npi<< It's not raining hard.	ठुलो पानी परेको छैन।
>>npi<< Just don't go outside.	बस बाहिर नजानुहोस्।
>>npi<< Let's buy some apples.	केही स्याउ किनौं।
>>npi<< Let's do this quietly.	चुपचापसंग गरौं।
>>npi<< May I use your toilet?	के म तिम्रो शौचालय प्रयोग गर्न सक्छु?
>>npi<< My father is a banker.	मेरो बुबा बैंकर हुनुहुन्छ।
>>npi<< My father is a banker.	मेरो बुबा बैंकमा काम गर्नुहुन्छ।
>>npi<< Please take your time.	कृपया आफ्नो समय लिनुहोस्।
>>npi<< Supplies are very low.	आपूर्ति धेरै कम छ।
>>npi<< Tell Tom what that is.	टमलाई भन्नुहोस् कि त्यो के हो।
>>npi<< Thanks for the cookie.	कुकीज को लागी धन्यवाद।
>>npi<< That book is sold out.	त्यो पुस्तक बिक्री भइसकेको छ।
>>npi<< That isn't a bad idea.	त्यो नराम्रो विचार होइन।
>>npi<< That must be exciting.	त्यो रोमाञ्चक हुनुपर्छ।
>>npi<< That's Tom's daughter.	ति टमकी छोरी हुन्।
>>npi<< The bus has just left.	बस भर्खरै छुट्यो।
>>npi<< The moon has come out.	चन्द्रमा निस्किसकेको छ ।
>>npi<< There was a thick fog.	त्यहाँ बाक्लो कुहिरो थियो।
>>npi<< This is my wife, Mary.	यिनी मेरी श्रीमती मेरी हुन्।
>>npi<< This is the wrong key.	यो गलत चाबी हो।
>>npi<< This room is for rent.	यो कोठा भाडामा छ।
>>npi<< This tea is too sweet.	यो चिया धेरै गुलियो छ।
>>npi<< Tom can take anything.	टम जे पनि लिन सक्छ।
>>npi<< Tom grabbed the candy.	टमले मिठाई समात्यो।
>>npi<< Tom has blue jeans on.	टमले नीलो जिन्स लगाएको छ।
>>npi<< Tom is a fast thinker.	टम एक द्रुत विचारकर्ता हो।
>>npi<< Tom is not interested.	टमलाई चासो छैन।
>>npi<< Tom is washing dishes.	टम भाँडा धुँदै छ।
>>npi<< Tom killed the spider.	टमले माकुरालाई मारे।
>>npi<< Tom likes to show off.	टमलाई देखावटी गर्न मनपर्छ।
>>npi<< Tom loves apple juice.	टमलाई स्याउको जुस मनपर्छ।
>>npi<< Tom put away his toys.	टमले आफ्ना खेलौनाहरू राखे।
>>npi<< Tom ran to the temple.	टम दौडेर मन्दिरतिर गयो।
>>npi<< Tom said he was dying.	टमले भनो कि ऊ मर्दैछ।
>>npi<< Tom wanted to succeed.	टम सफल हुन चाहन्थे।
>>npi<< Tom was also offended.	टम पनि आक्रोशित थियो।
>>npi<< Tom was told about it.	टमलाई यसको बारेमा बताइयो।
>>npi<< Tom won't go, will he?	टम जानेछैन, के ऊ जान्छ?
>>npi<< We never said goodbye.	हामीले कहिल्यै अलविदा भनेनौं।
>>npi<< We'd better get ready.	हामी तयार हुनु राम्रो हुन्छ।
>>npi<< We'll go after we eat.	खाना खाइसकेपछि जान्छौं।
>>npi<< What did you just say?	भर्खरै के भन्नुभयो?
>>npi<< What do ostriches eat?	अस्ट्रिचले के खान्छ?
>>npi<< Where can we find you?	हामी तपाईंलाई कहाँ भेट्टाउन सक्छौं?
>>npi<< Where is your brother?	तपाइको भाई कहाँ हुनुहुन्छ?
>>npi<< Who is that old woman?	ती वृद्धा को हुन्?
>>npi<< Whose booklet is that?	त्यो पुस्तिका कसको हो ?
>>npi<< Why didn't you answer?	तिमीले जवाफ किन नदिएको ?
>>npi<< Why shop there anyway?	जे भए पनि त्यहाँ पसल किन ?
>>npi<< Will you let Tom sing?	के तपाइँ टमलाई गाउन दिनुहुनेछ?
>>npi<< You're going to be OK.	तपाईं ठीक हुन हुनुहुनेछ।
>>npi<< Your mother loves you.	तिम्री आमाले तिमीलाई माया गर्नुहुन्छ।
>>npi<< Are you open on Sunday?	के तपाई आइतवार खाली हुनुहुन्छ?
>>npi<< Do you know about this?	के तपाईलाई यसको बारेमा थाहा छ?
>>npi<< Do you live here alone?	तिमी यहाँ एक्लै बस्छौ?
>>npi<< Do you live here alone?	तपाई यहाँ एक्लै बस्नुहुन्छ?
>>npi<< Do you live here alone?	त यहाँ एक्लै बस्छस्?
>>npi<< Don't get carried away.	मलाई नबहकाउनु होस्।
>>npi<< Don't skip classes, OK?	कक्षाहरू नछोड्नुहोस्, ठीक छ?
>>npi<< Give me that iron ball.	मलाई त्यो फलामको बल दिनुहोस्।
>>npi<< Give me that iron ball.	मलाई त्यो फलामको बल देऊ।
>>npi<< He often appears on TV.	उनी प्रायः टिभीमा देखा पर्छन्।
>>npi<< I am sixteen years old.	म सोह्र वर्षको भएँ।
>>npi<< I am sixteen years old.	म सोह्र वर्षको हुँ।
>>npi<< I decided to try again.	मैले पुन: प्रयास गर्ने निर्णय गरें।
>>npi<< I decided to try again.	मैले फेरि प्रयास गर्ने निर्णय गरें।
>>npi<< I decided to volunteer.	मैले स्वयंसेवक हुने निर्णय गरें।
>>npi<< I don't have seniority.	मसँग वरिष्ठता छैन।
>>npi<< I drink wine every day.	म हरेक दिन वाइन पिउँछु।
>>npi<< I got an A on my essay.	मैले मेरो निबन्धमा ए पाएँ।
>>npi<< I hate girls like that.	म त्यस्ता केटीहरूलाई घृणा गर्छु।
>>npi<< I kissed Tom yesterday.	मैले हिजो टमलाई चुम्बन गरें।
>>npi<< I know Tom is talented.	मलाई थाहा छ टम प्रतिभाशाली छ।
>>npi<< I know Tom isn't happy.	मलाई थाहा छ टम खुसी छैन।
>>npi<< I must find the answer.	यसको जवाफ मैले खोज्नुपर्छ।
>>npi<< I must find the answer.	यसको जवाफ मैले नखोजी हुदैन।
>>npi<< I only eat kosher food.	म कोषेर खाना मात्र खान्छु।
>>npi<< I only eat kosher food.	म कोषेर खाना बाहेक अरु खन्न।
>>npi<< I really appreciate it.	म साँच्चै यसको कदर गर्छु।
>>npi<< I think I do good work.	मलाई राम्रो काम गर्छु भन्ने लाग्छ।
>>npi<< I went there yesterday.	म हिजो त्यहाँ गएको थिएँ ।
>>npi<< I will not be defeated.	म पराजित हुने छैन।
>>npi<< I'll pay for it myself.	यसको लागि म आफैं तिर्नेछु।
>>npi<< I'm literally starving.	म साँच्चै भोकै छु।
>>npi<< I'm not making changes.	म परिवर्तन गरिरहेको छुइन।
>>npi<< I'm on my way to Tom's.	म टमको घर जाँदैछु।
>>npi<< I'm ready for tomorrow.	म भोलिको लागि तयार छु।
>>npi<< I'm sure it isn't true.	म पक्का छु कि यो सत्य होइन।
>>npi<< I've got no complaints.	मलाई कुनै गुनासो छैन।
>>npi<< Is it a recent picture?	के यो हालको तस्वीर हो?
>>npi<< Is it unconstitutional?	के यो असंवैधानिक हो?
>>npi<< It was really exciting.	यो साँच्चै रोमाञ्चक थियो।
>>npi<< It's snowing here, too.	यहाँ पनि हिउँ परेको छ ।
>>npi<< Mosquitoes are insects.	लामखुट्टे किराहरू हुन्।
>>npi<< My mother is beautiful.	मेरी आमा सुन्दर हुनुहुन्छ।
>>npi<< My wife's name is Mary.	मेरी श्रीमतीको नाम मेरी हो।
>>npi<< Please make it cheaper.	कृपया यसलाई सस्तो बनाउनुहोस्।
>>npi<< She went to that store.	उनी त्यो पसलमा गइन्।
>>npi<< Sometimes that happens.	कहिलेकाहीँ त्यस्तो हुन्छ।
>>npi<< Thank you ever so much.	सधैं धेरै धेरै धन्यवाद।
>>npi<< Thanks for the cookies.	कुकीज को लागी धन्यवाद।
>>npi<< That boy's name is Tom.	त्यो केटाको नाम टम हो।
>>npi<< That'll have to change.	त्यो परिवर्तन गर्नुपर्छ।
>>npi<< The light turned green.	ट्राफिक बत्ती हरियो भयो।
>>npi<< They got into the boat.	तिनीहरू डुङ्गामा चढे।
>>npi<< This is so humiliating.	यो धेरै अपमानजनक छ।
>>npi<< This tea is too bitter.	यो चिया धेरै तितो छ।
>>npi<< Tom and I aren't ready.	टम र म अझै तयार छैनौं।
>>npi<< Tom and Mary are twins.	टम र मेरी जुम्ल्याहा हुन्।
>>npi<< Tom broke his left arm.	टमले आफ्नो देब्रे हात भाँच्यो।
>>npi<< Tom damaged the engine.	टमले इन्जिनलाई क्षति पुर्यायो।
>>npi<< Tom eats a lot of fish.	टमले धेरै माछा खान्छ।
>>npi<< Tom gave Mary a kitten.	टमले मेरीलाई एउटा बिरालोको बच्चा दिए।
>>npi<< Tom has a half-brother.	टमको सौतेनी भाइ छ।
>>npi<< Tom has exams tomorrow.	टमको भोलि परीक्षाहरु छन्।
>>npi<< Tom is my new roommate.	टम मसँग कोठामा बस्ने नयाँ साथी हो।
>>npi<< Tom is reluctant to go.	टम जान अनिच्छुक छ।
>>npi<< Tom is writing letters.	टमले चिठीहरु लेख्दैछ।
>>npi<< Tom makes model planes.	टमले नमुना विमानहरू बनाउँछ।
>>npi<< Tom needs an incentive.	टमलाई प्रोत्साहनको आवश्यकता छ।
>>npi<< Tom only drinks coffee.	टमले कफी मात्र पिउछ।
>>npi<< Tom wants a girlfriend.	टम एक प्रेमिका चाहन्छ।
>>npi<< Tom wants a girlfriend.	टम प्रेमिका चाहन्छ।
>>npi<< Tom was killed in 2013.	टमको हत्या सन् २०१३ मा भएको थियो ।
>>npi<< We knew what to expect.	के आशा गर्ने भन्ने हामीलाई थाहा थियो।
>>npi<< We knew what to expect.	हामीलाई के आशा गर्ने थाहा थियो।
>>npi<< We walked to the store.	हामी पसलतिर लाग्यौं।
>>npi<< We'd better not go now.	हामी अब नजानु राम्रो हुन्छ।
>>npi<< We'll meet you outside.	हामी तपाईलाई बाहिर भेट्नेछौं।
>>npi<< What do you plan to do?	के गर्ने योजनामा हुनुहुन्छ?
>>npi<< What do you want to do?	तिमी के गर्न चाहान्छौ?
>>npi<< What do you want to do?	तपाई के गर्न चाहानुहुन्छ?
>>npi<< When will you get back?	तिमी कहिले फर्कनेछौ?
>>npi<< Where's my apple juice?	मेरो स्याउको जुस कहाँ छ?
>>npi<< Who could ask for more?	कसले धेरै माग्न सक्छ?
>>npi<< Who is this Tom anyway?	जे भए पनि यो टम को हो?
>>npi<< Why don't you eat beef?	तपाई गाईको मासु किन खानु हुन्न ?
>>npi<< Wolves have long tails.	ब्वाँसाको पुच्छर लामो हुन्छ।
>>npi<< You can eat this fruit.	यो फल खाए पनि हुन्छ।
>>npi<< You did very well, Tom.	तिमीले धेरै राम्रो गर्यौ, टम।
>>npi<< You won't see me again.	तिमीले मलाई फेरि देख्ने छैनौ।
>>npi<< You're a good teammate.	तपाईं एक राम्रो टिममेट हुनुहुन्छ।
>>npi<< You're always laughing.	तपाईं सधैं हाँस्नुहुन्छ।
>>npi<< You're not very polite.	तिमी धेरै विनम्र छैनौ।
>>npi<< You've made your point.	तपाईंले आफ्नो कुरा राख्नुभएको छ।
>>npi<< "Who is it?" "It's Tom."	"यो को हो?" "यो टम हो।"
>>npi<< A bear can climb a tree.	भालु रूख चढ्न सक्छ।
>>npi<< Animals are our friends.	जनावरहरू हाम्रा साथी हुन्।
>>npi<< Are you free on Mondays?	के तपाई सोमबार फ्री हुनुहुन्छ?
>>npi<< Are you free on Mondays?	के तपाई सोमबार खाली हुनुहुन्छ?
>>npi<< Are you willing to help?	के तपाईं मद्दत गर्न इच्छुक हुनुहुन्छ?
>>npi<< Ask me something easier.	मलाई केहि सजिलो सोध्नुहोस्।
>>npi<< Can you lower the price?	तपाईं मूल्य कम गर्न सक्नुहुन्छ?
>>npi<< Could you call me later?	के तपाईंले मलाई पछि कल गर्न सक्नुहुन्छ?
>>npi<< Did Tom buy a lot today?	के टमले आज धेरै किनेको छ?
>>npi<< Did Tom buy a lot today?	के टमले आज धेरै किन्यो ?
>>npi<< Did you buy a new phone?	के तपाईंले नयाँ फोन किन्नु भयो?
>>npi<< Do you have cough drops?	के तपाईसँग खोकी को औषधि छ?
>>npi<< Do you know what to say?	के तपाईलाई थाहा छ के भन्ने हो?
>>npi<< Everything's going well.	सबै कुरा राम्ररी चलिरहेको छ।
>>npi<< Exactly how old are you?	ठ्याक्कै तपाईको उमेर कति हो?
>>npi<< He is a friendly person.	ऊ मिलनसार व्यक्ति छ।
>>npi<< He's writing a book now.	उनी अहिले किताब लेख्दै छन् ।
>>npi<< How long is this bridge?	यो पुल कति लामो छ?
>>npi<< I am eighteen years old.	म अठार वर्षको भएँ।
>>npi<< I am eighteen years old.	म अठार वर्षको हुँ।
>>npi<< I am not going anywhere.	म कतै जाँदै छैन।
>>npi<< I believe I can do that.	मलाई विश्वास छ म त्यो गर्न सक्छु।
