>>heb<< Go.	לך!
>>heb<< Tom lost his job.	טום איבד את משרתו.
>>heb<< Tom lost his job.	טום איבד את עבודתו.
>>heb<< Tom lost his way.	תום איבד את דרכו.
>>heb<< Tom lost the bet.	תום הפסיד בהתערבות.
>>heb<< Tom loved Boston.	תום אהב את בוסטון.
>>heb<< Tom loved pranks.	תום אהב מתיחות.
>>heb<< Tom loved school.	תום אוהב את בית הספר.
>>heb<< Tom loved skiing.	תום אהב סקי.
>>heb<< Tom loves coffee.	תום אוהב קפה.
>>heb<< Tom loves hockey.	תום אוהב הוקי.
>>heb<< Tom loves pranks.	תום אוהב מתיחות.
>>heb<< Tom loves skiing.	תום אוהב סקי.
>>heb<< Tom loves soccer.	תום אוהב כדורגל.
>>heb<< Tom loves to eat.	תום אוהב לאכול.
>>heb<< Tom loves to run.	תום אוהב לרוץ.
>>heb<< Tom loves trains.	תום אוהב רכבות.
>>heb<< Tom loves tulips.	תום אוהב צבעונים.
>>heb<< Tom made a noise.	תום עשה רעש.
>>heb<< Tom made a scene.	תום עשה סצינה.
>>heb<< Tom made excuses.	תום המציא תירוצים.
>>heb<< Tom made me sing.	תום הכריח אותי לשיר.
>>heb<< Tom made partner.	תום השיג עמדת שותף.
>>heb<< Tom married Mary.	תום נשא את מרי לאשה.
>>heb<< Tom may be right.	תום עשוי להיות צודק.
>>heb<< Tom may be wrong.	תום עלול לטעות.
>>heb<< Tom may collapse.	תום עלול להתמוטט.
>>heb<< Tom may disagree.	תום עלול להתנגד.
>>heb<< Tom may not come.	אולי תום לא יבוא.
>>heb<< Tom mentioned it.	תום הזכיר את זה.
>>heb<< Tom might object.	תום עלול להתנגד.
>>heb<< Tom missed class.	תום פיספס שיעור.
>>heb<< Tom moved closer.	תום התקרב.
>>heb<< Tom needed water.	תום נזקק למים.
>>heb<< Tom needs braces.	תום צריך גשר בשיניים.
>>heb<< Tom never called.	תום מעולם לא צלצל.
>>heb<< Tom never cheats.	תום לעולם לא מרמה.
>>heb<< Tom never cooked.	תום מעודו לא בישל.
>>heb<< Tom never dances.	תום אף פעם לא רוקד.
>>heb<< Tom never forgot.	תום אף פעם לא שכח.
>>heb<< Tom never laughs.	תום אף פעם לא צוחק.
>>heb<< Tom never misses.	תום לא מחטיא לעולם.
>>heb<< Tom never shouts.	תום אף פעם לא צועק.
>>heb<< Tom never showed.	תום אף פעם לא הופיע.
>>heb<< Tom never talked.	תום אף פעם לא דיבר.
>>heb<< Tom nodded again.	תום הנהן מחדש.
>>heb<< Tom noticed that.	תום שם לכך לב.
>>heb<< Tom noticed this.	תום הבחין בכך.
>>heb<< Tom often smiles.	תום מחייך לעתים קרובות.
>>heb<< Tom opposed Mary.	תום התנגד למרי.
>>heb<< Tom ordered fish.	תום הזמין דג.
>>heb<< Tom ordered this.	תום הזמין את זה.
>>heb<< Tom ordered this.	תום ציווה את זה.
>>heb<< Tom ordered wine.	תום הזמין יין.
>>heb<< Tom outwitted me.	תום הערים עלי.
>>heb<< Tom outwitted us.	תום הערים עלינו.
>>heb<< Tom overheard us.	תום צותת לנו.
>>heb<< Tom paid nothing.	תום לא שילם דבר.
>>heb<< Tom painted that.	תום צבע את זה.
>>heb<< Tom phoned again.	תום טלפן מחדש.
>>heb<< Tom pinched Mary.	תום צבט את מרי.
>>heb<< Tom plays hockey.	תום משחק הוקי.
>>heb<< Tom plays tennis.	תום משחק טניס.
>>heb<< Tom prefers rice.	תום מעדיף אורז.
>>heb<< Tom pressured me.	תום לחץ עלי.
>>heb<< Tom punched Mary.	תום חבט במרי.
>>heb<< Tom pursued Mary.	תום רדף אחרי מרי.
>>heb<< Tom ran downhill.	תום רץ במורד הגבעה.
>>heb<< Tom ran downhill.	תום התדרדר.
>>heb<< Tom ran upstairs.	תום רץ למעלה.
>>heb<< Tom rarely spoke.	נדיר שתום דיבר.
>>heb<< Tom reads slowly.	טום קורא לאט.
>>heb<< Tom really cares.	באמת איכפת לתום.
>>heb<< Tom rebuked Mary.	תום גער במרי.
>>heb<< Tom refused help.	תום סירב לקבל עזרה.
>>heb<< Tom rescued Mary.	תום הציל את מרי.
>>heb<< Tom respects you.	תום מכבד אותך.
>>heb<< Tom revived Mary.	תום החייה את מרי.
>>heb<< Tom revived Mary.	תום אושש את מרי.
>>heb<< Tom revived Mary.	תום הקים את מרי לתחיה.
>>heb<< Tom said goodbye.	תום נפרד לשלום.
>>heb<< Tom said nothing.	טום לא אמר דבר.
>>heb<< Tom said nothing.	טום לא אמר שום דבר.
>>heb<< Tom said nothing.	טום לא אמר כלום.
>>heb<< Tom said nothing.	טום לא אמר מילה.
>>heb<< Tom sat silently.	תום ישב שותק.
>>heb<< Tom saved us all.	תום הציל את כולנו.
>>heb<< Tom saw a doctor.	טום הלך לרופא.
>>heb<< Tom saw a doctor.	טום נבדק אצל רופא.
>>heb<< Tom saw somebody.	תום ראה מישהו.
>>heb<< Tom scolded Mary.	תום גער במרי.
>>heb<< Tom scolded Mary.	תום נזף במרי.
>>heb<< Tom scratched me.	תום שרט אותי.
>>heb<< Tom seemed angry.	תום נראה כועס.
>>heb<< Tom seemed bored.	תום נראה משועמם.
>>heb<< Tom seemed dazed.	תום נראה מטושטש.
>>heb<< Tom seemed happy.	תום נראה מאושר.
>>heb<< Tom seemed tired.	תום נראה עייף.
>>heb<< Tom seemed upset.	תום נראה מרוגז.
>>heb<< Tom seems biased.	תום נראה משוחד.
>>heb<< Tom seems bright.	תום נראה מבריק.
>>heb<< Tom seems clever.	תום נראה נבון.
>>heb<< Tom seems honest.	תום נראה ישר.
>>heb<< Tom seems hungry.	תום נראה רעב.
>>heb<< Tom seems lonely.	תום נראה בודד.
>>heb<< Tom seems scared.	תום נראה מפוחד.
>>heb<< Tom seems stupid.	תום נראה טיפש.
>>heb<< Tom seems unsure.	תום נראה לא בטוח בעצמו.
>>heb<< Tom seldom spoke.	נדיר שתום דיבר.
>>heb<< Tom sells coffee.	תום מוכר קפה.
>>heb<< Tom settled back.	תום נשען לאחור.
>>heb<< Tom settled down.	תום נרגע.
>>heb<< Tom shocked Mary.	תום זעזע את מרי.
>>heb<< Tom shops online.	תום מבצע את הקניות שלו ברשת.
>>heb<< Tom shot at Mary.	תום ירה לעבר מרי.
>>heb<< Tom shot himself.	תום ירה בעצמו.
>>heb<< Tom shot his gun.	תום ירה ברובה שלו.
>>heb<< Tom shot someone.	תום ירה במישהו.
>>heb<< Tom should fight.	תום צריך להילחם.
>>heb<< Tom should leave.	תום צריך לעזוב.
>>heb<< Tom should relax.	תום צריך להרגע.
>>heb<< Tom shuffled off.	תום סילק את זה.
>>heb<< Tom shuffled out.	תום נע בפסיעות מדודות.
>>heb<< Tom slapped Mary.	תום סטר למרי.
>>heb<< Tom sleeps a lot.	תום ישן הרבה.
>>heb<< Tom slept inside.	תום ישן בפנים.
>>heb<< Tom slipped away.	תום התדרדר.
>>heb<< Tom slugged Mary.	תום חבט במרי.
>>heb<< Tom slumped over.	תום צנח ונשמט.
>>heb<< Tom smacked Mary.	תום טפח על מרי.
>>heb<< Tom smells awful.	תום מריח איום.
>>heb<< Tom smells weird.	תום מריח מוזר.
>>heb<< Tom smiled again.	תום חייך שנית.
>>heb<< Tom smiled hello.	תום חייך לשלום.
>>heb<< Tom smokes grass.	תום מעשן עשב.
>>heb<< Tom snubbed Mary.	תום התעלם ממרי במפגיע.
>>heb<< Tom sounded busy.	תום נשמע עסוק.
>>heb<< Tom sounds angry.	תום נשמע כועס.
>>heb<< Tom sounds upset.	תום נשמע כועס.
>>heb<< Tom sounds young.	תום נשמע צעיר.
>>heb<< Tom spoiled Mary.	תום קלקל את מרי בתפנוקים.
>>heb<< Tom spoke French.	תום דיבר צרפתית.
>>heb<< Tom spoke calmly.	תום דיבר ברוגע.
>>heb<< Tom spoke gently.	תום דיבר בעדינות.
>>heb<< Tom spoke slowly.	תום דיבר לאט.
>>heb<< Tom spoke softly.	תום דיבר בקול רך.
>>heb<< Tom spotted Mary.	תום הבחין במרי.
>>heb<< Tom stabbed Mary.	תום דקר את מרי.
>>heb<< Tom staggered in.	תום התנודד פנימה.
>>heb<< Tom stalked Mary.	תום ריגל אחרי מרי.
>>heb<< Tom stalled Mary.	תום עכב את מרי.
>>heb<< Tom started back.	תום התחיל לשוב.
>>heb<< Tom started over.	תום התחיל מחדש.
>>heb<< Tom stayed alert.	תום נשאר בכוננות.
>>heb<< Tom stayed awake.	תום נשאר ער.
>>heb<< Tom stayed close.	תום נשאר בסביבה.
>>heb<< Tom stayed quiet.	תום נשאר בשקט.
>>heb<< Tom stayed still.	תום קפא על שמריו.
>>heb<< Tom stayed there.	תום נשאר שם.
>>heb<< Tom steals stuff.	תום גונב דברים.
>>heb<< Tom stepped away.	תום סר הצידה.
>>heb<< Tom stepped back.	תום פסע לאחור.
>>heb<< Tom still drinks.	תום עדיין שותה.
>>heb<< Tom still drinks.	תום עדיין שותה לשוכרה.
>>heb<< Tom stole a base.	תום הגיע לבסיס בהתגנבות.
>>heb<< Tom stole things.	תום גנב חפצים.
>>heb<< Tom stood frozen.	תום עמד קפוא.
>>heb<< Tom stood nearby.	תום עמד בסביבה.
>>heb<< Tom stopped Mary.	תום עצר את מרי.
>>heb<< Tom stopped Mary.	טום עצר את מרי.
>>heb<< Tom stopped cold.	תום הפסיק מידית.
>>heb<< Tom stopped here.	תום עצר פה.
>>heb<< Tom studied hard.	תום למד קשה.
>>heb<< Tom studies hard.	תום לומד קשה.
>>heb<< Tom stumped Mary.	תום הכשיל את מרי.
>>heb<< Tom stunned Mary.	תום המם את מרי.
>>heb<< Tom subdued Mary.	תום הכריע את מרי.
>>heb<< Tom subdued Mary.	תום כופף את מרי תחת מרותו.
>>heb<< Tom suggested it.	תום הציע את זה.
>>heb<< Tom supported us.	תום תמך בנו.
>>heb<< Tom surprised me.	תום הפתיע אותי.
>>heb<< Tom surprised us.	תום הפתיע אותנו.
>>heb<< Tom swore loudly.	תום קילל בצעקות.
>>heb<< Tom tagged along.	תום הצטרף אליהם.
>>heb<< Tom taunted Mary.	תום מתח את מרי.
>>heb<< Tom teaches yoga.	תום מלמד יוגה.
>>heb<< Tom thanked Mary.	תום הודה למרי.
>>heb<< Tom tires easily.	תום מתעייף בקלות.
>>heb<< Tom touched Mary.	תום נגע במרי.
>>heb<< Tom trained Mary.	תום אימן את מרי.
>>heb<< Tom trained Mary.	תום אילף את מרי.
>>heb<< Tom trapped Mary.	תום לכד את מרי.
>>heb<< Tom trapped Mary.	תום הפיל את מרי בפח.
>>heb<< Tom tried to run.	תום ניסה לרוץ.
>>heb<< Tom tries harder.	תום משתדל יותר.
>>heb<< Tom tripped Mary.	תום הכשיל את מרי.
>>heb<< Tom trusted Mary.	תום סמך על מרי.
>>heb<< Tom trusted them.	תום סמך עליהם.
>>heb<< Tom turned right.	תום פנה ימינה.
>>heb<< Tom turned to go.	תום פנה ללכת.
>>heb<< Tom turned to me.	תום פנה אלי.
>>heb<< Tom turned white.	תום הלבין.
>>heb<< Tom tutored Mary.	תום לימד את מרי.
>>heb<< Tom tutored Mary.	תום חנך את מרי.
>>heb<< Tom visited Mary.	תום ביקר את מרי.
>>heb<< Tom waited there.	תום חיכה שם.
>>heb<< Tom walked ahead.	תום הלך קדימה.
>>heb<< Tom walked alone.	טום צעד לבדו.
>>heb<< Tom walked there.	תום הלך לשם.
>>heb<< Tom walks slowly.	טום הולך לאט.
>>heb<< Tom wandered off.	תום טייל הלאה.
>>heb<< Tom wanted money.	תום רצה כסף.
>>heb<< Tom wants a kiss.	טום רוצה נשיקה.
>>heb<< Tom wants advice.	תום רוצה עצה.
>>heb<< Tom wants change.	תום רוצה שינוי.
>>heb<< Tom wants cheese.	תום רוצה גבינה.
>>heb<< Tom wants coffee.	תום רוצה קפה.
>>heb<< Tom was a sailor.	תום היה מלח.
>>heb<< Tom was abducted.	טום נחטף.
>>heb<< Tom was abducted.	תום נחטף.
>>heb<< Tom was abrasive.	תום היה מחוספס.
>>heb<< Tom was addicted.	תום היה מכור.
>>heb<< Tom was affected.	זה השפיע על תום.
>>heb<< Tom was ambushed.	טמנו לתום מארב.
>>heb<< Tom was appalled.	תום הודהם.
>>heb<< Tom was arrested.	תום נעצר.
>>heb<< Tom was arrogant.	תום היה יהיר.
>>heb<< Tom was attacked.	תום הותקף.
>>heb<< Tom was babbling.	תום קשקש.
>>heb<< Tom was barefoot.	תום היה יחף.
>>heb<< Tom was betrayed.	בגדו בתום.
>>heb<< Tom was bleeding.	תום דימם.
>>heb<< Tom was bluffing.	תום בילף.
>>heb<< Tom was bragging.	תום השוויץ.
>>heb<< Tom was careless.	תום היה רשלן.
>>heb<< Tom was charming.	תום הקסים.
>>heb<< Tom was cheating.	תום רימה.
>>heb<< Tom was cheerful.	תום היה עליז.
>>heb<< Tom was cheering.	תום הריע.
>>heb<< Tom was cleaning.	תום ניקה.
>>heb<< Tom was confused.	תום היה מבולבל.
>>heb<< Tom was cornered.	תום הוקף מכל עבר.
>>heb<< Tom was creative.	תום היה יצירתי.
>>heb<< Tom was cremated.	גופתו של טום נשרפה לאפר.
>>heb<< Tom was defeated.	תום הובס.
>>heb<< Tom was defeated.	תום היה מובס.
>>heb<< Tom was deported.	תום הוגלה.
>>heb<< Tom was detained.	תום נעצר.
>>heb<< Tom was discreet.	תום היה דיסקרטי.
>>heb<< Tom was disloyal.	תום היה לא נאמן.
>>heb<< Tom was divorced.	תום היה גרוש.
>>heb<< Tom was dreaming.	תום חלם.
>>heb<< Tom was drinking.	תום שתה.
>>heb<< Tom was drowning.	תום טבע.
>>heb<< Tom was ecstatic.	תום היה נלהב.
>>heb<< Tom was executed.	תום הוצא להורג.
>>heb<< Tom was expelled.	תום גורש.
>>heb<< Tom was fearless.	תום היה ללא חת.
>>heb<< Tom was fighting.	תום היה לוחם.
>>heb<< Tom was finished.	תום היה מחוסל.
>>heb<< Tom was friendly.	תום היה חברותי.
>>heb<< Tom was gambling.	תום הימר.
>>heb<< Tom was generous.	תום היה נדיב.
>>heb<< Tom was grateful.	תום היה אסיר תודה.
>>heb<< Tom was grinning.	תום גיחך.
>>heb<< Tom was groaning.	תום גנח.
>>heb<< Tom was grunting.	תום גנח.
>>heb<< Tom was gullible.	תום היה פתי.
>>heb<< Tom was hesitant.	תום היה מהוסס.
>>heb<< Tom was homeless.	תום היה חסר קורת גג.
>>heb<< Tom was homesick.	תום נתקף געגועים הביתה.
>>heb<< Tom was impolite.	תום היה חסר נימוס.
>>heb<< Tom was infected.	תום נדבק.
>>heb<< Tom was innocent.	תום היה חף מפשע.
>>heb<< Tom was insecure.	תום לא היה בטוח בעצמו.
>>heb<< Tom was insulted.	העליבו את תום.
>>heb<< Tom was laid off.	טום פוטר.
>>heb<< Tom was laughing.	טום צחק.
>>heb<< Tom was mistaken.	תום טעה.
>>heb<< Tom was murdered.	תום נרצח.
>>heb<< Tom was obedient.	תום היה צייתן.
>>heb<< Tom was outraged.	טום זעם.
>>heb<< Tom was overpaid.	תום קיבל שכר מופרז.
>>heb<< Tom was poisoned.	תום הורעל.
>>heb<< Tom was prepared.	תום היה מוכן.
>>heb<< Tom was promoted.	תום קיבל קידום.
>>heb<< Tom was punctual.	תום היה דייקן.
>>heb<< Tom was punished.	תום נענש.
>>heb<< Tom was rejected.	תום נדחה.
>>heb<< Tom was released.	תום שוחרר.
>>heb<< Tom was relieved.	רווח לתום.
>>heb<< Tom was restless.	תום היה חסר מנוח.
>>heb<< Tom was ruthless.	תום היה אכזרי.
>>heb<< Tom was saddened.	תום התעצב.
>>heb<< Tom was searched.	נערך חיפוש על תום.
>>heb<< Tom was selected.	תום נבחר.
>>heb<< Tom was shopping.	תום עשה קניות.
>>heb<< Tom was sneezing.	תום התעטש.
>>heb<< Tom was speeding.	תום נסע במהירות מופרזת.
>>heb<< Tom was startled.	תום נבהל.
>>heb<< Tom was starving.	תום גסס מרעב.
>>heb<< Tom was stressed.	תום היה לחוץ.
>>heb<< Tom was stubborn.	תום היה עקשן.
>>heb<< Tom was studying.	תום למד.
>>heb<< Tom was sweating.	תום הזיע.
>>heb<< Tom was talented.	תום היה כשרוני.
>>heb<< Tom was terrible.	תום היה איום.
>>heb<< Tom was terrific.	תום היה נפלא.
>>heb<< Tom was terrific.	טום היה נהדר.
>>heb<< Tom was thrilled.	תום היה נרגש.
>>heb<< Tom was too late.	בשביל תום היה זה מאוחר מדי.
>>heb<< Tom was too weak.	תום היה חלש מדי.
>>heb<< Tom was tortured.	תום עונה.
>>heb<< Tom was troubled.	תום נראה מוטרד.
>>heb<< Tom was truthful.	תום היה נאמן לאמת.
>>heb<< Tom was unharmed.	תום לא נפגע.
>>heb<< Tom was vengeful.	תום רדף נקם.
>>heb<< Tom was vomiting.	תום הקיא.
>>heb<< Tom was wheezing.	תום חירחר.
>>heb<< Tom wasn't brave.	תום לא היה אמיץ לב.
>>heb<< Tom wasn't crazy.	תום לא היה מופרע.
>>heb<< Tom wasn't crazy.	תום לא היה משוגע.
>>heb<< Tom watched Mary.	תום צפה במרי.
>>heb<< Tom watches Mary.	תום מסתכל על מרי.
>>heb<< Tom watches Mary.	תום משגיח על מרי.
>>heb<< Tom wears a ring.	תום עונד טבעת.
>>heb<< Tom went berserk.	טום השתגע.
>>heb<< Tom went bonkers.	תום השתגע על כל הראש.
>>heb<< Tom went fishing.	תום יצא לדוג.
>>heb<< Tom went fishing.	תום הלך לדוג דגים.
>>heb<< Tom went missing.	תום נעדר.
>>heb<< Tom went running.	תום יצא בריצה.
>>heb<< Tom went surfing.	תום הלך לגלוש על הגלים.
>>heb<< Tom wets his bed.	תום מרטיב את המיטה שלו.
>>heb<< Tom will be fine.	תום יהיה בסדר.
>>heb<< Tom will explain.	תום יסביר.
>>heb<< Tom will help me.	תום יעזור לי.
>>heb<< Tom will improve.	תום ישתפר.
>>heb<< Tom will like me.	תום יאהב אותי.
>>heb<< Tom will preside.	תום יהיה היו"ר.
>>heb<< Tom will recover.	תום יחלים.
>>heb<< Tom will recover.	תום יתאושש.
>>heb<< Tom will respond.	תום יענה.
>>heb<< Tom will succeed.	תום יצליח.
>>heb<< Tom will survive.	תום ישרוד.
>>heb<< Tom won't eat it.	תום לא יאכל את זה.
>>heb<< Tom wondered why.	תום תהה מדוע.
>>heb<< Tom wore glasses.	תום חבש משקפיים.
>>heb<< Tom worked alone.	תום עבד לבדו.
>>heb<< Tom worked there.	תום עבד שם.
>>heb<< Tom works abroad.	תום עובד בחו"ל.
>>heb<< Tom works nearby.	תום עובד בסביבה.
>>heb<< Tom works nights.	תום עובד לילות.
>>heb<< Tom would accept.	תום היה מסכים.
>>heb<< Tom wounded Mary.	תום פצע את מרי.
>>heb<< Tom wronged Mary.	תום חטא למרי.
>>heb<< Tom wrote poetry.	תום כתב שירה.
>>heb<< Tom yelled again.	תום זעק שוב.
>>heb<< Tom's arms ached.	זרועותיו של תום כאבו.
>>heb<< Tom's dehydrated.	תום מיובש.
>>heb<< Tom's delusional.	לתום הזיות.
>>heb<< Tom's dependable.	תום תלותי.
>>heb<< Tom's devastated.	תום הרוס.
>>heb<< Tom's distracted.	תום דעתו מוסחת.
>>heb<< Tom's downstairs.	תום למטה.
>>heb<< Tom's face paled.	פניו של תום החוירו.
>>heb<< Tom's frightened.	תום חרד.
>>heb<< Tom's headstrong.	תום עקשן.
>>heb<< Tom's headstrong.	תום פזיז ונמהר.
>>heb<< Tom's hysterical.	תום היסטרי.
>>heb<< Tom's illiterate.	תום בור.
>>heb<< Tom's impossible.	תום בלתי אפשרי.
>>heb<< Tom's innovative.	תום חדשני.
>>heb<< Tom's interested.	תום מתעניין.
>>heb<< Tom's productive.	תום יצרני ופורה.
>>heb<< Tom's suspicious.	תום חושד.
>>heb<< Tom's undefeated.	תום לא מנוצח.
>>heb<< Tom's unreliable.	תום לא מהימן.
>>heb<< Tom's unreliable.	אין לסמוך על תום.
>>heb<< Tom, is that you?	תום, זה אתה?
>>heb<< Tomorrow is fine.	מחר יהיה בסדר.
>>heb<< Torture is wrong.	עינויים הם עוולה.
>>heb<< Trim your goatee.	תספר את זקן התיש שלך.
>>heb<< Trust me on that.	סימכי עלי לגבי זה.
>>heb<< Trust me on that.	סימכו עלי לגבי זה.
>>heb<< Trust your heart.	תן אמון בלבבך.
>>heb<< Try another door.	תנסה דלת אחרת.
>>heb<< Try it once more.	תנסה פעם נוספת.
>>heb<< Try it once more.	תנסה עוד פעם אחת.
>>heb<< Try reading this.	תנסה לקרוא את זה .
>>heb<< Try some of this.	תנסה מאלה.
>>heb<< Try someone else.	תנסה מישהו אחר.
>>heb<< Try this instead.	תנסה את זה במקום.
>>heb<< Try to be polite.	תנסי להיות מנומסת.
>>heb<< Try to stay calm.	תנסה להשאר קר רוח.
>>heb<< Turn down the TV.	החלישי את הטלוויזיה.
>>heb<< Turn off the gas.	כבה את הגז.
>>heb<< Turn off the gas.	כבי את הגז.
>>heb<< Turn off the gas.	תכבה את הגז.
>>heb<< Turn off the gas.	תכבי את הגז.
>>heb<< Turn off the gas.	סגור את הגז.
>>heb<< Turn right there.	פנה בדיוק כאן.
>>heb<< Turn this around.	סובב את זה.
>>heb<< Use your weapons.	השתמש בנשק שלך.
>>heb<< Wait right there.	המתן בדיוק פה.
>>heb<< Walk ahead of me.	לך לפניי.
>>heb<< Walk ahead of me.	לכי לפניי.
>>heb<< Walk more slowly.	לך יותר לאט.
>>heb<< Walk more slowly.	תאיט את קצב ההליכה.
>>heb<< Was Tom Canadian?	תום היה קנדי?
>>heb<< Was Tom coherent?	תום היה עקבי?
>>heb<< Was Tom drinking?	תום שתה?
>>heb<< Was Tom handsome?	תום היה חתיך?
>>heb<< Was Tom in on it?	האם תום השתתף בזה?
>>heb<< Was Tom involved?	תום היה מעורב?
>>heb<< Was Tom murdered?	האם תום נרצח?
>>heb<< Was Tom poisoned?	תום הורעל?
>>heb<< Was Tom punished?	תום נענש?
>>heb<< Was Tom sleeping?	תום ישן?
>>heb<< Was Tom with you?	תום היה איתך?
>>heb<< Was anybody hurt?	מישהו נפגע?
>>heb<< Was it necessary?	זה היה נחוץ?
>>heb<< Was it thrilling?	היה מסעיר?
>>heb<< Was it your idea?	האם הרעיון היה שלך?
>>heb<< Was it your idea?	האם הרעיון היה שלכם?
>>heb<< Was that helpful?	זה עזר?
>>heb<< Wash the windows.	רחץ את החלונות.
>>heb<< Wasn't that nice?	זה לא היה נחמד?
>>heb<< Watch me closely.	תביטי בי היטב.
>>heb<< Watch my fingers.	עקוב אחר האצבעות שלי.
>>heb<< Watch your mouth.	תקפיד על השפה שלך.
>>heb<< Watch your speed.	שים לב למהירות שלך.
>>heb<< Watch yourselves.	שמרו על עצמכם.
>>heb<< Water the plants.	תשקה את הצמחים.
>>heb<< We accept checks.	אנו מקבלים המחאות.
>>heb<< We agree on this.	הסכמנו על כך.
>>heb<< We aim to please.	כוונתנו להנעים.
>>heb<< We all hated you.	כולנו שנאנו אותך.
>>heb<< We all liked you.	כולנו חבבנו אותך.
>>heb<< We already tried.	כבר ניסינו.
>>heb<< We appreciate it.	אנו מעריכים את זה.
>>heb<< We arrived first.	אנחנו הגענו ראשונים.
>>heb<< We arrived first.	הגענו ראשונים.
>>heb<< We ate leftovers.	אכלנו שאריות.
>>heb<< We bike together.	אנו נוסעים יחד באופניים.
>>heb<< We both competed.	שנינו התחרנו.
>>heb<< We both hate you.	שנינו שונאים אותך.
>>heb<< We both love you.	שנינו אוהבים אתכם.
>>heb<< We both love you.	שנינו אוהבים אותך.
>>heb<< We came together.	הגענו ביחד.
>>heb<< We can't give up.	אנחנו לא יכולים לוותר.
>>heb<< We can't give up.	אנחנו לא יכולים להרים ידיים.
>>heb<< We can't give up.	אסור לנו לוותר.
>>heb<< We can't risk it.	איננו יכולים לקחת את הסיכון.
>>heb<< We can't risk it.	אנחנו לא יכולים לקחת את הסיכון הזה.
>>heb<< We can't risk it.	אנחנו לא יכולים לסכן את זה.
>>heb<< We considered it.	אנו שוקלים את זה.
>>heb<< We consulted Tom.	התייעצנו עם תום.
>>heb<< We contacted Tom.	התקשרנו עם תום.
>>heb<< We could both go.	שנינו נוכל ללכת.
>>heb<< We demand action.	אנו דורשים פעולה.
>>heb<< We demand change.	אנו דורשים שינוי.
>>heb<< We depend on you.	אנו סומכים עליך.
>>heb<< We depend on you.	אנו תלויים בך.
>>heb<< We depend on you.	אנו תלויים בכם.
>>heb<< We disobeyed Tom.	לא צייתנו לתום.
>>heb<< We disobeyed Tom.	המרנו את פיו של תום.
>>heb<< We disturbed Tom.	הפרענו לתום.
>>heb<< We disturbed him.	אנחנו הפרענו לו.
>>heb<< We don't like it.	אנו לא אוהבים את זה.
>>heb<< We enjoy talking.	אנחנו אוהבים לדבר.
>>heb<< We enjoy talking.	אנחנו אוהבים לשוחח.
>>heb<< We enjoy talking.	אנו נהנים לשוחח.
>>heb<< We fed ourselves.	פרנסנו את עצמנו.
>>heb<< We feel terrible.	אנחנו מרגישים נורא.
>>heb<< We found it here.	מצאנו את זה כאן.
>>heb<< We got separated.	אנחנו נפרדנו.
>>heb<< We got separated.	אנחנו הופרדנו.
>>heb<< We had a bad day.	היה לנו יום רע.
>>heb<< We had breakfast.	אכלנו ארוחת בוקר.
>>heb<< We hate violence.	אנחנו שונאים אלימות.
>>heb<< We have blankets.	יש לנו שמיכות.
>>heb<< We have homework.	יש לנו שיעורי בית.
>>heb<< We have injuries.	יש לנו פציעות.
>>heb<< We have no sugar.	אין לנו סוכר.
>>heb<< We have pictures.	יש לנו תמונות.
>>heb<< We have to focus.	עלינו להתמקד.
>>heb<< We have to speak.	עלינו לדבר.
>>heb<< We have two ears.	יש לנו שתי אוזניים.
>>heb<< We have visitors.	יש לנו אורחים.
>>heb<< We hear you, Tom.	אנחנו שומעים אותך, טום.
>>heb<< We heard a noise.	שמענו רעש.
>>heb<< We heard gunfire.	שמענו יריות.
>>heb<< We heard her cry.	שמענו אותה בוכה.
>>heb<< We heard screams.	שמענו צעקות.
>>heb<< We irritated Tom.	הרגזנו את תום.
>>heb<< We just finished.	בדיוק גמרנו.
>>heb<< We just got here.	בדיוק הגענו לכאן.
>>heb<< We just moved in.	בדיוק עברנו לכאן.
>>heb<< We keep in touch.	אנו שומרים על קשר.
>>heb<< We kept our cool.	שמרנו על קור רוח.
>>heb<< We leave tonight.	אנו יוצאים הלילה.
>>heb<< We left together.	עזבנו ביחד.
>>heb<< We like children.	אנו אוהבים ילדים.
>>heb<< We live together.	אנו מתגוררים יחד.
>>heb<< We lost the game.	הפסדנו במשחק.
>>heb<< We made a banner.	עשינו דגל.
>>heb<< We made mistakes.	עשינו טעויות.
>>heb<< We make mistakes.	שגינו.
>>heb<< We mean business.	אנו רציניים.
>>heb<< We met yesterday.	נפגשנו אתמול.
>>heb<< We misjudged Tom.	טעינו בשיפוט לגבי תום.
>>heb<< We misjudged you.	טעיתי בשיפוט לגבכם.
>>heb<< We must be quiet.	אנו צריכים לשמור על שקט.
>>heb<< We must continue.	אנו חייבים להמשיך.
>>heb<< We must evacuate.	אנו חייבים להתפנות.
>>heb<< We must get back.	אנחנו חייבים לחזור אחורה.
>>heb<< We must warn him.	אנחנו מוכרחים להזהיר אותו.
>>heb<< We must warn him.	אנחנו חייבים להזהיר אותו.
>>heb<< We must warn him.	אנו חייבים לתת לו התראה.
>>heb<< We must warn him.	אנחנו מוכרחים להתרות בו.
>>heb<< We must withdraw.	אנו חייבים לסגת.
>>heb<< We need blankets.	אנו צריכים שמיכות.
>>heb<< We need evidence.	אנו צריכים ראיות.
>>heb<< We need exercise.	אנו זקוקים להתעמלות.
>>heb<< We need exercise.	אנו צריכים פעילות גופנית.
>>heb<< We need medicine.	אנו צריכים תרופות.
>>heb<< We need somebody.	אנו צריכים מישהו.
