>>fin<< Go.	Mene.
>>fin<< Like I said, no problem.	Kuten sanoin, ei hätää.
>>fin<< Lincoln opposed slavery.	Lincoln vastusti orjuutta.
>>fin<< Look at that over there.	Katsopa tuota.
>>fin<< Look at the setting sun.	Katso laskevaa aurinkoa.
>>fin<< Look, I can handle this.	Kyllä minä pärjään tämän kanssa.
>>fin<< Luck's on my side today.	Onni on tänään puolellani.
>>fin<< Making cheese is an art.	Juuston valmistus on taidetta.
>>fin<< Many sailors can't swim.	Monet merimiehet eivät osaa uida.
>>fin<< Marriage changes people.	Avioliitto muuttaa ihmisiä.
>>fin<< Mary can speak Japanese.	Mari osaa puhua japania.
>>fin<< Mary has long eyelashes.	Marilla on pitkät silmäripset.
>>fin<< Mary has two boyfriends.	Marilla on kaksi poikaystävää.
>>fin<< Mary has very long hair.	Marilla on todella pitkät hiukset.
>>fin<< Mary is a figure skater.	Mari on taitoluistelija.
>>fin<< Mary is a friendly girl.	Mari on ystävällinen tyttö.
>>fin<< Mary is a single mother.	Mari on yksinhuoltajaäiti.
>>fin<< Mary lied about her age.	Mari valehti ikänsä.
>>fin<< Mary lied about her age.	Mari valehteli iästään.
>>fin<< Mary took off her dress.	Mary otti pois mekkonsa.
>>fin<< Mary wore a silk blouse.	Mary piti silkkipuseroa.
>>fin<< Mary wore a silk blouse.	Mary oli pukeutunut silkkiseen puseroon.
>>fin<< Mary's parents hate Tom.	Marin vanhemmat vihaavat Tomia.
>>fin<< May I borrow your radio?	Saanko minä lainata radiotasi?
>>fin<< May I borrow your radio?	Saanko lainata radiotasi?
>>fin<< May I borrow your radio?	Saanko lainata radiotanne?
>>fin<< May I borrow your radio?	Saanko minä lainata radiotanne?
>>fin<< May I borrow your radio?	Saanko lainata sinun radiotasi?
>>fin<< May I borrow your radio?	Saanko minä lainata sinun radiotasi?
>>fin<< May I borrow your radio?	Saanko lainata teidän radiotanne?
>>fin<< May I borrow your radio?	Saanko minä lainata teidän radiotanne?
>>fin<< May I call you tomorrow?	Voinko soittaa sinulle huomenna?
>>fin<< May I hang up your coat?	Voinko ripustaa takkisi?
>>fin<< May I have a cup of tea?	Saisinko kupin teetä?
>>fin<< May I see your passport?	Saanko nähdä passinne?
>>fin<< May I swim in this lake?	Saanko uida tässä järvessä?
>>fin<< May I take your picture?	Saanko ottaa sinusta kuvan?
>>fin<< May I turn on the radio?	Saanko laittaa radion päälle?
>>fin<< May I use a credit card?	Voinko maksaa luottokortilla?
>>fin<< Maybe I can do it again.	Ehkä minä voin tehdä sen uudestaan.
>>fin<< Maybe I can do it again.	Ehkä minä voi tehdä sen vielä kerran.
>>fin<< Measure twice, cut once.	Mittaa kahdesti, leikkaa kerran.
>>fin<< Money isn't the problem.	Raha ei ole ongelma.
>>fin<< Monkeys are intelligent.	Apinat ovat älykkäitä.
>>fin<< Most boys know his name.	Useimmat pojat tuntevat hänen nimensä.
>>fin<< Most boys like baseball.	Suurin osa pojista pitää baseballista.
>>fin<< My advice is to go home.	Minun neuvoni on mennä kotiin.
>>fin<< My body itches all over.	Kutittaa joka puolelta.
>>fin<< My camera is waterproof.	Kamerani on vedenkestävä.
>>fin<< My cellphone is ringing.	Kännykkäni soi.
>>fin<< My computer froze again.	Mun tietokone kaatui taas.
>>fin<< My computer has crashed.	Tietokoneeni on kaatunut.
>>fin<< My daughter is a tomboy.	Tyttäreni on poikatyttö.
>>fin<< My daughter was cheated.	Minun tytärtäni huijattiin.
>>fin<< My daughter was cheated.	Tytärtäni huijattiin.
>>fin<< My dog died last winter.	Koirani kuoli viime talvena.
>>fin<< My dog was hit by a car.	Auto ajoi koirani päälle.
>>fin<< My dog was hit by a car.	Koirani jäi auton alle.
>>fin<< My favorite is this one.	Tämä on minun suosikkini.
>>fin<< My favorite is this one.	Tää on mun lemppari.
>>fin<< My girlfriend dumped me.	Mun tyttöystävä jätti mut.
>>fin<< My idea was much better.	Minun ideani oli paljon parempi.
>>fin<< My life is a soap opera.	Elämäni on saippuaoopperaa.
>>fin<< My mosquito bite itches.	Sääsken pisto kutisee.
>>fin<< My mosquito bite itches.	Hyttysen pisto kutiaa.
>>fin<< My office is over there.	Toimistoni on tuolla.
>>fin<< My parents are divorced.	Vanhempani ovat eronneet.
>>fin<< My parents are visiting.	Vanhempani ovat käymässä.
>>fin<< My parents are visiting.	Vanhempani ovat kylässä.
>>fin<< My parents are visiting.	Mun vanhemmat on käymässä.
>>fin<< My parents got divorced.	Vanhempani erosivat.
>>fin<< My patience has run out.	Kärsivällisyyteni on loppu.
>>fin<< My room is always clean.	Huoneeni on aina siisti.
>>fin<< My shoulders feel stiff.	Olkapääni tuntuvat jäykiltä.
>>fin<< My studies are going OK.	Mun opiskelut etenee ihan ookoosti.
>>fin<< My uncle gave me a book.	Setä antoi minulle kirjan.
>>fin<< My uncle gave me a book.	Eno antoi minulle kirjan.
>>fin<< My uncle gave me a gift.	Setäni antoi minulle lahjan.
>>fin<< My uncle gave me a gift.	Enoni antoi minulle lahjan.
>>fin<< My wife is a vegetarian.	Minun vaimoni on kasvissyöjä.
>>fin<< My wife is a vegetarian.	Mun vaimo on kasvissyöjä.
>>fin<< Never dig straight down.	Älä koskaan kaiva suoraan alas päin.
>>fin<< Never interrupt a woman.	Älä koskaan keskeytä naista.
>>fin<< Never talk to strangers.	Älä puhu koskaan vieraille ihmisille.
>>fin<< Next year will be tough.	Ensi vuosi tulee olemaan rankka.
>>fin<< Next year will be worse.	Ensi vuosi on huonompi.
>>fin<< No one else was injured.	Kukaan muu ei loukkaantunut.
>>fin<< No one is above the law.	Kukaan ei ole lain yläpuolella.
>>fin<< No one is going to know.	Kukaan ei saa tietää.
>>fin<< No one knows about this.	Kukaan ei tiedä tästä.
>>fin<< No one talks about that.	Kukaan ei puhu siitä.
>>fin<< No one told me anything.	Kukaan ei kertonut minulle mitään.
>>fin<< No stitches were needed.	Tikkejä ei tarvittu.
>>fin<< Nobody is indispensable.	Kukaan ei ole korvaamaton.
>>fin<< Nobody knows about this.	Kukaan ei tiedä tästä.
>>fin<< None of us speak French.	Kukaan meistä ei puhu ranskaa.
>>fin<< Not everyone enjoyed it.	Eivät kaikki siitä nauttineet.
>>fin<< Not everyone's like you.	Kaikki eivät ole sellaisia kuin sinä.
>>fin<< Now give me what I want.	Toteuta nyt toiveeni.
>>fin<< Now you've gone too far.	Nyt sinä olet mennyt liian pitkälle.
>>fin<< OK, I won't do it again.	Selvä, en tee sitä uudelleen.
>>fin<< OK, I won't do it again.	OK, en tee sitä toiste.
>>fin<< Oil and water don't mix.	Öljy ja vesi eivät sekoitu.
>>fin<< Only the strong survive.	Vain vahvat selviytyvät.
>>fin<< Open the window, please.	Avaisitko ikkunan?
>>fin<< Open the window, please.	Voisitko avata ikkunan?
>>fin<< Open the window, please.	Voisitko ystävällisesti avata ikkunan.
>>fin<< Order has been restored.	Järjestys on palautettu.
>>fin<< Our wedding is tomorrow.	Meidän häät ovat huomenna.
>>fin<< Our work is almost over.	Meidän työmme on melkein hoidettu.
>>fin<< Payment isn't necessary.	Maksua ei tarvita.
>>fin<< People want to own land.	Ihmiset haluavat omistaa maata.
>>fin<< Perhaps it was worth it.	Ehkä se oli sen arvoista.
>>fin<< Playing baseball is fun.	On hauskaa pelata baseballia.
>>fin<< Please answer in French.	Vastaa ranskaksi.
>>fin<< Please answer in French.	Vastaathan ranskaksi.
>>fin<< Please answer in French.	Pyydän, että vastaat ranskaksi.
>>fin<< Please answer the phone.	Voisitko vastata puhelimeen?
>>fin<< Please bring me my bill.	Toisitteko laskun.
>>fin<< Please call me a doctor.	Kutsukaa lääkäri.
>>fin<< Please call me a doctor.	Kutsu lääkäri.
>>fin<< Please call me a doctor.	Tarvitsen lääkäriä.
>>fin<< Please call me a doctor.	Kutsu tohtori.
>>fin<< Please call me a doctor.	Kutsukaa tohtori.
>>fin<< Please delete this file.	Poista tämä tiedosto.
>>fin<< Please don't use French.	Ethän käytä ranskaa.
>>fin<< Please extend this visa.	Voisitteko pidentää tätä viisumia?
>>fin<< Please give Tom my best.	Sano terveiset Tomille.
>>fin<< Please give me a coffee.	Saisinko kupin kahvia, kiitos.
>>fin<< Please give me a coffee.	Saisinko kahvin, kiitos.
>>fin<< Please give me a coffee.	Haluaisin kahvin.
>>fin<< Please give us a chance.	Anna meille mahdollisuus. Ole kiltti.
>>fin<< Please give us a chance.	Anna meille tilaisuus. Ole kiltti.
>>fin<< Please give us a chance.	Anna meille tšänssi. Ole kiltti.
>>fin<< Please have a seat here.	Olkaa hyvä ja istukaa tähän.
>>fin<< Please have a seat here.	Istukaa tähän, olkaa hyvä.
>>fin<< Please have a seat here.	Käykää tähän istumaan, olkaa hyvä.
>>fin<< Please hold on a moment.	Odottakaa hetkinen.
>>fin<< Please keep this secret.	Pidäthän tämän asian salaisuutena.
>>fin<< Please keep this secret.	Pidäthän tämän meidän välisenä tietona.
>>fin<< Please keep this secret.	Ethän kerro tästä kenellekään?
>>fin<< Please keep this secret.	Pidäthän tämän omana tietonasi?
>>fin<< Please lend me this pen.	Antaisitko minulle tämän kynän lainaan?
>>fin<< Please lend me this pen.	Lainaisitko minulle tätä kynää?
>>fin<< Please lend me your car.	Lainaisitko minulle autoasi?
>>fin<< Please lower your voice.	Puhu pienemmällä äänellä.
>>fin<< Please lower your voice.	Puhu vähän hiljempaa.
>>fin<< Please lower your voice.	Voisitko puhua vähän hiljempaa?
>>fin<< Please pass me the salt.	Voisitko ojentaa suolan?
>>fin<< Please pass me the salt.	Saisinko suolan, kiitos.
>>fin<< Please send me a letter.	Lähetäthän minulle kirjeen.
>>fin<< Please write with a pen.	Käytä kuulakärkikynää.
>>fin<< Prices dropped suddenly.	Hinnat tippuivat yhtäkkiä.
>>fin<< Prices have been rising.	Hinnat ovat nousseet.
>>fin<< Prices have been rising.	Hinnat on noussu.
>>fin<< Promise you won't laugh.	Lupaa ettet naura.
>>fin<< Promise you won't laugh.	Lupaa että et naura.
>>fin<< Put it back on the desk.	Laita se takaisin pöydälle.
>>fin<< Put this in your pocket.	Laita tämä taskuusi.
>>fin<< Scorpions are dangerous.	Skorpionit ovat vaarallisia.
>>fin<< Seven is a lucky number.	Seitsemän on hyvän onnen luku.
>>fin<< Seven minus two is five.	Seitsemän miinus kaksi on viisi.
>>fin<< She always smiles at me.	Hän aina hymyilee minulle.
>>fin<< She and I usually agree.	Hän ja minä olemme yleensä samaa mieltä.
>>fin<< She doesn't like soccer.	Hän ei tykkää jalkapallosta.
>>fin<< She doesn't like soccer.	Hän ei pidä jalkapallosta.
>>fin<< She faints all the time.	Hän pyörtyilee koko ajan.
>>fin<< She gave birth to twins.	Hän synnytti kaksoset.
>>fin<< She hardly ate anything.	Hän söi tuskin mitään.
>>fin<< She has plenty of books.	Hänellä on runsaasti kirjoja.
>>fin<< She has snow-white skin.	Hänellä on lumivalkoinen iho.
>>fin<< She has snow-white skin.	Hänellä on vitivalkoinen iho.
>>fin<< She is an educated girl.	Hän on sivistynyt tyttö.
>>fin<< She is an educated girl.	Hän on koulutettu tyttö.
>>fin<< She is blackmailing him.	Hän kiristää häntä.
>>fin<< She is blackmailing him.	Nainen kiristää miestä.
>>fin<< She is his present wife.	Hän on hänen nykyinen vaimonsa.
>>fin<< She is proud of her son.	Hän on ylpeä pojastaan.
>>fin<< She is very intelligent.	Hän on todella älykäs.
>>fin<< She led a solitary life.	Hän eli yksinäistä elämää.
>>fin<< She looks like her aunt.	Hän näyttää tädiltään.
>>fin<< She made him a new suit.	Hän teki uuden puvun hänelle.
>>fin<< She made me some eggnog.	Hän teki minulle munatotia.
>>fin<< She might come tomorrow.	Hän tulee ehkä huomenna.
>>fin<< She must be over eighty.	Hän on varmasti yli kahdeksankymppinen.
>>fin<< She sent him a postcard.	Hän lähetti hänelle postikortin.
>>fin<< She studies mathematics.	Hän opiskelee matematiikkaa.
>>fin<< She wanted to help them.	Hän halusi auttaa heitä.
>>fin<< She wouldn't let him in.	Hän ei päästänyt häntä sisään.
>>fin<< She'll make a good wife.	Hänestä tulee hyvä vaimo.
>>fin<< She'll succeed for sure.	Hän onnistuu varmasti.
>>fin<< She's heating the water.	Hän lämmittää vettä.
>>fin<< She's heating the water.	Hän kuumentaa vettä.
>>fin<< She's not young, is she?	Hän ei ole nuori, eikö niin?
>>fin<< Shoes are sold in pairs.	Kengät myydään pareina.
>>fin<< Show me what you bought.	Näytä minulle mitä ostit.
>>fin<< Shut the door, will you?	Sulkisitko oven, kiitos.
>>fin<< So, what do you suggest?	No, mitä sinä ehdotat?
>>fin<< So, what do you suggest?	No, mikä on ehdotuksesi?
>>fin<< So, where's the problem?	Joten missä tässä on ongelma?
>>fin<< So, where's the problem?	Missä tässä nyt on ongelma?
>>fin<< Some people like danger.	Jotkut pitävät vaaroista.
>>fin<< Somebody gave Tom a car.	Joku antoi Tomille auton.
>>fin<< Someone has to tell Tom.	Jonkun täytyy kertoa Tomille.
>>fin<< Someone is watching you.	Joku tarkkeilee sinua.
>>fin<< Someone should try this.	Jonkun pitäisi kokeilla tätä.
>>fin<< Someone stole my wallet.	Joku varasti lompakkoni.
>>fin<< Someone, please help me.	Voisiko joku auttaa minua?
>>fin<< Something is wrong here.	Täällä on jotain vialla.
>>fin<< Something is wrong here.	Täällä on jokin pielessä.
>>fin<< Sometimes I get jealous.	Tulen joskus kateelliseksi.
>>fin<< Sometimes I get jealous.	Tulen joskus mustasukkaiseksi.
>>fin<< Stay out of the kitchen.	Pysy poissa keittiöstä.
>>fin<< Stop talking about work.	Lakkaa jo puhumasta töistä.
>>fin<< Stop torturing yourself.	Lopeta itsesi kiduttaminen.
>>fin<< Study English every day.	Opiskele englantia joka päivä.
>>fin<< Take us to the hospital.	Vie meidät sairaalan luokse.
>>fin<< Take whichever you want.	Ota minkä haluat.
>>fin<< Tell me about your plan.	Kerro minulle suunnitelmastasi.
>>fin<< Tell me how to find Tom.	Kerro minulle se, että miten voin löytää Tomin.
>>fin<< Tell them to be careful.	Käske heidän olla varovaisia.
>>fin<< Tell us that joke again.	Kerro se vitsi meille uudestaan.
>>fin<< Thank you for your help.	Kiitos avustasi.
>>fin<< Thank you for your help.	Kiitos avusta.
>>fin<< Thanks for nothing, Tom.	Kiitos tyhjästä, Tom!
>>fin<< That boy looks like Tom.	Tuo poika näyttää Tomilta.
>>fin<< That changes everything.	Se muuttaa kaiken.
>>fin<< That coffee smells good.	Tuo kahvi tuoksuu hyvältä.
>>fin<< That could be a problem.	Se saattaa olla ongelma.
>>fin<< That cut looks infected.	Tuo viiltohaava näyttää tulehtuneelta.
>>fin<< That dog is really ugly.	Tuo koira on tosi ruma.
>>fin<< That factory makes toys.	Tuo tehdas valmistaa leluja.
>>fin<< That factory makes toys.	Tuo on lelutehdas.
>>fin<< That isn't what I meant.	Tuo ei ole sitä mitä tarkoitin.
>>fin<< That man looks familiar.	Tuo mies näyttää tutulta.
>>fin<< That massage felt great.	Tuo hieronta tuntui hyvältä.
>>fin<< That might be a problem.	Se saattaa olla ongelma.
>>fin<< That remains to be seen.	Se jää nähtäväksi.
>>fin<< That river is dangerous.	Tuo joki on vaarallinen.
>>fin<< That sounds interesting.	Se kuulostaa mielenkiintoiselta.
>>fin<< That sounds pretty dumb.	Se kuulosta aika tyhmältä.
>>fin<< That was quite a speech.	Sepä oli melkoinen puhe.
>>fin<< That was the basic idea.	Se oli perusajatus.
>>fin<< That was to be expected.	Se oli odotettavissakin.
>>fin<< That was worth the wait.	Se oli odottamisen arvoista.
>>fin<< That woman is beautiful.	Tuo nainen on kaunis.
>>fin<< That would be a problem.	Se olisi ongelma.
>>fin<< That would take all day.	Siihen menisi koko päivä.
>>fin<< That's a huge challenge.	Se on suuri haaste.
>>fin<< That's a very good idea.	Se on todella hyvä idea.
>>fin<< That's a very good idea.	Se on erittäin hyvä ajatus.
>>fin<< That's a very nice suit.	Tuo on todella hieno puku.
>>fin<< That's a weird question.	Outo kysymys.
>>fin<< That's all I have to do.	Siinä on kaikki mitä minun täytyy tehdä.
>>fin<< That's altogether wrong.	Se on kaiken kaikkiaan väärin.
>>fin<< That's enough for today.	Tämä riittää tältä päivältä.
>>fin<< That's enough for today.	Lopetetaanpa tältä päivältä tähän.
>>fin<< That's enough for today.	Siinä kaikki tältä päivältä.
>>fin<< That's enough for today.	Tässä kaikki tältä päivältä.
>>fin<< That's enough for today.	Lopetetaanpa sitten tältä päivältä.
>>fin<< That's just the problem.	Juuri se on ongelma.
>>fin<< That's more than enough.	Tuo on enemmän kuin riittävästi.
>>fin<< That's my favorite band.	Tuo on lempibändini.
>>fin<< That's my favorite band.	Tuo on lempiyhtyeeni.
>>fin<< That's not all Tom said.	Se ei ole kaikki mitä Tom sanoi.
>>fin<< That's not at all funny.	Tuo ei ole yhtään hauskaa.
>>fin<< That's not so important.	Se ei ole niin tärkeää.
>>fin<< That's not your problem.	Se ei ole sinun ongelmasi.
>>fin<< That's not your problem.	Se ei ole teidän ongelmanne.
>>fin<< That's perfectly normal.	Se on täysin normaalia.
>>fin<< That's perfectly normal.	Se on ihan tavallista.
>>fin<< That's so inappropriate.	Tuo on todella epäasiallista.
>>fin<< That's such a cool idea.	Se on tosi siisti idea.
>>fin<< That's the best we have.	Se on parasta mitä meillä on.
>>fin<< That's the general idea.	Se on yleisajatus.
>>fin<< That's under discussion.	Asian käsittely on kesken.
>>fin<< That's under discussion.	Keskustelu asiasta on käynnissä.
>>fin<< That's very encouraging.	Se on tosi rohkaisevaa.
>>fin<< That's why I was absent.	Sen takia minä olin poissa.
>>fin<< That's why he got angry.	Siksi hän suuttui.
>>fin<< The air in here is foul.	Ilma täällä on tunkkainen.
>>fin<< The airport is close by.	Lentokenttä on lähellä.
>>fin<< The baby began to crawl.	Vauva alkoi kontata.
>>fin<< The baby is one day old.	Vauva on yhden päivän ikäinen.
>>fin<< The baby started crying.	Vauva alkoi itkeä.
>>fin<< The baby started to cry.	Vauva alkoi itkeä.
>>fin<< The baby started to cry.	Vauva purskahti itkuun.
>>fin<< The baby stopped crying.	Vauva lopetti itkemisen.
>>fin<< The bird is in its nest.	Lintu on pesässään.
>>fin<< The box was almost full.	Laatikko oli melkein täynnä.
>>fin<< The boy began to scream.	Poika alkoi kirkua.
>>fin<< The boy remained silent.	Poika pysyi hiljaa.
>>fin<< The brake's not working.	Se tiheikkö ei toimi.
>>fin<< The brake's not working.	Tiheikkö ei toimi.
>>fin<< The brake's not working.	Se jarru ei toimi.
>>fin<< The brake's not working.	Jarru ei toimi.
>>fin<< The brake's not working.	Se loukku ei toimi.
>>fin<< The brake's not working.	Loukku ei toimi.
>>fin<< The brake's not working.	Se taivutin ei toimi.
>>fin<< The brake's not working.	Taivutin ei toimi.
>>fin<< The brake's not working.	Se levyntaivutin ei toimi.
>>fin<< The brake's not working.	Levyntaivutin ei toimi.
>>fin<< The brake's not working.	Se kulmauskone ei toimi.
>>fin<< The brake's not working.	Kulmauskone ei toimi.
>>fin<< The brake's not working.	Se kanttikone ei toimi.
>>fin<< The brake's not working.	Kanttikone ei toimi.
>>fin<< The building is on fire.	Rakennus on tulessa.
>>fin<< The bulb has burned out.	Lamppu on palanut.
>>fin<< The butterfly flew away.	Perhonen lensi pois.
>>fin<< The cat caught the rats.	Kissa nappasi rotat.
>>fin<< The cat caught the rats.	Kissa pyydysti rotat.
>>fin<< The cat is on the table.	Kissa on pöydällä.
>>fin<< The class starts at ten.	Tunti alkaa kymmeneltä.
>>fin<< The deadline has passed.	Määräaika on mennyt umpeen.
>>fin<< The desk drawer is open.	Pöytälaatikko on auki.
>>fin<< The dishwasher's broken.	Tiskikone on rikki.
>>fin<< The dog is on the chair.	Koira on tuolilla.
>>fin<< The dog needs to be fed.	Koira täytyy ruokkia.
>>fin<< The dog stopped barking.	Koira lopetti haukkumisen.
>>fin<< The door is opening now.	Ovi avautuu nyt.
>>fin<< The door is opening now.	Ovi aukeaa nyt.
>>fin<< The door is opening now.	Ovi on nyt aukeamassa.
>>fin<< The doorbell is ringing.	Ovikello soi.
>>fin<< The fire spread rapidly.	Tuli levisi nopeasti.
>>fin<< The flowers have wilted.	Kukat ovat kuihtuneet.
>>fin<< The funeral is tomorrow.	Hautajaiset ovat huomenna.
>>fin<< The game begins at 2:30.	Ottelu alkaa klo 14.30.
>>fin<< The game was called off.	Ottelu on peruttiin.
>>fin<< The grass needs cutting.	Ruoho on leikkaamisen tarpeessa.
>>fin<< The heater doesn't work.	Lämmitin ei toimi.
>>fin<< The hen has laid an egg.	Kana on muninut munan.
>>fin<< The jail is overcrowded.	Vankila on ylikansoitettu.
>>fin<< The jail is overcrowded.	Vankilassa on liian täyttä.
>>fin<< The key is on the table.	Avain on pöydällä.
>>fin<< The kitchen door opened.	Keittiön ovi aukesi.
>>fin<< The kitchen door opened.	Keittiön ovi avautui.
>>fin<< The kitchen door opened.	Keittiönovi aukesi.
>>fin<< The kitchen door opened.	Keittiönovi avautui.
>>fin<< The kitchen door opened.	Se keittiön ovi aukesi.
>>fin<< The kitchen door opened.	Se keittiön ovi avautui.
>>fin<< The kitchen door opened.	Se keittiönovi aukesi.
>>fin<< The kitchen door opened.	Se keittiönovi avautui.
>>fin<< The lion is eating meat.	Leijona syö lihaa.
>>fin<< The lion is eating meat.	Se leijona syö lihaa.
>>fin<< The lion is eating meat.	Leijona on syömässä lihaa.
>>fin<< The lion is eating meat.	Se leijona on syömässä lihaa.
>>fin<< The moon is already out.	Kuu on jo noussut.
>>fin<< The nation is polarized.	Kansa on polarisoitunutta.
>>fin<< The nation is polarized.	Kansa on poliittisesti jakaantunutta.
>>fin<< The night's still young.	Ilta on vielä nuori.
>>fin<< The ocean is really big.	Valtameri on todella suuri.
>>fin<< The old man lives alone.	Vanha mies asuu yksin.
>>fin<< The old man looked wise.	Vanha mies näytti viisaalta.
>>fin<< The old man looked wise.	Se vanha mies näytti viisaalta.
>>fin<< The pen is on the table.	Kynä on pöydän päällä.
>>fin<< The rabbi is on his way.	Rabbi on matkalla.
>>fin<< The rabbi is on his way.	Se rabbi on matkalla.
>>fin<< The river was beautiful.	Joki oli kaunis.
>>fin<< The road was very rough.	Tie oli hyvin epätasainen.
>>fin<< The room is quite small.	Huone on aika pieni.
>>fin<< The sea level is rising.	Merenpinta nousee.
>>fin<< The serpent tempted Eve.	Käärme viekoitteli Eevaa.
>>fin<< The ship dropped anchor.	Laiva pudotti ankkurin.
>>fin<< The ship hit an iceberg.	Laiva törmäsi jäävuoreen.
>>fin<< The sky was a deep blue.	Taivas oli syvän sininen.
>>fin<< The stores open at nine.	Kaupat aukeavat yhdeksältä.
>>fin<< The stores open at nine.	Liikkeet aukeavat yhdeksältä.
>>fin<< The stores open at nine.	Myymälät aukeavat yhdeksältä.
>>fin<< The sun melted the snow.	Aurinko sulatti lumen.
>>fin<< The trail has gone cold.	Jälki on kylmentynyt.
>>fin<< The train leaves at six.	Juna lähtee kuudelta.
>>fin<< The tree grew very tall.	Puu kasvoi todella korkeaksi.
>>fin<< The trip was really fun.	Matka oli todella hauska.
>>fin<< The trip was really fun.	Reissu oli tosi hauska.
>>fin<< The walls are very thin.	Seinät ovat hyvin ohuet.
>>fin<< The walls are very thin.	Ne seinät ovat hyvin ohuet.
>>fin<< The water began to boil.	Vesi alkoi kiehua.
>>fin<< The water turned to ice.	Vesi muuttui jääksi.
>>fin<< The water turned to ice.	Vesi jäätyi.
>>fin<< The weather is terrible.	Sää on hirveä.
>>fin<< The wedding was put off.	Häitä lykättiin.
>>fin<< Then what's the problem?	No mikä tässä on sitten ongelma?
>>fin<< There are three options.	On kolme vaihtoehtoa.
>>fin<< There is a fork missing.	Yksi haarukka puuttuu.
>>fin<< There is a fork missing.	Haarukka puuttuu.
>>fin<< There is no alternative.	Ei ole vaihtoehtoja.
>>fin<< There might be problems.	Tässä saattaa olla ongelmia.
>>fin<< There was a rope ladder.	Siellä oli köysitikkaat.
>>fin<< There won't be a choice.	Ei tule olemaan vaihtoehtoa.
>>fin<< There's a postcard here.	Täällä on postikortti.
>>fin<< There's another problem.	Siinä on toinen ongelma.
>>fin<< There's no problem here.	Tässä ei ole ongelmaa.
>>fin<< There's no problem here.	Tässä ei ole mitään ongelmaa.
>>fin<< There's no reset button.	Tässä ei ole resettinappia.
>>fin<< There's nothing to lose.	Ei ole mitään menetettävää.
>>fin<< There's nothing to tell.	Ei ole mitään kerrottavaa.
>>fin<< There's nowhere to hide.	Ei ole paikkaa minne kätkeytyä.
>>fin<< These apples taste good.	Nämä omenat maistuvat hyvältä.
>>fin<< These aren't your forks.	Nämä eivät ole sinun haarukoitasi.
>>fin<< These aren't your forks.	Nämä eivät ole sinun haarukkasi.
>>fin<< These keys are not mine.	Nämä avaimet eivät ole minun.
>>fin<< These may come in handy.	Nämä saattavat tulla tarpeeseen.
>>fin<< These ruins are ancient.	Nämä rauniot ovat ikivanhoja.
>>fin<< These scissors cut well.	Nämä sakset leikkaavat hyvin.
>>fin<< These shoes fit my feet.	Nämä kengät sopivat jalkoihini.
>>fin<< They all know the truth.	He kaikki tietävät totuuden.
>>fin<< They are older than Tom.	He ovat vanhempia kuin Tom.
>>fin<< They are sensible girls.	He ovat järkeviä tyttöjä.
>>fin<< They arrived separately.	He tulivat paikalle erikseen.
>>fin<< They attacked the enemy.	He hyökkäsivät vihollisten kimppuun.
>>fin<< They changed the system.	He vaihtoivat järjestelmää.
>>fin<< They crossed the border.	He ylittivät rajan.
>>fin<< They don't know my name.	He eivät tiedä nimeäni.
>>fin<< They don't know my name.	Hän ei tiedä nimeäni.
>>fin<< They formed a swim team.	He muodostivat uintijoukkueen.
>>fin<< They fought for freedom.	He taistelivat vapauden puolesta.
>>fin<< They got here yesterday.	He tulivat tänne eilen.
>>fin<< They may leave tomorrow.	He saattavat lähteä huomenna.
>>fin<< They overcame the enemy.	He kukistivat vihollisen.
>>fin<< They reached their goal.	He saavuttivat tavoitteensa.
>>fin<< They rejected your plan.	He hylkäsivät suunnitelmasi.
>>fin<< They said they know you.	He sanoivat, että he tietävät sinut.
>>fin<< They said they know you.	He sanoivat, että he tuntevat sinut.
>>fin<< They said they're tired.	He sanoivat olevansa väsyneitä.
>>fin<< They said they're tired.	He sanoivat, että he ovat väsyneitä.
>>fin<< They say he's very rich.	Hänen sanotaan olevan hyvin rikas.
>>fin<< They say he's very rich.	He sanovat, että hän on todella rikas.
>>fin<< They say it's very good.	He sanovat, että se on todella hyvä.
>>fin<< They think it was arson.	He arvelevat, että se oli tuhopoltto.
>>fin<< They went rock climbing.	He menivät kalliokiipeilemään.
>>fin<< They work in the fields.	He työskentelevät pelloilla.
>>fin<< They're all on vacation.	He ovat kaikki lomalla.
>>fin<< They're not busy at all.	He eivät ole ollenkaan kiireisiä.
>>fin<< They're not busy at all.	Heillä ei ole yhtään kiire.
>>fin<< They're predicting rain.	He ennustavat sadetta.
>>fin<< They're pretty harmless.	He ovat melko harmittomia.
>>fin<< They're pretty harmless.	Ne ovat melko harmittomia.
>>fin<< They're probably scared.	He ovat todennäköisesti peloissaan.
>>fin<< They're really harmless.	Ne ovat todella harmittomia.
>>fin<< They're self-sufficient.	He ovat omavaraisia.
>>fin<< They're self-sufficient.	He ovat taloudellisesti riippumattomia.
>>fin<< They're still available.	He ovat vieläkin käytettävissä.
>>fin<< They're taking pictures.	He ottavat kuvia.
>>fin<< They're total opposites.	He ovat täydellisiä vastakohtia.
>>fin<< They're very successful.	He ovat todella menestyksekkäitä.
>>fin<< They're waiting outside.	He odottavat ulkona.
>>fin<< They've found survivors.	He löysivät eloonjääneitä.
>>fin<< Things are looking good.	Asiat näyttävät hyvältä.
>>fin<< Think about your future.	Ajattele tulevaisuuttasi.
>>fin<< This book belongs to me.	Tämä kirja kuuluu minulle.
