>>pam<< Help!	Sakóru!
>>pam<< Workers lost their jobs.	Mílakó la óbra deng mágobra.
>>pam<< You never said anything.	Alá kang sinábi.
>>pam<< "Tom's crying." "I know."	"Kíkyak ya i Tom." "Bálu ku."
>>pam<< A glass of water, please.	Manyád nákung métung a básung danóm?
>>pam<< Can't you go by yourself?	Éka makápuntáng dilí mo?
>>pam<< Did I say I was finished?	Sinábi kung yarí náko?
>>pam<< Do you believe in ghosts?	Mániwála ka karéng máglagé?
>>pam<< Few people have two cars.	Dítak la mung táung makí adwáng kótsi.
>>pam<< He doesn't have a sister.	Alá yang kapatád a babái.
>>pam<< He has nobody to consult.	Alá yang kutnanán.
>>pam<< He was happy being a Jew.	Masayá ya king pánga-Húdyu na.
>>pam<< I can't live without you.	Éku kumabyé nung alá ka.
>>pam<< I don't know what I know.	Éku bálu nung nánung bálu ku.
>>pam<< I had some calls to make.	Atin kung kaylangang ausan.
>>pam<< I'll call you back later.	Awsán daká king teléponú kaybát.
>>pam<< I'll tell you everything.	Sabián ku ngan kéka.
>>pam<< I'm ready for a vacation.	Makasadyá nákung magbakasyún.
>>pam<< In a word, life is short.	King makúyad a salítâ, makúyad ing bye.
>>pam<< It's still light outside.	Masálá pa king kilwál.
>>pam<< Let's look in the closet.	Lumáwe ta king malatíng silíd.
>>pam<< My prayers were answered.	Mípakíbatán la reng pangadí ku.
>>pam<< No one's going to see us.	Aláng manákit kékatámu.
>>pam<< Should I call the doctor?	Máus kung dóktor?
>>pam<< Some people never listen.	Éla mákiramdám deng áliwang táu.
>>pam<< Take a taxi to the hotel.	Mag-táxi ka papuntá king hotél.
>>pam<< That's what I've ordered.	Yan ing inórder ku.
>>pam<< The babies are screaming.	Mángulísak la reng bíngut.
>>pam<< The book is on the table.	Atyú king bábo lamésa ing librú.
>>pam<< The window was wide open.	Mábusní ya ing áwang.
>>pam<< They continued searching.	Sindú da ing pámanintún.
>>pam<< This car runs on alcohol.	Ing alcohol ing mágpagána king kótsing iní.
>>pam<< Tom certainly was polite.	Taganáng magálang ya i Tom.
>>pam<< Tom didn't recognize her.	Éne ákilálang Tom.
>>pam<< Tom doesn't like me much.	Énáku makáing buríng Tom.
>>pam<< Tom had a company to run.	Atín yang kumpanyáng pánibalán i Tom.
>>pam<< Tom is out of the office.	Aláyu king upisína i Tom.
>>pam<< Tom turned off the music.	Pitdá neng Tom ing músika.
>>pam<< We didn't talk yesterday.	Éke mísabi nápun.
>>pam<< We didn't talk yesterday.	E kamí mísabi nápun.
>>pam<< What are you looking for?	Nánung páyntunán mu?
>>pam<< Who turned off the light?	Nínung mématda king sulû?
>>pam<< Who turned the light off?	Nínung mématda king sulû?
>>pam<< Why don't we order pizza?	Ot e támu mag-order pizza?
>>pam<< You can drive, can't you?	Makápagmanéu ka, e warî?
>>pam<< Aren't you going to dance?	Éka tumérak?
>>pam<< Can we really afford that?	Agyú táyá pin yan?
>>pam<< Did you get Tom's message?	Ikwá me ing mensáhi nang Tom?
>>pam<< Did you get Tom's message?	Ikwá ye ing mensáhi nang Tom?
>>pam<< He said, "Leave me alone."	"Lakwán mukúng díli ku," ngána.
>>pam<< I have a fear of the dark.	Tátákut ku king madalumdúm.
>>pam<< I have no home to live in.	Alá kung baléng tuknangán.
>>pam<< I knew I'd seen it before.	Bálu ku nang ikít ku ne.
>>pam<< I left my shoes at school.	Likwán ko reng sapátus king iskwéla.
>>pam<< I neither drink nor smoke.	Éku míminúm o sísindî.
>>pam<< I walk twenty miles a day.	Lálákad kung adwáng púlung mílya aldó'ldo.
>>pam<< I'm sure you're very busy.	Sigúrádu kung dakál ka gagáwan.
>>pam<< I'm sure you're very busy.	Sigúrádu kung taganáng okúpádu ka.
>>pam<< It rained hard last night.	Minurán masikán nabéngi.
>>pam<< Maybe I could go with you.	Sigúru malyári kung makiyagnán kéka.
>>pam<< She has psychic abilities.	Atín yang kagíwan a "psychic".
>>pam<< That's what everyone says.	Itá ing sasabyán ning bálang métung.
>>pam<< The cook broiled the meat.	Ningnáng ne ning kusinéru ing kárni.
>>pam<< Today is Independence Day.	Aldó ning Katimawán ngéni.
>>pam<< Tom accepted Mary's offer.	Tinggáp neng Tom ing alúk nang Mary.
>>pam<< Tom did an incredible job.	Mákapágmulálâ ing óbrang géwa nang Tom.
>>pam<< Tom escaped from his cell.	Tínakas ya i Tom king kayáng sélda.
>>pam<< Tom is allowed to do that.	Makí paintúlut i Tom a gáwan itá.
>>pam<< Tom knows what this means.	Bálu nang Tom ing kabáldúgan na níti.
>>pam<< Tom went back to his seat.	Míbálik ya i Tom king luklúkan na.
>>pam<< We had Tom paint the wall.	Pépapintúra miyá kang Tom ing dingdíng.
>>pam<< We had Tom paint the wall.	Pépapintúra miyá kang Tom ing padér.
>>pam<< We haven't tried that yet.	E miyá pa síbúkan yan.
>>pam<< We're looking for Tom now.	Páyntunán miyá i Tom ngéni.
>>pam<< What do you like about it?	Nánung burí mu kayá?
>>pam<< What do you want me to do?	Nánung burí mung pagawá káku?
>>pam<< Who are you talking about?	Nánung pányabyán mu?
>>pam<< Who are you talking about?	Nánung pányabyán yu?
>>pam<< Yesterday was my birthday.	Aldó kung kébaytán nápun.
>>pam<< You can tear the box open.	Malyári meng gisyán ing kahún ba yang ibusnî.
>>pam<< You will do no such thing.	Éka gáwang antí kanyán.
>>pam<< Can you predict the future?	Agyú mung ulán ing payntungúlan?
>>pam<< Can you wait about an hour?	Makápanáya kang mangá métung a óras?
>>pam<< Do all of you speak French?	Byása ko ngang magsalítang Pransés?
>>pam<< Do we have to pay anything?	Atín támung kaylángang bayáran?
>>pam<< Do you want me to call Tom?	Burí mukúng awsáng Tom?
>>pam<< Don't give up your day job.	Éme tatábílî ing óbra mu neng aldó.
>>pam<< Eternal love doesn't exist.	Aláng lugúd king aláng anggá.
>>pam<< Friends do things together.	Agnán-agnán la karéng gagáwan da deng mikálugúran.
>>pam<< Have you seen this already?	Ikít muné iné?
>>pam<< Hurry up, or we'll be late.	Lagwá mu, mitawlí támu.
>>pam<< I came here to play soccer.	Mintá ku kéni bang mamyálung soccer.
>>pam<< I have to wake Tom up soon.	Kaylángan ku neng gisíngan i Tom pinándit.
>>pam<< I know it's important work.	Bálu kung maúlagáng óbra itá.
>>pam<< I need a cup of hot coffee.	Kaylángan ke ing métung a tása ning mapáling kapé.
>>pam<< I think we've eaten enough.	King palagé ku ustú na ing péngan támu.
>>pam<< I thought you were serious.	Baláku siryósu ka.
>>pam<< I was up all night reading.	Kabúkas kung makágising a mámásâ.
>>pam<< I'll certainly talk to Tom.	Taganáng pakisabyán ke i Tom.
>>pam<< I'm not sure if Tom saw it.	Éku sigurádu nung ikít neng Tom.
>>pam<< I'm not talking about that.	Aliwá itá ing ámanwán ku.
>>pam<< It was really embarrassing.	Taganáng mákaríne.
>>pam<< Maybe they'll come for you.	Sigúru dakítan daká.
>>pam<< Perhaps you should get one.	Sigúru dápat kang kumáng métung.
>>pam<< She decided to be a doctor.	Migpasyá yang magdóktor.
>>pam<< She decided to be a doctor.	Migdisisyún yang magdóktor.
>>pam<< She is a well-known singer.	Métung yang bantúg a mágkantá.
>>pam<< She is a well-known singer.	Métung yang kabálítan a mágkantá.
>>pam<< She is a well-known singer.	Métung yang bunyíng mágkantá.
>>pam<< Stay with Tom for a moment.	Abáyan me ságulî i Tom.
>>pam<< Stay with Tom in this room.	Abáyan me i Tom kéning kwártu.
>>pam<< Suddenly, it began to rain.	Kábirá-birá, migumpisáng minurán.
>>pam<< Tell Tom Mary's on the way.	Sabyán mu kang Tom papuntá ne i Mary.
>>pam<< Thank you for your opinion.	Salámat king kékang pamálak.
>>pam<< Thank you for your support.	Salámat king supórta.
>>pam<< Thanks for the advice, Tom.	Salámat king úsuk, Tom.
>>pam<< Thanks for the advice, Tom.	Salámat king páyu, Tom.
>>pam<< Thanks for the inspiration.	Salámat king inspirasyún.
>>pam<< Thanks for the opportunity.	Salámat king pámikatágun.
>>pam<< The bathroom's on the left.	Atyú king kaylî ing bányu.
>>pam<< The train was almost empty.	Álus alá yang lamán ing tren.
>>pam<< The worst is still to come.	Alá pa ing pékamarók.
>>pam<< This is my life's ambition.	Iní ing ambisyún ku king bye.
>>pam<< This is never going to end.	Éna mayári iní.
>>pam<< This is your bag, isn't it?	Bag me iní, alê?
>>pam<< This isn't my fault, is it?	Éku kasalánan iní, alê?
>>pam<< This isn't my fault, is it?	Éku kasalánan iní, e wári?
>>pam<< This isn't your fault, Tom.	Ému kasalánan iní, Tom.
>>pam<< This movie is really scary.	Taganáng mákatákut ya ing pelíkulá.
>>pam<< This was left on the porch.	Mélakwán ya iní king barkún.
>>pam<< This'll only take a minute.	Métung mung minútu iní.
>>pam<< Tom and I are both nervous.	Paréu kamíng nerbyósung Tom.
>>pam<< Tom and I are both nervous.	Paréu kamíng manérbyus Tom.
>>pam<< Tom and I had an agreement.	Míkásundú keng Tom.
>>pam<< Tom and I'll both be there.	Paréu keng muntá karing Tom.
>>pam<< Tom doesn't know the truth.	Éna bálung Tom ing katutwán.
>>pam<< Tom has come to a decision.	Mékápag-disisyún ne i Tom.
>>pam<< Tom should be home by 2:30.	Dápat 2:30 mékaúli ne i Tom.
>>pam<< Tom's patience has run out.	Mégísan na ing pasénsya nang Tom.
>>pam<< We have a lot to celebrate.	Dakál támu súkat pagmasusián.
>>pam<< We need Tom's strength now.	Kaylángan támu ngéni ing síkanán nang Tom.
>>pam<< We sometimes make mistakes.	í Neng kái mágkámali kamí.
>>pam<< We sometimes make mistakes.	Neng kái mágkámali támu.
>>pam<< What would you like to eat?	Nánung burí mung kanán?
>>pam<< Who doesn't like the beach?	Nínung e makí burî king bébe dayátmálat?
>>pam<< Why don't you both give up?	Ot éko paréung sumúku?
>>pam<< You are always complaining.	Pané kang mágreklámu.
>>pam<< You're probably right, Tom.	Ustú ka sigúru, Tom.
>>pam<< You've told me that before.	Sinábi mu na yan káku.
>>pam<< Do you know much about that?	Dakál ka bálu tungkúl kaníta?
>>pam<< Don't expose it to the rain.	Éme páburéng miyuránan.
>>pam<< He always told me the truth.	Agyáng kapilán sasabyán na ing tutú káku.
>>pam<< He failed the entrance exam.	Mibagsak ya king pamagsulit bang matanggap.
>>pam<< He failed the entrance exam.	Mibagsak ya king "entrance examination".
>>pam<< I came to Boston last month.	Mintá ku king Boston anyáng mílabásan a búlan.
>>pam<< I could scarcely believe it.	Éku maybúg paníwalán.
>>pam<< I don't have any cash on me.	Alá kung dadaláng kwálta.
>>pam<< I like milk more than juice.	Mas burí ku ing gátas késa king katás ning prútas.
>>pam<< I pushed Tom into the water.	Tinúlak ke i Tom king danúm.
>>pam<< I'm leaving early next week.	Makó ku keng tútukíng Duminggú.
>>pam<< I'm more beautiful than you.	Mas malagú ku késa kéka.
>>pam<< I've heard this song before.	Dimdám kuné iníng kantá kaníta.
>>pam<< It isn't that big of a deal.	E maragúl a báge itá.
>>pam<< It looks like Tom was right.	Balámu ustú ya i Tom.
>>pam<< It's not that big of a deal.	E maragúl a báge itá.
>>pam<< Let me walk you to your car.	Burén mung yatád daká king kótsi mu.
>>pam<< My parents were proud of me.	Págmaragúl dáku deng péngári ku.
>>pam<< Please excuse my being late.	Panúpáya mung mítawlí ku.
>>pam<< Please excuse my being late.	Panúpáya yung mítawlí ku.
>>pam<< Please excuse my being late.	Panúpáya yu pung mítawlí ku.
>>pam<< That's a good-looking woman.	Malagú yang babái yan.
>>pam<< Their flag is blue and gold.	Iró ya ampóng gintú ing karélang bandéra.
>>pam<< Their flag is blue and gold.	Asúl ya ampóng gintú ing karélang bandéra.
>>pam<< Tom kind of looks like John.	Kawángis neng Tom i John.
>>pam<< Tom took his headphones off.	Léko nong Tom deng headphone na.
>>pam<< Tom wished he was with Mary.	Burí nang Tom kayabé ne i Mary.
>>pam<< What does Tom eat for lunch?	Nánung kakanán nang Tom neng paugtwán?
>>pam<< Are you looking for somebody?	Atín kang páyntunán?
>>pam<< Can we talk about this later?	Malyári táyang pisabyán iní kaybát?
>>pam<< Do your best and don't worry.	Gáwan mu ing agyú mu at éka migáganakâ.
>>pam<< Have you ever been to Mexico?	Mintá naká Mexico?
>>pam<< Have you seen Tom's passport?	Ikít mu ne ing pasápórti nang Tom?
>>pam<< He laid his bag on the table.	Timpák ne ing bag na king lamésa.
>>pam<< He plays the piano very well.	Taganáng masalése yang tigtíg piánu.
>>pam<< He put some coins in the box.	Mangíbilí kang sisilyú king kahún.
>>pam<< How many times have you gone?	Mékatapilán naká mintá?
>>pam<< I cannot afford to buy a car.	Éku agyúng sáling kótsi.
>>pam<< I don't want to go to school.	Éku bísang muntá king iskwéla.
>>pam<< I don't want to go to school.	Éku bísang lungúb.
>>pam<< I have a lot of credit cards.	Dakál ku credit card.
>>pam<< I have to study for the exam.	Kaylángan kung manigáral pará king pámagsúlit.
>>pam<< I haven't found anything yet.	Alá ku pang ápayntún.
>>pam<< I know it's important to you.	Bálu kung maúlagá kéka.
>>pam<< I was home all day yesterday.	Patingápun ku king kékami nápun.
>>pam<< I'm not frightened of ghosts.	Éku tátakút karéng máglalagé
>>pam<< I'm tired of waiting in line.	Mapagál nákung mánáya king píla.
>>pam<< I'm trying to get some sleep.	Susúbúkan kung makátudtúd.
>>pam<< May I borrow your dictionary?	Malyári keng andamán ing diksyunáryu mo?
>>pam<< May I borrow your dictionary?	Páramá'nang diksyunáryo?
>>pam<< Nobody seems to be in charge.	Balámu aláng mánibálâ.
>>pam<< Now we don't know what to do.	E tana balu nung nanung gawan tamu.
>>pam<< One language is never enough.	Kúlang ya ing métung a amánu.
>>pam<< She has a flower in her hand.	Atín yang tatalnán a sampága.
>>pam<< That car is really expensive.	Taganáng mal ya ing kótsing yan.
>>pam<< That's just how I was raised.	Makanyán dákung péparagúl.
>>pam<< Tom visited Boston last year.	Tínágun ya king Boston banwáng métung i Tom.
>>pam<< Tom wanted to save the world.	Burí neng sagipán Tom ing yátu.
>>pam<< Tom wanted to save the world.	Burí neng iligtás Tom ing yátu.
>>pam<< Tom wanted us to talk to you.	Burí nakamíng makisábi kékang Tom.
>>pam<< Tom wasn't listening to Mary.	E mákiramdám kang Mary i Tom.
>>pam<< What did we do to each other?	Nánung géwa támu king métung at métung?
>>pam<< You have thirty minutes left.	Atín kang trénta minútus a mitátágan.
>>pam<< You'll go to school tomorrow.	Magáral ka búkas.
>>pam<< "Thank you." "You're welcome."	"Salámat." "Aláng nánu namán."
>>pam<< All that glitters is not gold.	E bálang kíkisláp gintû.
>>pam<< Do you want to do this or not?	Burí mung gáwan iné o alî?
>>pam<< He comes here every five days.	Bálang limá yang aldóng dáratang kéni.
>>pam<< How did Tom solve the problem?	Makanánu neng álutás Tom ing prubléma?
>>pam<< How many moons does Mars have?	Pilán ya búlan ing Mars?
>>pam<< I am thankful for my children.	Pásalámat ku karéng ának ku.
>>pam<< I am thankful for my children.	Pásalámat ku karéng áná'ku.
>>pam<< I bought a book about animals.	Sínalí kung librú tungkúl karéng animál.
>>pam<< I had never been there before.	Éku pa míras karín.
>>pam<< I have plans with Tom tonight.	Atin kung plánu kayábe ya i Tom pótang béngi.
>>pam<< I just don't know what to say.	Taganáng éku bálu ing sabián ku.
>>pam<< I need to buy some rat poison.	Kaylángan kung sáling lásun dagís.
>>pam<< I think Tom forgot his camera.	King palagé ku ákalingwán neng Tom ing kayáng camera.
>>pam<< I thought Tom was from Boston.	Balá ku tagá Boston ya i Tom.
>>pam<< I thought Tom was from Boston.	Balá ku táu ya Boston i Tom.
>>pam<< I'd like to ask you about Tom.	Burí rakáng kutnán tungkúl kang Tom.
>>pam<< I'm old, but I'm not that old.	Matwá ku, óneng ékupá makanyán katwá.
>>pam<< That's the crux of the matter.	Itá ing búsal ning pisásabián.
>>pam<< The old man stood on the hill.	Tínikdó ya ing matwáng laláki king bábo talímundúk.
>>pam<< The old man stood on the hill.	Tínikdó ya ing matwáng laláki king bábo bundúk-bundúkan.
>>pam<< Tom didn't get what he wanted.	Éna ikwáng Tom ing burí na.
>>pam<< Tom didn't go to the hospital.	E mintá king óspital i Tom.
>>pam<< Tom didn't look like a doctor.	E lúpang dóktor i Tom.
>>pam<< Tom didn't show up for dinner.	E migpaltó anyáng apúnan i Tom.
>>pam<< Tom doesn't appear to hear us.	Balámu e nakatámu darámdamán Tom.
>>pam<< Tom doesn't eat a lot of meat.	E mapamangán kárni i Tom.
>>pam<< Tom doesn't even know my name.	Éne man bálung Tom ing lagyú ku.
>>pam<< Tom doesn't have a girlfriend.	Alá yang táu i Tom.
>>pam<< Tom doesn't have long to wait.	E kaylángang manáyang malambát i Tom.
>>pam<< Tom doesn't know Mary is here.	Éná bálung Tom a atyú i Mary.
>>pam<< Tom doesn't know what that is.	Éná bálung Tom nung nánu itá.
>>pam<< Tom doesn't like me very much.	Énáku masyádung buríng Tom.
>>pam<< Tom doesn't seem tired at all.	Balámu e bitasáng mapagál i Tom.
>>pam<< Tom drove along a desert road.	Migmanéu ya i Tom king métung a dálan king disyértu.
>>pam<< Tom finished doing the dishes.	Áyári nong inós Tom deng pinggán.
>>pam<< Tom had something in his hand.	Atín yang tatalnán i Tom.
>>pam<< Tom has a wife and three kids.	Atín yang asáwa ampóng atlúng ának i Tom.
>>pam<< Tom is married to a foreigner.	Dáyu ya ing asáwa nang Tom.
>>pam<< Tom knows time is running out.	Bálu nang Tom a magigísan na ing panaún.
>>pam<< Tom might not make it in time.	Pota e miratang king ustung oras i Tom.
>>pam<< We have made friends with Tom.	Méki-kalugúran tána kang Tom.
>>pam<< We have made friends with Tom.	Méki-kalugúran nakamí kang Tom.
>>pam<< We reported his disappearance.	Pépabálû mi ing kayáng pángawalâ.
>>pam<< We reported his disappearance.	Bélítâ mi ing kayáng pángawalâ.
>>pam<< We reported his disappearance.	Simbúng mi ing kayáng pángawalâ.
>>pam<< What did you do to each other?	Nánung géwa yu king métung at métung?
>>pam<< What did you do to each other?	Mípagnánu kayú?
>>pam<< What do you think I was doing?	King palagé mu nánánu ku?
>>pam<< When do you usually eat lunch?	Kéraklán nánu kang óras máugtu?
>>pam<< Which group is your friend in?	Núkarín yang grúpu ing kálugúran mu?
>>pam<< Why isn't Tom doing something?	Ot alá yang gagáwan i Tom?
>>pam<< Are you going to do that again?	Gáwan mung pasíbáyu itá?
>>pam<< Are you going to do that again?	Gáwan mung pasíbáyu yan?
>>pam<< Everyone has their own opinion.	Atín lang pamálak deng sablá.
>>pam<< How do I get to the other side?	Makanánu kung mirás king sumángid?
>>pam<< How do you say that in Italian?	Makanánu mung sabyán itá king Italiánu?
>>pam<< I didn't like what Tom gave me.	Éké burí ing binyé na kákung Tom.
>>pam<< I wish I'd never told Tom that.	Ékuná sâ sinábi kang Tom itá.
>>pam<< I wish I'd never told Tom that.	Sána ékuná sinábi kang Tom itá.
>>pam<< It's a waste of time and money.	Sáyang ing panaún ampó ing péra.
>>pam<< Mary probably knows I like her.	Bálu na sigúrung Maryng burí ke.
>>pam<< Nothing is as precious as love.	Alá yang kasíng-ulagá ing lugúd.
>>pam<< She carried off all the prizes.	Simbút no ngan deng prémyu.
>>pam<< She carried off all the prizes.	Simbút no ngan deng galál.
>>pam<< She has quite a lot of clothes.	Dakál ya imálan.
>>pam<< She quickly went up the stairs.	Mabilís yang ménik king éran.
>>pam<< She will return within an hour.	Mibálik ya kilúb ning métung a óras.
>>pam<< Show me what you're capable of.	Pákit mu káku ing agyú mung daptán.
>>pam<< So far he has admitted nothing.	Alá ya ang inámin.
>>pam<< The city was destroyed by fire.	Mésíra ya ing lakánbalén úling king siláb.
>>pam<< The city was destroyed by fire.	Mésíra ya ing syudád úling king siláb.
>>pam<< The shop carried leather goods.	Atín yang bágeng gawá king balát ing tindáhan.
>>pam<< This is what's going to happen.	Iní ing malyári.
>>pam<< This is what's going to happen.	Iní ing marapát.
>>pam<< Tom certainly is knowledgeable.	Taganáng maténákan ya i Tom.
>>pam<< Tom doesn't feel like studying.	E maybúg manígáral i Tom.
>>pam<< Tom got stuck in a traffic jam.	Mésípit ya i Tom king trápik.
>>pam<< Tom is a little taller than me.	Mas mátas yang bagyá késa káku i Tom.
>>pam<< Tom is driving to the hospital.	Mágmanéu ya papuntá king óspital i Tom.
>>pam<< Tom worked until late at night.	Mégobrá ya i Tom anggáng malálam ing béngi.
>>pam<< What happened to Tom's parents?	Nánung milyári karéng péngari nang Tom?
>>pam<< When he arrived, I made coffee.	Karatáng na, ményangkáp kung kapé.
>>pam<< Why did you quit using Twitter?	Ot línwal ka king Twitter?
>>pam<< You're the tallest person here.	Íka ing pékamátas a táu kéni.
>>pam<< A baby craves its mother's milk.	Pánintunán ning bíngut ing gátas ning imá na.
>>pam<< Did you hear about Tom and Mary?	Ábalitán mu na ing tungkúl kang Tom ampó kang Mary?
>>pam<< Didn't you see Tom at the party?	Éme ikít i Tom king party?
>>pam<< Didn't you see Tom at the party?	Éme ikít i Tom king sulú-sulú?
>>pam<< Don't let him keep this picture.	Ému páburéng isínup ne iníng letrátu.
>>pam<< Don't you want to see your kids?	Émo buríng ákit deng ának mo?
>>pam<< Everybody has their own opinion.	Atín lang pamálak deng sablá.
>>pam<< He was asking about your health.	Kokómustán na ing kékang pamikákatán.
>>pam<< He was asking about your health.	Kokómustán na ing kékang kabúlásan.
>>pam<< I don't know if I have the time.	Éku bálû nung atín kung óras.
>>pam<< I don't know if I have the time.	Tabálu nung atín kung óras.
>>pam<< I want to buy a dozen doughnuts.	Bísa kung sáling métung a dusénang dónat.
>>pam<< I won't let anything bad happen.	Éku paburéng atíng malyáring marók.
>>pam<< I'll be with you in ten minutes.	Puntalán daká kilúb ning apúlung minútu.
>>pam<< I'm exhausted. I'm going to bed.	Sínáyad ku. Matudtúd náku.
>>pam<< I'm sorry I'm late. I overslept.	Panúpáya yu, mítawlí ku. Éku gad mígísing.
>>pam<< I'm sure this is only temporary.	Sigurádu kung pansamántalá mû iní.
>>pam<< It's not going to happen to Tom.	E marapát kang Tom itá.
>>pam<< It's not going to happen to Tom.	E malyári kang Tom itá.
>>pam<< She shut herself up in her room.	Migkulúng ya king kwártu na.
>>pam<< They usually sleep in this room.	Kéraklán kéni lang kwártu mátudúd.
>>pam<< This truck is in need of repair.	Kaylángan yang larínan iníng trak.
>>pam<< Tom couldn't suppress his anger.	Éna ápígil Tom ing kayang mwâ.
>>pam<< Tom didn't buy me what I needed.	Énáku pényalíng Tom king kaylángan ku.
>>pam<< What kind of mushrooms are they?	Nánu lang klásing kwat?
>>pam<< Why don't you just let Tom help?	Ot ému ne mû paburéng sumáup i Tom?
>>pam<< You all remember Tom, don't you?	Átatandánan ye ngan i Tom, e warí?
>>pam<< You don't know a thing about me.	Alá kang bitasáng bálu káku.
>>pam<< Armenia is a mountainous country.	Mabundúk yang bangsá ing Armenia.
>>pam<< He's three years older than I am.	Mas matwá yang atlúng banwá késa káku.
>>pam<< I couldn't sleep well last night.	Éku mékatudtúd masálése nabéngi.
>>pam<< I have a brand new pair of socks.	Atín kung báyung páris a médyas.
>>pam<< I thought Tom would buy that car.	Baláku salwán neng Tom ing kótsing yan.
>>pam<< I want you to turn off the radio.	Burí ku patdán me ing rádyu.
>>pam<< I would like to buy some aspirin.	Bísa kung sáling aspirin.
>>pam<< I'll loan you the money you want.	Páram ku kéka ing pérang burí mu.
>>pam<< I'll loan you the money you want.	Páramán daká kétang pérang burí mu.
>>pam<< Mary thinks I'm in love with her.	Balá nang Mary malsintá ku kayá.
>>pam<< She could feel her knees shaking.	Pánamdamán nong gágalgál deng tud na.
>>pam<< She was scared to cross the road.	Tátákut yang lumípat king dálan.
>>pam<< Something is better than nothing.	Mas masantíng ing atín késa king alâ.
>>pam<< There are 50 members in the club.	Limá lang púlû deng kayánib king águman.
>>pam<< Tom almost never asks about that.	Álus e mángutáng tungkúl kaníta i Tom.
>>pam<< Tom had never seen Mary so happy.	Éne pa ikít Tom makanyán kasayâ i Mary.
>>pam<< Tom jumped out of the helicopter.	Línundág ya i Tom palwál king helicopter.
>>pam<< Tom told me to give this to Mary.	Pépabyé ne kákung Tom kang Mary iní.
>>pam<< Tom waited for Mary to come back.	Pénaya neng mibálik Tom i Mary.
>>pam<< Tom waited in front of the house.	Ménaya ya king aráp ning balé i Tom.
>>pam<< Tom went into a corner and cried.	Mintá ya king súluk i Tom at kínyak ya.
>>pam<< What did you call me in here for?	Ot ináus mukú kéni?
>>pam<< You're in better shape than I am.	Mas masantíng ka katáwan késa káku.
>>pam<< Almost all of us can speak French.	Álus íkamí ngan byásang magsalítang Pransés.
>>pam<< Are your parents going to be home?	Atyú la king kékayú deng péngári mo?
>>pam<< Do you think it's safe to do that?	King palagé mu ligtás gáwan itá?
>>pam<< He refused to shake hands with me.	E ya mekigalame kaku.
>>pam<< How will you manage without a job?	Makánánu ka nung alá kang óbra?
>>pam<< I didn't know Tom lived in Boston.	Éku bálung makátuknáng ya king Boston i Tom.
>>pam<< I didn't know anything about this.	Alá kung kabalú-bálu tungkúl kaníti.
>>pam<< I think Tom did the best he could.	King palagé ku géwa nang Tom ing agyú na.
>>pam<< I'm going to miss being a teacher.	Payntunán ku ing pángaméstru.
>>pam<< I'm going to miss being a teacher.	Payntunán ku ing pángaméstra.
>>pam<< I'm going to miss being a teacher.	Payntunán ku ing pángataláturû.
>>pam<< My boss called me into his office.	Ináus náku ning bos ku king káyang upisína.
>>pam<< She got him to eat his vegetables.	Ápakán no kayá deng gúle na.
>>pam<< The city wants to extend the road.	Buri neng pakabán ning syudád ing dálan.
>>pam<< The city wants to extend the road.	Buri neng pakabán ning lakánbalén ing dálan.
>>pam<< The city wants to extend the road.	Buri neng pakabán ning ciudad ing dálan.
>>pam<< The river is widest at this point.	Kéni ya pékamalápad ing ílug.
>>pam<< The store might be closed already.	Pota makasara ne ing tindahan.
>>pam<< There's nothing I can do about it.	Alá kung ákarapát kaníta.
>>pam<< They stayed one more day together.	Métung la pang aldóng míyabé-ábe.
>>pam<< This house has a solid foundation.	Matíbe ya pundasyún ing baléng iní.
>>pam<< Tom carried Mary on his shoulders.	Binwat neng Tom i Maria kareng pago na.
>>pam<< Tom has something he wants to say.	Atín yang buríng sabián i Tom.
>>pam<< Tom laid the racket on the ground.	Kinéra neng Tom ing rakéta king gabún.
>>pam<< Tom lives on a farm in California.	Mánuknángan ya king maranglé king California.
>>pam<< Tom should've asked Mary for help.	Dápat pépasáup ya i Tom kang Mary.
>>pam<< Tom took everything to his office.	Déla nang Tom ing éganáganá king upísína na.
>>pam<< Tom took everything to his office.	Déla nang Tom ing sablá king upísína na.
>>pam<< We arrived at the station at five.	Alás singkú keng míras king istasyún.
>>pam<< When Tom drinks, everybody drinks.	Neng míminúm ya i Tom, deng éganáganá míminúm la.
>>pam<< Would you like something to drink?	Bísa kang inumán?
>>pam<< Would you like something to drink?	Bísa kang minóm?
>>pam<< Would you like something to drink?	Atín kang buríng inumán?
>>pam<< Are you sure you're ready for this?	Sigúrádu kang makásadyá ka kaníne?
>>pam<< Are you sure you're ready for this?	Sigúrádu kang makásadyá ka kaníte?
>>pam<< Can you get this trash out of here?	Pakílakó mu iníng basúra kéni.
>>pam<< Could you please turn the radio on?	Pakísalangyán mu ne mo ing rádyo?
>>pam<< Do you have any problems with that?	Atín kang probléma kaníta?
>>pam<< Have they given you a nickname yet?	Dinínan danakáng paláyo?
>>pam<< How do you plan on paying for that?	Makanánu mung babalákang bayáran itá?
>>pam<< How many close friends do you have?	Pilán la reng malápit mung kálugúran?
>>pam<< I can speak many African languages.	Mákápagsalíta kung dakál a amánu ning Africa.
>>pam<< I don't think Tom has met Mary yet.	King palagé ku éne pa ikít Tom i Mary.
>>pam<< I never should've brought you here.	Éraka dápat déla kéni.
>>pam<< It is said that she is a good cook.	Magalíng ya kanúng maglútû.
