>>ara<< Hi.	مرحبًا.
>>ara<< Don't give me any ideas.	لا ُثعطني أي فكرة.
>>ara<< Don't read in that room.	لا تقرأ في تلك الغرفة.
>>ara<< Don't read in this room.	لا تقرأ في تلك الغرفة.
>>ara<< Don't worry. I'll do it.	لا تقلق. أنا سأفعلها.
>>ara<< Everybody laughed at me.	ضحك الجميع عليّ.
>>ara<< Everyone laughed at him.	ضحك الجميع عليه.
>>ara<< Everyone laughed at him.	الكل ضحك عليه.
>>ara<< Everyone makes mistakes.	كل ابن آدم خطاّء
>>ara<< Everyone makes mistakes.	كل شخص يرتكب الأخطاء.
>>ara<< Great weather, isn't it?	إنه جو رائع ، أليس كذلك؟
>>ara<< Have you been to London?	هل سبق لك أن ذهبت إلى لندن؟
>>ara<< He asked us to help him.	طلب منا أن نساعده.
>>ara<< He asked us to help him.	طلب منا المساعدة.
>>ara<< He can read pretty well.	يمكنه القراءة بشكل جيد.
>>ara<< He catches colds easily.	إنه يصاب بالزكام بسهولة.
>>ara<< He caught a large trout.	التقط سمكة سلمون مرقط كبيرة.
>>ara<< He couldn't get the job.	لم يستطع الحصول على الوظيفة.
>>ara<< He decided to go abroad.	قرر أن يسافر إلى الخارج.
>>ara<< He declined my proposal.	رفض عرضي.
>>ara<< He doesn't need to work.	إنه لا يحتاج إلى أن يعمل.
>>ara<< He drowned in the river.	غرق في النهر.
>>ara<< He is known to everyone.	هو معروف لدى الجميع.
>>ara<< He is strong as a horse.	إنه قوي كالحصان.
>>ara<< He likes anything sweet.	إنه يحب أي شيء حلو المذاق.
>>ara<< He looked up at the sky.	نظر إلى السماء.
>>ara<< He never drinks alcohol.	إنه لا يشرب الكحول على الإطلاق.
>>ara<< He really ticked me off.	هو اغضبني حقاً .
>>ara<< He sometimes watches TV.	يشاهد التلفاز أحياناً.
>>ara<< He was blind from birth.	هو كان أعمى منذ ولادته.
>>ara<< He witnessed the murder.	شهد حصول الجريمة.
>>ara<< He's crazy about soccer.	هو مجنون بشأن كره القدم
>>ara<< He's my younger brother.	إنه أخي الأصغر.
>>ara<< Her kindness touched me.	أثّر فيّ لطفها.
>>ara<< His birthday is May 5th.	الخامس من مايو هو يوم ميلادها.
>>ara<< His car ran into a tree.	اصطدمت سيارته بشجرة.
>>ara<< His handwriting is poor.	خَطهُ رديء.
>>ara<< How far is it from here?	كم تبعُد عن هنا؟
>>ara<< How long will they stay?	كم هي المدّة التي سيبقون فيها هنا؟
>>ara<< How's the project going?	كيف تسير أمور المشروع؟
>>ara<< I always walk to school.	أمشي إلى المدرسة دائماً.
>>ara<< I bought this yesterday.	اشتريته بالأمس.
>>ara<< I can see what you mean.	أفهم قصدك.
>>ara<< I can't believe my eyes.	لا أستطيع تصديق عينيّ.
>>ara<< I can't go into details.	لا أستطيع الدخول في التفاصيل.
>>ara<< I can't stay long today.	لا يمكنني المكوث طويلا اليوم.
>>ara<< I can't stay long today.	لا يمكنني البقاء طويلا اليوم.
>>ara<< I can't use a fork well.	لا اعرف كيف أستخدم الشوكة جيداً.
>>ara<< I come to school by bus.	أحضر إلى المدرس بالحافلة.
>>ara<< I don't have a solution.	لا حل لدي.
>>ara<< I don't know what to do.	لا أعرف ماذا أفعل.
>>ara<< I don't know what to do.	لا أعرف ما الذي عليّ فعله.
>>ara<< I don't like gray skies.	لا أحب الجو المغيم.
>>ara<< I don't like it, either.	لا يعجبني ذلك أيضاً.
>>ara<< I don't like it, either.	أنا أيضاً لا يعجبني ذلك.
>>ara<< I don't mind either way.	لا أمانع في كلتا الحالتين.
>>ara<< I don't want it anymore.	لم أعد أريدها.
>>ara<< I got here Monday night.	وصلت هنا مساء الإثنين.
>>ara<< I guess we can't say no.	اعتقد بأنه لا يمكننا الرفض.
>>ara<< I had breakfast at 7:30.	تناولت طعام الفطور الساعة السابعة و النصف صباحاً.
>>ara<< I have a weird neighbor.	أنا لدي جار غريب.
>>ara<< I have a weird neighbor.	أنا لدي جارة غريبة.
>>ara<< I have an exam tomorrow.	عندي اختبار في الغد.
>>ara<< I have little money now.	لدي الآن القليل من المال.
>>ara<< I have no books to read.	ليس لدي كتب لأقرأها.
>>ara<< I have no money with me.	لا أملك المال.
>>ara<< I have nothing to offer.	ليس لدي شي لأقدمه
>>ara<< I have the ace of clubs.	لدي الآس الكوبا.
>>ara<< I have to do this again.	عَلَيَّ فِعلُ ذلِكَ مُجَدداً
>>ara<< I have to take medicine.	عليّ أن آخذ الدواء.
>>ara<< I haven't yet graduated.	لم أتخرج بعد.
>>ara<< I hope to see you again.	آمل أن أراك مجدداً.
>>ara<< I hope to see you again.	أتمنى أن أراك مرة أخرى.
>>ara<< I just want to have fun.	أنا أريد فقط الحصول على المتعة.
>>ara<< I know that he was busy.	أعلم أنه كان مشغولاً.
>>ara<< I like playing baseball.	أحب لعب كرة القاعدة.
>>ara<< I like studying history.	أحب دراسة التاريخ.
>>ara<< I like tennis very much.	أحب النتس جدا.
>>ara<< I love working with you.	احب العمل معك.
>>ara<< I made several mistakes.	لقد ارتكبت عدة أخطاء.
>>ara<< I make an honest living.	أنا أعيش عيشة شريفة.
>>ara<< I met her on the street.	قابلتها في الشارع.
>>ara<< I need to get a haircut.	أنا بحاجة لأحصل على قَصِة شَعر.
>>ara<< I need to rest a moment.	علي أن أرتاح لدقيقة.
>>ara<< I only wanted to forget.	فقط كنت أريد أن أنسى.
>>ara<< I passed by four houses.	مررت بأربعة بيوت.
>>ara<< I play tennis every day.	ألعب التنس كل يوم.
>>ara<< I played tennis all day.	لعبت التنس طوال اليوم.
>>ara<< I prefer not to comment.	أفضل أن لا أعلّق.
>>ara<< I pretended to be happy.	تظاهرتُ بالسّعادة.
>>ara<< I really can't help you.	أنا حقا لا أستطيع مساعدتك.
>>ara<< I reckon that I'm right.	أحسَب أني مُحِق.
>>ara<< I suppose you're hungry.	أفترض أنك جائع.
>>ara<< I suppose you're hungry.	أعتقد أنك جوعان.
>>ara<< I think you're mistaken.	أظنّ أنّك مخطئ.
>>ara<< I thought you'd like it.	ظننتك ستحبه.
>>ara<< I tried to cheer him up.	حاولت رفع معنوياته.
>>ara<< I understand everything.	أفهم كل شيء
>>ara<< I used to love swimming.	كنت أحب السباحة.
>>ara<< I usually do the dishes.	عادة ما أغسل الصحون.
>>ara<< I want to get rid of it.	أريد التّحلّص منها.
>>ara<< I want to learn to swim.	أريد أن أتعلم السباحة.
>>ara<< I was laughed at by him.	ضحك عليّ.
>>ara<< I was prepared for this.	كنتُ مستعدّا لهذا.
>>ara<< I wasn't busy yesterday.	لم أكن مشغولاً بالأمس.
>>ara<< I went there many times.	ذهبت إلى هناك مرات عديدة.
>>ara<< I won't forget that day.	لن أنس ذلك اليوم أبدا.
>>ara<< I won't sell the horses.	لن أبيع الخيول.
>>ara<< I wonder if he likes me.	يا ترى، هل يحبني؟
>>ara<< I wonder if he loves me.	أتساءل إن كان يحبني.
>>ara<< I'd prefer meat to fish.	أفضّل اللحم على السمك.
>>ara<< I'll be absent tomorrow.	سأغيب غداً.
>>ara<< I'll be back in an hour.	سأعود بعد ساعة.
>>ara<< I'll be there till 2:30.	سأكون هناك حتى 2:30.
>>ara<< I'll buy a gift for Tom.	سوف أشتري هديّة لتوم.
>>ara<< I'll explain this later.	سأشرح هذا لاحقا.
>>ara<< I'll stay home tomorrow.	سأبقى بالبيت غداً.
>>ara<< I'll take that one, too.	سآخذ تلك أيضا.
>>ara<< I'll take this umbrella.	سآخذ هذه المظلة.
>>ara<< I'll visit him tomorrow.	سأزوره غداً.
>>ara<< I'll visit you tomorrow.	سأزورك غداً.
>>ara<< I'm at a loss for words.	لا أعرف ماذا أقول.
>>ara<< I'm feeling really sick.	أشعر بأني مريض حقا.
>>ara<< I'm not against anybody.	أنا لست ضد أي شخص.
>>ara<< I'm not your girlfriend.	أنا لستُ صدبقتك.
>>ara<< I'm nothing without you.	أنا لا شئ بدونك.
>>ara<< I'm old enough to drink.	أنا كبير بما يكفي لأشرب.
>>ara<< I'm old enough to drive.	أنا كبير بما يكفي لأقود.
>>ara<< I'm only trying to help.	أنا فقط أحاول المساعدة.
>>ara<< I'm pleased to meet you.	سررت بمعرفتك.
>>ara<< I'm pleased to meet you.	تشرّفت بلقائك.
>>ara<< I'm pleased to meet you.	سررتُ بمعرفتكَ.
>>ara<< I'm pleased to meet you.	سررتُ بمعرفتكِ.
>>ara<< I'm ready for next week.	أنا مستعد للأسبوع المقبل.
>>ara<< I'm sure of his success.	متأكد من نجاحه.
>>ara<< I've always trusted Tom.	انا دائما اثق في توم
>>ara<< I've missed you so much.	لقد افتقدتك كثيراً.
>>ara<< I've solved the problem.	حُلت المشكلة.
>>ara<< I've started doing that.	بَدأتُ فِعلَ ذلِك
>>ara<< Is everything all right?	هل كل شيء على ما يرام؟
>>ara<< Is that a picture of me?	هل تلك صورةٌ لي؟
>>ara<< Is that black bag yours?	هل الحقيبة السوداء ملكك؟
>>ara<< Is that black bag yours?	هل الحقيبة السوداء لك؟
>>ara<< Is that milk still good?	هل ما زال ذلك الحليب صالحاً للشرب؟
>>ara<< Is there a problem, sir?	هل من مشكل يا سيدي؟
>>ara<< Is this water drinkable?	ها هذا الماء صالح للشرب؟
>>ara<< Is your father a doctor?	هل أبوك طبيب؟
>>ara<< It is their only choice.	إنه الخيار الوحيد لديهم.
>>ara<< It is their only choice.	إنه خيارهم الوحيد.
>>ara<< It isn't anyone's fault.	هذا ليس خطأ أى شخص.
>>ara<< It may freeze next week.	من الممكن أن تتجمد الأسبوع القادم.
>>ara<< It was a computer error.	كان خطأ حاسوبيّ.
>>ara<< It was a stupid mistake.	كان خطأً غبياً.
>>ara<< It's a tricky situation.	هذا وضع صعب.
>>ara<< It's no laughing matter.	هذا ليس أمراً مضحكاً.
>>ara<< It's not rocket science.	ليس الأمر صعباً إلى هذه الدرجة.
>>ara<< It's not rocket science.	ليس الأمر صعباً كعلم صناعة الصواريخ.
>>ara<< It's part of the system.	إنه جزء من النظام.
>>ara<< It's the end of a world.	انها نهاية العالم.
>>ara<< It's the right decision.	إنه القرار الصائب.
>>ara<< It's unfortunately true.	للأسف ذلك صحيح.
>>ara<< It's unfortunately true.	مع الأسف إن ذلك صحيح.
>>ara<< It's very hot, isn't it?	الجو حار جداً، صحيح؟
>>ara<< Japan is close to China.	اليابان قريبة من الصين.
>>ara<< Japan is close to China.	اليابان قريبة إلى الصين.
>>ara<< Jump as high as you can.	اقفز بأعلى ما يمكنك.
>>ara<< Let's agree to disagree.	فالنتفق على أن نختلف.
>>ara<< Let's forget about that.	لننسى الأمر.
>>ara<< Let's forget about this.	دعنا ننسى هذا.
>>ara<< Let's forget about this.	دعينا ننسى هذا.
>>ara<< Let's forget about this.	دعونا ننسى هذا.
>>ara<< Let's forget about this.	لننسى الأمر.
>>ara<< Let's go someplace else.	هيا بنا نذهب إلى مكان آخر.
>>ara<< Let's go somewhere else.	هيا بنا نذهب إلى أي مكان آخر.
>>ara<< Mary is Tom's secretary.	ماري هي سكرتيرة توم.
>>ara<< May I ask you something?	هل لي أن أطلب منك شيئا؟
>>ara<< May I borrow your knife?	أيمكنني أن أستعير سِكّينَك؟
>>ara<< May I see your passport?	هل لي أن أرى جواز سفرك؟
>>ara<< May I stay here tonight?	هل يمكنني البقاء هنا الليلة؟
>>ara<< Maybe Tom saw something.	ربما توم رأى شيئاً.
>>ara<< Maybe she will not come.	من الممكن أن لا تأتي.
>>ara<< Mind if I join you guys?	هل تمانعون إذا انضممت إليكم يا رفاق؟
>>ara<< Money is not everything.	المال ليس كل شيء.
>>ara<< Most of us will do that.	أغلبنا سيفعل هذا.
>>ara<< My brother plays guitar.	أخي يعزف على الغيتار.
>>ara<< My front tooth fell out.	وقعت سنّي الأمامية.
>>ara<< My mother made me a bag.	صنعت لي أمي حقيبة.
>>ara<< My uncle came to see me.	أتی عمي لرؤيتي.
>>ara<< My uncle came to see me.	قدم عمي لرؤيتي.
>>ara<< Never underestimate Tom.	لا تستخفَّ بتوم أبداً.
>>ara<< No one came except Mary.	لم يأت أحد سوى ماري.
>>ara<< No one cares about that.	لا أحد يهتمّ بهذا .
>>ara<< No, thank you. I'm full.	لا، شكراً لك. لقد شبعت.
>>ara<< Nobody cares about that.	لا أحد يهتمّ بهذا .
>>ara<< None of us speak French.	لا أحد منا يتحدث اللغة الفرنسية.
>>ara<< Our climate is changing.	مناخنا يتغير.
>>ara<< Please call me up later.	من فضلك إتّصل بي لاحقاً.
>>ara<< Please delete this file.	من فضلك إلغِ هذا الملفّ.
>>ara<< Please insert your card.	من فضلك أدخل بطاقتك.
>>ara<< Please keep this secret.	من فضلك أبقِ ذلك سراً.
>>ara<< Please leave right away.	من فضلك غادر حالاً.
>>ara<< Please park in the back.	رجاء اركن في الخلف.
>>ara<< Please write with a pen.	من فضلك اِكتب بقلم حبر.
>>ara<< Rome is an ancient city.	روما مدينة قديمة.
>>ara<< Run as fast as possible.	اركض بأقصى سرعة.
>>ara<< She asked me a question.	سألتني سؤالاً.
>>ara<< She chose the red dress.	اِختارت الفستان الأحمر.
>>ara<< She hates green peppers.	إنها لا تحب الفلفل الأخضر.
>>ara<< She is very intelligent.	إنها ذكية جداً.
>>ara<< She is very intelligent.	إنها حادة الذكاء.
>>ara<< She might come tomorrow.	ربما تأتي غدًا.
>>ara<< She waited for my reply.	انتظرتْ ردي.
>>ara<< She was about to go out.	كان على وشك أن تخرج.
>>ara<< She was about to go out.	كانت على وشك الخروج.
>>ara<< She was about to go out.	كانت على وشك أن تخرج.
>>ara<< She'll love him forever.	ستحبه إلى الأبد.
>>ara<< She's lost her car keys.	فقدت مفاتيح سيارتها.
>>ara<< She's not young, is she?	ليست صغيرة ،أليس كذلك ؟
>>ara<< Show me another example.	أرني مثالاً آخر.
>>ara<< Shut the door, will you?	هل لك أن تغلق الباب؟
>>ara<< Someone is watching you.	هناك من ينظر إليك.
>>ara<< Someone is watching you.	أحدهم يراقبك.
>>ara<< Someone stole my wallet.	أحدهم سرق محفظتي.
>>ara<< Sometimes I have doubts.	بعض الأحيان يكون لدي شكوك.
>>ara<< Take a look at this map.	ألقِ نظرةً على هذه الخريطة.
>>ara<< That boy has black hair.	شعر ذاك الولد أسود.
>>ara<< That factory makes toys.	ذلك المصنع ينتج الألعاب.
>>ara<< That is why I came here.	لهذا السبب جئت الى هنا.
>>ara<< That's a brilliant idea.	هذهِ فكرة رائعة.
>>ara<< That's absolutely right.	إن ذلك بالطبع صحيح.
>>ara<< That's why we fired Tom.	لذلك قد فصلنا توم.
>>ara<< The ambassador returned.	عاد السفير.
>>ara<< The box is almost empty.	الصندوق فارغ تقريبا
>>ara<< The boy remained silent.	ظل الولد ساكناً.
>>ara<< The boy remained silent.	بقِيَ الولد هادئاً.
>>ara<< The castle is beautiful.	هذه القلعة جميلة.
>>ara<< The castle is beautiful.	القلعة جميلة.
>>ara<< The castle is beautiful.	القلعة خلابة.
>>ara<< The dog ran after a fox.	لحِق الكلب ثعلبًا.
>>ara<< The front door was open.	كان الباب مفتوحاً.
>>ara<< The game isn't over yet.	لم تنته اللعبة بعد.
>>ara<< The grass needs cutting.	يحتاج العشب إلى التشذيب.
>>ara<< The grass needs cutting.	العشب بحاجة إلى التجديب.
>>ara<< The hospital is crowded.	المستشفى مزدحم.
>>ara<< The jet landed at Tokyo.	هبطت الطائرة في طوكيو.
>>ara<< The landing was perfect.	كان الهبوط متقنا.
>>ara<< The lion is eating meat.	يأكل الأسد اللحم.
>>ara<< The police are after me.	الشرطة تبحث عنّي.
>>ara<< The toilet doesn't work.	المرحاض معطّل.
>>ara<< There is a fork missing.	هناك شوكة ناقصة.
>>ara<< There is a fork missing.	ينقص شوكة.
>>ara<< There is a page missing.	هناك صفحة ناقصة.
>>ara<< There's nowhere to hide.	ليس هناك مكان للاختباء.
>>ara<< These bottles are empty.	هذه القارورات فارغة.
>>ara<< They are still children.	ما زالوا صغارًا.
>>ara<< They had only one child.	كان لديهما ولد واحد.
>>ara<< They had only one child.	رزقوا بولد وحيد.
>>ara<< They reached their goal.	لَقَد وَصَلوا إلى هَدَفَهُم.
>>ara<< They require extra help.	هم يحتاجون المزيد من المساعدة.
>>ara<< They sell fish and meat.	يبيعون السمك واللحم.
>>ara<< Think about your future.	فكر في مستقبلك!
>>ara<< This beach is beautiful.	هذا الشاطيء جميل.
>>ara<< This bread is delicious.	هذا الخبز لذيذ.
>>ara<< This doesn't concern me.	هذا الأمر لا يعنيني.
>>ara<< This is a good question.	هذا سؤال جيد.
>>ara<< This is a good textbook.	هذا كتاب جيد.
>>ara<< This is too easy for me.	هذا سَهلٌ جِداً لي
>>ara<< This serves the purpose.	هذا يفي بالغرض.
>>ara<< This story is about Tom.	هذه قصّة عن توم.
>>ara<< This water is delicious.	هذا الماء لذيذ.
>>ara<< Tom almost convinced me.	أقنعني توم تقريباً
>>ara<< Tom always surprises me.	توم دائما ما يفاجئني.
>>ara<< Tom and Mary were right.	كان توم و ماري محقّان.
>>ara<< Tom arrived around 2:30.	وصل توم حوالي 2:30.
>>ara<< Tom asked Mary to drive.	طلب توم من ماري القيادة.
>>ara<< Tom ate Mary's sandwich.	أكل توم شطيرة ماري.
>>ara<< Tom did something wrong.	ارتكب توم خطأ" ما.
>>ara<< Tom doesn't like cheese.	توم لا يحب الجبنة.
>>ara<< Tom doesn't like cheese.	توم لا يحب أكل الجبن.
>>ara<< Tom got out of the taxi.	خرج توم من التاكسي.
>>ara<< Tom hid under the table.	اختبأ توم تحت الطاولة.
>>ara<< Tom is Mary's professor.	توم هو أستاذ ماري.
>>ara<< Tom is a French teacher.	توم مدرس فرنسية.
>>ara<< Tom is a friend of mine.	توم صديق لي.
>>ara<< Tom is clearly worn out.	توم مرهق بوضوح
>>ara<< Tom is young and single.	توم شاب و أعزب
>>ara<< Tom isn't Mary's friend.	توم ليس صديق ماريا
>>ara<< Tom isn't a good singer.	توم ليس بمغنٍّ جيّد.
>>ara<< Tom isn't a kid anymore.	لم يعد توم طفلا بعد الآن.
>>ara<< Tom isn't at all stupid.	توم ليس غبيا على الاطلاق
>>ara<< Tom isn't himself today.	توم ليس نَفسَهُ اليوم.
>>ara<< Tom knew I wasn't happy.	علم توم أنني لست سعيدا
>>ara<< Tom knows that you know.	يعرف توم أنك تعرف
>>ara<< Tom liked to play chess.	كان توم يحب لعب الشطرنج
>>ara<< Tom likes cheeseburgers.	توم يحب شطائر الجبنة.
>>ara<< Tom likes cheeseburgers.	توم يحب التشيزبرقر.
>>ara<< Tom likes playing chess.	توم يحب لعب الشطرنج
>>ara<< Tom might not like that.	قد لا يحب توم ذلك.
>>ara<< Tom needs a good lawyer.	توم يحتاج الى محامٍ جيد.
>>ara<< Tom said he saw nothing.	قال توم بأنه لم يرى شيئا.
>>ara<< Tom slept at the office.	نام توم في المكتب
>>ara<< Tom stayed home all day.	بقي توم في البيت طوال اليوم.
>>ara<< Tom thinks the same way.	يفكّر توم بنفس الطريقة.
>>ara<< Tom threw a large party.	رتّب سامي لحفلة كبيرة.
>>ara<< Tom turned on the water.	فتح سامر صمام المياه.
>>ara<< Tom was at Mary's house.	كان توم في بيت ماري.
>>ara<< Tom was shot and killed.	أُطلق على توم فقُتل.
>>ara<< Tom wasn't good at math.	لم يكن توم جيد بالمباره
>>ara<< Tom works at a hospital.	توم يعمل في مستشفى
>>ara<< Tom works in a hospital.	توم يعمل في مستشفى
>>ara<< Tom's a bit freaked out.	توم مذعور قليلا.
>>ara<< Tom, what are you doing?	توم، ماذا تفعل؟
>>ara<< Tomorrow's your day off.	غدا عطلتك.
>>ara<< Turn off the sprinklers.	أقفل المرشّات.
>>ara<< War is a terrible thing.	الحرب هو شيءٌ فظيع.
>>ara<< Water has zero calories.	الماء به صفر سعرات حرارية.
>>ara<< Water is very important.	الماء مهم جدا.
>>ara<< We appreciate your help.	نُقَدِّر مساعدتك.
>>ara<< We aren't going to lose.	لن نخسر.
>>ara<< We can rest after lunch.	نستطيع ان نرتاح بعد الغداء.
>>ara<< We don't have any cream.	لم تبقَ ليدينا كريمة.
>>ara<< We don't need your help.	لا نحتاج مساعدتك.
>>ara<< We don't need your help.	لسنا بحاجة لمساعدتك.
>>ara<< We haven't met for ages.	لم نلتق منذ وقت طويل.
>>ara<< We haven't met for ages.	لم نلتق منذ مدة.
>>ara<< We heard somebody shout.	نسمع شخصًا يصرخ.
>>ara<< We need to stay focused.	يجب أن نبقى منتبهين.
>>ara<< We still have more time.	ما زال لدينا الكثير من الوقت.
>>ara<< We're going to miss Tom.	سنفتقد توم.
>>ara<< We're going to the park.	سنذهب إلى الحديقة.
>>ara<< What a beautiful design!	يا له من تصميمٍ جميل !
>>ara<< What a beautiful garden!	ما أجمل هذه الحديقة.
>>ara<< What a beautiful garden!	يا لها من حديقة جميلة.
>>ara<< What a cute little girl!	يا لها من فتاة جميلة!
>>ara<< What a terrible mistake!	يا له من خطأ فادح!
>>ara<< What are you doing, Dad?	ماذا تفعل يا أبي؟
>>ara<< What are you looking at?	إلامَ تنظر؟
>>ara<< What are you looking at?	إلى ماذا تنظر؟
>>ara<< What are you staring at?	بماذا تحدّق؟
>>ara<< What did you talk about?	عن ماذا تحدّثت؟
>>ara<< What did you talk about?	ما الذي تحدّثت عنه؟
>>ara<< What did you want to do?	ما الذي أردت فعله؟
>>ara<< What do you like to eat?	ماذا تحب أن تأكل؟
>>ara<< What do you want to eat?	ماذا تريد أن تأكل؟
>>ara<< What does he see in her?	ما الذي يراهُ فيها؟
>>ara<< What happened last week?	ماذا حصل الأسبوع الماضي؟
>>ara<< What is his nationality?	ما جنسيته؟
>>ara<< What made you come here?	ما الذي جعلك تأتي إلى هنا؟
>>ara<< What made you come here?	ما الذي جاء بك إلى هنا؟
>>ara<< What time do you get up?	متى تستيقظ؟
>>ara<< What time is it, anyway?	كم الساعة على أي حال؟
>>ara<< What year were you born?	في أي عام ولدت؟
>>ara<< What's my doctor's name?	ما اسم طبيبي؟
>>ara<< What's that bird called?	ما اسم هذا الطائر؟
>>ara<< What's that bird called?	ماذا يسمى هذا الطائر؟
>>ara<< What's that funny sound?	ما هذا الصّوت الغريب؟
>>ara<< What's the airmail rate?	ما معدل البريد الجوي؟
>>ara<< When do you play tennis?	متى تلعب التنس؟
>>ara<< When does the bank open?	متى يفتح المصرف؟
>>ara<< When will you come home?	متى ستعود إلى البيت؟
>>ara<< When will you come home?	متى سترجع إلى المنزل؟
>>ara<< Where are the lifeboats?	أين زوارق النجاة؟
>>ara<< Where can I find a taxi?	أين يمكنني أن أجد سيارة أجرة؟
>>ara<< Where do you have lunch?	أين تتناول الغذاء؟
>>ara<< Where is the difference?	أين هو الفرق؟
>>ara<< Where is the toothpaste?	أين معجون الأسنان؟
>>ara<< Where's the dining room?	أين غرفة الطعام؟
>>ara<< Who are you waiting for?	من تنتظر؟
>>ara<< Why are you so agitated?	لم أنت مضطرب كل هذا الشيء؟
>>ara<< Why did it take so long?	لماذا إستغرقَ هذا وقتاً طويلاً؟
>>ara<< Why do you need a knife?	لماذا تحتاج سكينا؟
>>ara<< Why don't you want this?	لم لا تريد هذا؟
>>ara<< Why wouldn't we do that?	لم لا نفعل ذلك؟
>>ara<< Why wouldn't we do that?	لم لا نقوم بذلك؟
>>ara<< Write your address here.	اِكتب عنوانك هنا.
>>ara<< Write your address here.	اكتب عنوانك هنا.
>>ara<< Write your name in full.	اكتب اسمك كاملاً
>>ara<< You always tell me that.	أنت دائما تقول لي ذلك.
>>ara<< You are a good customer.	أنت مشتر جيد.
>>ara<< You are a tennis player.	أنت لاعب كرة مضرب.
>>ara<< You are as tall as I am.	طولُك مثل طولي.
>>ara<< You are doing very well.	إنك تبلي حسناً.
>>ara<< You are doing very well.	أنت تقوم بعمل جيد.
>>ara<< You are in a safe place.	أنت في مكان آمن.
>>ara<< You are really talented.	أنت موهوبٌ حقاً.
>>ara<< You can put it anywhere.	بإمكانك وضعها في أي مكان.
>>ara<< You can stay for dinner.	بإمكانك البقاء لتناول العشاء.
>>ara<< You can swim, can't you?	تستطيع السباحة، أليس كذلك؟
>>ara<< You can't buy happiness.	لا يمكنك شراء السعادة.
>>ara<< You can't swim, can you?	لا يمكنك السباحة، صحيح؟
>>ara<< You can't swim, can you?	لا يمكنك أن تسبح، أليس كذلك؟
>>ara<< You don't have to study.	ليس عليك أن تدرس.
>>ara<< You don't know who I am.	إنك لا تعرف من أكون.
>>ara<< You don't smoke, do you?	إنك لا تدخن، صحيح؟
>>ara<< You left your lights on.	لقد تركت أنوارك مفتوحة.
>>ara<< You look like a tourist.	انت تبدو سائحاً.
>>ara<< You must be more polite.	عليك أن تكون مهذباً أكثر.
>>ara<< You must do it yourself.	يجب عليك فعل ذلك بنفسك.
>>ara<< You must face the facts.	يجب أن تواجه الحقائق.
>>ara<< You must pay in advance.	عليك أن تدفع مقدماً.
>>ara<< You ought to be ashamed.	يجب أن تكون خجِلًا.
>>ara<< You really are hopeless.	لا فائدة من المحاولة معك حقاً.
>>ara<< You should fix your tie.	عليك إصلاح ربطة عنقك.
>>ara<< You should have done so.	كان عليك فعل ذلك.
>>ara<< You should not go there.	عليك ألا تذهب إلى هناك.
>>ara<< You should quit smoking.	عليك أن تقلع عن التدخين.
>>ara<< You should study harder.	عليك أن تدرس بجهد أكثر من ذلك.
>>ara<< You still have a chance.	ما زالت لديك فرصة.
>>ara<< You surprised everybody.	لقد فاجأت الجميع.
>>ara<< You told me so yourself.	أخبرتني ذلك بنفسك.
>>ara<< You were busy last week.	كنت مشغولاً الأسبوع الماضي.
>>ara<< You will miss the train.	سيفوتك القطار.
>>ara<< You'll be busy tomorrow.	ستكون مشغولاً في الغد.
>>ara<< You're everything to me.	أنت -بالنسبة لي- كل شيء.
>>ara<< Your dress is very nice.	فستانك جميل جدا.
>>ara<< Your guests are waiting.	ضيوفك ينتظرون.
>>ara<< Your house is fantastic.	منزلك رائع.
>>ara<< Your house is very nice.	ما أروع منزلك!
>>ara<< A glass of water, please.	قارورة مياه ، من فضلك.
>>ara<< A glass of water, please.	أريد كأسا من الماء من فضلك.
>>ara<< A lot of people like Tom.	كثير من الناس معجبون بتوم.
>>ara<< A tea with lemon, please.	شاي بالليمون، لو سمحت.
>>ara<< All Tom does is complain.	جلّ ما يفعله توم هو التذمر.
>>ara<< Almost everyone has left.	غادر الجميع تقريبًا.
>>ara<< An accident has happened.	وقع حادث.
>>ara<< Are you against abortion?	هل انت ضد الاجهاض ؟
>>ara<< Are you writing a letter?	هل تكتب رسالةً؟
>>ara<< Barking dogs seldom bite.	الكلاب النابحة نادراً ما تعض.
>>ara<< Birds fly long distances.	تقطع الطيور مسافات طويلة.
>>ara<< Bread is made from wheat.	يصنع الخبز من القمح.
>>ara<< Can I pay by credit card?	أيمكنني الدفع عن طريق بطاقة الإئتمان؟
>>ara<< Can I use my credit card?	أيمكنني استخدام بطاقة إئتماني؟
>>ara<< Can we forget about that?	هل بإمكاننا أن ننسى ذلك؟
>>ara<< Can you order one for me?	هل يمكنك طلب واحد لي؟
>>ara<< Cheese is made from milk.	تُصنع الجبنة من الحليب.
>>ara<< China is a large country.	الصين بلد كبير
>>ara<< Clearly you are mistaken.	من الواضح أنك مخطئ.
>>ara<< Correct me if I am wrong.	صححني إذا كنت مخطئاً.
>>ara<< Darwin changed the world.	داروين غيرَ العالم.
>>ara<< Did Tom get into trouble?	هل وقع توم في ورطة؟
>>ara<< Did Tom offer to help us?	هل عرض توم مساعدتنا؟
>>ara<< Did my father really die?	أحقا مات أبي؟
>>ara<< Did you buy the medicine?	هل إشتريت الدواء؟
>>ara<< Did you enjoy the movies?	هل استمتعت بمشاهدة الفلم؟
>>ara<< Did you pay for the book?	هل دفعت ثمن الكتاب؟
>>ara<< Did you watch this movie?	هل شاهدت هذا الفلم.
