>>cbk<< Who?	¿Quién?
>>cbk<< The woman is naked.	Borles el mujer.
>>cbk<< They eat chocolate.	Ta comé silá chocolate.
>>cbk<< They're mad at you.	Loco sila contigo.
>>cbk<< They're mad at you.	Loco sila con usted.
>>cbk<< They're mad at you.	Loco sila con vos.
>>cbk<< This fork is dirty.	Mabuling esté tenedor.
>>cbk<< This fork is dirty.	Ma-sucio esté tenedor.
>>cbk<< This is my bicycle.	Esté de mío bike.
>>cbk<< This is my brother.	Este de mio hermano.
>>cbk<< Those are my pants.	De mio aquél pantalón.
>>cbk<< Tom became nervous.	Ya nerviá si Tom.
>>cbk<< Tom freed the bird.	Ya largá si Tom cunel pajaro.
>>cbk<< Tom hugged his dog.	Ya abrazá si Tom de suyo perro.
>>cbk<< Tom is my neighbor.	Vecinos de mío si Tom.
>>cbk<< Tom is not so sure.	Hindê bien siguráo si Tom.
>>cbk<< Tom is on the roof.	Tallá si Tom arriba techo.
>>cbk<< Tom is really rich.	Bien rico gayót si Tom.
>>cbk<< Tom is still angry.	Rabiáo pa siempre si Tom.
>>cbk<< Tom is very stingy.	Bien kuríput si Tom.
>>cbk<< Tom kicked the can.	Ya pateá si Tom cunel lata.
>>cbk<< Tom might be there.	Bakâ tallá si Tom.
>>cbk<< Tom needs help now.	Necesita si Tom ayuda ahora.
>>cbk<< Tom screamed again.	Ya gritá olét si Tom.
>>cbk<< Tom was late again.	Atrasáo olet si Tom.
>>cbk<< Tom whistled again.	Ya chiplá olét si Tom.
>>cbk<< Tom's eyes widened.	Ya ardé el ojos de Tom.
>>cbk<< Was that your plan?	Amó aquel de tuyo plano?
>>cbk<< We have a surprise.	Tiene kamé sorpresa.
>>cbk<< We know what to do.	Sabe kamé cosa hacé.
>>cbk<< We must follow Tom.	Debe kamé siguí cun Tom.
>>cbk<< We prayed for rain.	Ya resá kamé para cai ulán.
>>cbk<< We're almost there.	Cerca ya gat kita.
>>cbk<< We're here for you.	Taqui kame para contigo.
>>cbk<< We've done our job.	Ya hacé ya kamé de amon trabajo.
>>cbk<< What are those for?	Para cosa esos?
>>cbk<< What were you told?	Cosa cuntigo ya hablá?
>>cbk<< When can I do this?	Cuando yo puede hacé cuneste?
>>cbk<< When can I see you?	Cuando kitá puede man mirahan?
>>cbk<< When will you come?	Cuando tu vené?
>>cbk<< Where are you from?	¿De dónde usted?
>>cbk<< Where are you from?	¿De dónde tú?
>>cbk<< Where are you from?	¿De dónde vos?
>>cbk<< Where are you from?	¿De dónde evos?
>>cbk<< Where are you from?	¿Usted, de dónde?
>>cbk<< Where are you from?	¿Tú, de dónde?
>>cbk<< Where are you from?	¿Vos, de dónde?
>>cbk<< Where are you from?	¿Evos, de dónde?
>>cbk<< Where could Tom be?	Donde ya gahá si Tom?
>>cbk<< Where do you study?	Donde tu ta entrá escuela?
>>cbk<< Where does it hurt?	Donde ta duele?
>>cbk<< Where is my pencil?	Donde ya de mío lápiz?
>>cbk<< Where's the doctor?	Donde ya el doctor?
>>cbk<< Whose book is this?	De quien libro esté?
>>cbk<< Whose wine is this?	De quien esté vino?
>>cbk<< Why are you crying?	Por que tu ta llorá?
>>cbk<< Why do you like it?	Por que tu quiere cunese?
>>cbk<< You broke your arm.	Ya quebrá de tuyo braso.
>>cbk<< You bumped into me.	Yambanggá tu cumigo.
>>cbk<< You look exhausted.	Dol bien cansáo man tu.
>>cbk<< You need a new hat.	Necesita tu nuevo sombrero.
>>cbk<< You're not like me.	Hindé tu igual cumigo.
>>cbk<< You're too nervous.	Nervioso gayót tu.
>>cbk<< Are these your keys?	De tuyo esté mga llave?
>>cbk<< Can you play guitar?	Sabe tu tocá guitarra?
>>cbk<< Can you reach those?	Puede tu alcanzá cunesos?
>>cbk<< Climb onto the roof.	Subí na techo.
>>cbk<< Did you come for me?	Ya vené tu por causa cumigo?
>>cbk<< Do you drink coffee?	Ta tomá tu café?
>>cbk<< Do you drink coffee?	Ta tomá ustedes café?
>>cbk<< Do you drink coffee?	Ta tomá vosotros café?
>>cbk<< Do you have a knife?	Tiene tu cuchillo?
>>cbk<< Do you know the way?	Sabe tu el camino?
>>cbk<< Does Tom always win?	Pirmi ba ta ganá si Tom?
>>cbk<< Don't trust anybody.	Numá confiá masquín cun quien.
>>cbk<< Don't you feel cold?	Hindé tu ta sintí frio?
>>cbk<< Everybody likes him.	Todo quiere conele.
>>cbk<< Give them my number.	Dale kanila el de mío número.
>>cbk<< Have you called Tom?	Ya llama tu con Tom?
>>cbk<< He boarded the ship.	Ya subí le na barco.
>>cbk<< He got on the train.	Ya entrá le na tren.
>>cbk<< He is very busy now.	Bien busy gayot le ahora.
>>cbk<< He went to the shop.	Ya andá le na tienda.
>>cbk<< He's really selfish.	Bien lagák gayót le.
>>cbk<< Here's what we know.	Esté el cosa kamé sabe.
>>cbk<< How can I trust you?	Pakimodo yo confiá cuntigo?
>>cbk<< I arrived yesterday.	Ayer yo ya llegá.
>>cbk<< I climbed the fence.	Ya subí yo na corral.
>>cbk<< I don't want to cry.	No quiere yo llorá.
>>cbk<< I folded the towels.	Ya doblá yo cunel maga toalla.
>>cbk<< I have a suggestion.	Tiene yo sugestion.
>>cbk<< I have many friends.	Manada yo amigo.
>>cbk<< I have to apologize.	Necesita yo pidí disculpá.
>>cbk<< I have to thank him.	Necesita yo rindí gracias cunele.
>>cbk<< I have to visit Tom.	Necesita yo visitá cun Tom.
>>cbk<< I just want to know.	Quiere lang yo sabé.
>>cbk<< I know what Tom did.	Sabe yo cosa ya hacé si Tom.
>>cbk<< I know you're angry.	Sabe yo rabiao tu.
>>cbk<< I leave in one week.	Sale yo na una semana.
>>cbk<< I said I would help.	Ya hablá yo ayudá yo.
>>cbk<< I speak French, too.	Sabe también yo man cuento French.
>>cbk<< I tried to help Tom.	Ya pricurá yo ayudá cun Tom.
>>cbk<< I want to eat pizza.	Quiere yo comé pizza.
>>cbk<< I want to play, too.	Quiere también yo jugá.
>>cbk<< I went to the river.	Ya andá yo na río.
>>cbk<< I will miss you all.	Ay man miss yo cun ustedes todo.
>>cbk<< I wish I could stay.	Ojala pueda yo aqui queda.
>>cbk<< I'll buy a calendar.	Ay cumprá yo un calendario.
>>cbk<< I'll dance with Tom.	Ay bailá kamé dos de Tom.
>>cbk<< I'll never tell you.	Nunca yo ay hablá cuntigo.
>>cbk<< I'll take you there.	Ay llevá yo cuntigo allá.
>>cbk<< I'll wait till noon.	Ay esperá yo hasta mediodía.
>>cbk<< I'm bigger than you.	Mas grande yo contra cuntigo.
>>cbk<< I'm in the hospital.	Na ospital yo.
>>cbk<< I've changed my job.	Ya cambiá yo mío trabajo.
>>cbk<< Is it going to rain?	Man ulán gahá?
>>cbk<< Is it going to rain?	Ay cáe gahá ulán?
>>cbk<< Is it still raining?	Tan ulan pa?
>>cbk<< Is it sweet or sour?	Dulce se o ágrio?
>>cbk<< Is it windy outside?	Maviento afuera?
>>cbk<< Is this really true?	Deberasan ba gayot esté?
>>cbk<< It'll snow tomorrow.	Man snow mañana.
>>cbk<< It's happened to me.	Ya sucedé ese cumigo.
>>cbk<< Let's try this cake.	Prubá kitá cuneste cake.
>>cbk<< My fingers are numb.	Intumido de mío maga dedo.
>>cbk<< My name is Tom, too.	Mio nombre tamen es Tom.
>>cbk<< My neck still hurts.	Ta duelé siempre de mío pescuezo.
>>cbk<< My wife is a doctor.	Un doctora de mío esposa.
>>cbk<< No one believes you.	Nuáy quien ta cré cuntigo.
>>cbk<< One fork is missing.	Falta un tenedor.
>>cbk<< One of you is lying.	Uno diinyo tan embusterías.
>>cbk<< Please drive safely.	Por favor manejá cun cuidáo.
>>cbk<< Put the shovel down.	Largá cunel pala.
>>cbk<< Put the shovel down.	Poné abajo cunel pala.
>>cbk<< Sharpen your pencil.	Amulá de tuyo lápiz.
>>cbk<< She has two sisters.	Tiene le dos hermana.
>>cbk<< She studies English.	Ta estudiá le inglés.
>>cbk<< Should I be jealous?	Necesita ba yo man celos?
>>cbk<< Show me the picture.	Dale cumigo mirá el retrato.
>>cbk<< Something's burning.	Tiene cosa ta quemá.
>>cbk<< Tell us where to go.	Hablá kanamon donde kamé andá.
>>cbk<< Thank you for today.	Gracias por este dia.
>>cbk<< The new car is hers.	De suyo el nuevo coche.
>>cbk<< The ship is sinking.	Ta sumí el barco.
>>cbk<< The soup's very hot.	Bien caliente el caldo.
>>cbk<< The trees are green.	Verde el mga pono.
>>cbk<< There's nobody home.	Nuáy gente na casa.
>>cbk<< This apple is sweet.	Dulce este manzanas.
>>cbk<< This egg is cracked.	Rajáo este huevos.
>>cbk<< This is Tom's knife.	Cuchillo esté de Tom.
>>cbk<< This is not a tiger.	Hinde este tigre.
>>cbk<< This is their house.	Éste deíla casa.
>>cbk<< This is their house.	Ese dilla casa.
>>cbk<< This paper is rough.	Makasap este papel.
>>cbk<< Tom arrived at 2:30.	Alas 2:30 si Tom ya llegá.
>>cbk<< Tom began to scream.	Ya empezá gritá si Tom.
>>cbk<< Tom bites his nails.	Ta mordé si Tom de suyo maga uñas.
>>cbk<< Tom called the cops.	Ya llamá si Tom cunel mga pulís.
>>cbk<< Tom closed his eyes.	Ya cerrá si Tom de suyo mga ojos.
>>cbk<< Tom didn't get paid.	Nuáy recibí si Tom cunel pago.
>>cbk<< Tom ducked his head.	Ya agachá si Tom de suyo cabeza.
>>cbk<< Tom eats like a pig.	Dol puerco si Tom si ta comé.
>>cbk<< Tom gave us the key.	Ya dale si Tom el llave kanamon.
>>cbk<< Tom has a black dog.	Tiene si Tom un perro negro.
>>cbk<< Tom hid his weapons.	Ya escondé si Tom cunel maga armas de suyo.
>>cbk<< Tom is a politician.	Político si Tom.
>>cbk<< Tom is good-looking.	Pogi si Tom.
>>cbk<< Tom licked his lips.	Ya lambé si Tom de suyo mga labios.
>>cbk<< Tom sat at his desk.	Ya sintá si Tom na de suyo mesa.
>>cbk<< Tom speaks too fast.	Bien paspás gayot man cuento si Tom.
>>cbk<< Tom's not breathing.	Hindê ta resollá si Tom.
>>cbk<< We don't need money.	Hindê kamé necesita sen.
>>cbk<< We need to find Tom.	Necesita kitá encontrá cun Tom.
>>cbk<< We need to find Tom.	Necesita kamé encontrá cun Tom.
>>cbk<< We're Tom's parents.	Kamé el tata'y nana de Tom.
>>cbk<< We're closing early.	Temprano kamé cerrá.
>>cbk<< We're closing early.	Temprano kitá cerrá.
>>cbk<< We've been so lucky.	Bien suerte kitá.
>>cbk<< We've been so lucky.	Bien suerte kamé.
>>cbk<< We've got a visitor.	Tiene kitá visita.
>>cbk<< We've got a visitor.	Tiene kamé visita.
>>cbk<< We've got a witness.	Tiene kamé testigo.
>>cbk<< What do you call it?	Cosa tu ta llamá cunese?
>>cbk<< What's your opinion?	Cosa de tuyo opinión?
>>cbk<< When do we get paid?	Cuando kamé recibí el pago?
>>cbk<< Where are the forks?	Donde ya el maga tenedor?
>>cbk<< Where are the shoes?	Donde ya el maga zapatos?
>>cbk<< Where are you going?	Donde tu anda?
>>cbk<< Where's my umbrella?	Donde ya de mío páyung?
>>cbk<< Where's the airport?	Donde parte el aeropuerto?
>>cbk<< Who owns this house?	Quien ta dueñá cuneste casa?
>>cbk<< Who stole the apple?	Quien ya robá cunel mansanas?
>>cbk<< Who were those guys?	Quien aquellos mga gente?
>>cbk<< Why did you give up?	Por que tu ya rindí?
>>cbk<< You can take a taxi.	Puede tu sacá taxi.
>>cbk<< You can't deny that.	No puede tu negá cunese.
>>cbk<< You don't know that.	Nusabe tu cunese.
>>cbk<< You saved our lives.	Ya salvá tu diámon vida.
>>cbk<< Your friend is here.	Taqui de tuyo amigo.
>>cbk<< Add sugar to the tea.	Aumentá azúcar na chá.
>>cbk<< Are you still hungry?	Cun hambre pa tu siempre?
>>cbk<< Aren't you coming in?	Hindé tu entrá?
>>cbk<< Both dogs are asleep.	Ambos magá perro ta durmí.
>>cbk<< But you're not there.	Pero no hay tu allá.
>>cbk<< Can we come with you?	Puede kamé siguí cuntigo?
>>cbk<< Can we come with you?	Puede kamé siguí cun ustedes?
>>cbk<< Can we rest a moment?	Puede kitá descansá un rato?
>>cbk<< Can we rest a moment?	Puede kamé descansá un rato?
>>cbk<< Can you come with me?	Puede tu siguí cumigo?
>>cbk<< Can you come with me?	Puede ustedes siguí cumigo?
>>cbk<< Can you help me here?	Puede tu ayudá cumigo aquí?
>>cbk<< Did I give it to you?	Ya dale yo cuntigo?
>>cbk<< Did Tom see anything?	Tiene si Tom cosa ya puede mirá?
>>cbk<< Did you buy any eggs?	Ya cumprá tu huevos?
>>cbk<< Did you use my knife?	Ya usá tu de mío cuchillo?
>>cbk<< Do you have a sister?	Tiene tu hermana?
>>cbk<< Do you know who I am?	Sabe tu quien yo?
>>cbk<< Do you like my shoes?	Ya gustá tu de mío sapatos?
>>cbk<< Give me another nail.	Dale cumigo otro clavo.
>>cbk<< Give me the notebook.	Dale cumigo el cuaderno.
>>cbk<< Give us what we want.	Dale kanamon cosa kamé quiere.
>>cbk<< Go to the barbershop.	Andá na barbero.
>>cbk<< He crossed the river.	Ya travesá le na río.
>>cbk<< He had fifty dollars.	Tiene le cincuenta dollares.
>>cbk<< He married my cousin.	Ya casá le de mío prima.
>>cbk<< He picked up a stone.	Ya pipiná le un piedra.
>>cbk<< He works at the bank.	Ta trabajá le na banco.
>>cbk<< He's in the hospital.	Talla le na hospital.
>>cbk<< He's in the hospital.	Ele na hospital.
>>cbk<< He's in the hospital.	Na hospital ele.
>>cbk<< He's in the hospital.	Na hospital le.
>>cbk<< He's in the hospital.	Ele tallá na hospital.
>>cbk<< He's in the hospital.	Tallá le na hospital.
>>cbk<< He's in the hospital.	Tallá ele na hospital.
>>cbk<< His blood is boiling.	Ta herví de suyo sangre.
>>cbk<< How did you get here?	Pakimodo tu ya llegá aquí?
>>cbk<< How much is this hat?	¿Cuánto este sombrero?
>>cbk<< I ate fish yesterday.	Ya comé yo pescao ayer.
>>cbk<< I ate three hot dogs.	Ya comé yo tres hotdog.
>>cbk<< I bought an umbrella.	Ya comprá yo un páyung.
>>cbk<< I came here with Tom.	Ya vené yo aquí cun Tom.
>>cbk<< I closed my umbrella.	Ya cerrá yo de mío páyung.
>>cbk<< I don't care who won.	No hay yo quever quien ya ganá.
>>cbk<< I don't want to know.	No quiere yo sabe.
>>cbk<< I don't want to stay.	No quiere yo quedá.
>>cbk<< I don't want to stop.	No quiere yo pará.
>>cbk<< I don't want to swim.	No quiere yo nadá.
>>cbk<< I don't want to wait.	No quiere yo esperá.
>>cbk<< I don't want to work.	No quiere yo trabajá.
>>cbk<< I forget who said it.	Ya olvidá yo quien ya hablá cunaquel.
>>cbk<< I have a sharp knife.	Tiene yo un cuchillo agudo.
>>cbk<< I have to wear boots.	Necesita yo usá botas.
>>cbk<< I love fried bananas.	Quiere gayot yo frito ságuing.
>>cbk<< I made a paper plane.	Ya hacé yo eroplano de papel.
>>cbk<< I saw Tom last night.	Ya mirá yo cun Tom anoche.
>>cbk<< I saw a sleeping dog.	Ya mirá yo un perro durmido.
>>cbk<< I want you to use it.	Quiere yo usá tu cunese.
>>cbk<< I'll be home by noon.	Taquí ya yo mediodía.
>>cbk<< I'll get you a towel.	Ay sacá yo toalla para cuntigo.
>>cbk<< I'll get you a towel.	Anda yo sacá toalla cuntigo.
>>cbk<< I'm allergic to corn.	Allergic yo na maíz.
>>cbk<< I'm allergic to corn.	Alérgico yo na maíz.
>>cbk<< I'm glad to be alive.	Alegre yo que vivo yo.
>>cbk<< I'm not Tom's mother.	Hindé yo el nana de Tom.
>>cbk<< I'm sorry I can't go.	Dispensá cumigo no puede yo andá.
>>cbk<< I've been busy today.	Busy yo este día.
>>cbk<< Is this pencil yours?	De tuyo esté lápiz?
>>cbk<< It looks like a duck.	Dol pato man ese.
>>cbk<< It looks like a duck.	Hechura'y pato man ese.
>>cbk<< Just get out of here.	Basta, salé aquí.
>>cbk<< Let's clean our room.	Nya! Limpiá kitá diaton cuarto.
>>cbk<< Let's meet on Sunday.	Man mirahan kitá na Domingo.
>>cbk<< Let's meet on Sunday.	Man mirahan kitá Domingo.
>>cbk<< Many trees fell down.	Manada ponô ya tumbá.
>>cbk<< Many trees fell down.	Ya tumbá manada ponô.
>>cbk<< Milk makes us strong.	Ta hacé kanaton fuerte el leche.
>>cbk<< My elbow still hurts.	Ta duelé pa siempre mío codo.
>>cbk<< My palms were sweaty.	Sudáo de mio maga palma.
>>cbk<< No one will harm you.	Nuáy quien ay hacé cuntigo sintí duele.
>>cbk<< Nobody owns the moon.	Nuay quien ta dueñá cunel luna.
>>cbk<< Open your mouth wide.	Abrí gayot el tuyu boca.
>>cbk<< Please do what I ask.	Favor hacé cosa yo ta pidí.
>>cbk<< Please don't kill me.	No mata comigo por favor.
>>cbk<< Put your wig back on.	Usá olét tuyu peluca.
>>cbk<< She always buys milk.	Pirmi le ta comprá leche.
>>cbk<< She became a postman.	Ya quedá le cartera.
>>cbk<< She bought a chicken.	Ya comprá le un gallina.
>>cbk<< Somebody just called.	Tiene quien ya llamá, nuevo lang.
>>cbk<< The fan doesn't work.	Hindê ta andá el ventilador.
>>cbk<< The fan doesn't work.	Hindê ta funcioná el ventilador.
>>cbk<< The house is burning.	Ta quemá el casa.
>>cbk<< The milk tastes sour.	Agrio man el leche.
>>cbk<< The moon's so bright.	Bien claro el luna.
>>cbk<< The towels are dirty.	Mabuling el maga toalla.
>>cbk<< The towels are dirty.	Ma-sucio el maga toalla.
>>cbk<< The window is closed.	Cerrao el ventana.
>>cbk<< The windows are open.	Abierto el maga ventana.
>>cbk<< There's nothing left.	Nuáy cosa ya quedá.
>>cbk<< They love each other.	Ta amá silá uno'y otro.
>>cbk<< They went to the zoo.	Ya andá silá na zoo.
>>cbk<< This milk tastes odd.	Otro man el sabor deste leche.
>>cbk<< This tree looks dead.	Dol muerto man esté ponô.
>>cbk<< Tom boarded the ship.	Ya embarcá si Tom na barco.
>>cbk<< Tom climbed the tree.	Ya subí si Tom na ese ponô.
>>cbk<< Tom got into the cab.	Ya entrá adentro del taxi si Tom.
>>cbk<< Tom has a full beard.	Barba cerrada si Tom.
>>cbk<< Tom knows what I did.	Sabe si Tom cosa yo ya hacé.
>>cbk<< Tom put his hands up.	Ya alzá si Tom de suyo dos mano.
>>cbk<< Tom told Mary a joke.	Yan broma si Tom cun Mary.
>>cbk<< Tom wants us to wait.	Quiere si Tom na esperá kamé.
>>cbk<< Tom wasn't behind me.	No hay si Tom na detrás de mio.
>>cbk<< Tom wore black pants.	Ya usá si Tom pantalón negro.
>>cbk<< Try to open the door.	Prubá abré cunel puerta.
>>cbk<< We can't do this now.	No puede kitá hacé cuneste ahora.
>>cbk<< We can't go in there.	No puede kamé andá allí adentro.
>>cbk<< We met at the church.	Yan mirahan kamé na iglesia.
>>cbk<< We shouldn't do that.	No kitá debe hacé cunaquel.
>>cbk<< We want what we want.	Quiere kamé el cosa kamé quiere.
>>cbk<< We'll never find Tom.	Nunca kitá ay puede encontrá cun Tom.
>>cbk<< We're not your enemy.	Hindê kamé contralio de tuyu.
>>cbk<< What do I need to do?	Cosa yo necesita hacé?
>>cbk<< What'll happen to me?	Cosa ay pasá cumigo?
>>cbk<< When did you come in?	Cuando tu ya entrá?
>>cbk<< When did you see him?	Cuando tu ya mirá cunele?
>>cbk<< Where are my glasses?	Donde ya de mío antipara?
>>cbk<< Where's the restroom?	Donde el CR?
>>cbk<< Who broke the window?	Quien ya hacé quebrá cunel ventana?
>>cbk<< Who planted the tree?	Quien ya siembrá cunel ponô?
>>cbk<< Whose pencil is this?	De quien esté lápiz?
>>cbk<< Whose pencil is this?	De quien lápiz esté?
>>cbk<< Why are you laughing?	Por que tu ta ré?
>>cbk<< Why are you so happy?	Por que tu bien alegre?
>>cbk<< Why did you go there?	Por qué tu ya andá allá?
>>cbk<< You can come out now.	Puede ya tu salé ahora.
>>cbk<< You don't need to go.	Hindê tu necesita andá.
>>cbk<< You need to get help.	Necesita tu pidí ayuda.
>>cbk<< You need to help Tom.	Necesita tu ayudá cun Tom.
>>cbk<< You're a good person.	Buen gente tu.
>>cbk<< You're not my mother.	Hindé tu de mío nana.
>>cbk<< You're the lucky one.	Tu el suerte.
>>cbk<< Are these your things?	De tuyo estos las cosas?
>>cbk<< Are you free tomorrow?	Libre tu mañana?
>>cbk<< Both of them survived.	Ya sobreviví silá dos.
>>cbk<< Bring me the scissors.	Llevá cumigo el tijeras.
>>cbk<< Come here and help me.	Vené aquí y ayudá cumigo.
>>cbk<< Did you get a haircut?	Ya mandá tu cortá pelo?
>>cbk<< Did you say something?	Tiene ba tu cosa ya ablá?
>>cbk<< Did you see the knife?	Ya mirá tu cunel cuchillo?
>>cbk<< Don't erase the board.	No borrá cunel pizarra.
>>cbk<< Forty people attended.	Cuarenta gente ya atendé.
>>cbk<< He licked his fingers.	Ya lambé le de suyo dedo.
>>cbk<< I am tired of my work.	Cansáo ya yo trabajá.
>>cbk<< I ate curry yesterday.	Ya comé yo karí-karí ayer.
>>cbk<< I can't find my watch.	No puede yo encontrá de mío reloj.
>>cbk<< I can't open the door.	No puede yo abre el puerta.
>>cbk<< I decided to help Tom.	Ya decidí yo ayudá cun Tom.
>>cbk<< I don't like studying.	No quiere yo estudia.
>>cbk<< I don't want to dance.	No quiere yo bailá.
>>cbk<< I don't want to drive.	No quiere yo manejá.
>>cbk<< I don't want to shout.	No quiere yo gritá.
>>cbk<< I have a lot of books.	Tiene yo manada libro.
>>cbk<< I have to get dressed.	Necesita yo mudá.
>>cbk<< I have to lose weight.	Necesita yo quedá flaco.
>>cbk<< I know what they said.	Sabe yo cosa silá ya hablá.
>>cbk<< I know where you live.	Sabe yo donde tu ta quedá.
>>cbk<< I prefer fish to meat.	Mas quiere pa yo pescáo que carne.
>>cbk<< I remember this place.	Ta acordá yo cuneste lugar.
>>cbk<< I should've done more.	Ya hacé pa era yo kel mas manada.
>>cbk<< I thought it was true.	Pensaba yo deverasan aquel.
>>cbk<< I turned off my phone.	Ya apagá yo de mío cellphone.
>>cbk<< I want you to want me.	Quiere yo na quiere tu cumigo.
>>cbk<< I was at your wedding.	Tallá yo na de tuyo casamiento.
>>cbk<< I will go if you come.	Ay andá yo, si vené tu.
>>cbk<< I'll call you at noon.	Ay llamá yo cuntigo mediodía.
>>cbk<< I'm a little confused.	Medio tan buyong yo.
>>cbk<< I've lost my appetite.	Ya perde de mio gana.
>>cbk<< Is that what Tom says?	Amó se cosa ta hablá si Tom?
>>cbk<< Is that what happened?	Amó se cosa ya pasá?
>>cbk<< Is that what you said?	Amó se cosa tu ya hablá?
>>cbk<< Is this your umbrella?	De tuyo esté páyung?
>>cbk<< It's my favorite song.	Ese de mio favorito canción.
>>cbk<< Let's help each other.	Man ayudahan kita.
>>cbk<< Mom is older than Dad.	Mas mayor pa si Mamang que con Papang.
>>cbk<< No one speaks with me.	No hay quien tan cuento cumigo.
>>cbk<< Not all birds can fly.	Hindé todo pajaro ta puede volá.
>>cbk<< Please don't leave me.	Numá cumigo dejá, favor!
>>cbk<< She is sewing a dress.	Ta cusí le un camisa.
>>cbk<< She reported the news.	Ya reportá le cunel noticia.
>>cbk<< She's my older sister.	Ele de mio hermana mayor.
>>cbk<< Something stinks here.	Tiene yede aquí.
>>cbk<< The ceiling fan is on.	Abierto el ceiling fan.
>>cbk<< The ceiling fan is on.	Ta corré el ceiling fan.
>>cbk<< The room is too small.	Bien diútay gayót este cuarto.
>>cbk<< They are the same age.	Igual igual diila mga edad.
>>cbk<< They sat under a tree.	Ya sintá silá abajo del ponô.
>>cbk<< They tasted the bread.	Ya prubá silá cunel pan.
>>cbk<< This soup tastes good.	Sabroso este sopas.
>>cbk<< This spoon is for tea.	Para chá este cuchara.
>>cbk<< This wine tastes good.	Bueno el sabor deste vino.
>>cbk<< Tom and I are married.	Casáo kamé de Tom.
>>cbk<< Tom can't forget Mary.	No puede si Tom olvidá cun Mary.
>>cbk<< Tom doesn't like beef.	No quiere carne vaca si Tom.
>>cbk<< Tom eats like a horse.	Como caballo ta come si Tom.
>>cbk<< Tom hid behind a tree.	Ya escondé si Tom detrás de un ponô.
>>cbk<< Tom is drinking water.	Ta tomá água si Tom.
>>cbk<< Tom is in the kitchen.	Tallá na cucina si Tom.
>>cbk<< Tom is still relaxing.	Tan-relax pa siempre si Tom.
>>cbk<< Tom likes to eat fast.	Quiere quiere si Tom comé paspás.
>>cbk<< Tom needs a dry towel.	Necesita si Tom un toalla seco.
>>cbk<< Tom needs a dry towel.	Necesita si Tom un seco toalla.
>>cbk<< Tom put his fork down.	Ya largá si Tom de suyo tenedor.
>>cbk<< Tom scrubbed the sink.	Ya hacé kuskús cunel lavabo si Tom.
>>cbk<< Tom sold the bracelet.	Ya vendé si Tom cunel pulseras.
>>cbk<< Tom stopped breathing.	Ya pará el resuello de Tom.
>>cbk<< Tom threw me an apple.	Ya gueriá un mansanas si Tom para cumigo.
>>cbk<< Tom turned on the fan.	Ya cindí si Tom cunel ventilador.
>>cbk<< We have to be careful.	Necesita kitá tiene cuidáo.
>>cbk<< We know what you want.	Sabe kamé cosa tu quiere.
>>cbk<< We watch TV every day.	Ta mirá kamé TV todo'l día.
>>cbk<< We're not going there.	Hindê kitá andá allá.
>>cbk<< What are you studying?	Cosa tu ta estudiá?
>>cbk<< What did they ask you?	Cosa silá ya preguntá cuntigo?
>>cbk<< When did you find out?	De cuando tu ya sabé?
>>cbk<< When is your birthday?	Cuando de tuyo cumpleaño?
>>cbk<< Where are the cookies?	Donde ya el mga biscuít?
>>cbk<< Where is the bathroom?	Donde el baño?
>>cbk<< Where is your brother?	Donde ya de tuyo hermano?
>>cbk<< Where's the president?	Donde el presidente?
>>cbk<< Who raised these pigs?	Quien ya cuidá cunestos maga puerco?
>>cbk<< Why can't we talk now?	Por que no puede kitá man cuento ahora?
>>cbk<< Why didn't you accept?	Por que nuáy tu acceptá?
>>cbk<< Why didn't you ask me?	Por que tu nuáy preguntá cumigo?
>>cbk<< Why is she doing this?	Por que le ta hacé cunesté?
>>cbk<< You are a good person.	Buen gente tu.
>>cbk<< You have until Monday.	Tiene tu hasta Lunes.
>>cbk<< You're bleeding again.	Ta sangrechá ya también tu.
>>cbk<< You're not my brother.	Hindé tu de mío hermano.
>>cbk<< Your nose is bleeding.	Ta sangrechá de tuyo nariz.
>>cbk<< A stone does not float.	Hindê tan lútang el piedra.
>>cbk<< All people breathe air.	Todo'l gente ta resollá aire.
>>cbk<< Are these bananas ripe?	Maduro este maga ságuing?
>>cbk<< Are you happy with Tom?	Alegre tu cun Tom?
>>cbk<< Call me when it's done.	Llamá cumigo si acabao ya.
>>cbk<< Can you climb the tree?	Puede tu subí na ese ponô?
>>cbk<< Can you say that again?	Puede tu ripití el cosa tu ya ablá?
>>cbk<< Choose books carefully.	Escují maga libro enbuenamente.
>>cbk<< Do you have a calendar?	Tiene tu calendario?
>>cbk<< Do you know the reason?	Sabe tu el razon?
>>cbk<< Do you know what I did?	Sabe tu cosa yo ya hacé?
>>cbk<< Do you know what to do?	Sabe tu cosa hacé?
>>cbk<< Do you know who Tom is?	Sabe tu quien si Tom?
>>cbk<< Do you know who he was?	Sabe tu quien aquel ele?
>>cbk<< Do you want to be rich?	Quiere tu quedá rico?
>>cbk<< Do you want to be rich?	Quiere ustedes quedá rico?
>>cbk<< Do you want to come in?	Quiere tu entrá?
>>cbk<< Do you want to hear it?	Quiere tu oí cunaquel?
>>cbk<< Does Tom like tomatoes?	Quiere si Tom tomates?
>>cbk<< Does he live near here?	Aquí le cerca ta quedá?
>>cbk<< Don't throw trash here.	No butá basura aquí.
>>cbk<< Excuse me. Who are you?	Disculpa, quien tu?
>>cbk<< Have you seen Tom play?	Ya mirá tu jugá si Tom?
>>cbk<< He bought a dozen eggs.	Ya comprá le un docena huevos.
