>>tuk<< Go.	Gitmek.
>>tuk<< Tom may not make it on time.	Tomuň muny wagtynda etmezligi ahmal.
>>tuk<< Tom may not make it on time.	Tom muny wagtynda etmän biler.
>>tuk<< Tom pretended he was afraid.	Tom gorkansyrady.
>>tuk<< Tom said Mary wasn't crying.	Tom Mary aglanok diydi.
>>tuk<< Tom spent time in Australia.	Tom öz wagtyny Awstraliýada geçirdi.
>>tuk<< Tom told me he'd try to win.	Tom ýeñmäge synanyşjakdygyny maña aýtdy.
>>tuk<< Tom was wearing a straw hat.	Tom saman şlýapadady.
>>tuk<< Tom will eventually do that.	Tom iň soňynda şu zady eder.
>>tuk<< Tom's real passion is music.	Tomuñ saz çalmaga höwesi bar.
>>tuk<< We appreciate your interest.	Biz siziň gyzyklanýanlygyňyza minnetdar.
>>tuk<< We have a French test today.	Bu gün maña fransuzçadan barlag íş bar.
>>tuk<< We have a simple philosophy.	Bizin filosofiyamyz yonekey.
>>tuk<< What would I do without you?	Men sensiz näme ederdim?
>>tuk<< What're you going to do now?	Sen häzir näme etmekçi?
>>tuk<< What're you going to do now?	Siz häzir näme etmekçi?
>>tuk<< What's your passport number?	Siziň pasport nomeriňiz näme?
>>tuk<< What's your passport number?	Seniň pasport nomeriň näme?
>>tuk<< Why didn't you come earlier?	Näme üçin siz irräk gelmediňiz?
>>tuk<< Why didn't you come earlier?	Näme üçin sen irräk gelmediň?
>>tuk<< Why didn't you go to Boston?	Näme üçin Bostona gitmediň.
>>tuk<< Will my signature be enough?	Meñ golum ýeterlik bolarmy?
>>tuk<< Words could not describe it.	Sözler ony suratlandyryp bilmeýär.
>>tuk<< You can't mix oil and water.	Ýagy we suwy garyp bilmersiň.
>>tuk<< You look as healthy as ever.	Sen hemişeki ýaly sagdyn görünýärsiň.
>>tuk<< You might just see Tom, too.	Diňeje Tomy görmegiňem ahmal.
>>tuk<< You might just see Tom, too.	Diňeje Tomy görmegiňizem mümkin.
>>tuk<< You're still taller than me.	Sen onnada menden uzyn.
>>tuk<< You've seen what Tom can do.	Tomuň näme edip biljegini gördüň.
>>tuk<< All the students are present.	Hemme okuwçylar bar.
>>tuk<< Aren't you free this weekend?	Bu hepde soňy boş dälmi sen?
>>tuk<< Aren't you going out tonight?	Bu gije meýdana çykjak dälmi?
>>tuk<< Aren't you going to be there?	Ol ýerde boljak dälmi?
>>tuk<< Aren't you going to buy that?	Ony satyn aljak dälmi?
>>tuk<< Aren't you going to buy that?	Ony aljak dälmi?
>>tuk<< Aren't you going to go there?	Ol ýere gitjek dälmi sen?
>>tuk<< Aren't you going to the game?	Futbola gitjek dälmi?
>>tuk<< Aren't you going to the game?	Futbola gitjek dälmi sen?
>>tuk<< Aren't you going to the show?	Sahna gitmeýärmisiň?
>>tuk<< Can you play basketball well?	Seniñ basketbol oýnaýyşyñ oñatmy?
>>tuk<< Do you really have to go now?	Sen hakykatdan hem häzir gitmelimi?
>>tuk<< Dogs and cats aren't friends.	Itler we pişikler dost däl
>>tuk<< Have you ever seen Tom laugh?	Sen Tomuñ gülenini gördüñmi?
>>tuk<< He doesn't speak my language.	Ol meniň dilimde gürlänok.
>>tuk<< He gave a nice present to me.	Ol oglan maňa gowy sowgat berdi.
>>tuk<< He knew where he put his pen.	Ol oglan ruçkasyny nirä goýandygyny bildi.
>>tuk<< How do you know Tom did that?	Sen Tomuň edenini nirden bilýäň?
>>tuk<< I almost never eat breakfast.	Biz hiç haçan diýen ýaly ertirlik edinemzok.
>>tuk<< I already talked to the cops.	Eýýäm polisiýa bilen gürleşdim.
>>tuk<< I can't answer that question.	Men bu soraga jogap berip bilmeýärin.
>>tuk<< I can't answer that question.	Men şol soraga jogap beribilemok.
>>tuk<< I can't answer the phone now.	Men häzir telefona jogap berip bilmerin.
>>tuk<< I can't condone what you did.	Näme edendigiňe gözimi ýumup oturup bilmeýen.
>>tuk<< I don't remember my password.	Meniň kodym ýadymda däl.
>>tuk<< I don't usually speak French.	Men adatça fransuzça gürlämok.
>>tuk<< I don't want any more to eat.	Başga nahar iýmek islmeýen.
>>tuk<< I don't want to ask for help.	Kömek soramak islemeýen.
>>tuk<< I don't want to be a teacher.	Mugallym bolmagy islemeýen.
>>tuk<< I don't want to go to church.	Ybadathana itmek islemeýen.
>>tuk<< I don't want to go to school.	Mekdebe gidesim gelenok.
>>tuk<< I don't want to kill anybody.	Men hiç kimi oldüresim gelenok.
>>tuk<< I don't want to sit with you.	Men sen bilen oturmak islemeýen.
>>tuk<< I don't want to speak French.	Men Fransuzça geplemek islemeýen.
>>tuk<< I don't want to stay at home.	Öýümi terk etmek islemeýen.
>>tuk<< I don't want to teach French.	Fransuzça öwrenmek islemeýen.
>>tuk<< I drink my tea without sugar.	Men çaýymy şekersiz içýärin.
>>tuk<< I had a good summer vacation.	Men tomusky dynç alyşymy gowy geçirdim.
>>tuk<< I have just finished my work.	Men işimi edil şu wagt tamamladym.
>>tuk<< I know it was you who did it.	Şuny edeniň sendigini bilýärin.
>>tuk<< I know it was you who did it.	Şuny siziň edendigiňizi bilýärin.
>>tuk<< I know why you want this job.	Seniñ bu işi näme üçin isleýändigiñi men bilýärin.
>>tuk<< I promise that I won't drink.	Içmejekdigime söz berýärin.
>>tuk<< I remember seeing him before.	Onu öñ görendigim ýadymda däl.
>>tuk<< I saw Tom in the parking lot.	Tomy seýilgäh meýdançasynda gördüm.
>>tuk<< I saw Tom jump into the pool.	Tomuň howuza bökendigini gördüm.
>>tuk<< I still plan to study French.	Men henizem Fransuz dilini öwrenmegi meýilleşdirýän.
>>tuk<< I think that I'm a lucky guy.	Men özüm bagtly adammykam diýýärin.
>>tuk<< I think that I'm a lucky guy.	Men özüm işi rowaç adammykam öýdýärin.
>>tuk<< I thought it was a good idea.	Men bu gowy ideýady diýip pikir etdim.
>>tuk<< I wish I could stay with you.	Men seniň bilen galmak islärdim.
>>tuk<< I worry about that sometimes.	Men käwagt ol barada alada edýärin.
>>tuk<< I'll let you know beforehand.	Saña öñräkden aýdaryn.
>>tuk<< I'll stay here a whole month.	Men tutuş aý şu ýerde galjak.
>>tuk<< I'm at the airport right now.	Men edil häzir howa menzilinde.
>>tuk<< I'm at the airport right now.	Men şu wagt howa menzilinde.
>>tuk<< I'm going with Tom to Boston.	Bostona Tom bilen gidýärin.
>>tuk<< I'm not your teacher anymore.	Mundan beýläk men seniñ mugallymyñ däl.
>>tuk<< I'm not your teacher anymore.	Mundan beýläk men siziñ mugallymyñyz däl.
>>tuk<< Is it all right if I come in?	Girmek mümkinmi?
>>tuk<< Isn't that a friend of Tom's?	Ol Tomyñ dosty dälmi?
>>tuk<< Isn't that a friend of yours?	Ol seniň dostlaryňdan biri dälmi?
>>tuk<< Isn't that a friend of yours?	Ol seniň dostuň dälmi?
>>tuk<< Isn't that a friend of yours?	Ol siziň dostuňyz dälmi?
>>tuk<< It's not quite three o'clock.	Häli üç bolanok
>>tuk<< It's possible Tom won't come.	Mümkin Tom gelmez.
>>tuk<< It's said that she loves him.	O oglany söýýändigini o gyz aýtdy.
>>tuk<< Maybe Tom will give me a job.	Belkäm Tom maña iş berer.
>>tuk<< Please don't feed the monkey.	Haýyşt, maýmynlary naharlamaň.
>>tuk<< Please keep your voices down.	Haýyş, sesiňizi goýuň.
>>tuk<< Please keep your voices down.	Gaýrat edip sesiňizi goýaýyň.
>>tuk<< Police shouldn't take bribes.	Polisiýa para almaly däl.
>>tuk<< That goes against my beliefs.	Şol meniň ynançlaryma garşy gidýär.
>>tuk<< The group left early in 1791.	Gruppa 1791-de ir ýapyldy.
>>tuk<< The old man starved to death.	Garry adam öler ýaly açlyk çekdi.
>>tuk<< The whole nation wants peace.	Bütin millet parahatçylyk isleýär.
>>tuk<< There has been progress made.	Öňegidişlik bar.
>>tuk<< They said that it was urgent.	Olar bu gyssagly diýdiler.
>>tuk<< This country is rich in coal.	Bu döwlet kömüre baý.
>>tuk<< This is a book about England.	Bu Angliýa baradaky kitap.
>>tuk<< Tom and Mary look very tired.	Tom we Meri örän ýadaw görünýärler.
>>tuk<< Tom asked for a back massage.	Tom arka massažy üçin sorady.
>>tuk<< Tom came in last in the race.	Tom ýaryşda soňky geldi.
>>tuk<< Tom came in last in the race.	Tom ýaryşda soňunda geldi.
>>tuk<< Tom can't give it to you now.	Tom häzir muny saňa berip bilmez.
>>tuk<< Tom can't give it to you now.	Tom häzir muny size berip bilmez.
>>tuk<< Tom continued looking around.	Tom daş-töwerege seretmäge dowam etdi.
>>tuk<< Tom desperately needed money.	Tomyñ pula gaty zerurlygy bardy.
>>tuk<< Tom disclosed his intentions.	Tom niýetini duýdurdy
>>tuk<< Tom has never been to Boston.	Tom hiç haçan Bostonda bolup görmedi.
>>tuk<< Tom has returned from Boston.	Tom Bostondan geldi.
>>tuk<< Tom is avoiding me, isn't he?	Tom menden gaçýar, şeýle dälmi?
>>tuk<< Tom kissed Mary on the cheek.	Tom Meriny ýaňagyndan og
>>tuk<< Tom kissed Mary on the cheek.	Tom Merini ýaňagyndan ogşady.
>>tuk<< Tom likes eating raw carrots.	Tom çyg käşir iýmegi halaýar.
>>tuk<< Tom listened to an audiobook.	Tom audiokitaby diñledi.
>>tuk<< Tom looks like he's prepared.	Tom taýýarlykly görünýär.
>>tuk<< Tom nodded and left the room.	Tom kellesini ýaýkady we otagdan çykyp gitdi.
>>tuk<< Tom put a finger to his lips.	Tom dodaklaryna barmagyny goýdy.
>>tuk<< Tom really dislikes children.	Tom dogrudanam çagalary halanok.
>>tuk<< Tom said that Mary was ready.	Tom Meriniň taýýardygyny aýtdy.
>>tuk<< Tom sang along with the song.	Tom aýdyma goşulyşyp aýtdy.
>>tuk<< Tom's appearance has changed.	Tomuň daşky keşbi üýtgäpdir.
>>tuk<< Tom, have you eaten anything?	Tom sen birzatlar iýdiñmi?
>>tuk<< Wasn't your name on the list?	Seniñ adyñ listda ýokdumy?
>>tuk<< We have better weather today.	Bu gün howa gowurak.
>>tuk<< We listened to the bell ring.	Biz jaňyň sesini diňledik.
>>tuk<< We won't be here much longer.	Biz bärde köp wagtlyk bolmarys.
>>tuk<< We're ready to go if you are.	Eger sen taýýar bolsaň biz hem gitnäge taýýar.
>>tuk<< What are you going to do now?	Sen häzir näme etmekçi?
>>tuk<< What are you going to do now?	Siz häzir näme etmekçi?
>>tuk<< What did you do this morning?	Irden näme etdiň?
>>tuk<< What did you do this morning?	Ir bilen näme etdiň?
>>tuk<< What do you think Tom wanted?	Seniň pikiriňçe Tom näme isledi?
>>tuk<< What does that mean, exactly?	Name diydigin bolyar ol?
>>tuk<< What is it you want me to do?	Meniň näme etmegimi isleýärsiň?
>>tuk<< What is it you want me to do?	Meniň näme etmegimi iseýärsiňiz?
>>tuk<< What's the name of this tree?	Bu agaja näme diýilýär?
>>tuk<< When could you start working?	Siz haçan işe başlap bilersiñiz?
>>tuk<< Where did Tom leave his bike?	Tom tigirini nirede goýdy?
>>tuk<< Where did you buy that scarf?	Sen ol şarfy nireden aldyň?
>>tuk<< Where did you buy that scarf?	Siz ol şarfy nireden aldyňyz?
>>tuk<< Where do you think I met her?	Ol bilen nirede tanyşanymy düşünýäň
>>tuk<< Who'll be in Boston with you?	Bostonda kim sen bilen bolar.
>>tuk<< Yes. You're absolutely right.	Hawa,dogry aýdýarsyñ.
>>tuk<< You encouraged us to do that.	Siz bizi şony etmäge ruhlandyrdyňyz.
>>tuk<< You encouraged us to do that.	Sen bizi şony etmäge ruhlandyrdyň.
>>tuk<< You'd better do that at once.	Sen ony birbada etseñ gowy bolar.
>>tuk<< You'd better not see her now.	Häzir ony görmeseň has gowy.
>>tuk<< You'd better not see her now.	Häzir ony görmeseň juda gowy.
>>tuk<< You'll find this lesson easy.	Seniñ üçin bu sapak añsat bolup görüner.
>>tuk<< You've got food on your face.	Seniň ýüzüňde nahar galapdyr.
>>tuk<< A good citizen obeys the laws.	Gowy bir watandaş kanunlara garşy çykmaz.
>>tuk<< Are you still waiting for Tom?	Sen häli-şindi maňa garaşýarsyňmy?
>>tuk<< Are your parents still living?	Siziň ene-ataňyz dirimi?
>>tuk<< Ask Tom where he put his keys.	Tom açaryny nirä goýandygyny sora.
>>tuk<< Can you imagine how Tom feels?	Tomuň özüni nähili duýýanyny gňz öňüne getirip bilýäňmi?
>>tuk<< Can you open the door, please?	Gapyny açyp bilermisiñiz?
>>tuk<< Can you open the door, please?	Gapyny açyp bilermisiñiz haýyşt.
>>tuk<< Can you open the door, please?	Haýyşt, gapyny açyp bilermisiñiz?
>>tuk<< Did Tom actually go to Boston?	Tom dogrydanam Bostona gitdimi?
>>tuk<< Did you go shopping yesterday?	Düýn bazara gitdiñmi?
>>tuk<< Did you have a cold last week?	Geçen hepde sowukladyñmy?
>>tuk<< Do all Asians have black hair?	Bütin Aziýalylaryñ gara saçlary barmy?
>>tuk<< Do you believe war will start?	Urşuň başlajakdygyna ynanýarmyň?
>>tuk<< Do you enjoy visiting museums?	Müzeýlere barmagy halaýañmy?
>>tuk<< Do you go shopping every week?	Bu hepde bazara gidýeñmi?
>>tuk<< Do you often go to the movies?	Wagtal-wagtal kinoteatra gidýäñmi?
>>tuk<< Do you think we can trust Tom?	Seniñ pikiriñçe biz Toma ynanyp bilýärismi?
>>tuk<< Doctors use medical equipment.	Lukmanlar lukmançylyk enjamlaryny ulanýarlar.
>>tuk<< Don't look at Tom. Look at me.	Toma seretme. Maňa seret.
>>tuk<< Everything is under the table.	Hemme zatlar stoluň aşagyndadyr.
>>tuk<< Give us time to talk about it.	Bu hakda gepleşmek üçin bize wagt beriñ.
>>tuk<< Give us time to think it over.	Muny düşünmek üçin bize wagt beriñ.
>>tuk<< He did it not once, but twice.	Ol muny bir däl, iki gezek etdi.
>>tuk<< He is just an ordinary person.	Ol diñe adaty adam.
>>tuk<< He was watching TV last night.	Düýn gije telewizor görýärdi.
>>tuk<< Hitler invaded Poland in 1939.	Gitler 1939-njy ýylda Polşany eýeledi.
>>tuk<< How did you find out about us?	Sen biz barada nädip öwrendiň?
>>tuk<< How did you find out about us?	Siz biz barada nädip öwrendiňiz?
>>tuk<< How did you find out about us?	Siz biz barada nädip eşitdiňiz?
>>tuk<< How did you find out about us?	Sen biz barada nädip eşitdiň?
>>tuk<< How much money has Tom stolen?	Tom näçe pul ogurlapdyr?
>>tuk<< How much money has Tom stolen?	Tom näçe manat ogurlapdyr.
>>tuk<< I baked some brownies for Tom.	Toma birnäçe browni bişirdim.
>>tuk<< I didn't realize Tom was busy.	Men Tomuň meşguldygyna göz ýetirmedim.
>>tuk<< I don't have to go right away.	Men dessine gitmeli däl.
>>tuk<< I have more questions for you.	Men saña kän soragym bar.
>>tuk<< I hear she's a famous actress.	Men ol meşhur aktrisa diýip eşidýärin.
>>tuk<< I hear that he sold his house.	Ol öýüni satypdyr diýip eşidýärin.
>>tuk<< I knew Tom wouldn't be afraid.	Tomyñ gorkmajagyny bilýärdim.
>>tuk<< I know that Tom is infuriated.	Tomuň gazaba münendigini men bilýärin.
>>tuk<< I know you'll enjoy Australia.	Siziň Awstraliýadan lezzet aljakdygyňyzy bilýärin.
>>tuk<< I know you'll enjoy Australia.	Seniň Awstraliýadan lezzet aljakdygyňy bilýärin.
>>tuk<< I married him against my will.	Zor bilen oňa öýlendim.
>>tuk<< I overslept yesterday morning.	Düýn azanda uklap galdym.
>>tuk<< I read jokes almost every day.	men günde diýen ýaly degişmeler okaýan.
>>tuk<< I saw Tom kissing John's wife.	Tomuň Jonyň aýalyny öpendigini gördüm.
>>tuk<< I saw Tom smoking a cigarette.	Tomuň çilim çekendigini gördüm.
>>tuk<< I saw Tom try to kill himself.	Tomuň özini öldürjekdigini gördüm.
>>tuk<< I saw Tom's birth certificate.	Tomuň dogluş hakyndaky şahadnamasyny gördüm.
>>tuk<< I think Tom didn't believe me.	Tom maňa ynanmadymyka diýýärin.
>>tuk<< I think Tom didn't believe me.	Tom maňa ynanan däldir diýip pikir edýärin.
>>tuk<< I think Tom is going to be OK.	Meniň pikirimçe Tom gowy boljak.
>>tuk<< I think doing that would help.	Meniň pikirimçe şony etmeklik kömek ederdi.
>>tuk<< I think that Tom is miserable.	Tom görgüli diýip pikir edýärin.
>>tuk<< I want to know who lived here.	Men bu ýerde kimiň ýaşandygyny bilesim gelýär.
>>tuk<< I'd like to go there with you.	Men ol ýere seniň bilen gitmek isleýärin.
>>tuk<< I'll teach you how to do that.	Men saña öwrederin ony nähili etmelidigi.
>>tuk<< I'm dying for a cup of coffee.	Bir käse kofe üçin ölüp barýaryn.
>>tuk<< I'm not sure Tom will do that.	Meniñ Tomyñ ony etjegine ynamym ýok.
>>tuk<< I'm too tired to cook tonight.	Men bu gije nahar bişirmek üçin gaty ýadawdyryn
>>tuk<< I've been waiting a long time.	Men köp wagtdan bäri garaşýaryn.
>>tuk<< It isn't really that relaxing.	Hakykatdanam rahatlandyryjy däl
>>tuk<< It looks like it'll rain soon.	Biraz wagtdan ýagşy ýagjaga meňzeýär.
>>tuk<< It's warm here all year round.	Bütün ýyl bärde maýyl.
>>tuk<< Let me tie your shoes for you.	Gel, men seniň köwşüň bagjyklaryny daňyp bereýin.
>>tuk<< Let me tie your shoes for you.	Geliň, men siziň köwşüňiziň bagjyklaryny daňyp bereýin.
>>tuk<< Mary is respected by everyone.	Mary hemmeler tarapyndan sylanýar.
>>tuk<< My aunt gave me a photo album.	Daýzam maña suratly albom berdi.
>>tuk<< No one will give us any money.	Hiç kim bize pul bermeýe.
>>tuk<< Nothing transpired between us.	Aramyzda hiç zat bolup geçmedi.
>>tuk<< Nothing will ever change here.	Bu ýerde hiç zat özgermeýär.
>>tuk<< Nothing will ever change that.	Hiç zat muny özgerdip bilmez.
>>tuk<< Please tell us how to do that.	Haýyş bize muny nädip etmelidigimizi aýdyñ.
>>tuk<< She studies English every day.	Her gün iňlisçe öwrenýär.
>>tuk<< She studies English every day.	Her gün iňlisçe okaýar.
>>tuk<< She tried to conceal the fact.	Ol fakty gizlemäge synanyşdy.
>>tuk<< She tried to conceal the fact.	Ol hakykaty ýaşyrmaga synanyşdy.
>>tuk<< Tell Tom we're ready to leave.	Toma gitmäge taýýardygymyzy aýt.
>>tuk<< Tell Tom we're ready to leave.	Toma gitmäge taýýardygymyzy aýdyň.
>>tuk<< Tell us what needs to be done.	Bize näme edilmelidigini aýdyñ.
>>tuk<< Thank you for dancing with me.	Meniň bilen tans edeniňiz üçin sag boluň.
>>tuk<< Thank you for dancing with me.	Meniň bilen tans edeniň üçin sag bol.
>>tuk<< That job was really difficult.	Ol iş hakykatdanam kyndy.
>>tuk<< That's a fascinating question.	Bu juda gyzykly sorag.
>>tuk<< The end of the world is close.	Dünýäniň soňy ýakynlaşýar.
>>tuk<< The washing machine is broken.	Eşik ýuwujy maşyn döwük.
>>tuk<< The wedding's been called off.	Toý goý bolsun edildi.
>>tuk<< There isn't a moment to spare.	Sarp etmäge ýekeje pursadam ýok.
>>tuk<< This is going to be fantastic.	Bu ajaýyp bolar.
>>tuk<< This one's not working either.	Bu hem gabat gelenok.
>>tuk<< Tom bought a hot dog for Mary.	Tom Mary üçin hot-dog aldy.
>>tuk<< Tom decided to enter the room.	Tom otaga girmek kararyna geldi.
>>tuk<< Tom didn't want to believe me.	Tom maňa ynanmak islemedi.
>>tuk<< Tom doesn't believe in ghosts.	Tom arwahlaryň bardygyna ynanmaýar.
>>tuk<< Tom doesn't want to apologize.	Tomyñ ötünç sorasy gelenok.
>>tuk<< Tom is almost always cheerful.	Tom hemişe şadyýan.
>>tuk<< Tom is difficult to deal with.	Tom bilen işleşmek gaty kyn.
>>tuk<< Tom is out riding his bicycle.	Tom daşarda tigirini sürýär.
>>tuk<< Tom is respected by all of us.	Biziñ hemmämiz Tomy sylaýarys.
>>tuk<< Tom is somewhere in Australia.	Tom Awstraliýada birýerlerde.
>>tuk<< Tom is trying to get to sleep.	Tom ýatmaga synanşýar.
>>tuk<< Tom kindly answered questions.	Tom hemme soraglary assajykdan jogaplady.
>>tuk<< Tom knows not to do that here.	Tom bärde näme etmelidäldigini bilýär.
>>tuk<< Tom looks like he's depressed.	Tom göwni çökgün görünýär.
>>tuk<< Tom might not make it in time.	Tom wagtynda gelip bilmez
>>tuk<< Tom might've caught something.	Tom bir zat tutan bolmagy mümkin.
>>tuk<< Tom picked out a book to read.	Tom okamak üçin kitap saýlady.
>>tuk<< Tom said he'd be glad to help.	Tom kömek edendigi üçin begenjekdigini aýtdy
>>tuk<< Tom searched for a job online.	Tom internetden iş gözledi.
>>tuk<< Tom thought Mary was innocent.	Tom Meriniň günäsi ýok diýip pikir edýär
>>tuk<< Tom will go to Boston with me.	Tom meniň bilen Bostona gider.
>>tuk<< Tom's clothes are soaking wet.	Tomyň eşikleri ezilen ýaly çyg.
>>tuk<< We met in front of the school.	Biz mekdebiň öňünde duşuşdyk.
>>tuk<< We never should've left early.	Biz ir gaytmaly dal ekenik.
>>tuk<< We were the ones who did that.	Muny eden biz
>>tuk<< We were the ones who did that.	Biz muny edenler
>>tuk<< We're ready for the next step.	Biz indiki ädim üçin taýýar.
>>tuk<< What color are your new shoes?	Señ täze köwşiñ reñki nähili?
>>tuk<< What exactly did you tell Tom?	Sen Toma konkretno näme diýdiň?
>>tuk<< What time does the exam start?	Synag haçan başlaýar?
>>tuk<< Who cares if Tom does do that?	Tom şony etse, kime näme?
>>tuk<< Who cares if Tom does do that?	Kime näme Tom şony etse?
>>tuk<< Who's going to give us a ride?	Bizi kim alyp gidýär?
>>tuk<< Why would Tom need to do that?	Toma näme üçin şony etmek gerek bolardyka?
>>tuk<< Would you repeat that, please?	Haýyş şuny gaýtalap bilersiñizmi?
>>tuk<< You have to speak French here.	Bu ýerde sen Fransuzça gürlemeli.
>>tuk<< You have to speak French here.	Siz bu ýerde fransuzça gürlemeli.
>>tuk<< You have to speak French here.	Sen bu ýerde fransuzça gürlemeli.
>>tuk<< You look like you just got up.	Sen indi turan ýaly görünýärsiň.
>>tuk<< You may as well begin at once.	Senem birbada başlap bilersiň.
>>tuk<< You may as well begin at once.	Sizem birbada başlap bilersiňiz.
>>tuk<< You'd be perfect for this job.	Sen bu işe örän gabat gelýäň.
>>tuk<< You're frightening the guests.	Sen myhmanlary gorkuzýäň.
>>tuk<< You're usually busier than me.	Siziň işiňiz adatça maňa seredeňdäkinden köpräk.
>>tuk<< Are you able to swim every day?	Her gün ýüzüp bilýärsiñmi?
>>tuk<< Boston is where I want to live.	Boston - meniñ yasasym gelyan yerim.
>>tuk<< Did you know Tom could do that?	Tomuň şony edip biljekdigini sen bilmediňmi?
>>tuk<< Did you know Tom could do that?	Tomuň şony edip biljekdigini siz bilmediňizmi?
>>tuk<< Did you see how close that was?	Onuň nähili ýakyndygyny gördüňmi?
>>tuk<< Do what you consider necessary.	Näme gerek diýýän bolsañ et
>>tuk<< Do what you consider necessary.	Näme etmeli diýýän bolsañ et
>>tuk<< Do what you consider necessary.	Näme gerek diýp pikir edýän bolsañ et
>>tuk<< Do what you consider necessary.	Näme etmeli diýp pikir edýän bolsañ et
>>tuk<< Do you believe that God exists?	Sen Hudaýyñ barlygyna ynanýarsyñmy?
>>tuk<< Do you smell something unusual?	Üýtgeşik bir zadyň ysyny alýarsyňmy?
>>tuk<< Do you smell something unusual?	Üýtgeşik bir zadyň ysyny alýarsyňyzmy?
>>tuk<< Does Tom actually speak French?	Tom hakykatdanam Fransuzça gürläp bilýärmi?
>>tuk<< Does this bus go to the museum?	Şu awtobus muzeýe gidýärmi?
>>tuk<< Don't look down on poor people.	Garyp adamlara äsgermezlik etme.
>>tuk<< Either Tom is wrong or Mary is.	Ýa Tomyñky ýalñyş ýa-da Meryñki.
>>tuk<< Everything I told you was true.	Saña hemme aýdan zatlarym dogry.
>>tuk<< Everything I told you was true.	Size hemme aýdanlarym dogry.
>>tuk<< Have you ever seen an elephant?	Sen hiç pili gördüñmi?
>>tuk<< Have you found your ticket yet?	Biletiňi tapdyňmy?
>>tuk<< He returned very late at night.	Agşam örän giç dolandy.
>>tuk<< How much did those onions cost?	Soganlar näçä düşdi?
>>tuk<< I can't calculate the distance.	Men bu aralygy hasaplap bilmeýän
>>tuk<< I can't calculate the distance.	Men bu aralygy hasaplamagy başaryp bilmeýän
>>tuk<< I can't even find time to read.	Meniñ okamanada wagtym ýok.
>>tuk<< I can't possibly do that alone.	Muny bir özim edip bilmerin.
>>tuk<< I couldn't agree with you more.	Siz bilen bir pikirde men.
>>tuk<< I don't have a hundred dollars.	Ýüz dollarym ýok.
>>tuk<< I don't have to move to Boston.	Maña Bostona göçmek hökman däl.
>>tuk<< I don't know what I should say.	Men näme aýtmalydygymy bilemok.
>>tuk<< I don't live near where I work.	Men işimiñ golaýynda ýaşamok.
>>tuk<< I don't live near where I work.	Men işleýän ýerimiñ golaýynda ýaşamok.
>>tuk<< I don't think that that'll fly.	Meniñ pikirimçe ol uçmaz.
>>tuk<< I haven't actually said no yet.	Men aslynda heniz "ýok" diýmändim.
>>tuk<< I heard Tom playing the violin.	Men Tomyň skripka çalýandygyny eşitdim.
>>tuk<< I knew Tom went to this school.	Tomuň bu mekdebe gidýändigini bilýärdim.
>>tuk<< I know precisely how Tom feels.	Men Tomuň özüni nähili duýşuny kesgitli bilýärin.
>>tuk<< I know precisely how Tom feels.	Men Tomuň özüni nähili duýşuny çürt-kesik bilýärin.
>>tuk<< I know precisely how Tom feels.	Men Tomuň özüni nähili duýşuny juda gowy bilýärin.
>>tuk<< I know what I have to do today.	Bu gün näme etmelidigimi bilýärin.
>>tuk<< I saw Tom's daughter last week.	Geçen hepde Tomuň gyzyny gördüm.
>>tuk<< I saw you with Tom last Monday.	Geçen duşenbe güni seni gördüm.
>>tuk<< I think I'm going to go inside.	Men içine gidip barýan öýtýän.
>>tuk<< I think I'm going to go inside.	Men içine girermikäm diýýärin.
>>tuk<< I think that Tom can help Mary.	Tom Marya kömekleşip biler diýip oýlanýaryn.
>>tuk<< I think that Tom can help Mary.	Tom Marya kömekleşip biler öýdýärin.
>>tuk<< I think that Tom needs glasses.	Meniñ pikirimçe Toma äýnek gerek.
>>tuk<< I thought Tom would come alone.	Men Tom ýeke geler diýip pikir etdim.
>>tuk<< I thought you were a scientist.	Men seni alymdyr diyip pikir etdim.
>>tuk<< I tried to explain that to Tom.	Men ony Toma düşündirip ýadadym.
>>tuk<< I was in Boston just last week.	Men geçen hepde Bostondadym.
>>tuk<< I was very hungry by lunchtime.	Men günortandan öň örän açdym.
>>tuk<< I'd like to swim in this river.	Bu derýada ýüzmegi isleýärin
>>tuk<< I'll be in Australia next week.	Men Awstraliýada indiki hepdede bolaryn.
>>tuk<< I'm going to put on some music.	Men biraz aýdym ýakjak.
>>tuk<< I'm not going to study tonight.	Men bu gün agşam okajak däl.
>>tuk<< I'm sure you all read about it.	Siziň hemmäňiziň bu barada okandygyňyza berk ynanýaryn.
>>tuk<< It began to rain cats and dogs.	Ýagyş gaty erbet ýagyp başlady.
>>tuk<< It doesn't rain here very much.	Bu yerde yagys kop yaganok
>>tuk<< It's an answer to Tom's letter.	Tomuň hatyna jogap.
>>tuk<< It's sad to see Tom so unhappy.	Tomy gamgyn görmek örän gynançly.
>>tuk<< It's very cold here in October.	Oktýabrda bärde örän sowuk.
>>tuk<< Japanese cars are very popular.	Ýapon awtoulaglary örän meşhur.
>>tuk<< Let me hear your frank opinion.	Mana hakyky sozuni ayt
>>tuk<< No one thinks that way anymore.	Hiç kim indi onuñ ýaly pikir edenok.
>>tuk<< Now he has nothing to live for.	Indi onuň ýaşamak üçin sebäbi ýok.
>>tuk<< Orchids are my favorite flower.	Orkid güli meñ iñ gowy görýän gülüm.
>>tuk<< Someone's knocking at the door.	Biri gapyn kakýar.
