>>cat<< Wow!	Carai!
>>cat<< I'd like to get married.	M'agradaria casar-me.
>>cat<< I'd like to go home now.	Vull anar a casa ara.
>>cat<< I'd like to go with Tom.	M'agradaria anar amb en Tom.
>>cat<< I'll start this evening.	Començaré aquest vespre.
>>cat<< I'll start this evening.	Començaré esta vesprada.
>>cat<< I'll tell you the truth.	Et diré la veritat.
>>cat<< I'm not as brave as Tom.	No soc tan valent com en Tom.
>>cat<< I'm sure of his success.	Estic segur del seu èxit.
>>cat<< I've forgotten his name.	He oblidat el seu nom.
>>cat<< It was always like that.	Sempre ha sigut així.
>>cat<< It's nice and cool here.	Aquí fa fresca i s'hi està bé.
>>cat<< Many sailors can't swim.	Molts mariners no saben nedar,
>>cat<< My father quit drinking.	El meu pare va aturar de beure.
>>cat<< My father quit drinking.	Mon pare va deixar de beure.
>>cat<< Racism is still with us.	El racisme encara hi és amb nosaltres.
>>cat<< She helped me willingly.	Ella em va ajudar de bon gust.
>>cat<< Tell me when he returns.	Avisa'm quan torni.
>>cat<< Tom is thirty years old.	Tom té trenta anys.
>>cat<< We'll never do it again.	No ho farem mai més.
>>cat<< We'll never do it again.	No ho tornarem a fer mai més.
>>cat<< What a beautiful sunset!	Quina posta de sol més bonica!
>>cat<< What a beautiful sunset.	Quina posta més maca!
>>cat<< What a beautiful sunset.	Quina posta de sol més bonica.
>>cat<< Where are our umbrellas?	On estan els nostres paraigües?
>>cat<< Who are they talking to?	Amb qui estan parlant?
>>cat<< Who is this letter from?	De qui és aquesta carta?
>>cat<< Would you draw me a map?	Em faríes un mapa?
>>cat<< You will miss the train.	Perdràs el tren.
>>cat<< You're everything to me.	Tu ets tot per mi.
>>cat<< Are you coming in or not?	Entres o no?
>>cat<< Are you going to save us?	Que ens salvareu?
>>cat<< Are you looking for work?	Busques feina?
>>cat<< Can I ask some questions?	Puc fer unes preguntes?
>>cat<< Can I pay by credit card?	Puc pagar amb targeta de crèdit?
>>cat<< Can your mom drive a car?	La teva mama sap conduir?
>>cat<< Can your mom drive a car?	Ta mare sap conduir?
>>cat<< Can your mom drive a car?	La teua mare sap conduir un cotxe?
>>cat<< Can your mom drive a car?	La vostra mare sap conduir?
>>cat<< Cats prefer fish to meat.	Els gats s'estimen més el peix que la carn.
>>cat<< Did anybody eat with you?	Algú ha menjat amb tu?
>>cat<< Did you have a good time?	T'ho vas passar bé?
>>cat<< Do you have a cell phone?	Tens un mòbil?
>>cat<< Do you have a smartphone?	Tens un mòbil?
>>cat<< Don't ever do that again.	No ho facis mai més.
>>cat<< Fire is always dangerous.	El foc sempre és perillós.
>>cat<< Gold's heavier than iron.	L'or és més pesat que el ferro.
>>cat<< Have you had your dinner?	Ja heu sopat?
>>cat<< Have you had your supper?	Ja heu sopat?
>>cat<< He fell and hurt his leg.	Ell es va caure i es va fer mal a la cama.
>>cat<< He has never played golf.	Ell no ha jugat mai al golf.
>>cat<< He looks like his father.	Ell s'assembla al seu pare.
>>cat<< He speaks five languages.	Ell parla cinc idiomes.
>>cat<< He will be free tomorrow.	Demà sirà lliure.
>>cat<< Her answer was incorrect.	La seva resposta era incorrecta.
>>cat<< I am close to the bridge.	Estic a prop del pont.
>>cat<< I can't stand that noise.	No puc aguantar aquest soroll.
>>cat<< I didn't know what to do.	No sabia què fer.
>>cat<< I don't know her address.	No sé la seva adreça.
>>cat<< I don't love you anymore.	Ja no t'estimo.
>>cat<< I knew I could trust you.	Sabia que podia confiar en tu.
>>cat<< I made my son a new suit.	He fet un vestit nou per a mon fill.
>>cat<< I only have eyes for you.	Aquí no veig ningú més que tu.
>>cat<< I recognized him at once.	El vaig reconèixer de seguida.
>>cat<< I think that I need help.	Crec que necessito ajuda.
>>cat<< I tried to get some rest.	He intentat descansar una mica.
>>cat<< I want a good dictionary.	Vull un bon diccionari.
>>cat<< I'm going to eat a peach.	Em menjaré un préssec.
>>cat<< I'm talking on the phone.	Parlo per telèfon.
>>cat<< I'm talking on the phone.	Estic parlant per telèfon.
>>cat<< I've had a very hard day.	He tingut un dia molt dur.
>>cat<< It doesn't sound natural.	No sona natural.
>>cat<< It's a quarter past nine.	És un quart de deu.
>>cat<< My coat wasn't expensive.	El meu abric no era car.
>>cat<< My mother is always busy.	La meva mare sempre està ocupada.
>>cat<< People want to feel safe.	La gent vol sentir-se segura.
>>cat<< Shall we go to the beach?	Anem a la platja?
>>cat<< She had a strange hat on.	Ella portava un barret estrany.
>>cat<< She sang better than him.	Ella va cantar millor que ell.
>>cat<< That happened a year ago.	Això va passar fa un any.
>>cat<< That's a beautiful dress.	Aqueix és un vestit preciós.
>>cat<< That's worth considering.	Val la pena tenir-ho en compte.
>>cat<< That's worth remembering.	Val la pena recordar-ho.
>>cat<< The room is rather small.	La cambra és força petita.
>>cat<< There's been an accident.	Hi ha hagut un accident.
>>cat<< This is perfectly normal.	Això és del tot normal.
>>cat<< Tom doesn't quite buy it.	En Tom no s'ho creu gaire.
>>cat<< Tom is a history teacher.	En Tom és un professor d'història.
>>cat<< Tom might still be there.	En Tom encara podria ser allà.
>>cat<< Tom visited Mary's grave.	En Tom va visitar la tomba de la Mary.
>>cat<< Tom was discharged today.	Al Tom l'han donat d'alta avui.
>>cat<< Tom was discharged today.	Al Tom l'han acomiadat avui.
>>cat<< Tom was discharged today.	Al Tom l'han llicenciat avui.
>>cat<< Tom was told not to wait.	Al Tom li van dir que no s'esperés.
>>cat<< Turn down the TV, please.	Baixa el volum del televisor.
>>cat<< Turn the TV down, please.	Baixa el volum del televisor.
>>cat<< We must follow the rules.	Hem de seguir les regles.
>>cat<< We're not going anywhere.	No anem enlloc.
>>cat<< What did Tom ask you for?	Què t'ha demanat en Tom?
>>cat<< What's happening tonight?	Què està passant aquest nit?
>>cat<< What's happening tonight?	Què passa aquesta nit?
>>cat<< You are lost, aren't you?	T'has perdut, no és així?
>>cat<< You don't have to eat it.	Vostè no ha de menjar-ho.
>>cat<< Are you free this weekend?	Estàs lliure este cap de setmana?
>>cat<< Can you delete this photo?	Pots esborrar aquesta foto?
>>cat<< Did you speak to the cops?	Has parlat amb la policia?
>>cat<< Do you have any questions?	Alguna pregunta?
>>cat<< Do you listen to podcasts?	Escoltes podcasts?
>>cat<< Dogs bark and birds tweet.	Els gossos borden i les aus piulen.
>>cat<< Don't leave the door open.	No deixeu la porta oberta.
>>cat<< Don't you have work today?	Avui no tens feina?
>>cat<< Everyone likes big pizzas.	A tothom li agraden les pizzes grans.
>>cat<< Gold is heavier than iron.	L'or és més pesat que el ferro.
>>cat<< Have you eaten dinner yet?	Ja heu sopat?
>>cat<< Have you eaten supper yet?	Ja heu sopat?
>>cat<< He will be a good husband.	Serà un bon marit.
>>cat<< How long will it take you?	Quant de temps et portarà?
>>cat<< I can no longer trust you.	Ja no puc confiar en tu.
>>cat<< I didn't mean to hurt you.	No volia fer-te mal.
>>cat<< I didn't suspect anything.	No vaig sospitar res.
>>cat<< I didn't suspect anything.	No sospitava res.
>>cat<< I didn't want to hurt you.	No vaig voler fer-te mal.
>>cat<< I don't want your opinion.	No vull la teva opinió.
>>cat<< I forgot to lock my house.	Em vaig oblidar de tancar casa meva.
>>cat<< I have a coat, but no hat.	Tinc un abric, però cap barret.
>>cat<< I just want to find a cab.	Només vull trobar un taxi.
>>cat<< I just want to find a cab.	Tan sols vull trobar un taxi.
>>cat<< I just want you to listen.	Tan sols vull que escoltis.
>>cat<< I know that Tom is nearby.	Sé que en Tom està a prop.
>>cat<< I like listening to music.	M'agrada escoltar música.
>>cat<< I like to listen to music.	M'agrada escoltar música.
>>cat<< I made a careless mistake.	Vaig cometre una negligència.
>>cat<< I think we'll go with you.	Crec que hi anirem amb tu.
>>cat<< I think we'll go with you.	Crec que ens en anirem amb tu.
>>cat<< I want it to be a success.	Vull que sigui un èxit.
>>cat<< I want my 20 dollars back.	Vull recuperar els meus vint dòlars.
>>cat<< I want my kids to be safe.	Vull que els meus fills estiguin segurs.
>>cat<< I want to ask you a favor.	Vull demanar-te un favor.
>>cat<< I want to be your husband.	Vull ser el teu marit.
>>cat<< I want to talk to Tom now.	Vull parlar amb en Tom ara mateix.
>>cat<< I'm busy, so I can't help.	Estic ocupat, no puc ajudar-te.
>>cat<< I'm busy, so I can't help.	Estic ocupat, no puc ajudar-vos.
>>cat<< I'm disappointed with you.	M'has decebut.
>>cat<< I'm in a rush to get home.	Tinc pressa per tornar a casa.
>>cat<< I'm in a rush to get home.	Tinc pressa per arribar a casa.
>>cat<< I'm locked out of my room.	Estic atrapat fora de la meva cambra.
>>cat<< I'm standing in the shade.	M'estic dret a l'ombra.
>>cat<< Is racism a serious issue?	El racisme és una qüestió seriosa?
>>cat<< Is racism a serious issue?	El racisme és un assumpte seriós?
>>cat<< It can wait until morning.	No puc esperar fins al matí.
>>cat<< It's always been that way.	Sempre ha sigut així.
>>cat<< Lend me your book, please.	Deixa'm el teu llibre, si us plau.
>>cat<< My sister hit the jackpot.	A la meva germana li va tocar la grossa.
>>cat<< Please turn off the light.	Per favor, apaga el llum.
>>cat<< Racism is a serious issue.	El racisme és un problema seriós.
>>cat<< That house belongs to him.	Aquella casa li pertany.
>>cat<< That'll put you in danger.	Això et posarà en perill.
>>cat<< That's the real challenge.	Aquest és el veritable repte.
>>cat<< That's what sets us apart.	Això és el que ens diferencia.
>>cat<< That's what this is about.	D'això es tracta.
>>cat<< Tom doesn't drive to work.	En Tom no condueix a la feina.
>>cat<< Tom told me the good news.	En Tom m'ha dit la bona nova.
>>cat<< Tom told me the good news.	En Tom m'ha comunicat la bona notícia.
>>cat<< Tom went to the cafeteria.	El Tom va anar a la cafeteria.
>>cat<< We don't know any of them.	No en coneixem cap ni un.
>>cat<< We have to obey the rules.	Hem de seguir les regles.
>>cat<< We may be late for school.	Potser farem tard a l'escola.
>>cat<< We need three more chairs.	Necessitem tres cadires més.
>>cat<< What a nice sounding word!	Què bé sona aquesta paraula!
>>cat<< Where will you be staying?	On t'estaràs?
>>cat<< Where will you be staying?	On t'allotjaràs?
>>cat<< Where will you be staying?	On et quedaràs?
>>cat<< Where will you be staying?	On us allotjareu?
>>cat<< Who buys this type of art?	Qui compra aquest tipus d'art?
>>cat<< You agree with Tom, right?	Estàs d'acord amb Tom, oi?
>>cat<< You agree with Tom, right?	Esteu d'acord amb Tom, veritat?
>>cat<< You can stay here tonight.	Pots passar la nit aquí.
>>cat<< You don't have to do this.	No has de fer-ho.
>>cat<< You don't have to do this.	Això no ho has de fer.
>>cat<< You still have to do that.	Encara tens que fer allò.
>>cat<< Could you tell me the time?	Em podries dir l'hora?
>>cat<< Do they have any good news?	Tens bones notícies?
>>cat<< Do you come here every day?	Véns aquí cada dia?
>>cat<< Do you come here every day?	Veniu ací tots els dies?
>>cat<< Do you have a book to read?	Tens algun llibre per llegir?
>>cat<< Do you have a mobile phone?	Tens un mòbil?
>>cat<< Do you know his birthplace?	Saps on va néixer?
>>cat<< Have you had breakfast yet?	Ja has esmorzat?
>>cat<< How long has it been there?	Quant de temps hi ha estat?
>>cat<< How many peaches are there?	Quants préssecs hi ha?
>>cat<< I can't solve that problem.	No puc solucionar aquell problema.
>>cat<< I don't have time to write.	No tinc temps per escriure.
>>cat<< I got along with everybody.	Em portava bé amb tothom.
>>cat<< I have to buy one tomorrow.	He de comprar-ne un demà.
>>cat<< I just want to be near you.	Només vull estar prop de tu.
>>cat<< I know he likes jazz music.	Sé que li agrada el jazz.
>>cat<< I ordered a pizza by phone.	Vaig demanar una pizza per telèfon.
>>cat<< I think he'll never return.	Crec que mai no tornarà.
>>cat<< I want to learn how to ski.	Vull aprendre a esquiar.
>>cat<< I would like to rent a car.	Voldria llogar un cotxe.
>>cat<< I'd like to get some sleep.	Voldria dormir una mica.
>>cat<< I'd like to get some sleep.	M'agradaria dormir una mica.
>>cat<< I'd like to give it to Tom.	M'agradaria donar-li-ho a en Tom.
>>cat<< I'd like to go to the mall.	M'agradaria anar al centre comercial.
>>cat<< I'd rather do it by myself.	Prefereixo fer-lo pel meu compte.
>>cat<< I'll show you a few photos.	T'ensenyo un parell de fotos.
>>cat<< I'm afraid I caught a cold.	Em sembla que he agafat un constipat.
>>cat<< It's all you can really do.	És tot el que pots fer.
>>cat<< It's always been like that.	Sempre ha sigut així.
>>cat<< It's not worth remembering.	No val la pena recordar-ho.
>>cat<< Life became very difficult.	La vida es va tornar molt difícil.
>>cat<< New York is worth visiting.	Val la pena visitar Nova York.
>>cat<< She and I are the same age.	Ella i jo tenim la mateixa edat.
>>cat<< She's Tom's younger sister.	És la germana petita d'en Tom.
>>cat<< She's Tom's younger sister.	És la germana menuda de Tom.
>>cat<< The bird's wing was broken.	L'ala de l'ocell estava trencada.
>>cat<< The bird's wing was broken.	L'ocell tenia una ala trencada.
>>cat<< The bird's wing was broken.	El pardal tenia una ala trencada.
>>cat<< The flower has a long stem.	La flor té una llarga tija.
>>cat<< There were ten eggs in all.	Hi havia deu ous en total.
>>cat<< There's no reason to worry.	No hi ha cap motiu per preocupar-se.
>>cat<< Things are not that simple.	Les coses no són tan senzilles.
>>cat<< This lake's water is clean.	L'aigua d'aquest llac està neta.
>>cat<< This store sells old books.	Aquesta botiga ven llibres vells.
>>cat<< Tom always drives too fast.	En Tom sempre condueix massa ràpid.
>>cat<< Tom usually eats in a rush.	En Tom sol menjar amb presses.
>>cat<< Tom usually eats in a rush.	En Tom sol menjar a corre-cuita.
>>cat<< Tom warned Mary about John.	En Tom advertí la Maria d'en Joan.
>>cat<< Tom works in a coffee shop.	En Tom treballa en una cafeteria.
>>cat<< We have to go by the rules.	Hem de seguir les regles.
>>cat<< We walked three kilometers.	Vam caminar tres quilòmetres.
>>cat<< What really happened to us?	Què ens va passar realment?
>>cat<< What really happened to us?	Què ens va passar en realitat?
>>cat<< What would you like to eat?	Què voldràs de menjar?
>>cat<< Where will Tom be sleeping?	On dormirà en Tom?
>>cat<< Where will you go tomorrow?	On anireu demà?
>>cat<< Where's Tom going to sleep?	On dormirà en Tom?
>>cat<< Which do you think is best?	Quin creus que és millor?
>>cat<< Which do you think is best?	Quina creus que és millor?
>>cat<< You're not a child anymore.	Ja no ets un nen.
>>cat<< Your opinion is irrelevant.	La teua opinió és irrellevant.
>>cat<< Are you asking me on a date?	M'estàs proposant una cita?
>>cat<< Aren't you ever coming back?	Que no tornaràs mai?
>>cat<< But why is it all so secret?	Però per què és tot tan secret?
>>cat<< By the way, how old are you?	Per cert, quina edat tens?
>>cat<< Columbus discovered America.	Colón va descobrir Amèrica.
>>cat<< Come on, it's not that hard.	Vinga, que no és tan complicat.
>>cat<< Did you make the sandwiches?	Has fet els entrepans?
>>cat<< Do you speak French at home?	Parles francès a casa?
>>cat<< Does Tom still have a fever?	En Tom encara té febre?
>>cat<< Don't you like Chinese food?	No t'agrada el menjar xinès?
>>cat<< France is in western Europe.	França és a l'Europa Occidental.
>>cat<< He plays baseball every day.	Juga al beisbol tots el dies.
>>cat<< He told me not to tell lies.	Em va dir que no expliqués mentides.
>>cat<< He wants a watch like yours.	Vol un rellotge com el teu.
>>cat<< He's the one who touched me.	Ell és el que em va tocar.
>>cat<< How long have you been here?	Quant de temps us heu estat aquí?
>>cat<< I didn't pay Tom to do that.	Jo no vaig pagar el Tom per fer allò.
>>cat<< I didn't pay Tom to do that.	No vaig pagar el Tom per fer-ho.
>>cat<< I don't know if he knows it.	No sé si ho sap.
>>cat<< I don't want to do it again.	No vull tornar-ho a fer.
>>cat<< I know everything about you.	Ho sé tot de tu.
>>cat<< I like pizza with pineapple.	M'agrada la pizza amb pinya.
>>cat<< I want to break up with you.	Vull tallar amb tu.
>>cat<< I was in a rush to get home.	Em vaig afanyar a tornar a casa.
>>cat<< I was in a rush to get home.	Tenia pressa per tornar a casa.
>>cat<< I work at a language school.	Treballo en una escola d'idiomes.
>>cat<< I'd like some sugar, please.	M'agradaria una mica de sucre, si us plau.
>>cat<< I'd like to get to know Tom.	M'agradaria conèixer en Tom més a fons.
>>cat<< I'd like to go out with you.	M'agradaria sortir amb tu.
>>cat<< I'd like to go out with you.	Voldria sortir amb tu.
>>cat<< I'll be back in ten minutes.	Tornaré en deu minuts.
>>cat<< I'm sorry, my father is out.	Em sap greu, però el meu pare no és a casa.
>>cat<< I'm the one who has the key.	Jo sóc qui té la clau.
>>cat<< I've put on a little weight.	He guanyat una mica de pes.
>>cat<< Is it going to snow tonight?	Què nevarà avui al vespre?
>>cat<< Maybe Tom asked Mary to lie.	Potser el Tom li va demanar a la Mary que mentís.
>>cat<< My dog has a very long tail.	El meu gos té una cua molt llarga.
>>cat<< People here are so friendly.	La gent d'aquí és tan amable.
>>cat<< Racism today isn't so overt.	El racisme avui dia encara no ha acabat.
>>cat<< She saved a hundred dollars.	Ella es va estalviar cent dòlars.
>>cat<< Take off your socks, please.	Sisplau, lleva't els mitjons.
>>cat<< Take off your socks, please.	Lleva't els calcetins, per favor.
>>cat<< Take off your socks, please.	Lleveu-vos els calcetins, per favor.
>>cat<< Thank you for the other day.	Gràcies per l'altre dia.
>>cat<< The evidence was against me.	L'evidència estava en contra meua.
>>cat<< There's just too much to do.	Senzillament hi ha tant a fer.
>>cat<< They aren't my real parents.	Ells no són els meus vertaders pares.
>>cat<< They say that love is blind.	Es diu que l'amor és cec.
>>cat<< They work eight hours a day.	Treballen vuit hores al dia.
>>cat<< They're not my real parents.	Ells no són els meus vertaders pares.
>>cat<< This flag is very beautiful.	Aquesta bandera és molt bonica.
>>cat<< This river's water is clean.	L'aigua d'aquest riu està neta.
>>cat<< We joined in the discussion.	Hem participat a la discussió.
>>cat<< We want a peaceful solution.	Volem una solució pacífica.
>>cat<< We've already paid our rent.	Ja hem pagat el lloguer.
>>cat<< What are you doing tomorrow?	Què fas demà?
>>cat<< What is wrong with that guy?	Què li passa a aquet paio?
>>cat<< When did that happen to you?	Quan et va passar allò?
>>cat<< When did that happen to you?	Quan us va passar allò?
>>cat<< Where will we go afterwards?	On anirem després?
>>cat<< Who are you guys talking to?	Amb qui esteu parlant?
>>cat<< Who did you see in the park?	Qui has vist al parc?
>>cat<< Why does racism still exist?	Per què encara existeix el racisme?
>>cat<< You can always count on Tom.	Sempre pots confiar en en Tomàs.
>>cat<< Are you in a rush to go home?	Tens pressa per anar-te'n a casa?
>>cat<< Do you know where she's gone?	Saps on ha anat ella?
>>cat<< Don't make me wait like this.	No em facis esperar així.
>>cat<< Have you eaten breakfast yet?	Ja has esmorzat?
>>cat<< He decided to become a pilot.	Va decidir fer-se pilot.
>>cat<< He goes to the office by car.	Va al despatx amb cotxe.
>>cat<< He is the manager of a hotel.	És el director d'un hotel.
>>cat<< He lost all the money he had.	Va perdre tots els diners que tenia.
>>cat<< He plays the piano very well.	Ell toca el piano molt bé.
>>cat<< He plays the piano very well.	Toca molt bé el piano.
>>cat<< How long will this cold last?	Quant de temps durarà aquesta fred?
>>cat<< How much is this watch worth?	Quant val aquest rellotge?
>>cat<< I am not going to betray you.	No et trairé.
>>cat<< I don't want to go on my own.	No vull anar-hi tot sol.
>>cat<< I don't want to go to school.	No vull anar a l'escola.
>>cat<< I have something to tell you.	T'he de dir una cosa.
>>cat<< I have something to tell you.	Us he de dir una cosa.
>>cat<< I have something to tell you.	Tinc una cosa a dir-te.
>>cat<< I must have the wrong number.	Dec tenir el número equivocat.
>>cat<< I never get tired of talking.	No em canso mai de parlar.
>>cat<< I saw him tear up the letter.	El vaig veure estripar la carta.
>>cat<< I will get in touch with you.	Em posaré en contacte amb tu.
>>cat<< I'd like to get a head start.	M'agradaria tenir-hi avantatge inicial.
>>cat<< I'd like to get back to work.	M'agradaria tornar a la feina.
>>cat<< I've been really busy lately.	He estat molt ocupat recentment.
>>cat<< If you don't eat, you'll die.	Si no menges, et mors.
>>cat<< Japan is smaller than Canada.	El Japó és més petit que el Canadà.
>>cat<< Maybe I need a new assistant.	Potser necessito un nou assistent.
>>cat<< Most people are right-handed.	La majoria de les persones són dretanes.
>>cat<< Please don't open the window.	Si us plau, no obri la finestra.
>>cat<< She sent you her best wishes.	Ella t'envia els seus millors desitjos.
>>cat<< Some animals eat their young.	Alguns animals es mengen les seves cries.
>>cat<< That's exactly what happened.	Això és exactament el què va passar.
>>cat<< That's very easy to remember.	Això és molt fàcil de recordar.
>>cat<< The crowd rushed to the exit.	La gentada va córrer cap a la sortida.
>>cat<< The girl didn't say anything.	La nena no va dir res.
>>cat<< The museum is worth visiting.	Val la pena visitar el museu.
>>cat<< The soldier gave water to me.	El soldat m'ha donat aigua.
>>cat<< This animal only eats plants.	Aquest animal només menja plantes.
>>cat<< This is a very common injury.	Aquesta lesió és molt comú.
>>cat<< Tom and Mary love each other.	En Tom i la Maria s'estimen l'un a l'altra.
>>cat<< Tom and Mary love each other.	En Tom i la Maria s'estimen l'una a l'altre.
>>cat<< Tom became pretty good at it.	En Tom va aconseguir ser força bo.
>>cat<< Tom doesn't know the details.	Tom no coneix els detalls.
>>cat<< Tom enjoyed playing baseball.	En Tom gaudia de jugar a bèisbol.
>>cat<< Tom knows time's running out.	El Tom sap que el temps s'acaba.
>>cat<< Tom only listens to podcasts.	En Tom només escolta podcasts.
>>cat<< Tom wants to go to Australia.	En Tom vol anar a Austràlia.
>>cat<< Wait here till he comes back.	Espera aquí fins que ell torni.
>>cat<< We killed time playing cards.	Matàvem el temps jugant a les cartes.
>>cat<< We live far from the airport.	Vivim lluny de l'aeroport.
>>cat<< We must control our passions.	Hem de controlar les nostres passions.
>>cat<< What you think is irrelevant.	El que penses és irellevant.
>>cat<< What's your favorite podcast?	Quin és el teu podcast preferit?
>>cat<< Why did you not tell me this?	Per què no m'ho has dit?
>>cat<< Why don't you stay for a bit?	Us quedeu una estona?
>>cat<< Are you still going to school?	Encara vas a l'escola?
>>cat<< Do you have medical insurance?	Teniu assegurança mèdica?
>>cat<< Do you still remember my name?	Encara recordes com em dic?
>>cat<< Have a good time on your date.	Passi-ho bé a la seva cita.
>>cat<< Have a good time on your date.	Passa-t'ho bé en la teva cita.
>>cat<< Have a good time on your date.	Passeu-vos-ho bé en la vostra cita.
>>cat<< Have you already eaten dinner?	Ja heu sopat?
>>cat<< He comes here every five days.	Ve aquí cada cinc dies.
>>cat<< He explored the Amazon jungle.	Va explorar la selva amazònica.
>>cat<< He left the book on the table.	Va deixar el llibre sobre la taula.
>>cat<< He remained poor all his life.	Va romandre pobre tota la seva vida.
>>cat<< How many children do you have?	Quants fills tens?
>>cat<< I am buying candy and cookies.	Estic comprant caramels i galetes.
>>cat<< I believe the choice is clear.	Crec que l'elecció està clara.
>>cat<< I didn't know you'd come back.	No sabia que tornaries.
>>cat<< I didn't know you'd come back.	No sabia que havies tornat.
>>cat<< I didn't know you'd come back.	No sabia que regressaries.
>>cat<< I didn't know you'd come back.	No sabia que havies regressat.
>>cat<< I have a son who's an athlete.	Tinc un fill atleta.
>>cat<< I have to go to the drugstore.	He d'anar a la farmàcia.
>>cat<< I sent a letter to my parents.	Vaig enviar una carta als meus pares.
>>cat<< I sent a letter to my parents.	Envií una carta als meus pares.
>>cat<< I still need to get a haircut.	Encara em fa falta tallar-me els cabells.
>>cat<< I study for 3 hours every day.	Jo estudio 3 hores cada dia.
>>cat<< I will win the game next time.	La pròxima vegada guanyaré el partit.
>>cat<< It was cheaper than I thought.	És més barat del que em vaig pensar.
>>cat<< It's even worse than it looks.	És inclús pitjor del que es veu.
>>cat<< It's even worse than it looks.	És fins i tot pitjor del que es veu.
>>cat<< Let me know whenever you come.	Quan vinguis, fes-m'ho saber.
>>cat<< Most schools are closed today.	La majoria d'escoles avui estan tancades.
>>cat<< My children will come with me.	Els meus fills vindran amb mi.
>>cat<< My dad died before I was born.	Mon pare va morir abans del meu naixement.
>>cat<< My sister is very intelligent.	La meva germana és molt intel·ligent.
>>cat<< Nobody equals him in strength.	Ningú no li fa ombra.
>>cat<< Nobody equals him in strength.	Ningú no li és rival.
>>cat<< Only peace can save the world.	Només la pau pot salvar el món.
>>cat<< Our summer is short, but warm.	El nostre estiu és curt, però calorós.
>>cat<< She didn't tell me her secret.	Ella no em va dir el seu secret.
>>cat<< She is giving a party tonight.	Ella fa una festa aquesta nit.
>>cat<< That museum is worth visiting.	Val la pena visitar aquest museu.
>>cat<< The price reflects the demand.	El preu reflexa la demanda.
>>cat<< The servant cleaned the floor.	El servent va netejar el terra.
>>cat<< The soldiers are working hard.	Els soldats estan treballant dur.
>>cat<< This eagle's wings are broken.	Les ales d'aquesta àguila estan trencades
>>cat<< This is a very strange letter.	Aquesta és una carta molt estranya.
>>cat<< Tom is a bad influence on you.	En Tom és una mala influència per a tu.
>>cat<< Tom teaches French literature.	En Tom ensenya literatura francesa.
>>cat<< Tom used to work in Australia.	En Tom treballava a Australia.
>>cat<< Tom wants to change the world.	En Tom vol canviar el món.
>>cat<< Tom was in Boston at the time.	En aquell moment en Tom era a Boston.
>>cat<< Tom's arm had to be amputated.	Van haver d'amputar el braç al Tom.
>>cat<< Tom's arm had to be amputated.	Li van haver d'amputar el braç a Tom.
>>cat<< We saw another ship far ahead.	Vam veure un altre vaixell molt per davant.
>>cat<< What language do you think in?	En quina llengua penses?
>>cat<< You agree with Tom, don't you?	Estàs d'acord amb Tom, no?
>>cat<< Aren't you sick of eating here?	No estàs fart de menjar aquí?
>>cat<< Everyone thinks the same thing.	Tothom pensa la mateixa cosa.
>>cat<< Have you already had breakfast?	Ja has esmorzat?
>>cat<< He is a very thoughtful person.	És una persona molt considerada.
>>cat<< He is used to eating in a rush.	Està acostumat a menjar a corre-cuita.
>>cat<< He ought to have been an actor.	Hauria d'haver estat actor.
>>cat<< I did that because I wanted to.	Ho vaig fer perquè volia.
>>cat<< I did that because I wanted to.	Ho vaig fer perquè vaig voler.
>>cat<< I didn't accept the invitation.	No vaig acceptar la invitació.
>>cat<< I didn't ask even one question.	Ni tan sols he fet una pregunta.
>>cat<< I don't know when he will come.	No sé quan vindrà.
>>cat<< I don't like it when you swear.	No m'agrada que digues paraulotes.
>>cat<< I don't like it when you swear.	No m'agrada que digueu paraulotes.
>>cat<< I don't speak French or German.	No parlo ni francès ni alemany.
>>cat<< I don't want to read this book.	No vull llegir aquest llibre.
>>cat<< I have breakfast every morning.	Cada dia esmorzo.
>>cat<< I paid him the money last week.	Li vaig pagar els diners la setmana passada.
>>cat<< I started a new book yesterday.	Ahir vaig començar un llibre nou.
>>cat<< I started a new book yesterday.	Ahir em vaig començar un llibre nou.
>>cat<< I will play the guitar for you.	Tocaré la guitarra per a tu.
>>cat<< I wish I could buy that guitar.	Com voldria poder comprar aquesta guitarra.
>>cat<< I wish I could buy that guitar.	M'agradaria poder comprar eixa guitarra.
>>cat<< I wish I could buy that guitar.	Tant de bo pogués comprar aquesta guitarra.
>>cat<< I wish I could buy that guitar.	Tant de bo poguera comprar eixa guitarra.
>>cat<< I'd do that if I had more time.	Ho faria si tingués més temps.
>>cat<< I'd do that if you asked me to.	Ho faria si m'ho demanéssiu.
>>cat<< I'd do that if you asked me to.	Ho faria si m'ho demanessis.
>>cat<< I'd like to give you something.	M'agradaria donar-te alguna cosa.
>>cat<< I'd like to stay for one night.	M'agradaria quedar-me aquí una nit.
>>cat<< I'm very glad to see you again.	Estic molt content de tornar-te a veure.
>>cat<< Iron is used for ship building.	El ferro s'usa per a construir vaixells.
>>cat<< Is there anything Tom won't do?	Hi ha res que el Tom no faci?
>>cat<< Is there anything Tom won't do?	Hi ha res que el Tom no faria?
>>cat<< It makes me feel uncomfortable.	Em fa sentir incòmode.
>>cat<< Life has become very difficult.	La vida s'ha tornat molt difícil.
>>cat<< Many moons orbit around Saturn.	Moltes llunes orbiten al voltant de Saturn.
>>cat<< My hobby is listening to music.	El meu hobby és escoltar música.
>>cat<< Please circle the right answer.	Encercleu la resposta correcta, sisplau.
