>>mal<< Hello.	നമസ്കാരം.
>>mal<< Things went back to normal.	കാര്യങ്ങള്‍ പഴയപടിയായി.
>>mal<< This dictionary isn't mine.	ഈ നിഘണ്ടു എന്റേതല്ല.
>>mal<< This table is made of wood.	ഈ മേശ തടി കൊണ്ട് ഉണ്ടാക്കിയതാണ്.
>>mal<< Whenever I call, he is out.	ഞാനെപ്പോൾ വിളിക്കുമ്പോഴും, അവൻ പുറത്തായിരിക്കും.
>>mal<< Who'll be elected chairman?	ചെയർമാനായി ആരെയാണ് തെരഞ്ഞെടുക്കാൻ പോകുന്നത്?
>>mal<< Who's your favorite player?	നിന്റെ പ്രിയപ്പെട്ട കളിക്കാരനാരാണ്?
>>mal<< You're smarter than Tom is.	നിങ്ങൾ ടോമിനെക്കാൾ സമർത്ഥനാണ്.
>>mal<< Haven't you had your dinner?	ഊണ് കഴിച്ചില്ലായിരുന്നോ ?
>>mal<< He likes baseball very much.	അവന് ബേസ്ബോൾ വളരെയധികം ഇഷ്ടമാണ്.
>>mal<< I can get you out of prison.	എനിക്ക് നിങ്ങളെ ജയിലില്‍ നിന്നും പുറത്തിറക്കാന്‍ കഴിയും.
>>mal<< I want to be back in Boston.	എനിക്ക് ബോസ്ടനിലേക്ക് തിരിച്ചു വരണം.
>>mal<< I will do anything but this.	ഞാന്‍ ഇതൊഴിച്ച് വേറെ എന്തു വേണമെങ്കിലും ചെയ്യാം.
>>mal<< Questions never hurt anyone.	ചോദ്യങ്ങള്‍ ഇതുവരെ ആരെയും വേദനിപ്പിച്ചിട്ടില്ല.
>>mal<< She married a rich merchant.	അവൾ ഒരു ധനികനായ വ്യാപാരിയെ വിവാഹം ചെയ്തു.
>>mal<< She seems to be a good cook.	അവള്‍ നല്ല ഒരു പാചകക്കാരി ആണെന്ന് തോന്നുന്നു.
>>mal<< That's not our only problem.	നമ്മുടെ പ്രശ്നം അത് മാത്രമല്ല.
>>mal<< The medicine saved her life.	ആ മരുന്ന് അവളുടെ ജീവന്‍ രക്ഷിച്ചു.
>>mal<< There's no point in waiting.	കാത്തിരുന്നിട്ട് കാര്യമില്ല.
>>mal<< They would never meet again.	അവര്‍ ഒരിക്കലും കണ്ടുമുട്ടുമായിരുന്നില്ല.
>>mal<< This song is familiar to us.	ഈ പാട്ട് ഞങ്ങൾക്ക് സുപരിചിതമാണ്.
>>mal<< We can't play baseball here.	നമുക്കിവിടെ ബേസ് ബോള്‍ കളിയ്ക്കാന്‍ സാധിക്കില്ല.
>>mal<< We read about that in class.	അതിനെക്കുറിച്ച് ഞങ്ങള്‍ ക്ലാസ്സില്‍ വച്ച് വായിച്ചു.
>>mal<< Will you come back tomorrow?	നീ നാളെ തിരിച്ചു വരുമോ?
>>mal<< All men are equal before God.	ദൈവത്തിന് മുമ്പിൽ എല്ലാ മനുഷ്യരും തുല്യരാണ്.
>>mal<< Don't misunderstand my words.	എന്റെ വാക്കുകൾ തെറ്റിദ്ധരിക്കരുത്.
>>mal<< Fish can't live out of water.	മത്സ്യങ്ങൾക്ക് വെള്ളത്തിന് പുറത്ത് ജീവിക്കാൻ സാധിക്കില്ല.
>>mal<< He asked her where she lived.	അവൻ അവൾ എവിടെയാണ് താമസിക്കുന്നത് എന്നു ചോദിച്ചു.
>>mal<< He gave a nice present to me.	അവൻ എനിക്ക് ഒരു നല്ല സമ്മാനം തന്നു.
>>mal<< How does this disease spread?	ഈ രോഗം എങ്ങനെയാണ് പടരുന്നത്?
>>mal<< I am beginning to understand.	ഞാൻ മനസ്സിലാക്കാൻ തുടങ്ങുന്നു.
>>mal<< I believe you know the rules.	നിങ്ങള്‍ക്ക് നിയമങ്ങള്‍ അറിയാം എന്ന് ഞാന്‍ വിശ്വസിക്കുന്നു.
>>mal<< I bought this book yesterday.	ഞാൻ ഈ പുസ്തകം ഇന്നലെയാണ് വാങ്ങിച്ചത്.
>>mal<< I brush my teeth twice a day.	ഞാൻ ഒരു ദിവസത്തിൽ രണ്ടു തവണ പല്ല് തേയ്ക്കും.
>>mal<< I had a bad dream last night.	ഞാൻ ഇന്നലെ രാത്രി ഒരു ദുസ്വപ്നം കണ്ടു.
>>mal<< I have no money in my pocket.	എന്റെ കീശയിൽ കാശില്ല.
>>mal<< I remember seeing him before.	ഞാന്‍ അവനെ മുമ്പ് കണ്ടതായി ഓര്‍ക്കുന്നു.
>>mal<< I thought that he would come.	ഞാന്‍ അവന്‍ വരുമെന്ന് വിചാരിച്ചു.
>>mal<< I'm not afraid of the future.	ഭാവിയെക്കുറിച് എനിക്ക് പേടിയില്ല.
>>mal<< It's no use arguing about it.	അതിനെപ്പറ്റി തര്‍ക്കിച്ചിട്ട് ഒരു കാര്യവുമില്ല.
>>mal<< Please write about your home.	ദയവായി നിങ്ങളുടെ വീടിനെ പറ്റി എഴുതുക.
>>mal<< She can't ride a bicycle yet.	അവൾക്കിതു വരെ ഒരു സൈക്കിൾ ഓടിക്കാൻ അറിയില്ല.
>>mal<< That cap is too small for me.	ആ തൊപ്പി എനിക്ക് ചെറുതാണ് .
>>mal<< The rainbow has seven colors.	മഴവില്ലിന് ഏഴ് നിറങ്ങളുണ്ട്.
>>mal<< This house has two bathrooms.	ഈ വീട്ടിൽ രണ്ട് കുളിമുറികളുണ്ട്.
>>mal<< Tom doesn't eat meat or eggs.	ടോം മാംസവും മുട്ടയും കഴിക്കാറില്ല.
>>mal<< You should have come earlier.	നീ നേരത്തെ വരണമായിരുന്നു.
>>mal<< Both of her cheeks turned red.	അവളുടെ കവിളുകള്‍ രണ്ടും ചുവന്നുതുടുത്തു.
>>mal<< Can you please say that again?	ദയവിട്ട് അത് ഒന്നുകൂടി പറയാമോ?
>>mal<< Did you leave the window open?	നീ ജനാല തുറന്നിട്ടിരുന്നോ?
>>mal<< He lives in that yellow house.	അവൻ ആ മഞ്ഞ വീട്ടിലാണ് താമസിക്കുന്നത്.
>>mal<< He was hurt in a car accident.	അവന് ഒരു കാർ അപകടത്തിൽ പരിക്കേറ്റു.
>>mal<< How much do a dozen eggs cost?	ഒരു ഡസന്‍ മുട്ടക്ക് എന്താ വില?
>>mal<< I agreed to write that letter.	ഞാന്‍ ആ കത്ത് എഴുതാം എന്ന് സമ്മതിച്ചു.
>>mal<< I bought a book about animals.	ഞാൻ മൃഗങ്ങളെ പറ്റിയുള്ള ഒരു പുസ്തകം വാങ്ങിച്ചു.
>>mal<< I came to Japan two years ago.	ഞാൻ ജപ്പാനിൽ രണ്ട് വർഷം മുമ്പാണ് വന്നത്.
>>mal<< I can get you one if you like.	നിങ്ങള്‍ക്ക് ഇഷ്ടമാണെങ്കില്‍ ഇതുപോലൊരെണ്ണം തരാന്‍ കഴിയും.
>>mal<< I caught three fish yesterday.	ഞാൻ ഇന്നലെ മൂന്ന് മത്സ്യങ്ങളെ പിടിച്ചു.
>>mal<< I get up at six every morning.	ഞാൻ എന്നും രാവിലെ ആറ് മണിക്ക് എഴുന്നേൽക്കും.
>>mal<< I sent it to you two days ago.	ഞാൻ രണ്ട് ദിവസം മുമ്പ് അത് നിനക്ക് അയച്ചു.
>>mal<< I was wearing my best clothes.	ഞാൻ എന്റെ ഏറ്റവും മികച്ച വസ്ത്രങ്ങളാണ് ധരിച്ചിരുന്നത്.
>>mal<< I will show you some pictures.	ഞാൻ നിനക്ക് കുറച്ച് ചിത്രങ്ങൾ കാണിച്ചു തരാം.
>>mal<< I wrote down her phone number.	ഞാൻ അവളുടെ ഫോൺ നമ്പർ എഴുതിയെടുത്തു.
>>mal<< I'll call you some other time.	ഞാൻ നിന്നെ പിന്നെ എപ്പോഴെങ്കിലും വിളിക്കാം.
>>mal<< No one lives in this building.	ഈ കെട്ടിടത്തില്‍ ആരും താമസിക്കുന്നില്ല.
>>mal<< The news spread like wildfire.	ആ വാര്‍ത്ത കാട്ടുതീ പോലെ പടര്‍ന്നു.
>>mal<< This rule needs to be changed.	ഈ നിയമം മാറ്റിയെ പറ്റു.
>>mal<< Boston isn't all that far away.	ബോസ്റ്റണിലേക്കു അധികം ദൂരം ഇല്ല ഇവിടുന്ന്.
>>mal<< Can you come on Sunday evening?	ഞായറാഴ്ച വൈകുന്നേരം നിനക്ക് വരാൻ പറ്റുമോ?
>>mal<< Did you go to school yesterday?	നീ ഇന്നലെ സ്കൂളിൽ പോയോ?
>>mal<< Even a child can understand it.	ഒരു കുട്ടിക്ക് പോലും അതു മനസ്സിലാക്കാൻ കഴിയും.
>>mal<< He came home three hours later.	അവൻ മൂന്ന് മണിക്കൂർ കഴിഞ്ഞ് വീട്ടിൽ തിരിച്ചെത്തി.
>>mal<< He did the crossword with ease.	അവൻ വളരെ എളുപ്പത്തിൽ പദപ്രശ്നം പൂരിപ്പിച്ചു.
>>mal<< He is confident of his ability.	അവന് അവന്റെ കഴിവിൽ ആത്മവിശ്വാസമുണ്ട്.
>>mal<< He's a student at this college.	അവൻ ഈ കലാലയത്തിലെ വിദ്യാർത്ഥിയാണ്.
>>mal<< I can give it to you right now.	എനിക്ക് ഇത് ഇപ്പോള്‍ തന്നെ നിങ്ങള്ക്ക് നല്കാന്‍ കഴിയും.
>>mal<< I can't make out what she said.	അവള്‍ പറഞ്ഞതെന്താണെന്ന് എനിക്ക് മനസ്സിലാക്കാന്‍ സാധിക്കുന്നില്ല.
>>mal<< I gave her her dictionary back.	ഞാൻ അവളുടെ നിഘണ്ടു അവൾക്ക് തിരിച്ചു കൊടുത്തു.
>>mal<< It rained five successive days.	അഞ്ച് ദിവസം തുടർച്ചയായി മഴ പെയ്തു.
>>mal<< It's the voice of an old woman.	അതൊരു വയസ്സായ സ്ത്രീയുടെ ശബ്ദമാണ്.
>>mal<< The main streets are very wide.	പ്രധാന വീഥികളെല്ലാം വളരെ വലുതാണ്.
>>mal<< There aren't any other options.	വേറെ ഒരു വഴിയുമില്ല.
>>mal<< What do you see in the picture?	നീ ആ ചിത്രത്തില്‍ എന്താണ് കാണുന്നത്?
>>mal<< When will you finish your work?	നിങ്ങളുടെ ജോലി എപ്പോഴാണ് കഴിയുന്നത് ?
>>mal<< Who are you trying to convince?	ആരെ ആണ് നിങ്ങള്‍ വിശ്വസിപ്പിക്കാന്‍ ശ്രമിക്കുന്നത് ?
>>mal<< You should have listened to me.	നീ ഞാൻ പറഞ്ഞത് കേൾക്കണമായിരുന്നു.
>>mal<< You're just trying to scare me.	നീ എന്നെ ചുമ്മാതെ പേടിപ്പിക്കാൻ നോക്കുകയാ.
>>mal<< Both my parents are at home now.	എന്റെ മാതാപിതാക്കൾ രണ്ടുപേരും ഇപ്പോൾ വീട്ടിലുണ്ട്.
>>mal<< Coffee is Brazil's main product.	ബ്രസീലിന്റെ പ്രധാന ഉല്പന്നം കാപ്പിയാണ്.
>>mal<< Four multiplied by two is eight.	നാലിനെ രണ്ട് കൊണ്ട് ഗുണിച്ചാൽ എട്ട് കിട്ടും.
>>mal<< He does not come here every day.	അവന്‍ എല്ലാദിവസവും ഇവിടെ വരാറില്ല.
>>mal<< His horse jumped over the fence.	അവന്റെ കുതിര വേലിക്ക് മുകളിലൂടെ ചാടി.
>>mal<< How did you spend your vacation?	നീ എങ്ങനെ നിന്റെ അവധിക്കാലം ചെലവഴിച്ചു?
>>mal<< I am concerned about his health.	എനിക്ക് അവന്റെ ആരോഗ്യത്തെപ്പറ്റി ആശങ്കയുണ്ട്.
>>mal<< I am not frightened of anything.	എനിക്ക് ഒന്നിനെപ്പറ്റിയും ഭയമില്ല.
>>mal<< I can give you a lift into town.	എനിക്ക് നിങ്ങള്‍ക്ക് ടൌണിലേക്ക് ഒരു ലിഫ്റ്റ്‌ തരാന്‍ കഴിയും.
>>mal<< I caught the ball with one hand.	ഞാൻ ഒരു കൈ കൊണ്ട് പന്ത് പിടിച്ചു.
>>mal<< I didn't know that he was there.	അവൻ അവിടെയുണ്ടായിരുന്നുവെന്ന് എനിക്കറിയില്ലായിരുന്നു.
>>mal<< I don't have time to play games.	എനിക്ക് കളിക്കാന്‍ സമയമില്ല.
>>mal<< I never said it would be simple.	അത് എളുപ്പമായിരിക്കുമെന്ന് ഞാന്‍ പറഞ്ഞില്ലല്ലോ.
>>mal<< I visited him on Sunday morning.	ഞാൻ ഞായറാഴ്ച രാവിലെ അവനെ സന്ദർശിച്ചു.
>>mal<< I was able to solve the problem.	എനിക്ക് ആ പ്രശ്നം പരിഹരിക്കാന്‍ സാധിച്ചു.
>>mal<< London was bombed several times.	ലണ്ടന്‍ പല തവണ ബോംബ്‌ ചെയ്യപ്പെട്ടു.
>>mal<< She gets up early every morning.	അവൾ എന്നും രാവിലെ നേരത്തെ എഴുന്നേൽക്കും.
>>mal<< She has been dead for ten years.	അവൾ മരിച്ചിട്ട് പത്ത് വർഷങ്ങൾ ആയി.
>>mal<< She thought that I was a doctor.	ഞാൻ ഒരു ഡോക്ടറാണെന്ന് അവൾ വിചാരിച്ചിരുന്നു.
>>mal<< She traveled all over the world.	അവള്‍ ലോകമെമ്പാടും സഞ്ചരിച്ചു.
>>mal<< She'll be seventeen in February.	അവൾക്ക് ഫെബ്രുവരിയിൽ പതിനേഴ് തികയും.
>>mal<< Sight is one of the five senses.	കാഴ്ച അഞ്ച് ഇന്ദ്രിയങ്ങളിൽ ഒന്നാണ്.
>>mal<< The door was locked from within.	ആ വാതില്‍ അകത്തു നിന്ന് പൂട്ടിയിരിക്കുകയായിരുന്നു.
>>mal<< Tom isn't your boyfriend, is he?	ടോം നിന്റെ കാമുകൻ അല്ലലോ ?
>>mal<< Tom knew exactly where Mary was.	ടോമിന് കൃത്യമായി മേരി എവിടാണെന്ന് അറിയാമായിരുന്നു.
>>mal<< Two families live in that house.	ആ വീട്ടിൽ രണ്ട് കുടുംബങ്ങൾ താമസിക്കുന്നു.
>>mal<< We didn't have TV in those days.	ഞങ്ങൾക്ക് അക്കാലത്ത് ടിവിയുണ്ടായിരുന്നില്ല.
>>mal<< Wild animals live in the forest.	വന്യ മൃഗങ്ങള്‍ കാട്ടിലാണ് ജീവിക്കുന്നത്.
>>mal<< You must return the book to him.	നീ ഈ പുസ്തകം അവന് തിരിച്ചു നൽകണം.
>>mal<< At last, they came to a decision.	അവസാനം, അവർ ഒരു തീരുമാനത്തിൽ എത്തി.
>>mal<< Both of them are kind and honest.	രണ്ടുപേരും ദയാലുക്കളും ആത്മാര്‍ത്ഥതയുള്ളവരുമാണ്.
>>mal<< Do you know what color she likes?	അവൾക്കേതു നിറമാണ് ഇഷ്ടമുള്ളതെന്ന് നിനക്ക് അറിയാമോ?
>>mal<< He doesn't know how to play golf.	അവന് ഗോൾഫ് എങ്ങനെയാണ് കളിക്കുന്നതെന്ന് അറിയില്ല.
>>mal<< He will return to Japan some day.	അവൻ ജപ്പാനിലേക്ക് എന്നെങ്കിലും ഒരിക്കൽ തിരിച്ചു പോകും.
>>mal<< I am leaving town for a few days.	ഞാൻ കുറച്ച് ദിവസത്തേക്ക് പട്ടണം വിടുകയാണ്.
>>mal<< I didn't leave the door unlocked.	ഞാന്‍ വാതില്‍ അടക്കാതെ പോയില്ല.
>>mal<< I have two brothers and a sister.	എനിക്ക് രണ്ട് സഹോദരന്മാരും ഒരു സഹോദരിയും ഉണ്ട്.
>>mal<< I ordered them to leave the room.	ഞാൻ അവരോട് മുറി വിട്ട് പോകാൻ കല്പിച്ചു.
>>mal<< I recognized him at first glance.	ആദ്യനോട്ടത്തിൽ തന്നെ ഞാൻ അവനെ തിരിച്ചറിഞ്ഞു.
>>mal<< I remember meeting you somewhere.	ഞാൻ നിങ്ങളെ എവിടെയോ കണ്ടതായി ഓർക്കുന്നു.
>>mal<< I thought you missed your flight.	ഞാന്‍ കരുതി നിനക്ക് ഫ്ലൈറ്റ് കിട്ടിയില്ലെന്ന്‍.
>>mal<< I wish I'd come a little earlier.	ഞാന്‍ ഇത്തിരി നേരത്തെ എത്തിയായിരുന്നെങ്കില്‍.
>>mal<< My monthly salary is 300,000 yen.	മൂന്ന് ലക്ഷം യെൻ ആണ് എന്റെ പ്രതിമാസ ശമ്പളം.
>>mal<< Nobody can do two things at once.	ആര്‍ക്കും രണ്ടു കാര്യങ്ങള്‍ ഒരേ സമയത്ത് ചെയ്യാന്‍ സാധിക്കുകയില്ല.
>>mal<< Nothing was to be seen but water.	വെള്ളമല്ലാതെ മറ്റൊന്നും കണ്ടില്ല.
>>mal<< Please tell us about your family.	ദയവായി നിങ്ങളുടെ കുടുംബത്തെ പറ്റി ഞങ്ങളോട് പറയൂ.
>>mal<< She will be famous in the future.	അവള്‍ ഭാവിയില്‍ പ്രശസ്തയാകും.
>>mal<< Taxi fares will go up next month.	ടാക്സി വാടക അടുത്ത മാസം കൂടും.
>>mal<< The terrorists attacked a mosque.	തീവ്രവാദികള്‍ ഒരു പള്ളി ആക്രമിച്ചു.
>>mal<< There are many fish in this lake.	ഈ കായലിൽ വളരെയധികം മത്സ്യങ്ങളുണ്ട്.
>>mal<< They gave him a chance to escape.	അവർ അവന് രക്ഷപ്പെടാൻ ഒരവസരം കൊടുത്തു.
>>mal<< This book contains many pictures.	ഈ പുസ്തകത്തിൽ കുറെ ചിത്രങ്ങളുണ്ട്.
>>mal<< This country is safe from attack.	ഈ രാജ്യം ആക്രമണത്തിൽ നിന്നും സുരക്ഷിതമാണ്.
>>mal<< Tom isn't going to know about it.	ടോം ഇത് അറിയുവാൻ പോകുന്നില്ല.
>>mal<< Tom lived in Japan for ten years.	ടോം ജപ്പാനില്‍ പത്തു വര്‍ഷം ജീവിച്ചു.
>>mal<< Tom played volleyball in college.	ടോം കോളേജില്‍ വോളിബോള്‍ കളിക്കുമായിരുന്നു.
>>mal<< We stayed there for three months.	ഞങ്ങള്‍ അവിടെ മൂന്ന് മാസം താമസിച്ചു.
>>mal<< Do you have an English dictionary?	നിങ്ങളുടെ കൈയ്യിൽ ഒരു ഇംഗ്ലീഷ് നിഘണ്ടുവുണ്ടോ?
>>mal<< His brother is always watching TV.	അവന്റെ സഹോദരൻ എപ്പോഴും ടി.വി. കണ്ടുകൊണ്ടിരിക്കും.
>>mal<< I can get you everything you need.	നിങ്ങള്‍ക്ക് ആവശ്യമായതെല്ലാം നല്കാന്‍ എനിക്ക് കഴിയും.
>>mal<< I couldn't recognize him at first.	എനിക്ക് ആദ്യം അവനെ തിരിച്ചറിയാൻ കഴിഞ്ഞില്ല.
>>mal<< I don't think it'll rain tomorrow.	നാളെ മഴ പെയ്യുമെന്ന് എനിക്ക് തോന്നുന്നില്ല.
>>mal<< I have a feeling Tom will be late.	ടോം വരാന്‍ താമസിക്കുമെന്ന്‍ തോന്നുന്നു.
>>mal<< I've just been to the post office.	ഞാന്‍ ഇപ്പോള്‍ പോസ്റ്റോഫീസില്‍ പോയതേയുള്ളൂ.
>>mal<< It happened between eight and ten.	എട്ടിനും പത്തിനുമിടയ്ക്കാണ് അതു സംഭവിച്ചത്.
>>mal<< She stirred the soup with a spoon.	അവൾ സ്പൂൺ കൊണ്ട് സൂപ്പ് ഇളക്കി.
>>mal<< She taught music for thirty years.	അവള്‍ മുപ്പതു വര്‍ഷം സംഗീതം പഠിപ്പിച്ചു.
>>mal<< She went from one shop to another.	അവൾ ഒരു കടയിൽ നിന്ന് മറ്റൊന്നിലേക്ക് പോയി.
>>mal<< They are willing to do it for you.	അവർ നിനക്ക് വേണ്ടി അത് ചെയ്യാൻ തയ്യാറാണ്.
>>mal<< This is how the accident happened.	ഇങ്ങനെയാണ് ആ അപകടം നടന്നത്.
>>mal<< Tom didn't appear to recognize me.	ടോമിനെ കണ്ടിട്ട് എന്നെ മനസ്സിലായില്ലെന്ന് തോന്നുന്നു.
>>mal<< Unfortunately, I cannot help them.	ദൗര്‍ഭാഗ്യവശാല്‍ എനിക്കവരെ സഹായിക്കാന്‍ കഴിയില്ല.
>>mal<< What did you do yesterday evening?	നീ ഇന്നലെ വൈകുന്നേരം എന്താണ് ചെയ്തത്?
>>mal<< He came back home three days later.	അവന്‍ മൂന്ന് ദിവസം കഴിഞ്ഞ് വീട്ടില്‍ തിരിച്ചെത്തി.
>>mal<< How long is the Golden Gate Bridge?	ഗോൾഡൻ ഗേറ്റ് ബ്രിഡ്ജിന്റെ നീളം എത്രയാണ്?
>>mal<< I asked my boss for a pay increase.	ഞാൻ എന്റെ മേലധികാരിയോട് ശമ്പളം കൂട്ടി ചോദിച്ചു.
>>mal<< I don't know how to spell the word.	എനിക്ക് വാക്ക് എങ്ങനെ സ്പെല്ല് ചെയ്യണം എന്ന് അറിയില്ല.
>>mal<< I don't know what I want right now.	ഇപ്പോള്‍ എനിക്ക് എന്ത് വേണമെന്ന് എനിക്കറിയില്ല.
>>mal<< I don't know who to ask for advice.	ആരോട് ഉപദേശം ചോദിക്കണമെന്ന് എനിക്കറിയില്ല.
>>mal<< I don't like mathematics very much.	എനിക്ക് കണക്ക് അത്ര ഇഷ്ടമല്ല.
>>mal<< I studied English when I was there.	ഞാന്‍ അവിടെയായിരുന്നപ്പോള്‍ ഇംഗ്ലീഷ് പഠിച്ചു.
>>mal<< The number of students is dropping.	കുട്ടികളുടെ എണ്ണം കുറഞ്ഞുവരികയാണ്.
>>mal<< Tom and I were very busy last week.	ടോമും ഞാനും കഴിഞ്ഞയാഴ്ച വളരെ തിരക്കിലായിരുന്നു.
>>mal<< What's your favorite domestic beer?	എന്താണ് നിങ്ങളുടെ ഇഷ്ടപ്പെട്ട നാടന്‍ ബിയര്‍?
>>mal<< When are you going to quit smoking?	നീ എപ്പോഴാണ് പുകവലി ഉപേക്ഷിക്കാൻ പോകുന്നത്?
>>mal<< I felt that the timing wasn't right.	എനിക്ക് ആ സമയം ശരിയല്ല എന്ന് തോന്നി.
>>mal<< I've never been to my uncle's house.	ഞാൻ ഇതുവരെ എന്റെ അമ്മാവന്റെ വീട്ടിൽ പോയിട്ടില്ല.
>>mal<< She talks as if she knew everything.	അവൾക്കെല്ലാം അറിയാം എന്നപ്പോലെയാണ് അവൾ സംസാരിക്കുന്നത്.
>>mal<< She was very surprised at the sight.	അവൾ ആ കാഴ്ച കണ്ട് വളരെയധികം അത്ഭുതപ്പെട്ടു.
>>mal<< The doctor will be here in a minute.	ഒരു മിനുട്ടിനകം ഡോക്ടർ ഇവിടെ എത്തും.
>>mal<< Why don't you explain it all to Tom?	നീ എന്തുകൊണ്ടാണ് ഇത് ടോമിനോട് പറയാത്തത് ?
>>mal<< As far as I know, he's an honest man.	എന്റെ അറിവില്‍ അവനൊരു സത്യസന്ധനമാണ്.
>>mal<< His explanation was not satisfactory.	അവന്റെ വിശദീകരണം തൃപ്തികരമല്ലായിരുന്നു.
>>mal<< I believe you've been looking for me.	നിങ്ങള്‍ എന്നെ അന്വേഷിക്കുകയായിരുന്നു എന്ന് ഞാന്‍ വിശ്വസിക്കുന്നു.
>>mal<< I don't know what you're looking for.	നിങ്ങൾ എന്താണ് അന്വേഷിക്കുന്നത് എന്ന് എനിക്ക് അറിയില്ല.
>>mal<< My brother has never climbed Mt Fuji.	എന്റെ സഹോദരൻ ഒരിക്കലും ഫുജി കൊടുമുടി കീഴടക്കിയിട്ടില്ല.
>>mal<< Since when do you care about flowers?	നീ എന്നുതൊട്ടാണ് പൂക്കളെ ശ്രദ്ധിച്ച് തുടങ്ങിയത്?
>>mal<< That gold ring belonged to my mother.	ആ സ്വര്‍ണമോതിരം എന്റെ അമ്മയുടേതാണ്.
>>mal<< There are twenty-four hours in a day.	ഒരു ദിവസത്തില്‍ ഇരുപത്തി നാല് മണിക്കൂര്‍ ഉണ്ട്.
>>mal<< This is the best camera in the store.	ഈ കടയിലെ എറ്റവും മികച്ച ക്യാമറ ഇതാണ്.
>>mal<< Tom has apparently not yet done that.	ടോം ഇതുവരെ അത് ചെയ്തിട്ടില്ല.
>>mal<< Do you do the same with your children?	നിങ്ങള്‍ നിങ്ങളുടെ കുട്ടികളോടും ഇതുതന്നെയാണോ ചെയ്യാറുള്ളത്?
>>mal<< He caught the ball with his left hand.	അവന്റെ ഇടതുകൈ കൊണ്ട് അവൻ പന്ത് പിടിച്ചു.
>>mal<< He dedicated his life to medical work.	അവൻ വൈദ്യശാസ്ത്രത്തിനുവേണ്ടി അവന്റെ ജീവിതം സമർപ്പിച്ചു.
>>mal<< How many cats are there in this house?	ഈ വീട്ടിൽ എത്ര പൂച്ചകളുണ്ട്?
>>mal<< I don't have money, but I have dreams.	എനിക്ക് പണമില്ല, പക്ഷേ എനിക്ക് സ്വപ്നങ്ങളുണ്ട്.
>>mal<< I hope Tom isn't reluctant to do that.	ടോമിന് അതുചെയ്യാന്‍ മടിയില്ല എന്നാണ് എന്‍റെ പ്രതീക്ഷ.
>>mal<< I spent three hours repairing the car.	ഞാന്‍ കാര്‍ നന്നാക്കുന്നതിന് വേണ്ടി മൂന്ന് മണിക്കൂര്‍ ചെലവഴിച്ചു.
>>mal<< I'm not able to fix the car by myself.	ആ കാര്‍ നന്നാക്കാന്‍ എന്നെക്കൊണ്ട് ഒറ്റയ്ക്ക് പറ്റില്ല.
>>mal<< It is bad manners to eat with a knife.	കത്തി ഉപയോഗിച്ച് കഴിക്കുന്നത് ഒരു മോശം ശീലമാണ്.
>>mal<< Let's try to swim against the current.	നമുക്ക് ഒഴുക്കിനെതിരെ നീന്താം.
>>mal<< The shop was closed when I went there.	ഞാൻ അവിടെ ചെന്നപ്പോൾ കട അടച്ചിരുന്നു.
>>mal<< There are forty students in our class.	ഞങ്ങളുടെ ക്ലാസ്സിൽ നാൽപ്പത് വിദ്യാർത്ഥികളുണ്ട്.
>>mal<< Five days later, President Taylor died.	അഞ്ചു ദിവസം കഴിഞ്ഞു പ്രസിഡന്‍റ്റ് ടയിലര്‍ മരിച്ചു.
>>mal<< He is worthy to be captain of our team.	അവൻ നമ്മുടെ ടീമിന്റെ നായകനാകാൻ യോഗ്യനാണ്.
>>mal<< I can give you some useful information.	എനിക്ക് നിങ്ങള്‍ക്ക് കുറച്ചു ആവശ്യകരമായ ഇന്‍ഫര്‍മേഷന്‍ തരാം കഴിയും.
>>mal<< I can give you something for your pain.	നിങ്ങളുടെ വേദനക്ക് എനിക്ക് എന്തെങ്ങിലും തരാന്‍ കഴിയും.
>>mal<< I have no wish to live in a large city.	ഒരു വലിയ നഗരത്തിൽ ജീവിക്കാൻ എനിക്ക് ഒരാഗ്രഹവുമില്ല.
>>mal<< It is impossible to live without water.	വെള്ളമില്ലാതെ ജീവിക്കുന്നത് അസാധ്യമാണ്.
>>mal<< It's difficult to answer this question.	ഈ ചോദ്യത്തിന് ഉത്തരം പറയാൻ ബുദ്ധിമുട്ടാണ്.
>>mal<< Thank you for inviting me to the party.	എന്നെ വിരുന്നിലേക്ക് ക്ഷണിച്ചതിന് നന്ദി.
>>mal<< The moon is the earth's only satellite.	ചന്ദ്രൻ ഭൂമിയുടെ ഏക ഉപഗ്രഹമാണ്.
>>mal<< The summer vacation ended all too soon.	വേനൽ അവധിക്കാലം വളരെ പെട്ടെന്ന് അവസാനിച്ചു.
>>mal<< We found it impossible to persuade him.	അവനെ സ്വാധീനിക്കുക എന്നുള്ളത് അസാധ്യമാണെന്ന് ഞങ്ങൾ കണ്ടെത്തി.
>>mal<< What is the real cause of this tragedy?	ഈ ദുരന്തത്തിന്റെ യഥാർത്ഥ കാരണം എന്താണ്?
>>mal<< Won't you come to my house next Sunday?	അടുത്ത ഞായറാഴ്ച നീ എന്റെ വീട്ടിലേക്ക് വരില്ലേ?
>>mal<< Do you know anything about Tom's family?	ടോമിന്റെ കുടുംബത്തെപ്പറ്റി നിനക്കെന്തെങ്കിലും അറിയാമോ?
>>mal<< Don't enter the room without permission.	അനുവാദമില്ലാതെ മുറിയിൽ പ്രവേശിക്കരുത്.
