>>nus<< Hi.	Maalɛ.
>>nus<< Suit yourself.	Luäk rɔ.
>>nus<< Thanks anyway.	Ci̱ lɔcdä tɛɛth bä.
>>nus<< They hate you.	Kɛn Nyir kɛn ji̱ .
>>nus<< They hate you.	Lök kɛn JI̱.
>>nus<< They heard it.	Ci̱ kɛnɛ li̱ɛŋ.
>>nus<< They screamed.	Ci̱ kɛ wa̱k.
>>nus<< They vanished.	Ci̱ kɛ riaw.
>>nus<< They're drunk.	,Ci̲ kɛn yɔ̲ŋ.
>>nus<< They're green.	Ci̱kä tɔ̱ɔ̱c.
>>nus<< They're green.	Kɛn kɛ tɔ̱ɔ̱c.
>>nus<< Things change.	La gɛr ŋuak rɔ̱diɛn.
>>nus<< Tom confessed.	Töm cɛ duerɛ lat.
>>nus<< Tom had a job.	Töm tëkɛ la̱t.
>>nus<< Tom is driven.	Töm laa gëërɛ.
>>nus<< Tom is so old.	Töm jɛn cɛ dɔŋ .
>>nus<< Tom overslept.	Cɛ pek ni̱n ɛn Töm.
>>nus<< We understand.	Ci̱ wä lɔɔcda.
>>nus<< What happened?	Ɛŋu ci̱ tuɔk ɔ?
>>nus<< Will Tom come?	Bi̲ Töm cop ?
>>nus<< Does Tom dance?	Töm laa do̱nyɛ?
>>nus<< Eat everything.	Cam ti̱ diaal.
>>nus<< Eat everything.	Camɛ ti̱ diaal.
>>nus<< Everybody lies.	Nɛy diaal la kɛn kac ɛ kac.
>>nus<< Go for it, Tom.	Töm wër.
>>nus<< Go for it, Tom.	wër kɛ jɛ töm.
>>nus<< Good afternoon.	Malɛ kɛ cäŋdäär.
>>nus<< Happy birthday!	Tɛ̈thlɔac mi̱ gɔaa kɛ cäŋdäpä!
>>nus<< He disappeared.	Cɛ riaw.
>>nus<< I have nothing.	Thiɛlɛ mi̱ tee kɛ Ɣä.
>>nus<< I love bananas.	Nhɔkä Belɛ.
>>nus<< I love bananas.	Ɣän Nhɔkä Belɛ.
>>nus<< I said stop it!	Cä lar i̱ pälɛ!
>>nus<< Keep listening.	Ŋotni̱ kɛ mi̱ li̱ŋni̱.
>>nus<< Let Tom try it.	Ɛ Töm met ɣɔ̱ɔ̱n.
>>nus<< Louder, please.	Mäni̱ jɔwdu kap nhial bɛ.
>>nus<< Louder, please.	deri̲ jɔwdu rep!
>>nus<< She's not sick.	Thiɛlɛ jɛ juëëy.
>>nus<< She's not sick.	cɛ te juey.
>>nus<< Smoke appeared.	Ci̱ tol jɔɔc.
>>nus<< Smoking stinks.	Ma̱th tapä ŋuenyɛ.
>>nus<< Someone called.	Tëkɛ rami̱ ci̱ yɔ̱a̱t.
>>nus<< Start counting.	Tok kuën.
>>nus<< Stop resisting!	Päl kuäär!
>>nus<< Stop resisting!	cu duɔ̲ɔ̲r rɔmthi̲n.
>>nus<< Tell everybody.	Läriɛ nɛydiaal.
>>nus<< They quarreled.	Ci̱kɛ gua̱c.
>>nus<< They want more.	Go̱o̱r kɛn ti̱ ŋuaan.
>>nus<< They work hard.	Lät kɛn ɛ bum.
>>nus<< Things changed.	Ci̱ ŋuak rɔ̱ gɛr.
>>nus<< Those men died.	Ci̱ nɛy ɛ ti̱ li̱w.
>>nus<< Tom apologized.	Töm cɛ duer lar.
>>nus<< Tom is so cute.	Töm jɛn ɛ balaŋ.
>>nus<< Tom is so cute.	Töm ɛ wut pa̱ny.
>>nus<< Tom is the one.	Töm ɛ jɛn kärɔa.
>>nus<< Tom is the one.	Töm kä rɔadɛ.
>>nus<< Watch yourself.	Guic rɔɔdu.
>>nus<< We trusted Tom.	Töm ŋäth nɛyɛ.
>>nus<< We volunteered.	Ci̱ nɛy luäk thöp ɛ thiɛl kök.
>>nus<< You have to go.	Dëri̱ ji̱ɛn.
>>nus<< You have to go.	Ji̱n dëri̱ wë.
>>nus<< You have to go.	Ji̱n bi̱ wë.
>>nus<< Behave yourself.	Luthni̱ rɔɔdu.
>>nus<< Behave yourself.	riali̲ rɔ kä
>>nus<< Congratulations!	Ci̱ lät agɔaa!
>>nus<< Congratulations!	Ci̱ lät a gɔaa
>>nus<< Congratulations!	ciaa lät ɛ gɔaa.
>>nus<< Did you drop it?	Ci̱ jɛ pa̱l ruëëc ?
>>nus<< Do you eat well?	Ci̱ mi̱th kɛ gua̱thdɛ?
>>nus<< Do you know CPR?	Ji̱n ŋäci̱ CPR?
>>nus<< Drive carefully.	Geri̱ kɛ tiit.
>>nus<< Everyone dreams.	Nɛy diaal la kɛn la̱a̱k ɛ läk ikä.
>>nus<< Everyone smiled.	Ci̱ nɛy diaal duɔɔthdoth.
>>nus<< Everyone waited.	Ci̱ nɛy diaal liep.
>>nus<< He's my brother.	Jɛn ɛ dämaar.
>>nus<< He's very timid.	Jɛn po̱cɛ ɛlɔ̱ŋ.
>>nus<< How interesting!	Ɛmi̱ gɔaa mi̱ i̱di̱ ɛn nɛmɛ!
>>nus<< I turned Tom in.	Töm bi̱ la̱th rɛc.
>>nus<< I used to a lot.	Cä ti̱ ŋuani̱ kɛn la̱t.
>>nus<< I will kill you.	Bä ji̱ näk.
>>nus<< I'll never tell.	Ɛ puc /cänɛ bi̱ lar.
>>nus<< I've changed it.	Cä gɛɛr.
>>nus<< I've changed it.	Bä jɛ gɛɛr.
>>nus<< I've changed it.	Ɣän bä gɛɛr.
>>nus<< I've changed it.	Bä gɛɛr.
>>nus<< Is she Japanese?	Jɛn ɛ ran Japaan?
>>nus<< It was so scary.	Ɛ duŋ dualä ɛ lo̱ŋ.
>>nus<< It was so scary.	jakɛ naa kä dual.
>>nus<< Let me be happy.	Jakni̱ lɔcdä kä tɛɛth.
>>nus<< Let me be happy.	ɛlɔc dä met tɛɛth.
>>nus<< Let's finish up.	Canɛ jɛ thuk.
>>nus<< Let's finish up.	Canɛ thuk.
>>nus<< Let's get to it.	A mët cop.
>>nus<< Look after them.	Guic kɛ.
>>nus<< My door is open.	Thi̱i̱kdä tee ɣo̱o̱ŋkä.
>>nus<< My hair is gray.	Ci̱ mi̱äm kä low.
>>nus<< My kids love me.	Gaatkä nhɔk kɛn ɤä.
>>nus<< Oh, don't worry.	Wɔ̲a̲w ,cudiɛɛr
>>nus<< Please continue.	Deri̱ we kɛ wä.
>>nus<< She disappeared.	Cɛ riaw.
>>nus<< Somebody called.	Tëkɛ rami̱ ci̱ ciöt.
>>nus<< Someone coughed.	Tëkɛ rami̱ ci̱ kiɛl.
>>nus<< Take everything.	Naŋ ti̱ diaal.
>>nus<< That was a help.	nɔmɔ ɛ luääk.
>>nus<< They understood.	Ci̱ kɛn ɛ liŋ.
>>nus<< Tom disappeared.	Töm cɛ bath.
>>nus<< Tom disappeared.	ci̲ cuɔɔl bath.
>>nus<< Tom has a beard.	Töm tee ti̱kdɛ kɛ mi̱äm.
>>nus<< Tom has a beard.	töm tëkɛ miäm tiäk.
>>nus<< Tom is a tailor.	Töm ɛ ko̱o̱c biäyni
>>nus<< Tom made me cry.	Ci̱ Töm ɣä jakä wi̱ää.
>>nus<< Tom made me cry.	Töm cɛ ɣä jakä röt.
>>nus<< Tom made me cry.	töm cɛ ɤä jaa wiää.
>>nus<< Tom volunteered.	Töm cɛ luäk thöp ɛ thiɛl kök.
>>nus<< Tom was fasting.	Töm jɛn thëk kɛ .
>>nus<< Tom was too fat.	Töm cɛ kɔn dho̱k.
>>nus<< Tom was too fat.	töm cɛ dhök ɛlöŋ.
>>nus<< Was Tom rescued?	Ci̱ Töm kän li̱th ?
>>nus<< Watch carefully.	Gui̱c ni̱ gɔaa.
>>nus<< We all love you.	Kɔn dial nhɔk nɛy yiɛɛ.
>>nus<< We all love you.	nhɔk nɛyi̲ kɔn diaal.
>>nus<< We both saw Tom.	Ci̱ nɛy Töm nɛn.
>>nus<< We both saw Tom.	ci̲ kɔn töm nɛn.
>>nus<< We heard voices.	Ca̱kɔ jiööth liŋ
>>nus<< We must succeed.	Bɛ rɔ luɔ̱t nɛy.
>>nus<< Who's your wife?	Ci̱ëk du ɛ ŋa ?
>>nus<< Write something.	Gɔ̱r duɔ̱ɔ̱r.
>>nus<< Accidents happen.	Guäcni̱ la tuɔɔkɛ.
>>nus<< Are they in love?	Tee kɛ rɛy nhökä ?
>>nus<< Are they in love?	Kɛn tee rɛy nhökä ?
>>nus<< Are they in love?	tekɛ rɛy nhökä?
>>nus<< Are you busy now?	Ti̱i̱kɛ mi lätdi ɛntämɛ?
>>nus<< Choose carefully.	Mekni̱ ɛ gɔaa.
>>nus<< Come immediately.	Ŋali̱ ben ɛn tämɛ.
>>nus<< Did you know him?	Ji̱n ŋäc ci̱ jɛ ?
>>nus<< Do you work here?	Ji̱ läti̱ ɛn gua̱a̱th ɛmɛ?
>>nus<< Everyone changes.	La nɛy diaal rɔ̱ɔ̱diɛn ɛ gɛɛr.
>>nus<< Everyone cheered.	Ci̱ nɛy diaal tetkiɛn pat.
>>nus<< Everyone laughed.	Ci nɛy diaal to̱kdɔl.
>>nus<< Everyone noticed.	Ci̱ nɛy diaal ɛ ŋa̱c.
>>nus<< He saved my life.	jɛn cɛ ɣä kän.
>>nus<< I always eat out.	La ɣän mi̱th raar ni̱ ciaaŋ.
>>nus<< I appreciated it.	Ci lɔcdä tɛɛth.
>>nus<< I hope Tom knows.	Ɣän ŋa̱thä jɛ ɛn ɣöö ŋäc Töm ɛ.
>>nus<< I know I'm crazy.	ŋa̱cä jɛ ci̱ɛ ɣän ram mi̱ gɔaa.
>>nus<< I love this area.	ɤän nhɔakä gua̲a̲th ɛmɛ.
>>nus<< I love this area.	nhɔakä peek ɛmɛ.
>>nus<< I'm 25 years old.	Ta̱a̱ kɛ run ti 25
>>nus<< I'm 25 years old.	Runkä kɛ 25
>>nus<< Let's just begin.	Canɛ jɛ tok .
>>nus<< Listen carefully.	Liŋni̱ agɔaa.
>>nus<< Nobody will come.	̈Thiɛlɛ/ram mi̲ ben.
>>nus<< Nothing happened.	Thiɛlɛ mi̱ ci̱ tuɔɔk.
>>nus<< Prepare yourself.	Riali̱ rɔɔdu ikä.
>>nus<< Respect yourself.	Luthni̱ rɔɔdu.
>>nus<< She died from TB.	Jɛn ci̱Ti̱bii ɛ näk.
>>nus<< Sit here with us.	Nyuri̱ kɛ nɛy kɛɛl gua̱th ɛmɛ.
>>nus<< Somebody laughed.	Tëkɛ rami̱ ci̱ to̱kdɔl.
>>nus<< Someone screamed.	tëkɛ rami̱ ci̱ wak.
>>nus<< Stop apologizing.	Päl lär dui̱rä.
>>nus<< The man ran away.	Ɛn wut cɛ rɔ bar.
>>nus<< There she stands.	Cɛ cuɔ̱ɔ̱ŋ gua̱ mi̱.
>>nus<< Think about this.	cäri̠ kɛ kui̠i̠ nɛmɛ kä.
>>nus<< This is our plan.	Nɛmɛ ɛ ca̲p da.
>>nus<< Tom often smiles.	La Töm duɔɔth ɛ dooth guäthni̱ ti̱ ŋuan.
>>nus<< Tom was in there.	Töm cɛ kɔn tee ɛn gua̱ath ɛ mi̱.
>>nus<< Tom was troubled.	Töm nyoonɛ nath.
>>nus<< Watch yourselves.	Guɛcɛ rɔ̱ɔ̱dun.
>>nus<< We don't want it.	Kɔn /ci nɛy ɛ go̱r.
>>nus<< We just did that.	Ci̱ëë ci̱ nɛy ɛ la̱r ji̱.
>>nus<< We just did that.	ci̲ kɔn ɛla̲t.
>>nus<< We like children.	Nhɔk nɛy dho̱li̱.
>>nus<< We need supplies.	Kɔn go̱r nɛy luäk kuakni̱.
>>nus<< We're architects.	Kɛ kɔn ta̱th duëëli̱.
>>nus<< Where's your mom?	Muɔ̱r ja i̱nkä ?
>>nus<< You can tell Tom.	deriɛ la̲r töm.
>>nus<< You know nothing.	Thiɛlɛ mi ŋäci.
>>nus<< You must go back.	Ji̱n dëri̱ loc jɔk.
>>nus<< You must go back.	bi̲ yi̲k loc jɔk.
>>nus<< Are you busy here?	Ji̱n rili̱ kɛ la̱t ɛn guäth ɛmɛ?
>>nus<< Are you busy here?	rili̲ ɛn gua̲a̲th ɛmɛ?
>>nus<< Are you gardeners?	ɛ ji̠n pi̠i̠th jiɛn?
>>nus<< Deal us the cards.	Bi̱ Töm ji̱ luäk.
>>nus<< Deal us the cards.	Lep ni nɛy katni̱.
>>nus<< Everybody laughed.	Ci̱ nɛy diaal to̱k dɔl.
>>nus<< Everybody laughed.	ci̲ nɛy diaal ɛdɔl 😆
>>nus<< Everyone screamed.	Nɛy diaal ci̱kɛ wa̱k.
>>nus<< Exercise outdoors.	Wër ŋari raar.
>>nus<< Happy anniversary!	Tɛ̈thlɔac kɛ tiem duɔ̱ɔ̱rä.
>>nus<< He started to cry.	Cɛ wi̱ää tok
>>nus<< He started to cry.	Wi̱ää cɛ tok.
>>nus<< He started to cry.	Jɛn cɛ wi̱ää tok
>>nus<< How do I stop Tom?	Ɣän bä Töm ka̱p cuɔ̱ŋ i̱ di̱ ?
>>nus<< I do love flowers.	Ɣän nhɔakä gaakni̱ jiɛn.
>>nus<< I do love flowers.	nhɔakä gaakni̲.
>>nus<< I don't feel good.	Ɣän thi̱ɛlɛ ɣä tɛ̈thlɔaac mi̱ gɔaa.
>>nus<< I have an earache.	Ɣän ta̱a̱ kɛ bɛ̈ɛ̈c ji̱äth.
>>nus<< I know that woman.	Jɛn ci̱ëk ɛmɔni̱ ŋa̱cä jɛ.
>>nus<< I know that woman.	Ɣän ŋa̱cä ci̱ëk ɛmɔni̱
>>nus<< I like the colors.	ɤän nhɔakä biɛlɛ.
>>nus<< I like the colors.	nhɔakä biɛlɛ.
>>nus<< I like this music.	ɤän nhɔkä bul ɛmɛ.
>>nus<< I like your place.	Nhɔakä gua̱a̱th ci̱ɛɛŋkä du.
>>nus<< I like your place.	nhɔakä gua̲a̲ du.
>>nus<< I often work late.	La la̲tä kɛ jɔak guäthni̲ di̲aal
>>nus<< I saw Tom outside.	Cä Töm nɛn raar.
>>nus<< I saw Tom outside.	Gui̱äc Töm raar.
>>nus<< I should tell Tom.	Ba yi̱k la̱r Töm
>>nus<< I think it's safe.	ɣän diɛɛwä jɛ ɛn ɣöö thiɛlɛ riɛk mi̠ te thi̠n.
>>nus<< I'd love to coach.	Nhɔkä ŋi̱i̱c.
>>nus<< I'm just visiting.	Duŋdä guel.
>>nus<< I'm not too smart.	Ci̱än pɛl ɛ lɔ̱ŋ.
>>nus<< It's all gone now.	Bi̱ kɛn diaal thuɔ̱k.
>>nus<< It's no big thing.	/Thiɛlɛ mi̲ di̲i̲tia̲ thi̲n.
>>nus<< Let's begin again.	Canɛ jɛ tok ɛ nyɔk .
>>nus<< Let's begin again.	Canɛ tok ɛ nyɔk.
>>nus<< Let's begin again.	Canɛ mën tok ɛ nyɔk.
>>nus<< Love isn't enough.	Nhök /cɛ rɔ̱ŋ.
>>nus<< My cat loves milk.	Nyawdä nhɔkɛ cak.
>>nus<< Please reconsider.	Deriɛ met nyɔk kɛ guec.
>>nus<< Somebody answered.	Tëkɛ rami̱ ci̱ luɔ̱c.
>>nus<< Something changed.	Tëkɛ mi̱ ci̱ rɔ gɛr.
>>nus<< Something changed.	Tëë kɛ mi̱ ci̱ rɔ ŋɛr.
>>nus<< That's not my car.	Ci̱ɛ jɛn thurbi̱lä.
>>nus<< The crook was Tom.	Ɛ Töm la puɔ̱ny kacä mɔ.
>>nus<< The crook was Tom.	Ɛ Töm ci thuɔ̱k latdɔ.
>>nus<< The crook was Tom.	Ɛ Töm la puɔ̱ny cienɔ.
>>nus<< The crook was Tom.	ram ɛn tee duer ɛ töm.
>>nus<< This beef is good.	Ri̲ŋ ɛmɛ gɔa ɛ
>>nus<< Tom felt unwanted.	Töm guicɛ rɔɔdɛ i̱ /ca go̱r.
>>nus<< Tom has no answer.	Töm thiɛlɛ mi̲ cɛ loc.
>>nus<< Tom has no answer.	töm thiɛlɛ luɔc.
>>nus<< Tom is never home.	Töm ɛ puc thi̱ɛlɛ jɛ ci̱ëŋ.
>>nus<< Tom loved bananas.	Töm nhɔkɛ bëlɛɛni
>>nus<< Tom was born here.	Töm dapkɛ jɛ ɛn wänɛ.
>>nus<< Tom was born here.	Töm dap jɛ gua̱mɛ.
>>nus<< Turn the light on.	Lɛp ka̱ra̱pɛ
>>nus<< Turn the light on.	Tuany ka̱ra̱pɛ .
>>nus<< Turn the light on.	Dɔp ka̱ra̱pɛ.
>>nus<< We can't talk now.	/canɛ bi lat ɛntämɛ.
>>nus<< We sided with Tom.	Cuŋ nɛy kɛ Töm kɛɛl .
>>nus<< We sided with Tom.	Töm cuŋ nɛy kɛ jɛ kɛɛl
>>nus<< We tried our best.	Ca̱k kɔ jɛ ɣɔ̱n kɛ pek luäŋ kä da.
>>nus<< We want a rematch.	Gör nɛy ŋar ɛ nyɔk.
>>nus<< We'll go tell Tom.	Bi̱ nɛy ɛ la̱r Töm.
>>nus<< What are we doing?	Ji̱ ɛ ŋu läti̱ mɔ ?
>>nus<< What did Tom want?	Töm go̱rɛ ni̱ ŋu mɛn dan?
>>nus<< What's their goal?	Ɛ ŋu ba jek kɛ kɔrɛ ?
>>nus<< Who cut your hair?	Ɛ ŋadi̱ɛn ŋuk mi̱äm kä mɔ ?
>>nus<< You may stay here.	Li̱pni̱ ɛn gua̱a̱th ɛmɛ.
>>nus<< You're a good man.	Ɛ ji̱n wut mi̱ gɛaa
>>nus<< You're dead wrong.	Ci̱ duer ɛlɔ̱ŋ.
>>nus<< All sugar is sweet.	,THok kër kɛliw limɛɛ.
>>nus<< Do you like ginger?	Nhɔki̱ daŋdalɛ?
>>nus<< Do you like grapes?	Ji̱n nhɔki̱ dɛy wal
>>nus<< Does Tom drink tea?	Ɛn Töm la mäthɛ kɛ cäy?
>>nus<< Does Tom drink tea?	tɔm mathɛ ca̲yä?
>>nus<< Everything matters.	Ti̱ diaal te kɛn kɛ luɔt.
>>nus<< Happy Thanksgiving!	Cäŋ tɛthkä lɔaac mi̱ gɔaa!
>>nus<< How could you know?	Ku jɛ lɛ ŋa̲c idi?
>>nus<< How could you know?	ŋäciɛ i̲di̲?
>>nus<< I didn't know that.	ɤän cän jɛ ŋäc.
>>nus<< I have to meet Tom.	Ɣan go̱o̱rä bä jek kɛ Töm.
>>nus<< I loved that house.	Ɣän nhɔakä duel ɛmɔ.
>>nus<< I loved that house.	nhɔakä duel ɛmɔ.
>>nus<< I think Tom is bad.	Di̱ɛwä jɛ Töm ji̱ääkɛ.
>>nus<< I want Tom to help.	Ɣän göörä Töm bɛ luäk.
>>nus<< I want Tom to help.	Go̱o̱rä ɣöö bi̱ Töm ɣä luäk.
>>nus<< I want you to help.	Görä ɣöö dëri̱ ɣä luäk.
>>nus<< I wanted red shoes.	Göörä war mi̱ dɛ̈ɛ̈r.
>>nus<< I was only kidding.	Ɣän duŋdä muɔŋ.
>>nus<< I was only kidding.	duŋdä muɔŋ.
>>nus<< I wish you'd smile.	Duŋ mi̱ deri̱ duɔɔth doth bɛ.
>>nus<< I wouldn't do that.	Cänɛ dee la̱t i̱nɔ.
>>nus<< I'll wait upstairs.	Bä jɛ li̱p nhi̱al
>>nus<< Isn't that our job?	Nɔmɔ /CIA la̲tdun?
>>nus<< It was a rainy day.	Tee piny kɛ nhi̱al ɛn wa̱lɛ.
>>nus<< It was a rainy day.	Ɛ cäŋ nhi̱al ɛn wa̱lɛ.
>>nus<< Let me take a look.	Cuɔ̱ŋɛ a mëtä guic.
>>nus<< Let me take a look.	Cuɔ̱ŋɛ a mëtä nɛn.
>>nus<< Let me take a look.	Cuɔ̱ŋɛ ɣän kɔn guic.
>>nus<< Let's rest a while.	Dee kɔn lɔ̱ɔ̱ŋ kä mi̱ tɔt.
>>nus<< Let's rest a while.	Dee kɔn lɔ̱ɔ̱ŋ ɛ määth.
>>nus<< Mary was beautiful.	Mëri̱ ɛ kɔn gɔaa.
>>nus<< May I have a drink?	Tee kɛ mi̱ dee math?
>>nus<< Maybe I'm to blame.	Dɔ̱ŋ ba bɛl ni ɣä
>>nus<< Return immediately.	Lunyni̱ jɔk kɛ pɛ̈th.
>>nus<< Something happened.	Tëkɛ mi̱ ci̱ tuɔɔk.
>>nus<< Tell Tom I'll come.	Ji̱n läri̱ jɛ Töm i̱ bä ben.
>>nus<< That spoon is mine.	Nɛmɔ ɛ jɛn malɛ gakdä.
>>nus<< That spoon is mine.	Nɛmɛ ɛ jɛn tudä
>>nus<< That was difficult.	Nɛmɔ jɛn bumɛ .
>>nus<< That's our problem.	Jɛn ɛ riɛk da.
>>nus<< The car hit a tree.	Ci̱ thubi̱l ji̱ath kuir.
>>nus<< The door is locked.	Ca bap gäk
>>nus<< The telephone rang.	Ci̱ talɛpɔn yiɔ̱t.
>>nus<< They're not hungry.	Ci̱ pɔth kɛ näk.
>>nus<< They're not hungry.	ci̲ buɔth kɛ näk.
>>nus<< This is a template.	Nɛmɛni̱ jɛn ɛ ta̱mpälɛɛt.
>>nus<< Tom ate in silence.	Töm mi̱thɛ bitkä.
>>nus<< Tom ate in silence.	Töm cɛ mi̱th ni bitkä.
>>nus<< Tom ate in silence.	Töm cɛ mi̱th kɛ biɛt.
>>nus<< Tom ate in silence.	Töm cɛ mi̱th bitdɛ.
>>nus<< Tom played all day.	Töm cɛ ŋarkɛ cäŋdäär kɛɛliw.
>>nus<< We do that as well.	Ci̲ nɛy jɛ la̲t ɛ lo̲ŋ.
>>nus<< We're interpreters.	Kɛ kɔn luɔ̱ɔ̱c thuɔk .
>>nus<< Who are those guys?	Nɛy ɛ tɔni̱ kɛ ŋaani̱ ?
>>nus<< Who are those guys?	Kɛ ŋaani̱ ɛ tɔ?
>>nus<< You are free to go.	Lɔri̱ kɛ we du.
>>nus<< You like elephants.	Cetdi kɛ guɔ̲r.
>>nus<< You're real heroes.	Ɛ ji̱n wäth köör mi̱ thi̱ɛl di̱w.
>>nus<< You're real heroes.	Ɛ ji̱n wäth mi̱ kök köök.
>>nus<< You're real heroes.	kɛ yiɛn wäth ti̲ thuɔ̲ɔ̲k.
>>nus<< You're very lonely.	Ɛ ji̱n nikä rɔaadu.
>>nus<< You're very lonely.	Ɛ Ji̱n kärɔadu.
>>nus<< You're very lonely.	Tikä rɔaadu.
>>nus<< Your house is huge.	Duelu ɛ mi̱ di̱i̱t.
>>nus<< All eyes were on me.	Wäŋ di̱aal guic kɛ ni̱ ɣä.
>>nus<< Can you start today?	Dëri̱ jɛ tok ɛn wa̱lɛ ?
>>nus<< Can you start today?	ciɛ dee tok ɛn wal?
>>nus<< Did you believe Tom?	Ɛn Töm puɔ̱nydɛ ci̱ jɛ ŋäth ?
>>nus<< Did you believe Tom?	ŋäthi̲ tömä?
>>nus<< Everybody knows you.	Naath diaal ŋäc kɛn ji̱.
>>nus<< Everybody knows you.	Nɛy diaal ŋäc kɛni̱.
>>nus<< I arrived home late.	Ɣän cä cop kɛ jɔak ciëŋ.
>>nus<< I have work for Tom.	Cä lät kɛ Töm.
>>nus<< I heard a door open.	Cä bap li̱ŋ ɛ lɛ̈p kɛ jɛ.
>>nus<< I like cold weather.	Ɣän nhɔakä ji̱ɔm mi̱ kɔ̱c kɔ̱ɔ̱c
>>nus<< I was really hungry.	Ci̱ bɔth ɛ näk ɛ lɔ̱ŋ.
>>nus<< I won't do that now.	Bä jɛ la̱t ɛn tämɛ.
>>nus<< I'll be your friend.	Bi̱ ɣän dhil la mäthdu.
>>nus<< I'm not always here.	Cän bi̱ tee ɛn gua̱a̱th ɛmɛ.
>>nus<< I'm not always here.	Cän bi̱ tee thi̱n ni̱ ci̱aaŋ.
>>nus<< I'm not saying that.	Ci̱en lar ni̱ɛ nɔmɔ.
>>nus<< I'm only a freshman.	Ɛ ɣän rami̱ kulɛ tok ni̱ jɛ.
>>nus<< I'm still listening.	Kɛ gua̱th ɛmɛ ŋuɔtä li̱äŋ.
>>nus<< I'm still listening.	ŋuɔtä liäŋä.
>>nus<< It wasn't important.	Känɛ buɔ̱m.
>>nus<< Let's go there soon.	Banɛ wä gua̲th ɛmi kɛ gua̲th mi̱ thia̲k.
>>nus<< Many fish are dying.	Meeri̲ rɛc li̲w kɛ.
>>nus<< No bones are broken.	Thiɛlɛ cɔ̲w ti̲ ci̲ töl.
>>nus<< Should we eat first?	De kɔn mi̱äth tok kɛ nhi̱am ?
>>nus<< Should we eat first?	De kɔn böth kɛ nhi̱am kɛ nhi̱am?
>>nus<< Should we eat first?	dee kɔn mi̲th kɛ nhiam?
>>nus<< Sit down over there.	Nyuuri̱ gua̱a̱th ɛmɛ .
>>nus<< Sit down over there.	nyuri̲ gua̲a̲ mi̲i̲.
>>nus<< Somebody intervened.	Tëkɛ rami̱ ci̱ rɔ mat thi̱n.
>>nus<< The soup's very hot.	Cuɛy leth kɛ ɛ lɔ̱ŋ.
>>nus<< This beer is bitter.	Kɔaŋ ɛmɛ kɛc ɛ.
>>nus<< This is good advice.	Jɛn ɛ com mi̱ gɔaa.
>>nus<< This isn't possible.	Nɛmɛ ci̱ɛ thuɔ̱k.
>>nus<< Tom is a gold miner.	Töm jɛn la tëtɛ kɛ da̱pni̱.
>>nus<< Tom is the boss now.	Töm ɛ kuäär ɛn tämɛ.
>>nus<< Tom is the boss now.	Töm ɛ kuäär.
>>nus<< Tom isn't too young.	Töm /cɛ lɛn ŋuot kɛ kuɛ̈.
>>nus<< Tom isn't too young.	Töm /cɛ lɛn ŋuot ɛla ŋuɛ̈t.
>>nus<< Tom may do that now.	Nɛmɛ ci̱ Töm ɛ dee la̱t.
>>nus<< Tom stopped singing.	Töm käpni̲ tuar cuɔ̲ɔ̲ŋ.
>>nus<< Tom tossed the ball.	Töm cɛ kurɛ Yuɔr.
>>nus<< Tom tossed the ball.	Töm cɛ kurɛ yuɔr ɛ thɔl thɔl.
>>nus<< Tom tossed the ball.	Töm cɛ kurɛ yuɔr nyuänkä.
>>nus<< Tom wasn't grieving.	Töm /cɛ te pärä.
>>nus<< Tom went by bicycle.	Töm cɛ wä kɛ Ɣa̱nyjiɛlɛ.
>>nus<< We enjoyed swimming.	Nhɔk nɛy kët.
>>nus<< We have a good team.	Te nɛy buɔ̱n mi̱ gɔaa.
>>nus<< We're teachers, too.	Kɛ kɔn, Lap kɔ ŋi̱ääc bɔ̱.
>>nus<< We're teachers, too.	Kɔn lap kɔ ŋi̱ääc ba̱.
>>nus<< What room is Tom in?	Ɛ duel ɛndiɛn tee Töm thi̱n nɔ?
>>nus<< What's your problem?	ɛŋu la riɛkdu mɔ?
>>nus<< Why are you running?	Ɛ ŋu ri̱ŋi̱ kɛ ji̱ mɔ ?
>>nus<< Women don't like me.	Män ci̱ kɛn ɣä nhɔk ?
>>nus<< You can go home now.	Dëri̱ wee ci̱ëŋ ɛn täämɛ.
>>nus<< You need to lay low.	Göɛ ɣöö dee yuɔth piny.
>>nus<< You should be tired.	Di̠ɛwä jɛ bi̠ cuuc.
>>nus<< You wouldn't get it.	/Ciɛ bi̱ jek.
>>nus<< All you need is time.	Jɛn görɛ ɣöö bi̱ gua̱th ri̱ali̱kä.
>>nus<< Cows have long tails.	Ɣɔ̱ɔ̱k tee kɛ jua̱l ti̱ ba̱r ba̱a̱r.
>>nus<< Did the car look old?	Guɛc kɛ thurbi̲l ɛmɛ ce̲tkɛ dɔaaŋ?
>>nus<< Digging is hard work.	Puɔ̱r jɛn ɛ la̱t mi̱ bum buum.
>>nus<< Digging is hard work.	Tët jɛn ɛ la̱t mi̱ bum buum .
>>nus<< Digging is hard work.	tët ɛla̲t mi̲ bumbum.
>>nus<< Do they know we know?	Kɛn ŋa̱c kɛnɛ i̱ de kɔnɛ ŋäc ?
>>nus<< Don't break my heart.	/Cu lɔcdä to̱l.
>>nus<< Don't try to save me.	Cuɛ ɣɔ̱n ɛn ɣöö bi ɣä luäk.
>>nus<< Don't worry about us.	Cu di̱ɛɛr kɛ kui̱da.
