>>urd<< Hi.	سلام۔
>>urd<< I spent 10 dollars on it.	میں نے اس پہ ۱۰ ڈالڑ خرچ کیئے ہے۔
>>urd<< I taught him how to swim.	میں نے اسے تیرنا سکھایا۔
>>urd<< I taught him how to swim.	میں نے اسے تیراکی سکھائی۔
>>urd<< I traveled around Europe.	میں نے پورے یورپ کا سفر کیا۔
>>urd<< I wonder if he will come.	پتہ نہیں وہ آئے گا کہ نہیں۔
>>urd<< I wonder if he will come.	پتہ نہیں وہ آئِں گے کہ نہیں۔
>>urd<< I'll get Tom to help you.	میں ٹام کو تمہاری مدد کے لئیے بھیجتا ہوں۔
>>urd<< Lincoln won the election.	لنکلن الیکشن جیت گیا۔
>>urd<< Please refer to page ten.	صفحہ نمبر دس سے رجوع کرے۔
>>urd<< Please speak more loudly.	برائے مہربانی تھوڑا اونچا بولے۔
>>urd<< Please speak more loudly.	برائے مہربانی تھوڑا سا اونچا بولے۔
>>urd<< Please speak more loudly.	اونچا بولو۔
>>urd<< Please speak more loudly.	آواز اونچی کرو۔
>>urd<< Please speak more loudly.	زور سے بولو۔
>>urd<< She pushed the door shut.	اس نے دروازہ کو دھکا دے کر بند کیا۔
>>urd<< They have three children.	ان کے تین بچے ہے۔
>>urd<< This is a dead-end alley.	یہ گلی آگے سے بند ہے۔
>>urd<< This will take some time.	اس میں تھوڑا وقت لگے گا۔
>>urd<< This will take some time.	اس میں تھوڑا وقت درکار ہے۔
>>urd<< Tom and Mary are engaged.	ٹام اور مریم کی منگنی ہوگئی ہے۔
>>urd<< Tom came over last night.	ٹام رات کو گھر آیا تھا۔
>>urd<< Tom hopes Mary won't die.	ٹام امید کر رہا ہے کہ مریم نہیں مرے گی۔
>>urd<< Tom hopes Mary won't die.	ٹام کو امید ہے کہ مریم نہیں مرے گی۔
>>urd<< Tom hopes Mary won't die.	ٹام کو امید ہے کہ مریم فوت نہیں ہو گی۔
>>urd<< Tom is wasting resources.	ٹام قیمتی وسائل کا ضیاع کر رہا ہے۔
>>urd<< Tom is wasting resources.	ٹام قیمتی وسائل کو ضائیع کر رہا ہے۔
>>urd<< Tom swears like a sailor.	ٹام بہت گالیاں دیتا ہے۔
>>urd<< Tom would never hurt you.	ٹام کبھی تمہیں دکھ نہیں دے گا۔
>>urd<< What are you going to do?	تم کیا کرو گے؟
>>urd<< What are you going to do?	آپ کیا کریں گے؟
>>urd<< When should I come again?	میں دوبارہ کب آئو؟
>>urd<< Who designed that museum?	وہ عجائب گھر کس نے ڈیزائن کیا ہے؟
>>urd<< You can come at any time.	تم کسی وقت بھی آ سکتے ہو۔
>>urd<< You can come at any time.	آپ کسی وقت بھی آ سکتے ہے۔
>>urd<< Drink less and sleep more.	پیو کم اور سو زیادہ۔
>>urd<< Everyone in Cuba likes it.	کیوبا کے سب لوگوں کو پسند ہیں۔
>>urd<< French bread is delicious.	فرانسیسی ڈبر روٹی بہت مزیدار یے۔
>>urd<< He came straight up to me.	وہ سیدھا میرے پاس آیا۔
>>urd<< How late is the bank open?	بینک کتنی دیر تک کھلا ہے؟
>>urd<< I am trying my level best.	میں اپنی پوری کوشش کر رہا ہوں۔
>>urd<< I play football every day.	میں فٹ بال روزانہ کھیلتا ہوں۔
>>urd<< I play football every day.	میں فٹ بال روزانہ کھیلتی ہوں۔
>>urd<< I suppose that's possible.	میرا خیال ہے یہ ممکن ہے۔
>>urd<< I'll call her immediately.	میں اسے ابھی فون کرتا ہوں۔
>>urd<< I'll explain the incident.	میں اس واقعے کو تفصیل سے سمجھاتا ہوں۔
>>urd<< I'll explain the incident.	میں اس واقعے کو تفصیل سے سمجھاتی ہوں۔
>>urd<< I'll lend you my notebook.	تم میرا دجسٹر لے جانا۔
>>urd<< Is she staying at a hotel?	کیا وہ ہوٹل میں قیام کر رہی ہے؟
>>urd<< It is a brand new product.	یہ ایک بالکل نیا پڑوڈکٹ ہے۔
>>urd<< Open your book to page 59.	اپنی کتاب صفحہ نمبر ۵۹ پہ کھولو۔
>>urd<< Roll up your right sleeve.	اپنی دائیں آستین کو اوپر چڑھائو۔
>>urd<< She had no one to turn to.	اس کے پاس کوئی بھی نہیں تھا جس کے پاس وہ جاتی۔
>>urd<< That'll put you in danger.	یہ آپ کو خطرے میں مبتلا کر سکتا ہے۔
>>urd<< That'll put you in danger.	یہ تم کو خطرے میں مبتلا کر سکتا ہے۔
>>urd<< That's just the way it is.	بس یہ اسی طرح ہے۔
>>urd<< The girl broke into tears.	وہ لڑکی رونے شروع ہو گئی۔
>>urd<< They are more intelligent.	وہ زیادہ ذہین ہے۔
>>urd<< They missed a good chance.	انہوں نے ایک اچھا موقعہ گنوا دیا۔
>>urd<< This is a daily newspaper.	یہ اخبار روزنامہ ہے۔
>>urd<< Tom handed a note to Mary.	ٹام نے مریم کو ایک نوٹ پکرایا۔
>>urd<< Tom leads the soccer team.	ٹام فٹبال ٹیم کو لیڈ کرتا ہے۔
>>urd<< Tom pretended he was sick.	ٹام نے بیمار ہونے کا ڈرامہ کیا۔
>>urd<< We visited our old school.	ہم اپنے پرانے سکول ہو کے آئے۔
>>urd<< Where did you buy flowers?	تم نے پھول کہاں سے خریدے؟
>>urd<< Where did you buy flowers?	آپ نے پھول کہاں سے خریدے؟
>>urd<< You can't have everything.	تمہیں سب کچھ نہیں مل سکتا۔
>>urd<< You can't have everything.	تم سب کچھ حاصل نہیں کر سکتے۔
>>urd<< You have a beautiful name.	بہت خوبصورت نام ہے تمہارا۔
>>urd<< You seem pretty busy here.	تم یہاں کافی مصروف لگ رہے ہو۔
>>urd<< You're wrong in this case.	اس معاملے میں تم غلط ہو۔
>>urd<< You're wrong in this case.	اس معاملے میں آپ غلط ہے۔
>>urd<< Are you drinking green tea?	کیا تم گرین ٹی پی رہے ہو؟
>>urd<< Are you drinking green tea?	کیا تم گرین ٹی پی رہی ہو؟
>>urd<< Are you drinking green tea?	کیا آپ گرین ٹی پی رہے ہے؟
>>urd<< Are you drinking green tea?	کیا آپ گرین ٹی پی رہی ہے؟
>>urd<< Can you answer this riddle?	کیا تم اس پہیلی کا جواب دے سکتے ہو؟
>>urd<< Can you lend me 10,000 yen?	کیا تم مجھے ۱۰۰۰۰ ین ادھار دے سکتے ہو؟
>>urd<< French is my mother tongue.	فرانسیسی میری مادری زبان ہے۔
>>urd<< He was absorbed in thought.	وہ سوچ میں ڈوبا ہوا تھا۔
>>urd<< He was trained as a lawyer.	اس نے وکالت کی تربیت حاصل کی ہے۔
>>urd<< How did you like the party?	تمھیں جشن کیسا لگا؟
>>urd<< I want you to look for Tom.	میں چاہتا ہوں کہ تم ٹام کو ڈھونڈو۔
>>urd<< I'm going to reconsider it.	میں اس پر دوبارہ نظر ثانی کرو گا۔
>>urd<< I'm not afraid of anything.	مجھے کسی بھی چیز سے ڈر نہیں لگتا۔
>>urd<< Is the snake alive or dead?	سانپ زندہ ہے یا مر گیا ہے؟
>>urd<< It's just a little further.	بس تھوڑی دور ہے۔
>>urd<< Poverty drove him to steal.	غربت نے اسے چوری کرنے پر مجبور کیا۔
>>urd<< She had to accept her fate.	اس کو اپنی قسمت قبول کرنا پڑی۔
>>urd<< She had to accept her fate.	ان کو اپنی قسمت قبول کرنا پڑی۔
>>urd<< She showed her album to me.	اس نے اپنی ایلبم مجھے دکھائی۔
>>urd<< Thank you for your present.	تحفہ دینے کا بہت شکریہ۔
>>urd<< That was no ordinary storm.	وہ کوئی عام طافان نہیں تھا۔
>>urd<< That's what I want to know.	یہ ہی تو میں جاننا چاہتا ہوں۔
>>urd<< That's what I want to know.	یہ ہی تو میں جاننا چاہتی ہوں۔
>>urd<< This fruit has a bad taste.	اس پھل کا ذائقہ خراب ہے۔
>>urd<< This is never going to end.	یہ کبھی ختم نہ ہوگی ۔
>>urd<< Tom always wants something.	ٹام کو ہر وقت کچھ نا کچھ چاہئہے ہوتا ہے۔
>>urd<< Tom has to be home by 2:30.	ٹام کو ڈھائی بجے تک گھر پہنچنا ہے۔
>>urd<< Tom is going to get better.	ٹام ٹھیک ہو رہا ہے۔
>>urd<< Tom is going to get better.	ٹام صحت یاب ہو رہا ہے،
>>urd<< Tom is going to get better.	ٹام صحت یابی کی طرف بڑھ رہا ہے۔
>>urd<< Tom is spraying his garden.	ٹام اپنے باغ کو پانی دے رہا ہے۔
>>urd<< Tom survived the car crash.	ٹام کار کے حادثے میں بچ گیا تھا۔
>>urd<< We eat so that we can live.	ہم کھاتے ہیں زندہ رہنے کے لئیے۔
>>urd<< What would you like to eat?	تم کیا کھانا پسند کرو گے؟
>>urd<< What would you like to eat?	آپ کیا کھانا پسند کریں گے؟
>>urd<< What would you like to eat?	آپ کیا کھائیں گے؟
>>urd<< What would you like to eat?	تم کیا کھائو گے؟
>>urd<< Do you understand this book?	تمہیں یہ کتاب سمجھ آئی ہے؟
>>urd<< Don't twist my words around.	میرے الفاظوں کو توڑ مڑوڑ کے پیش نہ کرو۔
>>urd<< Familiarity breeds contempt.	گھر کی مرغی دال برابر۔
>>urd<< He lost all his possessions.	اس کا سارا سامان گم ہو گیا۔
>>urd<< He told me his life's story.	اس نے مجھے اپنی زندگی کی کہانی سنائی۔
>>urd<< He told me his life's story.	انہوں نے مجھے اپنی زندگی کی کہانی سنائی۔
>>urd<< His mistake was intentional.	اس نے یہ غلطی جان بوجھ کے کی ہے۔
>>urd<< How many plates do you want?	تمہیں کتنی پلیٹیں چاہیے؟
>>urd<< How many plates do you want?	آپ کو کتنی پلیٹیں چاہیے؟
>>urd<< I don't need a loan anymore.	مجھے قرض کی اب ضرورت نہیں ہے۔
>>urd<< I don't think he is sincere.	مجھے نہیں لگتا کہ وہ مخلص ہے۔
>>urd<< I lent my friend some money.	میں نے اپنے دوست کو کچھ پیسے ادھار دیے ہے۔
>>urd<< I looked into the next room.	میں نے اگلے کمرے میں دیکھا۔
>>urd<< It is still as cold as ever.	ابھی بھی بہت ٹھنڈ ہے۔
>>urd<< My uncle gave me this watch.	میرے چاچا نے مجھے یہ گھڑی دی تھی۔
>>urd<< My uncle gave me this watch.	میرے تایا نے مجھے یہ گھڑی دی تھی۔
>>urd<< My uncle gave me this watch.	میرے ماموں نے مجھے یہ گھڑی دی تھی۔
>>urd<< My uncle gave me this watch.	میرے پھپھا نے مجھے یہ گھڑی دی تھی۔
>>urd<< My uncle gave me this watch.	میرے خالو نے مجھے یہ گھڑی دی تھی۔
>>urd<< Something's happened to Tom.	ٹام کو کچھ ہو گیا ہے۔
>>urd<< That woman must be his wife.	وہ اس کی بیوی ہو گی۔
>>urd<< That woman must be his wife.	میرا خیال ہے کہ وہ عورت اس کی پیوی ہے۔
>>urd<< That's not the right answer.	یہ صحیح جواب نہیں ہے۔
>>urd<< The animal died from hunger.	وہ جانور بھوک سے مر گیا۔
>>urd<< The dog is blind in one eye.	یہ کتا ایک آنکھ سے اندھا ہے۔
>>urd<< The train was on time today.	آج ریل گاڑی پورے ٹائم پہ تھی۔
>>urd<< The train was on time today.	آج ریل کاڑی وقت پہ پہنج گئی تھی۔
>>urd<< The train was on time today.	آج ریل گاڑی پابندی کے ساتھ پہنچ گئی تھی۔
>>urd<< They hurried to the station.	وہ سٹیشن کی طرف دوڑے۔
>>urd<< This apple tastes very sour.	اس سیب کا ذائقہ بہت کڑوا ہے۔
>>urd<< This house is very spacious.	یہ گھر کافی بڑا ہے۔
>>urd<< Your coat is very beautiful.	تمھارا کوٹ بہت خوبصورت ہے۔
>>urd<< He got up early this morning.	وہ آج صبح جلدی اٹھا تھا۔
>>urd<< He got up early this morning.	وہ آج صبح جلدی اٹھ گیا تھا۔
>>urd<< He isn't able to drive a car.	اسے گاڑی چلانا نہیں آتی۔
>>urd<< He may have missed the train.	لگتا ہے کہ اس کی ٹرین چھٹ گئی ہے۔
>>urd<< He put the book on the shelf.	اس نے کتاب کو الماری میں رکھ دیا۔
>>urd<< He put the book on the shelf.	انہوں نے کتاب کو الماری میں رکھ دیا۔
>>urd<< He should have been a lawyer.	اسے وکیل ہونا چاہئیے تھا۔
>>urd<< He was standing on the floor.	وہ زمین پہ کھڑا ہوا تھا۔
>>urd<< He'll get there in ten hours.	وہ وہاں دس گھنٹے میں پہنچ جائے گا۔
>>urd<< He'll get there in ten hours.	وہ وہاں دس گھنٹے میں پہنچ جائیں گے۔
>>urd<< I am older than your brother.	میں تمہارے بھائی سے بڑا ہوں۔
>>urd<< I am older than your brother.	میں تمہارے بھائی سے بڑی ہوں۔
>>urd<< I am older than your brother.	میں آپ کے بھائی سے بڑا ہوں۔
>>urd<< I am older than your brother.	میں آپ کے بھائی سے بڑی ہوں۔
>>urd<< I bought my sister a new hat.	میں نے اپنی بہن کے لئیے ایک نئی ٹوپی خریدی۔
>>urd<< I bought my sister a new hat.	میں نے اپنی بہن کے لئیے ایک نئی ٹوپی لی ہے۔
>>urd<< I rarely listen to the radio.	میں ریڈہو بہت کم سنتا ہوں۔
>>urd<< I regret to say I can't come.	مجھے افسوس کے ساتھ کہنا پر رہا ہے کہ میں آ نہیں سکوں گا۔
>>urd<< I think I'll come back later.	میں بعد میں آ جائو گا۔
>>urd<< I told him that he was wrong.	میں نے اسے بتایا کہ وہ غلط تھا۔
>>urd<< I told him that he was wrong.	میں نے ان کو بتایا کہ وہ غلط تھے۔
>>urd<< I told you to stop, didn't I?	میں نے تمہیں رکنے کے لئیے کہا تھا کہ نہیں؟
>>urd<< I told you to stop, didn't I?	میں کہ رہا ہوں رکو،
>>urd<< I was tired so I went to bed.	میں تھکا ہوا تھا اسی لئے میں سونے چلا گیا۔
>>urd<< I went swimming in the river.	میں دریا میں تیراکی کرنے گیا تھا۔
>>urd<< I'll get there at about 2:30.	میں ڈھائی بجے وہاں پہنچ جائوں گا۔
>>urd<< It ought to be fine tomorrow.	اسے کل تک ٹھیک ہو جانا چاہئیے۔
>>urd<< May I borrow your dictionary?	کیا میں آپ کی لغت ادھار لے سکتا ہوں؟
>>urd<< My hard drive is almost full.	میری ہارڈ ڈرائیو تقریبا پوری بھڑھ گئی ہے۔
>>urd<< My watch is ten minutes slow.	میری گھڑی دس منٹ پیچھے ہے۔
>>urd<< Prices seem to be going down.	لگتا ہے کہ قیمتیں گر رہی ہیں۔
>>urd<< Rice grows in warm countries.	چاول گرم ممالک میں اگتا ہے۔
>>urd<< She comes from a good family.	وہ ایک اچھے خاندان سے تعلق رکھتی ہے۔
>>urd<< She will come if you ask her.	اگر تم اسے پوچھو گے تو وہ آئی گی۔
>>urd<< Spanish is his mother tongue.	ہسپانوی اس کی مادری زبان ہے۔
>>urd<< Spanish is his mother tongue.	ہسپانوی ان کی مادری زبان ہے۔
>>urd<< That was our first encounter.	وہ ہماری پہلی ملاقات تھی۔
>>urd<< We're eating dinner outdoors.	ہم عشائیہ باہر کر رہے ہیں۔
>>urd<< We're eating dinner outdoors.	ہم رات کا کھانا باہر کھا رہے ہیں۔
>>urd<< What would you like me to do?	تم کیا چاہتے ہو کہ میں کیا کروں؟
>>urd<< Where's my box of chocolates?	میرے چاکلیٹ کا ڈبہ کدھر ہے؟
>>urd<< Where's my box of chocolates?	میرے چاکلیٹ کا ڈبہ کہاں ہے؟
>>urd<< You can go wherever you want.	تم جہاں جانا چاہو جا سکتے ہو۔
>>urd<< You can go wherever you want.	تم جدھر بھی جانا چاہو جا سکتے ہو۔
>>urd<< You can go wherever you want.	تم جہاں جانا چاہو جا سکتی ہو۔
>>urd<< You can go wherever you want.	تم جدھر بھی جانا چاہو جا سکتی ہو۔
>>urd<< You can't back out on me now.	تم اب پیچھے نہیں ہٹ سکتے۔
>>urd<< You have to appear in person.	تمھیں خود حاضری دینی پڑے گی۔
>>urd<< Did you clean your room today?	تم نے اپنے کمرے کی صفائی کی ہے آج؟
>>urd<< French is their mother tongue.	فرانسیسی ان کی مادری زبان ہیں۔
>>urd<< He is the man you can rely on.	یہ وہ بندہ ہے جس پہ آپ بھروسہ کر سکتے ہو۔
>>urd<< He just loves to bully people.	اس کو لوگوں پہ دھونس جمانا پسند ہے۔
>>urd<< He paid the money on the spot.	اس نے اسی وقت پیسے ادا کئیے۔
>>urd<< He'll be there, rain or shine.	سردی ہو یا گرمی، وہ پہنج جائے گا۔
>>urd<< Hold the ball with both hands.	گیند کو دونوں ہاتھوں سے پکڑو۔
>>urd<< I came to Japan two years ago.	میں جاپان دو سال پہلے آیا تھا۔
>>urd<< I don't want to see you again.	میں کبھی دوبارہ تمہاری شکل نہیں دیکھنا چاہتا۔
>>urd<< I don't want to see you again.	میں کبھی دوبارہ تمہاری شکل نہیں دیکھنا چاہتی۔
>>urd<< I have enough money to buy it.	میرے پاس اتنے پیسے ہے کہ میں یہ خرید سکتا ہوں۔
>>urd<< I have enough money to buy it.	میرے پاس یہ خریدنے کے لئیے کافی پیسے ہے۔
>>urd<< I just don't know what to say.	مجھے ابھی نہیں پتا کیا کہنا ہے ۔
>>urd<< I manage to support my family.	میں اپنے خاندان کو سہارا دیتا ہوں۔
>>urd<< I manage to support my family.	میں اپنے خاندان کو سہارا دیتی ہوں۔
>>urd<< I painted the roof light blue.	میں نے چھت پہ ہلکے نیلے رنگ کا پینٹ کیا ہے۔
>>urd<< I think she's an honest woman.	میرا خیال ہے کہ وہ ایک ایماندار عورت ہے۔
>>urd<< I think she's an honest woman.	مجھے لگتا ہے کہ وہ ایک ایماندار عورت ہے۔
>>urd<< I think the wind's picking up.	مجھے لگ رہا ہے کہ آندھی تیز ہو رہی ہے۔
>>urd<< I usually drink a lot of milk.	میں ریادہ تر ڈھیڑ سارا دودھ پیتا ہوں۔
>>urd<< I want you to be mine forever.	میں چاھتا ہوں کے تم ہمیشہ ہمیشہ کے لیے میری ہو جاؤ۔
>>urd<< I'm going to Europe next week.	میں اگلے ہفتے یورپ جا رہا ہوں۔
>>urd<< I'm going to Europe next week.	میں اگلے ہفتے یورپ جا رہی ہوں۔
>>urd<< It's about the size of an egg.	اس کا سائز انڈے جتنا ہے۔
>>urd<< Japanese is our mother tongue.	جاپانی ہماری مادری زبان ہے۔
>>urd<< Refugees hid under the bridge.	پناہ گزین پل کے نیچے چھپ گئے۔
>>urd<< She gave him all of her money.	اس نے اس کو اپنے سارے پیسے دے دیئے۔
>>urd<< The oranges cost 7 pence each.	ہر مسمی کی قیمت ۷ پینس ہے۔
>>urd<< The troops had plenty of arms.	فوج کے پاس کافی اسلحہ تھا۔
>>urd<< They became citizens of Japan.	انہوں نے جاپانی شہریت حاصل کرلی۔
>>urd<< Tom can be contacted by phone.	ٹام سے تم فون پہ رابطہ کر سکتے ہو۔
>>urd<< Tom found Mary reading a book.	ٹام نے مریم کو کتاب پڑھتے ہوِئے دیکھا۔
>>urd<< Tom has a daughter named Mary.	ٹام کی ایک بیٹی ہے مریم۔
>>urd<< Tom has a daughter named Mary.	ٹام کی ایک بیٹی کا نام ہے مریم۔
>>urd<< Tom thanked Mary for her help.	ٹام نے مریم سے اس کی مدد کے لئیے اس کا شکریہ ادا کیا۔
>>urd<< He was tired so he went to bed.	وہ تھکا ہوا تھا اس لئے وہ سونے چلا گیا ہے۔
>>urd<< I am sorry. I am not from here.	میں معذرت چاہتا ہوں۔ میں یہاں سے نہیں ہوں۔
>>urd<< I am sorry. I am not from here.	میں معذرت چاہتا ہوں۔ میں یہاں خود نیا ہوں
>>urd<< I am sorry. I am not from here.	میں معافی چاہتا ہوں۔ میں یہاں خود نیا ہوں۔
>>urd<< I am sorry. I am not from here.	میں معذرت چاہتا ہوں۔ میں یہاں اجنبی ہوں۔
>>urd<< I am sorry. I am not from here.	میں معافی چاہتا ہوں۔ میں یہاں سے نہیں ہوں۔
>>urd<< I am sorry. I am not from here.	میں معافی چاہتا ہوں۔ میں یہاں اجنبی ہوں۔
>>urd<< I didn't know you were so rich.	مجھے نہیں پتا تھا کہ تم اتنے امیر ہو۔
>>urd<< I didn't think you were so old.	میرا نہیں خیال تھا کہ تم اتنے بوڑھے ہو گے۔
>>urd<< I don't think Tom will be back.	میرا نہیں خیال ٹام واپس آئے گا۔
>>urd<< I found a dollar in the street.	مجھے سڑک پہ ایک ڈالر گرا ہوا ملا۔
>>urd<< I have left my car keys behind.	میں اپنی گاڑی کی چابیاں پیچھے چھوڑ آیا ہوں۔
>>urd<< I mistook you for your brother.	میں غلطی سے آپ کو اپنا بھائی سمجھا۔
>>urd<< I wish I'd married another man.	کاش میں نے کسی اور مرد سے شادی کرلی ہوتی۔
>>urd<< I wonder why she is so worried.	پتہ نہیں وہ کیوں اتنی پریشان ہے۔
>>urd<< I'll be there by eight somehow.	میں کسی طرح سے آٹھ بجے پہنچ جائو گا۔
>>urd<< I'll be there by eight somehow.	میں کسی طرح سے آٹھ بجے پہنچ جائو گی۔
>>urd<< I'm a friend of Tom and Mary's.	میں ٹام اور مریم کا دوست ہوں۔
>>urd<< I'm afraid you can't marry her.	تم اس سے شادی نہیں کر سکتے۔
>>urd<< I'm so glad that you succeeded.	میں بہت خوش ہوں تمھاری کامیابی پہ۔
>>urd<< Let me tell you about the case.	میں آپ کو مقدپے کے بارے میں بتاتا ہوں۔
>>urd<< Let me tell you about the case.	میں آپ کو مقدپے کے بارے میں بتاتی ہوں۔
>>urd<< Paris is the capital of France.	پیرس فرانس کا دارلخلافہ ہے۔
>>urd<< Please tell everyone I'm sorry.	برائے مہربانی سب کو بتادو کہ میں شرمندہ ہوں۔
>>urd<< Please tell everyone I'm sorry.	برائے مہربانی سب کو بتادو کہ میں معزرت خواہ ہوں۔
>>urd<< Please wait till he comes back.	برائے مہربانی ان کی واپسی تک انتظار فرمائیے۔
>>urd<< The accounts have been audited.	اکاؤنٹس کو آڈٹ کر دیا گیا ہے۔
>>urd<< The balloon is filled with air.	غبارے میں پوا بھری ہوئی ہے۔
>>urd<< They entered into a discussion.	انہوں نے گفتگو کا آغاز کیا۔
>>urd<< They entered into a discussion.	انہوں نے گفتگو شروع کی۔
>>urd<< Tom and Mary killed themselves.	ٹام اور مریم نے اپنے آپ کو خود قتل کیا۔
>>urd<< Tom and Mary want to come over.	ٹام اور مریم آنا چاہتے ہیں۔
>>urd<< Tom didn't go out last weekend.	ٹام پچھلے ہفتے کہیں نہیں گیا۔
>>urd<< Tom painted a picture for Mary.	ٹام نے مریم کی تصویر بنائی۔
>>urd<< Tom was about to say something.	ٹام کچھ کہنے ہی والا تھا۔
>>urd<< Were you in America last month?	کیا تم پچھلے مہینے امریکا میں تھے؟
>>urd<< Were you in America last month?	کیا آپ پچھلے مہینے امریکا میں تھے؟
>>urd<< What was the weather yesterday?	کل موسم کیسا تھا؟
>>urd<< What was the weather yesterday?	کل کا موسم کیسا تھا؟
>>urd<< A refrigerator keeps meat fresh.	فرج گوشت کو تازہ رکھتا ہے۔
>>urd<< Belgium is not as big as France.	بیلجیم فرانس جتنا برا نہیں۔
>>urd<< Could you call a doctor, please?	کیا تم ڈاکٹر کو بلا سکتے ہو؟
>>urd<< Could you call a doctor, please?	کیا آپ ڈاکٹر کو بلا سکتے ہے؟
>>urd<< Could you call a doctor, please?	کیا تم ڈاکٹر کو بلا سکتی ہو؟
>>urd<< Could you call a doctor, please?	کیا آپ ڈاکٹر کو بلا سکتی ہے؟
>>urd<< He set up a new home in Jamaica.	اس نے جمیکا میں اپنا نیا گھر بنایا ہے۔
>>urd<< How many boys are in this class?	اس کلاس میں کتنے لڑکے ہیں؟
>>urd<< How's it going with your family?	تمھارے گھر والے کیسے ہے؟
>>urd<< How's it going with your family?	آپ کے گھر والے کیسے ہے؟
>>urd<< I assume Tom will be late again.	میرا خیال ہے ٹام پھر سے لیٹ ہو جائے گا
>>urd<< I bought this sweater yesterday.	میں نے یہ سویٹر کل خریدا تھا۔
>>urd<< I can't stand this cold anymore.	مجھ سے یہ ٹھنڈ اور زیادہ برداشت نہیں ہو رہی۔
>>urd<< I couldn't keep from snickering.	میں ہنسے بغیر نہیں رہ سکتا تھا۔
>>urd<< I couldn't keep from snickering.	میں ہنسے بغیر نہیں رہ سکتی تھی۔
>>urd<< I don't know if I have the time.	میں نہیں جانتا اگر میرے پاس وقت ہوا تو ۔
>>urd<< I don't really need another car.	مجھے ایک اور گاڑی کی ضرورت نہیں ہے۔
>>urd<< I will be sixteen next birthday.	میں اپنی اگلی سالگرہ پہ سولہ کی ہو جائو گی۔
>>urd<< I wish I could be in Boston now.	کاش میں ابھی بوسٹن میں ہوتا۔
>>urd<< I'm a childhood friend of Tom's.	میں ٹام کا بچپن کا دوست ہوں۔
>>urd<< I'm a childhood friend of Tom's.	میں ٹام کا لنگوٹیا یار ہوں۔
>>urd<< May I ask for your phone number?	کیا میں آپ کا فون نمبر پوچھ سکتا ہوں؟
>>urd<< My bicycle is in need of repair.	میری بائسیکل کو مرمت کی ضرورت ہے۔
>>urd<< My bicycle needs to be repaired.	میری بائسیکل کو مرمت کی ضرورت ہے۔
>>urd<< That question is easy to answer.	اس سوال کا جواب بہت آسان ہے۔
>>urd<< The day of judgment has arrived.	قیامت آ چکی ہے۔
>>urd<< The doctor is not available now.	ڈاکٹر ابھی موجود نہیں ہے۔
>>urd<< The last train has already gone.	آخری ٹرین جا چکی ہے۔
>>urd<< The rumor turned out to be true.	وہ افواہ سچی نکلی۔
>>urd<< The sun gives us heat and light.	سورج سے ہمیں حرارت اور روشنی ملتی ہے۔
>>urd<< There wasn't a cloud in the sky.	آسمان میں ایک بھی بادل نہیں تھا۔
>>urd<< There wasn't a cloud in the sky.	آسمان میں ایک بھی بادل نہیں ہے۔
>>urd<< This watch needs to be repaired.	اس گھڑی کو مرمت کی ضرورت ہے۔
>>urd<< Why don't we drop by to see her?	کیوں نہ ہم اسے ملنے چلے؟
>>urd<< All you have to do is to join us.	تمھیں بس اب کرنا یہ ہے کہ ہمارے ساتھ شامل ہو جانا ہے۔
>>urd<< Did you see grandpa's wheelchair?	تم نے دادا ابو کی ویل چیئر دیکھی ہے؟
>>urd<< Did you see grandpa's wheelchair?	تم نے نانا کی ویل چیئر دیکھی ہے؟
>>urd<< Did you see grandpa's wheelchair?	آپ نے دادا ابو کی ویل چیئر دیکھی ہے؟
>>urd<< Did you see grandpa's wheelchair?	آپ نے نانا ابو کی ویل چیئر دیکھی ہے؟
>>urd<< Do you have a table on the patio?	تمہیارے برآمدے میں میز ہے؟
>>urd<< Has anybody ever thought of this?	کیا کبھی کسی نے اس کے بارے میں سوچا ہے؟
>>urd<< He has been working all day long.	وہ سارا دن کام کوتا رہا ہے۔
>>urd<< He has been working all day long.	وہ پورا دن مصروف رہا ہے۔
>>urd<< I clean my room almost every day.	میں اپنا کمرہ روزانہ صاف کرتا ہوں۔
>>urd<< I made a bad mistake on the test.	میں نے امتحان میں ایک غلطی کر دی ہے۔
>>urd<< I waited for Tom for a long time.	میں نے ٹام کا کافی دیر انتظار کیا۔
>>urd<< I waited for Tom for a long time.	میں نے ٹام کا کافی دیر تک انتظار کیا۔
>>urd<< I will choose them for my mother.	میں یہ اپنی والدہ کے لیے چنوں گا۔
>>urd<< I'll be lonely after you've gone.	میں تمھارے جانے کے بعد اکیلی ہو جائو گی۔
>>urd<< I'll be lonely after you've gone.	میں تمھارے جانے کے بعد اکیلا ہو جائو گا۔
>>urd<< Is this your first time in Japan?	کیا تم پہلی دفعہ جاپان آئے ہو؟
>>urd<< Is this your first time in Japan?	کیا تم پہلی دفعہ جاپان آئی ہو؟
>>urd<< Is this your first time in Japan?	کیا آپ پہلی دفعہ جاپان آئے ہے؟
>>urd<< Is this your first time in Japan?	کیا آپ پہلی دفعہ جاپان آئی ہے؟
>>urd<< None of the children are sitting.	کوئی بھی بچہ نہیں بیٹھا ہوا۔
>>urd<< She doesn't smile for me anymore.	وہ میرے لیئے اب مسکراتی نہیں ہے۔
>>urd<< She made thirty thousand dollars.	اس نے تیس ہزار ڈالر کمائے۔
