>>war<< Hello!	¡Kumusta!
>>war<< Tom isn't going to prison.	Diri mapripriso hi Tom.
>>war<< Tom never listens to Mary.	Diri namamati hi Tom kan Mary.
>>war<< Tom never listens to Mary.	Waray pagbali ni Tom kan Mary.
>>war<< Tom passed away on Monday.	Namatay hi Tom han Lunes.
>>war<< Tom passed away on Monday.	Tumalikod ha kadayonan hi Tom han Lunes.
>>war<< Tom probably doesn't care.	Waráy gud ada labot ni Tom.
>>war<< Tom was shot in the chest.	Napusil hi Tom ha dughan.
>>war<< Tom wasn't just a teacher.	Diri la magturutdo hi Tom.
>>war<< Tom wasn't just a teacher.	Hi Tom diri la maestro.
>>war<< We've had some good times.	Marisyo la kami.
>>war<< What did you think of Tom?	Ano an imo ginhuhuna-huna kan Tom?
>>war<< What do you need that for?	Kay-ano kinahanglanon nimo iton?
>>war<< What do you need that for?	Para ano man iton?
>>war<< Where were you last night?	¿Nakaín ka kagab-i?
>>war<< Will you show me the book?	¿Igpapakítà mo bà ha akon it libro?
>>war<< You are no longer a child.	Diri ka na bata.
>>war<< You can't hurt me anymore.	Diri mo na ako mapapa-ul-ulan.
>>war<< You should be helping Tom.	Ginbubuligan mo unta hi Tom.
>>war<< You should be helping Tom.	Dapat ginbubuligan nimo hi Tom.
>>war<< You should be proud of me.	Ángay mo ak' igkahambog.
>>war<< Your lives will be spared.	Matatalwas iton iyo kinabuhi.
>>war<< Did you call me last night?	¿Gintawagan mo ako kagab-i?
>>war<< Do you remember how we met?	¿Nakahinúmdom ka bà kun tiunan-o hi kitá nagkakilala?
>>war<< Do you think you can do it?	¿It' im' pag-abat mahimo mo?
>>war<< Don't worry, I can take it.	Ayaw kabaraka, ilob ko iton.
>>war<< Don't worry, I can take it.	Ayaw kabaraka, kaya ko iton.
>>war<< He is in front of the door.	Áada hiyá hiton atubángan hiton purtahán.
>>war<< I know nothing about music.	Waray ko maaram ha musika.
>>war<< I lost my driver's license.	Nawará ko an ákòn lisensya pag-drayb.
>>war<< I returned his book to him.	Gin-uli ko na an iya libro ha iya.
>>war<< I think you don't trust me.	Pag-abat ko diri ka natapod ha akon.
>>war<< I wish I could talk to you.	Unta nakakagkayakan ako ha imo.
>>war<< I'll complain if I want to.	Mareklamo ako kun karuyagon ko.
>>war<< I'm not sure what happened.	Dírì ak' sigurado ano an nahitabo.
>>war<< I'm really angry right now.	Nag-iisog gud akó yanâ.
>>war<< I've had too much to drink.	Subra-sobra an akon irimnon.
>>war<< No one trusts him any more.	Waray na natapud ha iya.
>>war<< Open your book to page ten.	Abrehi iton imo libro ha pahina dyes.
>>war<< Open your book to page ten.	Paklia iton imo libro ha ika-dyes nga pahina.
>>war<< She plays tennis every day.	Nagmumulay hiya hin tennis kada adlaw.
>>war<< The engine would not start.	Iton makina diri tig-andar.
>>war<< They probably hate me, too.	Bangin iguinkakadiri gihap nira ako.
>>war<< This medicine may cure him.	Bángin makatambal ini nga bulong ha íya.
>>war<< Tom says that won't happen.	Yinakan ni Tom dírì it' mahihitabo.
>>war<< Tom thought Mary was alone.	Kasiring ni Tom nga nag-uusahan la hi Mary.
>>war<< Wait until I'm done eating.	Hulát nga mahuman akó káon.
>>war<< We need actions, not words.	Kinahánglan ta hin gios, dírì mga pulong.
>>war<< What newspaper do you read?	¿Ano nga diyaryo it ímo ginbábása?
>>war<< What's up with you and Tom?	Ano iton may-ada ha iyo ni Tom?
>>war<< When are you picking it up?	¿San-o mo it' kuhaon?
>>war<< When are you picking it up?	¿San-o mo man it' hapiton?
>>war<< You are taller than she is.	Haruhataas ka ha íya.
>>war<< Am I going to need a lawyer?	Manginginahanglan ako hin abogado?
>>war<< Can you take a little break?	¿Puydi ka pumahuway hin gutìay anay?
>>war<< Didn't you hear what I said?	¿Waray mo kabatii an akun ginsiring?
>>war<< Didn't you hear what I said?	¿Waray mo kabatii an akun ginyakan?
>>war<< Don't push the wrong button.	Ayaw tulpuka it sayup na tulpukan.
>>war<< Don't you like Chinese food?	¿Diri mo karuyag it' pagkaon hiton mga Intsik?
>>war<< Everyone refused to help me.	Waray bumulig ha akon.
>>war<< Everyone refused to help me.	Ngatanan dumiri pagbulig ha akon.
>>war<< He was delighted to see you.	Nahingaruyag hiyá nga nakit-an ka.
>>war<< He was delighted to see you.	Nahingaruyag hiyá pagkita ha im'.
>>war<< I crossed the river by boat.	Baluto an akon itinabok han salog.
>>war<< I found this under your bed.	Nabilngan ko iní ha sírong han imo higdaan.
>>war<< I found this under your bed.	Nabilngan ko iní ha sírong han imo katre.
>>war<< I found this under your bed.	Nabilngan nakon iní ha sírong han imo higdaan.
>>war<< I found this under your bed.	Nabilngan nakon iní ha sírong han imo katre.
>>war<< I just want you to be happy.	Karuyag ko la nga magmalipayon ka.
>>war<< I wanted to see you tonight.	Karuyag ko ikaw makit'an yana nga gab-i.
>>war<< I won't go unless I have to.	Diri ako makadtu labot la hin kinahanglanun ko.
>>war<< I'll be back by six o'clock.	Mabálik ako hit' ala-sais.
>>war<< I'm the one who rescued you.	Ako an bumulig ha imo.
>>war<< I'm the one who rescued you.	Ako an nag-salbar ha imo.
>>war<< Is there anyone in the room?	¿May-ada ba iba na tawo ha imo kwarto?
>>war<< Let's dine out for a change.	Pangaon kitá gawas pára iba liwát.
>>war<< Make sure you do that again.	Siguradoha nga himuon mo iton utro.
>>war<< My wife is the boss at home.	Iton akon asawa iton mayor ha balay.
>>war<< No doubt he will come later.	Waráy láin maabot hiyá niyan.
>>war<< No doubt he will come later.	Sigurado maabot hiyá niyan.
>>war<< No doubt she will come soon.	Waráy lain hiyá it' masunod.
>>war<< The coffee is only lukewarm.	Mapaso-paso la iton kape.
>>war<< The dog is trying to escape.	Naikakalagiw an áyam.
>>war<< The dog is trying to escape.	Nakikalagiw an idô.
>>war<< There's no life on the moon.	Waray kinabuhi ha bulan.
>>war<< There's no life on the moon.	Waray may kinabuhi ha bulan.
>>war<< Tom didn't know how to swim.	Diri maaram lumangoy hi Tom.
>>war<< Tom doesn't have to do this.	Diri ini kinahanglan himuon ni Tom.
>>war<< Tom gave me the chicken pox.	Guintapnan ak hangga ni Tom.
>>war<< Tom handed Mary a brown bag.	Ginhatag ni Tom kan Mary an brawn nga bag.
>>war<< Tom has left Boston already.	Lumakat na ha Boston hi Tom.
>>war<< Tom is a compulsive gambler.	Parag-huygo hi Tom.
>>war<< Tom is coming over tomorrow.	Hi Tom mapakanhi buwas.
>>war<< Tom is coming over tomorrow.	Mapakanhi hi Tom buwas.
>>war<< Tom is going to be a doctor.	Hi Tom magigin doktor.
>>war<< We've arrived a little late.	Medyo urhi kami na umabot.
>>war<< All my friends will be there.	Ngatanan iton ákòn mga sangkay mapakanhi.
>>war<< Can I catch a taxi near here?	¿Makakakúha akó hin taxi dínhi dapit?
>>war<< Can I catch a taxi near here?	¿Puyde akó dínhi dapit makakúha hin taxi?
>>war<< Can I catch a taxi near here?	¿Puyde akó makakúha hin taxi harani nganhi?
>>war<< Can I have a moment with you?	¿Púydi ka makaéstorya?
>>war<< Do you want a spot of coffee?	¿Karuyag mo hin kape?
>>war<< He is good-looking and smart.	May-hitsura niya ngan baltok.
>>war<< How many mangoes do you want?	¿Pira nga mangga iton imo karuyag?
>>war<< I can't just leave Tom there.	Dírì ko la puydi bayaan hi Tom dídto.
>>war<< I can't wait to get in there.	Dírì ak' nakakahulat nga mahingadto na.
>>war<< I cleaned up after the party.	Nanhámis akó katapos han karisyohan.
>>war<< I don't have time to explain.	Waray ko panahón hin pag-explikar.
>>war<< I hope I'm not bothering you.	Unta diri ako nakakatuyaw ha imo.
>>war<< I know where this is leading.	Maaram ako kun tipakain ini.
>>war<< I never meant to deceive you.	Diri ko gad panuyoan nga uwaton ka.
>>war<< I wonder why Tom is so angry.	Nausa ako kay-ano dawla duro't isog ni Tom.
>>war<< I'll try to be there by 2:30.	Proybahan ko mahiabot ngadto hiton 2:30.
>>war<< I'll try to be there by 2:30.	Testingan ko makakadto hit' 2:30.
>>war<< I'm a little behind schedule.	Nauurhi ako hin gutìay hit' eskedyul.
>>war<< It's an answer to her letter.	Baton iton ha iya surat.
>>war<< Mozart's life was very short.	Halígut la an kinabúhì ni Mozart.
>>war<< My eyesight is getting worse.	Iton ákòn pangitaan nagtitiraot.
>>war<< One must love one's neighbor.	An usá kinahanglan higugmaun an iya anyaw.
>>war<< Personally, I liked this one.	Ha ákòn la, karuyag ko inin.
>>war<< She began to talk to the dog.	Nagtikáng hiya pakigyakan han áyam.
>>war<< She put on her hat to go out.	Ginsul-ot niya an íya kalo pára gumawas.
>>war<< Tell us about your childhood.	Sumáti kami hit' im' anák.
>>war<< Tell us about your childhood.	Estoryahi kami hit' im' anák.
>>war<< That's the part I liked best.	Amo iton iton akon karuyag gud nga parte.
>>war<< The two men were not related.	Diri magkaano-ano an duha nga lalaki.
>>war<< These cars are made in Japan.	Ginhímò ha Japan iní nga mga awto.
>>war<< These cars are made in Japan.	Ginhímò ha Hapón iní nga mga awto.
>>war<< This is the most interesting.	Amo ini it pinaka-ganado.
>>war<< Tom lives in a small village.	Na-ukoy hi Tom hin gutíay nga baranggay.
>>war<< Tom shouldn't have said that.	Kunta waray ádto sidnga ni Tom.
>>war<< Tom's response was immediate.	Dayón an batón ni Tom.
>>war<< We certainly can't blame you.	Diri gud namon ikaw puydi sayupon.
>>war<< We could see nothing but fog.	Waray namon nakikita kundi burong.
>>war<< We're going to the mountains.	Makadto kami ha mga bukid.
>>war<< We're going to the mountains.	Tipakadto kami ha kabub'kiran.
>>war<< Who told you that I was sick?	¿Hin-o an nagsumát haim nga masakít ako?
>>war<< Who told you that I was sick?	¿Hin-o an nagsumàt haim nga nagkasakít ako?
>>war<< You're lucky Tom didn't come.	Swerte mo waray mapakanhi hi Tom.
>>war<< Do you want to know the truth?	Karuyag mo maadman iton kamatuoran?
>>war<< He took a taxi to the station.	Nag-taksi hiya pa-estasyon.
>>war<< He was cross with his student.	Nag-iisog hiya ha iya mga estudyanti.
>>war<< How do you think you're doing?	¿It imo pag-abat maano it imo ginbubuhat?
>>war<< I am very glad school is over.	Malipáyon gud ak' nga human na an eskuyla.
>>war<< I ate too much food yesterday.	Ura-ura kadamo an pagkáon nga ákòn ginkaon kakulop..
>>war<< I can eat anything but onions.	Nakaun ako bisan ano ayaw la iton sibuyas.
>>war<< I never promised you anything.	Waray gud hi akó magsáad ha imo hin bisan anó.
>>war<< I won't tolerate any mistakes.	Diri ko papasagdan iton bisan ano nga sayop.
>>war<< It was your mistake, not mine.	Sayup nimo adto, diri akon.
>>war<< Mary is respected by everyone.	Respetado hi Mary hit' ngatanan.
>>war<< She will be here this evening.	Aanhi hiya niyan nga gab-i.
>>war<< She will be here this evening.	Makanhi hiya niyan nga gab-i.
>>war<< The day turned out to be fine.	Nagin maúpay an ádlaw.
>>war<< The day turned out to be fine.	An kaádlawon naging maúpay.
>>war<< The women are very supportive.	Masu'suportahon iton kababayin-an.
>>war<< This house is mine, not yours.	Akon iní nga balay, dírì imo.
>>war<< Tom didn't go home last night.	Waray umuli hi Tom kagab-i.
>>war<< Tom does what's right for him.	Guinbuhat ni Tom an ámo para ha iya.
>>war<< Tom is leaving in the morning.	Malakat hi Tom hiton aga.
>>war<< Tom is leaving in the morning.	Malarga hi Tom hiton aga.
>>war<< Tom said Mary wasn't his type.	Siring ni Tom, diri daw sugad kan Mary it iya karuyag.
>>war<< Tom thought Mary wasn't happy.	Kasiring ni Tom diri malipayon hi Mary.
>>war<< Tom walked into the drugstore.	Sumakob ha boteka hi Tom.
>>war<< We need to be more aggressive.	Kinahanglan naton magin aruagresibo.
>>war<< We need to be more aggressive.	Kinahanglan naton magin mas agresibo.
>>war<< We'll do it when we have time.	Buhaton namon iton kun makapanahon kami.
>>war<< Well, what's the problem, Tom?	¿Ano man it problema Tom?
>>war<< What did you think I told Tom?	¿Ano it imo hunahuna an ginsumat ko kan Tom?
>>war<< What made you do what you did?	¿Áno an nagduso haim himuon an imo binúhat?
>>war<< You don't really know me, Tom.	Diri mo gud ako kilala, Tom.
>>war<< You may get it free of charge.	Puydi niyo iton makuha nga waray bayad.
>>war<< You may get it free of charge.	Puydi mo iton makuha nga libre.
>>war<< You're sick. You have to rest.	Masakít ka. Kinahánglan mo pumahoway.
>>war<< All the other windows are open.	Abredo an iba nga mga bintana.
>>war<< Are you interested in politics?	Interesado ka hiton politika?
>>war<< Do you want to speak privately?	Karuyag mo kita la iton mag-estorya?
>>war<< Don't risk insulting your boss.	Ayaw pataka pag-insultuha tim mayor.
>>war<< Don't risk insulting your boss.	Ayaw pataka pag-insultuha it imo mayor.
>>war<< Get the bicycle out of the way.	Ig-iwas iton biseklita ha aragian.
>>war<< Get the bicycle out of the way.	Iwasa iton bisekleta ha aragian.
>>war<< He is pleased with his new car.	Kontento hiya han iya bag-o nga kotse.
>>war<< He is pleased with his new car.	Kontento hiya hiton iya bag-o nga kotse.
>>war<< How do we know it isn't a trap?	Panan-o man naton masasabutan nga diri iton patibong?
>>war<< I can't put up with that noise.	Dírì ako makailob hiton nga aringása.
>>war<< I don't like to talk about Tom.	Nadiri ako pag-estorya kan Tom.
>>war<< I know that Tom didn't do that.	Maaram ako nga waray iton himua ni Tom.
>>war<< I showed my ticket at the door.	Iginpakita ko an akon ticket ha may portahan.
>>war<< I wish I'd bought that bicycle.	Unta ginpalit ko nala iton nga bisikleta.
>>war<< Let me think for just a second.	Anay daw.
>>war<< Let me think for just a second.	Anay ha.
>>war<< Please follow the school rules.	Sunda iton mga balaud hiton eskuylahan.
>>war<< Tell me again why you like Tom.	Sumati ako utro kay ano karuyag mo hi Tom.
>>war<< Tell me again why you like Tom.	Estoryahi akoak utro kay ano naruruyag ka kan Tom.
>>war<< Tell me again why you like Tom.	Saysayi ako utro rason hiton imo pagkaruyag kan Tom.
>>war<< Tell me how you feel about Tom.	Sumati ako ano it imo pag-abat kan Tom.
>>war<< Tell me how you feel about Tom.	Sumati ako ano it imo masisiring kan Tom.
>>war<< Tom helped me find my way here.	Binuligan ak' ni Tom han pakanhi.
>>war<< Tom helped me find my way here.	Binuligan ak' ni Tom pamiling han dálan pagkánhi.
>>war<< Tom is very arrogant, isn't he?	Duro ka-arogante hi Tom ano?
>>war<< Tom isn't wearing a belt today.	Diri nakapaha hi Tom yana nga adlaw.
>>war<< Tom isn't wearing a belt today.	Diri nakasul-ot hin paha yana hi Tom.
>>war<< Tom isn't wearing a belt today.	Waray magpaha hi Tom yana nga adlaw.
>>war<< Tom needs somebody to help him.	Kinahanglan ni Tom nga buligan hiya hin iba.
>>war<< Tom promised to tell the truth.	Nagsaad hi Tom nga isumat it' kamatuoran.
>>war<< Tom said he wanted to be early.	Yakan ni Tom nga karuyag niya magin temprano.
>>war<< Tom walked toward the far wall.	Naglakat hi Tom pakadto han harayu na pader.
>>war<< Tom will go to Boston tomorrow.	Makadto hi Tom ha Boston buwas.
>>war<< Tom will go to Boston tomorrow.	Makadto ha Boston buwas hi Tom.
>>war<< Tom will go to Boston tomorrow.	Buwas mapa-Boston hi Tom.
>>war<< Where are you guys heading now?	¿Mapakaín naman kamó yanâ?
>>war<< Why did you buy all this stuff?	Kay ano ginpinanmalit mo ini?
>>war<< A poor workman blames his tools.	Iton pobre nga trabahador ginbabasol an iya mga gamit.
>>war<< A poor workman blames his tools.	An pobre nga trabahador ginbabasol an iya mga gamit.
>>war<< Are we likely to arrive in time?	¿Makaarabot kitá ha oras?
>>war<< Didn't Tom tell you I was dying?	¿Waray igsumat ha imo ni Tom nga naghihimatay na ako?
>>war<< Fresh vegetables promote health.	Nakakaupay ha lawas iton presko nga mga utanon.
>>war<< I didn't kiss him. He kissed me.	Waray ko hiya haruki. Hiya an humarok ha akon.
>>war<< I don't want to forget anything.	Diri ko karuyag makalim'tan iton bisan ano.
>>war<< I had a telephone call from her.	May-ada akó táwag tikang ha íya.
>>war<< I haven't washed the dishes yet.	Waray pa ako manhugas han plato.
>>war<< I pretended I didn't understand.	Nagpanggap ako nga diri ako nakakasabot.
>>war<< I want to get in touch with her.	Karuyag ko hiya ma-kontak.
>>war<< I'm roughly the same age as you.	Baga'n magka-edad la kita.
>>war<< My dog follows me wherever I go.	Sige iton suno-sunod hiton akon ayam bisan ako mapakain.
>>war<< She introduced me to her sister.	Iginpakilala niya ako ha iya bugto nga babaye.
>>war<< That's a very personal question.	Personal hin duro iton na pakiana.
>>war<< The ship slowly started to move.	Hinay-hinay gumikan an barko.
>>war<< The train has just arrived here.	Umabot pala an tren nganhi.
>>war<< This is all I ever wanted to do.	Amu ini an akun karuyag gud himuon.
>>war<< This matter doesn't concern you.	Waray hini nga butang labut ha imo.
>>war<< This stool needs to be repaired.	Kinahanglan aydon ini nga lingkúran.
>>war<< Tom is afraid of his own shadow.	Nahadlok hi Tom hiton iya kalugaringon lambong.
>>war<< Tom needs the money desperately.	Duro gud iton panginahanglanon ni Tom hin kwarta.
>>war<< Tom quickly learned how to swim.	Nahibaro dayon paglangoy hi Tom.
>>war<< We have other things to discuss.	May-ada naton iba nga mga butang nga pag-eerestoryahan.
>>war<< What happened to you last night?	¿Anó an nahinabô ha imo kagab-i?
>>war<< Why doesn't Tom want to do that?	Kay-ano nadiri hi Tom nga himuon iton?
>>war<< You may go home now if you like.	Puyde ka na umuli yana kun karuyagon nimo.
>>war<< You must really like doing that.	Karuyag mo gud talaga iton buhaton.
>>war<< Are there many museums in Boston?	Damo iton museyo ha Boston?
>>war<< Do you know who wrote this novel?	¿Maáram ka kun hin-o an nagsurat hiní nga nobela?
>>war<< Don't get that close to the fire.	Ayáw paghiraní ha kalayo.
>>war<< Don't take it quite so literally.	Ayaw iton igliteral.
>>war<< He can't afford to buy a new car.	Dírì niya apong makapalit hin bag-o nga kotse.
>>war<< He can't afford to buy a new car.	Dírì niya sadang makapalit hin bág-o nga kotse.
>>war<< He can't afford to buy a new car.	Dírì hiyá makaparalit hin bág-o nga kotse.
>>war<< He pressed the button and waited.	Ginpindut niya an pindutan ngan naghulat.
>>war<< He was taken away by a policeman.	Gindara hiyá hin pulis.
>>war<< I already talked to this student.	Nakig-estorya na ako hiton nga estudyante.
>>war<< I don't know what to do tomorrow.	Diri ako maaram hiton bubuhaton buwas.
>>war<< I don't owe Tom any explanations.	Diri ako obligado mag-eksplikar kan Tom.
>>war<< I don't want to talk about music.	Nadiri akó makig-estorya bahín hit' musika.
>>war<< I have a lot of responsibilities.	Damo iton akon responsibilidad.
>>war<< I told you I didn't see anything.	Siríng ko ha imo waray ko nakit-an.
>>war<< I'm assuming this is your father.	It ak pag-ábat amo inin hiya it imu tatay.
>>war<< Is it possible to cry underwater?	Possible ba tumuok ha ilarum hiton tubig?
>>war<< Let's not talk about my problems.	Ayaw kita pag-estorya mahitungod tak mga problema.
>>war<< Nobody's accusing you of a crime.	Waray nag-aakusar haim hin krimen.
>>war<< Now tell us what we want to know.	Yana sumati kami ano iton amon karuyag maaraman.
>>war<< Please breathe through your nose.	Ginhawa ha imo irong.
>>war<< Please excuse my bad handwriting.	Pasensiya la hit ak maraksut nga agi.
>>war<< That's a waste of time and money.	Kinaragkarag la iton hit' panahón ngan kwárta.
>>war<< The meeting took place yesterday.	Kakulop an kirigta.
>>war<< The meeting took place yesterday.	Kakulop nahinabô an kirigta.
>>war<< The sun will set tonight at 6:03.	Mawara na it adlaw niyan na alas sais tres.
>>war<< They shook hands with each other.	Naglamano hira.
>>war<< This doll is a gift from my aunt.	In' nga munyika regalo t'ak' dada.
>>war<< This doll is a gift from my aunt.	Inin nga munyika regalo hit akun dada.
>>war<< Tom has been missing three weeks.	Tuló na kasimana nawawara hi Tom.
>>war<< Tom has been sick a lot recently.	Masakitnon han yana hi Tom.
>>war<< Tom seemed very tired, didn't he?	Baga hin ura-ura kaguol ni Tom, anó?
>>war<< Try to get here on time tomorrow.	Pruybahi pakadi ha amo nga oras buwas.
>>war<< Try to get here on time tomorrow.	Pruybahi pagkanhi hin isakto nga oras buwas.
>>war<< What's it we're waiting for here?	Áno iton áton guinhuhulat dínhi?
>>war<< Who was this machine invented by?	Hin-o an nag-imbento hini nga makina?
>>war<< You didn't need to buy this book.	Diri mo kinahanglanun palitun iton nga libro.
>>war<< You'll be hearing from my lawyer.	Magmamaáram ka agi hit akun abogado.
>>war<< Can you guys meet me in the lobby?	¿Puydi akó niyo igkita ha may lobby?
>>war<< Do you know where the bathroom is?	Maaram ka kun hain iton banyo?
>>war<< Do you like to travel by yourself?	Karuyag mo magbyahe nga ikaw la?
>>war<< Doing that is your responsibility.	Responsibilidad mo iton himuon.
>>war<< Even if it rains, he'll play golf.	Bísan pa umuran, magmulay la gihapon hiyá hin golf.
>>war<< He will go to New York next month.	Makadto hiyá ha New York sunod nga bulan.
>>war<< He will go to New York next month.	Makadto hiyá ha Nueva York sunod nga bulan.
>>war<< How much did the tickets cost you?	Pinira mo iton nga mga tickets?
>>war<< I don't deserve to be on the team.	Diri ako naangay mapabulig han grupo.
>>war<< I remember the night Tom met Mary.	Nahinumdom akó han gab-i nga nakilala ni Tom hi Mary.
>>war<< I think I know why Tom isn't here.	Baga'n maaram ako kay-ano waray ngahi hi Tom.
>>war<< I'd rather not talk about it here.	Gabay nala ako humuyo pagyakan mahitungod hiton dinhi.
>>war<< If you do that, Tom will be happy.	Magigin malipayon hi Tom kun buhaton mo iton?
>>war<< Is this your first visit to Japan?	¿Úna mo inin nga pagbisita ha Japan?
>>war<< It couldn't just be a coincidence.	Diri gudla adto nahituman la.
>>war<< It's morning here in my time zone.	Aga yana ngadi ha amon.
>>war<< It's morning here in my time zone.	Aga yana ngadi ha amon time zone.
>>war<< My son is ashamed of his behavior.	It ak' anák naawod hiton íya batásan.
>>war<< The same thing happened in Boston.	Parehas hiton an nahitabo ha Boston.
>>war<< There's definitely something else.	May áda gud iba pa.
>>war<< They haven't told me anything yet.	Waray pa ako nira sumati hin bisan ano.
>>war<< Tom acted like he owned the place.	Gumios hi Tom nga baga hin hiyá it tag-iya hit' lugár.
>>war<< Tom doesn't know what to do first.	Dírì maaram hi Tom kun áno iton una nga bubuháton.
>>war<< Tom found the exercise exhausting.	Makapuy ni Tom an pag-ehersisyo.
>>war<< Tom is complaining to the manager.	Nareklamo hi Tom ha íya mayor.
>>war<< Tom says he can't believe anybody.	Yakan ni Tom diri hiya matuod ha bisan hin-o.
>>war<< We have nothing to complain about.	Waráy namon sadang reklamohan.
>>war<< We need to put a stop to this now.	Kinahanglan naton paundangon na ini yna.
>>war<< We need to put a stop to this now.	Kinahanglan huyoan ta na ini.
>>war<< We're going to have fun with this.	Marisyu ini.
>>war<< What time is it now by your watch?	Ano iton oras yana ha imo relo?
>>war<< Who'll take care of your cat then?	¿Hin-o man ngay-an it mag-aataman hit imo misay?
>>war<< Who'll take care of your cat then?	¿Hin-o man ngay-an it mag-aataman hit imo uding?
>>war<< You don't know what it is, do you?	¿Dírì ka maaram kun áno iton, anó?
>>war<< You want to leave here, don't you?	Karúyag mo umiwas dinhi, ¿di' bà?
>>war<< Are you going to the class reunion?	¿Makadto ka hiton reyunyon hit' kláse?
>>war<< Don't worry. I'll take care of you.	Ayáw kabaraka. Babantayan ko ikaw.
>>war<< Don't worry. I'll take care of you.	Ayáw kabaraka. Atamanon ko ikáw.
>>war<< First we'll eat, and then we'll go.	Una pangaun anay kita, tapos lakát na kita.
>>war<< First we'll eat, and then we'll go.	Pangaun anay kita, tapos larga na kita.
>>war<< First we'll eat, and then we'll go.	Mangaun anay kita,.tapos kaná na.
>>war<< He admitted that he stole the gold.	Gin-amin niya nga ginkáwat niya an bulawan.
>>war<< He handed the salesclerk the money.	Ginhatag niya an kwarta ha klerk.
>>war<< He is not interested in art at all.	Waray gud niya hílig hin arte.
>>war<< He lacks the talent to be an actor.	Kulang hiya han talento para maging artista.
>>war<< I am tired and I want to go to bed.	Guol hi akó ngan karúyag ko nga kumatúrog.
>>war<< I can't do this without Tom's help.	Diri ko ini mahihimo kun diri ako buligan ni Tom.
>>war<< I had to wait until Tom was asleep.	Kinahanglan ko maghulat ngada hiton mahingaturog hi Tom.
>>war<< I recognized your voice right away.	Nakilal'an ko dayón an imo tíngog.
>>war<< I thought you'd be glad to see Tom.	Kasiring ko magmamalipayon ka nga makit'an hi Tom.
>>war<< I wanted to help Tom pay his bills.	Karuyag ko buligan hi Tom hit' íya mga baraydan.
>>war<< I'd have to be an idiot to do that.	Agô daw ak' kun himuon ko ádto.
>>war<< I'm going to lie down for a minute.	Mahigda ako mausá la kaminuto.
>>war<< I've never actually been to Boston.	Waray pa ak makakada ha Boston.
>>war<< Put the chair in front of the desk.	Iton lingkuran ig-printe ha lamesa.
>>war<< She was similar to me in many ways.	Paropariho hiyá ha ákòn ha dámo nga paági.
>>war<< The situation worries me very much.	Duro it pagkulbaha ha akun hiton sitwasyun.
>>war<< They will find out sooner or later.	Masasabtan nira sunod o, niruniyan.
>>war<< This is the more useful of the two.	Amo ini iton may-garugamit ha duha.
>>war<< This is the more useful of the two.	Amo ini iton mas may-gamit ha duha.
>>war<< Tom isn't the only one not sitting.	Diri la hi Tom an diri nalingkod.
>>war<< Tom said that he'd make it on time.	Siríng ni Tom nga makakaabót hiyá hit' isakto nga oras.
>>war<< Tom says he'll never do that again.	Yakan ni Tom diri na hiya mautro.
>>war<< Tom says he'll never do that again.	Yakan ni Tom diri na hiya magbúhat hiton utro.
>>war<< Tom says he'll never do that again.	Siríng ni Tom diri na niya adto bubuhaton utro.
>>war<< What do you think they're planning?	¿Áno it' imo pag-huna iton íra pinaplano?
>>war<< What do you think will happen next?	¿Ano iton imu pag-abat nga matatabo sunod?
>>war<< When did you translate this letter?	¿Kakan-o nimo ginhubad iní nga surat?
>>war<< When did you translate this letter?	¿Kakan-o niyo ginhubad iní nga surat?
>>war<< Who painted this beautiful picture?	¿Hin-o an nagpíntar hiní nga mahúsay nga ritrato?
>>war<< Do you really believe in that stuff?	¿Natuod ka gud hit' nga butáng?
>>war<< Do you want to hear something funny?	Karuyag nimo makabati hin pataraw-an?
>>war<< Have you finished your homework yet?	¿Nahuman mo na an' im' homework?
>>war<< He comes to see me nearly every day.	Harus kada adlaw napakanhi hiya para makitaan ako.
>>war<< He is not the shy boy he used to be.	Dírì na hiyá awdunon nga batà sugad han una.
>>war<< I just wanted to keep things simple.	Karuyag ko la pasimplehon it' mga butáng.
>>war<< I told you that I wasn't interested.	Ginsidngan ko ikáw nga dírì ak' interesado.
>>war<< I was your mother's first boyfriend.	Ako an siyahan nga uyab han imo nanay.
>>war<< I wonder why Tom told me to do that.	Nausa ako kay-ano daw la ginsidngan ako ni Tom nga himuon iton.
>>war<< I'd die if anything happened to you.	Mapatày ak' kun may-ada mahitabo ha imo.
>>war<< I'm going to stay here and watch TV.	Anhi la ako ngan magkikita hiton TV.
>>war<< If the alarm rings, walk, don't run.	Kun an alarma tumunog, paglakat ayaw pagdalagan.
>>war<< If you want to be alone, I'll leave.	Kun karúyag mo mag-usáhan, malakat ako.
>>war<< Is he satisfied with his daily life?	Kontento na iton hiya hiton iya kinabuhi kinada adlaw?
>>war<< Let's keep it secret that he is ill.	Igsekreto naton la nga masakit hiya.
>>war<< There's nothing we can do about Tom.	Waráy ta na mahihimo kan Tom.
>>war<< Tom and I are married to each other.	Mag-asawa kami ni Tom.
>>war<< Tom and I are married to each other.	Igin-kasal kami ni Tom.
>>war<< Tom asked me what I was going to do.	Pinakianhan ak ni Tom ano tak binubuhat.
>>war<< Tom could see that Mary was texting.	Nakikit-an ni Tom nga hi Mary sige it' teks.
>>war<< Tom didn't have much water to drink.	Gutiay nala an irinumon nga tubig ni Tom.
>>war<< Tom knows nothing about this matter.	Waray maaram hi Tom hin nga butang.
>>war<< Tom put his lunch tray on the table.	Ginbutang ni Tom an tre han iya paningudtuhon ha la mesa.
