>>khm<< Go.	ទៅ។
>>khm<< My mother is angry.	ម៉ាក់​ខ្ញុំ​ខឹង​។
>>khm<< Schools are closed.	សាលាត្រូវបានបិទ។
>>khm<< Schools are closed.	សាលារៀនត្រូវបានបិទ។
>>khm<< Shake before using.	ក្រឡុកមុននឹងប្រើ។
>>khm<< Shake before using.	ក្រឡុកសិនបានប្រើ។
>>khm<< There's no problem.	​អត់បញ្ហា។
>>khm<< Tom likes swimming.	ថម ចូលចិត្តហែលទឹក។
>>khm<< We need more flour.	យើងត្រូវការម្សៅទៀត។
>>khm<< What narrow stairs!	ជណ្តើររដ៏តូចចង្អៀត!
>>khm<< What's the problem?	មាន​បញ្ហា​អី​?
>>khm<< Where are you from?	តើ​អ្នក​ជនជាតិ​អ្វី​?
>>khm<< Where do I go then?	អញ្ចឹង​ខ្ញុំ​ទៅ​ណា​?
>>khm<< Why are you crying?	តើហេតុអី្វអ្នកយំ ?
>>khm<< Why are you crying?	តើហេតុអីអូនយំ ?
>>khm<< Why are you crying?	តើមូលហេតុអីជាអ្នកយំ ?
>>khm<< Why are you crying?	ហេតុអីបានជាអូនយំ ?
>>khm<< Why are you crying?	ហេតុអីបានយំ ?
>>khm<< You like elephants.	អ្នកចូលចិត្តដំរី ។
>>khm<< A bird soared above.	ចាបមួយហោះនៅលើ។
>>khm<< Do you like bowling?	អ្នក​ចូលចិត្ត​លេង​បោះប៊ូល​ទេ​?
>>khm<< Don't do that again.	កុំធ្វើបែបហ្នឹងទៀត ។
>>khm<< Everybody applauded.	មនុស្សគ្រប់គ្នាបានអបអរសាទរ។
>>khm<< Freedom is not free.	សេរីភាព​មិន​មែន​ហ៊្វ្រី​ទេ​។
>>khm<< Glass breaks easily.	កញ្ចក់ងាយនឹងបែក។
>>khm<< His face brightened.	ទឹកមុខរបស់គាត់បានប្រសើរឡើង។
>>khm<< I do not have a cat.	ខ្ញុំអត់មានឆ្មាទេ។
>>khm<< I do not have a cat.	ខ្ញុំអត់មានឆ្មា។
>>khm<< I have a dictionary.	ខ្ញុំមានវចនានុក្រម។
>>khm<< I know you're lying.	ខ្ញុំដឹងថាអ្នកកហុក ។
>>khm<< I will be back soon.	ខ្ញុំ នឹងមកវិញលឿន ។
>>khm<< I will be back soon.	ខ្ញុំ នឹងមកវិញឆាប់ៗនេះ ។
>>khm<< I will be back soon.	ខ្ញុំ នឹងត្រលប់មកឆាប់ៗនេះ ។
>>khm<< I'll see you around.	ថ្ងៃក្រោយជួបគ្នា។
>>khm<< I'm a light sleeper.	ខ្ញុំ​គឺជាអ្នក​គេង​ល្វាស ។
>>khm<< I'm fully recovered.	ខ្ញុំ​បាន​ជា​វិញ​ទាំងស្រុង​។
>>khm<< I've got a question.	ខ្ញុំមានសំនួរ។
>>khm<< I've got a question.	ខ្ញុំមានសំណួរ។
>>khm<< I've got a question.	ខ្ញុំមានសំនួរមួយ។
>>khm<< I've got a question.	ខ្ញុំមានសំណួរមួយ។
>>khm<< It snowed yesterday.	ម្សិលមិញ​ធ្លាក់​ព្រិល​។
>>khm<< Kids like ice cream.	ក្មេងៗ ចូលចិត្តការ៉េម ។
>>khm<< Let's start working.	តោះយើងចាប់ផ្តើមធ្វើការ ។
>>khm<< Monkeys climb trees.	ស្វាឡើងដើមឈើ។
>>khm<< Monkeys climb trees.	សត្វស្វាឡើងដើមឈើ។
>>khm<< Please make the bed.	សូមរៀបចំគ្រែ។
>>khm<< The law was changed.	ច្បាប់​ត្រូវ​បាន​ប្តូរ​។
>>khm<< They carry firearms.	ពួកគេកាន់កាំភ្លើង។
>>khm<< They carry firearms.	ពួកវាកាន់កាំភ្លើង។
>>khm<< This was my mistake.	នេះ​ជា​កំហុស​របស់​ខ្ញុំ ។
>>khm<< This was my mistake.	Anih ciə kɑmhoh bɑh ɲom.
>>khm<< Tom drinks too much.	ថម ផឹកស្រាច្រើនពេក ។
>>khm<< Tom drinks too much.	Tom pək sea cəən pek.
>>khm<< Tom is good-hearted.	ថម ចិត្តល្អ ។
>>khm<< Tom watched closely.	ថមបានមើលច្បាស់។
>>khm<< What are you saying?	តើនិយាយអីហ្នឹង ?
>>khm<< What are you saying?	តើលោកកំពុងនិយាយអី ?
>>khm<< What smells so good?	តើឈ្ងុយអីគេហ្នឹង ?
>>khm<< Where are you going?	តើលោកត្រូវការទៅណា ?
>>khm<< Where are you going?	តើឯងទៅណាហ្នឹង ?
>>khm<< Where are you going?	តើអ្នកទៅកន្លែងណា ?
>>khm<< Where are you going?	តើលោកត្រូវទៅណា ?
>>khm<< Where is the toilet?	បង្គន់​នៅ​ណា​?
>>khm<< Where's my suitcase?	វ៉ាលីស៍ខ្ញុំនៅណា?
>>khm<< Who wrote this book?	នរណា​បាន​និពន្ធ​សៀវភៅ​នេះ​?
>>khm<< Your friend is here.	ពួកម៉ាក​របស់​អ្នក​នៅ​ទីនេះ​។
>>khm<< Are you volunteering?	តើ​អ្នក​កំពុង​ស្ម័គ្រចិត្ត​ឬ​?
>>khm<< Do you speak English?	Ceh yəy ɑŋgleih ɑt?
>>khm<< Do you speak English?	តើ​អ្នក​ចេះ​និយាយ​ភាសា​អង់គ្លេស​ទេ ?
>>khm<< Find the differences.	រកភាពខុសគ្នា។
>>khm<< Find the differences.	ស្វែងរកភាពខុសគ្នា។
>>khm<< I can't walk anymore.	ខ្ញុំមិនអាចដើរបានតទៅទៀតទេ។
>>khm<< I must talk with Tom.	ខ្ញុំនឹងត្រូវនិយាយជាមួយ Tom។
>>khm<< I'll catch you later.	ថ្ងៃក្រោយជួបគ្នា។
>>khm<< I'm looking for work.	ខ្ញុំរកការងារធ្វើ។
>>khm<< I've got a toothache.	ខ្ញុំឈឺធ្មេញ ។
>>khm<< It doesn't bother me.	ខ្ញុំមិនប្រកាន់ទេ ។
>>khm<< It is already eleven.	ម៉ោង​ដប់មួយ​ហើយ​។
>>khm<< It was hot yesterday.	ម្សិលមិញ​ក្តៅ​ណាស់​។
>>khm<< Monkeys like bananas.	សត្វស្វាស្រឡាញ់ចេក។
>>khm<< Monkeys like bananas.	សត្វស្វាចូលចិត្តផ្លែចេក។
>>khm<< Monkeys love bananas.	សត្វស្វាស្រឡាញ់ចេក។
>>khm<< Please wait a moment.	សូមចាំបន្តិច ។
>>khm<< She has a good heart.	នាង​មាន​ចិត្ត​ល្អ​។
>>khm<< Sign above this line.	ចុះហត្ថលេខានៅខាងលើបន្ទាត់នេះ។
>>khm<< Thank you for coming.	អរគុណ ដែលបានមកលេង ។
>>khm<< The car turned right.	ឡានបត់ស្ដាំ ។
>>khm<< The monkey came down.	សត្វស្វាបានចុះក្រោម។
>>khm<< Tom is annoying Mary.	ថម កំពុង​រំខាន ម៉ារី ។
>>khm<< Tom needs some flour.	ថមត្រូវការម្សៅខ្លះ។
>>khm<< Tom needs some sleep.	ថម ត្រូវការពេលគេងបន្តិច ។
>>khm<< Water reflects light.	ទឹកឆ្លុះពន្លឺ។
>>khm<< Where is the problem?	បញ្ហា​នៅ​ណា​?
>>khm<< Where's the bathroom?	បន្ទប់ទឹកនៅណា?
>>khm<< Where's the restroom?	បន្ទប់ទឹកនៅណា?
>>khm<< You aren't my mother.	អ្នកមិនមែនជាម្ដាយខ្ញុំទេ ។
>>khm<< Above all, be patient.	សំខាន់ជាងគេ ត្រូវអត់ធ្មត់។
>>khm<< Africa is a continent.	អាហ្វ្រិក គឺជាទ្វីបមួយ។
>>khm<< Do not be so critical.	កុំរិះគន់គេពេក ។
>>khm<< Everyone loves sports.	មនុស្សទាំងអស់សុទ្ធតែ ស្រលាញ់ កីឡា ។
>>khm<< He will come tomorrow.	គាត់មកនៅថ្ងៃស្អែក ។
>>khm<< He will come tomorrow.	ថ្ងៃស្អែក គាត់នឹងមោ ។
>>khm<< How long did you stay?	តើអ្នកបានស្នាក់នៅរយៈពេលប៉ុន្មាន ?
>>khm<< I never hear anything.	ខ្ញុំមិនដែលឮអ្វីទេ។
>>khm<< I usually get up at 8.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
>>khm<< I want to go with you.	ខ្ញុំ​ចង់​ទៅ​ជាមួយ​អ្នក​។
>>khm<< I'm looking for a job.	ខ្ញុំរកការងារធ្វើ។
>>khm<< Monkey see, monkey do.	ស្វាឃើញ ស្វាធ្វើ។
>>khm<< She's taller than him.	នាងខ្ពស់ជាងគាត់។
>>khm<< Tom is unable to walk.	ថមមិនអាចដើរបាន។
>>khm<< Tom is unable to walk.	ថមមិនអាចដើរ។
>>khm<< Tom is unable to walk.	ថមមិនអាចដើរបានទេ។
>>khm<< Where are you staying?	ស្នាក់នៅណា?
>>khm<< Where is the bathroom?	បន្ទប់ទឹកនៅណា?
>>khm<< Where is the restroom?	បន្ទប់ទឹកនៅណា?
>>khm<< He's probably sleeping.	គាត់ ប្រហែលកំពុងដេក ។
>>khm<< Health is above wealth.	សុខភាពសំខាន់ជាងភាពមានបាន។
>>khm<< His handwriting is bad.	អក្សរ​សរសេរ​ដៃ​របស់​គាត់​អាក្រក់​។
>>khm<< I am a college student.	ខ្ញុំ​គឺ​និស្សិត​។
>>khm<< I don't have any money.	ខ្ញុំមិនមានលុយទេ ។
>>khm<< I don't have any money.	ខ្ញុំអត់លុយទេ ។
>>khm<< I don't speak Japanese.	ខ្ញុំ​អត់​និយាយ​ភាសា​ជប៉ុន​ទេ​។
>>khm<< I often walk to school.	ខ្ញុំភាគច្រើនដើរទៅសាលា។
>>khm<< I promise to work hard.	ខ្ញុំសន្យាថាខំធ្វើការ ។
>>khm<< I want to learn karate.	ខ្ញុំ ចង់រៀនក្បាច់គុន ការ៉ាតេដូរ ។
>>khm<< I was playing with Tom.	ខ្ញុំបានលេងជាមួយថម។
>>khm<< Tom can sleep anywhere.	ថម អាចដេកកន្លែងណាក៏បាន ។
>>khm<< Tom has three children.	ថម មាន​កូន​បី​នាក់​។
>>khm<< Tom is a heavy sleeper.	ថម គឺជា​អ្នក​គេង​ស្កប់ស្កល់ ។
>>khm<< I don't have much money.	ខ្ញុំមិនមានលុយច្រើនទេ ។
>>khm<< I need to be left alone.	ខ្ញុំត្រូវការនៅម្នាក់ឯង ។
>>khm<< Monkeys are intelligent.	សត្វស្វាមានភាពវៃឆ្លាត។
>>khm<< Monkeys are intelligent.	សត្វស្វាមានភាពឈ្លាសវៃ។
>>khm<< Tom must be sleeping in.	ថមប្រាកដជាគេងជ្រុលហើយ។
>>khm<< What are you looking at?	កំពុងមើលអីហ្នឹង?
>>khm<< What do you want to buy?	ចង់ទិញអី?
>>khm<< What do you want to eat?	តើអូនចង់ញ៉ាំអី ?
>>khm<< What do you want to eat?	ចង់ញ៉ាំអី?
>>khm<< Where is the guesthouse?	ផ្ទះសំណាក់នៅណា?
>>khm<< Wires carry electricity.	ខ្សែភ្លើងនាំយកអគ្គិសនី។
>>khm<< Bread is made from flour.	នំប៉័ងត្រូវបានធ្វើឡើងពីម្សៅ។
>>khm<< Business before pleasure.	អាជីវកម្មមុនភាពពេញចិត្ត។
>>khm<< Do we need anything else?	តើយើងត្រូវការអីទៀតទេ ?
>>khm<< Flour is made from wheat.	ម្សៅត្រូវបានធ្វើពីស្រូវសាលី។
>>khm<< Flour is made into bread.	ម្សៅត្រូវបានធ្វើទៅជានំប៉័ង។
>>khm<< He speaks five languages.	Goat yiəy peam pʰiəsaa.
>>khm<< He speaks five languages.	គាត់​និយាយ​ប្រាំ​ភាសា ។
>>khm<< How could you think that?	តើអ្នកអាចគិតថាយ៉ាងម៉េចដែរ ?
>>khm<< I can't find the receipt.	ខ្ញុំរកបង្កាន់ដៃមិនឃើញទេ។
>>khm<< I had to go to a meeting.	ខ្ញុំរវល់ទៅចូលរួមការប្រជុំ។
>>khm<< I hear footsteps outside.	ខ្ញុំឮសម្រិបជើងនៅខាងក្រៅ។
>>khm<< I know that you're lying.	ខ្ញុំដឹងថាអ្នកកហុក ។
>>khm<< I'll be seeing you later.	ថ្ងៃក្រោយជួបគ្នា។
>>khm<< I'll try to persuade Tom.	ខ្ញុំនឹងព្យាយាមបញ្ចុះបញ្ចូលថម។
>>khm<< Let's walk home together.	តោះយើងដើរទៅផ្ទះទាំងអស់គ្មា។
>>khm<< That's Mary's ex-husband.	គាត់ជាអតីតស្វាមីរបស់ម៉ារី។
>>khm<< The air here is terrible.	ខ្យល់នៅទីនេះអាក្រក់។
>>khm<< The book is on the table.	សៀវភៅ គឺនៅលើតុ ។
>>khm<< The book is on the table.	សៀវភៅនៅលើតុ ។
>>khm<< The book is on the table.	សៀវភៅទុកលើតុ ។
>>khm<< The room has two windows.	បន្ទប់​នេះ​មាន​បង្អួច​ពីរ ។
>>khm<< They welcomed Tom aboard.	ពួកគេបានស្វាគមន៍ថមទៅលើយន្តហោះ។
>>khm<< Tom attended the wedding.	ថម ញ៉ាំការ ។
>>khm<< Tom felt a little guilty.	ថម​មាន​ទោស​តិច​។
>>khm<< Tom walked into the bank.	ថមបានដើរទៅធនាគារ។
>>khm<< Tom will do that somehow.	ថមនឹងធ្វើវាតាមរបៀបណាមួយ។
>>khm<< Which sports do you like?	តើកីឡាអីដែលឯងចូលចិត្ត ?
>>khm<< You've made me what I am.	អ្នកបានធ្វើឱ្យខ្ញុំជាខ្ញុំ។
>>khm<< Do you think they're dead?	តើអ្នកគិតថាពួកគេស្លាប់ទេ?
>>khm<< He speaks French fluently.	គាត់និយាយបារាំងញាប់ ។
>>khm<< I don't understand at all.	ខ្ញុំ អត់យល់សោះ ។
>>khm<< I heard something outside.	ខ្ញុំ​បាន​ឮ​សំឡេង​អ្វី​មួយ​នៅ​ខាង​ក្រៅ​។
>>khm<< I usually get up at eight.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
>>khm<< I'm sure you're very busy.	ខ្ញុំប្រាកដថា អ្នករវល់ណាស់ ។
>>khm<< Is it OK if I go in jeans?	តើ​វា​មិន​អី​ទេ​បើ​ខ្ញុំ​ទៅ​ដោយ​ស្លៀក​ខោ​កាប៊ូយ​?
>>khm<< Tell me why you're crying.	ប្រាប់ខ្ញុំពីមូលហេតុដែលអ្នកយំ។
>>khm<< The king abused his power.	ស្តេចលោភនឹងអំណាច​ ។
>>khm<< The matter is all settled.	រឿងនេះត្រូវបានផ្សះផ្សារួចហើយ ។
>>khm<< There's no perfect system.	មិនមានប្រព័ន្ធល្អឥតខ្ចោះទេ។
>>khm<< This isn't drinking water.	នេះមិនមែនជាទឹកផឹកនោះទេ។
>>khm<< Tom had Mary wash the car.	ថម ឱ្យ ម៉ារី លាង​ឡាន​។
>>khm<< Tom put on his sunglasses.	ថម ពាក់​វ៉ែនតា​របស់​គាត់ ។
>>khm<< Tom walked away from Mary.	ថមបានដើរចេញពីម៉ារី។
>>khm<< We'll be back before dark.	យើងនឹងមកវិញមុនប្រលប់។
>>khm<< Do you think I look strong?	តើអ្នកគិតថាខ្ញុំខ្លាំងឬទេ?
>>khm<< He is very a dangerous man.	គាត់ជាបុរសដែលគួរឲ្យគ្រោះថ្នាក់ណាស់ ។
>>khm<< He speaks Chinese fluently.	គាត់និយាយចិនញាប់ ។
>>khm<< He speaks English fluently.	គាត់និយាយអង់គ្លេសញាប់ ។
>>khm<< I think Tom killed himself.	ខ្ញុំគិតថា ថម សម្លាប់ខ្លួន ។
>>khm<< It's late already. Go home.	ឥឡូវល្ងាចហើយ ទៅទះសិនចុះ ។
>>khm<< It's neither fish nor meat.	វាមិនមែនជាសាច់ត្រីហើយក៏មិនមែនវាសាច់។
>>khm<< Tom left before I got here.	ថមបានចាកចេញមុននឹងខ្ញុំមកដល់។
>>khm<< Tom left before I got here.	ថមបានចេញទៅមុននឹងខ្ញុំមកដល់។
>>khm<< What are you talking about?	តើអ្នកកំពុងនិយាយអំពីអ្វី ?
>>khm<< What are you talking about?	និយាយរឿងអី ?
>>khm<< He may be on the next train.	ប្រហែលជាគាត់ជិះរថភ្លើងជើងក្រោយ ។
>>khm<< There's a full moon tonight.	យប់នេះមានព្រះច័ន្ទរះពេញណា ។
>>khm<< They grind wheat into flour.	ពួកគេកិនស្រូវសាលីឲ្យទៅជាម្សៅ។
>>khm<< Today we have a lot of food.	ថ្ងៃនេះយើង មានម្ហូបច្រើន។
>>khm<< Tom wants to eat fried rice.	ថម ចង់ញ៉ាំបាយឆា ។
>>khm<< What more could one ask for?	យើងត្រូវការអីទៀត ម៉េច ?
>>khm<< What sport do you like best?	តើកីឡាអីដែលឯងចូលចិត្ត ?
>>khm<< You can also do it this way.	អ្នកក៏អាចធ្វើវាតាមនេះដែរ។
>>khm<< You can also do it this way.	ឯងក៏អាចធ្វើវាតាមនេះដែរ។
>>khm<< Do you want something to eat?	ចង់ញ៉ាំអីអត់ ?
>>khm<< Don't forget to bring it, OK?	កុំភ្លេចយកមកផងណា !
>>khm<< I don't want you to kill Tom.	ខ្ញុំអត់ចង់ឱ្យអ្នកសម្លាប់ ថម ទេ ។​
>>khm<< I'll tell you how to do that.	ខ្ញុំនឹងប្រាប់អ្នកពីរបៀបធ្វើវា។
>>khm<< I'm very disappointed in you.	ខ្ញុំខកចិត្តអ្នកណាស់ ។
>>khm<< That man is taller than Mary.	បុរសនោះខ្ពស់ជាងម៉ារី ។
>>khm<< The king crushed his enemies.	ស្តេចផ្ចាញ់នឹងសត្រូវ ។
>>khm<< The paper is under the table.	ក្រដាសនៅក្រោមតុ ។
>>khm<< Tom said Mary hopes she wins.	ថមនិយាយថាម៉ារីសង្ឃឹមថានាងឈ្នះ។
>>khm<< Tom told us not to swim here.	ថមបានប្រាប់យើងកុំឱ្យហែលទឹកនៅទីនេះ។
>>khm<< Tom, what sports do you like?	ថម តើឯងស្រលាញ់កីឡាអី ?
>>khm<< We import flour from America.	យើងនាំចូលម្សៅពីអាមេរិក។
>>khm<< You can also do it like this.	អ្នកក៏អាចធ្វើវាដូច្នេះដែរ។
>>khm<< You can also do it like this.	ឯងក៏អាចធ្វើវាដូច្នេះដែរ។
>>khm<< "Thank you." "You're welcome."	«អរគុណ» «អត់អីអេ៎»
>>khm<< Do you want to see my new car?	តើអ្នកចង់ឃើញឡានថ្មីរបស់ខ្ញុំដែរឬទេ?
>>khm<< I don't have any money at all.	ខ្ញុំអត់មានលុយសោះ ។
>>khm<< I don't know any martial arts.	ខ្ញុំ អត់ចេះក្បាច់គុនអីទេ ។
>>khm<< Is it you who'll buy the food?	តើឯងជាអ្នកទិញម្ហូប ?
>>khm<< Men believe what they want to.	មនុស្សប្រុសជឿជាក់លើអ្វីដែលគេចង់។
>>khm<< She is married to an American.	នាង​បាន​រៀបការ​ជាមួយ​ជនជាតិ​អាមេរិក​។
>>khm<< The king governed the country.	ស្តេច​បាន​គ្រប់គ្រង​ប្រទេស​។
>>khm<< We all know that you're angry.	យើងទាំងអស់ដឹងហើយថា ឯងខឹង ។
>>khm<< We've seen that happen before.	យើងបានឃើញវាកើតឡើងពីមុនរួចមកហើយ។
>>khm<< Call me if you're able to come.	ទូរស័ព្ទមកខ្ញុំប្រសិនបើអ្នកអាចមកបាន។
>>khm<< English is spoken in Singapore.	ភាសាអង់គ្លេស​ត្រូវ​បាន​និយាយ​នៅ​ប្រទេស​សិង្ហបុរី​។
>>khm<< Everyone else is drinking beer.	អ្នកដទៃកំពុងផឹកស្រា។
>>khm<< Everyone else is drinking beer.	អ្នកដទៃកំពុងពិសាស្រា។
>>khm<< I didn't want to humiliate Tom.	ខ្ញុំ​មិន​ចង់​ធ្វើ​ឱ្យ ថម អាម៉ាស់​មុខ​ទេ​។
>>khm<< I didn't want to humiliate Tom.	ខ្ញុំ​មិន​មាន​បំណង ធ្វើ​ឱ្យ ថម​អាម៉ាស់​មុខ​ទេ​។
>>khm<< I'm almost sure that's correct.	ខ្ញុំស្ទើរតែប្រាកដថាវាត្រឹមត្រូវ។
>>khm<< The children are already tired.	ក្មេង​ៗ ​គឺ​អស់​កំលាំង​ហើយ ​។
>>khm<< Tom fell off of his motorcycle.	ថម ដួលម៉ូតូ ។
>>khm<< Tom helped me pack my suitcase.	ថមបានជួយខ្ញុំរៀបវ៉ាលីរបស់ខ្ញុំ។
>>khm<< We'll share our food with them.	យើងចែក ម្ហូបទៅពួកគេ ។
>>khm<< Would you come with me, please?	ទៅ​ជា​មួយ​ខ្ញុំ​បាន​ទេ​?
>>khm<< You have to go to the hospital.	អ្នក​ត្រូវ​ទៅ​មន្ទីរពេទ្យ​។
>>khm<< Did she have any weapons on her?	តើនាងមានអាវុធលើនាងដែរឬទេ?
>>khm<< Do you know who wrote this book?	តើ​អ្នក​ដឹង​ថា​នរណា​បាន​និពន្ធ​សៀភៅ​នេះ​?
>>khm<< He can't answer their questions.	គាត់មិនអាចឆ្លើយសំណួររបស់ពួកគេ។
>>khm<< My older brother has a mustache.	បងញុំមានពុកមាត់ ។
>>khm<< The company employs 500 workers.	ក្រុមហ៊ុន​ជួល​បុគ្គលិក ៥០០ នាក់ ។
>>khm<< The company employs 500 workers.	Kɑmhun cuul mnuh peam hɔɔy neak.
>>khm<< The design is quite interesting.	ការរចនាឡើង គួរអោយចាប់អារម្មណ៍គួរសម ។
>>khm<< They're preparing a meal for us.	ពួកគេរៀបចំបាយទឹកសំរាប់យើង ។
>>khm<< Tom bought drinks for everybody.	ថមបានទិញទឹកក្រូចឲ្យគ្រប់គ្នា។
>>khm<< Tom thought that was a bad idea.	ថម គិតថា នោះគឺជាគំនិតដ៏អាក្រក់ ។
>>khm<< What's the point of fighting it?	តើឯងបានអ្វីពីការវៃគ្នា?
>>khm<< What's the point of fighting it?	តើឯងបានអ្វីពីការឈ្លោះគ្នា?
>>khm<< Yesterday my uncle bought a dog.	ម្សិលមិញ​ពូ​ខ្ញុំ​ទិញ​ឆ្កែ​។
>>khm<< Am I holding the brush correctly?	តើខ្ញុំកាន់ជក់ត្រឹមត្រូវទេ?
>>khm<< I love you more than you love me.	ខ្ញុំ​ស្រលាញ់​អ្នក​ខ្លាំង​ជាង​អ្នក​ស្រលាញ់​ខ្ញុំ​។
>>khm<< I never do that unless I have to.	ខ្ញុំមិនដែលធ្វើវាទេ លុះត្រាតែខ្ញុំត្រូវធ្វើ។
>>khm<< I thought we covered this before.	ខ្ញុំស្មានថាយើងនិយាយពីរឿងនេះពីមុនមកហើយ។
>>khm<< The lake is about 25 meters deep.	បឹង​នេះ​មាន​ជំរៅ​ប្រហែល 25 ម៉ែត្រ​។
>>khm<< This is a difficult math problem.	មួយ​នេះ​គឺជា​ចំណោត​នៃ​គណិតវិទ្យា​ដ៏​ពិបាក ។
>>khm<< We just ate sushi and drank beer.	ពួកយើង​ទើបតែ​ញ៉ាំ​ស៊ូស៊ី និង​ផឹក​ស្រាបៀរ​។
>>khm<< You may choose any book you like.	អ្នក​អាច​ជ្រើសរើស​សៀវភៅ​មួយ​ណា​ដែល​អ្នក​ចូលចិត្ត​បាន​។
>>khm<< Do you want me to get rid of this?	តើ​អ្នក​ចង់​ឱ្យ​ខ្ញុំ​ហ្នឹង​បោះចោល​អ្វី​មួយ​នេះ​ឬ​?
>>khm<< Don't worry about making mistakes.	កុំ​ព្រួយ​បារម្ភ​ពី​ការ​ធ្វេី​កំហុស​។
>>khm<< I don't think that that's correct.	ខ្ញុំ​មិន​គិត​ថា​វា​ត្រឹម​ត្រូវ​ទេ។
>>khm<< I usually get up at eight o'clock.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
>>khm<< Our class has forty-five students.	ថ្នាក់យើង មានសិស្ស សែសិបប្រាំនាក់ ។
>>khm<< Tom has a lot of carry-on luggage.	ថមមានវ៉ាលីអូសច្រើន។
>>khm<< I think it's somewhere around here.	ខ្ញុំ​គិត​ថា​វា​នៅ​កន្លែង​ណា​មួយ​ក្បែរ​ៗ​នេះ​។
>>khm<< I'm spending tonight at a friend's.	យប់នឹងខ្ញុំនៅផ្ទះមិត្តភក្តិ។
>>khm<< That child caused a lot of trouble.	កូន​គ្មេង​នោះ​បាន​បង្ករ​បញ្ហា​ច្រើន​។
>>khm<< Tom arrived at the party with Mary.	ថម មក​ដល់​ពិធីជប់លៀង​ជាមួយ ម៉ារី​ ។
>>khm<< Tom isn't worried about his grades.	ថម អត់បារម្ភរឿងចំណាត់ថ្នាក់គាត់ទេ។
>>khm<< Tom isn't worried about his grades.	ថម អត់ខ្វល់អំពីចំណាត់ថ្នាក់គាត់ទេ។
>>khm<< Would the two of you quit fighting?	តើអ្នកទាំងពីរឈប់វៃគ្នាបានទេ?
>>khm<< Would the two of you quit fighting?	តើឯងពីរនាក់ឈប់វៃគ្នាបានអត់?
>>khm<< I couldn't keep myself from yawning.	ខ្ញុំមិនអាចឈប់ខ្លួនឯងមិនឲ្យស្ងាបបាន។
>>khm<< I didn't know there was a pond here.	ខ្ញុំមិនដឹងថានៅទីនេះមានបឹងសោះ។
>>khm<< I thought I heard something outside.	ខ្ញុំ​បាន​គិត​ថា ខ្ញុំ​បាន​ឮ​សំឡេង​អ្វី​មួយ​នៅ​ខាង​ក្រៅ​។
>>khm<< This food doesn't taste good at all.	ម្ហូបនេះ មិនឆ្ងាញ់សោះ ។
>>khm<< We were certain of winning the game.	យើង​បាន​ប្រាកដ​ថា យើង​នឹង​ឈ្នះ​ល្បែង​នេះ​។
>>khm<< You may bring whoever wants to come.	នរណាចង់ម៉ោ នាំម៉ោក៏បានដែរ ។
>>khm<< Eat more, or you won't gain strength.	ញ៉ាំឱ្យច្រើន បើមិនអញ្ចឹង អ្នកអត់មានកំលាំងទេ ។
>>khm<< I don't have anything to give to you.	ខ្ញុំគ្មានអ្វីឱ្យអ្នកទេ ។
>>khm<< I don't know anything about his past.	ខ្ញុំអត់ដឹងអីទាំងអស់អំពីរឿងអតីតកាលរបស់គាត់ ។
>>khm<< I don't know anything about his past.	ខ្ញុំអត់ដឹងអីផងអំពីអតីតកាលរបស់គាត់ ។
>>khm<< She stood looking out toward the sea.	នាង​បាន​កំពុង​ឈរ​សំឡឹង​ទៅ​កាន់​សមុទ្រ​។
>>khm<< Tom took a lot of pictures in Boston.	ថមបានថតរូបជាច្រើននៅបូស្តុន។
>>khm<< When we made fun of her, she blushed.	នៅពេលដែលយើងបង្អាប់លេងដាក់នាង មុខនាងឡើងក្រហម ។
>>khm<< I'm sorry I didn't come by last night.	សុំទោស​ដែល​អត់​បាន​មក​យប់​មិញ​។
>>khm<< Tom ate the stew right out of the pot.	ថម ញុាំ​សម្ល​ក្នុង​ឆ្នាំង​!
>>khm<< You're not supposed to eat on the job.	អ្នកមិនគួរញ៉ាំនៅពេលធ្វើការទេ ។
>>khm<< Atoms cannot be seen with your own eye.	បរិមាណូមិនអាចមើលឃើញដោយភ្នែកទទេបានទេ ។
>>khm<< He achieved his aim of studying abroad.	គាត់​បាន​សម្រេច​គោល​បំណង​ទៅ​សិក្សា​នៅ​បរទេស។
>>khm<< I didn't think that you'd ever met Tom.	ខ្ញុំមិននឹកស្មានថាអ្នកធ្លាប់ជួបថមទេ។
>>khm<< I hope that you're not catching a cold.	ខ្ញុំសង្ឃឹមថាឯងមិនឈឺ។
>>khm<< I hope that you're not catching a cold.	ខ្ញុំសង្ឃឹមថាអ្នកមិនឈឺ។
>>khm<< I hope that you're not catching a cold.	ខ្ញុំសង្ឃឹមថាអ្នកមិនឈឺចុះ។
>>khm<< I hope that you're not catching a cold.	ខ្ញុំសង្ឃឹមថាឯងមិនឈឺចោះ។
>>khm<< I'll enjoy showing you around the city.	ខ្ញុំនឹងមានភាពរីករាយក្នុងការណែនាំអ្នកជុំវិញទីក្រុង។
>>khm<< She gave birth to a daughter yesterday.	ម្សិលមិញ នាង​បង្កើត​បាន​កូន​ស្រី​ម្នាក់ ។
>>khm<< What is the difference between A and B?	តើ A និង B ខុសគ្នាយ៉ាងណា ?
