>>kmr<< I'm stuck.	Ez hilawîstî me.
>>kmr<< His only wish was to see his son one last time.	Xwesteka wî tenê ew bû ku lawê xwe careka din bibîne.
>>kmr<< The small intestine is about seven meters long.	Dirêjiya rûviya zirav bi qasî heft metre ye.
>>kmr<< Tom goes for a walk with his dog every morning.	Tom deře dimeşe tev kûçikê xwe sibe bi sibe.
>>kmr<< Tom has been living in Australia since October.	Tom li Ostralîyayê dijî ji Kewçêrê da.
>>kmr<< As far as I can tell, there are no broken bones.	Bi qasî ko ez dikarim bibêjim, hestiyên şikestî tune.
>>kmr<< I don't think that we can do anything right now.	Ez nabînim ku em naka kanin tiştek bikin.
>>kmr<< I gave the dog a bone. That stopped its barking.	Min hestiyek da kûçik ko ewtiya wê da sekinandin.
>>kmr<< This isn't the first time Tom has broken a bone.	Ev ne cara yekem e hestiyê Tok şikestiye.
>>kmr<< Tom told me he didn't want to move to Australia.	Tom gote min ku ewî nedixwest heře Ostralyayê.
>>kmr<< Tom told me that he wasn't going back to Boston.	Tom'î ji min re got ku ew ê venegere Boston'ê.
>>kmr<< We were glad when we saw a light in the distance.	Em şa bûn çaxê me ji dûr va ronayîyekê dît.
>>kmr<< He got his arm broken while he was playing soccer.	Çaxê wî bi gogê dilîst, destê xwe şikand.
>>kmr<< We just want to know whether Tom is coming or not.	Em tenê dixwazin zanibin heger Tom kê were lê na.
>>kmr<< You don't understand what's really happening here.	Tênagihîşte te çi bi rastî li vir dibe.
>>kmr<< The spinal column is composed of twenty-four bones.	Birrbirreya piştê ji bîst û çar hestiyan pêk tê.
>>kmr<< Tom and Mary usually speak to each other in French.	Tom û Marî piřcara bi hev řa bi fransî dipeyvin.
>>kmr<< If that guitar weren't so expensive, I could buy it.	Ger ew gîtara ne awqas biha ba, minê kanîba bikiřîya.
>>kmr<< London, where I live, used to be famous for its fog.	London, cîyê ez dijîm, navdar e bi mijdûmanê xwe.
>>kmr<< The human body is composed of billions of small cells.	Laşê mirov ji milyaran xaneyan pêk tê
>>kmr<< I thought that it'd be more comfortable if we sat here.	Ez ramîm ku wê çêtir be heger em li wir rûniştin.
>>kmr<< There were a lot of people on both sides of the street.	Li her du alîyêd kolanê pir kes hebûn.
>>kmr<< For breakfast, I had two eggs and a burnt piece of toast.	Bona taştê, Min du hêka û perçak şewitî ji tostê danî.
>>kmr<< If it were me, I think I'd try going to a different hospital.	Ez li şona wê bama, ez bawer dikim ezê biçûma nexweşxanakê din.
>>kmr<< Tom is three years older than I am, but he's shorter than I am.	Tom bi sê sala ji min mezintir e, lê ji min kintir e.
>>kmr<< Antibiotics kill bacteria, but won't do anything against viruses.	Dijaten bakteriyan dikujin, lê li dij vîrusan wê tiştek nekin.
>>kmr<< Tom and Mary broke up, so they won't be going to the dance together on Friday.	Tom û Marî hevdu berdan, loma ewana wê roja înê bi hev ra nerin reqsê.
