>>pol<< Go.	Idź.
>>pol<< What will you do?	Co pan zrobi?
>>pol<< What will you do?	Co zamierzasz zrobić?
>>pol<< What woke you up?	Co cię obudziło?
>>pol<< What's she doing?	Co ona robi?
>>pol<< What's the topic?	Jaki jest temat?
>>pol<< What's your rank?	Jaki jest twój stopień?
>>pol<< What's your size?	Jaki masz rozmiar?
>>pol<< What's your wish?	Jakie jest twoje życzenie?
>>pol<< What've you done?	Co ty zrobiłeś?
>>pol<< When does it end?	Kiedy to się skończy?
>>pol<< When is the test?	Kiedy jest sprawdzian?
>>pol<< Where can I pray?	Gdzie mogę się pomodlić?
>>pol<< Where did you go?	Gdzie poszłaś?
>>pol<< Where is Tom now?	Gdzie jest teraz Tom?
>>pol<< Where is my comb?	Gdzie jest mój grzebień?
>>pol<< Where is the bus?	Gdzie jest autobus?
>>pol<< Where is the cat?	Gdzie jest kot?
>>pol<< Where's my horse?	Gdzie jest mój koń?
>>pol<< Where's my lunch?	Gdzie mój lunch?
>>pol<< Where's my lunch?	Gdzie mój obiad?
>>pol<< Where's my mommy?	Gdzie jest moja mamusia?
>>pol<< Where's my money?	Gdzie są moje pieniądze?
>>pol<< Where's the bank?	Gdzie jest bank?
>>pol<< Where's the boss?	Gdzie jest szef?
>>pol<< Where's your dog?	Gdzie jest twój pies?
>>pol<< Which is our car?	Który to nasz samochód?
>>pol<< Which is our car?	Który samochód jest nasz?
>>pol<< Which one's mine?	Który jest mój?
>>pol<< Which one's mine?	Które jest moje?
>>pol<< Which one's mine?	Która jest moja?
>>pol<< Who brought this?	Kto to przyniósł?
>>pol<< Who did you call?	Kogo wołałeś?
>>pol<< Who did you call?	Do kogo dzwoniłeś?
>>pol<< Who did you meet?	Kogo spotkałeś?
>>pol<< Who else uses it?	Kto jeszcze tego używa?
>>pol<< Who is this girl?	Kim jest ta dziewczyna?
>>pol<< Who was not here?	Kogo tam nie było?
>>pol<< Who wrote Hamlet?	Kto jest autorem Hamleta?
>>pol<< Who'll come next?	Kto będzie następny?
>>pol<< Whose book is it?	Czyja to książka?
>>pol<< Whose ring is it?	Czyj to pierścionek?
>>pol<< Whose turn is it?	Czyja kolejka?
>>pol<< Whose turn is it?	Czyja kolej?
>>pol<< Why can't I move?	Czemu nie mogę się ruszyć?
>>pol<< Why did Tom come?	Dlaczego Tom przyszedł?
>>pol<< Why did you come?	Dlaczego przyszedłeś?
>>pol<< Why did you quit?	Czemu zrezygnowałeś?
>>pol<< Why did you stay?	Czemu zostałeś?
>>pol<< Why didn't I die?	Dlaczego nie umarłem?
>>pol<< Why do you study?	Dlaczego studiujesz?
>>pol<< Why don't we sit?	Dlaczego nie siadamy?
>>pol<< Why is Tom tired?	Dlaczego Tom jest zmęczony?
>>pol<< Why should I lie?	Dlaczego miałbym kłamać?
>>pol<< Why should I pay?	Dlaczego powinnam zapłacić?
>>pol<< Why should I pay?	Dlaczego powinienem zapłacić?
>>pol<< Will you do that?	Zrobisz to?
>>pol<< Will you go, too?	Pójdziesz też?
>>pol<< Will you help us?	Pomożesz nam?
>>pol<< Will you join me?	Dołączysz do mnie?
>>pol<< Will you join us?	Czy dołączysz do nas?
>>pol<< Will you join us?	Przyłączycie się do nas?
>>pol<< Will you take it?	Weźmiesz to?
>>pol<< You abandoned me.	Opuściłeś mnie.
>>pol<< You already paid.	Już zapłaciłeś.
>>pol<< You already paid.	Już zapłaciłaś.
>>pol<< You always cheat.	Zawsze oszukujesz.
>>pol<< You are a genius.	Jesteś geniuszem.
>>pol<< You are dreaming.	Śnisz.
>>pol<< You are too late.	Jesteś za późno.
>>pol<< You are too late.	Spóźniłeś się.
>>pol<< You are wavering.	Wahasz się.
>>pol<< You are wavering.	Wahacie się.
>>pol<< You can blame me.	Możesz mnie obwinić.
>>pol<< You can trust me.	Możesz mi zaufać.
>>pol<< You can't escape.	Nie możesz uciec.
>>pol<< You can't go yet.	Jeszcze nie możesz iść.
>>pol<< You convinced me.	Przekonałeś mnie.
>>pol<< You did it again.	Znowu to zrobiłeś.
>>pol<< You have to move.	Musisz się przenieść.
>>pol<< You have to wait.	Musisz poczekać.
>>pol<< You have to wait.	Musisz zaczekać.
>>pol<< You know I can't.	Wiesz, że nie mogę.
>>pol<< You know me well.	Dobrze mnie znasz.
>>pol<< You let Tom down.	Zawiodłeś Toma.
>>pol<< You look amazing.	Wyglądasz niesamowicie.
>>pol<< You look amazing.	Wyglądasz fantastycznie.
>>pol<< You look amazing.	Wyglądasz zdumiewająco.
>>pol<< You look younger.	Wyglądasz młodziej.
>>pol<< You may be right.	Możesz mieć rację.
>>pol<< You may go there.	Możesz tam iść.
>>pol<< You may sit here.	Możesz tu siedzieć.
>>pol<< You may swim now.	Możesz już pływać.
>>pol<< You may swim now.	Możecie już pływać.
>>pol<< You must go back.	Musisz wrócić.
>>pol<< You must sell it.	Musisz to sprzedać.
>>pol<< You need to know.	Musisz wiedzieć.
>>pol<< You owe me money.	Jesteś mi winien pieniądze.
>>pol<< You seem anxious.	Wydajesz się niespokojny.
>>pol<< You seem baffled.	Wydajesz się zmieszany.
>>pol<< You seem content.	Wyglądasz na zadowolonego.
>>pol<< You seem distant.	Wyglądasz odlegle.
>>pol<< You should sleep.	Powinieneś spać.
>>pol<< You shouldn't go.	Nie powinieneś iść.
>>pol<< You were invited.	Byłeś zaproszony.
>>pol<< You were invited.	Zostałeś zaproszony.
>>pol<< You were invited.	Byliście zaproszeni.
>>pol<< You were invited.	Zostaliście zaproszeni.
>>pol<< You were tricked.	Zostałeś oszukany.
>>pol<< You were tricked.	Zostaliście oszukani.
>>pol<< You were tricked.	Zostałaś oszukana.
>>pol<< You were tricked.	Zostałyście oszukane.
>>pol<< You're a monster.	Jesteś potworem.
>>pol<< You're a traitor.	Jesteś zdrajcą.
>>pol<< You're ambitious.	Jesteś ambitny.
>>pol<< You're an animal.	Jesteś zwierzęciem.
>>pol<< You're assertive.	Jesteś asertywny.
>>pol<< You're attentive.	Jesteś uprzejmy.
>>pol<< You're brilliant.	Jesteś genialny.
>>pol<< You're conceited.	Jesteś zarozumiały.
>>pol<< You're courteous.	Jesteś uprzejmy.
>>pol<< You're dangerous.	Jesteś niebezpieczny.
>>pol<< You're deceitful.	Jesteś podstępny.
>>pol<< You're dedicated.	Jesteś oddany.
>>pol<< You're demanding.	Jesteś wymagający.
>>pol<< You're depressed.	Jesteś przygnębiony.
>>pol<< You're desperate.	Jesteś zdesperowany.
>>pol<< You're different.	Jesteś inny.
>>pol<< You're difficult.	Jesteś trudny.
>>pol<< You're dishonest.	Jesteś nieuczciwi.
>>pol<< You're dismissed.	Jesteś zwolniony.
>>pol<< You're easygoing.	Jesteś spokojny.
>>pol<< You're efficient.	Jesteś skuteczny.
>>pol<< You're emotional.	Jesteś emocjonalny.
>>pol<< You're energetic.	Jesteś energiczny.
>>pol<< You're exhausted.	Jesteś wyczerpany.
>>pol<< You're fantastic.	Jesteś nieprawdopodobny.
>>pol<< You're forgetful.	Jesteś zapominalski.
>>pol<< You're fortunate.	Jesteś szczęśliwy.
>>pol<< You're hilarious.	Jesteś komiczny.
>>pol<< You're honorable.	Jesteś honorowy.
>>pol<< You're impatient.	Jesteś niecierpliwy.
>>pol<< You're impulsive.	Jesteś impulsywny.
>>pol<< You're incorrect.	Jesteś niepoprawny.
>>pol<< You're insincere.	Jesteś nieszczery.
>>pol<< You're inventive.	Jesteś pomysłowy.
>>pol<< You're motivated.	Jesteś zmotywowany.
>>pol<< You're my friend.	Jesteś moim przyjacielem.
>>pol<< You're necessary.	Jesteś niezbędny.
>>pol<< You're negligent.	Jesteś nonszalancki.
>>pol<< You're not alone.	Nie jesteś sam.
>>pol<< You're objective.	Jesteś obiektywny.
>>pol<< You're obnoxious.	Jesteś ohydny.
>>pol<< You're observant.	Jesteś spostrzegawczy.
>>pol<< You're obstinate.	Jesteś uparty.
>>pol<< You're organized.	Jesteś zorganizowany.
>>pol<< You're plastered.	Jesteś bardzo pijany.
>>pol<< You're powerless.	Jesteś bezsilny.
>>pol<< You're practical.	Jesteś rozsądny.
>>pol<< You're prisoners.	Jesteście więźniami.
>>pol<< You're qualified.	Jesteś wykwalifikowany.
>>pol<< You're realistic.	Jesteś realistą.
>>pol<< You're resilient.	Jesteś wytrzymały.
>>pol<< You're sarcastic.	Jesteś sarkastyczna.
>>pol<< You're satisfied.	Jesteś zadowolony.
>>pol<< You're screaming.	Krzyczysz.
>>pol<< You're secretive.	Jesteś tajemniczy.
>>pol<< You're sensitive.	Jesteś wrażliwy.
>>pol<< You're shameless.	Jesteś bezwstydny.
>>pol<< You're shivering.	Masz dreszcze.
>>pol<< You're talkative.	Jesteś rozmowny.
>>pol<< You're too naive.	Jesteś zbyt naiwny.
>>pol<< You're too naive.	Jesteś zbyt naiwna.
>>pol<< You're unethical.	Jesteś nieetyczny.
>>pol<< You're uninsured.	Jesteś nieubezpieczony.
>>pol<< You're very rude.	Jesteś bardzo nieuprzejma.
>>pol<< You're very sick.	Jesteś bardzo chory.
>>pol<< You're very sick.	Jesteś bardzo chora.
>>pol<< You're very tall.	Jesteś bardzo wysoki.
>>pol<< You're wonderful.	Jesteś wspaniały.
>>pol<< Your dog is here.	Tu jest twój pies.
>>pol<< Your dog is here.	Twój pies jest tutaj.
>>pol<< Your face is red.	Masz czerwoną twarz.
>>pol<< A dog was running.	Pies biegał.
>>pol<< Add a little milk.	Dodaj trochę mleka.
>>pol<< Adjust the brakes.	Wyreguluj hamulce.
>>pol<< Always be careful.	Zawsze bądź ostrożny.
>>pol<< Am I going to die?	Czy umrę?
>>pol<< Am I interrupting?	Przeszkadzam?
>>pol<< Am I under arrest?	Czy jestem aresztowany?
>>pol<< America loves you.	Ameryka cię kocha.
>>pol<< America loves you.	Ameryka was kocha.
>>pol<< An error was made.	Błąd został zrobiony.
>>pol<< Are these candles?	Czy to są świece?
>>pol<< Are they American?	Czy to Amerykanie?
>>pol<< Are they American?	Czy są Amerykanami?
>>pol<< Are they Japanese?	Czy są Japończykami?
>>pol<< Are they Japanese?	Czy są Japonkami?
>>pol<< Are they brothers?	Są braćmi?
>>pol<< Are you a student?	Jesteś studentem?
>>pol<< Are you all ready?	Czy wszyscy są gotowi?
>>pol<< Are you bachelors?	Jesteście kawalerami?
>>pol<< Are you bored yet?	Jesteś już znudzony?
>>pol<< Are you coming in?	Wchodzisz?
>>pol<< Are you depressed?	Jesteś przygnębiony?
>>pol<< Are you from here?	Jesteś stąd?
>>pol<< Are you in a rush?	Spieszysz się?
>>pol<< Are you listening?	Słuchasz mnie?
>>pol<< Are you on a diet?	Jesteś na diecie?
>>pol<< Are you really OK?	Na pewno jest w porządku?
>>pol<< Are you religious?	Jesteś religijny?
>>pol<< Are you religious?	Czy jesteś religijny?
>>pol<< Aren't we friends?	Nie jesteśmy przyjaciółmi?
>>pol<< Aren't you afraid?	Nie boisz się?
>>pol<< Aren't you coming?	Nie przychodzisz?
>>pol<< Aren't you hungry?	Nie jesteś głodny?
>>pol<< Ask your question.	Zadaj swoje pytanie.
>>pol<< Be kind to others.	Bądź uprzejmy dla innych.
>>pol<< Be kind to others.	Bądź uprzejmy dla nieznajomych.
>>pol<< Be nice to others.	Bądź uprzejmy dla innych.
>>pol<< Be nice to others.	Bądź uprzejmy dla nieznajomych.
>>pol<< Behave yourselves.	Zachowujcie się.
>>pol<< Beware of thieves.	Uwaga na złodziei.
>>pol<< Birds build nests.	Ptaki budują gniazda.
>>pol<< Boys will be boys.	Chłopcy pozostaną chłopcami.
>>pol<< Bring your wallet.	Przynieś portfel.
>>pol<< Bugs fascinate me.	Fascynują mnie owady.
>>pol<< Call an ambulance.	Wezwij karetkę.
>>pol<< Call her tomorrow.	Zadzwoń do niej jutro.
>>pol<< Can I do it again?	Mogę to zrobić jeszcze raz?
>>pol<< Can I have a bite?	Czy mogę ugryźć?
>>pol<< Can I pay by card?	Czy mogę zapłacić kartą?
>>pol<< Can somebody help?	Czy ktoś pomoże?
>>pol<< Can we get closer?	Możemy się przybliżyć?
>>pol<< Can we rent a car?	Możemy wynająć samochód?
>>pol<< Can we reschedule?	Możemy zmienić termin?
>>pol<< Can we talk alone?	Możemy porozmawiać sam na sam?
>>pol<< Can you afford it?	Stać cię na to?
>>pol<< Can you answer me?	Możesz mi odpowiedzieć?
>>pol<< Can you bring Tom?	Możesz przyprowadzić Toma?
>>pol<< Can you elaborate?	Możesz to rozwinąć?
>>pol<< Can you feel this?	Czujesz to?
>>pol<< Can you hear that?	Słyszycie to?
>>pol<< Can you park here?	Możesz tu zaparkować?
>>pol<< Can you read this?	Czy możesz to przeczytać?
>>pol<< Can you repair it?	Możesz to zreperować?
>>pol<< Can you repair it?	Możesz to naprawić?
>>pol<< Can you repair it?	Możesz to nareperować?
>>pol<< Can you repair it?	Jesteś w stanie to naprawić?
>>pol<< Can you translate?	Możesz przetłumaczyć?
>>pol<< Can you watch Tom?	Możesz popilnować Toma?
>>pol<< Can't you help me?	Czy nie możesz mi pomóc?
>>pol<< Cats fascinate me.	Koty mnie fascynują.
>>pol<< Champagne, please.	Poproszę szampana.
>>pol<< Choose one person.	Wybierz jedną osobę.
>>pol<< Christmas is soon.	Święta wkrótce.
>>pol<< Come a bit closer.	Podejdź odrobinę bliżej.
>>pol<< Come here quickly.	Przyjdź tu szybko.
>>pol<< Come on, hurry up.	No dalej, pośpiesz się.
>>pol<< Come on, let's go.	No dalej, chodźmy.
>>pol<< Come on, touch it.	No dalej, dotknij to.
>>pol<< Come on, trust me.	No dalej, zaufaj mi.
>>pol<< Could you help me?	Mógłbyś mi pomóc?
>>pol<< Cut me some slack.	Daj mi trochę luzu.
>>pol<< Deal us the cards.	Rozdaj nam karty.
>>pol<< Defend yourselves.	Brońcie się.
>>pol<< Did Tom know that?	Czy Tom o tym wiedział?
>>pol<< Did they fire you?	Zwolnili cię?
>>pol<< Did they say when?	Powiedzieli kiedy?
>>pol<< Did you buy juice?	Kupiłeś sok?
>>pol<< Did you buy sugar?	Czy kupiłeś cukier?
>>pol<< Did you mean this?	Czy miałeś to na myśli?
>>pol<< Did you phone Tom?	Dzwoniłeś do Toma?
>>pol<< Did you read this?	Przeczytałeś to?
>>pol<< Did you say three?	Czy powiedziałeś "trzy"?
>>pol<< Did you shoot Tom?	Czy postrzeliłeś Toma?
>>pol<< Did you shoot Tom?	Czy postrzeliłaś Toma?
>>pol<< Didn't I warn you?	Nie ostrzegałem cię?
>>pol<< Didn't I warn you?	Nie ostrzegałam cię?
>>pol<< Do it by yourself.	Zrób to sam!
>>pol<< Do they work here?	Czy oni tu pracują?
>>pol<< Do you drink beer?	Pijesz piwo?
>>pol<< Do you have a car?	Czy masz samochód?
>>pol<< Do you have a dog?	Czy ma pan psa?
>>pol<< Do you have a pen?	Czy masz długopis?
>>pol<< Do you have a pet?	Masz jakieś zwierzę?
>>pol<< Do you have a pet?	Czy masz zwierzątko domowe?
>>pol<< Do you have money?	Masz pieniądze?
>>pol<< Do you know Latin?	Znasz łacinę?
>>pol<< Do you like juice?	Lubisz sok?
>>pol<< Do you like music?	Podoba Ci się muzyka?
>>pol<< Do you like pizza?	Lubisz pizzę?
>>pol<< Do you like trips?	Lubisz wycieczki?
>>pol<< Do you like trips?	Lubisz podróże?
>>pol<< Do you live alone?	Czy mieszkasz sam?
>>pol<< Do you live alone?	Czy mieszkasz sama?
>>pol<< Do you need a car?	Potrzebujesz samochodu?
>>pol<< Do you see a rose?	Widzisz różę?
>>pol<< Do you sell fruit?	Czy sprzedaje pan owoce?
>>pol<< Do you still care?	Wciąż się tym przejmujesz?
>>pol<< Do you understand?	Rozumiesz?
>>pol<< Do you understand?	Rozumiecie?
>>pol<< Do you want a bit?	Chcesz kawałek?
>>pol<< Do you want a bit?	Chcesz trochę?
>>pol<< Do you want money?	Chcesz pieniędzy?
>>pol<< Do you want to go?	Chcesz iść?
>>pol<< Do you want to go?	Czy chcesz pójść?
>>pol<< Do you want to go?	Czy chcesz iść?
>>pol<< Does Tom know why?	Czy Tom wie dlaczego?
>>pol<< Does she know you?	Czy ona cię zna?
>>pol<< Does truth matter?	Czy prawda ma znaczenie?
>>pol<< Dogs are faithful.	Psy są wierne.
>>pol<< Don't be so naive.	Nie bądź taki naiwny.
>>pol<< Don't give up now.	Nie poddawaj się.
>>pol<< Don't give up now.	Nie rezygnuj.
>>pol<< Don't give up yet.	Nie poddawaj się jeszcze.
>>pol<< Don't hurt anyone.	Nie rań nikogo.
>>pol<< Don't let me down.	Nie zawiedź mnie.
>>pol<< Don't make a fuss.	Nie rób zamieszania.
>>pol<< Don't tell anyone.	Nie mów nikomu.
>>pol<< Don't tell my mom.	Nie mów mojej mamie.
>>pol<< Don't touch these.	Tych nie dotykaj.
>>pol<< Don't wait for me.	Nie czekaj na mnie.
>>pol<< Don't wake him up.	Nie budź go.
>>pol<< Don't you go away.	Nie odchodź.
>>pol<< Don't you know me?	Nie znasz mnie?
>>pol<< Don't you miss me?	Nie tęsknisz za mną?
>>pol<< Drink responsibly.	Pij odpowiedzialnie.
>>pol<< Drink responsibly.	Pijcie odpowiedzialnie.
>>pol<< Even Tom can swim.	Nawet Tom potrafi pływać.
>>pol<< Every bus is full.	Każdy autobus jest zatłoczony.
>>pol<< Every vote counts.	Każdy głos się liczy.
>>pol<< Everybody cheered.	Wszyscy wiwatowali.
>>pol<< Everybody laughed.	Wszyscy się śmiali.
>>pol<< Everybody said so.	Wszyscy tak mówili.
>>pol<< Everybody's tired.	Wszyscy są zmęczeni.
>>pol<< Everyone can play.	Wszyscy mogą zagrać.
>>pol<< Everyone can play.	Wszyscy mogą grać.
>>pol<< Everyone got sick.	Wszyscy zachorowali.
>>pol<< Everyone is ready.	Wszyscy są gotowi.
>>pol<< Everyone listened.	Każdy słuchał.
>>pol<< Everyone must die.	Każdy musi umrzeć.
>>pol<< Everyone screamed.	Wszyscy krzyczeli.
>>pol<< Everyone survived.	Wszyscy przeżyli.
>>pol<< Everyone's eating.	Wszyscy jedzą.
>>pol<< Everyone's eating.	Wszyscy są w trakcie jedzenia.
>>pol<< Everything worked.	Wszystko działało.
>>pol<< Exercise outdoors.	Ćwicz poza domem.
>>pol<< Exercise outdoors.	Rób ćwiczenia na zewnątrz.
>>pol<< Fill in this form.	Wypełnij ten formularz.
>>pol<< Fill out the form.	Wypełnij formularz.
>>pol<< Fish is expensive.	Ryby są drogie.
>>pol<< Frogs eat insects.	Żaby jedzą owady.
>>pol<< Give Tom his keys.	Daj Tomowi swoje klucze.
>>pol<< Give her the book.	Daj jej książkę.
>>pol<< Give me an orange.	Daj mi pomarańczę.
>>pol<< Give me some beer.	Daj mi trochę piwa.
>>pol<< Give me some more.	Daj mi jeszcze trochę.
>>pol<< Give me your hand.	Daj mi rękę.
>>pol<< Go back to school.	Wracaj do szkoły.
>>pol<< Go water the lawn.	Idź podlać trawnik.
>>pol<< Goodnight, ladies.	Dobranoc, panie.
>>pol<< Happy anniversary!	Wszystkiego dobrego z okazji rocznicy!
>>pol<< Haste makes waste.	Gdy się człowiek spieszy, to się diabeł cieszy.
>>pol<< Have they escaped?	Uciekli?
>>pol<< Have you finished?	Skończyliście?
>>pol<< He appeared young.	Wyglądał młodo.
>>pol<< He arrived safely.	Dotarł bezpiecznie.
>>pol<< He asked for food.	Poprosił o jedzenie.
>>pol<< He began to shout.	Zaczął krzyczeć.
>>pol<< He blackmailed me.	Szantażował mnie.
>>pol<< He called my name.	Wywołał moje imię.
>>pol<< He came about two.	Przyszedł około drugiej.
>>pol<< He can be trusted.	Można mu zaufać.
>>pol<< He can't help you.	On ci nie pomoże.
>>pol<< He could not swim.	Nie mógł pływać
>>pol<< He did not listen.	Nie słuchał.
>>pol<< He died of cancer.	Umarł na raka.
>>pol<< He died yesterday.	Zmarł wczoraj.
>>pol<< He died yesterday.	Wczoraj zmarł.
>>pol<< He does not smoke.	On nie pali.
>>pol<< He dropped a vase.	Upuścił wazon.
>>pol<< He gave her a box.	Dał jej pudełko.
>>pol<< He got tired soon.	Szybko się zmęczył.
>>pol<< He had three sons.	Miał trzech synów.
>>pol<< He hanged himself.	Powiesił się.
>>pol<< He has a cold now.	On jest teraz przeziębiony.
>>pol<< He has a headache.	On ma bóle głowy.
>>pol<< He has a headache.	Boli go głowa.
>>pol<< He has seven sons.	On ma siedmiu synów.
>>pol<< He helped me move.	Pomógł mi się ruszyć.
>>pol<< He helped me move.	Pomógł mi w przeprowadzce.
>>pol<< He is an American.	On jest Amerykaninem.
>>pol<< He is daydreaming.	Śni na jawie.
>>pol<< He is quite right.	Ma całkowitą rację.
>>pol<< He is still angry.	Wciąż jest wściekły.
>>pol<< He isn't here now.	Nie ma go teraz.
>>pol<< He isn't here yet.	Jeszcze go tutaj nie ma.
>>pol<< He kept it secret.	Zatrzymał to w tajemnicy.
>>pol<< He knows too much.	Wie za dużo.
>>pol<< He lay on the bed.	On leży na łóżku
>>pol<< He likes my jokes.	Lubi moje żarty.
>>pol<< He likes my jokes.	Lubi moje dowcipy.
>>pol<< He likes sleeping.	Lubi spać.
>>pol<< He obviously lied.	Oczywiście kłamał.
>>pol<< He sat next to me.	Usiadł obok mnie.
>>pol<< He sat on the bed.	Usiadł na łóżku.
>>pol<< He saved a sailor.	Uratowała marynarza.
>>pol<< He shook his head.	Potrząsnął głową.
>>pol<< He speaks English.	On mówi po angielsku.
>>pol<< He stole my heart.	On skradł moje serce.
>>pol<< He struck a match.	Zapalił zapałkę.
>>pol<< He studied abroad.	Studiował za granicą.
>>pol<< He talks too fast.	On mówi za szybko.
>>pol<< He talks too much.	On mówi za dużo.
>>pol<< He teaches Arabic.	On uczy arabskiego.
>>pol<< He told the truth.	Powiedział prawdę.
>>pol<< He turned traitor.	Został zdrajcą.
>>pol<< He twisted my arm.	Zmusił mnie.
>>pol<< He twisted my arm.	Wykręcił mi rękę.
>>pol<< He walked quietly.	Szedł cicho.
>>pol<< He was imprisoned.	Był uwięziony.
>>pol<< He was very happy.	Był niezmiernie szczęśliwy.
>>pol<< He was very happy.	Był bardzo szczęśliwy.
>>pol<< He was very happy.	Bardzo się cieszył.
>>pol<< He went back home.	On wrócił do domu.
>>pol<< He will come soon.	On niedługo przyjdzie.
>>pol<< He wore old shoes.	Nosił stare buty.
>>pol<< He writes scripts.	Pisze scenariusze.
>>pol<< He wrote a letter.	On napisał list.
>>pol<< He's a big coward.	Jest strasznym tchórzem.
>>pol<< He's already left.	On już wyszedł.
>>pol<< He's an old timer.	To stary wyjadacz.
>>pol<< He's just arrived.	Właśnie przybył.
>>pol<< He's my Mr. Right.	Jest moim ideałem.
>>pol<< He's not an idiot.	On nie jest idiotą.
>>pol<< He's now studying.	On teraz uczy się.
>>pol<< He's on the train.	Siedzi w pociągu.
>>pol<< He's on the train.	Jest w pociągu.
>>pol<< He's on the train.	On siedzi w pociągu.
>>pol<< He's on the train.	On jest w pociągu.
>>pol<< Her eyes darkened.	Jej oczy pociemniały.
>>pol<< Her nails are red.	Jej paznokcie są czerwone.
>>pol<< Here is a blanket.	Oto koc.
>>pol<< Here is your book.	Tu jest twoja książka.
>>pol<< Here's my address.	Tu jest mój adres.
>>pol<< Here's some water.	Oto trochę wody.
>>pol<< Hey, listen to me.	Hej, posłuchaj mnie.
>>pol<< Hey, look at this.	Hej, spójrz na to.
>>pol<< Hey, thanks a lot.	Hej, wielkie dzięki.
>>pol<< Hi Tom, what's up?	Cześć Tom, jak się masz?
>>pol<< Hold the handrail.	Trzymaj się poręczy.
>>pol<< How are you doing?	Jak się masz?
>>pol<< How complex is it?	Jak bardzo jest to skomplikowane?
>>pol<< How could that be?	Jak to się mogło stać?
>>pol<< How did they know?	Skąd wiedzieli?
>>pol<< How did you do it?	Jak to zrobiłeś?
>>pol<< How do they do it?	Jak oni to robią?
>>pol<< How extraordinary!	Jakie to niezwykłe!
>>pol<< How extraordinary!	Niesłychane!
>>pol<< How extraordinary!	Zadziwiające!
>>pol<< How extraordinary!	Co za przypadek!
>>pol<< How lucky you are!	Ależ z ciebie szczęściarz!
>>pol<< How much are they?	Ile one kosztują?
>>pol<< How much are they?	Ile kosztują?
>>pol<< How should I know?	Skąd mam wiedzieć?
>>pol<< How was your test?	Jak ci poszedł sprawdzian?
>>pol<< How was your trip?	Jak tam wycieczka?
>>pol<< How's your family?	Jak się miewa twoja rodzina?
>>pol<< How's your father?	Jak się ma twój ojciec?
>>pol<< How's your mother?	Jak się miewa Twoja mama?
>>pol<< How's your mother?	Jak się miewa wasza matka?
>>pol<< I accept the risk.	Akceptuję ryzyko.
>>pol<< I acted foolishly.	Zachowałem się głupio.
>>pol<< I agreed with her.	Zgodziłem się z nią.
>>pol<< I already checked.	Już sprawdziłem.
>>pol<< I already checked.	Już sprawdziłam.
>>pol<< I already ordered.	Ja już zamówiłem.
>>pol<< I already ordered.	Ja już zamówiłam.
>>pol<< I also like cakes.	Również lubię ciastka.
>>pol<< I also like cakes.	Ja również lubię ciastka.
>>pol<< I also like candy.	Też lubię słodycze.
>>pol<< I also went there.	Ja tam też poszłam.
>>pol<< I also went there.	Ja tam też poszedłem.
>>pol<< I am afraid to go.	Boję się iść.
>>pol<< I am already late.	Już jestem spóźniony.
>>pol<< I am in the house.	Jestem w domu.
>>pol<< I am in your debt.	Jestem Twoim dłużnikiem.
>>pol<< I am not studying.	Nie uczę się.
>>pol<< I am the same age.	Jestem w tym samym wieku.
>>pol<< I arrived in time.	Przyjechałem o czasie.
>>pol<< I arrived on time.	Przyjechałem na czas.
>>pol<< I asked for money.	Poprosiłem o pieniądze.
>>pol<< I ate my sandwich.	Zjadłem swoją kanapkę.
>>pol<< I ate some cheese.	Zjadłem trochę sera.
>>pol<< I barely know Tom.	Ledwo znam Toma.
>>pol<< I bought a webcam.	Kupiłem kamerkę.
>>pol<< I bought a webcam.	Kupiłam kamerkę.
>>pol<< I bought a webcam.	Kupiłem kamerę internetową.
>>pol<< I bought a webcam.	Kupiłam kamerę internetową.
>>pol<< I bought that car.	Kupiłem tamten samochód.
>>pol<< I bought that car.	Kupiłem tamto auto.
>>pol<< I called for help.	Wezwałem pomoc.
>>pol<< I came back early.	Wcześnie wróciłem.
>>pol<< I can eat insects.	Umiem jeść owady.
>>pol<< I can play tennis.	Umiem grać w tenisa.
>>pol<< I can ride a bike.	Umiem jeździć na rowerze.
>>pol<< I can't blame him.	Nie mogę go winić.
>>pol<< I can't calm down.	Nie mogę się uspokoić.
>>pol<< I can't marry you.	Nie mogę cię poślubić.
>>pol<< I can't marry you.	Nie mogę za Ciebie wyjść.
>>pol<< I can't stand him.	Nie mogę go znieść.
>>pol<< I can't swim well.	Nie umiem dobrze pływać.
>>pol<< I cannot help you.	Nie mogę Ci pomóc.
>>pol<< I cannot stop him.	Nie mogę go powstrzymać.
>>pol<< I changed my mind.	Zmieniłem zdanie.
>>pol<< I checked my bags.	Zarejestrowałem swój bagaż.
>>pol<< I come here often.	Często tu przychodzę.
>>pol<< I consented to go.	Zgodziłem się pójść.
>>pol<< I cook on Mondays.	W poniedziałki gotuję.
>>pol<< I couldn't refuse.	Nie mogłem odmówić.
>>pol<< I did you a favor.	Zrobiłem ci przysługę.
>>pol<< I didn't break it.	Ja tego nie stłukłem.
>>pol<< I didn't know Tom.	Nie znałem Toma.
>>pol<< I didn't need Tom.	Nie potrzebowałem Toma.
>>pol<< I didn't need you.	Nie byłeś mi potrzebny.
>>pol<< I didn't tell Tom.	Nie powiedziałem Tomkowi.
>>pol<< I don't accept it.	Nie akceptuję tego.
>>pol<< I don't blame you.	Nie winię ciebie.
>>pol<< I don't blame you.	Nie winię was.
>>pol<< I don't blame you.	Nie winię cię.
>>pol<< I don't blame you.	Nie obwiniam ciebie.
>>pol<< I don't feel good.	Niedobrze mi.
