>>aze<< I'm OK.	Mən yaxşıyam.
>>aze<< This is your fate.	Bu sənin taleyindir.
>>aze<< This is your fate.	Bu sizin taleyinizdir.
>>aze<< This isn't silver.	Bu gümüş deyil.
>>aze<< Today is Saturday.	Bu gün şənbədir.
>>aze<< Tom broke my nose.	Tom mənim burnumu qırdı.
>>aze<< Tom hated spinach.	Tomun ispanaqdan zəhləsi gedirdi.
>>aze<< Tom is Mary's son.	Tom Merinin oğludur.
>>aze<< Tom is a gardener.	Tom bağbandır.
>>aze<< Tom is a murderer.	Tom qatildir.
>>aze<< Tom is big-headed.	Tom özündənrazıdır.
>>aze<< Tom is dead drunk.	Tom lülqənbərdir.
>>aze<< Tom is my brother.	Tomas mənim qardaşımdır.
>>aze<< Tom is not a hero.	Tom qəhrəman deyil.
>>aze<< Tom is reading it.	Tom onu oxuyur.
>>aze<< Tom is really mad.	Tom həqiqətən dəlidir.
>>aze<< Tom is recovering.	Tom yaxşılaşır.
>>aze<< Tom is recovering.	Tom sağalır.
>>aze<< Tom is ridiculous.	Tom gülüncdür.
>>aze<< Tom is the killer.	Qatil Tomdur.
>>aze<< Tom is the leader.	Tom liderdir.
>>aze<< Tom isn't in jail.	Tom həbsxanada deyil.
>>aze<< Tom isn't jealous.	Tom qısqanc deyil.
>>aze<< Tom returned home.	Tom evə qayıtdı.
>>aze<< Tom used his head.	Tom başını işlətdi.
>>aze<< Tom vomited blood.	Tom qan qusdu.
>>aze<< Tom wasn't moving.	Tom tərpənmirdi.
>>aze<< Tom will find you.	Tom səni tapacaq.
>>aze<< Tom will find you.	Tom sizi tapacaq.
>>aze<< Tom won't want it.	Tom bunu istəməyəcək.
>>aze<< We aren't friends.	Biz dost deyilik.
>>aze<< We can't find Tom.	Biz Tomu tapa bilmirik.
>>aze<< We don't like you.	Bizim səndən xoşumuz gəlmir.
>>aze<< We tried our best.	Biz əlimizdən gələni etdik.
>>aze<< We were both busy.	Biz ikimiz də məşğul idik.
>>aze<< We're against war.	Biz müharibənin əleyhinəyik.
>>aze<< What does it mean?	Bu nə deməkdir?
>>aze<< What is happiness?	Xoşbəxtlik nədir?
>>aze<< What's in the box?	Qutuda nə var?
>>aze<< Where is Room 105?	105-ci otaq haradadır?
>>aze<< Where's my driver?	Mənim sürücüm hanı?
>>aze<< Where's the vodka?	Vodka hanı?
>>aze<< Where's the vodka?	Vodka haradadır?
>>aze<< Yes, I kissed him.	Hə, onu öpdüm.
>>aze<< You can't stop me.	Siz məni dayandıra bilməzsiniz.
>>aze<< You can't stop me.	Məni dayandıra bilməzsən.
>>aze<< You have no heart.	Sizin ürəyiniz yoxdur.
>>aze<< You're the driver.	Sürücü sənsən.
>>aze<< You're the driver.	Sürücü sizsiniz.
>>aze<< You're too skinny.	Siz çox arıqsınız.
>>aze<< A lot has happened.	Çox şey baş verib.
>>aze<< Am I too demanding?	Mən çox tələbkaram?
>>aze<< Are you a Buddhist?	Siz buddistsiniz?
>>aze<< Are you a Buddhist?	Sən buddistsən?
>>aze<< Happy Mother's Day!	Analar gününüz mübarək!
>>aze<< He has a long nose.	Onun uzun burnu var.
>>aze<< He is a bad driver.	O pis sürücüdür.
>>aze<< He is a bus driver.	O avtobus sürücüsüdür.
>>aze<< He is only a child.	O, tək uşaqdır.
>>aze<< He is thick-headed.	O kütbeyindir.
>>aze<< Here, take my coat.	Al, mənim paltomu götür.
>>aze<< I also like apples.	Mən də alma xoşlayıram.
>>aze<< I am not a prophet.	Mən peyğəmbər deyiləm.
>>aze<< I ate some spinach.	Mən bir az ispanaq yedim.
>>aze<< I burned my finger.	Barmağımı yandırdım.
>>aze<< I can go next week.	Gələn həftə gedə bilərəm.
>>aze<< I can't explain it.	Mən bunu izah edə bilmirəm.
>>aze<< I hate my eyebrows.	Qaşlarımdan zəhləm gedir.
>>aze<< I have a white cat.	Mənim ağ pişiyim var.
>>aze<< I looked around me.	Ətrafıma baxdım.
>>aze<< I looked around me.	Ətrafıma göz gəzdirdim.
>>aze<< I love butterflies.	Kəpənəkləri sevirəm.
>>aze<< I saw an explosion.	Mən bir partlayış gördüm.
>>aze<< I think I know why.	Deyəsən bilirəm niyə.
>>aze<< I used to hate Tom.	Mən əvvəllər Toma nifrət edərdim.
>>aze<< I want to kiss Tom.	Tomu öpmək istəyirəm.
>>aze<< I want to know why.	Bilmək istəyirəm niyə.
>>aze<< I want to know why.	Niyəsini bilmək istəyirəm.
>>aze<< I wanted red shoes.	Mən qırmızı ayaqqabılar istədim.
>>aze<< I was very careful.	Mən çox diqqətli idim.
>>aze<< I'm afraid of owls.	Mən bayquşlardan qorxuram.
>>aze<< I'm from Australia.	Mən Avstraliyadanam.
>>aze<< I'm just a teacher.	Mən sadəcə müəlliməm.
>>aze<< I'm sorry for this.	Buna görə təəssüf edirəm.
>>aze<< I've been too busy.	Mən çox məşğul idim.
>>aze<< I've cut my finger.	Barmağımı kəsmişəm.
>>aze<< Is there hot water?	İsti su var?
>>aze<< Is this seat empty?	Bu yer boşdur?
>>aze<< It helped me a lot.	Bu mənə çox kömək oldu.
>>aze<< It is Monday today.	Bu gün bazar ertəsidir.
>>aze<< It wasn't my fault.	Bu mənim günahım deyildi.
>>aze<< Italy is in Europe.	İtaliya Avropadadır.
>>aze<< Italy isn't Greece.	İtaliya Yunanıstan deyil.
>>aze<< Look up at the sky.	Səmaya bax.
>>aze<< Mars has two moons.	Marsın iki peyki var.
>>aze<< My heart is broken.	Qəlbim qırıqdır.
>>aze<< My knife is broken.	Bıçağım sınıb.
>>aze<< My nose is running.	Burnum axır.
>>aze<< My nose is too big.	Mənim burnum çox böyükdür.
>>aze<< Nobody wants a war.	Heç kim müharibə istəmir.
>>aze<< Owls have big eyes.	Bayquşların böyük gözləri olur.
>>aze<< Owls hunt at night.	Bayquşlar gecələr ov edirlər.
>>aze<< Prices are falling.	Qiymətlər düşür.
>>aze<< She loves children.	O uşaqları sevir.
>>aze<< She won't be ready.	O hazır olmayacaq.
>>aze<< She's a bus driver.	O, avtobus sürücüsüdür.
>>aze<< The baby is asleep.	Körpə yatır.
>>aze<< The baby is crying.	Körpə ağlayır.
>>aze<< The bread is fresh.	Çörək təzədir.
>>aze<< The dog wants meat.	İt ət istəyir.
>>aze<< The earth is round.	Yer kürə şəklindədir.
>>aze<< The ship is at sea.	Gəmi dənizdədir.
>>aze<< The sun is setting.	Günəş batır.
>>aze<< The sun is shining.	Günəş işıq saçır.
>>aze<< The table is green.	Stol yaşıldır.
>>aze<< The water was blue.	Su mavi idi.
>>aze<< The water was warm.	Su isti idi.
>>aze<< The window is open.	Pəncərə açıqdır.
>>aze<< There's no mistake.	Səhv yoxdur.
>>aze<< They didn't see it.	Onlar onu görmədilər.
>>aze<< They were soldiers.	Onlar əsgər idilər.
>>aze<< This is a hospital.	Bu xəstəxanadır.
>>aze<< This is my bicycle.	Bu mənim velosipedimdir.
>>aze<< This is my brother.	Bu mənim qardaşımdır.
>>aze<< Tom broke his nose.	Tom burnunu sındırdı.
>>aze<< Tom cut his finger.	Tom barmağını kəsdi.
>>aze<< Tom has a big nose.	Tom yekə burnu var.
>>aze<< Tom is chewing gum.	Tom saqqız çeynəyir.
>>aze<< Tom is gravely ill.	Tom ağır xəstədir.
>>aze<< Tom is in the room.	Tom otaqdadır.
>>aze<< Tom salted his egg.	Tom yumurtasını duzladı.
>>aze<< Tom sold his house.	Tom evini satdı.
>>aze<< Tom was dead drunk.	Tom lülqənbər idi.
>>aze<< Tom's nose was red.	Tomun burnu qırmızı idi.
>>aze<< Water is important.	Su vacibdir.
>>aze<< We all have to die.	Biz hamımız ölməliyik.
>>aze<< We ate potato soup.	Biz kartof supu yedik.
>>aze<< We ate some apples.	Biz bir neçə alma yedik.
>>aze<< We don't like rain.	Biz yağış xoşlamırıq.
>>aze<< We grow wheat here.	Biz burada buğda yetişdiririk.
>>aze<< We were very happy.	Biz çox xoşbəxt idik.
>>aze<< We were very tired.	Biz çox yorğun idik.
>>aze<< We weren't friends.	Biz dost deyildik.
>>aze<< We'll be back soon.	Biz tezliklə qayıdacağıq.
>>aze<< We're already late.	Biz artıq geçikmişik.
>>aze<< What am I here for?	Mən niyə burdayam?
>>aze<< What am I here for?	Mən nə üçün buradayam?
>>aze<< When do owls sleep?	Bayquşlar nə vaxt yatırlar?
>>aze<< When's the wedding?	Toy nə vaxtdır?
>>aze<< Where are my shoes?	Mənim ayaqqabılarım haradadır?
>>aze<< Where is the train?	Qatar hanı?
>>aze<< Where is the train?	Qatar haradadır?
>>aze<< Where is the vodka?	Vodka hanı?
>>aze<< Where is the vodka?	Vodka haradadır?
>>aze<< Who was in the car?	Maşındakı kim idi?
>>aze<< Whose fault was it?	Bu kimin səhvi idi?
>>aze<< You aren't invited.	Siz dəvət olunmamısınız.
>>aze<< You broke my heart.	Ürəyimi qırdın.
>>aze<< You have no choice.	Sizin seçiminiz yoxdur.
>>aze<< You know everybody.	Sən hamını tanıyırsan.
>>aze<< You look very pale.	Çox solğun görünürsən.
>>aze<< You look very pale.	Çox solğun görünürsünüz.
>>aze<< You're an optimist.	Siz optimistsiniz.
>>aze<< You're hurting him.	Siz onu incidirsiniz.
>>aze<< A dog has four legs.	İtin dörd ayağı olur.
>>aze<< Allow me to explain.	İcazə ver izah edim.
>>aze<< Are they all strong?	Onların hamısı güclüdür?
>>aze<< Are they still here?	Onlar hələ buradadırlar?
>>aze<< Are we just friends?	Biz sadəcə dostuq?
>>aze<< Can I give you this?	Mən bunu sənə verə bilərəm?
>>aze<< Can I give you this?	Mən bunu sizə verə bilərəm?
>>aze<< Even Tom knows that.	Hətta Tom da onu bilir.
>>aze<< He has enough money.	Onun kifayət qədər pulu var.
>>aze<< He lives in Morocco.	O Mərakeşdə yaşayır.
>>aze<< He slept in the car.	O, maşında yatdı.
>>aze<< He was born in Ohio.	O Ohayoda doğulub.
>>aze<< His heart is broken.	Onun qəlbi qırıqdır.
>>aze<< I am not an athlete.	Mən atlet deyiləm.
>>aze<< I am not in a hurry.	Mən tələsmirəm.
>>aze<< I am sad to hear it.	Bunu eşitdiyimə təəssüf edirəm.
>>aze<< I can see the light.	İşığı görə bilirəm.
>>aze<< I can't change this.	Mən bunu dəyişə bilmirəm.
>>aze<< I can't control Tom.	Mən Tomu idarə edə bilmirəm.
>>aze<< I didn't expect you.	Sizi gözləmirdim.
>>aze<< I didn't expect you.	Səni gözləmirdim.
>>aze<< I don't like garlic.	Sarımsaq xoşlamıram.
>>aze<< I don't like onions.	Soğan xoşlamıram.
>>aze<< I have a dictionary.	Mənim lüğətim var.
>>aze<< I have two children.	Mənim iki uşağım var.
>>aze<< I just want lettuce.	Mən sadəcə kahı istəyirəm.
>>aze<< I no longer need it.	Daha mənə lazım deyil.
>>aze<< I no longer need it.	Mənim daha buna ehtiyacım yoxdur.
>>aze<< I returned to Japan.	Mən Yaponiyaya qayıtdım.
>>aze<< I saw her yesterday.	Mən onu dünən gördüm.
>>aze<< I was already tired.	Mən artıq yorulmuşdum.
>>aze<< I was baking a cake.	Mən tort bişirirdim.
>>aze<< I was expecting Tom.	Mən Tomu gözləyirdim.
>>aze<< I wasn't in a hurry.	Mən tələsmirdim.
>>aze<< I'm against the war.	Mən müharibənin əleyhinəyəm.
>>aze<< I'm proud of myself.	Mən özümlə fəxr edirəm.
>>aze<< I'm thinking of you.	Səni düşünürəm.
>>aze<< I've done it myself.	Mən bunu özüm etmişəm.
>>aze<< I've lost my wallet.	Pul kisəmi itirmişəm.
>>aze<< I've read this book.	Mən bu kitabı oxumuşam.
>>aze<< In fact, I am happy.	Əslində mən xoşbəxtəm.
>>aze<< Is it a big problem?	Bu böyük problemdir?
>>aze<< It didn't cost much.	Bu bahalı deyildi.
>>aze<< It wasn't very good.	Elə də yaxşı deyildi.
>>aze<< It's a comedy movie.	Bu komediyadır.
>>aze<< It's not a bad idea.	Pis fikir deyil.
>>aze<< My nose is bleeding.	Mənim burnum qanayır.
>>aze<< She drives me crazy.	O mənim ağlımı başımdan alır.
>>aze<< She raised her hand.	O, əlini qaldırdı.
>>aze<< She's got the point.	O məsələni başa düşdü.
>>aze<< Should I stay or go?	Qalım, ya gedim?
>>aze<< Show me your papers!	Sənədlərinizi göstərin!
>>aze<< The car didn't stop.	Maşın dayanmadı.
>>aze<< The cat drinks milk.	Pişik süd içir.
>>aze<< The choice is yours.	Seçim sizindir.
>>aze<< The choice is yours.	Seçim sənindir.
>>aze<< The meat tastes bad.	Ətin dadı pisdir.
>>aze<< The room is too big.	Otaq çox böyükdür.
>>aze<< The victory is ours.	Qələbə bizimdir.
>>aze<< These books are old.	Bu kitablar köhnədirlər.
>>aze<< They believe in God.	Onlar Allaha inanırlar.
>>aze<< They know your name.	Onlar sənin adını bilirlər.
>>aze<< This apple is sweet.	Bu alma şirindir.
>>aze<< This is an old book.	Bu köhnə kitabdır.
>>aze<< This is holy ground.	Bu müqəddəs torpaqdır.
>>aze<< This is my computer.	Bu mənim kompüterimdir.
>>aze<< This is my question.	Bu mənim sualımdır.
>>aze<< This is their house.	Bu onların evidir.
>>aze<< This is their place.	Bu onların yeridir.
>>aze<< This table is clean.	Bu stol təmizdir.
>>aze<< Tom bought a webcam.	Tom veb kamera aldı.
>>aze<< Tom closed his eyes.	Tom gözlərini yumdu.
>>aze<< Tom has a moustache.	Tomun bığı var.
>>aze<< Tom is a bus driver.	Tom avtobus sürücüsüdür.
>>aze<< Tom is coming today.	Tom bu gün gəlir.
>>aze<< Tom is in Australia.	Tom Avstraliyadadır.
>>aze<< Tom is losing blood.	Tom qan itirir.
>>aze<< Tom is very wealthy.	Tom çox varlıdır.
>>aze<< Tom liked Australia.	Avstraliya Tomun xoşuna gəldi.
>>aze<< Tom loves Australia.	Tom Avstraliyanı sevir.
>>aze<< Tom needs something.	Toma nəsə lazımdır.
>>aze<< Tom shaved his head.	Tom başını qırxdı.
>>aze<< Tom smiled slightly.	Tom xəfifcə gülümsədi.
>>aze<< Tom started singing.	Tom oxumağa başladı.
>>aze<< Tom started to sing.	Tom mahnı oxumağa başladı.
>>aze<< We can help Tom now.	Biz indi Toma kömək edə bilərik.
>>aze<< We have three weeks.	Bizim üç həftəmiz var.
>>aze<< We're Tom's friends.	Biz Tomun dostlarıyıq.
>>aze<< We're eating apples.	Biz alma yeyirik.
>>aze<< We're in Boston now.	Biz indi Bostondayıq.
>>aze<< What are you eating?	Nə yeyirsən?
>>aze<< What did Tom expect?	Tom nə gözləyirdi?
>>aze<< What time is it now?	Saat neçədir?
>>aze<< What's Tom given us?	Tom bizə nə verib?
>>aze<< When did you return?	Siz nə vaxt qayıtdınız?
>>aze<< Where is the toilet?	Tualet haradadır?
>>aze<< Who is your teacher?	Sizin müəlliminiz kimdir?
>>aze<< Who stole the apple?	Almanı kim oğurladı?
>>aze<< You broke the rules.	Sən qaydaları pozdun.
>>aze<< You broke the rules.	Siz qaydaları pozdunuz.
>>aze<< You have a big nose.	Sənin yekə burnun var.
>>aze<< You have three cats.	Sənin üç pişiyin var.
>>aze<< You have three pens.	Sizin üç qələminiz var.
>>aze<< You have three pens.	Sənin üç qələmin var.
>>aze<< You must start soon.	Sən tezliklə başlamalısan.
>>aze<< You still need help.	Sənin hələ də köməyə ehtiyacın var.
>>aze<< You were both drunk.	Hər ikiniz də sərxoş idiniz.
>>aze<< You're just envious.	Sən sadəcə paxılsan.
>>aze<< Your job isn't hard.	İşiniz çətin deyil.
>>aze<< Apes are intelligent.	Meymunlar ağıllıdırlar.
>>aze<< Apples grow on trees.	Almalar ağaclarda yetişirlər.
>>aze<< But you're not there.	Amma sən orada deyilsən.
>>aze<< Can Tom come with us?	Tom bizimlə gələ bilər?
>>aze<< Cats have nine lives.	Pişiklərin doqquz canı var.
>>aze<< Damascus is in Syria.	Dəməşq Suriyadadır.
>>aze<< Do you have children?	Uşaqlarınız var?
>>aze<< Dublin is in Ireland.	Dublin İrlandiyadadır.
>>aze<< Every family has one.	Hər ailədə biri var.
>>aze<< Everyone is here now.	İndi hər kəs buradadır.
>>aze<< France borders Italy.	Fransa İtaliya ilə həmsərhəddir.
>>aze<< Give me a day or two.	Mənə bir-iki gün vaxt ver.
>>aze<< Give me three months.	Mənə üç ay ver.
>>aze<< He can be counted on.	Ona etibar etmək olar.
>>aze<< He crossed the river.	O, çayı keçdi.
>>aze<< He doesn't want kids.	O uşaq istəmir.
>>aze<< He returned to Japan.	O Yaponiyaya qayıtdı.
>>aze<< Her nose is bleeding.	Onun burnu qanayır.
>>aze<< Here comes the train!	Qatar gəlir!
>>aze<< I broke your ashtray.	Sənin külqabını qırdım.
>>aze<< I don't want to look.	Baxmaq istəmirəm.
>>aze<< I get off there, too.	Mən də orada düşürəm.
>>aze<< I have a twin sister.	Mənim əkiz bacım var.
>>aze<< I have three cameras.	Mənim üç kameram var.
>>aze<< I just cut my finger.	Elə indicə barmağımı kəsdim.
>>aze<< I know all about you.	Mən sizin haqqınızda hər şeyi bilirəm.
>>aze<< I look forward to it.	Mən bunu səbirsizliklə gözləyirəm.
>>aze<< I think Tom is lying.	Məncə Tom yalan danışır.
>>aze<< I think you're right.	Düşünürəm ki, sən haqlısan.
>>aze<< I want to buy a book.	Kitab almaq istəyirəm.
>>aze<< I want to go to Mars.	Mən Marsa getmək istəyirəm.
>>aze<< I work in a hospital.	Mən xəstəxanada işləyirəm.
>>aze<< I'll be your teacher.	Mən sənin müəllimin olacam.
>>aze<< I'll be your teacher.	Mən sizin müəlliminiz olacam.
>>aze<< I'll be your teacher.	Mən sizin müəlliməniz olacam.
>>aze<< I'll be your teacher.	Mən sənin müəllimən olacam.
>>aze<< I'll never lose hope.	Mən heçvaxt ümidimi itirməyəcəm.
>>aze<< I'll stay in the car.	Mən maşında qalacam.
>>aze<< I'm a French teacher.	Mən fransız dili müəllimiyəm.
>>aze<< I'm glad you're okay.	Şadam ki, yaxşısan.
>>aze<< I'm no longer sleepy.	Daha yuxulu deyiləm.
>>aze<< I'm not a bad person.	Mən pis adam deyiləm.
>>aze<< I'm writing a letter.	Məktub yazıram.
>>aze<< I've already said no.	Mən artıq "yox" dedim.
>>aze<< Iceland is an island.	İslandiya adadır.
>>aze<< Is she a taxi driver?	O taksi sürücüsüdür?
>>aze<< It's in the basement.	Zirzəmidədir.
>>aze<< It's not at all easy.	Bu heç də asan deyil.
>>aze<< Italy is a peninsula.	İtaliya yarımadadır.
>>aze<< Listen to your heart.	Ürəyinə qulaq as!
>>aze<< Look at that red car.	O qırmızı maşına bax.
>>aze<< My father grows rice.	Mənim atam düyü becərir.
>>aze<< My feet are freezing.	Ayaqlarım donur.
>>aze<< My head is exploding.	Başım partlayır.
>>aze<< My heart is pounding.	Ürəyim çırpınır.
>>aze<< My parents are crazy.	Mənim valideynlərim dəlidirlər.
>>aze<< Our train is delayed.	Qatarımız gecikir.
>>aze<< She allowed me to go.	O mənə getməyə icazə verdi.
>>aze<< She is a taxi driver.	O, taksi sürücüsüdür.
>>aze<< She likes these cats.	Onun bu pişiklərdən xoşu gəlir.
>>aze<< She looks very happy.	O çox xoşbəxt görünür.
>>aze<< Shut up and sit down.	Səsini kəs və otur!
>>aze<< That knife cuts well.	O bıçaq yaxşı kəsir.
>>aze<< The dog barked a lot.	İt çox hürdü.
>>aze<< The river overflowed.	Çay daşdı.
>>aze<< The weather got cold.	Hava soyudu.
>>aze<< There were three men.	Üç kişi var idi.
>>aze<< These apples are big.	Bu almalar böyükdürlər.
>>aze<< They grow fruit here.	Onlar burada meyvə yetişdirirlər.
>>aze<< They have black hair.	Onların qara saçları var.
>>aze<< They headed westward.	Onlar qərbə üz tutdular.
>>aze<< They want to go home.	Onlar evə getmək istəyirlər.
>>aze<< This is a lemon tree.	Bu limon ağacıdır.
>>aze<< This knife cuts well.	Bu bıçaq yaxşı kəsir.
>>aze<< Tom doesn't want you.	Tom sizi istəmir.
>>aze<< Tom doesn't want you.	Tom səni istəmir.
>>aze<< Tom had one daughter.	Tomun bir qızı var idi.
>>aze<< Tom has three uncles.	Tomun üç əmisi var.
>>aze<< Tom hates raw onions.	Tomun çiy soğandan zəhləsi gedir.
>>aze<< Tom is a firefighter.	Tom yanğınsöndürəndir.
>>aze<< Tom is a good driver.	Tom yaxşı sürücüdür.
>>aze<< Tom is a taxi driver.	Tom taksi sürücüsüdür.
>>aze<< Tom is going to lose.	Tom uduzacaq.
>>aze<< Tom is still waiting.	Tom hələ gözləyir.
>>aze<< Tom joined the group.	Tom qrupa qoşuldu.
>>aze<< Tom knows the secret.	Tom sirri bilir.
>>aze<< Tom peeled the apple.	Tom almanı soydu.
>>aze<< Tom rinsed his mouth.	Tom ağzını yaxaladı.
>>aze<< Tom says it's urgent.	Toy deyir ki, bu təcilidir.
>>aze<< Tom sliced the apple.	Tom almanı dilimlədi.
>>aze<< Tom was pretty tired.	Tom əməlli-başlı yorulmuşdu.
>>aze<< Try to be optimistic.	Nikbin olmağa çalış.
>>aze<< We didn't discuss it.	Biz bunu müzakirə etmədik.
>>aze<< We have two children.	Bizim iki uşağımız var.
>>aze<< We sell orange juice.	Biz portağal şirəsi satırıq.
>>aze<< We went to the river.	Biz çaya getdik.
>>aze<< We're blood brothers.	Biz qan qardaşlarıyıq.
>>aze<< Welcome to Australia.	Avstraliyaya xoş gəlmişsiniz!
>>aze<< When did you see her?	Siz onu nə vaxt gördünüz?
>>aze<< When did you see her?	Sən onu nə vaxt gördün?
>>aze<< When will he go home?	O nə vaxt evə gedəcək?
>>aze<< Where are the apples?	Almalar haradadır?
>>aze<< Where do you see him?	Sən onu harada görürsən?
>>aze<< Where is your school?	Sizin məktəbiniz haradadır?
>>aze<< Where is your school?	Sənin məktəbin hardadır?
>>aze<< Who gave them to you?	Onları kim sizə verdi?
>>aze<< Why did Tom tell you?	Tom niyə sizə dedi?
>>aze<< Why did you go there?	Niyə ora getdiniz?
>>aze<< Why does Tom hate me?	Tom niyə mənə nifrət edir?
>>aze<< You always lie to me.	Sən həmişə mənə yalan danışırsan.
>>aze<< You can wait outside.	Bayırda gözləyə bilərsən.
>>aze<< You need new clothes.	Sənə təzə paltarlar lazımdır.
>>aze<< You should stay here.	Siz burada qalmalısınız.
>>aze<< You should stay here.	Sən burada qalmalısan.
>>aze<< You're a good mother.	Sən yaxşı anasan.
>>aze<< You're very talented.	Siz çox istedadlısınız.
>>aze<< You're very talented.	Sən çox istedadlısan.
>>aze<< Your dog bit my hand.	İtin əlimi dişlədi.
>>aze<< Your nose is running.	Sənin burnun axır.
>>aze<< Your son is a genius.	Sizin oğlunuz dahidir.
>>aze<< A week has seven days.	Bir həftədə yeddi gün var.
>>aze<< Bananas are delicious.	Bananlar dadlıdırlar.
>>aze<< Barcelona is in Spain.	Barselona İspaniyadadır.
>>aze<< Do you have tuna fish?	Sizdə tunes balığı var?
>>aze<< He delivered a speech.	O nitq söylədi.
>>aze<< He is washing the car.	O, maşını yuyur.
>>aze<< He licked his fingers.	O barmaqlarını yaladı.
>>aze<< He was born in Africa.	O Afrikada doğulub.
>>aze<< I can hear everything.	Mən hər şeyi eşidə bilirəm.
>>aze<< I cannot speak German.	Mən almanca danışa bilmirəm.
>>aze<< I got out of the taxi.	Mən taksidən düşdüm.
>>aze<< I have three children.	Mənim üç uşağım var.
>>aze<< I like Korean cuisine.	Koreya mətbəxindən xoşum gəlir.
>>aze<< I told you to call me.	Sənə dedim ki, mənə zəng et.
>>aze<< I want to sing a song.	Mahnı oxumaq istəyirəm.
>>aze<< I want you to see her.	İstəyirəm onu görəsən.
>>aze<< I was in the hospital.	Mən xəstəxanada idim.
>>aze<< I'd like orange juice.	Portağal şirəsi istərdim.
>>aze<< I'll watch television.	Mən televizora baxacam.
>>aze<< I'm afraid of spiders.	Mən hörümçəklərdən qorxuram.
>>aze<< I'm looking for a job.	Mən iş axtarıram.
>>aze<< I'm reading this book.	Mən bu kitabı oxuyuram.
>>aze<< Is it your helicopter?	Bu sənin vertolyotundur?
>>aze<< Is it your helicopter?	Bu sizin vertolyotunuzdur?
>>aze<< Is there life on Mars?	Marsda həyat var?
>>aze<< It isn't so hot today.	Bugün elə də isti deyil.
>>aze<< It's very easy to use.	Bu, istifadə üçün çox asandır.
>>aze<< Jesus was a carpenter.	İsa dülgər idi.
>>aze<< Jupiter is very large.	Yupiter çox böyükdür.
>>aze<< May comes after April.	May apreldən sonra gəlir.
>>aze<< My nose is stuffed up.	Burnum tutulub.
>>aze<< No, I didn't write it.	Yox, bunu mən yazmamışam.
>>aze<< Nobody understands me.	Heç kim məni başa düşmür.
>>aze<< Not all birds can fly.	Bütün quşlar uça bilmir.
>>aze<< She has gone to Italy.	O İtaliyaya gedib.
>>aze<< She lives in New York.	O Nyu-Yorkda yaşayır.
>>aze<< The doors were closed.	Qapılar bağlı idi.
>>aze<< The mountain is green.	Dağ yaşıldır.
>>aze<< The war ended in 1954.	Müharibə 1954-də sona çatdı.
>>aze<< There's nobody inside.	İçəridə heç kim yoxdur.
>>aze<< They didn't get along.	Onlar yola getmədilər.
>>aze<< They gave you nothing.	Onlar sizə heç nə vermədilər.
>>aze<< They wash their hands.	Onlar əllərini yuyurlar.
>>aze<< They're eating apples.	Onlar alma yeyirlər.
>>aze<< This bag is too heavy.	Bu çanta çox ağırdır.
>>aze<< This is an apple tree.	Bu alma ağacıdır.
>>aze<< This is an apple, too.	Bu da almadır.
>>aze<< This is my dictionary.	Bu mənim lüğətimdir.
>>aze<< This is not necessary.	Bu vacib deyil.
>>aze<< This is not necessary.	Bu zəruri deyil.
>>aze<< This is our main goal.	Bu bizim əsas məqsədimizdir.
>>aze<< Tom can keep a secret.	Tom sirr saxlaya bilir.
>>aze<< Tom didn't understand.	Tom başa düşmədi.
>>aze<< Tom doesn't like cats.	Tomun pişiklərdən xoşu gəlmir.
>>aze<< Tom has a stomachache.	Tom-un dişi ağrıyır.
>>aze<< Tom has a thick beard.	Tomun qalın saqqalı var.
>>aze<< Tom has three sisters.	Tomun üç bacısı var.
>>aze<< Tom is a truck driver.	Tom yük avtomobili sürücüsüdür.
>>aze<< Tom isn't the problem.	Problem Tom deyil.
>>aze<< Tom needed a good job.	Tom-un yaxşı bir işə ehtiyacı var idi.
>>aze<< Tom never looked back.	Tom heç vaxt arxasına baxmadı.
>>aze<< Tom put the book down.	Tom kitabı yerə qoydu.
>>aze<< Tom went to Australia.	Tom Avstraliyaya getdi.
>>aze<< We have yellow apples.	Bizim sarı almalarımız var.
>>aze<< We were playing rugby.	Reqbi oynayırdıq.
>>aze<< We've seen three wars.	Biz üç müharibə görmüşük.
>>aze<< Well, I must be going.	Yaxşı, mən getməliyəm.
>>aze<< What language is this?	Bu hansı dildir?
>>aze<< What're they planning?	Onlar nə planlaşdırırlar?
>>aze<< Which car did you buy?	Hansı maşını aldın?
>>aze<< You look like a freak.	Əcaib bir şeyə oxşayırsan.
>>aze<< You must go to school.	Sən məktəbə getməlisən.
>>aze<< You're very beautiful.	Sən çox gözəlsən.
>>aze<< You're very beautiful.	Siz çox gözəlsiniz.
>>aze<< Your nose is bleeding.	Sizin burnunuz qanayır.
>>aze<< Zero comes before one.	Sıfır birdən əvvəl gəlir.
>>aze<< A sponge absorbs water.	Süngər suyu özünə çəkir.
>>aze<< Africa isn't a country.	Afrika ölkə deyil.
>>aze<< All roads lead to Rome.	Bütün yollar Romaya aparır.
>>aze<< Cats dislike being wet.	Pişiklərin yaş olmaqdan xoşları gəlmir.
>>aze<< Cats don't eat bananas.	Pişiklər banan yemirlər.
>>aze<< Cats usually hate dogs.	Pişiklərin adətən itlərdən zəhləsi gedir.
>>aze<< Do it the best you can.	Onu bacardığın qədər yaxşı et.
>>aze<< Do you drink green tea?	Yaşıl çay içirsən?
>>aze<< Do you know her father?	Onun atasını tanıyırsan?
