>>tha<< Hi.	สวัสดี
>>tha<< Do you speak English?	คุณพูดภาษาอังกฤษได้ไหม?
>>tha<< Do you understand me?	คุณเข้าใจฉันไหม?
>>tha<< Do you want to dance?	คุณอยากเต้นไหม?
>>tha<< Does Tom like Boston?	ทอมชอบบอสตันไหม?
>>tha<< Don't open your book.	อย่าเปิดหนังสือของคุณ
>>tha<< Don't worry about it!	อย่ากังวลกับมันเลย!
>>tha<< Everyone has secrets.	ทุกคนมีความลับ
>>tha<< Fish live in the sea.	ปลาอาศัยอยู่ในทะเล
>>tha<< Flowers attract bees.	ดอกไม้ดึงดูดผึ้ง
>>tha<< Give me a day or two.	ให้เวลาฉันสักวันสองวัน
>>tha<< Give me three months.	ให้เวลาฉันสามเดือน
>>tha<< Go back to your seat.	กลับไปที่นั่งของคุณ
>>tha<< He arrived too early.	เขามาถึงเร็วเกินไป
>>tha<< He built a new house.	เขาสร้างบ้านใหม่
>>tha<< He crossed the river.	เขาข้ามแม่น้ำ
>>tha<< He is afraid to swim.	เขากลัวที่จะว่ายน้ำ
>>tha<< He is reading a book.	เขากำลังอ่านหนังสือ
>>tha<< He lent me two books.	เขาให้ฉันยืมหนังสือสองเล่ม
>>tha<< He likes watching TV.	เขาชอบดูทีวี
>>tha<< He lost his eyesight.	เขาสูญเสียการมองเห็น
>>tha<< How big is this park?	สวนสาธารณะนี้ใหญ่ขนาดไหน?
>>tha<< How deep is the lake?	ทะเลสาบมีความลึกแค่ไหน?
>>tha<< How far can you swim?	คุณว่ายน้ำได้ไกลแค่ไหน
>>tha<< I always feel hungry.	ฉันรู้สึกหิวเสมอ
>>tha<< I am eating an apple.	ฉันกินแอปเปิ้ล
>>tha<< I am terribly hungry.	ฉันหิวมาก
>>tha<< I bought her a clock.	ฉันซื้อนาฬิกาให้เธอ
>>tha<< I can hear something.	ฉันได้ยินอะไรบางอย่าง
>>tha<< I can see the target.	ฉันเห็นเป้าหมายแล้ว
>>tha<< I can't sleep at all!	ผมนอนไม่หลับเลย
>>tha<< I could make changes.	ผมสามารถทำการเปลี่ยนแปลงได้
>>tha<< I don't go to school.	ฉันไม่ไปโรงเรียน
>>tha<< I fell off the chair.	ผมตกจากเก้าอี้
>>tha<< I forgot his address.	ฉันลืมที่อยู่ของเขา
>>tha<< I go there every day.	ผมไปที่นั่นทุกวัน
>>tha<< I have a few friends.	ฉันมีเพื่อนไม่กี่คน
>>tha<< I have a stomachache.	ฉันปวดท้อง
>>tha<< I have gained weight.	ฉันน้ำหนักขึ้น
>>tha<< I have three cameras.	ฉันมีกล้องสามตัว
>>tha<< I knew this was real.	ผมรู้ว่านี่คือเรื่องจริง
>>tha<< I know her very well.	ฉันรู้จักเธอเป็นอย่างดี
>>tha<< I know her very well.	ฉันรู้จักเธอดี
>>tha<< I know it's not easy.	ฉันรู้ว่ามันไม่ง่าย
>>tha<< I know it's not hard.	ฉันรู้ว่ามันไม่ยาก
>>tha<< I live a simple life.	ฉันใช้ชีวิตเรียบง่าย
>>tha<< I love French movies.	ฉันรักภาพยนตร์ฝรั่งเศส
>>tha<< I met Tom on the way.	ฉันพบทอมระหว่างทาง
>>tha<< I need to study math.	ฉันต้องเรียนคณิตศาสตร์
>>tha<< I paid $200 in taxes.	ฉันจ่ายภาษีไป 200 ดอล
>>tha<< I think I understand.	ฉันคิดว่าฉันเข้าใจ
>>tha<< I think you're right.	ฉันคิดว่าคุณพูดถูก
>>tha<< I'm depending on you.	ฉันขึ้นอยู่กับคุณ
>>tha<< I'm glad you're home.	ผมดีใจที่คุณกลับบ้าน
>>tha<< I'm going to be fine.	ฉันจะสบายดี
>>tha<< I'm in love with you.	ฉันตกหลุมรักคุณแล้ว
>>tha<< I'm looking for work.	ฉันกำลังมองหางาน
>>tha<< I'm not at all tired.	ฉันไม่เหนื่อยทั้งหมดเลย
>>tha<< I'm sorry I can't go.	ฉันขอโทษ ฉันไม่สามารถไปได้
>>tha<< I'm thirty years old.	ฉันมีอายุสามสิบปี
>>tha<< I'm writing a letter.	ฉันกำลังเขียนจดหมาย
>>tha<< I'm your best friend.	ฉันเป็นเพื่อนสนิทของคุณ
>>tha<< I've lost my glasses.	ฉันทำแว่นตาฉันหาย
>>tha<< Is it open on Sunday?	มันเปิดวันอาทิตย์ไหม
>>tha<< Is this pencil yours?	ดินสอนี้เป็นของคุณหรือ?
>>tha<< Is this pencil yours?	ดินสอนี้เป็นของคุณใช่ไหม?
>>tha<< Is this pencil yours?	ดินสอนี้ใช่ของคุณมั๊ย?
>>tha<< It is in the kitchen.	มันอยู่ในห้องครัว
>>tha<< It isn't hard for me.	มันไม่ยากสําหรับผม
>>tha<< It may rain tomorrow.	พรุ่งนี้อาจจะมีฝน
>>tha<< It may rain tomorrow.	ฝนอาจจะตกพรุ่งนี้
>>tha<< It was hot yesterday.	เมื่อวานอากาศโคตรร้อนเลย
>>tha<< It'll cost me my job.	มันจะทำให้ฉันเสียงาน
>>tha<< It's not a classroom.	มันไม่ใช่ห้องเรียน
>>tha<< It's not raining yet.	ฝนยังไม่ตก
>>tha<< Just call the police.	แค่โทรหาตำรวจ
>>tha<< Just close your eyes.	แค่หลับตาของคุณ
>>tha<< Keep the door locked.	ล็อคประตูไว้
>>tha<< Let me say one thing.	ให้ฉันพูดสิ่งนึง
>>tha<< Let's sing and dance.	ร้องเพลงและเต้นรำกันเถอะ
>>tha<< Lincoln died in 1865.	ลินคอล์นเสียชีวิตในปี 1865
>>tha<< Many trees fell down.	ต้นไม้จำนวนมากล้มลง
>>tha<< May I have a receipt?	ฉันขอใบเสร็จได้ไหม?
>>tha<< Nobody spoke with me.	ไม่มีใครพูดกับฉัน
>>tha<< Our fridge is broken.	ตู้เย็นของเราเสีย
>>tha<< Rabbits love carrots.	กระต่ายรักแคร์รอต
>>tha<< Shall we take a taxi?	เราจะนั่งแท็กซี่กันไหม?
>>tha<< She can speak French.	เธอสามารถพูดภาษาฝรั่งเศสได้
>>tha<< She sang pretty well.	เธอร้องเพลงได้ดี
>>tha<< She's as busy as Tom.	เธอยุ่งเหมือนทอม
>>tha<< Sorry for being late.	ขอโทษที่มาสาย
>>tha<< Stop calling me that.	เลิกเรียกผมแบบนั้นได้แล้ว
>>tha<< Sumatra is an island.	สุมาตราเป็นเกาะ
>>tha<< Tell him who you are.	บอกเขาว่าคุณเป็นใคร
>>tha<< Thanks for asking me.	ขอบคุณที่ถามผม
>>tha<< That bicycle is mine.	จักรยานนั่นเป็นของฉัน
>>tha<< That's disappointing.	นั่นน่าผิดหวัง
>>tha<< That's what Tom said.	นั่นคือสิ่งที่ทอมพูด
>>tha<< The beer's very cold.	เบียร์เย็นมาก
>>tha<< The fan doesn't work.	พัดลมไม่ทำงาน
>>tha<< The house is haunted.	บ้านถูกผีสิง
>>tha<< The wind calmed down.	ลมสงบลง
>>tha<< There is a gold coin.	มีเหรียญทอง
>>tha<< There is no solution.	ไม่มีวิธีแก้ปัญหา
>>tha<< There's no food left.	ไม่มีอาหารเหลือ
>>tha<< They deserve respect.	พวกเขาสมควรได้รับความเคารพ
>>tha<< They don't like cats.	พวกเขาไม่ชอบแมว
>>tha<< They're not here yet.	พวกเขายังไม่มา
>>tha<< They're not soldiers.	พวกเขาไม่ใช่ทหาร
>>tha<< This bicycle is mine.	จักรยานนี้เป็นของฉัน
>>tha<< This car is like new.	รถคันนี้เหมือนใหม่
>>tha<< This is Tom's school.	นี่คือโรงเรียนของทอม
>>tha<< This is all my fault.	ทั้งหมดเป็นความผิดของผม
>>tha<< This is for you, Tom.	นี่เพื่อคุณ, ทอม
>>tha<< This is really weird.	นี่มันแปลกจริง ๆ
>>tha<< This tea smells good.	ชานี้มีกลิ่นดี
>>tha<< This will cost €30.	ราคา 30 ยูโรค่ะ/ครับ
>>tha<< Those apples are big.	แอปเปิ้ลเหล่านั้นมีขนาดใหญ่
>>tha<< Tom checked the time.	ทอมดูเวลา
>>tha<< Tom doesn't eat meat.	ทอมไม่กินเนื้อ
>>tha<< Tom had many friends.	ทอมมีเพื่อนมากมาย
>>tha<< Tom has a family now.	ทอมมีครอบครัวแล้ว
>>tha<< Tom has a silk scarf.	ทอมมีผ้าพันคอไหม
>>tha<< Tom hates raw onions.	ทอมเกลียดหัวหอมดิบ
>>tha<< Tom is a wealthy man.	ทอมเป็นคนร่ำรวย
>>tha<< Tom is almost asleep.	ทอมใกล้จะหลับแล้ว
>>tha<< Tom is chopping wood.	ทอมกำลังตัดไม้
>>tha<< Tom is now in prison.	ตอนนี้ทอมอยู่ในคุก
>>tha<< Tom is ready to lead.	ทอมพร้อมที่จะเป็นผู้นำ
>>tha<< Tom is still puzzled.	ทอมยังงงอยู่
>>tha<< Tom is very handsome.	ทอมหล่อมาก
>>tha<< Tom likes to do that.	ทอมชอบทำอย่างนั้น
>>tha<< Tom should talk less.	ทอมควรพูดให้น้อยลง
>>tha<< Tom tends to be late.	ทอมมักจะมาสาย
>>tha<< Tom understands Mary.	ทอมเข้าใจแมรี่
>>tha<< Tom wants to do that.	ทอมต้องการทำเช่นนั้น
>>tha<< Tom was a good boxer.	ทอมเป็นนักมวยที่ดี
>>tha<< Tom works for a bank.	ทอมทำงานให้ธนาคาร
>>tha<< Tom's making his bed.	ทอมจัดเตียงของเขา
>>tha<< Tom's room is locked.	ห้องของทอมล็อกอยู่
>>tha<< Water reflects light.	น้ำสะท้อนแสง
>>tha<< We need to chat soon.	เราต้องคุยกันเร็วๆนี้
>>tha<< We sang while hiking.	เราร้องเพลงขณะเดินป่า
>>tha<< We're ready to leave.	เราพร้อมที่จะออกแล้ว
>>tha<< What do you men want?	ผู้ชายคุณต้องการอะไร
>>tha<< What's my punishment?	อะไรคือบทลงโทษของฉัน?
>>tha<< Where are my glasses?	แว่นตาของฉันอยู่ที่ไหน?
>>tha<< Where is the library?	ห้องสมุดอยู่ที่ไหน?
>>tha<< Where is your father?	พ่อของคุณอยู่ที่ไหน?
>>tha<< Where is your school?	โรงเรียนของคุณอยู่ที่ไหน?
>>tha<< Which ones are Tom's?	อันไหนคือของทอม
>>tha<< Who benefits from it?	ใครได้ประโยชน์จากมัน
>>tha<< Why are you so happy?	ทำไมคุณมีความสุขมาก?
>>tha<< Why doesn't Tom talk?	ทำไมทอมไม่พูด?
>>tha<< Why don't you listen?	ทำไมคุณถึงไม่ฟัง?
>>tha<< Would you like to go?	คุณอยากจะไปไหม?
>>tha<< You aren't my mother.	คุณไม่ใช่แม่ของฉัน
>>tha<< You may use this car.	คุณอาจใช้รถคันนี้
>>tha<< You should head west.	คุณควรมุ่งไปทางทิศตะวันตก
>>tha<< You should let it go.	คุณควรปล่อยมันไป
>>tha<< You're a good mother.	คุณเป็นแม่ที่ดี
>>tha<< You've got to fix it.	คุณต้องแก้ไขมัน
>>tha<< Your answer is wrong.	คำตอบของคุณผิด
>>tha<< Your parents hate me.	พ่อแม่เธอไม่ชอบฉัน
>>tha<< Above all, be patient.	เหนือสิ่งอื่นใด มีความอดทน
>>tha<< All my books are gone.	หนังสือทั้งหมดของผมหายไป
>>tha<< Am I talking too much?	ผมพูดมากเกินไปไหม
>>tha<< Any child can do that.	เด็กทุกคนสามารถทำได้
>>tha<< Are you afraid of Tom?	คุณกลัวทอมไหม?
>>tha<< Are you getting tired?	คุณเหนื่อยไหม?
>>tha<< Are you talking to me?	คุณกำลังพูดกับฉันหรือเปล่า?
>>tha<< Ask whatever you want.	ถามอะไรก็ได้ที่คุณต้องการ
>>tha<< Can I open the window?	ฉันเปิดหน้าต่างได้ไหม?
>>tha<< Can you keep a secret?	คุณเก็บไว้เป็นความลับได้ไหม?
>>tha<< Children love to sing.	เด็กๆชอบร้องเพลง
>>tha<< Did Tom pass the exam?	ทอมสอบผ่านไหม
>>tha<< Did you buy Tom a dog?	คุณซื้อสุนัขให้ทอมหรือไม่
>>tha<< Do you enjoy studying?	เธอสนุกกับการเรียนมั้ย?
>>tha<< Do you have a lighter?	คุณมีไฟแช็คไหม?
>>tha<< Do you know your size?	คุณรู้ขนาดของคุณไหม?
>>tha<< Do you like this city?	คุณชอบเมืองนี้ไหม
>>tha<< Do you want to go out?	คุณอยากไปข้างนอกไหม
>>tha<< Does Tom travel a lot?	ทอมเดินทางบ่อยไหม
>>tha<< Does he speak English?	เขาพูดภาษาอังกฤษได้ไหม?
>>tha<< Does she have a piano?	เธอมีเปียโนไหม?
>>tha<< Does she like oranges?	เธอชอบส้มหรือไม่?
>>tha<< Everyone is different.	เราทุกคนต่างกัน
>>tha<< Everyone must do this.	ทุกคนต้องทำอย่างนี้
>>tha<< Everything is working.	ทุกอย่างทำงานได้
>>tha<< Get back in the house.	กลับเข้าบ้านกันเถอะ
>>tha<< Give us three minutes.	ให้เวลาเราสามนาที
>>tha<< Have they arrived yet?	พวกเขามาถึงหรือยัง?
>>tha<< He broke his left arm.	เขาหักแขนซ้ายของเขา
>>tha<< He has a lot of money.	เขามีเงินจำนวนมาก
>>tha<< He hasn't arrived yet.	เขายังมาไม่ถึง
>>tha<< He is good at singing.	เขาร้องเพลงเก่ง
>>tha<< He is wearing glasses.	เขากำลังใส่แว่นตา
>>tha<< He sat reading a book.	เขานั่งอ่านหนังสือ
>>tha<< He shouted, "Get out!"	เขาตะโกน "ออกไป!"
>>tha<< He teaches us English.	เขาภาษาอังกฤษให้พวกเรา
>>tha<< He's not always happy.	เขาไม่ได้มีความสุขเสมอ
>>tha<< He's shorter than Tom.	เขาเตี้ยกว่าทอม
>>tha<< How did you cook this?	คุณทำอาหารนี้ได้อย่างไร
>>tha<< How long did you stay?	คุณอยู่นานแค่ไหน?
>>tha<< How long does it take?	มันจะใช้เวลานานแค่ไหน?
>>tha<< I bet you know French.	ฉันพนันว่าคุณรู้ภาษาฝรั่งเศส
>>tha<< I bought it last week.	ฉันซื้อมันเมื่อสัปดาห์ที่แล้ว
>>tha<< I can't sell you that.	ผมไม่สามารถขายสิ่งนั้นให้คุณได้
>>tha<< I dislike being alone.	ฉันไม่ชอบอยู่คนเดียว
>>tha<< I don't have a sister.	ฉันไม่มีพี่สาวหรือน้องสาว
>>tha<< I don't have time now.	ตอนนี้ฉันไม่มีเวลาแล้ว
>>tha<< I don't know his name.	ฉันไม่รู้ชื่อของเขา
>>tha<< I don't need your job.	ฉันไม่ต้องการงานของคุณ
>>tha<< I don't work at night.	ผมไม่ได้ทำงานตอนกลางคืน
>>tha<< I drank tea yesterday.	ฉันดื่มชาเมื่อวานนี้
>>tha<< I fear we're too late.	ฉันกลัวว่าเราจะสายเกินไป
>>tha<< I found out the truth.	ฉันพบความจริง
>>tha<< I have nothing to say.	ฉันไม่มีอะไรที่จะพูด
>>tha<< I have to go to sleep.	ฉันต้องไปนอนแล้ว
>>tha<< I know it's difficult.	ผมรู้มันยาก
>>tha<< I like dogs very much.	ฉันชอบสุนัขมาก
>>tha<< I like helping people.	ผมชอบช่วยคน
>>tha<< I like to buy clothes.	ฉันชอบซื้อเสื้อผ้า
>>tha<< I love that tradition.	ผมชอบประเพณีนั้น
>>tha<< I never liked biology.	ฉันไม่เคยชอบชีววิทยา
>>tha<< I paid about 50 bucks.	ฉันจ่ายไปประมาณ 50 ดอลลาร์
>>tha<< I said goodbye to Tom.	ฉันบอกลากับทอม
>>tha<< I think we should run.	ผมคิดว่าเราควรวิ่ง
>>tha<< I tried to find a job.	ผมพยายามหางาน
>>tha<< I want to participate.	ฉันต้องการมีส่วนร่วม
>>tha<< I want to say goodbye.	ฉันอยากจะบอกลา
>>tha<< I want to wash my car.	ผมอยากล้างรถ
>>tha<< I was happy yesterday.	เมื่อวานฉันมีความสุข
>>tha<< I wonder what this is.	ผมสงสัยว่านี่คืออะไร
>>tha<< I'd accept that offer.	ผมยอมรับข้อเสนอนั้น
>>tha<< I'd like nothing more.	ผมไม่ต้องการอะไรอีกแล้ว
>>tha<< I'd rather live alone.	ผมขออยู่คนเดียวดีกว่า
>>tha<< I'm going to help you.	ผมจะไปช่วยคุณ
>>tha<< I'm going to miss Tom.	ฉันจะคิดถึงทอม
>>tha<< I'm going to the bank.	ฉันจะไปธนาคาร
>>tha<< I'm leaving it to you.	ฉันจะทิ้งมันไว้กับคุณ
>>tha<< I'm moving next month.	ผมจะย้ายในเดือนหน้า
>>tha<< I'm not on Tom's team.	ฉันไม่ได้อยู่ในทีมของทอม
>>tha<< I'm the one they want.	ฉันเป็นคนที่พวกเขาต้องการ
>>tha<< I've helped Tom a lot.	ฉันช่วยทอมมามากแล้ว
>>tha<< I've never shot a gun.	ผมไม่เคยยิงปืน
>>tha<< Is that what Tom said?	นั่นคือสิ่งที่ทอมพูดหรือเปล่า?
>>tha<< Is that what you said?	นั่นคือสิ่งที่คุณพูดหรือ?
>>tha<< Is your watch correct?	นาฬิกาข้อมือของคุณถูกต้องหรือไม่
>>tha<< It means a great deal.	มันมีความหมายมาก
>>tha<< It's an imported item.	มันเป็นสินค้านำเข้า
>>tha<< It's been a long week.	มันเป็นสัปดาห์ที่ยาวนาน
>>tha<< It's driving me crazy.	มันทำให้ฉันบ้า
>>tha<< It's probably a virus.	มันอาจเป็นไวรัส
>>tha<< It's totally my fault.	มันเป็นความผิดของฉันทั้งหมด
>>tha<< Keep in touch with me.	ติดต่อกับฉัน
>>tha<< Lay down on the couch.	นอนลงบนโซฟา
>>tha<< Let's play volleyball.	มาเล่นวอลเลย์บอลกัน
>>tha<< Like father, like son.	เหมือนพ่อ เหมือนลูกชาย
>>tha<< Mary is a girl's name.	แมรี่เป็นชื่อของเด็กผู้หญิง
>>tha<< May I open the window?	ฉันขอเปิดหน้าต่างได้ไหม?
>>tha<< May I sit next to you?	ฉันขอนั่งข้าง ๆ คุณได้ไหม
>>tha<< My baggage is missing.	สัมภาระของฉันหายไป
>>tha<< My son is in the army.	ลูกชายของฉันอยู่ในกองทัพ
>>tha<< Please close the door.	กรุณาปิดประตู
>>tha<< Please don't say that.	กรุณาอย่าพูดอย่างนั้น
>>tha<< Please don't say that.	โปรดอย่าพูดอย่างนั้น
>>tha<< Please don't touch me.	กรุณาอย่าแตะต้องฉัน
>>tha<< Please think about it.	โปรดคิดเกี่ยวกับมัน
>>tha<< Put it where you like.	วางไว้ในตำแหน่งที่คุณชอบ
>>tha<< She agreed to my idea.	เธอเห็นด้วยกับความคิดของฉัน
>>tha<< She refused his offer.	เธอปฏิเสธข้อเสนอของเขา
>>tha<< She's smaller than me.	เธอตัวเล็กกว่าฉัน
>>tha<< That isn't how I feel.	นั่นไม่ใช่สิ่งที่ผมรู้สึก
>>tha<< That isn't quite true.	นั่นไม่จริงเลย
>>tha<< That looks like blood.	นั่นดูเหมือนเลือด
>>tha<< That works every time.	มันได้ผลทุกครั้ง
>>tha<< That's all we ever do.	นั่นคือทั้งหมดที่เราทำ
>>tha<< That's not my mistake.	นั่นไม่ใช่ความผิดผม
>>tha<< The price is going up.	ราคากำลังขึ้น
>>tha<< The streets are clean.	ถนนสะอาด
>>tha<< The wind blew all day.	ลมพัดทั้งวัน
>>tha<< They made me go there.	พวกเขาทำให้ฉันไปที่นั่น
>>tha<< They should apologize.	พวกเขาควรขอโทษ
>>tha<< This is not my ticket.	นี่ไม่ใช่ตั๋วของฉัน
>>tha<< Tom appeared confused.	ทอมดูสับสน
>>tha<< Tom bought some bread.	ทอมซื้อขนมปังมาพอประมาณ
>>tha<< Tom fixed my computer.	ทอมซ่อมคอมพิวเตอร์ของฉัน
>>tha<< Tom has three cameras.	ทอมมีกล้องสามตัว
>>tha<< Tom is at the airport.	ทอมอยู่ที่สนามบิน
>>tha<< Tom is in a book club.	ทอมเป็นสมาชิกของชมรมหนังสือ
>>tha<< Tom is weak in French.	ทอมไม่เก่งภาษาฝรั่งเศส
>>tha<< Tom likes being alone.	ทอมชอบอยู่คนเดียว
>>tha<< Tom might have cancer.	ทอมอาจเป็นมะเร็ง
>>tha<< Tom took all my money.	ทอมเอาเงินทั้งหมดของฉันไป
>>tha<< Tom tore the paper up.	ทอมฉีกกระดาษ
>>tha<< Tomorrow is Christmas.	พรุ่งนี้เป็นวันคริสต์มาส
>>tha<< Wait here for a while.	รอที่นี่สักครู่
>>tha<< We cut the pie in two.	เราตัดพายเป็นสองส่วน
>>tha<< We'll catch up to you.	เราจะติดต่อกลับไปหาคุณ
>>tha<< What were your duties?	หน้าที่ของคุณคืออะไร
>>tha<< What's wrong with you?	เกิดอะไรขึ้นกับคุณ?
>>tha<< Where is the bathroom?	ห้องน้ำอยู่ที่ไหน?
>>tha<< Where is the elevator?	ลิฟต์อยู่ที่ไหน?
>>tha<< Who is in charge here?	ใครเป็นผู้รับผิดชอบที่นี่?
>>tha<< Who is this money for?	เงินนี่สำหรับใคร
>>tha<< Who will you vote for?	คุณจะลงคะแนนให้ใคร
>>tha<< Whose side are you on?	คุณอยู่ฝ่ายใด?
>>tha<< Why do you hate women?	ทำไมคุณถึงเกลียดผู้หญิง?
>>tha<< Will it rain tomorrow?	ฝนจะตกไหมพรุ่งนี้
>>tha<< You look pretty tired.	คุณดูเหนื่อยมาก
>>tha<< You must come with me.	คุณต้องมากับฉัน
>>tha<< You need to pay first.	คุณต้องจ่ายเงินก่อน
>>tha<< You recovered quickly.	คุณหายเร็ว
>>tha<< You're very beautiful.	คุณสวยมาก
>>tha<< 2539 is a prime number.	2539 เป็นจำนวนเฉพาะ
>>tha<< All I have is one book.	ฉันมีแค่หนังสือเล่มเดียว
>>tha<< Are you Tom's daughter?	คุณใช่ลูกสาวของทอมไหม?
>>tha<< Better late than never.	มาสายดีกว่าไม่มา
>>tha<< Call me when it's done.	โทรหาผมเมื่อเสร็จแล้ว
>>tha<< Charity begins at home.	การกุศลเริ่มต้นที่บ้าน
>>tha<< Could you walk the dog?	คุณช่วยพาสุนัขไปเดินเล่นได้ไหม
>>tha<< Did you have breakfast?	คุณกินข้าวเช้าหรือยัง?
>>tha<< Did you see him go out?	คุณเห็นเขาออกไปไหม?
>>tha<< Do you dream in French?	คุณฝันในภาษาฝรั่งเศสไหม?
>>tha<< Do you know the reason?	คุณรู้เหตุผลไหม?
>>tha<< Do you know who she is?	คุณรู้ไหมว่าเธอเป็นใคร?
>>tha<< Do you like this house?	คุณชอบบ้านหลังนี้ไหม
>>tha<< Do you need more money?	คุณต้องการเงินเพิ่มไหม
>>tha<< Do you see the raccoon?	คุณเห็นแรคคูนไหม
>>tha<< Does that happen often?	มันเกิดขึ้นบ่อยไหม
>>tha<< Every child knows this.	เด็กทุกคนรู้เรื่องนี้
>>tha<< Everything's quiet now.	ตอนนี้ทุกอย่างเงียบสงบ
>>tha<< French isn't difficult.	ภาษาฝรั่งเศสไม่ยาก
>>tha<< Hasn't Tom arrived yet?	ทอมยังไม่มาอีกเหรอ
>>tha<< Have you read this yet?	คุณอ่านนี่หรือยัง
>>tha<< Have you seen the news?	คุณเห็นข่าวไหม
>>tha<< He asked for my advice.	เขาขอคำแนะนำจากฉัน
>>tha<< He attempted to escape.	เขาพยายามหลบหนี
>>tha<< He did nothing but cry.	เขาไม่ทำอะไรนอกจากร้องไห้
>>tha<< He died of lung cancer.	เขาเสียชีวิตด้วยโรคมะเร็งปอด
>>tha<< He kept reading a book.	เขาอ่านหนังสือต่อไป
>>tha<< He stayed at the hotel.	เขาพักที่โรงแรม
>>tha<< He still wants to come.	เขายังคงต้องการที่จะมา
>>tha<< He went to the dentist.	เขาไปหาหมอฟัน
>>tha<< How wide is this river?	แม่น้ำสายนี้กว้างเท่าไหร่?
>>tha<< I admit that I'm wrong.	ฉันยอมรับว่าฉันผิด
>>tha<< I always keep promises.	ฉันรักษาสัญญาเสมอ
>>tha<< I believe Tom is right.	ฉันเชื่อว่าทอมพูดถูก
>>tha<< I bought her a new car.	ฉันซื้อรถใหม่ให้เธอ
>>tha<< I can't find my wallet.	ผมหากระเป๋าตังค์ไม่เจอ
>>tha<< I can't just stay here.	ผมอยู่ที่นี่ไม่ได้
>>tha<< I could never fool you.	ผมไม่เคยหลอกคุณได้
>>tha<< I couldn't stop crying.	ฉันหยุดร้องไห้ไม่ได้
>>tha<< I don't agree with you.	ฉันไม่เห็นด้วยกับคุณ
>>tha<< I don't have any money.	ฉันไม่มีเงินเลย
>>tha<< I don't like it at all.	ฉันไม่ชอบมันเลย
>>tha<< I don't like that name.	ฉันไม่ชอบชื่อนั้น
>>tha<< I don't normally dance.	ปกติผมไม่เต้น
>>tha<< I don't speak Japanese.	ฉันพูดภาษาญี่ปุ่นไม่ได้
>>tha<< I don't understand you.	ฉันไม่เข้าใจคุณ
>>tha<< I have many colleagues.	ผมมีเพื่อนร่วมงานหลายคน
>>tha<< I have no alternatives.	ผมไม่มีทางเลือกอื่น
>>tha<< I have to find the key.	ผมต้องหากุญแจ
>>tha<< I haven't said yes yet.	ผมยังไม่ได้ตอบตกลง
>>tha<< I just want to go home.	ฉันแค่อยากกลับบ้าน
>>tha<< I like speaking French.	ฉันชอบพูดภาษาฝรั่งเศส
>>tha<< I prefer rice to bread.	ผมชอบข้าวมากกว่าขนมปัง
>>tha<< I saw Tom at the party.	ฉันเห็นทอมที่งานเลี้ยง
>>tha<< I think you lied to me.	ฉันคิดว่าคุณโกหกฉัน
>>tha<< I told him to be quiet.	ผมบอกให้เขาเงียบ
>>tha<< I used to believe that.	ผมเคยเชื่ออย่างนั้น
>>tha<< I want to do it myself.	ฉันต้องการทำมันเอง
>>tha<< I was in the mountains.	ตอนนั้นฉันอยู่ในเขา
>>tha<< I was on the wrong bus.	ฉันขึ้นรถเมล์ผิด
>>tha<< I was three hours late.	ผมมาสายสามชั่วโมง
>>tha<< I will gladly help you.	ฉันยินดีที่จะช่วยคุณ
>>tha<< I will stay home today.	ฉันจะอยู่บ้านวันนี้
>>tha<< I won't be coming back.	ผมจะไม่กลับมา
>>tha<< I wonder what happened.	ฉันสงสัยว่าเกิดอะไรขึ้น
>>tha<< I'd be glad to do that.	ผมยินดีที่จะทำอย่างนั้น
>>tha<< I'll take them with me.	ผมจะพาพวกเขาไปกับผม
>>tha<< I'll wash my car today.	ผมจะล้างรถวันนี้
>>tha<< I'm a pretty lucky guy.	ผมเป็นคนที่โชคดีมาก
>>tha<< I'm not going with you.	ฉันจะไม่ไปกับคุณ
>>tha<< I'm not here every day.	ผมไม่ได้อยู่ที่นี่ทุกวัน
>>tha<< I'm worried about them.	ฉันเป็นห่วงพวกเขา
>>tha<< I've finished studying.	ผมเรียนจบแล้ว
>>tha<< I've never been abroad.	ฉันไม่เคยไปต่างประเทศ
>>tha<< I've said that already.	ผมเคยพูดไปแล้ว
>>tha<< Is it a recent picture?	นี่เป็นภาพล่าสุดรึเปล่า?
>>tha<< Isn't that what I said?	นั่นคือสิ่งที่ฉันพูดไม่ได้เหรอ?
>>tha<< It doesn't look so bad.	มันดูไม่แย่เลย
>>tha<< It doesn't surprise me.	มันไม่แปลกใจเลยสำหรับฉัน
>>tha<< It isn't an easy sport.	มันไม่ใช่กีฬาที่ง่าย
>>tha<< It just wasn't our day.	มันไม่ใช่วันของเรา
>>tha<< It was in the basement.	มันอยู่ในห้องใต้ดิน
>>tha<< It wasn't made of wood.	มันไม่ได้ทำจากไม้
>>tha<< It's October the third.	วันนี้คือวันที่สามตุลาคม
>>tha<< Just follow your heart.	เพียงทำตามหัวใจของคุณ
>>tha<< Let me cut the carrots.	ฉันขอตัดแครอท
>>tha<< Let's sit on the grass.	มานั่งบนพื้นหญ้ากันเถอะ
>>tha<< Mind your own business!	ไปยุ่งกับเรื่องของตัวเองเถอะ
>>tha<< My wife died of cancer.	ภรรญาของฉันตายจากโรคมะเร็ง
>>tha<< No one sat in the back.	ไม่มีใครนั่งข้างหลัง
>>tha<< Our plans have changed.	แผนของเราเปลี่ยนไปแล้ว
>>tha<< Please show up on time.	กรุณามาตรงเวลา
