>>bul<< Hi.	Здрасти.
>>bul<< A man must work.	Човек трябва да се труди.
>>bul<< Am I reinstated?	Възстановен ли съм на длъжност?
>>bul<< Am I reinstated?	Възстановена ли съм на длъжност?
>>bul<< Am I understood?	Разбра ли ме?
>>bul<< Am I understood?	Разбрахте ли ме?
>>bul<< Anybody can try.	Всеки може да се опита.
>>bul<< Anybody can try.	Всеки може да опита.
>>bul<< Anybody miss me?	Липсвах ли ви?
>>bul<< Anybody see you?	Някой видя ли те?
>>bul<< Are those yours?	Тези твои ли са?
>>bul<< Are those yours?	Тези ваши ли са?
>>bul<< Are those yours?	Тези Ваши ли са?
>>bul<< Are we finished?	Приключихме ли?
>>bul<< Are we finished?	Свършихме ли?
>>bul<< Are we prepared?	Готови ли сме?
>>bul<< Are we prepared?	Подготвени ли сме?
>>bul<< Are you at home?	Вкъщи ли си си?
>>bul<< Are you doctors?	Вие лекари ли сте?
>>bul<< Are you doctors?	Вие доктори ли сте?
>>bul<< Are you injured?	Ранен ли си?
>>bul<< Are you injured?	Ранена ли си?
>>bul<< Are you injured?	Ранен ли сте?
>>bul<< Are you injured?	Ранена ли сте?
>>bul<< Are you jealous?	Ревнуваш ли?
>>bul<< Are you jealous?	Ревнувате ли?
>>bul<< Are you leaving?	Тръгваш ли?
>>bul<< Are you leaving?	Тръгваш ли си?
>>bul<< Are you leaving?	Тръгвате ли?
>>bul<< Are you leaving?	Тръгвате ли си?
>>bul<< Are you nervous?	Нервен ли си?
>>bul<< Are you nervous?	Нервна ли си?
>>bul<< Are you nervous?	Нервни ли сте?
>>bul<< Are you psychic?	Ти екстрасенс ли си?
>>bul<< Are you sisters?	Сестри ли сте?
>>bul<< Are you worried?	Притеснен ли си?
>>bul<< Are you worried?	Притеснена ли си?
>>bul<< Are you worried?	Притеснени ли сте?
>>bul<< Are you worried?	Тревожиш ли се?
>>bul<< Are you worried?	Тревожите ли се?
>>bul<< Aren't we lucky?	Не сме ли късметлии?
>>bul<< Aren't you cold?	Не ти ли е студено?
>>bul<< Aren't you cold?	Не Ви ли е студено?
>>bul<< Aren't you late?	Не закъсняваш ли?
>>bul<< Aren't you late?	Не закъснявате ли?
>>bul<< Ask again later.	Попитай пак по-късно.
>>bul<< Ask again later.	Попитайте пак по-късно.
>>bul<< Ask me anything.	Питай ме всичко.
>>bul<< Ask me anything.	Поискай ми всичко.
>>bul<< Ask me tomorrow.	Питай ме утре.
>>bul<< Be careful, Tom!	Внимавай, Том!
>>bul<< Be more precise.	Бъдете по-конкретен.
>>bul<< Be more precise.	Бъдете по-конкретна.
>>bul<< Be more precise.	Бъди по-конкретен.
>>bul<< Be more precise.	Бъди по-конкретна.
>>bul<< Be more precise.	Бъди по-точен.
>>bul<< Be more precise.	Бъди по-точна.
>>bul<< Be more precise.	Бъдете по-точна.
>>bul<< Be more precise.	Бъдете по-точен.
>>bul<< Be more precise.	Бъдете по-точни.
>>bul<< Be more precise.	Бъдете по-конкретни.
>>bul<< Bees make honey.	Пчелите правят мед.
>>bul<< Black suits you.	Черното Ви отива.
>>bul<< Black suits you.	Черното ти отива.
>>bul<< Black suits you.	Черното ви отива.
>>bul<< Call the police!	Обади се на полицията!
>>bul<< Call the police!	Викайте полицията!
>>bul<< Can I leave now?	Може ли да си тръгна сега?
>>bul<< Can you find it?	Можеш ли да го намериш?
>>bul<< Cats catch mice.	Котките ловят мишки.
>>bul<< Clean your room.	Изчисти си стаята.
>>bul<< Come and see us.	Елате ни на гости.
>>bul<< Come and see us.	Ела ни на гости.
>>bul<< Come and see us.	Ела да ни видиш.
>>bul<< Come and see us.	Елате да ни видите.
>>bul<< Come downstairs.	Ела долу.
>>bul<< Come downstairs.	Елате долу.
>>bul<< Come if you can.	Ела, ако можеш.
>>bul<< Come if you can.	Елате, ако можете.
>>bul<< Congratulations!	Поздравления!
>>bul<< Congratulations!	Честито!
>>bul<< Count to thirty.	Брой до трийсет.
>>bul<< Count to thirty.	Бройте до трийсет.
>>bul<< Did you like me?	Ти харесваше ли ме?
>>bul<< Do I need a tie?	Трябва ли ми вратовръзка?
>>bul<< Do you eat meat?	Ядете ли месо?
>>bul<< Do you have one?	Ти имаш ли?
>>bul<< Do you have one?	Ти имаш ли си?
>>bul<< Do you think so?	Мислиш ли?
>>bul<< Don't be afraid.	Не се страхувай.
>>bul<< Don't be scared.	Не се страхувай.
>>bul<< Don't forget me.	Не ме забравяй.
>>bul<< Don't forget me.	Не ме забравяйте.
>>bul<< Don't overdo it.	Не прекалявай.
>>bul<< Enjoy your meal!	Приятен апетит!
>>bul<< Enjoy your meal!	Да ти е сладко!
>>bul<< Everything's OK.	Всичко е наред.
>>bul<< Get off my back!	Махни ми се от главата!
>>bul<< Go and find Tom.	Отиди и намери Том.
>>bul<< Go back to work.	Върни се на работа.
>>bul<< Green suits you.	Зеленото ти отива.
>>bul<< Green suits you.	Зеленото Ви отива.
>>bul<< Green suits you.	Зеленото ви отива.
>>bul<< Have a nice day!	Приятен ден!
>>bul<< He bought a car.	Той купи кола.
>>bul<< He did not come.	Той не дойде.
>>bul<< He is very kind.	Той е много любезен.
>>bul<< He is very kind.	Той е много мил.
>>bul<< He looks strong.	Той изглежда силен.
>>bul<< He lost his job.	Той си загуби работата.
>>bul<< He loves trains.	Той обича влаковете.
>>bul<< He's a big liar.	Той е голям лъжец.
>>bul<< He's photogenic.	Той е фотогеничен.
>>bul<< How can I go on?	Как мога да продължа?
>>bul<< How can I go on?	Как бих могъл да продължа?
>>bul<< How can I leave?	Как мога да си тръгна?
>>bul<< How can I sleep?	Как мога да спя?
>>bul<< How can I sleep?	Как бих могъл да спя?
>>bul<< How do you know?	Откъде знаеш?
>>bul<< How do you know?	Откъде знаете?
>>bul<< How do you know?	Ти откъде знаеш?
>>bul<< How do you know?	Ти откъде го знаеш?
>>bul<< How do you know?	Вие откъде знаете?
>>bul<< How do you know?	Вие откъде го знаете?
>>bul<< How is everyone?	Как са всички?
>>bul<< How old are you?	Ти на колко си годинки?
>>bul<< How old are you?	На колко си години?
>>bul<< How rude of you!	Колко грубо от твоя страна!
>>bul<< How's Tom doing?	Как се справя Том?
>>bul<< I almost forgot.	Почти забравих.
>>bul<< I can't do this.	Не мога да го направя.
>>bul<< I can't do this.	Не мога да направя това.
>>bul<< I did it myself.	Сам го направих.
>>bul<< I don't deny it.	Не го отричам.
>>bul<< I don't do that.	Не се занимавам с това.
>>bul<< I don't do that.	Не правя така.
>>bul<< I don't get you.	Не те разбирам.
>>bul<< I don't see him.	Не го виждам.
>>bul<< I feel so alone.	Чувствам се толкова самотен.
>>bul<< I feel so alone.	Чувствам се толкова самотна.
>>bul<< I felt isolated.	Чувствах се изолиран.
>>bul<< I felt isolated.	Чувствах се изолирана.
>>bul<< I felt isolated.	Почувствах се изолиран.
>>bul<< I felt isolated.	Почувствах се изолирана.
>>bul<< I forgot my pen.	Забравих си химикалката.
>>bul<< I forgot to ask.	Забравих да питам.
>>bul<< I get up at six.	Ставам в шест.
>>bul<< I have no money.	Нямам пари.
>>bul<< I have no money.	Аз нямам пари.
>>bul<< I have the keys.	Имам ключовете.
>>bul<< I have the list.	Имам списъка.
>>bul<< I have to leave.	Трябва да напусна.
>>bul<< I have to leave.	Трябва да тръгвам.
>>bul<< I have two cats.	Имам две котки.
>>bul<< I have your key.	Ключът ти е у мене.
>>bul<< I heard a crash.	Чух някакъв сблъсък.
>>bul<< I heard it, too.	Аз също го чух.
>>bul<< I hope Tom wins.	Дано Том победи.
>>bul<< I hope Tom wins.	Дано Том спечели.
>>bul<< I hope it works.	Дано да стане.
>>bul<< I know too much.	Знам твърде много.
>>bul<< I like it a lot.	Много ми харесва.
>>bul<< I like your car.	Харесва ми колата ти.
>>bul<< I live in Japan.	Аз живея в Япония.
>>bul<< I love you, Tom.	Обичам те, Том.
>>bul<< I love you, too.	И аз те обичам.
>>bul<< I meant no harm.	Не исках да направя нищо лошо.
>>bul<< I need a pencil.	Трябва ми молив.
>>bul<< I need a pencil.	Нужен ми е молив.
>>bul<< I never saw you.	Никога не те видях.
>>bul<< I never saw you.	Никога не ви видях.
>>bul<< I never saw you.	Така и не ви видях.
>>bul<< I never saw you.	Така и не те видях.
>>bul<< I ordered pizza.	Поръчах пица.
>>bul<< I played tennis.	Аз играх тенис.
>>bul<< I run every day.	Всеки ден тичам.
>>bul<< I run every day.	Аз тичам всеки ден.
>>bul<< I run every day.	Тичам всеки ден.
>>bul<< I sent Tom home.	Изпратих Том вкъщи.
>>bul<< I think it's OK.	Мисля, че е ОК.
>>bul<< I took a shower.	Взех си душ.
>>bul<< I took the book.	Взех книгата.
>>bul<< I want a guitar.	Искам китара.
>>bul<< I want that bag.	Искам онази чанта.
>>bul<< I want that bag.	Искам тази чанта.
>>bul<< I want to drive.	Искам да карам.
>>bul<< I want to sleep.	Искам да спя.
>>bul<< I was assaulted.	Бях нападнат.
>>bul<< I was assaulted.	Бях нападната.
>>bul<< I was convicted.	Аз бях осъден.
>>bul<< I was convicted.	Аз бях осъдена.
>>bul<< I was convicted.	Бях осъден.
>>bul<< I was convicted.	Бях осъдена.
>>bul<< I was convicted.	Осъдиха ме.
>>bul<< I work with him.	Аз работя с него.
>>bul<< I work with him.	Работя с него.
>>bul<< I'm a night owl.	Аз съм нощна птица.
>>bul<< I'm about ready.	Общо взето съм готов.
>>bul<< I'm fairly busy.	Аз съм доста зает.
>>bul<< I'm fairly busy.	Аз съм доста заета.
>>bul<< I'm going to go.	Ще отида.
>>bul<< I'm left-handed.	Аз съм левичар.
>>bul<< I'm not jealous.	Аз не ревнувам.
>>bul<< I'm on the list.	В списъка съм.
>>bul<< I'm very hungry.	Много съм гладен.
>>bul<< I'm very lonely.	Много съм самотен.
>>bul<< I'm very lonely.	Много съм самотна.
>>bul<< I'm very sleepy.	Много ми се спи.
>>bul<< I've had enough.	Писна ми.
>>bul<< I've missed you.	Липсваше ми.
>>bul<< Is it happening?	Случва ли се?
>>bul<< Is this a dream?	Това сън ли е?
>>bul<< It could happen.	Може да се случи.
>>bul<< It is up to you.	От теб зависи.
>>bul<< It just happens.	Просто се случва.
>>bul<< It might happen.	Може да се случи.
>>bul<< It took an hour.	Отне един час.
>>bul<< It took an hour.	Това отне един час.
>>bul<< It was personal.	Беше лично.
>>bul<< It's a big city.	Голям град е.
>>bul<< It's a nice day.	Хубав ден е.
>>bul<< It's almost six.	Почти шест е.
>>bul<< It's impossible.	Невъзможно е.
>>bul<< It's lunch time.	Време е за обяд.
>>bul<< It's not a bomb.	Не е бомба.
>>bul<< It's not a fake.	Това не е имитация.
>>bul<< It's not a fake.	Това не е фалшификат.
>>bul<< It's not a game.	Това не е игра.
>>bul<< It's not a gift.	Това не е подарък.
>>bul<< It's not a loan.	Това не е заем.
>>bul<< It's not my car.	Това не е моята кола.
>>bul<< It's not my car.	Не е моята кола.
>>bul<< It's not my car.	Не е колата ми.
>>bul<< It's not my job.	Не ми е работа.
>>bul<< It's not my job.	Това не е моя работа.
>>bul<< It's okay to go.	Няма проблем да си тръгнеш.
>>bul<< It's very short.	Много е кратка.
>>bul<< It's very short.	Много е кратък.
>>bul<< It's very short.	Много е кратко.
>>bul<< Keep the change.	Задръжте рестото.
>>bul<< Large, isn't it?	Голямо е, нали?
>>bul<< Lemons are sour.	Лимоните са кисели.
>>bul<< Let me go alone.	Нека ида сам.
>>bul<< Let me go alone.	Остави ме да отида сам.
>>bul<< Let me go alone.	Оставете ме да ида сам.
>>bul<< Let me see that.	Дай да го видя това.
>>bul<< Let's celebrate.	Хайде да празнуваме.
>>bul<< Let's come back.	Да се върнем.
>>bul<< Let's eat lunch.	Хайде да обядваме.
>>bul<< Let's eat sushi.	Хайде да ядем суши.
>>bul<< Let's eat sushi.	Да ядем суши.
>>bul<< Let's fly kites.	Хайде да пускаме хвърчила.
>>bul<< Let's get going.	Хайде да тръгваме.
>>bul<< Let's go by bus.	Хайде да идем с рейс.
>>bul<< Let's improvise.	Да импровизираме.
>>bul<< Let's negotiate.	Да го обсъдим.
>>bul<< Let's rest here.	Да си починем тук.
>>bul<< Let's rest here.	Хайде да си починем тук.
>>bul<< Let's stop here.	Да спрем тук.
>>bul<< Let's stop here.	Да спрем дотук.
>>bul<< Let's try again.	Да опитаме отново.
>>bul<< Let's try again.	Да пробваме пак.
>>bul<< Let's turn back.	Да се връщаме.
>>bul<< Life isn't fair.	Животът е несправедлив.
>>bul<< Life's not fair.	Животът е несправедлив.
>>bul<< Lock the office.	Заключи офиса.
>>bul<< Lock the office.	Заключете офиса.
>>bul<< Look behind you.	Погледни зад себе си.
>>bul<< Look behind you.	Погледни отзад.
>>bul<< Make it smaller.	Смали го.
>>bul<< Make it smaller.	Направи го по-малко.
>>bul<< May I leave now?	Може ли да си тръгна сега?
>>bul<< Maybe I'm wrong.	Може би греша.
>>bul<< Merry Christmas!	Весела Коледа!
>>bul<< Merry Christmas!	Честита Коледа!
>>bul<< Merry Christmas!	Честито Рождество!
>>bul<< No, I didn't go.	Не, не отидох.
>>bul<< Now stand still.	Сега застани мирно.
>>bul<< Please be brief.	Моля те, бъди кратък.
>>bul<< Please be brief.	Моля те, бъди кратка.
>>bul<< Please be brief.	Моля Ви, бъдете кратък.
>>bul<< Please be brief.	Моля Ви, бъдете кратка.
>>bul<< Please be quiet.	Запази тишина.
>>bul<< Please sit down.	Моля, седнете.
>>bul<< Raise your hand.	Вдигни ръката си.
>>bul<< She is not tall.	Тя не е висока.
>>bul<< She looked away.	Тя отмести погледа си.
>>bul<< She was perfect.	Тя беше перфектна.
>>bul<< She's my sister.	Тя ми е сестра.
>>bul<< So far, so good.	Дотук добре.
>>bul<< Sorry, I forgot.	Съжалявам, забравих.
>>bul<< Stop whimpering.	Престани да хленчиш.
>>bul<< Stop whimpering.	Престанете да хленчите.
>>bul<< That dog is big.	Онова куче е голямо.
>>bul<< That isn't fair.	Това не е честно.
>>bul<< That's my chair.	Това е моят стол.
>>bul<< That's my chair.	Това е столът ми.
>>bul<< That's not fair.	Това не е честно.
>>bul<< That's over now.	С това се свърши.
>>bul<< That's personal.	Лично е.
>>bul<< That's very big.	Това е много голямо.
>>bul<< The dog is mine.	Кучето е мое.
>>bul<< The time is now.	Сега е моментът.
>>bul<< There's no time.	Няма време.
>>bul<< They died young.	Умрели са млади.
>>bul<< They died young.	Те са умрели млади.
>>bul<< They died young.	Умряха млади.
>>bul<< They died young.	Те умряха млади.
>>bul<< They might kiss.	Те може да се целунат.
>>bul<< They were wrong.	Те сгрешиха.
>>bul<< They're engaged.	Те са сгодени.
>>bul<< They're no good.	Не се занимавай с тях.
>>bul<< This is for you.	Това е за теб.
>>bul<< This is my baby.	Това е моето бебе.
>>bul<< This is my baby.	Това е моето бебче.
>>bul<< This is my book.	Това е моята книга.
>>bul<< This is so easy.	Толкова е лесно.
>>bul<< This is the end.	Това е краят.
>>bul<< This is too big.	Това е прекалено голямо.
>>bul<< This is useless.	Това е безсмислено.
>>bul<< This is useless.	Не става.
>>bul<< This isn't fair.	Това не е честно.
>>bul<< This isn't fair.	Така не е честно.
>>bul<< Tom bit his lip.	Том прехапа устна.
>>bul<< Tom cut my hair.	Том ми пострига косата.
>>bul<< Tom didn't hunt.	Том не ловуваше.
>>bul<< Tom didn't sing.	Том не пя.
>>bul<< Tom didn't wait.	Том не изчака.
>>bul<< Tom didn't wait.	Том не чака.
>>bul<< Tom is a dancer.	Том е танцьор.
>>bul<< Tom is a pastor.	Том е пастор.
>>bul<< Tom is insolent.	Том е нагъл.
>>bul<< Tom is insolent.	Том е нахален.
>>bul<< Tom is ticklish.	Том има гъдел.
>>bul<< Tom isn't young.	Том не е млад.
>>bul<< Tom just did it.	Том току-що го направи.
>>bul<< Tom just did it.	Том току-що успя.
>>bul<< Tom plays piano.	Том свири на пиано.
>>bul<< Tom saw it, too.	Том също го видя.
>>bul<< Tom was like me.	Том беше като мен.
>>bul<< Tom was praying.	Том се молеше.
>>bul<< Tom wasn't good.	Том не беше добър.
>>bul<< Tom writes well.	Том пише добре.
>>bul<< Try and stop me.	Опитай да ме спреш.
>>bul<< Try and stop me.	Опитайте да ме спрете.
>>bul<< Turn off the TV.	Изключи телевизора.
>>bul<< Turn off the TV.	Изключете телевизора.
>>bul<< Watch your step.	Внимавай къде стъпваш.
>>bul<< We already know.	Ние вече знаем.
>>bul<< We expect to go.	Очакваме да отидем.
>>bul<< We must be fair.	Трябва да сме справедливи.
>>bul<< We pay Tom well.	Плащаме добре на Том.
>>bul<< We pay Tom well.	Плащаме на Том добре.
>>bul<< We study French.	Ние учим френски.
>>bul<< We want it back.	Искаме го обратно.
>>bul<< We want it back.	Ние го искаме обратно.
>>bul<< We'll come back.	Ще се върнем.
>>bul<< We'll come back.	Ние ще се върнем.
>>bul<< We're all ready.	Ние всички сме готови.
>>bul<< We're neighbors.	Съседи сме.
>>bul<< We're not fools.	Ние не сме глупаци.
>>bul<< We're on a date.	Имаме среща.
>>bul<< We're soulmates.	Ние сме сродни души.
>>bul<< What a surprise!	Каква изненада!
>>bul<< What size is it?	Кой размер е?
>>bul<< What time is it?	Колко е часът?
>>bul<< What year is it?	Коя година е сега?
>>bul<< What's the news?	Какви са новините?
>>bul<< What's the time?	Колко е часът?
>>bul<< What's with Tom?	Какво му става на Том?
>>bul<< What's your job?	Каква ти е работата?
>>bul<< What's your job?	Какво работиш?
>>bul<< When can we eat?	Кога можем да ядем?
>>bul<< When did it end?	Кога приключи?
>>bul<< Where do you go?	Къде отиваш?
>>bul<< Where do you go?	Къде отивате?
>>bul<< Where's my coat?	Къде ми е палтото?
>>bul<< Where's my room?	Къде е моята стая?
>>bul<< Where's the dog?	Къде е кучето?
>>bul<< Where's the key?	Къде е ключът?
>>bul<< Who bought this?	Кой купи това?
>>bul<< Will he recover?	Ще се възстанови ли?
>>bul<< You'd regret it.	Ще съжаляваш.
>>bul<< You'll find one.	Ще го намериш.
>>bul<< You'll find one.	Ще я намериш.
>>bul<< You'll find one.	Ще си намериш.
>>bul<< You'll get lost.	Ще се загубиш.
>>bul<< You'll get lost.	Ще се изгубиш.
>>bul<< You'll get lost.	Ще се изгубите.
>>bul<< You'll get lost.	Ще се загубите.
>>bul<< You're a person.	Ти си човек.
>>bul<< You're bleeding.	Тече ти кръв.
>>bul<< You're in a rut.	Буксуваш.
>>bul<< You're in shock.	Ти си в шок.
>>bul<< You're my enemy.	Ти си ми враг.
>>bul<< You're rambling.	Говориш несвързано.
>>bul<< You're so weird.	Толкова си странен.
>>bul<< You're so weird.	Толкова си странна.
>>bul<< You're so weird.	Толкова сте странни.
>>bul<< You've been had.	Минал си се.
>>bul<< Your time is up.	Времето ти изтече.
>>bul<< A girl phoned me.	Обади ми се едно момиче.
>>bul<< Accidents happen.	Случват се злополуки.
>>bul<< Accidents happen.	Стават злополуки.
>>bul<< Apologize to Tom.	Извини се на Том.
>>bul<< Are these edible?	Тези ядливи ли са?
>>bul<< Are these edible?	Тези стават ли за ядене?
>>bul<< Are we all happy?	Всички ли сме щастливи?
>>bul<< Are we all happy?	Щастливи ли сме всички?
>>bul<< Are you Japanese?	Японец ли сте?
>>bul<< Are you an idiot?	Ти идиот ли си?
>>bul<< Are you brothers?	Вие братя ли сте?
>>bul<< Are you drinking?	Пиеш ли?
>>bul<< Are you free now?	Сега свободен ли си ?
>>bul<< Are you homeless?	Бездомен ли си?
>>bul<< Are you homeless?	Бездомна ли си?
>>bul<< Are you involved?	Замесен ли си?
>>bul<< Are you involved?	Замесена ли си?
>>bul<< Are you involved?	Замесени ли сте?
>>bul<< Are you involved?	Вие замесена ли сте?
>>bul<< Are you involved?	Вие замесен ли сте?
>>bul<< Are you pregnant?	Бременна ли си?
>>bul<< Are you prepared?	Подготвен ли си?
>>bul<< Are you prepared?	Подготвена ли си?
>>bul<< Are you sleeping?	Спиш ли?
>>bul<< Are you sleeping?	Спите ли?
>>bul<< Are you ticklish?	Имаш ли гъдел?
>>bul<< Aren't you happy?	Не си ли щастлив?
>>bul<< Aren't you happy?	Не сте ли щастливи?
>>bul<< Ask Tom anything.	Попитай Том каквото и да е.
>>bul<< Ask Tom yourself.	Сам питай Том.
>>bul<< Ask Tom yourself.	Питай Том сама.
>>bul<< Ask yourself why.	Попитай се защо.
>>bul<< Be brief, please.	Бъдете кратък, моля.
>>bul<< Be brief, please.	Бъдете кратка, моля.
>>bul<< Be there tonight.	Бъди там тази вечер.
>>bul<< Be there tonight.	Бъдете там тази вечер.
>>bul<< Can we trust her?	Може ли да ѝ се доверим?
>>bul<< Clean the mirror.	Изчисти огледалото.
>>bul<< Close your books.	Затворете книгите си.
>>bul<< Close your books.	Затворете си учебниците.
>>bul<< Come home at six.	Ела вкъщи в шест.
>>bul<< Continue digging.	Продължавай да копаеш.
>>bul<< Cross the street.	Пресечи улицата.
>>bul<< Cross the street.	Пресечете улицата.
>>bul<< Do as you please.	Постъпи както прецениш.
>>bul<< Do you live here?	Тук ли живееш?
>>bul<< Do you trust Tom?	Имаш ли доверие на Том?
>>bul<< Do you want kids?	Искаш ли деца?
>>bul<< Do you want kids?	Искате ли деца?
>>bul<< Does anyone know?	Някой знае ли?
>>bul<< Don't be so lazy.	Не бъди толкова мързелив.
>>bul<< Don't do it, Tom.	Недей, Том.
>>bul<< Don't do it, Tom.	Не го прави, Том.
>>bul<< Don't drink that.	Не пий това.
>>bul<< Don't leave town.	Не напускай града.
>>bul<< Don't leave town.	Не напускайте града.
>>bul<< Don't look at it.	Не го гледай.
>>bul<< Don't look at it.	Не гледай това.
>>bul<< Don't talk to me.	Не ми говори.
>>bul<< Don't talk to me.	Не разговаряй с мен.
>>bul<< Everybody jumped.	Всички скочиха.
>>bul<< Everybody jumped.	Всички подскочиха.
>>bul<< For what purpose?	С каква цел?
>>bul<< For what purpose?	За какво?
>>bul<< Give me a hammer.	Дайте ми чук.
>>bul<< Give me the book.	Дай ми книгата.
>>bul<< Give them to her.	Дай ѝ ги.
>>bul<< Give them to him.	Дай му ги.
>>bul<< He can read well.	Той умее да чете добре.
>>bul<< He heard a shout.	Той чу вик.
>>bul<< He is past forty.	Той е над четирисет.
>>bul<< He is photogenic.	Той е фотогеничен.
>>bul<< He likes animals.	Той обича животни.
>>bul<< He likes fishing.	Той обича да ходи за риба.
>>bul<< He must love you.	Той със сигурност те обича.
>>bul<< He ratted us out.	Издаде ни.
>>bul<< He ratted us out.	Издал ни е.
>>bul<< He ratted us out.	Той ни е издал.
>>bul<< He ratted us out.	Той ни издаде.
>>bul<< He told us a lie.	Той ни каза една лъжа.
>>bul<< He won't make it.	Той няма да успее.
>>bul<< Her hair is long.	Нейната коса е дълга.
>>bul<< Here is your bag.	Ето ти чантата.
>>bul<< Here is your bag.	Ето я твоята чанта.
>>bul<< Here is your bag.	Ето я чантата ти.
>>bul<< Here is your dog.	Ето го твоето куче.
>>bul<< How are you, Tom?	Как си, Том?
>>bul<< How do you do it?	Как го правиш?
>>bul<< How do you do it?	Как го правите?
>>bul<< How tall you are!	Колко си висок!
>>bul<< I also like cake.	И аз обичам кейк.
>>bul<< I am out of work.	Без работа съм.
>>bul<< I believe in God.	Аз вярвам в Бог.
>>bul<< I brought a book.	Донесох книга.
>>bul<< I can't budge it.	Не мога да го помръдна.
>>bul<< I closed my door.	Затворих си вратата.
>>bul<< I closed my door.	Аз си затворих вратата.
>>bul<< I did it for him.	Направих го за него.
>>bul<< I did it for you.	Заради тебе го направих.
>>bul<< I did it for you.	Заради вас го направих.
>>bul<< I didn't like it.	Не ми хареса.
>>bul<< I didn't mean it.	Не го направих нарочно.
>>bul<< I didn't take it.	Не съм го взимал.
>>bul<< I didn't take it.	Не съм го взимала.
>>bul<< I didn't take it.	Не съм го взел.
>>bul<< I didn't take it.	Не съм го взела.
>>bul<< I didn't take it.	Не го взех.
>>bul<< I don't care why.	Не ме интересува защо.
>>bul<< I don't do drugs.	Не взимам наркотици.
>>bul<< I don't doubt it.	Не се съмнявам в това.
>>bul<< I don't eat pork.	Не ям свинско.
>>bul<< I don't get sick.	Аз не се разболявам.
>>bul<< I don't get sick.	На мен не ми прилошава.
>>bul<< I don't get this.	Това не го разбирам.
>>bul<< I don't hate him.	Не го мразя.
>>bul<< I don't hate you.	Не те мразя.
>>bul<< I don't hate you.	Не ви мразя.
>>bul<< I don't know her.	Не я знам.
>>bul<< I don't know her.	Не я познавам.
>>bul<< I don't know how.	Не знам как.
>>bul<< I don't like her.	Аз не я харесвам.
>>bul<< I feel bad today.	Чувствам се зле днес.
>>bul<< I feel very sick.	Чувствам се много зле.
>>bul<< I gave up on Tom.	Отказах се от Том.
>>bul<< I get your point.	Разбирам какво искаш да кажеш.
>>bul<< I have forgotten.	Забравих.
>>bul<< I have forgotten.	Аз забравих.
>>bul<< I have some news.	Имам новини.
>>bul<< I have the money.	Имам парите.
>>bul<< I have to go now.	Сега трябва да тръгвам.
>>bul<< I have to go out.	Трябва да изляза.
>>bul<< I have to say no.	Ще трябва да откажа.
>>bul<< I have your coat.	Държа ти палтото.
>>bul<< I have your file.	Файлът ти е у мене.
>>bul<< I hear it's nice.	Казват, че е хубаво.
>>bul<< I hope I'm wrong.	Дано греша.
>>bul<< I hope it's good.	Надявам се да е добро.
>>bul<< I hope it's good.	Дано да е добро.
>>bul<< I hope it's true.	Дано да е вярно.
>>bul<< I hope it's true.	Надявам се да е вярно.
>>bul<< I know I'm wrong.	Знам, че не съм прав.
>>bul<< I know only this.	Знам само това.
>>bul<< I like junk food.	Обичам джънк фууд.
>>bul<< I live near here.	Аз живея наблизо.
>>bul<< I lost my wallet.	Изгубих портфейла си.
>>bul<< I love gardening.	Обичам да се занимавам с градинарство.
>>bul<< I love gardening.	Обичам да се занимавам в градината.
>>bul<< I love your name.	Обожавам името ти.
>>bul<< I made a mistake.	Направих грешка
>>bul<< I made a mistake.	Допуснах грешка.
>>bul<< I made breakfast.	Приготвих закуска.
>>bul<< I made her angry.	Ядосах я.
>>bul<< I missed the bus.	Изпуснах автобуса.
>>bul<< I own this place.	Аз притежавам това място.
>>bul<< I own this store.	Аз съм собственик на този магазин.
>>bul<< I play in a band.	Аз свиря в група.
>>bul<< I play in a band.	Свиря в една група.
>>bul<< I said stay back.	Казах ти да се отдръпнеш.
>>bul<< I said stay back.	Казах ти да стоиш настрана.
>>bul<< I sold the books.	Продадох книгите.
>>bul<< I think Tom died.	Мисля, че Том умря.
>>bul<< I totally forgot.	Съвсем забравих.
>>bul<< I totally forgot.	Тотално забравих.
>>bul<< I want you to go.	Искам да отидеш.
>>bul<< I will translate.	Аз ще превеждам.
>>bul<< I wish I'd known.	Иска ми се да го бях знаел.
>>bul<< I wish I'd known.	Иска ми се да го бях знаела.
>>bul<< I won't be quiet.	Няма да мълча.
>>bul<< I won't help you.	Няма да ти помогна.
>>bul<< I won't help you.	Няма да Ви помогна.
>>bul<< I won't help you.	Няма да ви помогна.
>>bul<< I wouldn't do it.	Аз не бих го направил.
>>bul<< I wouldn't do it.	Аз не бих го направила.
>>bul<< I'd have said no.	Аз щях да кажа "не".
>>bul<< I'd like to help.	Бих искал да помогна.
>>bul<< I'd like to help.	Ще се радвам да помогна.
>>bul<< I'd love to stay.	С удоволствие бих останал.
>>bul<< I'd love to stay.	С удоволствие бих останала.
>>bul<< I'll back you up.	Ще те подкрепя.
>>bul<< I'll back you up.	Ще ви подкрепя.
>>bul<< I'll be by later.	Ще мина по-късно.
>>bul<< I'll be punished.	Ще бъда наказан.
>>bul<< I'll be punished.	Ще бъда наказана.
>>bul<< I'll be punished.	Аз ще бъда наказана.
>>bul<< I'll be punished.	Аз ще бъда наказан.
>>bul<< I'll be right up.	Ей сега.
>>bul<< I'll clean it up.	Аз ще почистя.
>>bul<< I'll clean it up.	Аз ще го почистя.
