>>rom<< Go.	Dža.
>>rom<< Tom asked me to wash his car.	O Tom pušlas mandar te thovel leski matora.
>>rom<< Tom can't do that on his own.	O Tom naštil te kerel les korkořo.
>>rom<< Tom had no desire to do that.	O Tom či kamlas te kerel les.
>>rom<< Tom has never let me do that.	O Tom či meklas man šoha te kerel les.
>>rom<< Tom has never let me do that.	O Tom či meklas man nikad te kerel les.
>>rom<< Tom has no desire to do that.	O Tom či kamel te kerel les.
>>rom<< Tom has no idea who did that.	Tom či žanel kon kerdas les.
>>rom<< Tom is just as smart as Mary.	O Tom si ferdi bužanglo sar i Mary.
>>rom<< Tom is married with children.	O Tom si ansurime, si les šavořê.
>>rom<< Tom is the guy that did that.	O Tom si o manuš ke kerdas les.
>>rom<< Tom isn't as rich as Mary is.	O Tom naj barvalo sar i Mary.
>>rom<< Tom knew Mary had to do that.	Tom žanglas ke Mary trubusardas te kerel les.
>>rom<< Tom knows he has to be ready.	O Tom žanel ke trubul te si getomé.
>>rom<< Tom knows he has to be ready.	O Tom žanel ke trubul te si gáta.
>>rom<< Tom may not be at home today.	Poate ke o Tom naj khêrê adžes.
>>rom<< Tom may not be at home today.	O Tom naj amborim khêrê adžes.
>>rom<< Tom might do that on his own.	O Tom kerel les amborim korkořo.
>>rom<< Tom plans to do that as well.	O Tom suřučisarel vi te kerel les.
>>rom<< Tom said he plans to do that.	Tom phendas ke suřučisarel te kerel les.
>>rom<< Tom says he plans to do that.	Tom phenel ke suřučisarel te kerel les.
>>rom<< Tom says he plans to do that.	Tom mothol ke suřučisarel te kerel les.
>>rom<< Tom told me Mary was in jail.	O Tom phendas mange kaj i Mary sas phandadi.
>>rom<< Tom told me Mary was in jail.	O Tom phendas mange kaj i Mary sas ani temnica.
>>rom<< Tom told us he could do that.	O Tom phendas amenge ke daštisardas te kerel les.
>>rom<< Tom wanted to come to Boston.	O Tom kamlas te avel ane Boston.
>>rom<< Tom wanted to eat fried rice.	O Tom kamlas te xal peko orezo.
>>rom<< Tom wanted to get rich quick.	O Tom kamlas sigo te avel barvalo.
>>rom<< Tom wanted to get rich quick.	O Tom kamlas fugo te avel barvalo.
>>rom<< Tom wanted to go there again.	O Tom kamlas te žal majegdata okothe.
>>rom<< Tom wanted to speak with you.	O Tom kamlas te del duma tusa.
>>rom<< Tom wasn't able to find work.	O Tom nastišardas te arakhel jekh but'i.
>>rom<< Tom wasn't able to find work.	O Tom nastišardas te arakhel jekh buči.
>>rom<< Tom went into the other room.	O Tom gelas an' i aver soba.
>>rom<< Tom went into the other room.	O Tom gelo an' i aver soba.
>>rom<< Was Tom surprised to see you?	O Tom sas mirime te dikhel tut?
>>rom<< What does Tom plan to do now?	So suřučisarel o Tom te kerel akana?
>>rom<< Why does Tom like this hotel?	Sostar drago le Tomeske kado otelo?
>>rom<< Why is Tom afraid to do that?	Sostar o Tom daral te kerel les?
>>rom<< You can't ask Tom to do that.	Naštis te manges le Tomes te kerel les.
>>rom<< He's not cut out for teaching.	Vo naj kerdo te avel sîťaritori.
>>rom<< No one lives in this building.	Khonik či bešel ani kadi konstrukcija.
>>rom<< No one lives in this building.	Čijek či trajil ani kadi konstrukcija.
>>rom<< Somebody ought to talk to Tom.	Varekon musaj te vakerel le Tomesa.
>>rom<< They got away in a stolen car.	Gele tar čordani matorasa.
>>rom<< They got away in a stolen car.	Gele tar čordani mašinasa.
>>rom<< Tom is the son of a policeman.	Tom si o šavo jekh šîngalesko.
>>rom<< Tom is the son of a policeman.	Tom si o šavo jekh pořalesko.
>>rom<< Tom is trying to sell his car.	O Tom zumavel te bikinel peski matora.
>>rom<< Tom is trying to sell his car.	O Tom zumavel te bičinel peski matora.
>>rom<< I didn't know that she was ill.	Me či žanglem kaj voj sas nasvali.
>>rom<< Tom has been chosen to do that.	O Tom sas alome te kerel les.
>>rom<< Tom never told me he had a dog.	O Tom či phendas mange nijekhvar kaj sas les ekh žukel.
>>rom<< Tom never told me he had a dog.	O Tom či phendas mange šoha kaj sas les ek žukel.
>>rom<< Tom told me that Mary was sick.	O Tom phendas mange kaj i Mary sas nasvali.
>>rom<< We visit Tom from time to time.	Ame žas te dikhas le Tomes univar.
>>rom<< Ask Tom if you don't believe me.	Puš le Tomestar te na pačas man.
>>rom<< He left without saying anything.	Vo gelo tar bi te phenel khanči.
>>rom<< I think that Tom is sympathetic.	Me gindiv ke o Tom si lašo.
>>rom<< If it ain't broke, don't fix it.	Te naj phago, na lašar les.
>>rom<< Tom was unable to fix the latch.	O Tom naštisardas te lašarel o rêtêzo.
>>rom<< Tom's house looks like a castle.	O khêr le Tomesko si sar jekh diz.
>>rom<< Tom's house looks like a castle.	O khêr le Tomesko si sar jekh šatovo.
>>rom<< Have you met Tom's mother-in-law?	Maladilan i sasuj le Tomeski?
>>rom<< I need you to tell me what to do.	Trubul man ke tu phenes mange so kerav.
>>rom<< I'm sure that Tom has to do that.	Me som siguro ke o Tom trubul te kerel les.
>>rom<< There was food enough for us all.	Sas dosta xabe anda sa amenge.
>>rom<< Tom and Mary were here yesterday.	Tom haj Mary sas akathe arači.
>>rom<< Tom left without saying anything.	O Tom gelo tar bi te phenel khanči.
>>rom<< Tom told me that he had to leave.	O Tom phendas mange ke vo trubusardas te žal tar.
>>rom<< Tom told me that he wanted to go.	O Tom phendas mange ke kamlas te žal.
>>rom<< Tom told me that he was a doctor.	O Tom phendas mange ke vo sas jekh doktoro.
>>rom<< Tom told me that he was a doctor.	O Tom phendas mange ke vo sas jekh sastimari.
>>rom<< Do Tom and John still have beards?	O Tom haj o John si len înkê šor?
>>rom<< Do Tom and John still have beards?	O Tom haj o John si len još šor?
>>rom<< Do Tom and Mary have any children?	O Tom haj i Mary si len šavořê?
>>rom<< Do Tom and Mary have many friends?	O Tom haj i Mary si len but amala?
>>rom<< If you want to sit down, sit down.	Te kames te bêšes tele, bêš tele.
>>rom<< They said I was their best worker.	Von phende kaj me somas lengo majlačo bućarno.
>>rom<< Tom didn't need to go there alone.	O Tom na trubusardas te žal korkořo okothe.
>>rom<< Tom didn't need to go there alone.	O Tom na trubusardas te žal jekh ženo okothe.
>>rom<< Tom didn't want to be an engineer.	O Tom na kamlas te avel jekh inžeňeri.
>>rom<< Tom didn't want to come to Boston.	O Tom na kamlas te avel ane Boston.
>>rom<< Tom didn't want to eat fried rice.	O Tom na kamlas te xal peko orezo.
>>rom<< Tom didn't want to speak with you.	O Tom či kamlas te del duma tusa.
>>rom<< Tom didn't want to speak with you.	O Tom na kamlas te del duma tusa.
>>rom<< Tom didn't want to stay in Boston.	O Tom na kamlas te bešel ane Boston.
>>rom<< Tom didn't want to wait very long.	O Tom na kamlas te ažukêrel but.
>>rom<< Tom doesn't want to go to Harvard.	O Tom na kamel te žal ando Harvard?
>>rom<< Tom doesn't want to talk with you.	O Tom na kamel te del duma tusa.
>>rom<< Tom has been trying to save money.	O Tom zumadas te krucol.
>>rom<< Tom has been trying to save money.	O Tom zumadas te mučil.
>>rom<< Tom has been trying to save money.	O Tom zumadas te thol love rigate.
>>rom<< Tom is looking for Mary right now.	O Tom rodel Maria akana.
>>rom<< Tom is lucky that Mary helped him.	O Tom si baxtalo ke i Mary ažutisardas les.
>>rom<< Tom isn't sure what Mary is doing.	O Tom naj siguro so kerel i Mary.
>>rom<< Tom lost his job three months ago.	O Tom xasardas peski but'i de trin šon.
>>rom<< Tom lost his job three months ago.	O Tom xasardas peski buči de trin šon.
>>rom<< Tom moved to Boston with his wife.	O Tom mučisajlas ani Boston peski řomniasa.
>>rom<< Tom really wanted to talk to Mary.	O Tom čačes kamlas te del duma le Mariasa.
>>rom<< Tom said that he was really angry.	O Tom phendas ke vo sas but xoľajlo.
>>rom<< Tom said that he was really drunk.	O Tom phendas ke vo sas but mato.
>>rom<< Tom said that he was really lucky.	O Tom phendas ke vo sas but baxtalo.
>>rom<< Tom said that he was really tired.	O Tom phendas ke vo sas but čino.
>>rom<< Tom said that he was really tired.	O Tom phendas ke vo sas but khino.
>>rom<< Tom said that he was very unlucky.	O Tom phendas ke vo sas but bibaxtalo.
>>rom<< Why don't you give me what I want?	Sostar či des man so kamav?
>>rom<< I can speak French better than Tom.	Me dav duma francusicka maj mišto sar o Tom.
>>rom<< I think Tom should do that himself.	Me gindiv ke musaj le Tomeske te kerel les jekh ženo.
>>rom<< I think Tom should do that himself.	Me gindiv ke musaj le Tomeske te kerel les korkořo.
>>rom<< I think Tom should do that outside.	Me gindiv ke musaj le Tomeske te kerel les avri.
>>rom<< I told Tom I couldn't speak French.	Me phendem le Tomeske ke naštisardem te dav duma francusicka.
>>rom<< I'm not surprised that Tom is here.	Me či som mirime ke o Tom si akathe.
>>rom<< I'm sure that Tom hasn't done that.	Me som siguro ke o Tom či kerdas les.
>>rom<< Mary told me Tom was her boyfriend.	I Mary phendas mange ke o Tom sas lako phiramno.
>>rom<< Neither Tom nor Mary has gray hair.	Či o Tom haj či i Mary naj len parničosi bal.
>>rom<< Neither Tom nor Mary has long hair.	Či o Tom haj či i Mary naj len bari bal.
>>rom<< There's something you need to know.	Si vareso ke trubus te žanes.
>>rom<< This is Tom's first time in Boston.	Si i pervo data le Tomeske ane Boston.
>>rom<< Tom and I won't walk home together.	Me haj o Tom či žas khêrê khetane.
>>rom<< Tom and I won't walk home together.	Me thaj o Tom či žas khêrê ane k than.
>>rom<< Tom and Mary are kissing right now.	O Tom haj i Mary čumiden pe akana.
>>rom<< Tom and Mary go to church together.	O Tom haj i Mary žan ane khángeri khetane.
>>rom<< Tom and Mary go to church together.	O Tom thaj i Mary žan ane khanďiri ane k than.
>>rom<< Tom and Mary wrote a song together.	O Tom haj i Mary hramosarde jekh džili khetane.
>>rom<< Tom and Mary wrote a song together.	O Tom thaj i Mary ramosarde jekh gili ane k than.
>>rom<< Tom didn't know where he was going.	O Tom na žanglas karing gelas.
>>rom<< Tom didn't want to watch the movie.	Či kamlas o Tom te dikhel o filmo.
>>rom<< Tom doesn't have any place to live.	O Tom naj les či jekh than te trajil.
>>rom<< Tom doesn't have any place to live.	O Tom naj les jekh than te bêšêl.
>>rom<< Tom doesn't know why Mary left him.	O Tom na žanel sostar i Mary muklas les.
>>rom<< Tom has gotten used to living here.	O Tom sas sikado te trajil akathe.
>>rom<< Tom has gotten used to living here.	O Tom sas sikado te bêšêl akathe.
>>rom<< Tom hasn't told me who helped Mary.	O Tom či phendas mange kon ažutisardas Maria.
>>rom<< Tom is doing this for his children.	O Tom kerel les peske šavořênge.
>>rom<< Tom is enjoying his life in Boston.	Drago le Tomeske pesko trajo ane Boston.
>>rom<< You can tell Tom whatever you like.	Šaj te phenes le Tomeske sogodi te kames.
>>rom<< You need to talk to Tom personally.	Trubus te des duma le Tomesa personalo.
>>rom<< You need to talk to Tom personally.	Trubus te des svato le Tomesa šoresa.
>>rom<< You need to talk to Tom personally.	Trubus te des vorba le Tomesa šoreja.
>>rom<< Do you know when Tom plans to leave?	Žanes kana o Tom suřučisarel te žal tar?
>>rom<< Don't say anything without thinking.	Na phen khanči bi te gindis.
>>rom<< Tom didn't have much money with him.	Tom naj sas les but love.
>>rom<< Tom immediately asked Mary to leave.	O Tom odma pušlas le Mariatar te žal tar.
>>rom<< Tom likes studying French with Mary.	Drago le Tomeske te siǩol francusicka le Mariasa.
>>rom<< Tom likes studying French with Mary.	Drago le Tomeske te sičol francusicka le Mariasa.
>>rom<< Tom probably knows where Mary lives.	O tom žanel amborim kaj bešel i Mary.
>>rom<< Tom probably knows where Mary works.	O tom žanel amborim kaj kerel buči i Mary.
>>rom<< Tom said Mary couldn't speak French.	O Tom phendas ke i Mary naštisardas te del duma francusicka.
>>rom<< Tom was very sure he had to do that.	O Tom sas but siguro ke musaj sas leske te kerel les.
>>rom<< Tom was very sure he had to do that.	O Tom sas but siguro ke trubusardas te kerel les.
>>rom<< Why did Tom think he had to do that?	Sostar o Tom gindisardas ke trubusardas te kerel les?
>>rom<< Tom did that without saying anything.	O Tom kerdas les bi te phenel khanči.
>>rom<< Tom is feeling a little better today.	Tom si maj mišto adžes.
>>rom<< Tom just left without saying anything.	O Tom ferdi gelo tar bi te phenel khanči.
>>rom<< Tom was very happy that Mary did that.	O Tom sas but bukurime ke i Mary kerdas les.
>>rom<< Tom was very happy that Mary did that.	O Tom sas but lošalo ke i Mary kerdas les.
>>rom<< Tom was very sure Mary should do that.	O Tom sas but siguro ke musaj sas le Mariake te kerel les.
>>rom<< I'm sure that Tom has to do that again.	Me som siguro ke o Tom trubul te kerel les pale.
>>rom<< I'm sure that Tom has to do that again.	Me som siguro ke o Tom trubul te kerel les ponevo.
>>rom<< Tom was just a little boy at that time.	Tom sas ferdi jekh bêjato atunča.
>>rom<< Tom was just a little boy at that time.	Tom sas ferdi jekh cinořo atunči.
>>rom<< Do you know when Tom is going to Boston?	Žanes kana o Tom žal ane Boston?
>>rom<< I think that Tom should do that outside.	Me gindiv ke musaj le Tomeske te kerel les avri.
>>rom<< I can't believe Tom did all this himself.	Me naštiv te pačav ke o Tom kerdas sa korkořo.
>>rom<< I can't believe Tom did all this himself.	Naštiv te paǩav ke o Tom kerdas sa korkořo.
>>rom<< I just went home without saying anything.	Me ferdi gelem khêrê bi te phenel khanči.
>>rom<< The explanation Tom gave was interesting.	I eksplikacija ke dias o Tom sas interesantni.
>>rom<< The explanation Tom gave was interesting.	I eksplikacija ke das o Tom sas interesantni.
>>rom<< The student left without saying anything.	O študento gelo tar bi te phenel khanči.
>>rom<< Tom was very sure Mary needed to do that.	O Tom sas but siguro ke i Mary trubusardas te kerel les.
>>rom<< Tom was very sure Mary wanted to do that.	O Tom sas but siguro ke i Mary kamlas te kerel les.
>>rom<< What do you think of that new restaurant?	So gindis pa kado nevo restorano?
>>rom<< You don't need to tell me your real name.	Či trubus te phenes mange čiro čačo anav.
>>rom<< Do you know when Tom and Mary got married?	Žanes kana ansurisajle pe o Tom haj i Mary?
>>rom<< I think that what Tom told you isn't true.	Me gindiv ke so phendas tuke o Tom naj čačes.
>>rom<< It's hard to believe that's a coincidence.	Si pharo te pačal kaj si jekh koinčidenca.
>>rom<< He has no wife, no children and no friends.	Naj le či řomni, či šave haj či amala.
>>rom<< People talk without having anything to say.	Le manuš den duma bi te si len khanči te phenen.
>>rom<< Tom can't see anything without his glasses.	O Tom naštil te dikhel khanči bi peske jaškengo.
>>rom<< Tom is the only one who knew how to do that.	Ferdi o Tom žanglas sar te kerel les.
>>rom<< Tom was willing to do that, but Mary wasn't.	O Tom kamlas te kerel les, numa i Mary na kamlas.
>>rom<< What makes you think that Tom can't do that?	Sostar gindis kaj Tom naštil te kerel les?
>>rom<< Tom just walked away without saying anything.	O Tom ferdi gelo tar bi te phenel khanči.
>>rom<< Tom was the one who told me to read this book.	Sas o Tom ke phendas mange te džinel kadi keňva.
>>rom<< Tom was the one who told me to read this book.	Sas o Tom ke phendas mange te čitil kadi kňiga.
>>rom<< The police think they caught the guy who did it.	I policija gindil ke astardas le manušes kaj kerdas les.
>>rom<< The police think they caught the guy who did it.	Le šingale gindin kaj astarde o manušes kaj kerdas les.
>>rom<< The police think they caught the guy who did it.	Le pořale gindin kaj astarde o manušes kaj kerdas les.
>>rom<< She handed me the letter without saying anything.	Voj das mange o lil bi te phenel khanči.
>>rom<< Tom said he was thinking of becoming a vegetarian.	O Tom gindisardas te avel jekh vegetarijanco.
>>rom<< Tom was in a fight last night and lost a few teeth.	O Tom sas ando jekh maripe arači erjat haj xasardas uni dand.
>>rom<< Tom was in a fight last night and lost a few teeth.	O Tom xalas pe arači erjat haj xasardas nešte dand.
>>rom<< You don't seem to have any problem communicating in French.	Na dićhol pe mangê ke si tu problemo te des duma frantsusitska.
>>rom<< I can't believe that Tom was able to do this all by himself.	Naštiv te paǩav ke o Tom daštisardas te kerel sa korkořo.
>>rom<< I can't believe that Tom was able to do this all by himself.	Me naštiv te pačav ke o Tom daštisardas te kerel sa korkořo.
>>rom<< Tom's father was the one who built the house that Tom's living in.	Sas o dad le Tomesko kaj kerdas o khêr kaj bešel o Tom andré.
