>>hye<< Run!	Վազի՛։
>>hye<< Never forget it.	Երբեք մի՛ մոռացեք դա։
>>hye<< Never forget it.	Երբեք մի՛ մոռացիր դա։
>>hye<< Never lose hope.	Երբեք մի կորցրեք հույսը։
>>hye<< Never tell lies.	Երբեք մի ստեք։
>>hye<< Never tell lies.	Երբեք մի ստիր։
>>hye<< October is over.	Հոկտեմբերն ավարտվեց։
>>hye<< Only Tom did it.	Միայն Թոմն է դա արել։
>>hye<< Only Tom saw it.	Միայն Թոմը տեսավ դա։
>>hye<< Only Tom smiled.	Միայն Թոմը ժպտաց։
>>hye<< Only Tom smiled.	Միայն Թոմը խնդաց։
>>hye<< Open your mouth.	Բացեք բերանը:
>>hye<< Open your mouth.	Բացիր բերանդ:
>>hye<< Physics is hard.	Ֆիզիկան դժվար է։
>>hye<< Please find Tom.	Խնդրում եմ, գտեք Թոմին։
>>hye<< Please find Tom.	Խնդրում եմ, գտիր Թոմին։
>>hye<< Put on your tie.	Հագիր փողկապդ։
>>hye<< Repeat after me.	Կրկնեք ինձանից հետո։
>>hye<< Repeat after me.	Կրկնիր ինձանից հետո։
>>hye<< She is not here.	Նա այստեղ չէ։
>>hye<< She married him.	Նա ամուսնացավ նրա հետ։
>>hye<< Show me your ID.	Ցույց տուր ինձ քո ID-ն։
>>hye<< Show me your ID.	Ցույց տվեք ինձ ձեր ID-ն։
>>hye<< Shut your mouth.	Բերանդ փակի։
>>hye<< That is her car.	Դա նրա մեքենան է:
>>hye<< That is his car.	Դա նրա մեքենան է։
>>hye<< That's my fault.	Դա իմ մեղքն է։
>>hye<< That's my house.	Դա իմ տունն է։
>>hye<< That's my house.	Դա տունս է։
>>hye<< That's possible.	Դա հնարավոր է:
>>hye<< That's too hard.	Դա շատ դժվար է:
>>hye<< The dog is mine.	Շունն իմն է։
>>hye<< The door opened.	Դուռը բացվեց։
>>hye<< The sky is blue.	Երկինքը կապույտ է։
>>hye<< The sun has set.	Արևը մայր մտավ։
>>hye<< The war is over.	Պատերազմն ավարտվեց։
>>hye<< There are rules.	Կանոններ կան։
>>hye<< They are actors.	Նրանք դերասաններ են։
>>hye<< They were angry.	Նրանք զայրացած էին։
>>hye<< They were dirty.	Նրանք կեղտոտ էին։
>>hye<< They were ready.	Պատրաստ էին։
>>hye<< They're careful.	Նրանք զգույշ են:
>>hye<< They're curious.	Նրանք հետաքրքրասեր են։
>>hye<< They're dwarves.	Նրանք թզուկներ են։
>>hye<< They're engaged.	Նրանք նշանված են։
>>hye<< They're in here.	Նրանք այստեղ են։
>>hye<< They're married.	Նրանք ամուսնացած են։
>>hye<< They're reading.	Նրանք կարդում են։
>>hye<< They're sincere.	Նրանք անկեղծ են։
>>hye<< They're sinking.	Նրանք խորտակվում են։
>>hye<< They're thirsty.	Նրանք ծարավ են։
>>hye<< They're useless.	Նրանք անօգուտ են։
>>hye<< This is a dream.	Սա երազ է։
>>hye<< This is my baby.	Սա իմ բալենն է։
>>hye<< This is my doll.	Սա իմ տիկնիկն է։
>>hye<< This is my home.	Սա իմ տունն է։
>>hye<< This is my home.	Սա տունս է։
>>hye<< This is my room.	Սա սենյակս է։
>>hye<< This is my wife.	Սա իմ կինն է։
>>hye<< Tom always lies.	Թոմը միշտ ստում է։
>>hye<< Tom always wins.	Թոմը միշտ հաղթում է։
>>hye<< Tom asked again.	Թոմը նորից հարցրեց։
>>hye<< Tom betrayed me.	Թոմը դավաճանեց ինձ։
>>hye<< Tom betrayed me.	Թոմը մատնեց ինձ։
>>hye<< Tom bought that.	Թոմը գնեց դա։
>>hye<< Tom didn't know.	Թոմը չգիտեր։
>>hye<< Tom disappeared.	Թոմը անհետացավ։
>>hye<< Tom drives fast.	Թոմը արագ է քշում։
>>hye<< Tom forgot Mary.	Թոմը մոռացավ Մերիին։
>>hye<< Tom got stabbed.	Թոմը դանակահարվել է։
>>hye<< Tom had to wait.	Թոմը ստիպված եղավ սպասել։
>>hye<< Tom has a fever.	Թոմը տաքություն ունի։
>>hye<< Tom has a sword.	Թոմը սուր ունի։
>>hye<< Tom has candles.	Թոմը մոմեր ունի։
>>hye<< Tom has checked.	Թոմը ստուգել է։
>>hye<< Tom has desires.	Թոմը ցանկություններ ունի։
>>hye<< Tom has options.	Թոմը տարբերակներ ունի։
>>hye<< Tom has pimples.	Թոմը պզուկներ ունի։
>>hye<< Tom has refused.	Թոմը հրաժարվել է։
>>hye<< Tom has sisters.	Թոմը քույրեր ունի։
>>hye<< Tom has started.	Թոմը սկսել է։
>>hye<< Tom has tattoos.	Թոմը դաջվածքներ ունի։
>>hye<< Tom has weapons.	Թոմը զենքեր ունի։
>>hye<< Tom inspired me.	Թոմը ոգեշնչեց ինձ։
>>hye<< Tom inspired me.	Թոմն ինձ ոգեշնչեց։
>>hye<< Tom is a doctor.	Թոմը բժիշկ է։
>>hye<< Tom is a leader.	Թոմը առաջնորդ է։
>>hye<< Tom is a shaman.	Թոմը շաման է։
>>hye<< Tom is cheerful.	Թոմը ուրախ է։
>>hye<< Tom is cheerful.	Թոմը կենսուրախ է։
>>hye<< Tom is cheerful.	Թոմը զվարթ է։
>>hye<< Tom is fearless.	Թոմը անվախ է։
>>hye<< Tom is fearless.	Թոմը անվեհեր է։
>>hye<< Tom is learning.	Թոմը սովորում է։
>>hye<< Tom is my child.	Թոմը իմ երեխան է։
>>hye<< Tom is my child.	Թոմը երեխաս է։
>>hye<< Tom is my coach.	Թոմը իմ մարզիչն է։
>>hye<< Tom is my coach.	Թոմը մարզիչս է։
>>hye<< Tom is obedient.	Թոմը հնազանդ է։
>>hye<< Tom is obedient.	Թոմը հլու է։
>>hye<< Tom is rational.	Թոմը ռացիոնալ է։
>>hye<< Tom is stubborn.	Թոմը համառ է։
>>hye<< Tom is very mad.	Թոմը շատ զայրացած է։
>>hye<< Tom is very mad.	Թոմը շատ կատաղած է։
>>hye<< Tom isn't awake.	Թոմը արթուն չէ։
>>hye<< Tom isn't drunk.	Թոմը խմած չէ:
>>hye<< Tom knew I knew.	Թոմը գիտեր, որ ես գիտեմ։
>>hye<< Tom knows a lot.	Թոմը շատ բան գիտի։
>>hye<< Tom lit a match.	Թոմը լուցկի վառեց։
>>hye<< Tom loves books.	Թոմը սիրում է գրքեր։
>>hye<< Tom loves money.	Թոմը սիրում է փողը։
>>hye<< Tom loves music.	Թոմը սիրում է երաժշտություն։
>>hye<< Tom must choose.	Թոմը պետք է ընտրի:
>>hye<< Tom ordered tea.	Թոմը թեյ պատվիրեց։
>>hye<< Tom ordered tea.	Թոմը պատվիրեց թեյ։
>>hye<< Tom pushed Mary.	Թոմը հրեց Մերիին։
>>hye<< Tom swore at me.	Թոմը հայհոյեց ինձ։
>>hye<< Tom trusted you.	Թոմը վստահում էր քեզ։
>>hye<< Tom trusted you.	Թոմը վստահում էր ձեզ։
>>hye<< Tom wanted this.	Թոմը սա էր ուզում։
>>hye<< Tom was cheated.	Թոմին խաբեցին։
>>hye<< Tom was outside.	Թոմը դրսում էր։
>>hye<< Tom was praying.	Թոմը աղոթում էր։
>>hye<< Tom was thirsty.	Թոմը ծարավ էր։
>>hye<< Tom wasn't home.	Թոմը տանը չէր։
>>hye<< Tom wasn't poor.	Թոմը աղքատ չէր։
>>hye<< Tom wears a wig.	Թոմը կեղծամ է կրում։
>>hye<< Tom wears a wig.	Թոմը պարիկ է կրում։
>>hye<< Tom will see us.	Թոմը կտեսնի մեզ։
>>hye<< Tom wore a mask.	Թոմը դիմակ էր կրում։
>>hye<< Tom's impressed.	Թոմը տպավորված է։
>>hye<< Tom's listening.	Թոմը լսում է։
>>hye<< Tom's sniffling.	Թոմը ֆսսացնում է:
>>hye<< Tom's surprised.	Թոմը զարմացած է։
>>hye<< Try to remember.	Փորձեք հիշել։
>>hye<< Try to remember.	Փորձիր հիշել։
>>hye<< Turn off the TV.	Անջատեք հեռուստացույցը։
>>hye<< Two days passed.	Երկու օր անցավ։
>>hye<< Was it possible?	Հնարավո՞ր էր։
>>hye<< Wash the window.	Լվա պատուհանը։
>>hye<< We all like him.	Մենք բոլորս նրան դուր ենք գալիս։
>>hye<< We all need you.	Մենք բոլորս քո կարիքն ունենք:
>>hye<< We all saw that.	Մենք բոլորս դա տեսանք։
>>hye<< We are students.	Մենք ուսանողներ ենք։
>>hye<< We barely spoke.	Մենք հազիվ խոսեցինք։
>>hye<< We build houses.	Մենք տներ ենք կառուցում։
>>hye<< We can help you.	Մենք կարող ենք օգնել ձեզ:
>>hye<< We can help you.	Մենք կարող ենք օգնել քեզ:
>>hye<< We have a house.	Մենք տուն ունենք։
>>hye<< We have checked.	Մենք ստուգել ենք։
>>hye<< We have no time.	Ժամանակ չունենք։
>>hye<< We have nothing.	Մենք ոչինչ չունենք։
>>hye<< We have seen it.	Մենք տեսել ենք դա։
>>hye<< We love our dad.	Մենք սիրում ենք մեր հայրիկին։
>>hye<< We must find it.	Մենք պետք է գտնենք այն։
>>hye<< We were dancing.	Մենք պարում էինք։
>>hye<< We woke at dawn.	Մենք արթնացանք լուսաբացին։
>>hye<< We won't forget.	Մենք չենք մոռանալու։
>>hye<< We'll bring Tom.	Մենք կբերենք Թոմին։
>>hye<< We'll know soon.	Շուտով կիմանանք։
>>hye<< We'll phone Tom.	Մենք կզանգենք Թոմին։
>>hye<< We're fishermen.	Մենք ձկնորսներ ենք։
>>hye<< We're from here.	Մենք տեղացի ենք։
>>hye<< We're optimists.	Մենք լավատես ենք։
>>hye<< We're pacifists.	Մենք պացիֆիստներ ենք:
>>hye<< We're relatives.	Մենք հարազատներ ենք:
>>hye<< Were you asleep?	Դու քնա՞ծ էիր։
>>hye<< Were you scared?	Վախեցա՞ր։
>>hye<< Were you scared?	Վախեցա՞ք։
>>hye<< What did Tom do?	Ի՞նչ արեց Թոմը։
>>hye<< What did he say?	Ի՞նչ ասաց նա։
>>hye<< What do they do?	Ի՞նչ են նրանք անում։
>>hye<< What do you see?	Ի՞նչ ես տեսնում։
>>hye<< What do you see?	Ի՞նչ եք տեսնում։
>>hye<< What is freedom?	Ի՞նչ է ազատությունը։
>>hye<< What scared you?	Ի՞նչն է վախեցրել քեզ։
>>hye<< What scared you?	Ի՞նչն է վախեցրել ձեզ։
>>hye<< What'll you buy?	Ի՞նչ եք գնելու:
>>hye<< What'll you buy?	Ի՞նչ ես գնելու:
>>hye<< What'll you buy?	Ի՞նչ եք դուք գնելու:
>>hye<< What's her name?	Ի՞նչ է նրա անունը։
>>hye<< What's that for?	Ինչի՞ համար է դա։
>>hye<< When do you run?	Ե՞րբ ես վազում:
>>hye<< When do you run?	Ե՞րբ եք վազում:
>>hye<< Where do you go?	Ո՞ւր ես գնում։
>>hye<< Where do you go?	Ո՞ւր եք գնում։
>>hye<< Where is my dad?	Պապաս ո՞ւր է։
>>hye<< Where is my dog?	Որտե՞ղ է իմ շունը։
>>hye<< Where is my pen?	Ո՞ւր է իմ գրիչը։
>>hye<< Where's the ATM?	Որտե՞ղ է բանկոմատը։
>>hye<< Which is easier?	Ո՞րն է ավելի հեշտ:
>>hye<< Who can help me?	Ո՞վ կարող է օգնել ինձ։
>>hye<< Who do you mean?	Ո՞ւմ նկատի ունեք:
>>hye<< Who do you mean?	Ո՞ւմ նկատի ունես:
>>hye<< Who do you want?	Ու՞մ եք ուզում։
>>hye<< Who do you want?	Ու՞մ ես ուզում։
>>hye<< Who'll help you?	Ո՞վ կօգնի քեզ:
>>hye<< Who'll help you?	Ո՞վ կօգնի ձեզ:
>>hye<< Who's your wife?	Ո՞վ է քո կինը։
>>hye<< Who's your wife?	Ո՞վ է ձեր կինը:
>>hye<< Why are we here?	Ինչո՞ւ ենք մենք այստեղ։
>>hye<< Why are we here?	Ինչո՞ւ ենք այստեղ։
>>hye<< Why do you work?	Ինչո՞ւ եք աշխատում։
>>hye<< Why do you work?	Ինչո՞ւ ես աշխատում։
>>hye<< Why do you work?	Ինչո՞ւ ես դու աշխատում։
>>hye<< Why is she here?	Ինչո՞ւ է նա այստեղ։
>>hye<< Will you try it?	Կփորձե՞ս։
>>hye<< You are naughty.	Դու չարաճճի ես։
>>hye<< You are naughty.	Դուք չարաճճի եք։
>>hye<< You can do that.	Դուք կարող եք դա անել:
>>hye<< You can do that.	Դու կարող ես դա անել:
>>hye<< You can tell me.	Դուք կարող եք ինձ ասել։
>>hye<< You can tell me.	Դու կարող ես ինձ ասել։
>>hye<< You can tell me.	Կարող եք ինձ ասել։
>>hye<< You can tell me.	Կարող ես ինձ ասել։
>>hye<< You can tell us.	Կարող եք մեզ ասել։
>>hye<< You can tell us.	Կարող ես մեզ ասել։
>>hye<< You inspired me.	Դու ինձ ոգեշնչեցիր։
>>hye<< You inspired me.	Դուք ինձ ոգեշնչեցիք։
>>hye<< You must go now.	Դու պետք է հիմա գնաս։
>>hye<< You must go now.	Դուք պետք է հիմա գնաք։
>>hye<< You mustn't lie.	Դու չպետք է ստես։
>>hye<< You mustn't lie.	Դուք չպետք է ստեք։
>>hye<< You need to sit.	Դուք պետք է նստեք։
>>hye<< You need to sit.	Դու պետք է նստես։
>>hye<< You promised me.	Դու ինձ խոստացար։
>>hye<< You promised me.	Դուք ինձ խոստացաք։
>>hye<< You'll be ready.	Դու պատրաստ կլինես։
>>hye<< You're an angel.	Դու հրեշտակ ես:
>>hye<< You're arrogant.	Դու գոռոզ ես։
>>hye<< You're arrogant.	Դուք գոռոզ եք։
>>hye<< You're gullible.	Դուք դյուրահավատ եք:
>>hye<< You're gullible.	Դու դյուրահավատ ես:
>>hye<< You're innocent.	Դու անմեղ ես։
>>hye<< You're innocent.	Դուք անմեղ եք։
>>hye<< You're mistaken.	Սխալվում եք։
>>hye<< You're mistaken.	Դուք սխալվում եք։
>>hye<< You're my child.	Դու իմ երեխան ես։
>>hye<< You're my enemy.	Դու իմ թշնամին ես։
>>hye<< You're my enemy.	Դուք իմ թշնամին եք։
>>hye<< You're not here.	Դու այստեղ չես։
>>hye<< You're not here.	Դուք այստեղ չեք։
>>hye<< You're not late.	Դու չես ուշացել։
>>hye<< You're not late.	Դուք չեք ուշացել։
>>hye<< You're reckless.	Դուք անխոհեմ եք:
>>hye<< You're reckless.	Դու անխոհեմ ես:
>>hye<< You're too slow.	Դու չափազանց դանդաղ ես։
>>hye<< You're too slow.	Դուք չափազանց դանդաղ եք։
>>hye<< You're unbiased.	Դուք անաչառ եք:
>>hye<< You're unbiased.	Դու անաչառ ես:
>>hye<< Your bag's open.	Քո պայուսակը բաց է։
>>hye<< Your bag's open.	Ձեր պայուսակը բաց է։
>>hye<< Your bag's open.	Պայուսակդ բաց է։
>>hye<< Add a little oil.	Ավելացրեք մի քիչ ձեթ։
>>hye<< Add a little oil.	Ավելացրու մի քիչ ձեթ։
>>hye<< All of them died.	Նրանք բոլորը մեռան։
>>hye<< Anyone can do it.	Յուրաքանչյուրը կարող է դա անել:
>>hye<< Are you Catholic?	Դուք կաթոլի՞կ եք։
>>hye<< Are you Catholic?	Դու կաթոլի՞կ ես։
>>hye<< Are you Catholic?	Կաթոլի՞կ եք։
>>hye<< Are you Catholic?	Կաթոլի՞կ ես։
>>hye<< Are you a mother?	Դու մայր ե՞ս։
>>hye<< Are you a mother?	Դուք մայր ե՞ք։
>>hye<< Are you a mother?	Մայր ե՞ս։
>>hye<< Are you a mother?	Մայր ե՞ք։
>>hye<< Are you an actor?	Դերասա՞ն ես։
>>hye<< Are you an actor?	Դերասա՞ն եք։
>>hye<< Are you an actor?	Դուք դերասա՞ն եք։
>>hye<< Are you an actor?	Դու դերասա՞ն ես։
>>hye<< Are you brothers?	Եղբայրնե՞ր եք։
>>hye<< Are you children?	Դուք երեխանե՞ր եք։
>>hye<< Are you my enemy?	Դուք իմ թշնամի՞ն եք։
>>hye<< Are you not cold?	Չե՞ս մրսում։
>>hye<< Are you not cold?	Չե՞ք մրսում։
>>hye<< Are you not done?	Չե՞ս ավարտել։
>>hye<< Are you not done?	Չե՞ք ավարտել։
>>hye<< Are you not well?	Լավ չե՞ս։
>>hye<< Are you not well?	Լավ չե՞ք։
>>hye<< Are you soldiers?	Դուք զինվորնե՞ր եք։
>>hye<< Are you soldiers?	Զինվորնե՞ր եք։
>>hye<< Aren't you angry?	Բարկացած չե՞ս։
>>hye<< Ask someone else.	Ուրիշին հարցրու։
>>hye<< Call me tomorrow.	Զանգիր ինձ վաղը:
>>hye<< Can we trust you?	Կարո՞ղ ենք վստահել ձեզ։
>>hye<< Can we trust you?	Կարո՞ղ ենք վստահել քեզ։
>>hye<< Can you call Tom?	Կարո՞ղ ես զանգել Թոմին:
>>hye<< Can you call Tom?	Կարո՞ղ եք զանգել Թոմին:
>>hye<< Can you call him?	Կարո՞ղ եք նրան զանգել։
>>hye<< Can you call him?	Կարո՞ղ ես նրան զանգել։
>>hye<< Can you call him?	Դուք կարո՞ղ եք նրան զանգել։
>>hye<< Can you call him?	Դու կարո՞ղ ես նրան զանգել։
>>hye<< Can you call him?	Կարո՞ղ ես նրան կանչել։
>>hye<< Can you call him?	Կարո՞ղ եք նրան կանչել։
>>hye<< Can you call him?	Դուք կարո՞ղ եք նրան կանչել։
>>hye<< Can you call him?	Դու կարո՞ղ ես նրան կանչել։
>>hye<< Can you continue?	Կարո՞ղ եք շարունակել։
>>hye<< Can you continue?	Կարո՞ղ ես շարունակել։
>>hye<< Can you continue?	Դուք արո՞ղ եք շարունակել։
>>hye<< Can you continue?	Դու արո՞ղ ես շարունակել։
>>hye<< Can you find Tom?	Կարո՞ղ ես գտնել Թոմին։
>>hye<< Can you find Tom?	Կարո՞ղ եք գտնել Թոմին։
>>hye<< Can you find Tom?	Դու կարո՞ղ ես գտնել Թոմին։
>>hye<< Can you find Tom?	Դուք կարո՞ղ եք գտնել Թոմին։
>>hye<< Can you find out?	Կարո՞ղ եք պարզել:
>>hye<< Can you find out?	Կարո՞ղ ես պարզել:
>>hye<< Can you hurry up?	Կարո՞ղ եք շտապել։
>>hye<< Can you hurry up?	Կարո՞ղ ես շտապել։
>>hye<< Can you hurry up?	Դուք կարո՞ղ եք շտապել։
>>hye<< Can you hurry up?	Դու կարո՞ղ ես շտապել։
>>hye<< Can you prove it?	Կարո՞ղ եք դա ապացուցել։
>>hye<< Can you prove it?	Կարո՞ղ ես դա ապացուցել։
>>hye<< Can you run fast?	Կարո՞ղ եք արագ վազել։
>>hye<< Can you run fast?	Կարո՞ղ ես արագ վազել։
>>hye<< Can you run fast?	Դուք կարո՞ղ եք արագ վազել։
>>hye<< Can you run fast?	Դու կարո՞ղ ես արագ վազել։
>>hye<< Can you teach me?	Կարո՞ղ եք ինձ սովորեցնել։
>>hye<< Can you teach me?	Կարո՞ղ ես ինձ սովորեցնել։
>>hye<< Can you teach me?	Դուք կարո՞ղ եք սովորեցնել ինձ։
>>hye<< Can you teach me?	Դու կարո՞ղ ես սովորեցնել ինձ։
>>hye<< Can't you decide?	Չե՞ք կարող որոշել։
>>hye<< Can't you decide?	Չե՞ս կարող որոշել։
>>hye<< Choose carefully.	Ընտրեք ուշադիր։
>>hye<< Choose carefully.	Ընտրի ուշադիր։
>>hye<< Close your mouth.	Բերանդ փակի։
>>hye<< Come if possible.	Հնարավորության դեպքում եկեք։
>>hye<< Come if possible.	Հնարավորության դեպքում արի։
>>hye<< Continue digging.	Շարունակեք փորել։
>>hye<< Continue reading.	Շարունակեք կարդալ։
>>hye<< Continue reading.	Շարունակիր կարդալ։
>>hye<< Continue working.	Շարունակեք աշխատել։
>>hye<< Did Tom call you?	Թոմը զանգե՞լ է քեզ:
>>hye<< Did Tom call you?	Թոմը զանգե՞լ է ձեզ:
>>hye<< Did Tom find you?	Թոմը քեզ գտա՞վ։
>>hye<< Did Tom find you?	Թոմը ձեզ գտա՞վ։
>>hye<< Did Tom find you?	Թոմը գտա՞ց քեզ։
>>hye<< Did Tom find you?	Թոմը գտա՞ց ձեզ։
>>hye<< Did Tom find you?	Թոմը գտա՞ց Ձեզ։
>>hye<< Did Tom say that?	Թոմը դա ասե՞լ է։
>>hye<< Did Tom say when?	Թոմը ասե՞ց՝ երբ։
>>hye<< Did they find it?	Գտա՞ն այն։
>>hye<< Did you find Tom?	Գտա՞ր Թոմին։
>>hye<< Did you find Tom?	Գտա՞ք Թոմին։
>>hye<< Did you hear Tom?	Լսեցի՞ր Թոմին։
>>hye<< Did you hear Tom?	Լսեցի՞ք Թոմին։
>>hye<< Did you hear Tom?	Դու լսեցի՞ր Թոմին։
>>hye<< Did you hear Tom?	Դուք լսեցի՞ք Թոմին։
>>hye<< Did you meet her?	Դուք հանդիպե՞լ եք նրան:
>>hye<< Did you meet her?	Դու հանդիպե՞լ ես նրան:
>>hye<< Did you meet him?	Դուք նրան հանդիպե՞լ եք։
>>hye<< Did you meet him?	Դու նրան հանդիպե՞լ ես։
>>hye<< Did you see that?	Տեսա՞ր դա։
>>hye<< Did you see that?	Տեսա՞ք դա։
>>hye<< Did you see that?	Դուք դա տեսե՞լ եք:
>>hye<< Did you steal it?	Գողացա՞ր այն։
>>hye<< Did you steal it?	Գողացա՞ք այն։
>>hye<< Did you try that?	Դուք փորձե՞լ եք դա։
>>hye<< Did you try that?	Դու փորձե՞լ ես դա։
>>hye<< Did you try that?	Փորձե՞լ եք դա։
>>hye<< Do that tomorrow.	Դա արա վաղը։
>>hye<< Do that tomorrow.	Արա դա վաղը։
>>hye<< Do that tomorrow.	Դա արեք վաղը:
>>hye<< Do what Tom asks.	Արա այն, ինչ Թոմը խնդրում է։
>>hye<< Do what Tom asks.	Արեք այն, ինչ Թոմը խնդրում է։
>>hye<< Do you have a TV?	Հեռուստացույց ունե՞ք։
>>hye<< Do you have a TV?	Հեռուստացույց ունե՞ս։
>>hye<< Do you have beer?	Գարեջուր ունե՞ք։
>>hye<< Do you have beer?	Գարեջուր ունե՞ս։
>>hye<< Do you have cats?	Կատուներ ունե՞ք։
>>hye<< Do you have cats?	Կատուներ ունե՞ս։
>>hye<< Do you have dogs?	Շներ ունե՞ք։
>>hye<< Do you have dogs?	Շներ ունե՞ս։
>>hye<< Do you have kids?	Երեխաներ ունե՞ք։
>>hye<< Do you have kids?	Երեխաներ ունե՞ս։
>>hye<< Do you have milk?	Կաթ ունե՞ս։
>>hye<< Do you have milk?	Կաթ ունե՞ք։
>>hye<< Do you have rice?	Բրինձ ունե՞ք։
>>hye<< Do you have rice?	Բրինձ ունե՞ս։
>>hye<< Do you have time?	Ժամանակ ունե՞ք։
>>hye<< Do you have time?	Ժամանակ ունե՞ս։
>>hye<< Do you hear that?	Լսո՞ւմ եք դա։
>>hye<< Do you hear that?	Լսո՞ւմ ես դա։
>>hye<< Do you know them?	Դուք ճանաչո՞ւմ եք նրանց։
>>hye<< Do you know them?	Դու ճանաչո՞ւմ ես նրանց։
>>hye<< Do you know them?	Ճանաչո՞ւմ եք նրանց։
>>hye<< Do you know them?	Ճանաչո՞ւմ ես նրանց։
>>hye<< Do you know them?	Դուք նրանց ճանաչու՞մ եք։
>>hye<< Do you trust Tom?	Վստահո՞ւմ ես Թոմին։
>>hye<< Do you trust Tom?	Վստահո՞ւմ եք Թոմին։
>>hye<< Do you trust her?	Վստահո՞ւմ ես նրան։
>>hye<< Do you trust her?	Վստահո՞ւմ եք նրան։
>>hye<< Do you want rice?	Բրինձ ուզո՞ւմ եք։
>>hye<< Do you want rice?	Բրինձ ուզո՞ւմ ես։
>>hye<< Do you want this?	Դուք սա՞ եք ուզում։
>>hye<< Do you want this?	Դու սա՞ ես ուզում։
>>hye<< Do you want this?	Սա՞ եք ուզում։
>>hye<< Do you want this?	Սա՞ ես ուզում։
>>hye<< Do you want this?	Ուզու՞մ եք սա։
>>hye<< Do you want this?	Ուզու՞մ ես սա։
>>hye<< Do you work here?	Դուք աշխատու՞մ եք այստեղ։
>>hye<< Do you work here?	Դու աշխատու՞մ ես այստեղ։
>>hye<< Do you work here?	Դուք այստեղ աշխատո՞ւմ եք։
>>hye<< Do you work here?	Դու այստեղ աշխատո՞ւմ ես։
>>hye<< Don't be so lazy.	Այդքան ծույլ մի՛ եղիր։
>>hye<< Don't be so lazy.	Այդքան ծույլ մի՛ եղեք։
>>hye<< Don't call again.	Էլ մի զանգեք:
>>hye<< Don't call again.	Էլ մի զանգիր:
>>hye<< Don't call again.	Այլևս մի զանգեք:
>>hye<< Don't forget Tom.	Մի՛ մոռացեք Թոմին։
>>hye<< Don't forget Tom.	Մի՛ մոռացիր Թոմին։
>>hye<< Dreams come true.	Երազանքները իրականանում են։
>>hye<< Eat more protein.	Ավելի շատ սպիտակուցներ կե՛ր։
>>hye<< Everyone giggled.	Բոլորը հռհռացին։
>>hye<< Everyone's quiet.	Բոլորը լուռ են։
>>hye<< Everything is OK.	Լոխ լավա:
>>hye<< Give Tom the box.	Տուր Թոմին տուփը։
>>hye<< Give Tom the box.	Տվեք Թոմին տուփը։
>>hye<< Give me my sword.	Տուր ինձ իմ սուրը։
>>hye<< Give me my sword.	Տվեք ինձ իմ սուրը։
>>hye<< Give me my sword.	Տուր ինձ սուրս։
>>hye<< He became famous.	Նա հայտնի դարձավ։
>>hye<< He can't stop me.	Նա չի կարող ինձ կանգնեցնել։
>>hye<< He does not know.	Նա չգիտի։
>>hye<< He kept his word.	Նա պահեց իր խոսքը։
>>hye<< He made no reply.	Նա չպատասխանեց։
>>hye<< He slept all day.	Նա ամբողջ օրը քնեց։
>>hye<< He's a smart boy.	Նա խելացի տղա է։
>>hye<< Help me stand up.	Օգնիր ինձ կանգնել։
>>hye<< Help me stand up.	Օգնեք ինձ կանգնել։
>>hye<< Her bike is blue.	Նրա հեծանիվը կապույտ է։
>>hye<< Here is your bag.	Ահա քո պայուսակը։
>>hye<< Here is your bag.	Ահա ձեր պայուսակը:
>>hye<< Here is your bag.	Ահա պայուսակդ։
>>hye<< I agree with you.	Ես համաձայն եմ քեզ հետ։
>>hye<< I agree with you.	Ես համաձայն եմ ձեզ հետ։
>>hye<< I agreed to wait.	Ես համաձայնեցի սպասել։
>>hye<< I already prayed.	Ես արդեն աղոթեցի։
>>hye<< I always do this.	Ես միշտ սա եմ անում։
>>hye<< I am from Norway.	Ես Նորվեգիայից եմ։
>>hye<< I am from Russia.	Ես Ռուսաստանից եմ։
>>hye<< I am your father.	Ես քո հայրն եմ։
>>hye<< I am your father.	Ես ձեր հայրն եմ։
>>hye<< I ate two apples.	Ես երկու խնձոր կերա։
>>hye<< I ate your apple.	Ես կերա քո խնձորը:
>>hye<< I ate your apple.	Ես կերա ձեր խնձորը:
>>hye<< I began coughing.	Ես սկսեցի հազալ։
>>hye<< I begin tomorrow.	Ես վաղը սկսում եմ։
>>hye<< I begin tomorrow.	Վաղը ես սկսում եմ։
>>hye<< I bought a horse.	Ես ձի գնեցի։
>>hye<< I bought a house.	Ես տուն գնեցի։
>>hye<< I bought flowers.	Ես ծաղիկներ գնեցի։
>>hye<< I bought sandals.	Ես սանդալներ գնեցի։
>>hye<< I came home late.	Ես ուշ տուն եկա։
>>hye<< I came yesterday.	Ես երեկ եկա։
>>hye<< I can't eat this.	Ես սա չեմ կարող ուտել։
>>hye<< I climbed a tree.	Ես ծառ բարձրացա։
>>hye<< I closed my eyes.	Ես փակեցի աչքերս։
>>hye<< I did it for you.	Ես դա արեցի քեզ համար։
>>hye<< I did that today.	Ես դա արեցի այսօր։
>>hye<< I didn't like it.	Իմ դուրս չեկավ։
>>hye<< I didn't like it.	Չսիրեցի։
>>hye<< I do what I want.	Ես անում եմ, ինչ ուզում եմ։
>>hye<< I don't eat beef.	Ես տավարի միս չեմ ուտում։
>>hye<< I don't eat pork.	Ես խոզի միս չեմ ուտում։
>>hye<< I don't eat pork.	Ես չեմ ուտում խոզի միս։
>>hye<< I don't mean you.	Ես քեզ նկատի չունեմ։
