>>yue<< Fire!	著火啦！
>>yue<< Do you know what time it is?	你知唔知而家幾多點呀？
>>yue<< Do you still love your wife?	你仲愛唔愛你老婆呀？
>>yue<< Do you still play the piano?	你仲有冇彈琴呀？
>>yue<< Does he go to school by bus?	佢係咪搭巴士返學㗎？
>>yue<< Don't lean against the wall.	唔好挨埋埲牆度。
>>yue<< Everyone refused to help me.	個個都唔肯幫我。
>>yue<< Have you ever been to Tokyo?	你有冇去過東京呀？
>>yue<< He banged the door in anger.	佢嬲爆爆噉砰埋咗道門。
>>yue<< He boasted about his skills.	佢喺度晒佢嘅才能。
>>yue<< He breathed his last breath.	佢呼咗最後一啖氣。
>>yue<< He can speak five languages.	佢識講五國語言。
>>yue<< He considered himself lucky.	佢覺得自己好好彩。
>>yue<< He did not know where to go.	佢唔知去邊好。
>>yue<< He doesn't like to eat fish.	佢唔鍾意食魚。
>>yue<< He failed the entrance exam.	佢炒咗個入學試。
>>yue<< He is a bit like his father.	佢有啲似佢老豆。
>>yue<< He left the last page blank.	佢留空咗最後一版。
>>yue<< He went up the steps slowly.	佢一步一步噉上咗樓梯。
>>yue<< He's always been kind to me.	佢一路都對我好好。
>>yue<< Her beauty is indescribable.	佢靚到唔知點形容好。
>>yue<< His birthday is August 21st.	佢八月二十一號生日。
>>yue<< How did you get to know him?	你點識佢㗎？
>>yue<< How hot is it where you are?	你嗰到有幾熱呀？
>>yue<< How old do you think she is?	你話佢幾多歲吖嗱？
>>yue<< I believe you like your job.	我諗你一定好鍾意你份工喇！
>>yue<< I can't stand babies crying.	我真係好憎BB喊。
>>yue<< I don't feel like going out.	我冇乜心情出街。
>>yue<< I don't have a mobile phone.	我無手提電話㗎噃。
>>yue<< I don't know where he lives.	我唔知佢喺邊度住。
>>yue<< I don't think I overreacted.	我唔覺得自己好大反應囉。
>>yue<< I fell asleep while reading.	我睇書睇到一半就瞓著咗。
>>yue<< I have to cook dinner today.	今日我要煮晚飯。
>>yue<< I haven't told anybody else.	我淨係同咗你講咋。
>>yue<< I haven't told anybody else.	我冇話到俾其他人聽。
>>yue<< I just need some time alone.	我淨係想自己靜一陣啫。
>>yue<< I just need some time alone.	我淨係想要少少私人時間啫。
>>yue<< I prefer swimming to skiing.	我鍾意游水多過滑雪。
>>yue<< I promise I'll pay you back.	我保證我會還返錢俾你。
>>yue<< I told them to study harder.	我叫渠等勤力啲讀書。
>>yue<< I want to go to see a movie.	我想睇戲。
>>yue<< I want you to do me a favor.	我想你幫我一個忙。
>>yue<< I will never be your friend.	我永遠都唔會係你朋友。
>>yue<< I wonder where he is hiding.	佢究竟匿埋咗喺邊呢？
>>yue<< I wrote a letter last night.	我尋晚寫咗一封信。
>>yue<< I'll be seventeen next year.	我下年就十七歲喇。
>>yue<< I'm not sure about that one.	呢個我唔確定噃。
>>yue<< I'm sorry, my father is out.	唔好意思，我阿爸唔喺屋企。
>>yue<< I've actually never seen it.	其實我未見過。
>>yue<< I've worn holes in my socks.	我著到對襪穿咗窿。
>>yue<< It's a great day for a hike.	今日係行山嘅好日子。
>>yue<< It's boring to stay at home.	留喺屋企好無聊。
>>yue<< Lenin ordered them to rebel.	列寧命令佢哋反抗。
>>yue<< Let me spell it out for you.	等我串俾你聽啦。
>>yue<< May I bring my family along?	我可唔可以同屋企人一齊嚟㗎？
>>yue<< My daughter likes egg yolks.	我個女好鍾意食蛋黃。
>>yue<< My father came home at nine.	我老豆九點返咗屋企。
>>yue<< Oil does not mix with water.	油同水溝唔埋。
>>yue<< People think that it's easy.	啲人以為好易。
>>yue<< Several delegates disagreed.	幾位代表唔同意。
>>yue<< She left her ticket at home.	佢漏咗張飛喺屋企。
>>yue<< She saved a hundred dollars.	佢儲咗一百蚊。
>>yue<< The dog didn't eat the meat.	隻狗冇食到啲肉。
>>yue<< The dress looks good on you.	條裙好襯你啊。
>>yue<< The family lived in poverty.	嗰家人活喺貧窮之中。
>>yue<< There are too many tourists.	太多遊客喇。
>>yue<< There is a hole in his sock.	佢隻襪有個窿。
>>yue<< There's a hole in this sock.	呢隻襪穿咗個窿。
>>yue<< They were the perfect match.	渠等真係絕配。
>>yue<< They were very tired indeed.	佢哋真係好攰。
>>yue<< This is my business address.	呢個係我嘅公司地址。
>>yue<< This is really not the time.	而家真係唔係時候哩。
>>yue<< This is too good to be true.	邊有咁大隻蛤乸隨街跳呀？
>>yue<< To the Hilton Hotel, please.	去希爾頓酒店吖唔該。
>>yue<< Tom got Mary to cook dinner.	Tom搵咗Mary煮晚飯。
>>yue<< Tom jogs three times a week.	湯姆一個禮拜跑三次步。
>>yue<< Tom loves talking to people.	阿湯健談。
>>yue<< Tom ought to have done that.	阿湯早應該咁做啦。
>>yue<< Tom took off his sunglasses.	阿Tom除咗副太陽眼鏡。
>>yue<< Tom took off his sunglasses.	阿Tom除咗副黑超。
>>yue<< Tom took off his sunglasses.	阿Tom除咗副超。
>>yue<< Tom wouldn't let me do that.	阿湯唔會畀我咁做囉。
>>yue<< Twenty years already passed.	已經過咗廿年喇。
>>yue<< We all want Tom to be happy.	我哋全部都想Tom開心㗎。
>>yue<< We both went to the concert.	我哋兩個都去咗聽個音樂會。
>>yue<< We didn't have enough money.	我等唔夠錢喎。
>>yue<< We drink our tea with sugar.	我哋飲茶會落糖。
>>yue<< We dug a hole in the ground.	我哋喺地下掘咗個窿。
>>yue<< We know everything you know.	你知嘅嘢我哋都知。
>>yue<< We live close to the school.	我哋喺間學校附近住。
>>yue<< We were very busy last week.	我哋上個禮拜好忙。
>>yue<< We're in the same time zone.	我哋同一個時區㗎。
>>yue<< What are you thinking about?	你喺度諗緊啲咩呀？
>>yue<< What books do you recommend?	你有冇啲咩書推介呀？
>>yue<< What do you do after dinner?	你食完晚飯通常做乜嘢？
>>yue<< Where are your children now?	你啲小朋友而家喺邊呀？
>>yue<< Which house did you live in?	你以前住邊間屋㗎？
>>yue<< Who is the person in charge?	負責人係邊個？
>>yue<< Why are you learning French?	你點解學法文嘅？
>>yue<< Why do you hate Tom so much?	而家阿Tom得罪咗你啲咩唧？
>>yue<< Why do you hate Tom so much?	你做咩咁憎阿Tom唧？
>>yue<< Why do you hate Tom so much?	阿Tom有啲咩咁乞你憎唧？
>>yue<< Why don't you just fire Tom?	點解你唔直接炒咗 Tom 啫？
>>yue<< Will the experiment succeed?	實驗會唔會成功呢？
>>yue<< You can always quit the job.	大不了咪辭咗份工佢囉。
>>yue<< You don't fool me, you know.	你唔好蝦我呀，知唔知。
>>yue<< You don't fool me, you know.	你唔好呃我呀，知唔知。
>>yue<< You have only to ask for it.	你出聲就得㗎喇。
>>yue<< You may be right about that.	話唔定你啱嘅。
>>yue<< You said you had a contract.	你話過你有合約。
>>yue<< You'll soon be able to swim.	你好快就會學識游水㗎喇。
>>yue<< Your tripod is in my office.	你個三腳架喺我寫字樓到。
>>yue<< All our money has been spent.	我等啲錢洗曬嘞。
>>yue<< Are you proud of your father?	你老竇係咪令你好光榮？
>>yue<< Are you proud of your father?	你係咪為你阿爸感到自豪？
>>yue<< Can I pay with a credit card?	可唔可以用信用卡找數？
>>yue<< Can you tell me your address?	你地址係咩呀？
>>yue<< Do you know what he has done?	你知唔知佢做咗乜嘢呀？
>>yue<< Do you think I don't want to?	你估我唔想咩。
>>yue<< Everybody is waiting for you.	成村人喺度等緊你呀。
>>yue<< He acted in his own interest.	佢為一己嘅利益做嘢。
>>yue<< He always puts himself first.	佢永遠都係諗咗自己先。
>>yue<< He always puts himself first.	佢永遠都將自己擺喺第一位。
>>yue<< He came home late last night.	佢尋晚遲咗返屋企。
>>yue<< He did better than last time.	佢做得好過上一次。
>>yue<< He disagreed with his father.	佢唔同意佢阿爸嘅講法。
>>yue<< He is a doctor and an author.	佢係個醫生，又係個作家。
>>yue<< He is constantly complaining.	佢成日都喺到怨呢樣怨嗰樣。
>>yue<< He seemed to have thought so.	佢好似係咁諗。
>>yue<< He spent the evening reading.	佢成晚喺度睇書。
>>yue<< Her mother has gone shopping.	佢阿媽去咗買嘢。
>>yue<< His explanation is not clear.	佢解釋得唔係好清楚。
>>yue<< How did you come to know her?	你點識佢㗎？
>>yue<< How do you know where I live?	你點知我喺邊到住㗎？
>>yue<< How much do the carrots cost?	啲甘筍點賣呀？
>>yue<< How much do the oranges cost?	啲橙幾多錢呀？
>>yue<< How much is the entrance fee?	入場費幾多錢呀？
>>yue<< How often have you done that?	你有幾何做嗰樣嘢㗎？
>>yue<< I asked him not to bother me.	我叫佢唔好煩我。
>>yue<< I bought two bottles of milk.	我買咗兩枝牛奶。
>>yue<< I can't log in to my account.	我登入唔到我個帳號。
>>yue<< I didn't mean to wake you up.	我唔係特登整醒你㗎。
>>yue<< I don't have time to be sick.	得閒死唔得閒病。
>>yue<< I don't know where she lives.	我唔知佢喺邊度住。
>>yue<< I don't like your girlfriend.	我唔鍾意你女朋友。
>>yue<< I don't like your girlfriend.	我唔鍾意你條女。
>>yue<< I don't understand this word.	我唔識呢個字。
>>yue<< I don't want to work tonight.	今晚唔想做嘢啊。
>>yue<< I followed her into the room.	我跟佢走咗入間房度。
>>yue<< I have to go to the bank now.	我要去銀行嚹。
>>yue<< I hear that you've been sick.	聽講話你病咗喎。
>>yue<< I hope no one saw me dancing.	希望冇人見到我跳舞啦。
>>yue<< I just bought some cardboard.	我啱啱買咗啲紙板。
>>yue<< I kept the seat warm for you.	我幫你坐暖咗張凳。
>>yue<< I left something in the room.	我漏低咗啲嘢喺間房度。
>>yue<< I met your parents yesterday.	我尋日見咗你父母。
>>yue<< I met your parents yesterday.	我尋日見咗你爸爸媽媽。
>>yue<< I never even considered that.	我恁都無恁過呢樣。
>>yue<< I think Tom doesn't eat meat.	阿湯好似唔食肉㗎喎。
>>yue<< I think that's too expensive.	我覺得太貴喇。
>>yue<< I think that's too expensive.	太貴喇我覺得。
>>yue<< I thought Tom was a musician.	我以為阿Tom玩音樂嘅添。
>>yue<< I want to want what you want.	我想要你想要嘅嘢。
>>yue<< I was just going to call you.	我啱啱諗住打俾你。
>>yue<< I went there dozens of times.	嗰個地方我去過幾廿次喇。
>>yue<< I wonder how much that costs.	唔知嗰嚿嘢幾貴呢可。
>>yue<< I'm happy that I can see you.	我好開心可以見到你。
>>yue<< I've already eaten breakfast.	我已經食咗早餐喇。
>>yue<< I've done what I can for you.	我可以為你做嘅都做咗喇。
>>yue<< I've fallen in love with you.	我愛上咗你。
>>yue<< I've never seen him in jeans.	我冇見過佢着牛仔褲。
>>yue<< It is dangerous to swim here.	呢度游水好危險㗎。
>>yue<< It's no use arguing with him.	同佢拗嚟都嘥氣。
>>yue<< It's perfectly safe in there.	呢度好安全㗎！
>>yue<< May I have your phone number?	我想問吓你個電話號碼幾多號呀？
>>yue<< Now they have three children.	佢哋而家有三個細路。
>>yue<< One minute has sixty seconds.	一分鐘有六十秒。
>>yue<< Our garden was full of weeds.	我哋個花園生滿晒雜草。
>>yue<< Our team lost the first game.	我哋組輸咗第一回合。
>>yue<< Please give us some examples.	可唔可以舉幾個例子呀？
>>yue<< Please wake me for breakfast.	唔該你叫我起身食早餐吖。
>>yue<< Politics is a dirty business.	政治好黑暗。
>>yue<< She can make her own dresses.	佢識自己整裙。
>>yue<< She got married in her teens.	佢十幾歲就結咗婚。
>>yue<< She has a bath every morning.	佢日日朝頭早都會去沖涼。
>>yue<< She is leading by two meters.	佢而家領先緊兩米。
>>yue<< She is sensitive to the heat.	佢好怕熱。
>>yue<< That book had a lot of pages.	嗰本書有好多版。
>>yue<< That shop has many customers.	嗰間舖頭有好多人幫襯。
>>yue<< The meeting went pretty well.	個會開得幾順利。
>>yue<< The war with France was over.	同法國嘅戰爭已經結束。
>>yue<< There is a house on the hill.	座山上面有一間屋。
>>yue<< There is no more cheese left.	冇芝士剩喇。
>>yue<< There's not a cloud in sight.	一朵雲都無。
>>yue<< There's room for improvement.	重有進步嘅餘地。
>>yue<< This is obviously impossible.	好明顯唔得啦。
>>yue<< This morning, I saw an angel.	我今朝見到個天使。
>>yue<< Tom gave me a ride to school.	Tom車咗我返學。
>>yue<< Tom is as tall as his father.	阿Tom同佢老豆一樣咁高。
>>yue<< Tom is more famous than Mary.	阿Tom有名過Mary。
>>yue<< Tom owns a yellow sports car.	Tom有架黃色跑車。
>>yue<< Tom was scared to go outside.	阿湯唔敢出去。
>>yue<< Turn down the volume, please.	唔該你較細聲啲吖。
>>yue<< We don't have another choice.	我哋冇其他選擇。
>>yue<< We don't know where Tom went.	我哋唔知阿Tom去咗邊。
>>yue<< We had a cup of tea together.	我哋一齊飲咗杯茶。
>>yue<< We have lots of things to do.	我哋有好多嘢要做。
>>yue<< We weren't at home yesterday.	我哋尋日唔喺屋企。
>>yue<< We'll see who finishes first.	咪睇吓邊個衝線先囉。
>>yue<< What does your car look like?	你架車係點樣㗎？
>>yue<< What's your favorite dessert?	你最鍾意食咩甜品？
>>yue<< When does Tom usually arrive?	阿湯通常幾點到㗎？
>>yue<< Where can I buy a toothbrush?	邊度有得買牙刷呀？
>>yue<< Where did Tom get this money?	呢筆錢阿湯喺邊度得來㗎？
>>yue<< Why are you doing this to me?	點解你要噉對我？
>>yue<< Why did you say such a thing?	你做咩講埋啲噉嘅嘢呀？
>>yue<< Why does Tom need to do that?	點解阿Tom要咁做？
>>yue<< Will it take long to recover?	會唔會好耐先好得返㗎？
>>yue<< Will you have dinner with me?	夜晚一唔一齊食飯呀？
>>yue<< You two have a lot in common.	你哋兩個有好多共通點。
>>yue<< "Tom, hurry up." "I'm coming!"	「阿Tom，快啲啦。」「嚟緊喇！」
>>yue<< A bird is singing in the tree.	有隻雀仔喺樹上面唱歌。
>>yue<< A burnt child dreads the fire.	見過鬼仲唔怕黑咩。
>>yue<< Are you guys talking about me?	你哋係咪講緊我呀？
>>yue<< Could you turn down the radio?	可唔可以將部收音機較細聲少少呀？
>>yue<< Cut the meat into thin slices.	將啲肉切到一片片好薄噉。
>>yue<< Did you call him up yesterday?	你尋日有無打電話俾佢？
>>yue<< Did you do your laundry today?	你今日有冇洗衫呀？
>>yue<< Did you have a nice Christmas?	你聖誕節過得開唔開心呀？
>>yue<< Do I have to do it right away?	我使唔使即刻做㗎？
>>yue<< Do you have a Twitter account?	你有冇Twitter帳戶呀？
>>yue<< Do you live with your parents?	你係咪同你阿爸阿媽一齊住㗎？
>>yue<< Do you study French at school?	你有冇喺學校到讀法文？
>>yue<< Do you think Tom is all right?	你覺唔覺得Tom冇嘢？
>>yue<< Don't you think that I'm cute?	你唔覺得我好得意咩？
>>yue<< Driving too fast is dangerous.	超速駕駛好危險㗎。
>>yue<< Eleven o'clock is good for me.	十一點我OK。
>>yue<< Eleven o'clock is good for me.	十一點我得呀。
>>yue<< Everyone is wearing name tags.	個個都戴住名牌。
>>yue<< Hair loss is often hereditary.	落頭髮通常都係遺傳。
>>yue<< Hang that picture on the wall.	掛嗰幅畫去埲牆上面吖。
>>yue<< Have you finished packing yet?	你執好晒啲嘢未呀？
>>yue<< He began to eat his breakfast.	佢開始食早餐。
>>yue<< He has just bought a used car.	佢啱啱買咗架二手車。
>>yue<< He likes coffee without sugar.	佢飲咖啡唔鍾意落糖。
>>yue<< He lives in this neighborhood.	佢住喺呢度附近。
>>yue<< He thinks he knows everything.	佢以為自己咩都識。
>>yue<< He threw a rock into the pond.	佢抌咗塊石頭落個池度。
>>yue<< He went to London a month ago.	上個月渠去過倫敦。
>>yue<< How cold is it where you live?	你住嗰到有幾凍㗎？
>>yue<< I bought a pen, but I lost it.	我買咗枝筆，但係唔見咗。
>>yue<< I bought this T-shirt on sale.	我買咗呢件減緊價嘅 T 恤。
>>yue<< I can eat anything but onions.	我除咗洋葱之外咩都食。
>>yue<< I can sing a few French songs.	我識唱少少法文歌。
>>yue<< I can't lend this book to you.	我唔可以借呢本書俾你。
>>yue<< I didn't know what to do then.	我嗰陣時唔知點做先好。
>>yue<< I don't think that he'll come.	佢應該唔會嚟㗎喇。
>>yue<< I found this book interesting.	我覺得呢本書好有趣。
>>yue<< I have a degree in philosophy.	我有哲學學位。
>>yue<< I have a nap almost every day.	我差唔多每日都會瞓晏覺。
>>yue<< I have to buy Christmas gifts.	我要買聖誕禮物喇。
>>yue<< I haven't eaten breakfast yet.	我仲未食早餐。
>>yue<< I hope you'll get better soon.	希望你快啲好返啦。
>>yue<< I planted roses in the garden.	我喺個花園度種咗啲玫瑰花。
>>yue<< I promise you I'll come early.	我保證我好快就會嚟到。
>>yue<< I really like this restaurant.	我真係好鍾意呢間餐廳。
>>yue<< I really want to learn French.	我好想學法文。
>>yue<< I really want to study French.	我好想學法文。
>>yue<< I think that Tom is a student.	阿湯似係個學生。
>>yue<< I think you dropped something.	你似乎跌咗啲嘢噃。
>>yue<< I want to see the movie again.	我想再睇多次套戲。
>>yue<< I want to sleep a little more.	我想瞓多陣。
>>yue<< I want you to meet my parents.	我想你見吓我阿爸阿媽。
>>yue<< I will deal with this problem.	我會處理呢個問題。
>>yue<< I wish I had a room of my own.	如果我有自己一間房就好喇。
>>yue<< I wish I were as smart as you.	如果我有你咁醒目就好
>>yue<< I wrote a letter to my mother.	我寫咗封信俾我阿媽。
>>yue<< I'll be sure to tell Tom that.	我一定會同Tom講㗎喇。
>>yue<< I'll certainly go and see him.	我一定會去探佢嘅。
>>yue<< I'm going to miss Tom so much.	我會好掛住阿Tom㗎。
>>yue<< I'm not going to stay forever.	我唔會永遠都喺到。
>>yue<< I'm not in a good mood either.	我心情都唔係好靚。
>>yue<< I'm not too worried about Tom.	我唔係太擔心阿Tom。
>>yue<< I'm sorry, I'm busy right now.	唔好意思，我而家好忙呀。
>>yue<< I'm used to working all night.	我慣咗通頂做嘢。
>>yue<< I'm used to working all night.	我慣咗通宵做嘢。
>>yue<< I've asked Tom not to do that.	我叫咗阿Tom唔好咁做。
>>yue<< I've got no time for that now.	我依家冇時間理嗰樣嘢。
>>yue<< It is no use arguing with him.	同佢拗嚟都嘥氣。
>>yue<< It was great working with Tom.	同阿Tom做嘢真係好正。
>>yue<< It's time for me to go to bed.	我要去瞓覺喇。
>>yue<< It's time for me to go to bed.	我夠鐘瞓覺喇。
>>yue<< It's time for us to go to bed.	我哋係時候上床喇。
>>yue<< Let's take a ten-minute break.	我哋休息十分鐘啦。
>>yue<< Look at me when I talk to you!	我同你講嘢嗰陣望住我！
>>yue<< Most of his friends are girls.	佢班friend大多數都係女仔。
>>yue<< My son is now as tall as I am.	我個仔而家同我一樣咁高喇。
>>yue<< Neither Tom nor Mary can swim.	阿Tom同Mary都唔識游水。
>>yue<< Please don't be angry with me.	我求吓你唔好嬲我啦。
>>yue<< She is progressing in Chinese.	佢啲中文越嚟越好。
>>yue<< She plays tennis every Sunday.	佢逢禮拜日都會去打網球。
>>yue<< Someone locked me in the room.	有人鎖咗我喺間房度。
>>yue<< Take a little nap on the sofa.	喺梳化到瞌一陣啦。
>>yue<< That bridge is very beautiful.	嗰座橋好靚。
>>yue<< That's exactly what Tom wants.	呢樣正正就係阿Tom想要嘅嘢。
>>yue<< That's what we're looking for.	呢樣就係我哋搵緊嘅嘢。
>>yue<< The car crashed into the wall.	架車撞咗埋埲牆度。
>>yue<< The girl resembles her mother.	個女仔同佢阿媽好似樣。
>>yue<< The homework is due next week.	份功課下個禮拜交。
>>yue<< The noise set the dog barking.	啲噪音搞到隻狗喺度吠。
>>yue<< There is a fly on the ceiling.	個天花板上面有隻烏蠅。
>>yue<< There must be another way out.	一定有第啲辦法嘅！
>>yue<< There's a hole in this bucket.	呢個桶穿咗個窿。
>>yue<< This is the best time of year.	全年最正就係呢個時候。
>>yue<< This paper doesn't absorb ink.	呢張紙唔吸墨。
>>yue<< This river is one mile across.	呢條河有一咪闊。
>>yue<< Today is my friend's birthday.	今日我朋友生日。
>>yue<< Today is my friend's birthday.	我朋友今日生日。
>>yue<< Tom always keeps his promises.	Tom 好守信用。
>>yue<< Tom always keeps his promises.	Tom 好有口齒。
>>yue<< Tom and Mary are both thirsty.	阿湯同馬利都頸渴。
>>yue<< Tom is probably still at home.	斷估阿Tom應該仲喺屋企。
>>yue<< Tom is sick, so he can't come.	湯姆病咗所以蒞唔到喇。
>>yue<< Tom refused to pay the ransom.	阿湯唔肯畀贖金。
>>yue<< Tom went back to his hometown.	阿 Tom 返咗鄉下。
>>yue<< Tom will probably be arrested.	阿湯遲早會畀人拉囉。
>>yue<< We need to hire a new manager.	我哋要請一個新嘅經理。
>>yue<< We took turns driving the car.	我哋輪流揸車。
>>yue<< Where can I buy that magazine?	嗰本雜誌邊度有得買㗎？
>>yue<< Who are you trying to impress?	你想威俾邊個睇唧？
>>yue<< Who has eaten all the cookies?	邊個食晒啲曲奇？
>>yue<< Why did Tom get into that car?	點解阿Tom走咗入嗰架車到嘅？
>>yue<< Why didn't you dance with him?	你做咩唔同佢跳舞嘅？
>>yue<< Will you let me try once more?	你可唔可以俾我試多一次呀？
>>yue<< You don't understand anything.	你乜都唔明。
>>yue<< You will soon get to like him.	你好快就會開始鍾意佢㗎喇。
>>yue<< You'd better go there on foot.	你最好行路去。
>>yue<< You'd better take an umbrella.	你最好帶埋把遮去。
>>yue<< You're doing it the wrong way.	咁樣做唔啱㗎。
>>yue<< Your birthday is drawing near.	你生日就到啦噃。
>>yue<< Your handwriting is very good.	你手字好靚。
>>yue<< Your purse is similar to mine.	你個銀包同我嗰個好似樣。
>>yue<< "What time is it?" "It's 3:20."	「而家幾點呀？」「三點四。」
>>yue<< "What's the time?" "It's 2:30."	「而家幾多點呀？」「兩點半。」
>>yue<< Applications are due by Monday.	星期一截止報名。
>>yue<< Could you turn the volume down?	你可唔可以較細聲啲呀？
>>yue<< Did everyone do their homework?	係咪大家都做好晒功課喇？
>>yue<< Did he come by bus or by train?	佢係搭巴士嚟定係搭火車嚟㗎？
>>yue<< Did you see Tom at the station?	你喺車站見唔見阿湯啊？
>>yue<< Did you take photos last night?	尋晚有無影相啊？
>>yue<< Do they speak French in Canada?	加拿大係咪講法文㗎？
>>yue<< Do you know how to drive a car?	你識唔識揸車㗎？
>>yue<< Does anyone know what happened?	有冇人知發生咗咩事呀？
>>yue<< Don't step on the broken glass.	唔好踩落啲碎玻璃度。
>>yue<< Fighting won't settle anything.	打交解決唔到問題。
>>yue<< Have you cleaned your room yet?	你執好間房未啊？
>>yue<< He asked me whether I was busy.	佢問我係咪好忙。
>>yue<< He asked me why I was laughing.	佢問我做咩喺度笑。
>>yue<< He has lived here for one week.	佢已經喺度住咗一個禮拜喇。
>>yue<< He has no friends to talk with.	佢冇朋友啱傾。
>>yue<< He is hiding something from me.	佢有啲嘢瞞住我。
>>yue<< He seldom writes to his father.	佢好少寫信俾佢老豆。
>>yue<< He's obsessed with cleanliness.	佢有潔癖。
>>yue<< He's popular with the students.	佢好受學生歡迎。
>>yue<< He's the laziest person I know.	佢係我識嘅人入面最懶嘅一個。
>>yue<< He's the laziest person I know.	我識嘅人入面係佢最懶嘞。
>>yue<< His car has just been repaired.	佢架車啱啱整返好喇。
>>yue<< His writing is very subjective.	佢寫文章寫得好主觀。
>>yue<< I am busy now and can't go out.	我而家好忙，唔出得街。
>>yue<< I don't put sugar in my coffee.	我飲咖啡唔落糖。
>>yue<< I forget your telephone number.	我唔記得咗你個電話號碼。
>>yue<< I forgot to lock the storeroom.	我唔記得咗鎖士多房道門。
>>yue<< I found a dollar in the street.	我喺街度執到一蚊。
>>yue<< I go to Australia all the time.	我成日都去澳州。
>>yue<< I have not eaten breakfast yet.	我仲未食早餐。
>>yue<< I held my breath in excitement.	我興奮到講唔到嘢。
>>yue<< I know all your songs by heart.	你嗰啲歌我全部都識背㗎。
>>yue<< I know what you did last night.	我知你尋晚做過咩嚟。
>>yue<< I like listening to good music.	我鍾意聽好音樂。
>>yue<< I like to listen to good music.	我鍾意聽好音樂。
>>yue<< I put my suitcase in the trunk.	我將啲行李擺咗喺個車尾箱入面。
>>yue<< I really want to know her name.	我好想知道佢個名。
>>yue<< I saw Tom kissing another girl.	我見到阿Tom錫第二個女仔。
>>yue<< I take my camera wherever I go.	我去到邊都帶住部相機。
>>yue<< I think it's still worth a try.	我覺得都可以搏下嘅。
>>yue<< I walk in the forest every day.	我日日都去森林度散步。
>>yue<< I want something cold to drink.	我想飲啲凍嘢。
>>yue<< I want to know why you're here.	我想知點解你會喺度。
>>yue<< I'd like a window seat, please.	要窗口位吖唔該。
>>yue<< I'd like to pay by credit card.	我想用信用卡俾錢。
>>yue<< I'll take that as a compliment.	我當你讚我㗎喇。
>>yue<< I'm afraid it'll rain tomorrow.	我驚聽日會落雨。
>>yue<< I'm going to make you eat that.	我要令你食嗰嚿嘢。
>>yue<< I'm waiting for you to help me.	我等緊你幫我。
>>yue<< I'm working for a trading firm.	我喺一間貿易公司度打工。
>>yue<< I've already made that mistake.	我已經犯咗嗰個錯。
>>yue<< I've been coughing all morning.	我今朝咳到無停。
>>yue<< I've been here for three weeks.	我嚟咗呢到三個禮拜喇。
>>yue<< If that happens again, call me.	如果再有啲咁嘅事發生就打俾我啦。
>>yue<< If that happens again, call me.	如果再係咁就打俾我啦。
>>yue<< If you bite me, I'll bite back.	你咬我，我就咬返你。
>>yue<< If you get sleepy, let me know.	你眼瞓就出聲喇喎。
>>yue<< Is it safe to drink this water?	啲水飲唔飲得㗎？
>>yue<< John's two years older than me.	阿John大我兩歲。
>>yue<< Like it or not, you must do it.	鐘唔鐘意你都要做。
>>yue<< Modern art doesn't interest me.	我對現代藝術冇乜興趣。
>>yue<< My brother likes horror movies.	我阿哥好鍾意睇恐怖片。
>>yue<< My daughter loves jumping rope.	我個女好鍾意跳繩。
>>yue<< My mother has good handwriting.	我阿媽手字好靚。
>>yue<< My plane leaves at six o'clock.	我坐嗰架飛機六點開。
>>yue<< My shoes are bigger than yours.	我對鞋大過你嗰對。
>>yue<< Pay the cashier on the way out.	去出口個收銀處俾錢啦。
>>yue<< She held on to my hand tightly.	佢捉實我隻手。
>>yue<< She is a woman of great beauty.	佢係一個好靚嘅女人。
>>yue<< She is certain to be surprised.	佢一定會好驚喜。
>>yue<< She was arrested by the police.	佢俾警察拉咗。
>>yue<< Tell me about it. I'm all ears.	話俾我聽啦，我好想知呀。
>>yue<< The boy I love doesn't love me.	我鍾意嗰個男仔唔鍾意我。
>>yue<< The desk was covered with dust.	張枱舖滿咗塵。
>>yue<< The summer was over in no time.	夏日話咁快就完咗。
>>yue<< The waiter brought a new plate.	個侍應拎咗個新碟俾我哋。
>>yue<< The wound on my leg is healing.	我隻腳個傷慢慢好緊。
>>yue<< There aren't any other options.	都冇乜得揀啦
>>yue<< This box is filled with apples.	呢個箱裏面裝滿晒蘋果。
>>yue<< This bus can hold fifty people.	呢架巴士載到五十個人。
>>yue<< This city used to be beautiful.	呢座城以前好靚㗎。
>>yue<< This is a very complex problem.	呢個係一個非常複雜嘅問題。
>>yue<< This machine is easy to handle.	呢部機好易用。
>>yue<< This telephone is out of order.	呢部電話壞咗。
>>yue<< Tom and Mary grew up in Boston.	阿Tom同阿Mary係喺波士頓大嘅。
>>yue<< Tom bought a camera like yours.	Tom買咗部相機好似你嗰部。
>>yue<< Tom bought a camera like yours.	Tom買咗部好似你嗰部嘅相機。
>>yue<< Tom is wearing a hat like mine.	阿Tom戴緊嗰頂帽同我嗰頂好似。
>>yue<< Tom pretended to be interested.	阿Tom扮晒有興趣咁。
>>yue<< Tom was crying when I got home.	我返到屋企嗰陣阿湯喺度喊。
>>yue<< Tom won $10,000 in the lottery.	湯姆買六合彩贏咗一皮嘢。
>>yue<< We live in a civilized society.	我哋生活喺文明社會。
>>yue<< What are you getting ready for?	你準備緊乜啊？
>>yue<< What do you need the money for?	你要筆錢嚟做咩呀？
>>yue<< What was the weather yesterday?	尋日啲天氣點呀？
