>>sqi<< Smile.	Buzëqesh.
>>sqi<< Tom explained it in detail, but I still don't get it.	Tom e sqaroi atë në detaj, por unë akoma nuk e kuptoj.
>>sqi<< When you can't do what you want, you do what you can.	Kur nuk mund te beni cfare doni,ju beni cfare mundeni.
>>sqi<< Yesterday, Mary cleaned the house and washed clothes.	Dje Maria pastroi shtëpinë dhe lau rrobat.
>>sqi<< Romania is a Balkan country. Its capital is Bucharest.	Rumania është një vend ballkanik. Kryeqyteti i saj është Bukureshti.
>>sqi<< You continue making the same mistakes time after time.	Vazhdoni te beni te njejtin gabim here pas here.
>>sqi<< The police seized a large quantity of drugs at the school.	Policia kapi nje sasi te madhe droge ne shkolle.
>>sqi<< What you say is quite different from what I heard from him.	Ajo cfare ju thate eshte shum e ndryshme nga ajo qe degjova nga ai.
>>sqi<< Did you know that Tom and Mary were planning to get married?	E dije qe Tomi dhe Meri po planifikonin te martoheshin?
>>sqi<< Did you know that Tom and Mary were planning to get married?	E dije qe Tomi dhe Meri po benin plane per tu martuar?
>>sqi<< Do you always leave for work at the same time every morning?	Shkon në punë çdo mëngjes në të njejtën kohë?
>>sqi<< Even when you're old and gray, you should be able to enjoy life.	Edhe kur te jesh i vjeter e i thinjur duhet te jesh ne gjendje ta shijosh jeten.
>>sqi<< Even when you're old and gray, you should be able to enjoy life.	Edhe kur te jesh e vjeter e e thinjur, duhet te jesh ne gjende ta shijosh jeten.
>>sqi<< I just found out that you're going to be given an award tonight.	Sapo morra vesh qe do te te japin nje cmim sot ne darke.
>>sqi<< It's not till we lose our health that we realize its true value.	Nuk ia dime vleren e vertete shendetit pa e humbur.
>>sqi<< Just because it's possible to do it, doesn't mean you should do it.	Vetëm pse është e mundur për ta bërë, nuk do të thotë që duhet ta bësh.
>>sqi<< Some of the students were from Asia and the others were from Europe.	Disa nga studentat ishin nga Azia dhe te tjeret ishin nga Europa.
>>sqi<< You were right about several things. However, you made a few errors.	Kishe të drejtë për shumë gjëra. Megjithatë bëre disa gabime.
>>sqi<< Tom certainly hadn't done anything that deserved that kind of punishment.	Si duket, Tomi ishte vonë sepse kishte trafik ne Rt. 19.
>>sqi<< Good friends are like stars. You don't always see them, but you know they are always there.	Miqt e mirë janë si yjet. Jo gjithmonë i sheh ata, por ti e di ata janë gjithmonë atje.
>>sqi<< Mary is really great. She cooked a wonderful dinner for me and even washed the dishes herself.	Maria është e shkëlqyeshme. Ajo gatoi një darkë të mrekullueshme për mua dhe madje lau vetë pjatat.
