>>nno<< Run!	Laup!
>>nno<< I like ice cream.	Eg likar is.
>>nno<< I like ice cream.	Eg likar iskrem.
>>nno<< I like mushrooms.	Eg likar sopp.
>>nno<< I live in Europe.	Eg budde i Europa.
>>nno<< I lost my camera.	Eg miste kameraet mitt.
>>nno<< I love elephants.	Eg elskar elefantar.
>>nno<< I love ice cream.	Eg elskar is.
>>nno<< I love ice cream.	Eg elskar iskrem.
>>nno<< I love mushrooms.	Eg elskar sopp.
>>nno<< I need a new car.	Eg treng ein ny bil.
>>nno<< I need ice cubes.	Eg treng isbitar.
>>nno<< I play the flute.	Eg spelar fløyte.
>>nno<< I play the organ.	Eg spelar orgel.
>>nno<< I play the viola.	Eg spelar bratsj.
>>nno<< I really miss it.	Eg saknar det verkeleg.
>>nno<< I sang at church.	Eg song i kyrkja.
>>nno<< I sang in French.	Eg song på fransk.
>>nno<< I sell umbrellas.	Eg sel paraplyar.
>>nno<< I sing at church.	Eg syng i kyrkja.
>>nno<< I studied French.	Eg studerte fransk.
>>nno<< I visited Boston.	Eg besøkte Boston.
>>nno<< I want ice cream.	Eg vil ha is.
>>nno<< I want ice cream.	Eg vil ha iskrem.
>>nno<< I want ice cream.	Eg har lyst på iskrem.
>>nno<< I want ice cream.	Eg har lyst på is.
>>nno<< I was a comedian.	Eg var komikar.
>>nno<< I waved the flag.	Eg vifta med flagget.
>>nno<< I went to Boston.	Eg fór til Boston.
>>nno<< I won't go there.	Eg skal ikkje gå dit.
>>nno<< I won't go there.	Dit går eg ikkje.
>>nno<< I work in Boston.	Eg jobbar i Boston.
>>nno<< I wrote a letter.	Eg skreiv eit brev.
>>nno<< I'll forgive you.	Eg tilgjev deg.
>>nno<< I'll take a look.	Eg skal sjå på det.
>>nno<< I'll take a look.	Eg skal ta ein titt på det.
>>nno<< I'm an architect.	Eg er arkitekt.
>>nno<< I'm done talking.	Eg er ferdig å snakka.
>>nno<< I'm done working.	Eg er ferdig med å arbeida.
>>nno<< I'm done working.	Eg er ferdig å arbeida.
>>nno<< I'm drinking tea.	Eg drikk te.
>>nno<< I'm just looking.	Eg kikar berre.
>>nno<< I'm not a doctor.	Eg er ikkje lege.
>>nno<< I'm not a doctor.	Eg er ikkje doktor.
>>nno<< I'm not a pirate.	Eg er ikkje ein pirat.
>>nno<< I'm not a pirate.	Eg er ikkje pirat.
>>nno<< I've been better.	Eg har hatt det betre.
>>nno<< Is Tom bilingual?	Er Tom tospråkleg?
>>nno<< Is Tom in Boston?	Er Tom i Boston?
>>nno<< Is that a castle?	Er det eit slott?
>>nno<< Is that for sale?	Er det til sals?
>>nno<< Is the road open?	Er vegen open?
>>nno<< Is this a letter?	Er dette eit brev?
>>nno<< Is this for sale?	Er dette til sals?
>>nno<< It isn't a dream.	Det er ikkje ein draum.
>>nno<< It rained little.	Det regna lite.
>>nno<< It took too long.	Det tok for lang tid.
>>nno<< It's Tom's house.	Det er Tom sitt hus.
>>nno<< It's a dream job.	Det er ein draumejobb.
>>nno<< It's hard to say.	Det er vanskelg å seia.
>>nno<< It's my umbrella.	Det er min paraply.
>>nno<< It's my umbrella.	Det er paraplyen min.
>>nno<< It's not a dream.	Det er ikkje ein draum.
>>nno<< It's not allowed.	Det er ikkje lov.
>>nno<< It's not allowed.	Det er ikkje tillate.
>>nno<< It's very direct.	Det er veldig direkte.
>>nno<< Keep me informed.	Hald meg informert.
>>nno<< Load the cannons.	Lad kanonane.
>>nno<< Look at that one.	Sjå på den.
>>nno<< Look at the moon.	Sjå på månen.
>>nno<< Look at your map.	Sjå på kartet ditt.
>>nno<< Many insects fly.	Mange insekt flyg.
>>nno<< Many people came.	Det kom mange folk.
>>nno<< Many people came.	Mange folk kom.
>>nno<< Many people died.	Mange folk døydde.
>>nno<< Many people hunt.	Mange folk jaktar.
>>nno<< May we swim here?	Får me symja her?
>>nno<< May we swim here?	Får me bada her?
>>nno<< Nice to meet you.	Hyggjeleg å treffa deg.
>>nno<< Nice to meet you.	Hyggjeleg å møta deg.
>>nno<< No one will know.	Ingen blir å vita det.
>>nno<< Nobody knows why.	Ingen veit kvifor.
>>nno<< Nobody likes war.	Ingen likar krig.
>>nno<< Nobody loves war.	Ingen elskar krig.
>>nno<< Now give it back.	Gjev det tilbake no.
>>nno<< Phone the police.	Ring politiet.
>>nno<< Please answer me.	Ver snill å svara meg.
>>nno<< Put on your coat.	Tak på deg frakken din.
>>nno<< Put your coat on.	Tak på deg frakken din.
>>nno<< She kept working.	Ho fortsette å arbeida.
>>nno<< She kept working.	Ho fortsette å jobba.
>>nno<< She needs a coat.	Ho treng ein frakk.
>>nno<< She wore glasses.	Ho hadde på seg briller.
>>nno<< She wore glasses.	Ho gjekk med briller.
>>nno<< Show me the list.	Vis meg lista.
>>nno<< Snakes are scary.	Slangar er skumle.
>>nno<< Speak French, OK?	Snakk fransk, ok?
>>nno<< Speak French, OK?	Snakk fransk, OK?
>>nno<< Summer is coming.	Sommaren er på veg.
>>nno<< Take an umbrella.	Tak ein paraply.
>>nno<< Take care of Tom.	Tak vare på Tom.
>>nno<< Take my umbrella.	Tak paraplyen min.
>>nno<< Take my umbrella.	Tak min paraply.
>>nno<< Tell him to wait.	Sei at han skal venta.
>>nno<< That's all I saw.	Det er alt eg såg.
>>nno<< That's debatable.	Det kan debatterast.
>>nno<< That's democracy.	Det er demokrati.
>>nno<< That's upsetting.	Det var leitt.
>>nno<< The bubble burst.	Bobla sprakk.
>>nno<< The milk is sour.	Mjølka er sur.
>>nno<< The road flooded.	Vegen fløymde over.
>>nno<< The road was icy.	Vegen var isete.
>>nno<< The week is over.	Veka er over.
>>nno<< These shoes hurt.	Desse skorne gjer vondt å ha på seg.
>>nno<< These shoes hurt.	Desse skoa gjer vondt å ha på seg.
>>nno<< They are doctors.	Dei er dokterar.
>>nno<< They got crushed.	Dei vart knust.
>>nno<< They had weapons.	Dei hadde våpen.
>>nno<< They like French.	Dei likar fransk.
>>nno<< They shook hands.	Dei handhelsa.
>>nno<< They're teachers.	Dei er lærarar.
>>nno<< This book is new.	Denne boka er ny.
>>nno<< This is my horse.	Dette er min hest.
>>nno<< This is my horse.	Dette er hesten min.
>>nno<< This one's on me.	Denne spanderer eg.
>>nno<< This was on sale.	Dette var på tilbod.
>>nno<< This will happen.	Dette kjem til å skje.
>>nno<< Tom beat his dog.	Tom slo hunden sin.
>>nno<< Tom beat up Mary.	Tom banka Mary.
>>nno<< Tom can beat you.	Tom kan slå deg.
>>nno<< Tom felt trapped.	Tom kjende seg fanga.
>>nno<< Tom had an alibi.	Tom hadde eit alibi.
>>nno<< Tom has a camera.	Tom har eit kamera.
>>nno<< Tom has a guitar.	Tom har ein gitar.
>>nno<< Tom has an alibi.	Tom har eit alibi.
>>nno<< Tom has homework.	Tom har lekser.
>>nno<< Tom hated Boston.	Tom hata Boston.
>>nno<< Tom hates French.	Tom hatar fransk.
>>nno<< Tom hates snakes.	Tom hatar slangar.
>>nno<< Tom impressed me.	Tom imponerte meg.
>>nno<< Tom is a vampire.	Tom er ein vampyr.
>>nno<< Tom is a warrior.	Tom er ein krigar.
>>nno<< Tom is bilingual.	Tom er tospråkleg.
>>nno<< Tom is impressed.	Tom er imponert.
>>nno<< Tom is in church.	Tom er i kyrkja.
>>nno<< Tom is my client.	Tom er klienten min.
>>nno<< Tom is organized.	Tom er organisert.
>>nno<< Tom is very tall.	Tom er veldig høg.
>>nno<< Tom isn't polite.	Tom er ikkje høfleg.
>>nno<< Tom liked horses.	Tom likte hestar.
>>nno<< Tom likes Boston.	Tom likar Boston.
>>nno<< Tom likes French.	Tom likar fransk.
>>nno<< Tom likes hiking.	Tom likar å gå på tur.
>>nno<< Tom likes horses.	Tom likar hestar.
>>nno<< Tom looked upset.	Tom såg lei seg ut.
>>nno<< Tom loved Boston.	Tom elska Boston.
>>nno<< Tom loved horses.	Tom elska hestar.
>>nno<< Tom loves Boston.	Tom elskar Boston.
>>nno<< Tom loves French.	Tom elskar fransk.
>>nno<< Tom loves horses.	Tom elskar hestar.
>>nno<< Tom made a robot.	Tom laga ein robot.
>>nno<< Tom needs a coat.	Tom treng ein frakk.
>>nno<< Tom needs a taxi.	Tom treng ei drosje.
>>nno<< Tom needs a taxi.	Tom treng ein taxi.
>>nno<< Tom never fit in.	Tom passa aldri inn.
>>nno<< Tom plays guitar.	Tom spelar gitar.
>>nno<< Tom punched Mary.	Tom slo Mary.
>>nno<< Tom reads French.	Tom les fransk.
>>nno<< Tom shops online.	Tom handlar på nett.
>>nno<< Tom spoke French.	Tom snakka fransk.
>>nno<< Tom went too far.	Tom gjekk for langt.
>>nno<< Tom won the race.	Tom vann kapplaupet.
>>nno<< Tom wore glasses.	Tom hadde på seg briller.
>>nno<< Use a calculator.	Bruk kalkulator.
>>nno<< Use your weapons.	Bruk våpena dine.
>>nno<< Vacation is over.	Ferien er over.
>>nno<< Was anybody hurt?	Vart nokon skadd?
>>nno<< Was anybody hurt?	Blei nokon skadd?
>>nno<< Watch your speed.	Pass på farta di.
>>nno<< We ate the pizza.	Vi åt pizzaen.
>>nno<< We can beat them.	Vi kan slå dei.
>>nno<< We couldn't come.	Vi kunne ikkje koma.
>>nno<< We dealt with it.	Vi tok oss av det.
>>nno<< We have homework.	Vi har lekser.
>>nno<< We lost the game.	Vi tapte spelet.
>>nno<< We met in Boston.	Vi møttest i Boston.
>>nno<< We met last week.	Vi møttest førre veke.
>>nno<< We need some ice.	Vi treng litt is.
>>nno<< We're all widows.	Vi er alle enkjer.
>>nno<< We're architects.	Vi er arkitektar.
>>nno<< We're detectives.	Vi er detektivar.
>>nno<< We're having fun.	Vi har det artig.
>>nno<< We're having fun.	Vi har det artig i lag.
>>nno<< We're having fun.	Vi har det moro.
>>nno<< We're having fun.	Vi har det gøy.
>>nno<< We're not heroes.	Vi er ikkje heltar.
>>nno<< We're unemployed.	Vi er arbeidsledige.
>>nno<< We're unemployed.	Vi er arbeidslause.
>>nno<< Were you invited?	Vart du invitert?
>>nno<< Were you invited?	Var du invitert?
>>nno<< Were you invited?	Vart de inviterte?
>>nno<< Were you invited?	Var de inviterte?
>>nno<< What a long week!	For ei lang veke!
>>nno<< What did you buy?	Kva kjøpte du?
>>nno<< What do you want?	Kva vil du?
>>nno<< What do you want?	Kva vil de?
>>nno<< What's a dolphin?	Kva er delfinar?
>>nno<< What's democracy?	Kva er demokrati?
>>nno<< Where's the list?	Kor er lista?
>>nno<< Where's the list?	Kvar er lista?
>>nno<< Who decides that?	Kven bestemmer det?
>>nno<< Who plays guitar?	Kven spelar gitar?
>>nno<< Who spoke French?	Kven snakka fransk?
>>nno<< Why do you study?	Kvifor studerer du?
>>nno<< Why do you study?	Kvifor studerer de?
>>nno<< Will that be all?	Er det alt?
>>nno<< Winter is coming.	Vinteren nærmar seg.
>>nno<< You should shave.	Du burde barbera deg.
>>nno<< You should sleep.	Du burde sova.
>>nno<< You're very lazy.	Du er veldig lat.
>>nno<< You're very lazy.	De er veldig late.
>>nno<< You're very tall.	Du er veldig høg.
>>nno<< Your shoes stink.	Skorne dine stinkar.
>>nno<< Your shoes stink.	Skoa dine stinkar.
>>nno<< A sniper shot Tom.	Ein skarpskyttar skaut Tom.
>>nno<< Add a little milk.	Legg til litt mjølk.
>>nno<< Are lions mammals?	Er løver pattedyr?
>>nno<< Are vampires real?	Er vampyrar ekte?
>>nno<< Are you a vampire?	Er du ein vampyr?
>>nno<< Are you bilingual?	Er du tospråkleg?
>>nno<< Are you comedians?	Er dokker komikarar?
>>nno<< Are you comedians?	Er de komikarar?
>>nno<< Are you impressed?	Er du imponert?
>>nno<< Are you impressed?	Er de imponerte?
>>nno<< Are you impressed?	Er dokker imponerte?
>>nno<< Are you in Boston?	Er du i Boston?
>>nno<< Are you organized?	Er du organisert?
>>nno<< Are you published?	Er du blitt publisert?
>>nno<< Are you published?	Er du vorten publisert?
>>nno<< Are you sure, Tom?	Er du sikker, Tom?
>>nno<< Birds build nests.	Fuglar byggjer reir.
>>nno<< Bring an umbrella.	Tak med deg ein paraply.
>>nno<< Bring an umbrella.	Hent ein paraply.
>>nno<< Can elephants fly?	Kan elefantar flyga?
>>nno<< Can you beat that?	Kan du slå det?
>>nno<< Can you translate?	Kan du setja om?
>>nno<< Can you translate?	Kan du omsetja?
>>nno<< Clean up a little.	Rydd opp litt.
>>nno<< Did you buy juice?	Kjøpte du jus?
>>nno<< Did you get a key?	Fekk du ein nykel?
>>nno<< Did you need that?	Trong du det?
>>nno<< Do you have a car?	Har du bil?
>>nno<< Do you have a car?	Har de bil?
>>nno<< Do you like opera?	Likar du opera?
>>nno<< Do you want to go?	Har du lyst til å gå?
>>nno<< Earth is a planet.	Jorda er ein planet.
>>nno<< Everyone survived.	Alle overlevde.
>>nno<< Exercise outdoors.	Tren utandørs.
>>nno<< Exercise outdoors.	Tren utadørs.
>>nno<< French isn't easy.	Fransk er ikkje lett.
>>nno<< Give me the spoon.	Gjev meg skeia.
>>nno<< Go there yourself.	Dra dit sjølv.
>>nno<< Gold is expensive.	Gull er dyrt.
>>nno<< Haste makes waste.	Hastverk er lastverk.
>>nno<< Have you showered?	Har du dusja?
>>nno<< Hay is for horses.	Høy er til hestar.
>>nno<< He didn't protest.	Han protesterte ikkje.
>>nno<< He died yesterday.	Han døydde i går.
>>nno<< He drank a little.	Han drakk litt.
>>nno<< He is a detective.	Han er detektiv.
>>nno<< He is a scientist.	Han er forskar.
>>nno<< He is intelligent.	Han er intelligent.
>>nno<< He lives in Tokyo.	Han bur i Tokyo no.
>>nno<< He speaks English.	Han snakkar engelsk.
>>nno<< He wrote a letter.	Han skreiv eit brev.
>>nno<< Her skirt is long.	Skjørtet hennar er langt.
>>nno<< Here's your salad.	Her er salaten din.
>>nno<< How disappointing!	Så skuffande!
>>nno<< I bought a camera.	Eg kjøpte eit kamera.
>>nno<< I brought a salad.	Eg tok med meg ein salat.
>>nno<< I can't leave now.	Eg kan ikkje gå no.
>>nno<< I did my homework.	Eg gjorde leksene mine.
>>nno<< I don't get opera.	Eg skjønnar meg ikkje på opera.
>>nno<< I don't have time.	Eg har ikkje tid.
>>nno<< I don't like sand.	Eg likar ikkje sand.
>>nno<< I don't like this.	Dette likar eg ikkje.
>>nno<< I dream in French.	Eg drøymer på fransk.
>>nno<< I failed the exam.	Eg strauk på eksamen.
>>nno<< I got very sleepy.	Eg vart veldig trøytt.
>>nno<< I got your letter.	Eg fekk brevet ditt.
>>nno<< I had a good idea.	Eg fekk ein god idé.
>>nno<< I had to help Tom.	Eg måtte hjelpa Tom.
>>nno<< I have a blue car.	Eg har ein blå bil.
>>nno<< I have to go home.	Eg må gå heim.
>>nno<< I hope he's wrong.	Eg håpar han tek feil.
>>nno<< I hope we survive.	Eg håpar me overlever.
>>nno<< I kept practicing.	Eg fortsette å øva.
>>nno<< I killed the mice.	Eg drap mysene.
>>nno<< I know many women.	Eg kjenner mange kvinner.
>>nno<< I like modern art.	Eg likar moderne kunst.
>>nno<< I like that skirt.	Eg likar det skjørtet.
>>nno<< I lost my glasses.	Eg miste brillene mine.
>>nno<< I lost my luggage.	Eg mista bagasjen min.
>>nno<< I love modern art.	Eg elskar moderne kunst.
>>nno<< I miss it already.	Eg saknar det allereie.
>>nno<< I need a keyboard.	Eg treng eit tastatur.
>>nno<< I need a keyboard.	Eg treng eit keyboard.
>>nno<< I need a vacation!	Eg treng ein ferie!
>>nno<< I need a vacation.	Eg treng ein ferie.
>>nno<< I need more space.	Eg treng meir plass.
>>nno<< I need my glasses.	Eg treng brillene mine.
>>nno<< I need this space.	Eg treng denne plassen.
>>nno<< I play the guitar.	Eg spelar gitar.
>>nno<< I play the violin.	Eg spelar fiolin.
>>nno<< I said it in jest.	Eg sa det på skjemt.
>>nno<< I sometimes skate.	Av og til skatar eg.
>>nno<< I sometimes skate.	Stundom skatar eg.
>>nno<< I thought as much.	Det var det eg tenkte.
>>nno<< I took a vacation.	Eg tok meg ein ferie.
>>nno<< I wanted a jacket.	Eg ville ha ei jakke.
>>nno<< I wanted a jacket.	Eg hadde lyst på ei jakke.
>>nno<< I was on the list.	Eg var på lista.
>>nno<< I was on vacation.	Eg var på ferie.
>>nno<< I was very polite.	Eg var veldig høfleg.
>>nno<< I'll be back soon.	Eg kjem snart tilbake.
>>nno<< I'm from the city.	Eg kjem frå byen.
>>nno<< I'm in a bad mood.	Eg er i dårleg humør.
>>nno<< I'm not the owner.	Eg er ikkje eigaren.
>>nno<< I'm not very tall.	Eg er ikkje veldig høg.
>>nno<< Is this your coat?	Er dette din frakk?
>>nno<< Is your wife tall?	Er kona di høg?
>>nno<< It helps a little.	Det hjelper litt.
>>nno<< It was impressive.	Det var imponerande.
>>nno<< It was inevitable.	Det var uunngåeleg.
>>nno<< It wasn't a dream.	Det var ikkje ein draum.
>>nno<< It's a dictionary.	Det er ei ordbok.
>>nno<< It's blowing hard.	Det blæs hardt.
>>nno<< It's just a dream.	Det er berre ein draum.
>>nno<< It's like a dream.	Det er som ein draum.
>>nno<< It's only a dream.	Det er berre ein draum.
>>nno<< It's still summer.	Det er enno sommar.
>>nno<< It's still summer.	Det er enno sumar.
>>nno<< Knock it off, Tom.	Gjev deg, Tom.
>>nno<< Knock it off, Tom.	Slutt med det, Tom.
>>nno<< Let go of my hair.	Slepp håret mitt.
>>nno<< Life is beautiful.	Livet er skjønt.
>>nno<< Lions are animals.	Løver er dyr.
>>nno<< Look who beat you.	Sjå kven som slo deg.
>>nno<< Message me online.	Send meg ei melding på nett.
>>nno<< My hobby is music.	Min hobby er musikk.
>>nno<< My life is ruined.	Livet mitt er øydelagt.
>>nno<< My room is a mess.	Rommet mitt er rotete.
>>nno<< My umbrella broke.	Paraplyen min vart øydelagd.
>>nno<< My umbrella broke.	Paraplyen min blei øydelagd.
>>nno<< Put down your gun.	Legg ned pistolen din.
>>nno<< Read French books.	Les franske bøker.
>>nno<< Roads are blocked.	Vegar er sperra.
>>nno<< See you next week!	Sest neste veke!
>>nno<< See you next week.	Sest neste veke.
>>nno<< Shame on you guys.	Skam dykk.
>>nno<< Shame on you guys.	Skam dokker.
>>nno<< Shame on you guys.	Skam dykk, folkens.
>>nno<< Shame on you guys.	Skam dokker, folkens.
>>nno<< Shame on you, Tom.	Skam deg, Tom.
>>nno<< She looked around.	Ho såg seg rundt.
>>nno<< She put on a coat.	Ho tok på seg ein frakk.
>>nno<< She speaks loudly.	Ho snakkar høgt.
>>nno<< She speaks loudly.	Ho talar høgt.
>>nno<< She's a woman now.	Ho er ei dame no.
>>nno<< She's our teacher.	Ho er læraren vår.
>>nno<< Show me that list.	Vis meg den lista.
>>nno<< Snakes terrify me.	Slangar gjer meg livredd.
>>nno<< Solve the problem.	Løys problemet.
>>nno<< Someone made this.	Nokon laga dette.
>>nno<< Stay here with us.	Bli her hjå oss.
>>nno<< Stay here with us.	Bli her med oss.
>>nno<< Stop interrupting.	Slutt å avbryta.
>>nno<< Thank you, Doctor.	Takk, dokter.
>>nno<< Thanks for asking.	Takk for at du spurde.
>>nno<< Thanks for asking.	Takk for at de spurde.
>>nno<< That is her house.	Det der er huset hennar.
>>nno<< That isn't French.	Det er ikkje fransk.
>>nno<< That isn't silver.	Det er ikkje sylv.
>>nno<< That isn't silver.	Det der er ikkje sylv.
>>nno<< That won't happen.	Det kjem ikkje til å skje.
>>nno<< That won't happen.	Det blir ikkje å skje.
>>nno<< That's a landfill.	Det er ei søppelfylling.
>>nno<< That's impressive.	Det er imponerande.
>>nno<< That's irrelevant.	Det er irrelevant.
>>nno<< That's not silver.	Det er ikkje sylv.
>>nno<< That's not silver.	Det der er ikkje sylv.
>>nno<< That's our castle.	Det er vårt slott.
>>nno<< That's our castle.	Det er slottet vårt.
>>nno<< The cable snapped.	Kabelen rauk.
>>nno<< The earth rotates.	Jorda roterer.
>>nno<< The horse is mine.	Hesten er min.
>>nno<< The road is muddy.	Vegen er gjørmete.
>>nno<< The roads are icy.	Vegane var isete.
>>nno<< The sand was warm.	Sanden var varm.
>>nno<< The sun has risen.	Sola er stått opp.
>>nno<< The sun is a star.	Sola er ei stjerne.
>>nno<< The sun is bright.	Sola er ljos.
>>nno<< The sun is rising.	Sola står opp.
>>nno<< The war continued.	Krigen fortsette.
>>nno<< They are teachers.	Dei er lærarar.
>>nno<< They have weapons.	Dei har våpen.
>>nno<< They just beat us.	Dei slo oss nettopp.
>>nno<< They played games.	Dei spelte spel.
>>nno<< They speak French.	Dei snakkar fransk.
>>nno<< They spoke French.	Dei snakka fransk.
>>nno<< They were on sale.	Dei var på tilbod.
>>nno<< They're impressed.	Dei er imponerte.
>>nno<< This coat is warm.	Denne frakken er varm.
>>nno<< This cup is Tom's.	Denne koppen er Tom sin.
>>nno<< This is in French.	Dette er på fransk.
>>nno<< This is my camera.	Dette er kameraet mitt.
>>nno<< This isn't French.	Dette er ikkje fransk.
>>nno<< This isn't silver.	Dette er ikkje sylv.
>>nno<< Today is Thursday.	I dag er det torsdag.
>>nno<< Tom ate his salad.	Tom åt salaten sin.
>>nno<< Tom ate the salad.	Tom åt salaten.
>>nno<< Tom beat me again.	Tom slo meg igjen.
>>nno<< Tom blew his nose.	Tom snytte seg.
>>nno<< Tom bought a coat.	Tom kjøpte ein frakk.
>>nno<< Tom built a robot.	Tom bygde ein robot.
>>nno<< Tom burped loudly.	Tom rapa høgt.
>>nno<< Tom can't do that.	Det kan ikkje Tom gjera.
>>nno<< Tom can't do that.	Tom kan ikkje gjera det.
>>nno<< Tom can't do that.	Tom klarer ikkje det.
>>nno<< Tom eats anything.	Tom et kva som helst.
>>nno<< Tom eats too fast.	Tom et for fort.
>>nno<< Tom fed the goats.	Tom mata geitene.
>>nno<< Tom fed the goats.	Tom fôra geitene.
>>nno<< Tom found nothing.	Tom fann ingenting.
>>nno<< Tom had long hair.	Tom hadde langt hår.
>>nno<< Tom had questions.	Tom hadde spørsmål.
>>nno<< Tom has dark skin.	Tom har mørk hud.
>>nno<< Tom has forgotten.	Tom har gløymt.
>>nno<< Tom has many cats.	Tom har mange kattar.
>>nno<< Tom hates shaving.	Tom hatar å barbera seg.
>>nno<< Tom is a comedian.	Tom er komikar.
>>nno<< Tom is a linguist.	Tom er språkforskar.
>>nno<< Tom is growing up.	Tom veks seg stor.
>>nno<< Tom is impressive.	Tom er imponert.
>>nno<< Tom is practicing.	Tom øver.
>>nno<< Tom is quite tall.	Tom er ganske høg.
>>nno<< Tom is unemployed.	Tom er arbeidslaus.
>>nno<< Tom is unemployed.	Tom er arbeidsledig.
>>nno<< Tom lagged behind.	Tom hang etter.
>>nno<< Tom misses Boston.	Tom saknar Boston.
>>nno<< Tom needed a coat.	Tom trong ein frakk.
>>nno<< Tom needs glasses.	Tom treng briller.
>>nno<< Tom played violin.	Tom spela fiolin.
>>nno<< Tom sent me there.	Tom sende meg hit.
>>nno<< Tom snores loudly.	Tom snorkar høgt.
>>nno<< Tom sounded upset.	Tom høyrdest lei seg ut.
>>nno<< Tom speaks French.	Tom snakkar fransk.
>>nno<< Tom speaks loudly.	Tom snakkar høgt.
>>nno<< Tom stole my boat.	Tom stal båten min.
>>nno<< Tom trains horses.	Tom dresserer hestar.
>>nno<< Tom vomited blood.	Tom kasta opp blod.
>>nno<< Tom was impressed.	Tom vart imponert.
>>nno<< Tom was impressed.	Tom blei imponert.
>>nno<< Tom was impressed.	Tom var imponert.
>>nno<< Tom was organized.	Tom var organisert.
>>nno<< Tom was so polite.	Tom var så høfleg.
>>nno<< Tom was so polite.	Tom var so høfleg.
>>nno<< Tom wasn't polite.	Tom var ikkje høfleg.
>>nno<< Tom wears glasses.	Tom går med briller.
>>nno<< Tom will beat you.	Tom kjem til å slå deg.
>>nno<< Vacations are fun.	Feriar er artig.
>>nno<< Vacations are fun.	Feriar er moro.
>>nno<< Venus is a planet.	Venus er ein planet.
>>nno<< Wait, don't shoot!	Vent, ikkje skyt!
>>nno<< Water is a liquid.	Vatn er ei væske.
>>nno<< We believe in God.	Vi trur på Gud.
>>nno<< We drank a little.	Vi drakk litt.
>>nno<< We keep two goats.	Vi har to geiter.
>>nno<< We live in Boston.	Vi bur i Boston.
>>nno<< We need our coats.	Vi treng frakkane våre.
>>nno<< We went to Boston.	Vi fór til Boston.
>>nno<< We were in Boston.	Vi var i Boston.
>>nno<< We'll just try it.	Vi får berre prøva det ut.
>>nno<< We'll just try it.	Vi skal berre prøva det.
>>nno<< We'll just try it.	Vi skal berre prøva det ut.
>>nno<< We're from Boston.	Vi er frå Boston.
>>nno<< We're on vacation.	Vi er på ferie.
>>nno<< Welcome to Boston.	Velkomen til Boston.
>>nno<< Welcome to Boston.	Velkomne til Boston.
>>nno<< What did you hide?	Kva gøymde du?
>>nno<< What're you up to?	Kva driv du med?
>>nno<< What're you up to?	Kva driv de med?
>>nno<< What's wrong, Tom?	Kva er i vegen, Tom?
>>nno<< When do we arrive?	Når kjem vi fram?
>>nno<< When do we arrive?	Kva tid kjem vi fram?
>>nno<< Where do you live?	Kor bur du?
>>nno<< Where's your coat?	Kvar er frakken din?
>>nno<< Where's your coat?	Kor er frakken din?
>>nno<< Which do you want?	Kven av dei vil de ha?
>>nno<< Who broke the cup?	Kven knuste koppen?
>>nno<< Who owns the moon?	Kven eig månen?
>>nno<< Who speaks French?	Kven snakkar fransk?
>>nno<< Will you meet her?	Skal du møta henne?
>>nno<< You are in my way.	Du står i vegen for meg.
>>nno<< You lost the game.	Du tapte spelet.
>>nno<< You should shower.	Du burde dusja.
>>nno<< You talk too much.	Du pratar for mykje.
>>nno<< You talk too much.	Du pratar altfor mykje.
>>nno<< You talk too much.	Du snakkar altfor mykje.
>>nno<< You talk too much.	Du snakkar for mykje.
>>nno<< You'll be with me.	Du kjem til å vera med meg.
>>nno<< You'll be with me.	De kjem til å vera med meg.
>>nno<< You're a tall boy.	Du er ein høg gut.
>>nno<< You're despicable.	Du er forakteleg.
>>nno<< You're impressive.	Du er imponerande.
>>nno<< You're too little.	Du er altfor liten.
>>nno<< You're too little.	Du er altfor lita.
>>nno<< You're too polite.	Du er altfor høfleg.
>>nno<< Any child knows it.	Kvart eit barn veit det.
>>nno<< Are these for sale?	Er desse til sals?
>>nno<< Are you detectives?	Er dokker detektivar?
>>nno<< Are you detectives?	Er de detektivar?
>>nno<< Are you protesting?	Protesterer du?
>>nno<< Are you sure of it?	Er du sikker på det?
>>nno<< Beavers build dams.	Beverar byggjer demningar.
>>nno<< Boston is changing.	Boston endrar seg.
>>nno<< Bring me the flute.	Hent meg fløyta.
>>nno<< Can you arrange it?	Kan du ordna det?
>>nno<< Children like cake.	Born likar kake.
>>nno<< Children love cake.	Born elskar kake.
>>nno<< Did you make lunch?	Laga du lunsj?
>>nno<< Do you know French?	Kan du fransk?
>>nno<< Do you like French?	Likar du fransk?
>>nno<< Do you like robots?	Likar du robotar?
>>nno<< Do you read French?	Les du fransk?
>>nno<< Do you want a soda?	Vil du ha ein brus?
>>nno<< Doctors save lives.	Legar reddar liv.
>>nno<< Doctors save lives.	Lækjarar reddar liv.
>>nno<< Don't tell Tom why.	Ikkje fortel Tom korfor.
>>nno<< Don't tell Tom why.	Ikkje fortel Tom kvifor.
>>nno<< Down with the king!	Ned med kongen!
>>nno<< Enter the password.	Skriv passordet.
>>nno<< Everyone's shocked.	Alle er sjokkerte.
>>nno<< Get your coat, Tom.	Hent frakken din, Tom.
>>nno<< Give me my glasses.	Gjev meg brillene mine.
>>nno<< Glass is breakable.	Glas er knuseleg.
>>nno<< Hand me the letter.	Gjev meg brevet.
>>nno<< Hand me the remote.	Gjev meg fjernkontrollen.
>>nno<< Have you forgotten?	Har du gløymt?
>>nno<< He doesn't know me.	Han kjenner meg ikkje.
>>nno<< He passed the exam.	Han greidde eksamen.
>>nno<< He teaches English.	Han underviser i engelsk.
