>>pes<< Who?	چه کسی؟
>>pes<< He licked his fingers.	او انگشتانش را مکید.
>>pes<< He must be over sixty.	قطعا عمرش بالای شصت سال است.
>>pes<< He was prone to anger.	او در معرض خشم بود.
>>pes<< He's gone into hiding.	او مخفی شده است.
>>pes<< How deep is this well?	این چاه چقدر عمیق است؟
>>pes<< How did you get stuck?	چجوری گیر کردی؟ (چجوری گیر افتادی؟)
>>pes<< I admire your courage.	من شجاعت شما را تحسین می کنم.
>>pes<< I am talking with Tom.	مشغول صحبت با تام هستم.
>>pes<< I am talking with Tom.	دارم با تام حرف می زنم.
>>pes<< I bought a few stamps.	من کمی تمبر خریدم.
>>pes<< I bought it last week.	من این را هفته پیش خریدم.
>>pes<< I came here yesterday.	من دیروز آمدم اینجا.
>>pes<< I don't even know him.	من حتی او را نمی شناسم.
>>pes<< I don't see Tom often.	تام را چندان زیاد نمی بینم.
>>pes<< I feel like a pioneer.	من احساس می کنم، یک پیشگام هستم.
>>pes<< I firmly believe that.	من قویاً به آن اعتقاد دارم.
>>pes<< I learned a new trick.	من یک ترفند نو یاد گرفتم.
>>pes<< I need an interpreter.	من به یک مترجم نیاز دارم.
>>pes<< I planted a pine tree.	من یک درخت کاج کاشتم.
>>pes<< I remember this music.	این موسیقی را به یاد می‌آورم.
>>pes<< I remember this music.	این موسیقی را به یاد دارم.
>>pes<< I think you did great.	فکر می کنم عالی کارتون را انجام دادید.
>>pes<< I want to go with you.	می خواهم با تو بیایم.
>>pes<< I want to pay in cash.	من می‌خواهم نقدی بپدازم.
>>pes<< I want you to go home.	از شما می خواهم به خانه بروید.
>>pes<< I want you to see her.	می‌خواهم او را ببینی.
>>pes<< I was happy yesterday.	دیروز خوشحال بودم.
>>pes<< I went to the station.	من به ایستگاه رفتم.
>>pes<< I wish I'd known that.	ای کاش که این را می‌دانستم.
>>pes<< I work even on Sunday.	من حتی روزهای یکشنبه هم کار می کنم.
>>pes<< I'll be back tomorrow.	فردا برخواهم گشت.
>>pes<< I'm going to the bank.	من دارم به بانک می روم.
>>pes<< I'm not afraid of Tom.	من از تام نمی ترسم.
>>pes<< I'm not one to gossip.	من کسی نیستم که خبرچینی کنم.
>>pes<< Is this data accurate?	آیا این داده دقیق است؟
>>pes<< Is your watch correct?	آیا ساعتت درست است؟
>>pes<< Isn't that irritating?	آیا آزاردهنده نیست؟
>>pes<< It takes two to tango.	برای رقص تانگو دو نفر لازم است.
>>pes<< It's abundantly clear.	این کاملاً واضح است.
>>pes<< It's nice to meet you.	من از آشنایی با شما خوشوقتم.
>>pes<< Leeches are parasites.	زالوها انگل هستند.
>>pes<< Let's postpone dinner.	اجازه بدهید شام را به تأخیر بیاندازیم.
>>pes<< Like father, like son.	همانا پدر، همانا پسر.
>>pes<< Mary is spinning wool.	مری در حال ریسیدن پشم است.
>>pes<< May I eat this orange?	ممکن است به من این پرتغال را بدهی؟
>>pes<< Nobody understands me.	هیچکس مرا درک نمی‌کند.
>>pes<< None of your business.	فضولی موقوف.
>>pes<< Now, please excuse me.	الآن، لطفاً مرا ببخشید.
>>pes<< Pursue your interests.	علایقتان را دنبال کنید.
>>pes<< Release the prisoners.	زندانیان را آزاد کنید.
>>pes<< She asked for my help.	او از من کمک خواست.
>>pes<< She is afraid of cats.	او نگران گربه ها است.
>>pes<< She loves Tom, not me.	او(دختر) عاشق تام است، نه من
>>pes<< Smoking is prohibited.	سیگار کشیدن ممنوع شده است.
>>pes<< Tell me. I'm all ears.	به من بگو، من سرتاپا گوشم.
>>pes<< Thank you for waiting.	با تشکر از شکیبایی شما.
>>pes<< That flower is edible.	این گل خوردنی است.
>>pes<< That isn't believable.	آن باورکردنی نیست.
>>pes<< That isn't believable.	آن چیز باورکردنی نیست.
>>pes<< That's not believable.	آن باورکردنی نیست.
>>pes<< That's not believable.	آن چیز باورکردنی نیست.
>>pes<< The data is incorrect.	داده ها درست نیست.
>>pes<< The flood was massive.	سیل عظیم بود.
>>pes<< The heart is a muscle.	قلب یک عضله است.
>>pes<< The students are back.	دانش‌آموزان برگشته‌اند.
>>pes<< The table is reserved.	میز رزرو شده است.
>>pes<< The vote is unanimous.	رأی به اتفاق آرا است.
>>pes<< There was no contract.	قراردادی نبود.
>>pes<< There's no more bread.	دیگر نانی نیست.
>>pes<< This is a masterpiece.	این یک شاهکار است.
>>pes<< This tea is very nice.	این چای بسیار خوب است.
>>pes<< Time waits for no one.	زمان منتظر هیچکس نمی‌ماند.
>>pes<< Tom appealed for help.	تام درخواست کمک کرد.
>>pes<< Tom awoke at daybreak.	تام در ابتدای روز بیدار شد.
>>pes<< Tom awoke at daybreak.	تام هنگام طلوع بیدار شد.
>>pes<< Tom checked his watch.	تام به ساعتش نگاهی انداخت.
>>pes<< Tom didn't eat dinner.	تام شام نخورد.
>>pes<< Tom faces a conundrum.	تام با یک معما مواجه است.
>>pes<< Tom is a sheep farmer.	تام پرورش دهنده گوسفند است.
>>pes<< Tom is always so busy.	تام همیشه سرش خیلی شلوغ است.
>>pes<< Tom is drinking water.	تام دارد آب می‌نوشد.
>>pes<< Tom is very ingenious.	تام خیلی زیرک است.
>>pes<< Tom looks magnificent.	تام باشکوه به نظر می رسد.
>>pes<< Tom remains confident.	تام مطمئن ماند.
>>pes<< Tom seems adventurous.	تام به نظر ماجراجو می رسد.
>>pes<< Tom was a good person.	تام آدم خوبی بود.
>>pes<< Tom was never violent.	تام هرگز خشن نبود.
>>pes<< Tom will live with us.	تام با ما زندگی خواهد کرد.
>>pes<< Try some of this cake.	یک کم از این کیک امتحان کن.
>>pes<< Two seats were vacant.	دو صندلی خالی بودند.
>>pes<< We accepted his offer.	ما پیشنهاد او را پذیرفتیم.
>>pes<< We all agree with you.	ما همگی با تو موافقیم.
>>pes<< What a cunning person!	چه آدم حیله گری!
>>pes<< What a strange ritual!	چه آیین غریبی!
>>pes<< What did Tom announce?	تام چه چیزی را اعلام کرد؟
>>pes<< What's the daily rate?	نرخ روزانه چیست؟
>>pes<< What's your diagnosis?	تشخیص شما چیست؟
>>pes<< Where is the bathroom?	دستشویی کجاست؟
>>pes<< Where's my phone book?	دفتر تلفنم کجاست؟
>>pes<< Where's the president?	رئیس جمهور کجاست؟
>>pes<< Why aren't you hungry?	چرا گرسنه نیستی؟
>>pes<< Why do you suspect me?	چرا به من مظنون هستید؟
>>pes<< You always exaggerate.	شما همیشه اغراق می کنید.
>>pes<< You don't belong here.	شما به اینجا تعلق ندارید.
>>pes<< You don't belong here.	تو متعلق به اینجا نیستی.
>>pes<< You reap what you sow.	آنچه می‌کارید، درو می‌کنید.
>>pes<< You'll thank me later.	تو بعدا از من تشکر خواهی کرد.
>>pes<< You've got to see Tom.	باید تام را ببینی.
>>pes<< Your cat will survive.	گربه شما زنده خواهد ماند.
>>pes<< A sponge absorbs water.	یک ابر آب را جذب می‌کند.
>>pes<< A wolf cannot be tamed.	یک گرگ نمی تواند اهلی بشود.
>>pes<< All I have is one book.	همه چیزی که دارم یک کتاب است.
>>pes<< All roads lead to Rome.	تمام راهها به رم ختم می شود.
>>pes<< Are we in the minority?	آیا ما در اقلیت هستیم.
>>pes<< Are you drinking water?	تو داری آب می‌نوشی؟
>>pes<< Are you drinking water?	شما دارید آب می‌نوشید؟
>>pes<< Are you drinking water?	آیا شما دارید آب می‌نوشید؟
>>pes<< Are you drinking water?	آیا تو داری آب می‌نوشی؟
>>pes<< Better late than never.	دیر رسیدن بهتر از هرگز نرسیدن است.
>>pes<< Can I take a break now?	می توانم الان استراحت کنم؟
>>pes<< Charity begins at home.	چراغی که به خانه رواست، به مسجد حرام است.
>>pes<< Cut it into two pieces.	آن را به دو قسمت ببر.
>>pes<< Do I need an operation?	آیا نیاز به عمل دارم؟
>>pes<< Do we have to help Tom?	آیا ما مجبوریم به تام کمک کنیم؟
>>pes<< Do you have everything?	آیا تو همه چیز داری؟
>>pes<< Do you mind if I smoke?	ناراحت نمی شوی اگر که سیگار بکشم؟
>>pes<< Don't even think of it.	اصلاً فکرش را هم نکن.
>>pes<< Don't take it to heart.	این را به قلبت نزدیک نگاه ندار.
>>pes<< Don't tell anyone this.	به هیچ کس این را نگو.
>>pes<< Drink plenty of fluids.	مایعات فراوان بنوشید.
>>pes<< Farmers cultivate land.	کشاورزان زمین را کشت می دهند.
>>pes<< Get a hammer and nails.	یک چکش و میخ بردار.
>>pes<< Hasn't anyone seen Tom?	کسی تام را ندیده است؟
>>pes<< He confessed his crime.	او به جرمش اعتراف کرد.
>>pes<< He has no specific aim.	اون هیچ هدف مشخصی نداره.
>>pes<< He left three days ago.	او سه روز پیش از اینجا رفت.
>>pes<< He often appears on TV.	او اغلب بر صفحه ی تلویزیون ظاهر می شود.
>>pes<< He played piano by ear.	او از راه شنیدن پیانو می‌نواخت.
>>pes<< He was a wonderful man.	او یک مرد شگفت‌انگیز بود.
>>pes<< He went in place of me.	او به جای من رفت.
>>pes<< Her friend is a singer.	دوستش یک خواننده است.
>>pes<< Hope is not a strategy.	امید یک استراتژی نیست.
>>pes<< I am a very sad person.	من آدم بسیار غمگینی هستم.
>>pes<< I assemble car engines.	من موتور ماشین را مونتاژ می کنم.
>>pes<< I can help if you want.	اگر بخواهی می‌توانم کمک کنم.
>>pes<< I can't help you today.	امروز نمی‌توانم کمکت کنم.
>>pes<< I can't leave Tom here.	من نمی‌توانم تام را اینجا رها کنم.
>>pes<< I decided to try again.	تصمیم گرفتم بوباره سعی کنم.
>>pes<< I don't like ice cream.	بستنی دوست ندارم.
>>pes<< I don't like this book.	من این کتاب را دوست ندارم
>>pes<< I don't speak Japanese.	من ژاپنی صحبت نمی‌کنم.
>>pes<< I feel somewhat uneasy.	من تا حدودی احساس نگرانی می کنم.
>>pes<< I got a traffic ticket.	من یک بلیط تردد گرفته ام.
>>pes<< I got lost in the maze.	من در هزارتو گم شدم.
>>pes<< I have a dog and a cat.	من یک سگ و یک گربه دارم.
>>pes<< I hope it was worth it.	امیدوارم ارزشش را داشت.
>>pes<< I love learning French.	من عاشق یادگیری فرانسه هستم.
>>pes<< I need the user manual.	من به کتابچهٔ کاربر نیاز دارم.
>>pes<< I need you to find Tom.	به تو نیاز دارم تا تام را پیدا کنم.
>>pes<< I need you to find Tom.	برای پیدا کردن تام به شما احتیاج دارم.
>>pes<< I prefer coffee to tea.	قهوه را به چای ترجیح می دهم.
>>pes<< I spoke to my daughter.	با دخترم صحبت کردم.
>>pes<< I want to learn karate.	می خواهم کاراته یاد بگیرم.
>>pes<< I was physically ready.	از نظر بدنی حاضر بودم.
>>pes<< I was young and stupid.	من جوان و احمق بودم.
>>pes<< I went there yesterday.	من دیروز به آنجا رفتم.
>>pes<< I'd rather go swimming.	من بیش از اندازه شنا را دوست دارم.
>>pes<< I'll bear that in mind.	من آن را به خاطر خواهم داشت یا مد نظر قرار خواهم داد.
>>pes<< I'm excited to be here.	برای بودن در اینجا هیجان‌زده‌ام.
>>pes<< I've broken my glasses.	عینکم را شکسته ام.
>>pes<< Is Tom drinking coffee?	تام دارد قهوه می‌نوشد؟
>>pes<< Is Tom drinking coffee?	آیا تام دارد قهوه می‌نوشد؟
>>pes<< Is that table reserved?	آیا آن میز رزرو شده است؟
>>pes<< Is this drinking water?	این دارد آب می‌نوشد؟
>>pes<< Is this drinking water?	آیا این دارد آب می‌نوشد؟
>>pes<< Is this worth pursuing?	آیا این ارزش پیگیری دارد؟
>>pes<< Is your mother at home?	آیا مادر شما در خانه است؟
>>pes<< It might not even work.	ممکن بود حتی کار نکند.
>>pes<< It was windy yesterday.	دیروز هوا بادی بود.
>>pes<< It won't stop bleeding.	خونریزی بند نمی آید.
>>pes<< Just follow your heart.	به سادگی از قلبت پیروی کن.
>>pes<< Male deer have antlers.	گوزن نر شاخ دارد.
>>pes<< My father likes tennis.	پدرم تنیس دوست دارد.
>>pes<< No one came to help me.	هیچ کس به کمکم نیامد.
>>pes<< Please leash your dogs.	لطفاً سگهایتان را قلاده کنید.
>>pes<< She took a deep breath.	او نفس عمیقی کشید.
>>pes<< Squirrels move quickly.	سنجابها سریع حرکت می کنند.
>>pes<< Thanks for inviting me.	تشکر برای دعوت کردن من.
>>pes<< That's pure conjecture.	آن گمان محض است.
>>pes<< The boy sat on a chair.	پسر روی یک صندلی نشست.
>>pes<< The buds began to open.	غنچه‌ها آغاز به گشودن کردند.
>>pes<< The flowers smell good.	گل ها بوی خوبی می دهند.
>>pes<< The market is bustling.	فروشگاه شلوغ هست.
>>pes<< They have just arrived.	آنها تازه آمده اند.
>>pes<< This is a pretty dress.	لباس زیباییست.
>>pes<< This is drinking water.	این دارد آب می‌نوشد.
>>pes<< This lion is very tame.	این شیر خیلی اهلی هست.
>>pes<< This smell disgusts me.	این بو حالم را به هم می‌زند.
>>pes<< This table is reserved.	این میز رزرو شده است.
>>pes<< Tom clenched his fists.	تام مشت هایش را گره کرد.
>>pes<< Tom concealed evidence.	تام شواهد را پنهان کرد.
>>pes<< Tom crumpled the paper.	تام کاغذ را مچاله کرد.
>>pes<< Tom cut the wrong wire.	تام سیم اشتباه را برید
>>pes<< Tom is drinking coffee.	تام دارد قهوه می‌نوشد.
>>pes<< Tom is in a rival gang.	تام در یک باند رقیب است.
>>pes<< Tom nodded approvingly.	تام به نشانه تأیید سرش را تکان داد.
>>pes<< Tom nodded immediately.	تام ناگهانی سرش را تکان داد.
>>pes<< Tom seems really happy.	تام واقعاً خوشحال به نظر می‌رسد.
>>pes<< Tom sorted his laundry.	تام رخت‌های خود را مرتّب کرد.
>>pes<< Tom sorted his laundry.	تام رختاشو مرتّب کرد.
>>pes<< Tom will never consent.	تام هرگز رضایت نخواهد داشت.
>>pes<< We like playing in mud.	ما دوست داریم در گل بازی کنیم.
>>pes<< We must alter our plan.	ما باید برنامه مان را تغییر دهیم.
>>pes<< We plan to go by train.	ما برنامه ریزی کردیم که با قطار بریم.
>>pes<< What's the bottom line?	خط پایین چیست؟
>>pes<< What's your blog about?	ووبلاگ شما در چه موردی است؟
>>pes<< Which rooms are vacant?	کدام اتاقها خالی هستند؟
>>pes<< Who are you talking to?	با کی حرف می زنی؟
>>pes<< Who told you the story?	چه کسی ماجرا را به تو گفت؟
>>pes<< Why not see the doctor?	چرا دکتر ندیدت؟
>>pes<< Will it be much longer?	آیا طولانی خواهد شد؟
>>pes<< You had plenty of time.	تو وقت زیادی داشتی.
>>pes<< You're Tom, aren't you?	شما تام هستید. این طور نیست؟
>>pes<< You're very perceptive.	شما بسیار گیرا هستید.
>>pes<< Your bag is on my desk.	کیفت بر روی میز من است.
>>pes<< A mirror reflects light.	آیینه نور را منعکس می‌کند.
>>pes<< Are you drinking coffee?	تو داری قهوه می‌نوشی؟
>>pes<< Are you drinking coffee?	شما دارید قهوه می‌نوشید؟
>>pes<< Are you drinking coffee?	آیا تو داری قهوه می‌نوشی؟
>>pes<< Are you drinking coffee?	آیا شما دارید قهوه می‌نوشید؟
>>pes<< Aren't you even curious?	آیا تو حتی کنجکاو نیستی؟
>>pes<< Can you make it on time?	می توانی آن را به موقع بسازی؟
>>pes<< Crack is very addictive.	کراک خیلی اعتیاد آور است.
>>pes<< Do you believe in magic?	آیا به جادو معتقدی؟
>>pes<< Do you need an envelope?	آیا شما یک پاکت نامه می خواهید؟
>>pes<< Does Tom enjoy swimming?	تام از شنا کردن لذت می‌برد؟
>>pes<< Don't believe the media.	رسانه‌ها را باور نکن.
>>pes<< Don't believe the media.	رسانه را باور نکن.
>>pes<< Don't eat too much cake.	بیش از اندازه کیک نخور.
>>pes<< Don't make abrupt moves.	حرکت ناگهانی نکن.
>>pes<< Everyone makes mistakes.	بشر جائزالخطاست.
>>pes<< Everyone should be wary.	همه باید مراقب باشند.
>>pes<< Everything here is mine.	هر چیزی که اینجاست مال من است.
>>pes<< Everything is confusing.	همه چیز گیج کننده است.
>>pes<< Give me the screwdriver.	به من یک پیچ گوشتی بده.
>>pes<< Have you heard the news?	آیا خبر را شنیده ای؟
>>pes<< Have you met her before?	قبلا او را دیده بودی؟
>>pes<< He abandoned his family.	او خانواده اش را ترک کرد.
>>pes<< He abused my confidence.	او از اعتماد به نفس من سوءاستفاده کرد.
>>pes<< He drowned in the river.	او در رودخانه غرق شد.
>>pes<< He is eager for success.	او مشتاق موفقیت است.
>>pes<< He readily agreed to it.	او به آسانی با آن موافقت کرد.
>>pes<< He readily agreed to it.	او بی درنگ با آن موافقت کرد.
>>pes<< He was painfully skinny.	او به شدت لاغر بود.
>>pes<< He will always love her.	او همیشه وی را دوست خواهد داشت.
>>pes<< He withheld his consent.	او از رضایت خودش خودداری کرد.
>>pes<< His childhood was harsh.	دوران کودکی اش سخت بود.
>>pes<< His mother was a singer.	مادر او یک خواننده بود.
>>pes<< His room is always tidy.	اتاق او همیشه مرتب است.
>>pes<< How do you know my name?	چطور نام مرا میدانی؟
>>pes<< How's the weather there?	آنجا هوا چه طور است؟
>>pes<< Hurry up! We'll be late.	عجله کن! دیرمان می شود.
>>pes<< I appreciate the effort.	من کوشش را تحسین می‌کنم.
>>pes<< I appreciate your offer.	من از پیشنهاد شما قدردانی می کنم.
>>pes<< I didn't know that song.	من آن آواز را نمی شناختم.
>>pes<< I didn't make a mistake.	من اشتباهی نکرده ام.
>>pes<< I don't follow politics.	من اهل سیاست نیستم.
>>pes<< I don't understand this.	من متوجه نشدم.
>>pes<< I drink water every day.	من هر روز آب می‌نوشم.
>>pes<< I felt my head spinning.	من حس می کنم سرم در حال چرخیدن هست.
>>pes<< I go to school at seven.	من در ساعت هفت به مدرسه می روم.
>>pes<< I heard it on the radio.	من این را از رادیو شنیدم.
>>pes<< I loosened my shoelaces.	من بند کفشم را شل کردم.
>>pes<< I should've done better.	من باید بهتر انجام می‌دادم.
>>pes<< I showed my room to him.	اتاق‌ام را به او نشان دادم.
>>pes<< I'd better not eat that.	ترجیح می دهم که نخورمش.
>>pes<< I'd like to pay in cash.	من می‌خواهم نقدی بپردازم.
>>pes<< I'd like to pay in cash.	من می‌خواستم نقدی بپردازم.
>>pes<< I'll catch the next bus.	سوار اتوبوس بعدی می شوم.
>>pes<< I'll do it by all means.	با کمال میل این کار را خواهم کرد.
>>pes<< I'll wait right outside.	من همین بیرون منتظر می مونم.
>>pes<< I'm a woman, not a girl.	من یک زن هستم، نه یک دختر.
>>pes<< I'm feeling much better.	حال به مراتب بهتری دارم.
>>pes<< I'm good at mathematics.	من در ریاضیات مهارت دارم.
>>pes<< I'm sorry to bother you.	ببخشید که اذیتت کردم.
>>pes<< I'm usually quite frank.	من معمولاً کاملاً صادق هستم.
>>pes<< I've forgotten his name.	نام او را فراموش کردم.
>>pes<< I've made no commitment.	من هیچ تعهدی نداده‌ام.
>>pes<< It was a casual meeting.	این یک ملاقات غیرمنتظره بود.
>>pes<< It was a dismal failure.	این یک شکست تلخ بود.
>>pes<< It wasn't an aberration.	این غیر عادی نبود.
>>pes<< It'll be Christmas soon.	به زودی کریسمس می شود.
>>pes<< It's a regional dialect.	این یک گویش محلی است.
>>pes<< It's not rocket science.	کار چندان سختی نیست.
>>pes<< Littering is prohibited.	آشغال ریختن ممنوع شده است.
>>pes<< Looks aren't everything.	ظاهر و قیافه همه چیز نیست.
>>pes<< Mary has her back to us.	مری به ما پشت کرده است.
>>pes<< Measure twice, cut once.	دو بار اندازه بگیر، یک بار ببر.
>>pes<< My house is in disarray.	خانه‌ام در آشفتگی بود.
>>pes<< My left arm is tingling.	بازوی چپم سوزن‌سوزن می‌شود.
>>pes<< My mother set the table.	مادرم میز را چید.
>>pes<< My strength is all gone.	تمام توانایی من از دست رفته است.
>>pes<< Our diagnosis was wrong.	تشخیص ما اشتباه بود.
>>pes<< Please be frank with me.	لطفاً با من صادق باش.
>>pes<< Please open the package.	لطفاً بسته را باز کن.
>>pes<< Please pass me the salt.	لطفا نمک را به من بده.
>>pes<< She gave us lots to eat.	او مقدار زیادی خوردنی به ما داد.
>>pes<< She has plenty of books.	او کتابهای فراوانی دارد.
>>pes<< She led a solitary life.	او یک زندگی منزوی دارد
>>pes<< She witnessed the crime.	او شاهد جرم بود.
>>pes<< She'll succeed for sure.	او قطعاً موفق خواهد شد.
>>pes<< Take whichever you want.	هر وقت می خواهی بگیر.
>>pes<< Tears clouded my vision.	اشکها دید مرا تیره و تار کردند.
>>pes<< Tell me when he returns.	به من بگو کی او بازخواهد گشت.
>>pes<< Tell us about your plan.	از نقشه‌ات برایمان بگو.
>>pes<< Tell us about your plan.	از طرحتان برای ما بگویید.
>>pes<< Tell us about your plan.	دربارهٔ برنامهٔ‌تان به ما بگویید.
>>pes<< The building is on fire.	ساختمان می‌سوزد.
>>pes<< The car turned abruptly.	ماشین ناگهانی پیچید.
>>pes<< The house was in flames.	خانه شعله ور شده بود.
>>pes<< The lagoon is very deep.	مرداب خیلی عمیق است.
>>pes<< The law should be clear.	قانون باید روشن باشد.
>>pes<< The negotiations failed.	مذاکرات شکست خورد.
>>pes<< The price is reasonable.	قیمت معقول است.
>>pes<< The road was very rough.	راه بسیار نا هموار بود.
>>pes<< The weather is very hot.	هوا بسیار گرم است.
>>pes<< These snails are edible.	این حلزون ها قابل خوردن هستند.
>>pes<< They offered assistance.	آنها پیشنهاد کمک کردند.
>>pes<< This fish is not edible.	این ماهی خوراکی نیست.
>>pes<< This is a very old book.	این یک کتاب بسیار قدیمی است.
>>pes<< This is an urban legend.	این یک افسانه شهری است.
>>pes<< This plant isn't edible.	این گیاه خوردنی نیست.
>>pes<< Tom came up with a plan.	نقشه ای به ذهن تام رید.
>>pes<< Tom denied killing Mary.	تام کشتن ماری را انکار کرد.
>>pes<< Tom is an urban planner.	تام یک برنامه ریز شهری است.
>>pes<< Tom is stark raving mad.	تام به شدت دیوانه وار هیاهو می کند.
>>pes<< Tom is taller than Mary.	تام بلندقدتر از ماری است.
>>pes<< Tom is thirty years old.	تام سی ساله است.
>>pes<< Tom is young and single.	نام جوان و مجرد است.
>>pes<< Tom may do that as well.	تام هم ممکن است که همین کار را بکند.
>>pes<< Tom said I ought to win.	تام گفت باید بِبَرم.
>>pes<< Tom said I ought to win.	تام گفت باید برنده شوم.
>>pes<< Tom talked to Mary, too.	تام هم با مری صحبت کرد.
>>pes<< Tom was brutally beaten.	تام به طور بی رحمانه ای مورد ضرب و شتم قرار گرفته بود.
>>pes<< Two plus two makes four.	دو بعلاوه دو می شود چهار.
>>pes<< Wash your hands, please.	لطفا دستهایت را بشور.
>>pes<< Water has become scarce.	آب کمیاب شده است.
>>pes<< We had a delightful day.	ما یک روز لذت بخش داشتیم.
>>pes<< We ran through the park.	از میان پارک دویدیم.
>>pes<< We're all married women.	همهٔ ما زنانی متأهل هستیم.
>>pes<< We're ready to help out.	ما آماده‌ایم که کمک کنیم.
>>pes<< We're ready to help out.	ما آماده‌ی کمک هستیم.
>>pes<< Weaving baskets is easy.	بافتن سبد، آسان است.
>>pes<< What a beautiful campus!	چه پردیس قشنگیه!
>>pes<< What an absurd question!	چه سؤال مسخره ای!
>>pes<< What are you doing here?	اینجا چه می کنی؟
>>pes<< What have we overlooked?	ما چه چیزی را نادیده گرفته‌ایم؟
>>pes<< What's the airmail rate?	سرعت پست هوایی چقدر است؟
>>pes<< Where are you taking me?	داری من را کجا می‌بری؟
>>pes<< Where do you want to go?	کجا می خواهید بروید؟
>>pes<< Why do lizards sunbathe?	چرا مارمولکها آفتاب می گیرند؟
>>pes<< Yes, I have a good idea.	بله، من یک ایده ی خوب دارم.
>>pes<< You can't swim, can you?	نمی توانی شنا کنی، می تونی؟
>>pes<< You go to school, right?	مدرسه که می‌روی، درست است؟
>>pes<< You should see a doctor.	باید بری دکتر.
>>pes<< You should see a doctor.	باید نزد پزشک بروید.
>>pes<< You should see a doctor.	باید به پزشک مراجعه کنید.
>>pes<< You two are really kind.	شما دو نفر واقعاً مهربان هستید.
>>pes<< You're absolutely right.	حق کاملاً با شماست.
>>pes<< You're driving too fast.	شما زیاد تند می‌رانید.
>>pes<< Your efforts are futile.	تلاشهایت بیهوده هستند.
>>pes<< A lively debate followed.	مناظره پرجنب و جوشی دنبال شد.
>>pes<< A tea with lemon, please.	یک چای با لیمو، لطفاً.
>>pes<< All of you did good work.	کار همه‌تان خوب بود.
>>pes<< Are my socks dry already?	آیا جوراب هایم خشک شده اند؟
>>pes<< Are you writing a letter?	داری نامه می نویسی؟
>>pes<< Can you do it in one day?	میتونی اینو در یک روز انجام بدی
>>pes<< Did you do your homework?	آیا تکالیفت را انجام داده بودی؟
>>pes<< Did you put on sunscreen?	ضد آفتاب زدی؟
>>pes<< Don't evade the question.	از پاسخ طفره نروید.
>>pes<< Don't tell me what to do.	به من نگو چه کار کنم.
>>pes<< Drinking water is scarce.	آب آشامیدنی کمیاب است.
>>pes<< Fever indicates sickness.	تب نشانه بیماری است
>>pes<< Flour is made from wheat.	آرد از گندم به دست می آید.
>>pes<< He repeated his question.	او سؤالش را تکرار کرد.
>>pes<< He showed me his new car.	وی خودروی نویش را به من نشان داد.
>>pes<< He showed me his new car.	او به من ماشین جدیدش را نشان داد.
>>pes<< He was too old to resist.	او برای مقاومت کردن خیلی پیر است.
>>pes<< He went to Boston by car.	او با ماشین به بوستون رفت.
>>pes<< He went to Boston by car.	او با اتومبیل به بوستون رفت.
>>pes<< He will love her forever.	او برای همیشه عاشق او خواهد بود.
>>pes<< Heat is a form of energy.	گرما یک شکل از انرژی است.
>>pes<< Hello, how are you doing?	سلام حالت چطوره؟
>>pes<< Hello, how are you doing?	سلام،حال شما چه طور است؟
>>pes<< Her house is very modern.	خانه‌ی او خیلی مدرن است.
>>pes<< His house is very modern.	خانه‌ی او خیلی مدرن است.
>>pes<< How long do we stop here?	چند مدت ما اینجا توقف می کنیم؟
>>pes<< How much do you like Tom?	چقدر تام را دوست داری؟
>>pes<< How much will you pay us?	چقدر شما به ما پرداخت خواهید کرد؟
>>pes<< Hunting is forbidden now.	الآن شکار ممنوع است.
>>pes<< I admire your work ethic.	وجدانِ کاریِ شما را تحسین می‌کنم.
>>pes<< I admire your work ethic.	اخلاقِ حرفه‌ای شما قابلِ تحسین است.
>>pes<< I admit that I was wrong.	می پذیرم که خطا کردم.
>>pes<< I agree to your proposal.	من تقاضایت را می پذیرم.
>>pes<< I can't talk with people.	من نمی توانم با مردم صحبت کنم.
>>pes<< I can't tie my shoelaces.	من نمی‌توانم بند کفشم را ببندم.
>>pes<< I don't believe in magic.	من به جادو معتقد نیستم.
>>pes<< I don't believe in magic.	من به جادو باور ندارم.
>>pes<< I don't feel like it now.	الان حس و حالش رو ندارم.
>>pes<< I don't like any of this.	من هیچ یک از اینها را دوست ندارم.
>>pes<< I don't like you anymore.	من دیگر تو را دوست ندارم.
>>pes<< I don't want to hurt you.	من نمی خواهم به تو آسیبی بزنم.
>>pes<< I drink coffee with milk.	من قهوه را با شیر می‌نوشم.
>>pes<< I felt much more relaxed.	من خیلی بیشتر احساس آرامش می کردم.
>>pes<< I got soaked to the skin.	تا مغز استخوان خیس شدم.
>>pes<< I guess I'm OK with that.	حدس می‌زنم که با آن موافقم.
>>pes<< I met a friend of Mary's.	من یکی از دوستان مری را ملاقات کردم.
>>pes<< I only casually know Tom.	من فقط به طور تصادفی با تام آشنا شدم.
>>pes<< I practice what I preach.	من به آنچه موعظه می‌کنم عمل می‌کنم.
>>pes<< I soon got bored with it.	زود ازش حوصله‌ام سر رفت.
>>pes<< I telephoned her at once.	من بی درنگ به او تلفن کردم.
>>pes<< I think that Tom is busy.	فکر می‌کنم که تام مشغول است.
>>pes<< I want to find true love.	من می‌خواهم عشق حقیقی را پیدا کنم.
>>pes<< I was very proud of that.	من خیلی به آن افتخار می‌کردم.
>>pes<< I will never do it again.	من هرگز دوباره انجامش نخواهم داد.
>>pes<< I'll be there in a while.	برای مدت کوتاهی اینجا می مانم.
