>>ber<< Go.	Ṛuḥ.
>>ber<< Tom lost his glasses.	Tom yesṛuḥ tisekkadin-nnes.
>>ber<< Tom lost their trust.	Sṛuḥen laman deg Tom.
>>ber<< Tom lost their trust.	Sṛuḥent laman deg Tom.
>>ber<< Tom met Mary at work.	Tom yessen Mary deg umahil.
>>ber<< Tom met Mary outside.	Tom yemlal d Mary deg beṛṛa.
>>ber<< Tom missed his train.	Tom yezgel alaway-is.
>>ber<< Tom missed the train.	Tom yezgel alaway.
>>ber<< Tom misses Australia.	Tom yejjem Ustṛalya.
>>ber<< Tom mopped the floor.	Tom iseyyeq-d agens.
>>ber<< Tom must be punished.	Tom yessefk ad yettwaweddeb.
>>ber<< Tom must be punished.	Tom yessefk ad yettwaɛaqeb.
>>ber<< Tom needed something.	Tom yella yeḥwaj kra.
>>ber<< Tom needed something.	Tom yella yesri kra.
>>ber<< Tom needed your help.	Tom yella yeḥwaj tallalt-nnek.
>>ber<< Tom needs a dialysis.	Tom yeḥwaj asizdeg n tegẓal.
>>ber<< Tom needs a new desk.	Tom yeḥwaj tanarit tamaynut.
>>ber<< Tom needs a new plan.	Tom yeḥwaj aɣawas d amaynu.
>>ber<< Tom needs a vacation.	Tom yeḥwaj imuras.
>>ber<< Tom needs assistance.	Tom yeḥwaǧ tallalt.
>>ber<< Tom needs more money.	Tom yeḥwaj tamernit n ṣṣwared.
>>ber<< Tom needs some money.	Tom yeḥwaj qli n ṣṣwared.
>>ber<< Tom needs some money.	Tom yeɣs qli n ṣṣwared.
>>ber<< Tom needs some water.	Tom irha alen aman.
>>ber<< Tom needs the ladder.	Tom yeḥwaj isili-nni.
>>ber<< Tom needs the ladder.	Tom yesri isili-nni.
>>ber<< Tom needs to do this.	Tom yessefk ad yeg aya.
>>ber<< Tom needs to do this.	Yessefk ad yeg Tom aya.
>>ber<< Tom needs to see you.	Tom yeḥwaj ad k-iẓer.
>>ber<< Tom needs to see you.	Tom yeḥwaj ad kem-iẓer.
>>ber<< Tom needs to see you.	Tom yeḥwaj ad ken-iẓer.
>>ber<< Tom needs to see you.	Tom yeḥwaj ad kent-iẓer.
>>ber<< Tom needs to see you.	Tom yesri ad k-iẓer.
>>ber<< Tom needs to see you.	Tom yesri ad kem-iẓer.
>>ber<< Tom needs to see you.	Tom yesri ad ken-iẓer.
>>ber<< Tom needs to see you.	Tom yesri ad kent-iẓer.
>>ber<< Tom never buys bread.	Tom ur d-yettaɣ ara akk aɣrum.
>>ber<< Tom never liked Mary.	Tom werǧin as-teɛjib Mary.
>>ber<< Tom never liked Mary.	Tom werǧin as-tegriẓ Mary.
>>ber<< Tom never watches TV.	Tom werǧin yettwali tiliẓri.
>>ber<< Tom never wears pink.	Tom werǧin yettrusu axuxi.
>>ber<< Tom often cuts class.	Tom ibeṭṭel aṭas aɣerbaz.
>>ber<< Tom often helps Mary.	Tom yettalel aṭas Mary.
>>ber<< Tom often works late.	Tom yezga ixeddem arma iṛuḥ lḥal.
>>ber<< Tom only drinks wine.	Tom isess kan ismed.
>>ber<< Tom opened the doors.	Tom yerẓem tiwwura.
>>ber<< Tom overpowered Mary.	Tom yerna Mary.
>>ber<< Tom peeled the apple.	Tom yesseqcer taḍeffut-nni.
>>ber<< Tom peeled the mango.	Tom yesseqcer tamangut-nni.
>>ber<< Tom plays the guitar.	Tom yekkat tagiṭart.
>>ber<< Tom plowed the field.	Tom yekrez iger-nni.
>>ber<< Tom pulled out a map.	Yejbed-d Tom tagertilt.
>>ber<< Tom pulled out a map.	Tom yejbed-d tagertilt.
>>ber<< Tom put his shoes on.	Yelsa Tom irkasen-is.
>>ber<< Tom quieted the dogs.	Ihedden Tom iḍan-nni.
>>ber<< Tom quieted the dogs.	Ihedden Tom tiḍatin-nni.
>>ber<< Tom ran for the door.	Tom yuzzel ɣer tewwurt.
>>ber<< Tom ran into trouble.	Tom yemlal-d d wuguren.
>>ber<< Tom ran out of water.	Tom fuken-as waman.
>>ber<< Tom ran up the steps.	Tom yuli isunan-nni s tazzla.
>>ber<< Tom ran up the steps.	Tom yuli tirekkabin-nni s tazzla.
>>ber<< Tom read Mary's note.	Tom yeɣra izen n Mary.
>>ber<< Tom read the article.	Tom yeɣra amagrad-nni.
>>ber<< Tom really hurt Mary.	Tom yejreḥ Mary s tidet.
>>ber<< Tom really likes you.	Tom iḥemmel-ik s tidet.
>>ber<< Tom really likes you.	Tom iḥemmel-ikem s tidet.
>>ber<< Tom really likes you.	Tom iḥemmel-iken s tidet.
>>ber<< Tom really likes you.	Tom iḥemmel-ikent s tidet.
>>ber<< Tom really likes you.	Tom ira-k s tidet.
>>ber<< Tom really likes you.	Tom ira-kem s tidet.
>>ber<< Tom really likes you.	Tom ira-ken s tidet.
>>ber<< Tom really likes you.	Tom ira-kent s tidet.
>>ber<< Tom really likes you.	Tɛejbed Tom s tidet.
>>ber<< Tom really likes you.	Tɛejbem Tom s tidet.
>>ber<< Tom really likes you.	Tɛejbemt Tom s tidet.
>>ber<< Tom really likes you.	Tgerẓed Tom s tidet.
>>ber<< Tom really likes you.	Tgerẓem Tom s tidet.
>>ber<< Tom really likes you.	Tgerẓemt Tom s tidet.
>>ber<< Tom really loves you.	Tom iḥemmel-ik s tidet.
>>ber<< Tom really loves you.	Tom iḥemmel-ikem s tidet.
>>ber<< Tom really loves you.	Tom iḥemmel-iken s tidet.
>>ber<< Tom really loves you.	Tom iḥemmel-ikent s tidet.
>>ber<< Tom really loves you.	Tom ira-k s tidet.
>>ber<< Tom really loves you.	Tom ira-kem s tidet.
>>ber<< Tom really loves you.	Tom ira-ken s tidet.
>>ber<< Tom really loves you.	Tom ira-kent s tidet.
>>ber<< Tom really needs you.	Tom yeḥwaj-ik s tidet.
>>ber<< Tom really needs you.	Tom yeḥwaj-ikem s tidet.
>>ber<< Tom really needs you.	Tom yeḥwaj-iken s tidet.
>>ber<< Tom really needs you.	Tom yeḥwaj-ikent s tidet.
>>ber<< Tom really needs you.	Tom yesri-k s tidet.
>>ber<< Tom really needs you.	Tom yesri-kem s tidet.
>>ber<< Tom really needs you.	Tom yesri-ken s tidet.
>>ber<< Tom really needs you.	Tom yesri-kent s tidet.
>>ber<< Tom recommended Mary.	Tom iqewwer-d Mary.
>>ber<< Tom regrets stopping.	Tom yendem imi ay yeḥbes.
>>ber<< Tom regrets stopping.	Tom yendem imi ay yebded.
>>ber<< Tom regrets stopping.	Tom yemmugreẓ imi ay yeḥbes.
>>ber<< Tom regrets stopping.	Tom yemmugreẓ imi ay yebded.
>>ber<< Tom resisted smiling.	Tom yeḍḍef iman-nnes akken ur yettezmumug ara.
>>ber<< Tom resisted smiling.	Tom yeṭṭef iman-nnes akken ur yettezmumug ara.
>>ber<< Tom resisted smiling.	Tom yeḍḍef iman-nnes akken ur yettezmumug.
>>ber<< Tom resisted smiling.	Tom yeṭṭef iman-nnes akken ur yettezmumug.
>>ber<< Tom resumed speaking.	Tom ikemmel awal.
>>ber<< Tom returned to work.	Tom yeqqel ɣer umahil.
>>ber<< Tom runs a cake shop.	Tom yesεa taḥanut n yingulen.
>>ber<< Tom said it was 2:30.	Tom yenna-d tella d tis 2:30.
>>ber<< Tom said it was 2:30.	Tom yenna-d tella d tis snat d uzgen.
>>ber<< Tom said it was 2:30.	Tom yenna-d tella d tis snat d kramraw.
>>ber<< Tom sat in the front.	Tom yeqqim ɣer sdat.
>>ber<< Tom sat in the shade.	Tom yeqqim deg tili.
>>ber<< Tom sat on the table.	Tom yeqqim ɣef tdabut.
>>ber<< Tom scared the sheep.	Tom issagged axerfi-nni.
>>ber<< Tom screamed at Mary.	Tom yezɛeḍ ɣef Mary.
>>ber<< Tom seems articulate.	Tom yettban-iyi-d yefṛez wawal-is.
>>ber<< Tom seldom does that.	Drus anda ay yetteg Tom aya.
>>ber<< Tom seldom eats meat.	Tom drus anda i isett aksum.
>>ber<< Tom sells fertilizer.	Tom yesnuzuy tamaqqust.
>>ber<< Tom sells newspapers.	Tom yesnuzuy iɣmisen.
>>ber<< Tom sells vegetables.	Tom yesnuzuy tidal.
>>ber<< Tom sent Mary a gift.	Tom iceyyeε-as asefk i Mary.
>>ber<< Tom shot his own dog.	Tom yeqres ɣef uqjun-is.
>>ber<< Tom should read this.	A win yufan Tom ad iɣer aya.
>>ber<< Tom should thank you.	A win yufan, Tom ad k-yesnemmer.
>>ber<< Tom should thank you.	A win yufan, Tom ad kem-yesnemmer.
>>ber<< Tom should thank you.	A win yufan, Tom ad ken-yesnemmer.
>>ber<< Tom should thank you.	A win yufan, Tom ad kent-yesnemmer.
>>ber<< Tom signed the check.	Tom yezmel acak-nni.
>>ber<< Tom slammed the door.	Yeṣṣeɛṣeɛ Tom tawwurt-nni.
>>ber<< Tom slept in the car.	Tom yeṭṭes deg tkeṛṛust.
>>ber<< Tom slept on the bus.	Tom yeḍḍes deg usakal.
>>ber<< Tom soon left Boston.	Tom ur iɛeḍḍel ara yedda seg Boston.
>>ber<< Tom sounds exhausted.	Tom yettban-d yefcel.
>>ber<< Tom sounds impressed.	Tom yettban-d yewhem.
>>ber<< Tom sounds impressed.	Tom yettban-d yukan.
>>ber<< Tom spilled the milk.	Tom yessenɣel akeffay-nni.
>>ber<< Tom spilled the milk.	Yessenɣel Tom akeffay-nni.
>>ber<< Tom started chanting.	Tom yebda aberreḥ.
>>ber<< Tom started clapping.	Tom yebda aceqqer.
>>ber<< Tom started cleaning.	Tom yebda asizdeg.
>>ber<< Tom started climbing.	Tom yebda alluy.
>>ber<< Tom started coughing.	Tom yebda tusut.
>>ber<< Tom started dreaming.	Tom yebda targit.
>>ber<< Tom started drinking.	Tom yebda tissit.
>>ber<< Tom started laughing.	Tom yebda yettaḍsa.
>>ber<< Tom started mumbling.	Tom yebda asnehmu.
>>ber<< Tom started shooting.	Tom yebda aqras.
>>ber<< Tom started shouting.	Tom yebda zzeɛḍ.
>>ber<< Tom started speaking.	Tom yebda awal.
>>ber<< Tom started the fire.	D Tom ay yesnedḥen times-nni.
>>ber<< Tom started to laugh.	Tom yebda ad yeṣṣ.
>>ber<< Tom started to snore.	Tom yebda asxerxer.
>>ber<< Tom starved to death.	Tom yemmut seg laẓ.
>>ber<< Tom stayed in Boston.	Tom yeqqim deg Boston.
>>ber<< Tom stayed in Boston.	Tom iqqim deg Boston.
>>ber<< Tom stayed in Boston.	Tom yella yettɣimi deg Boston.
>>ber<< Tom stayed in Boston.	Tom illa ittɣimi deg Boston.
>>ber<< Tom still hates Mary.	Tom mazal tekṛeh Mary.
>>ber<< Tom still hates Mary.	Tom mazal tukeḍ Mary.
>>ber<< Tom still looks busy.	Tom mazal yettban-d yecɣel.
>>ber<< Tom still looks good.	Tom mazal yettban-d yelha.
>>ber<< Tom still loves Mary.	Tom mazal-it iḥemmel Marie.
>>ber<< Tom still loves Mary.	Tom mazal-it ira Marie.
>>ber<< Tom still misses you.	Tom mazal-it yejjem-ik.
>>ber<< Tom still misses you.	Tom mazal-it yejjem-ikem.
>>ber<< Tom still misses you.	Tom mazal-it yejjem-iken.
>>ber<< Tom still misses you.	Tom mazal-it yejjem-ikent.
>>ber<< Tom still needs work.	Tom mazal yeḥwaj amahil.
>>ber<< Tom still needs work.	Tom mazal yesri amahil.
>>ber<< Tom still wants more.	Tom mazal yebɣa ugar.
>>ber<< Tom still wants more.	Tom mazal yeɣs ugar.
>>ber<< Tom still works here.	Tom mazal-it yettmahal da.
>>ber<< Tom stole my clothes.	Tom yuker-ay ttwazer-inu.
>>ber<< Tom stole your money.	Tom yuker‑ač idrimen‑č.
>>ber<< Tom stopped clapping.	Tom yeḥbes aceqqer.
>>ber<< Tom stopped clapping.	Tom yessebded aceqqer.
>>ber<< Tom studies theology.	Tom izerrew tasnesɣant.
>>ber<< Tom swam in the pool.	Tom iεum deg tnerdebt.
>>ber<< Tom texted Mary back.	Tom yerra i usamas n Mary.
>>ber<< Tom texted Mary back.	Tom yerra-as i usamas n Mary.
>>ber<< Tom thinks I'm crazy.	Tom yettwali-iyi d ameslub.
>>ber<< Tom thought about it.	Tom ixemmem ɣef waya.
>>ber<< Tom took Mary's book.	Tom yewwi adlis n Mary.
>>ber<< Tom took his tie off.	Tom yekkes takrabaḍt-is.
>>ber<< Tom took off running.	Tom yeqleε d tazzla.
>>ber<< Tom tried and failed.	Tom yeεreḍ, ur yessaweḍ ara.
>>ber<< Tom tried to do that.	Tom yurem ad yeg ayenni.
>>ber<< Tom turned on the TV.	Tom yessaɣ tiliẓri.
>>ber<< Tom turned the TV on.	Tom yessaɣ tiliẓri.
>>ber<< Tom turned up the TV.	Tom yerna-as i tliẓri.
>>ber<< Tom turned up the TV.	Tom yerna-as imesli i tliẓri.
>>ber<< Tom understands Mary.	Tom igezzu Mary.
>>ber<< Tom unlocked his car.	Tom yefsi takeṛṛust-is.
>>ber<< Tom unplugged the TV.	Tom yekkes-d tiliẓri seg tamaẓt.
>>ber<< Tom used to eat meat.	Tom yella isett aksum.
>>ber<< Tom used to trust us.	Zik, Tom yella ixeddem deg-neɣ laman.
>>ber<< Tom walked to school.	Tom iṛuḥ ɣer uɣerbaz ɣef uḍar.
>>ber<< Tom wanted Mary dead.	Tom yella yebɣa ad temmet Mary.
>>ber<< Tom wanted Mary dead.	Tom yella yeɣs ad temmet Mary.
>>ber<< Tom wanted a bicycle.	Tom yella yebɣa tasnasɣalt.
>>ber<< Tom wanted a bicycle.	Tom yella yeɣs tasnasɣalt.
>>ber<< Tom wanted a divorce.	Tom yella yebɣa aberru.
>>ber<< Tom wanted a divorce.	Tom yella yeɣs aberru.
>>ber<< Tom wanted a new car.	Tom yella yebɣa takeṛṛust tamaynut.
>>ber<< Tom wanted a new car.	Tom yella yeɣs takeṛṛust tamaynut.
>>ber<< Tom wanted a new car.	Tom yella yebɣa ad d-ibeddel takeṛṛust.
>>ber<< Tom wanted a new car.	Tom yella yeɣs ad d-ibeddel takeṛṛust.
>>ber<< Tom wanted me to lie.	Tom yella yebɣa ad skerkseɣ.
>>ber<< Tom wanted me to lie.	Tom yella yeɣs ad skerkseɣ.
>>ber<< Tom wanted me to lie.	Tom yella yebɣa-iyi ad skerkseɣ.
>>ber<< Tom wanted me to lie.	Tom yella yeɣs-iyi ad skerkseɣ.
>>ber<< Tom wanted more time.	Tom yella yebɣa ugar n wakud.
>>ber<< Tom wanted more time.	Tom yella yeɣs ugar n wakud.
>>ber<< Tom wanted some food.	Tom yella yebɣa cwiṭ n wučči.
>>ber<< Tom wanted some food.	Tom yella yeɣs cwiṭ n wučči.
>>ber<< Tom wanted the money.	Tom yella yebɣa idrimen-nni.
>>ber<< Tom wanted the money.	Tom yella yeɣs idrimen-nni.
>>ber<< Tom wanted the money.	Tom d idrimen-nni ay yella yebɣa.
>>ber<< Tom wanted the money.	Tom d idrimen-nni ay yella yeɣs.
>>ber<< Tom wanted the truth.	Tom yella yebɣa tidet.
>>ber<< Tom wanted the truth.	Tom yella yeɣs tidet.
>>ber<< Tom wanted to buy it.	Tom yella yebɣa ad t-id-iseɣ.
>>ber<< Tom wanted to buy it.	Tom yella yebɣa ad tt-id-iseɣ.
>>ber<< Tom wanted to buy it.	Tom yella yeɣs ad t-id-iseɣ.
>>ber<< Tom wanted to buy it.	Tom yella yeɣs ad tt-id-iseɣ.
>>ber<< Tom wanted to change.	Tom yella yebɣa ad ibeddel.
>>ber<< Tom wanted to change.	Tom yella yeɣs ad ibeddel.
>>ber<< Tom wanted to change.	Tom yella yebɣa ad yenfel.
>>ber<< Tom wanted to change.	Tom yella yeɣs ad yenfel.
>>ber<< Tom wanted to escape.	Tom yella yebɣa ad yerwel.
>>ber<< Tom wanted to escape.	Tom yella yeɣs ad yerwel.
>>ber<< Tom wanted to retire.	Tom yella yebɣa ad yawi tastasɣt.
>>ber<< Tom wanted to retire.	Tom yella yeɣs ad yawi tastaɣt.
>>ber<< Tom wanted to see it.	Tom yella yebɣa ad t-iẓer.
>>ber<< Tom wanted to see it.	Tom yella yebɣa ad tt-iẓer.
>>ber<< Tom wanted to see it.	Tom yella yeɣs ad t-iẓer.
>>ber<< Tom wanted to see it.	Tom yella yeɣs ad tt-iẓer.
>>ber<< Tom wanted to see me.	Tom yella yebɣa ad iyi-iẓer.
>>ber<< Tom wanted to see me.	Tom yella yeɣs ad iyi-iẓer.
>>ber<< Tom wanted to see us.	Tom yella yebɣa ad aɣ-iẓer.
>>ber<< Tom wanted to see us.	Tom yella yeɣs ad aɣ-iẓer.
>>ber<< Tom wanted to travel.	Tom yella yebɣa ad yessikel.
>>ber<< Tom wanted to travel.	Tom yella yeɣs ad yessikel.
>>ber<< Tom wanted to try it.	Tom yella yebɣa ad t-yarem.
>>ber<< Tom wanted to try it.	Tom yella yebɣa ad tt-yarem.
>>ber<< Tom wanted to try it.	Tom yella yeɣs ad t-yarem.
>>ber<< Tom wanted to try it.	Tom yella yeɣs ad tt-yarem.
>>ber<< Tom wanted to unpack.	Tom yella yebɣa ad d-yefsi leḥwal-nnes.
>>ber<< Tom wanted to unpack.	Tom yella yeɣs ad d-yefsi leḥwal-nnes.
>>ber<< Tom wants a male dog.	Tom yebɣa aydi.
>>ber<< Tom wants a male dog.	Tom yeɣs aydi.
>>ber<< Tom wants a new bike.	Tom yeɣs tasnasɣalt tamaynut.
>>ber<< Tom wants a new bike.	Tom yebɣa tasnasɣalt tamaynut.
>>ber<< Tom wants a new coat.	Tom yebɣa akebbuḍ amaynu.
>>ber<< Tom wants a new coat.	Tom yeɣs akebbuḍ amaynu.
>>ber<< Tom wants a sandwich.	Tom yebɣa asandwič.
>>ber<< Tom wants a sandwich.	Tom yeɣs asandwič.
>>ber<< Tom wants a unicycle.	Tom yebɣa taynasɣalt.
>>ber<< Tom wants a unicycle.	Tom yeɣs taynasɣalt.
>>ber<< Tom wants me to sing.	Tom yebɣa ad cnuɣ.
>>ber<< Tom wants me to sing.	Tom yeɣs ad cnuɣ.
>>ber<< Tom wants me to stay.	Tom yebɣa ad qqimeɣ.
>>ber<< Tom wants me to stay.	Tom yeɣs ad qqimeɣ.
>>ber<< Tom wants more money.	Tom yebɣa ugar n yidrimen.
>>ber<< Tom wants more money.	Tom yeɣs ugar n yidrimen.
>>ber<< Tom wants some money.	Tom yebɣa cwiṭ n yidrimen.
>>ber<< Tom wants to be fair.	Tom yebɣa ad yili d uɣdim.
>>ber<< Tom wants to be fair.	Tom yeɣs ad yili d uɣdim.
>>ber<< Tom wants to be here.	Tom yebɣa ad yili da.
>>ber<< Tom wants to be here.	Tom yeɣs ad yili da.
>>ber<< Tom wants to be last.	Tom yebɣa ad yeqqim d aneggaru.
>>ber<< Tom wants to be last.	Tom yeɣs ad yeqqim d aneggaru.
>>ber<< Tom wants to be rich.	Tom yebɣa ad yeqqel d anesbaɣur.
>>ber<< Tom wants to be rich.	Tom yeɣs ad yeqqel d anesbaɣur.
>>ber<< Tom wants to be safe.	Tom yebɣa ad yili deg tɣellist.
>>ber<< Tom wants to be safe.	Tom yeɣs ad yili deg tɣellist.
>>ber<< Tom wants to do more.	Tom yebɣa ad yeg ugar.
>>ber<< Tom wants to do more.	Tom yeɣs ad yeg ugar.
>>ber<< Tom wants to do that.	Tom yebɣa ad yeg aya.
>>ber<< Tom wants to do that.	Tom yeɣs ad yeg aya.
>>ber<< Tom wants to do this.	Tom yebɣa ad yeg aya.
>>ber<< Tom wants to eat now.	Tom yebɣa ad yečč imir-a.
>>ber<< Tom wants to go home.	Tom yebɣa ad yeddu ɣer uxxam.
>>ber<< Tom wants to go home.	Tom yeɣs ad yeddu ɣer uxxam.
>>ber<< Tom wants to go, too.	Ula d Tom yebɣa ad yeddu.
>>ber<< Tom wants to go, too.	Ula d Tom yeɣs ad yeddu.
>>ber<< Tom wants to keep it.	Tom yebɣa ad t-yejmeɛ.
>>ber<< Tom wants to keep it.	Tom yeɣs ad t-yejmeɛ.
>>ber<< Tom wants to keep it.	Tom yebɣa ad tt-yejmeɛ.
>>ber<< Tom wants to keep it.	Tom yeɣs ad tt-yejmeɛ.
>>ber<< Tom wants to keep it.	Tom yebɣa ad t-yageẓ.
>>ber<< Tom wants to keep it.	Tom yeɣs ad t-yageẓ.
>>ber<< Tom wants to keep it.	Tom yebɣa ad tt-yageẓ.
>>ber<< Tom wants to keep it.	Tom yeɣs ad tt-yageẓ.
>>ber<< Tom wants to kill me.	Tom yebɣa ad iyi-ineɣ.
>>ber<< Tom wants to kill me.	Tom yeɣs ad iyi-ineɣ.
>>ber<< Tom wants to kill us.	Tom yebɣa ad aɣ-ineɣ.
>>ber<< Tom wants to kill us.	Tom yeɣs ad aɣ-ineɣ.
>>ber<< Tom wants to meet me.	Tom yebɣa ad iyi-yessen.
>>ber<< Tom wants to meet me.	Tom yeɣs ad iyi-yessen.
>>ber<< Tom wants to see you.	Tom yebɣa ad kem-iẓer.
>>ber<< Tom wants to see you.	Tom yebɣa ad ken-iẓer.
>>ber<< Tom wants to see you.	Tom yebɣa ad kent-iẓer.
>>ber<< Tom wants to see you.	Tom yeɣs ad k-iẓer.
>>ber<< Tom wants to see you.	Tom yeɣs ad kem-iẓer.
>>ber<< Tom wants to see you.	Tom yeɣs ad ken-iẓer.
>>ber<< Tom wants to see you.	Tom yeɣs ad kent-iẓer.
>>ber<< Tom wants to sell it.	Tom yebɣa ad t-yessenz.
>>ber<< Tom wants to sell it.	Tom yebɣa ad tt-yessenz.
>>ber<< Tom wants to sell it.	Tom yeɣs ad t-yessenz.
>>ber<< Tom wants to sell it.	Tom yeɣs ad tt-yessenz.
>>ber<< Tom wants to stop us.	Tom yebɣa ad aɣ-yeḥbes.
>>ber<< Tom wants to stop us.	Tom yebɣa ad aɣ-yessebded.
>>ber<< Tom wants to stop us.	Tom yeɣs ad aɣ-yeḥbes.
>>ber<< Tom wants to stop us.	Tom yeɣs ad aɣ-yessebded.
>>ber<< Tom wants to succeed.	Tom yebɣa ad yerbeḥ.
>>ber<< Tom wants to take it.	Tom yebɣa ad t-yawi.
>>ber<< Tom wants to take it.	Tom yebɣa ad tt-yawi.
>>ber<< Tom wants to take it.	Tom yeɣs ad t-yawi.
>>ber<< Tom wants to take it.	Tom yeɣs ad tt-yawi.
>>ber<< Tom wants to testify.	Tom yebɣa ad d-yeched.
>>ber<< Tom wants us to stay.	Tom yebɣa ad neqqim.
>>ber<< Tom wants us to stay.	Tom yeɣs ad neqqim.
>>ber<< Tom wants us to talk.	Tom yebɣa ad nessiwel.
>>ber<< Tom wants us to talk.	Tom yeɣs ad nessiwel.
>>ber<< Tom wants us to wait.	Tom yebɣa ad neṛju.
>>ber<< Tom wants us to wait.	Tom yeɣs ad neṛju.
>>ber<< Tom wants us to wait.	Tom yebɣa ad neggani.
>>ber<< Tom wants us to wait.	Tom yeɣs ad neggani.
>>ber<< Tom wants us working.	Tom yebɣa-aɣ ad nmahel.
>>ber<< Tom wants us working.	Tom yeɣs-aɣ ad nmahel.
>>ber<< Tom wants you to eat.	Tom yebɣa ad teččeḍ.
>>ber<< Tom was acting weird.	Tom iban-d d aɣwali.
>>ber<< Tom was already dead.	Tom yella yemmut yakan.
>>ber<< Tom was an architect.	Tom yella d amasgad.
>>ber<< Tom was at the beach.	Tom yella deg teftist.
>>ber<< Tom was at the hotel.	Tom yella deg usensu-nni.
>>ber<< Tom was badly beaten.	Tom wten-t yir tiyita.
>>ber<< Tom was electrocuted.	Tom twet-it-id tetrist.
>>ber<< Tom was electrocuted.	Tom twet-it tetrist.
>>ber<< Tom was homeschooled.	Tom yella izerrew deg uxxam.
>>ber<< Tom was homeschooled.	Tom yezrew deg uxxam.
>>ber<< Tom was in our group.	Tom yella deg tegrawt-nneɣ.
>>ber<< Tom was in the house.	Tom yella deg uxxam-nni.
>>ber<< Tom was in the truck.	Tom yella deg ukamyun-nni.
>>ber<< Tom was in the woods.	Tom yella deg teẓgi.
>>ber<< Tom was just kidding.	Tom yella kan yettqeṣṣir.
>>ber<< Tom was on his phone.	Tom yella la yessawal deg usawal-nnes.
>>ber<< Tom was on the beach.	Tom yella deg teftist.
>>ber<< Tom was on the phone.	Tom yella la yessawal s usawal.
>>ber<< Tom was proud of you.	Tom yella yettzuxxu yes-k.
>>ber<< Tom was proud of you.	Tom yella yettzuxxu yes-m.
>>ber<< Tom was proud of you.	Tom yella yettzuxxu yes-wen.
>>ber<< Tom was proud of you.	Tom yella yettzuxxu yes-went.
>>ber<< Tom was proud of you.	Tom yella yummar yes-k.
>>ber<< Tom was proud of you.	Tom yella yummar yes-m.
>>ber<< Tom was proud of you.	Tom yella yummar yes-wen.
>>ber<< Tom was proud of you.	Tom yella yummar yes-went.
>>ber<< Tom wasn't a teacher.	Tom ur yelli ara d aselmad.
>>ber<< Tom wasn't available.	Tom ur yelli ara yestufa.
>>ber<< Tom watched the news.	Tom yella yettwali isalan.
>>ber<< Tom went to a tailor.	Tom yedda ɣer yiwen n ugennay.
>>ber<< Tom went to his room.	Tom yedda ɣer texxamt-nnes.
>>ber<< Tom went to the bank.	Tom yedda ɣer tbanka.
>>ber<< Tom went to the cafe.	Tom yedda ɣer tneɣlust.
>>ber<< Tom went to the city.	Tom yedda ɣer temdint.
>>ber<< Tom went to the door.	Tom yedda ɣer tewwurt.
>>ber<< Tom went to the exit.	Tom yedda ɣer tuffɣa.
>>ber<< Tom went to the fair.	Tom yedda ɣer tmugert.
>>ber<< Tom went to the gate.	Tom yedda ɣer yiseɣli.
>>ber<< Tom went to the lake.	Tom yedda ɣer ugelmim.
>>ber<< Tom went to the mall.	Tom yedda ɣer wammas anezzan.
>>ber<< Tom went to the park.	Tom yedda ɣer wurti.
>>ber<< Tom went to the pool.	Tom yedda ɣer tnerdebt.
>>ber<< Tom will arrive soon.	Ur yettεeṭṭil ara ad d-yaweḍ Tom.
>>ber<< Tom will be a doctor.	Tom ad yeqqel d imsujji.
>>ber<< Tom will be so happy.	Tom ad yefṛeḥ aṭas.
>>ber<< Tom will be thrilled.	Tom ad yefṛeḥ.
>>ber<< Tom will be thrilled.	Tom ad yummar.
>>ber<< Tom will be thrilled.	Ad yummar Tom.
>>ber<< Tom will be thrilled.	Ad yefṛeḥ Tom.
>>ber<< Tom will believe you.	Ad k-yamen Tom.
>>ber<< Tom will believe you.	Ad kem-yamen Tom.
>>ber<< Tom will believe you.	Ad ken-yamen Tom.
>>ber<< Tom will believe you.	Ad kent-yamen Tom.
>>ber<< Tom will come around.	Tom ad ibeddel tannayt-nnes.
>>ber<< Tom will come around.	Tom ad yessenfel tannayt-nnes.
>>ber<< Tom will contact you.	Ad k-d-yennermes Tom.
>>ber<< Tom will contact you.	Ad kem-d-yennermes Tom.
>>ber<< Tom will contact you.	Ad ken-d-yennermes Tom.
>>ber<< Tom will contact you.	Ad kent-d-yennermes Tom.
>>ber<< Tom will forgive you.	Tom ad ak-yessuref.
>>ber<< Tom will forgive you.	Tom ad am-yessuref.
>>ber<< Tom will forgive you.	Tom ad awen-yessuref.
>>ber<< Tom will forgive you.	Tom ad awent-yessuref.
>>ber<< Tom will forgive you.	Ad ak-yessuref Tom.
>>ber<< Tom will forgive you.	Ad am-yessuref Tom.
>>ber<< Tom will forgive you.	Ad awen-yessuref Tom.
>>ber<< Tom will forgive you.	Ad awent-yessuref Tom.
>>ber<< Tom will go with you.	Tom ad yeddu yid-k.
>>ber<< Tom will go with you.	Tom ad yeddu yid-m.
>>ber<< Tom will go with you.	Tom ad yeddu yid-wen.
>>ber<< Tom will go with you.	Tom ad yeddu yid-went.
>>ber<< Tom will lose weight.	Tom ad yenqes deg lmizan.
>>ber<< Tom will love Boston.	Tom ad as-teɛjeb Boston.
>>ber<< Tom will love Boston.	Tom ad as-tegreẓ Boston.
>>ber<< Tom will never leave.	Tom werǧin ad iṛuḥ.
>>ber<< Tom will protect you.	Ad k-iḥudd Tom.
