>>tgl<< Run.	Takbo.
>>tgl<< This bicycle is mine.	Ito'y aking bisikleta.
>>tgl<< This is the best way.	Ito ang pinakamainam na paraan.
>>tgl<< This is unacceptable.	Hindi ito katanggap-tanggap.
>>tgl<< This is unbelievable.	Hindi ito kapani-paniwala.
>>tgl<< This must be changed.	Dapat itong baguhin.
>>tgl<< This one is prettier.	Mas marikit ito.
>>tgl<< This tastes like tea.	Lasa itong tsaa.
>>tgl<< This wall feels cold.	Malamig itong dingding.
>>tgl<< This wall feels cold.	Malamig itong pader.
>>tgl<< Today is my birthday.	Ngayon ang aking kaarawan.
>>tgl<< Tom chose the colors.	Si Tom ang pumili ng mga kulay.
>>tgl<< Tom chose to do that.	Pinili ni Tom na gawin iyon.
>>tgl<< Tom doesn't eat meat.	Hindi kumakain ng karne si Tom.
>>tgl<< Tom is frying an egg.	Nagpriprito ng itlog si Tomas.
>>tgl<< Tom is grilling meat.	Nag-iihaw ng karne si Tomas.
>>tgl<< Tom is old-fashioned.	Si Tom ay makaluma.
>>tgl<< Tom is ready for you.	Handa na si Tom para sayo.
>>tgl<< Tom is wearing a hat.	Nakasuot si Tomas ng sombrero.
>>tgl<< Tom was worried, too.	Nagaalala rin si Tom.
>>tgl<< Water reflects light.	Manalamin ang ilaw sa tubig.
>>tgl<< What are you reading?	Ano'ng binabasa mo?
>>tgl<< What are you reading?	Anong binabasa mo?
>>tgl<< What makes you happy?	Ano ang nagpapasaya sa iyo?
>>tgl<< When are you leaving?	Kailan ka aalis?
>>tgl<< When was it finished?	Kailan ito matatapos?
>>tgl<< Where are you headed?	Saan ka patungo?
>>tgl<< Where were you going?	Saan ka pumupunta?
>>tgl<< Who was on the phone?	Sino ang nasa telepono?
>>tgl<< Who was sitting here?	Sino ang umupo dito?
>>tgl<< Who's there with you?	Sino ang kasama mo diyan?
>>tgl<< Why don't you answer?	Bakit hindi ka sumagot?
>>tgl<< Why don't you listen?	Bakit hindi ka makinig?
>>tgl<< You are not a coward.	Hindi ka duwag.
>>tgl<< You are now an adult.	Malaki ka na.
>>tgl<< You keep out of this.	Huwag kang makialam.
>>tgl<< You should apologize.	Humingi ka ng tawad.
>>tgl<< You're going nowhere.	Hindi ka makakaalis dito.
>>tgl<< Your dog is very big.	Malaki ang aso mo.
>>tgl<< Are there any bananas?	Meron bang saging?
>>tgl<< Are there any bananas?	Mayroon bang saging?
>>tgl<< Are they all the same?	Magkapareho ba sila?
>>tgl<< Are you angry with me?	Galit ka ba sa akin?
>>tgl<< Are you being serious?	Seryoso ka ba?
>>tgl<< Bananas are delicious.	Masarap ang saging.
>>tgl<< Call me at the office.	Tawagan mo ako sa opisina.
>>tgl<< Can I open the window?	Puwede ko bang buksan ang bintana?
>>tgl<< Do you have a license?	Mayroon ka bang lisensya?
>>tgl<< Do you have a lighter?	Meron kang pangsindi?
>>tgl<< Do you know who he is?	Kilala mo sya?
>>tgl<< Do you own a computer?	Meron ka bang kompyuter?
>>tgl<< Don't ask me anything.	Huwag kang magtanong ng kahit ano sa akin.
>>tgl<< Don't forget about us!	Wag mo kaming kalimutan!
>>tgl<< Don't leave me behind!	Huwag ninyo akong iwanan!
>>tgl<< Don't you play tennis?	Hindi ka ba naglalaro ng tennis?
>>tgl<< Don't you want to win?	Ayaw mo ba manalo?
>>tgl<< Have you eaten dinner?	Naghapunan ka na?
>>tgl<< He came to pick me up.	Pumarini siya para sunduin ako.
>>tgl<< He gave me an example.	Binigyan niya ako ng halimbawa.
>>tgl<< His story may be true.	Baka totoo ang istorya niya.
>>tgl<< How can I become rich?	Paano ba ako yayaman?
>>tgl<< How did you come here?	Paano ka napunta dito?
>>tgl<< I can't do this alone.	Hindi ko ito magagawa ng mag isa.
>>tgl<< I can't find my watch.	Di ko mahanap ang relo ko.
>>tgl<< I can't open the door.	Hindi ko mabuksan ang pinto.
>>tgl<< I didn't get his joke.	Di ko naintindihan ang biro niya.
>>tgl<< I didn't see anything.	Wala akong nakita.
>>tgl<< I didn't vote for Tom.	Hindi ko binoto si Tom.
>>tgl<< I don't smoke anymore.	Hindi na ako naninigarilyo.
>>tgl<< I expected Tom to cry.	Inaasahan ko na si Tom ay iiyak.
>>tgl<< I have class tomorrow.	May klase ako bukas.
>>tgl<< I have kidney trouble.	Mayroon akong problema sa bato.
>>tgl<< I have to talk to you.	Kailangan kitang makausap.
>>tgl<< I haven't decided yet.	Hindi pa ako nakakapag desisyon.
>>tgl<< I know you are clever.	Alam kong matalino ka.
>>tgl<< I like playing tennis.	Gusto kong magtenis.
>>tgl<< I need to talk to you.	Kailangan kitang makausap.
>>tgl<< I need you to do that.	Kailangan kitang gawin iyan.
>>tgl<< I promise to be loyal.	Pangako na ako'y magiging tapat.
>>tgl<< I really ate too much.	Kumain talaga ako ng marami.
>>tgl<< I remember that night.	Naalala ko ang gabing iyon.
>>tgl<< I stayed home all day.	Napabahay ako buong araw.
>>tgl<< I think he won't come.	Isip kong di siya paparini.
>>tgl<< I thought it was true.	Akala ko totoo yun.
>>tgl<< I walked about a mile.	Mga isang milya ang nilakad ko.
>>tgl<< I want a new contract.	Gusto ko ng bagong kontrata.
>>tgl<< I want to sing a song.	Gusto kong kumanta.
>>tgl<< I was feeling nervous.	Kinabahan ako.
>>tgl<< I was told to go home.	Sinabihan ako na umuwi na.
>>tgl<< I won't lose anything.	Walang mawawala sa akin.
>>tgl<< I wonder who they are.	Nagtataka ako kung sino sila.
>>tgl<< I would rather go out.	Mas gugustuhin kong lumabas.
>>tgl<< I wouldn't lie to you.	Hindi ako magsisinungaling sa iyo.
>>tgl<< I'll call you at noon.	Tatawagan kita sa tanghali.
>>tgl<< I'm going to hurt you.	Sasaktan kita.
>>tgl<< I'm not a millionaire.	Hindi ako milyonaryo.
>>tgl<< I'm not afraid of you.	Di ako takot sa iyo.
>>tgl<< I'm not made of money.	Hindi ako gawa sa pera.
>>tgl<< Is everything settled?	Ayos na ba ang lahat?
>>tgl<< It doesn't make sense.	Wala itong katuturan.
>>tgl<< It might rain tonight.	Maaaring umulan ngayong gabi.
>>tgl<< It was cold yesterday.	Malamig kahapon.
>>tgl<< It's my favorite song.	Paborito kong kanta iyon.
>>tgl<< It's nice to meet you.	Nagagalak akong makilala ka.
>>tgl<< Let me think about it.	Pag-iisipan ko.
>>tgl<< Let's get out of here.	Umalis tayo dito.
>>tgl<< Let's play basketball.	Maglaro tayo ng basketball.
>>tgl<< Let's postpone dinner.	Ipagpaliban natin ang hapunan.
>>tgl<< Nobody understands me.	Walang nakakaintindi saakin.
>>tgl<< Please go to the bank.	Pumunta po sa banko.
>>tgl<< Please light a candle.	Magsindi ka naman ng kandila.
>>tgl<< Put away your bicycle.	Itago mo ang iyong bisikleta.
>>tgl<< She became an actress.	Naging artista siya.
>>tgl<< She dashed downstairs.	Tumakbo siya pababa ng hagdan.
>>tgl<< She is afraid of dogs.	Takot siya sa mga aso.
>>tgl<< She's not at home now.	Wala siya sa bahay ngayon.
>>tgl<< Sorry, I've got to go.	Sori, dapat umalis na ako.
>>tgl<< Tadpoles become frogs.	Nagiging palaka ang butete.
>>tgl<< Thanks for your reply.	Salamat sa sagot mo.
>>tgl<< The baby cried loudly.	Umiyak ng malakas ang sanggol.
>>tgl<< The bookstore is open.	Bukas ang bukstor.
>>tgl<< The bookstore is open.	Bukas ang tindahan ng libro.
>>tgl<< The ice is very thick.	Talagang makapal ang yelo.
>>tgl<< The movie made me cry.	Pinaiyak ako ng pelikula.
>>tgl<< There's no more bread.	Walang tinapay.
>>tgl<< There's nothing there.	Walang anuman doon.
>>tgl<< These grapes are sour.	Maasim ang mga ubas na ito.
>>tgl<< They don't have a car.	Wala silang kotse.
>>tgl<< This is a joke, right?	Biro ito, tama?
>>tgl<< This is a scary place.	Nakakatakot ang lugar na ito.
>>tgl<< This is enough for me.	Husto na ito para sa akin.
>>tgl<< This is my brainchild.	Ito ang aking anak-utak.
>>tgl<< This is what I wanted.	Ito ang gusto ko.
>>tgl<< Tom appears exhausted.	Mukhang pagod si Tom.
>>tgl<< Tom can't read French.	Di makabasa ng Pranses si Tomas.
>>tgl<< Tom climbed the fence.	Umakyat si Tom ng bakod.
>>tgl<< Tom didn't say a word.	Hindi nagsalita si Tom.
>>tgl<< Tom felt disappointed.	Nabigo si Tom.
>>tgl<< Tom has been defeated.	Natalo si Tom.
>>tgl<< Tom is bigger than me.	Mas malaki sa akin si Tom.
>>tgl<< Tom is poor, isn't he?	Si Tom ay mahirap, tama ba?
>>tgl<< Tom is studying music.	Nag-aaral ng musika si Tomas.
>>tgl<< Tom managed to escape.	Nakawala si Tom.
>>tgl<< Tom wanted to be sure.	Gustong makasigurado ni Tom.
>>tgl<< Tom wasn't a rich man.	Hindi mayaman si Tom.
>>tgl<< Was Tom working alone?	Mag-isa bang nagtrabaho si Tom?
>>tgl<< We're going to go now.	Aalis na tayo ngayon.
>>tgl<< What did you do today?	Ano ang ginawa mo ngayong araw?
>>tgl<< What floats your boat?	Ano ang nagpapasaya sa iyo?
>>tgl<< What took you so long?	Bakit ang tagal mo?
>>tgl<< When is your birthday?	Kailan ang iyong kaarawan?
>>tgl<< When should I be here?	Kailan ako dapat narito?
>>tgl<< Where are the toilets?	Nasaan ang banyo?
>>tgl<< Where's everyone else?	Nasaan ang iba?
>>tgl<< Who is in charge here?	Sino ang namamahala dito?
>>tgl<< Who's coming with you?	Sino ang sasama sa iyo?
>>tgl<< Whose books are those?	Kaninong aklat ang mga iyan?
>>tgl<< Whose books are those?	Kaninong libro ang mga iyan?
>>tgl<< Why are they fighting?	Bakit sila nag-aaway?
>>tgl<< Why do you suspect me?	Bakit mo ako pinagsususpetsahan?
>>tgl<< Why don't you ask Tom?	Bakit hindi mo tanungin si Tom?
>>tgl<< Why don't you tell me?	Bakit hindi mo sa akin sabihin?
>>tgl<< Why would Tom help us?	Bakit naman tayo tutulungan ni Tom?
>>tgl<< Will you come with us?	Sasama ka ba sa amin?
>>tgl<< You have to work hard.	Kailangan mong sumipag.
>>tgl<< You must do your best.	Galingan mo.
>>tgl<< You never believed me.	Kailanman ay hindi ka naniwala sa akin.
>>tgl<< You recovered quickly.	Nagrekober ka nang mabilis.
>>tgl<< You will stay at home.	Mananatili ka sa bahay.
>>tgl<< You'll never be alone.	Hindi ka nag-iisa.
>>tgl<< Are these bananas ripe?	Hinog na ba ang saging na ito?
>>tgl<< Ask Tom what he'll eat.	Itanong mo kay Tom kung ano ang kakainin niya.
>>tgl<< Bring me the magazines.	Dalhin mo sa akin ang mga magasin.
>>tgl<< Can I have a paper bag?	Puwede ba sa akin ang papel na sako?
>>tgl<< Can we talk in private?	Puwede ba tayong magsalita nang pribado?
>>tgl<< Can you say that again?	Puwede mo bang ulitin iyon?
>>tgl<< Come on! We'll be late.	Dali! Mahuhuli na tayo.
>>tgl<< Did you read it at all?	Nabasa mo ba lahat?
>>tgl<< Do you believe in UFOs?	Naniniwala ka ba sa mga UFO?
>>tgl<< Do you believe in UFOs?	Naniniwala ka ba sa mga hindi tukoy na lumilipad na bagay?
>>tgl<< Do you drink green tea?	Umiinom ka ba ng berdeng tsa?
>>tgl<< Do you like this color?	Gusto mo nitong kulay?
>>tgl<< Do you mind if I smoke?	Mangestorbo ba kung managarilyo ako?
>>tgl<< Don't approach the dog.	Huwag lapitan ang aso.
>>tgl<< Don't tell anyone this.	Huwag mong sabihin ito sa kung sinuman.
>>tgl<< Don't you want to help?	Ayaw mo ba tumulong?
>>tgl<< Give me another chance.	Bigyan mo ako ng isa pang pagkakataon.
>>tgl<< Give me some milk, too.	Bigyan mo rin ako ng gatas.
>>tgl<< Has Flight 123 arrived?	Dumating na ba ang Playt 123?
>>tgl<< Have you seen my phone?	Nakita mo ba ang telepono ko?
>>tgl<< Have you seen my watch?	Nakita mo ba ang relo ko?
>>tgl<< Have you told your mom?	Sinabi mo na ba sa iyong ina?
>>tgl<< He doesn't like coffee.	Ayaw niya ng kape.
>>tgl<< He exhausted his money.	Naubos niya ang pera niya.
>>tgl<< He kept reading a book.	Tinuloy niyang magbasa ng libro.
>>tgl<< He lay down on the bed.	Humiga siya sa kama.
>>tgl<< He respects his father.	Iginagalang niya ang kanyang tatay.
>>tgl<< His story must be true.	Totoo yata ang istorya niya.
>>tgl<< How high is that tower?	Gaanong kataas yang tore?
>>tgl<< How long is the bridge?	Gaano kahaba ang tulay?
>>tgl<< I ate lunch in a hurry.	Nagmamadaling kumain ako ng tanghalian.
>>tgl<< I bought three oranges.	Bumili ako ng tatlong dalandan.
>>tgl<< I couldn't fall asleep.	Hindi ako makatulog.
>>tgl<< I didn't do it for Tom.	Hindi ko ginawa iyon para kay Tom.
>>tgl<< I didn't do it for you.	Di ko ginawa para sa iyo.
>>tgl<< I don't agree with him.	Di ako sang-ayon sa kanya.
>>tgl<< I don't know who he is.	Hindi ko alam kung sino siya.
>>tgl<< I don't want any sugar.	Ayaw ko ng may asukal.
>>tgl<< I don't want to go out.	Ayaw kong lumabas.
>>tgl<< I fell asleep in class.	Napatulog ako nang klase.
>>tgl<< I have a cat and a dog.	Meron akong pusa't aso.
>>tgl<< I know all their names.	Alam ko ang pangalan nilang lahat.
>>tgl<< I like pink grapefruit.	Gusto ko ang suhang kulay rosas.
>>tgl<< I like summer the best.	Pinakagusto ko ang tag-init.
>>tgl<< I love taking pictures.	Mahilig akong kumuha ng mga litrato.
>>tgl<< I make lunch every day.	Gumagawa ako ng tanghalian bawat araw.
>>tgl<< I need to speak to you.	Kailangan kitang makausap.
>>tgl<< I saved a lot of money.	Marami akong naipong pera.
>>tgl<< I saw Tom a while back.	Nakita ko si Tom kanina.
>>tgl<< I shook hands with her.	Nakipagkamayan ako sa kaniya.
>>tgl<< I want to hear who won.	Gusto ko marinig kung sino ang nanalo.
>>tgl<< I wasn't aware of that.	Hindi ko alam iyon.
>>tgl<< I wasn't born on Earth.	Hindi ako pinanganak sa Tiyera.
>>tgl<< I will not do it again.	Hindi ko uulitin.
>>tgl<< I won't call you again.	Hindi na kita tatawagan.
>>tgl<< I won't stand for this.	Hindi ko papayagan ito.
>>tgl<< I won't stand for this.	Hindi maaari ito.
>>tgl<< I wrote a song for you.	Nagsulat ako ng kanta para sa iyo.
>>tgl<< I'll miss your cooking.	Mamimis ko ang luto mo.
>>tgl<< I'm trying to remember.	Sinusubukan kong tandaan.
>>tgl<< I've found another job.	Nakahanap ako ng isa pang trabaho.
>>tgl<< Is Tom suggesting that?	Iminumungkahi ba ni Tom iyon?
>>tgl<< Is it not clear enough?	Di ba malinaw na?
>>tgl<< It doesn't surprise me.	Di ako magugulat.
>>tgl<< It smelled really good.	Ang bango.
>>tgl<< It was cold last night.	Malamig kagabi.
>>tgl<< Let's start right away.	Magsimula na tayo.
>>tgl<< Mind your own business.	Isipin ang iyong sariling negosyo.
>>tgl<< My grandmother is sick.	May sakit ang lola ko.
>>tgl<< Nothing really matters.	Wala naman talagang may kasaysayan.
>>tgl<< Please give me a drink.	Pahingi ng inumin.
>>tgl<< She had white shoes on.	Suot niya'y puting sapatos.
>>tgl<< She stood close to him.	Tumindig siya sa tabi niya.
>>tgl<< Take me to your leader.	Dalhin mo ako sa hepe mo.
>>tgl<< The news can't be true.	Di yata totoo ang balita.
>>tgl<< The ship came in sight.	Nakita ang barko.
>>tgl<< The ship came in sight.	Nakita ang bapor.
>>tgl<< The sun shone brightly.	Sumisinag ang araw nang maliwanag.
>>tgl<< The tea is boiling hot.	Kumukulong mainit na ang tsa.
>>tgl<< These bananas went bad.	Namulok na itong saging.
>>tgl<< They admire each other.	Kapwa silang naghahangaan.
>>tgl<< They stopped the music.	Pinigil nila ang musika.
>>tgl<< This is an uphill road.	Ito'y daang pataas ng burol.
>>tgl<< This is excellent wine.	Magaling na alak ito.
>>tgl<< This is not a sentence.	Hindì ito pangungusap.
>>tgl<< This is not acceptable.	Hindi ito katanggap-tanggap.
>>tgl<< Tom had no place to go.	Wala si Tomas mapuntahan.
>>tgl<< Tom is an arrogant guy.	Mayabang si Tom.
>>tgl<< Tom is eating a banana.	Kumakain ng saging si Tomas.
>>tgl<< Tom is fanning himself.	Nagpapaypay si Tomas ng sarili niya.
>>tgl<< Tom is studying French.	Nag-aaral ng Pranses si Tomas.
>>tgl<< Tom is trying on shoes.	Sinusubukan ni Tomas ang sapatos.
>>tgl<< Tom wanted to find out.	Gustong malaman ni Tom.
>>tgl<< We have a lot of water.	Marami tayong tubig.
>>tgl<< We like playing soccer.	Gusto naming maglaro ng soccer.
>>tgl<< We live in the suburbs.	Nakatira kami sa nayon.
>>tgl<< We ran after the thief.	Hinabol namin ang magnanakaw.
>>tgl<< We're also out of eggs.	Wala na rin tayong itlog.
>>tgl<< We're also out of eggs.	Naubusan din tayo ng itlog.
>>tgl<< What time shall I come?	Ano'ng oras ako pupunta?
>>tgl<< What was the agreement?	Ano ang napagsang-ayunan?
>>tgl<< What was the agreement?	Ano ang napagkasunduan?
>>tgl<< What've you been doing?	Anong ginagawa mo?
>>tgl<< When is he coming back?	Kailan siya babalik?
>>tgl<< Who chose those colors?	Sino ang pumili ng mga kulay na iyon?
>>tgl<< Who teaches you French?	Sinong nagtuturo sa iyo ng Pranses?
>>tgl<< Who was here yesterday?	Sino ang nandito kahapon?
>>tgl<< Whose notebook is that?	Kaninong notbuk iyan?
>>tgl<< Whose textbook is this?	Kaninong teksbuk ito?
>>tgl<< Whose umbrella is this?	Kaninong payong ito?
>>tgl<< Why are you busy today?	Ba't ka bisi ngayon?
>>tgl<< Why don't you call Tom?	Bakit hindi mo tawagan si Tom?
>>tgl<< Why don't you remember?	Bakit hindi mo maalala?
>>tgl<< Why is the baby crying?	Ba't umiiyak ang beybi?
>>tgl<< Won't you take a chair?	Gusto niyo po bang umupo?
>>tgl<< Would you like to come?	Gusto mong sumama?
>>tgl<< You can't count on him.	Hindi ka makakaasa sa kanya.
>>tgl<< You can't kill us both.	Hindi mo pwedeng patayin kami pareho.
>>tgl<< You never told me that.	Hindi mo yan nasabi sa akin kahit kailan.
>>tgl<< You speak good English.	Magaling kang mag-ingles.
>>tgl<< You're running a fever.	Mayroon kang lagnat.
>>tgl<< "Don't hurry," he added.	"Hindi mo kailangang magmadali," dagdag niya.
>>tgl<< Are you afraid of death?	Takot ka bang mamatay?
>>tgl<< Are you referring to me?	Ako ba ang tinutukoy mo?
>>tgl<< Do you know how to swim?	Marunong ka bang lumangoy?
>>tgl<< Do you know what I mean?	Alam mo ba ang ibig kong sabihin?
>>tgl<< Don't eat too much cake.	Huwag kang masyadong kumain ng keyk.
>>tgl<< Don't try to deceive me.	Huwag mo akong niloloko.
>>tgl<< Don't you like baseball?	Ayaw mo ba ng baseball?
>>tgl<< Don't you want anything?	Ayaw mo ba ng anumang bagay?
>>tgl<< Everything is connected.	May koneksyon ang lahat.
>>tgl<< Everything is connected.	Konektado ang lahat.
>>tgl<< Give me a second chance.	Bigyan mo ako ng isa pang pagkakataon.
>>tgl<< Give me one more chance.	Bigyan mo ako ng isa pang pagkakataon.
>>tgl<< Good morning, everybody.	Magandang umaga sa inyong lahat.
>>tgl<< Have you guys seen them?	Nakita ninyo ba sila?
>>tgl<< Haven't you decided yet?	Di ka pa nagdisisyon?
>>tgl<< He doesn't need to work.	Hindi niya kailangang magtrabaho.
>>tgl<< He is not angry anymore.	Hindi na siya galit.
>>tgl<< He is putting on weight.	Tumataba siya.
>>tgl<< He is tall and handsome.	Matangkad siya at guwapo.
>>tgl<< He keeps his room clean.	Palaging malinis ang kuwarto niya.
>>tgl<< He lives here all alone.	Nakatira sya dito magisa.
>>tgl<< He looked like a doctor.	Mukha siyang doktor.
>>tgl<< He named his dog Popeye.	Pinangalan niya ang kaniyang aso na Popeye.
>>tgl<< He talked about himself.	Pinag-usapan niya ang sarili niya.
>>tgl<< Her teacher praised her.	Pinuri siya ng kanyang guro.
>>tgl<< How can I make him stop?	Paano ko ba siya mapipigilan?
>>tgl<< How do you go to school?	Paano ka pumupunta sa paaralan?
>>tgl<< How far is it from here?	Gaano ba iyon kalayo mula dito?
>>tgl<< I don't know who she is.	Hindi ko alam kung sino siya.
>>tgl<< I don't think I'm ready.	Sa tingin ko hindi pa ako handa.
>>tgl<< I haven't forgotten Tom.	Hindi ko nakalimutan si Tom.
>>tgl<< I haven't forgotten you.	Hindi kita nakalimutan.
>>tgl<< I heard a strange sound.	May narinig akong ibang tunog.
>>tgl<< I know that she is cute.	Alam kong kyut siya.
>>tgl<< I like grape jelly best.	Dyeli ng ubas ang pinakagusto ko.
>>tgl<< I like studying history.	Gusto kong mag-aral ng kasaysayan.
>>tgl<< I need to get back home.	Kailangan kong bumalik sa bahay.
>>tgl<< I need to wash my hands.	Kailangan kong maghugas ng kamay.
>>tgl<< I studied before supper.	Nag-aral ako bago naghapunan.
>>tgl<< I suppose you're hungry.	Palagay ko'y gutom ka.
>>tgl<< I thought he would come.	Akala ko'y dadating siya.
>>tgl<< I told Tom not to worry.	Sinabihan ko si Tom na huwag mag-alala.
>>tgl<< I was at home yesterday.	Nasa bahay ako kahapon.
>>tgl<< I was told Tom ran away.	May nagsabi sa akin na tumakas si Tom.
>>tgl<< I was told Tom was dead.	May nagsabi sa akin na patay na si Tom.
>>tgl<< I'll be back in an hour.	Pabalik ako sa isang oras.
>>tgl<< I'll leave it up to you.	Nasa iyo na iyon.
>>tgl<< I'm kind of tired today.	Medyo pagod ako ngayon.
>>tgl<< I'm too sleepy to drive.	Masyado akong antok para magmaneho.
>>tgl<< I'm too sleepy to drive.	Antok na antok ako para magmaneho.
>>tgl<< I've got to talk to you.	Kailangan kitang makausap.
>>tgl<< Is this a tax-free shop?	Wala bang buwis sa tindahang ito?
>>tgl<< It doesn't seem to work.	Parang hindi umaandar.
>>tgl<< It may freeze next week.	Baka magyelo sa susunod na linggo.
>>tgl<< It really is your fault.	Talaga namang kasalanan mo.
>>tgl<< It's fun to knead dough.	Nakakatuwang magmasa.
>>tgl<< It's the perfect number.	Iyon ay perpektong numero.
>>tgl<< Jump as high as you can.	Tumalon ka nang pinakamataas na kaya mo.
>>tgl<< Life's what you make it.	Ang buhay ay ikaw na gumagawa.
>>tgl<< Mary is a friendly girl.	Palakaibigan si Mary.
>>tgl<< My house is in disarray.	Makalat ang bahay ko.
>>tgl<< My sister has long legs.	Mahahaba ang binti ng kapatid kong babae.
>>tgl<< Our team is in the lead.	Ang pangkat namin ang nangunguna.
>>tgl<< Peel two of the bananas.	Magtalop nang dalawa sa mga saging.
>>tgl<< Please open the package.	Pakibukas ng balutan, nga.
>>tgl<< She chose the red dress.	Pinili niya ang pulang damit.
>>tgl<< She is not always happy.	Hindi siya masaya lagi.
>>tgl<< She turned on the light.	Sinindihan niya ang ilaw.
>>tgl<< She went out for a walk.	Lumabas siya para maglakad.
>>tgl<< Sorry, we're full today.	Sori po, puno na kami ngayon.
>>tgl<< Thank you for listening.	Salamat sa pakikinig.
>>tgl<< That's no small problem.	Hindi iyan maliit na problema.
>>tgl<< That's perfectly normal.	Pangkaraniwan na iyon.
>>tgl<< The flower is not black.	Hindi itim ang bulaklak.
>>tgl<< Their car overtook ours.	Inunahan nila ang aming sasakyan.
>>tgl<< These grapes taste sour.	Maasim ang mga ubas na ito.
>>tgl<< They entered the forest.	Pumasok sila sa gubat.
>>tgl<< They laughed at my idea.	Tinawanan nila ang ideya ko.
>>tgl<< They were afraid of you.	Natakot sila sa iyo.
>>tgl<< They will agree on that.	Magsasang-ayon sila roon.
>>tgl<< This book is very thick.	Napakakapal ng librong ito.
>>tgl<< This food smells rotten.	Bulok ang amoy nitong pagkain.
>>tgl<< This is a gorgeous town.	Ito'y marikit na bayan.
>>tgl<< Those flowers have died.	Namatay na yung mga bulaklak.
>>tgl<< Tom eats in the kitchen.	Si Tom ay kumain sa kusina.
>>tgl<< Tom felt like a new man.	Ang pakiramdam ni Tomas ay bago siyang tao.
>>tgl<< Tom gave an apple to me.	Binigyan ako ni Tom ng mansanas.
>>tgl<< Tom got out of the taxi.	Lumabas si Tomas ng taksi.
>>tgl<< Tom hasn't lived abroad.	Si Tom ay hindi nanirahan sa ibang bansa.
>>tgl<< Tom is studying biology.	Nag-aaral ng biyolohiya si Tomas.
>>tgl<< Tom knows what you need.	Alam ni Tom kung anong kailangan mo.
>>tgl<< Tom sat down and waited.	Umupo si Tom at naghintay.
>>tgl<< Tom threw Mary an apple.	Hinagisan ni Tom ng mansanas si Mary.
>>tgl<< Tom tried to reach Mary.	Sinubukan niyang makipag-ugnayan kay Mary.
>>tgl<< Tom wants to take a nap.	Nais umidlip ni Tom.
>>tgl<< Turn your face this way.	Lingon ka dito.
>>tgl<< We all wished for peace.	Nais nating lahat ang kapayapaan.
>>tgl<< We all wished for peace.	Nais naming lahat ang kapayapaan.
>>tgl<< We dined at our uncle's.	Naghapunan kami sa tiyo ko.
>>tgl<< We don't have to choose.	Hindi natin kailangan pumili.
>>tgl<< We have plenty of water.	Marami tayong tubig.
>>tgl<< We need to fix the roof.	Kailangan natin ayusin ang bubong.
>>tgl<< We're taking a big risk.	Malaki ang itataya natin.
>>tgl<< Were you busy yesterday?	Bisi ka ba kahapon?
>>tgl<< What a beautiful locket!	Ang gandang agnos!
>>tgl<< What are you doing here?	Anong ginagawa mo rito?
>>tgl<< What do you want to say?	Anong gusto mong sabihin?
>>tgl<< What was he doing there?	Ano ang ginawa niya doon?
>>tgl<< What're you going to do?	Anong gagawin mo?
>>tgl<< Where can one buy books?	Saan puwedeng mamili ng libro?
>>tgl<< Which of these is yours?	Alin dito ang sayo?
>>tgl<< Who are you waiting for?	Sino ang hinihintay mo?
>>tgl<< Who lives in that house?	Sinong nakatira sa bahay na iyon?
>>tgl<< Why are you thanking me?	Bakit mo ako pinasasalamatan?
>>tgl<< Why did you buy flowers?	Ba't bumili ka ng bulaklak?
>>tgl<< Why do people tell lies?	Ba't nagsisinungaling ang tao?
>>tgl<< Why don't you want this?	Bakit ayaw mo nito?
>>tgl<< Will you please help me?	Pwede mo ba akong tulungan?
>>tgl<< You aren't kids anymore.	Di na kayo mga bata.
>>tgl<< You dropped your pencil.	Nahulog mo ang lapis mo.
>>tgl<< You have a lot of books.	Marami ang mga libro mo.
>>tgl<< You have very sexy legs.	Talagang seksi ang mga binti mo.
>>tgl<< You know I didn't do it.	Alam mo hindi ko ginawa iyon.
>>tgl<< You left your lights on.	Nakalimutan mong patayin ang ilaw.
>>tgl<< You must make an effort.	Dapat magtiyaga ka.
>>tgl<< You two are really kind.	Talagang mabait kayong dalawa.
>>tgl<< A glass of water, please.	Basong tubig, nga.
>>tgl<< Bring a bucket of apples.	Magdala ka ng isang balde ng mansanas.
>>tgl<< Call me before you leave.	Tawagan mo ako bago ka umalis.
>>tgl<< Can you open this for me?	Mabubuksan mo ba ito para sa akin?
>>tgl<< Can you possibly help me?	Pwede mo ba akong tulungan?
>>tgl<< Choose any of these pens.	Pumili ka sa alinmang bolpen na ito.
>>tgl<< Come and see me tomorrow.	Pumarini ka at magkita tayo bukas.
>>tgl<< Did I hurt your feelings?	Nasaktan ko ba ikaw?
>>tgl<< Do you have a pen on you?	May pangsulat ka?
>>tgl<< Do you know how to drive?	Marunong ka bang magmaneho?
>>tgl<< Don't rush into marriage.	Huwag kang magmadaling magpakasal.
>>tgl<< Don't talk to the driver.	Huwag mong kausapin ang drayber.
>>tgl<< Don't tell me what to do.	Huwag mong sabihin sa akin kung ano ang gagawin.
>>tgl<< Everyone knows our names.	Alam ng bawat tao ang aming mga pangalan.
>>tgl<< Has Tom already paid you?	Nabayaran ka na ba ni Tom?
>>tgl<< He ate bread with butter.	Kumain siya ng tinapay na may mantikilya.
>>tgl<< He didn't mean to hit me.	Hindi niya sinadyang matamaan ako.
>>tgl<< He doesn't understand me.	Hindi niya ako naiintindihan.
