>>eus<< Run!	Korri!
>>eus<< Typhus is a contagious disease.	Tifusa gaixotasun kutsakor bat da.
>>eus<< We need to make a big decision.	Erabaki garrantzitsu bat egin behar dugu.
>>eus<< We're all going to die someday.	Guztiok hilko gara egunen batean.
>>eus<< What have you done with my bag?	Zer egin duzu nire poltsarekin?
>>eus<< What was your first pet's name?	Zein izan zen zure lehen maskotaren izena?
>>eus<< What was your first pet's name?	Zein izan zen zure lehenengo maskotaren izena.
>>eus<< Who did you want to dance with?	Norekin dantzatu nahi zenuen?
>>eus<< Why do you think Tom hates you?	Zergatik pentsatzen duzu Tomek gorroto zaituela?
>>eus<< Would you please open the door?	Irekiko zenuke, mesedez, atea?
>>eus<< Do you not see the problem here?	Ez duzu ikusten problemarik hemen?
>>eus<< Do you speak a foreign language?	Atzerriko hizkuntzarik hitz egiten duzu?
>>eus<< Don't let that dog come near me!	Ez utzi zakurrari niregana hurbiltzen!
>>eus<< Either we all go or nobody goes.	Guztiok goaz edo ez da inork joaten.
>>eus<< He prefers football to baseball.	Berak nahiago du futbola baseballa baino.
>>eus<< I don't know exactly where I am.	Ez dakit zehazki non nagoen.
>>eus<< I don't want to lose my deposit.	Ez dut nire gordailua galdu nahi.
>>eus<< I think that's what's happening.	Uste dut hori dela gertatzen ari dena.
>>eus<< I'll see you at the hotel later.	Gero hotelean ikusiko zaitut.
>>eus<< I'm here now because I love you.	Hemen nago orain maite zaitudalako.
>>eus<< I've already lost too much time.	Denbora asko galdu dut jadanik
>>eus<< It isn't easy to memorize dates.	Datak buruz ikastea ez da erraza.
>>eus<< It's ideal weather for a picnic.	Eguraldi ideala dago piknik baterako.
>>eus<< People like you are the problem.	Zu bezalako jendea da arazoa.
>>eus<< There's not much happening here.	Ez da aparteko ezer gertatzen hemen.
>>eus<< Tom and Mary are doing that now.	Tomek eta Marik hori egiten ari dira oraintxe bertan.
>>eus<< Tom and Mary won't go to Boston.	Tom eta Mary ez dira Bostonera joango.
>>eus<< Tom knew Mary needed to do that.	Tomek Mary hori egin behar zuela zekien.
>>eus<< Tom knew Mary shouldn't do that.	Tomek Mary hori ez zuela egin behar zekien.
>>eus<< Tom told Mary he studied French.	Tomek Mary-ri frantsesa ikasi zuela esan zion.
>>eus<< Tom wanted to do that last week.	Tomek hori egitea nahi izan zuen aurreko astean.
>>eus<< Tom's aware of what's happening.	Tomek badaki zer gertzten ari den.
>>eus<< Tom's grandfather couldn't read.	Tomen aititea ezin zuen irakurri.
>>eus<< We're scared it'll happen again.	Berriro gertatzeko beldur gara.
>>eus<< What has actually happened here?	Zer gertatu da azken boladan hemen?
>>eus<< What's happened in the meantime?	Zer gertatu zen bitartean?
>>eus<< What's happening here is absurd.	Hemen gertatzen ari denak ez du zentzurik.
>>eus<< Would you like to dance with me?	Nirekin dantza egingo?
>>eus<< Your wife is a very lucky woman.	Zure emaztea zorte handiko emakumea da.
>>eus<< Do you want to know what I think?	Zer pentsatzen dudan jakin nahi duzu ?
>>eus<< He has a lot of books on history.	Historiari buruzko hamaika liburu ditu.
>>eus<< He returned from Holland in June.	Holandatik itzuli zen Ekainean.
>>eus<< Hopefully, it won't happen again.	Zorionez, ez da berriro gertatuko.
>>eus<< How many years did Tom work here?	Zenbat urtez lan egin du Tomek hemen?
>>eus<< I haven't talked to Tom all week.	Ez dut Tomekin hitz egin aste osoan.
>>eus<< I imagine you must be very tired.	Zuk oso nekatuta egon behar zara irudi dezaket.
>>eus<< I've packed my suitcases already.	Gorde egin ditut maletak iada.
>>eus<< She is getting better day by day.	Egunez egun hobetzen ari da.
>>eus<< This is a complete waste of time.	Hau denbora alferrik galtzea da.
>>eus<< We had lots of fun at the picnic.	Primeran pasa genuen piknikean.
>>eus<< You may choose any book you like.	Gogoko duzun liburua aukera dezakezu.
>>eus<< I don't know anything about Japan.	Ez dakit ezer Japoniari buruz.
>>eus<< Italy is a very beautiful country.	Italia oso herri ederra da.
>>eus<< My camera is different from yours.	Nire kamera zurearen desberdina da.
>>eus<< There is less time than I thought.	Uste nuena baino denbora gutxiago dago.
>>eus<< Those shoes won't do for climbing.	Oinetako horiek ez dira eskalatzeko egokiak.
>>eus<< Tom and I sometimes work together.	Tom eta biok batzutan elkar lan egiten dugu
>>eus<< Tom and Mary didn't do that alone.	Tomek eta Maryk ez zuten hori bakarrik egin.
>>eus<< Tom asked me what I wanted to eat.	Tom galdetu zian zer nahi nuen jateko.
>>eus<< We always want what we don't have.	Beti nahi dugu ez duguna.
>>eus<< You may choose whichever you want.	Gogoko duzuna aukera dezakezu.
>>eus<< You may choose whichever you want.	Nahiago duzuna aukera dezakezu.
>>eus<< Are you really going to drink that?	Benetan hori edango duzu?
>>eus<< Are you smarter than your children?	Zure semeek baino azkarrago zara?
>>eus<< He came by car instead of by train.	Kotxez etorri zen trenez etorri beharrean.
>>eus<< He likes all animals except horses.	Animalia guztiak gogoko ditu zaldiak izan ezik.
>>eus<< He wants to learn without studying.	Ikasi gabe jakin nahi du.
>>eus<< I'll try to do it as fast as I can.	Saiatuko naiz ahalik eta azkarren egiten.
>>eus<< Is it OK if I park my scooter here?	Ondo dago hemen nire scooterara aparkatzen badut?
>>eus<< My father is out in the garden now.	Aita orain kanpoan da, lorategian.
>>eus<< That is why he was late for school.	Horregatik heldu zen berandu eskolara.
>>eus<< The ceremony began with his speech.	Zeremonia bere hitzaldiarekin hasi zen.
>>eus<< This box is not as big as that one.	Kaxa hau ez da beste hori bezain handia.
>>eus<< Tom didn't know what he should say.	Tomek ez zekien zer esan beharko luke.
>>eus<< Tom didn't really like the concert.	Tomek ez zuen kontzertua gustoko izan.
>>eus<< Tom didn't want to leave his house.	Tomek ez du bere etxea utzi nahi.
>>eus<< Tom died in prison three years ago.	Tom kartzelan hil zen duela hiru urte.
>>eus<< Tom says he just wants to be happy.	Tom-ek bakarrik zoriontsu izatea nahi duela esan du.
>>eus<< What kind of things make you angry?	Zelako gauzak haserratsen dizute?
>>eus<< What makes you think Tom hates you?	Zerk eragiten dizu pentsatzea Tom gorroto dizula?
>>eus<< What songs are you best at singing?	Zeintzuik dira obeto abesten ditun abestiak?
>>eus<< Will he be able to catch the train?	Trena garaiz hartzeko gai izango ote da?
>>eus<< Accuracy is important in arithmetic.	Zehaztasuna garrantzitsua da aritmetikan.
>>eus<< Did you find out anything about Tom?	Tomi buruz zerbait aurkitu duzu?
>>eus<< Does Tom know we can't speak French?	Badaki Tomek guk ezin dugula frantsesez hitz egin?
>>eus<< I don't know what happened that day.	Ez dakit zer gertatu zen egun horretan.
>>eus<< I don't think what Tom said is true.	Ez dut uste Tom-ek esan duena egia dela.
>>eus<< I thought you said nobody liked Tom.	Ino
>>eus<< I was roused by the sound of a bell.	Txirrinak esnatu ninduen.
>>eus<< I've done everything I needed to do.	Egin behar nuen guztia egin dut.
>>eus<< My camera is much better than yours.	Nire kamera zurea baino askoz hobeagoa da.
>>eus<< Rome has a lot of ancient buildings.	Erroman antzinako eraikin anitz dira.
>>eus<< Thanks to you I've lost my appetite.	Zure erruz gosea pasa zait.
>>eus<< The angry mob attacked the building.	Haserretutako jendetzak eraikina eraso egin zuen.
>>eus<< Tom and Mary had fun at the concert.	Tomek eta Maryk ondo pasatu zuten kontzertuan.
>>eus<< Tom said that you were good-looking.	Tomek erakargarri zeudela esan du.
>>eus<< We reported the theft to the police.	Poliziari lapurretaren berri eman genion.
>>eus<< By the way, have you seen him lately?	Bide batez, azkenaldian ikusi al duzue?
>>eus<< Could you come to tomorrow's meeting?	Biharko bilerara etorri ahal izango zara?
>>eus<< Either Tom is lying or Mary is lying.	Edo Tom dabil gezurretan edo Mary dabil gezurretan.
>>eus<< His name is known all over the world.	Bere izena mundu osoan da ezaguna.
>>eus<< I knew Tom wouldn't be so busy today.	Badakit Tom ez dagoela hain lanpetuta gaur.
>>eus<< I wish people could be more like you.	Jendea zu bezalakoa izatea gustatuko litzaidake.
>>eus<< I'm surprised Tom can't speak French.	Harritzen nau Tomek Frantzesa ez jakitea.
>>eus<< My camera is the same as your camera.	Nire kamera zurearen berdina da.
>>eus<< Please ask Tom to wait in his office.	Esan Tomiri bulegoan itzaroteko, mesedez.
>>eus<< These things always happen in threes.	Bi ezkero, hiru seguru
>>eus<< They don't always obey their parents.	Ez diete beti gurasoei jaramon egiten.
>>eus<< Tom and Mary became lifelong friends.	Tom eta Mary betiko lagun bihurtu ziren.
>>eus<< Tom and Mary need to buy some things.	Tom eta Mary zerbait erosi behar dute.
>>eus<< Tom and Mary need to buy some things.	Tom eta Maria erosi behar dute gauza batzuk.
>>eus<< Tom and Mary need to buy some things.	Tom eta Mary gauza batzuk erosi behar dituzte
>>eus<< Could you please give the baby a bath?	Mesedez, baina dezakezu umea?
>>eus<< He reported the details with accuracy.	Berak zehaztasunak zuzentasunez kontatu zituen.
>>eus<< I can't do it without somebody's help.	Ezin dut egin beste baten laguntzarik gabe.
>>eus<< I have no strength to lift this stone.	Ez dut harri hau jasotzeko indarrik.
>>eus<< I think that would give me a headache.	Uste dut eman al didala buruko mina.
>>eus<< Please make three copies of this page.	Orri honen hiru kopia egin, mesedez
>>eus<< She prefers staying home to going out.	Nahiago du etxean egotea irtetea baino.
>>eus<< The island is a paradise for children.	Aurrentzat irla paradisu bat da.
>>eus<< Tom and Mary are doing that with John.	Tomek eta Marik hori egiten ari dira Jonekin batera.
>>eus<< Tom didn't mention that he'd met Mary.	Tomek ez zuen esan Mary kusiko zuela.
>>eus<< Tom didn't offer us anything to drink.	Tomek ez zigun edateko ezer eskaini.
>>eus<< Tom didn't take his umbrella with him.	Tomek ez zuen bere euritakoa hartu.
>>eus<< Tom didn't tell us why we should come.	Tom-ek ez zigun esan zergatik etorri beharko ginateke.
>>eus<< Tom doesn't ever come here by himself.	Tom ez da inoiz hona bakarrik etortzen.
>>eus<< Tom doesn't go to school here anymore.	Tom ez doa hemen eskola jada.
>>eus<< Tom doesn't know I'm Mary's boyfriend.	Tom-ek ez daki Mary-ren mutil laguna naizela.
>>eus<< Tom doesn't know where he wants to go.	Tomek ez daki nora joan nahi duen.
>>eus<< Tom doesn't want to buy anything else.	Tom-ek ez du ezer gehiagorik erosi nahi.
>>eus<< Tom found this clock at a garage sale.	Tomek erloju hau aurkitu zuen garaje-salerosketa batean.
>>eus<< We talked on the phone until midnight.	Gau erdira arte ibili zen telefonoz hitz egiten.
>>eus<< Why do you think you need a bodyguard?	Zergatik uste duzu sorosle bat behar duzula?
>>eus<< He is suffering from a serious illness.	Gaixotasun serio batengatik sufritzen ari da.
>>eus<< His name is known all over the country.	Bere izena aberri osoan da ezaguna.
>>eus<< Let's discuss what happened last night.	Eztabaidatu dezagun azkeneko gauan gertatutakoa.
>>eus<< Tom thought Mary might like to do that.	Tomek Mary hori egitea gustuko izango zuela pentsatu zuen.
>>eus<< What I want now is not money, but time.	Nik orain nahi dudana ez da dirua, denbora baizik.
>>eus<< You may choose whichever book you like.	Gogoko duzun liburua aukera dezakezu.
>>eus<< By the way, what time will you go there?	Bide batez, ze ordutan joango zara horra?
>>eus<< Could you please tell me how to do that?	Esan ahal didazu nola egin hori, mesedez?
>>eus<< Don't worry. Everything's under control.	Ez kezkatu. Dena kontrolpean dago.
>>eus<< I thought Tom wasn't nervous doing that.	Tom gauza hori egiten urduri ez zegoela uste dut.
>>eus<< I thought Tom would be able to help you.	Tom, zu laguntzeko kapaza dela uste dut.
>>eus<< I've been able to read since I was five.	Irakurtzeko gai izan naiz bost urte neukanetik.
>>eus<< This bike belongs to my younger brother.	Bizikleta hau nire anai txikiarena da.
>>eus<< We couldn't see the top of the mountain.	Ezin genuen mendiko tontorra ikusi.
>>eus<< Which one of you two are coming with me?	Zuek biok, biotatik nor etorriko da nirekin?
>>eus<< Would you please tell me how to do that?	Esango zenidake nola egin hori?
>>eus<< All the leaves on the tree turned yellow.	Zuhaitzaren hosto guztiak hori kolorekoak bihurtu ziren.
>>eus<< Another problem is where to stop the car.	Beste arazo bat kotxea non gelditzea da.
>>eus<< Check up on the accuracy of this article.	Begiratu artikulu honen zuzentasuna.
>>eus<< Could you tell me the way to Tokyo Tower?	Esango zenidake Tokyo Dorrerako bidea nondik den?
>>eus<< Do you know where I can buy one of those?	Badakizu non erosi ahal dudan horrelako bat?
>>eus<< He worked hard at the risk of his health.	Gogor lan egin zuen, bere osasunaren kaltean.
>>eus<< I have no time to explain this in detail.	Detaileekin azaltzeko denborarik ez daukat.
>>eus<< I thought Tom might ask Mary to help him.	Tomek Mary laguntza eskatu ziola pentsatu nuen.
>>eus<< Tom told me he was determined to do that.	Tomek esan zidan Mary gose zela uste zuela.
>>eus<< You know something about this, don't you?	Zuk badakizu zerbait honi buruz, ezta?
>>eus<< Can someone tell me where the keyboard is?	Esan ahal dit norbaitek giltzadia non dagoen?
>>eus<< He made an important scientific discovery.	Aurkikunta zientifiko garrantzitsua egin zuen.
>>eus<< His name is known to everyone in our town.	Bere izena herri osoan da ezaguna.
>>eus<< I cheered myself up by listening to music.	Musika entzunez igo nuen nire animoa.
>>eus<< I didn't do that because I didn't want to.	Ez nuen gauza hori egin, nahi ez nuelako.
>>eus<< I didn't drink much at last night's party.	Ez nuen asko edan atzoko festan.
>>eus<< I didn't have enough money to pay my rent.	Alokairua ordaintzeko diru nahikoa ez dut.
>>eus<< I studied English very hard day after day.	Ingelesa goror ikasi nuen egunero-egunero.
>>eus<< It would be better for you not to do that.	Hobeto izango da hori egiten ez baduzu.
>>eus<< There can be more than one correct answer.	Erantzun zuzen bat baino gehiago egon ahal dira.
>>eus<< Tom and Mary went to the harvest festival.	Tom eta Mary uzta-jaialdira joan ziren.
>>eus<< Tom told Mary not to be afraid to do that.	Tomek hori egiteko beldurrik ez izatea esan zion Maryri
>>eus<< You must be careful not to make Tom angry.	Kontuz ibili behar zara Tom ez azerretzeko.
>>eus<< All of a sudden, the door shut with a bang.	Bat-batean, ate kolpe batez itxi zen.
>>eus<< He guessed the answers with great accuracy.	Erantzuna asmatu zuen zehaztasun handiz.
>>eus<< I met my teacher on the way to the station.	Geltokirako bidean nire irakaslearekin topo egin nuen.
>>eus<< Tom spent his thirtieth birthday in Boston.	Tom-ek, Bostonen pasatu zuen bere hamahirugarren urtebetetzea.
>>eus<< Do you think Tom believed what you told him?	Uste duzu Tomek esan zeniola sinetsi zuela?
>>eus<< I couldn't fall asleep because of the noise.	Zaratagatik ezin izan nuen lo hartu.
>>eus<< I don't think I could do that kind of thing.	Ez dut uste horrelako gauzarik egin ahal ditzakedanik.
>>eus<< I like the same kind of music that Tom does.	Tom gustuko duen musika berbera gustuko dut.
>>eus<< It'll take him two days to finish this work.	Lan hau bukatzeko bi egun behar ditu.
>>eus<< Alexander Graham Bell invented the telephone.	Alexander Graham Bell mugikorra asmatu zuen,.
>>eus<< Don't tell me what's possible and what's not.	Ez esan niri zer den posible eta zer ez.
>>eus<< I do not know whether to accept or to refuse.	Ez dakit onartu ala ez.
>>eus<< Napoleon needed money for a war with Britain.	Napoleonek dirua behar izan zuen Britainiaren kontrako gerrarako
>>eus<< People from China play another kind of chess.	Txinatarrek beste xake mota batean ibiltzen dira.
>>eus<< The boy was lying on his stomach watching TV.	Mutila buruz behera zegoen telebistari begira.
>>eus<< We visited the historic sites of the country.	Herrialdeko hiri historikoak bisitatu genituen.
>>eus<< I thought I heard someone banging on the wall.	Norbait horman kolpeka ari zela entzun nuela iruditu zitzaidan.
>>eus<< I've only spoken to Tom once since I got here.	Hor nagoenetik, aldi batean soilik hitz egin dut Tomekin.
>>eus<< I've only spoken to Tom once since I got here.	Hemen nagoenetik bakarrik hitz egin dut aldi batez Tomekin.
>>eus<< Tom didn't tell me the reason why he was late.	Tom ez zidan esan berandu etortzearen arrazoia.
>>eus<< Would you like to have dinner with us tonight?	Gurekin afaltzera etorri nahiko zenuke gaur gauean?
>>eus<< Would you like to have dinner with us tonight?	Gustatuko litzaizuke gauean gurekin afaltzea?
>>eus<< Believe it or not, I'm not sarcastic this time.	Sinetsi edo ez, ez nago sarkastikoa izaten une honetan.
>>eus<< He got up early in order to attend the meeting.	Bileran parte hartzeko goiz jaiki zen.
>>eus<< I began to doubt the accuracy of his statement.	Adierazpen honen zuzentasunaz zalantzatan hasi nintzen.
>>eus<< Tom and Mary have spent a lot of time together.	Tom eta Mary denbora asko igaro dute batera.
>>eus<< Tom and Mary have spent a lot of time together.	Tom eta Mary denbora asko eman dute elkar.
>>eus<< Tom doesn't always understand what's happening.	Tom ez du beti ulertzen pasatzen ari dena.
>>eus<< Tom doesn't remember where he put his passport.	Tom ez du gogoratzen no jarri duen bere pasaportea.
>>eus<< Tom isn't allowed to do just anything he wants.	Tom-ek ia-ia nahi duen edozein gauza egin dezake.
>>eus<< Dinner is ready, so we can eat whenever we want.	Afaria pronto dagoenez, nahi dugunean jan dezakegu.
>>eus<< He translated the book from French into English.	Liburua frantsesetik ingelesera itzuli zuen.
>>eus<< How will you spend the coming three-day holiday?	Nola igaroko dituzu datozen hiru jai egunak?
>>eus<< If you don't have any money, I'll lend you some.	Dirurik ez baduzu, utziko dizut pixka bat.
>>eus<< Tom and Mary have never been to that restaurant.	Tom and Mary ez dira inoiz egon jatetxe horretan.
>>eus<< You seemed convinced that Tom wanted to do that.	Konbentzituta zenidurien oso Tomek hori egin nahi zuela.
>>eus<< You seemed convinced that Tom wanted to do that.	Oso konbentzituta zenidurien Tomek hori egin nahi zuela.
>>eus<< Tom and Mary promised me that they'd wash my car.	Tomek eta Maryk nire autoa garbituko dutela zin egin didate.
>>eus<< Tom and Mary promised me that they'd wash my car.	Tom eta Mary sin egin zidaten nire autoa garbitu zutela.
>>eus<< Tom showed up at the party dressed like a pirate.	Tom pirataz jantzita agertu zen jaian.
>>eus<< Who else, other than you, knows about Tom's past?	Nork gehiago, zutaz gain, ezagutzen Tom-en iragana?
>>eus<< Dozens of young people attended the demonstration.	Dozenaka gazte joan ziren manifestaldira.
>>eus<< He could not accept a strange woman as his mother.	Berak ezingo zuen emakume arrotz bat bere amatzat onartu.
>>eus<< His helplessness appeals to her motherly sympathy.	Bere babesgabetasunak bere amaren gupida eskatzen du.
>>eus<< I met too many people to remember all their names.	Jende gehiegi ezagutu nituen guztien inzenetaz gogoratzeko.
>>eus<< I'd like a chance to explain why I did what I did.	Zergatik egin nuen egin nuena azaltzeko aukera bat izatea gustoko litzaidake.
>>eus<< What sort of people hang out at a place like this?	Zer nolako jendea dabil honelako leku batetan?
>>eus<< When I was your age, I walked to school every day.	Zure adina nuenean, oinez joaten nintzen eskolara egunero.
>>eus<< It's already eleven o'clock. I must be leaving now.	Hamaikak dira jada. Oraintxe joan beharra dut.
>>eus<< Tom said his parents allow him to do what he wants.	Tomem dio gurasoek nahi duena egiten uzten diotela.
>>eus<< I don't have to go back to Boston until next Monday.	Ez dut Bostonera bueltatu behar hurrengo astelehenerarte.
>>eus<< If you don't help me, it won't get finished on time.	Laguntzen ez badidazu, ez dut garaiz amaituko.
>>eus<< It's very impolite of you to decline her invitation.	Ez da batere gizalegekoa bere gonbidapenari muzin egitea.
>>eus<< There was a pink slip waiting for her at the office.	Bazegoen kulero arrosa bat bere zain bulegoan.
>>eus<< They agreed to look into the causes of the accident.	Istripuaren arrazoiak ikertuko zituztela adostu zuten.
>>eus<< Two-thirds of the people here tonight are Canadians.	Gaur gauean hemen dauden pertsonen bi herena Kanadiarrak dira.
>>eus<< You're going to hurt yourself if you aren't careful.	Mina egingo diozu zure buruari kontuz ibiltzen ez bazara.
>>eus<< I'm not sure if that was a good thing or a bad thing.	Ez nago ziur ea gauza ona edo txarra denik.
>>eus<< I'm not sure if that was a good thing or a bad thing.	Ez nago ziur idei on edo txar bat denik.
>>eus<< I'm not sure if that was a good thing or a bad thing.	Ez nago ziur ideia ona edo txarra denik.
>>eus<< No one shall be arbitrarily deprived of his property.	Arrazoirik gabe, ez zaio inori bere jabegoa kenduko.
>>eus<< Tom and Mary have dinner together almost every night.	Tom eta Mary elkarrekin afaltzen dute gauero.
>>eus<< Some people are for the plan and others are against it.	Batzuk planaren alde daude eta beste batzuk aurka.
>>eus<< Tom is suspected of being involved in the bank robbery.	Tom banku batean lapurretan ibili den susmagarri da.
>>eus<< Tom and Mary go to school together almost every morning.	Tom eta Mary elkarrekin joaten dira eskolara goizero.
>>eus<< We stayed up until about 2:30 studying for today's test.	Egon ginen ikasten gaurko azterketarako 2:30k arte.
>>eus<< I've only been here for a day and I already want to leave.	Egun batean bakarrik egon naiz eta jadanik joan nahi dut.
>>eus<< I've only been here for a day and I already want to leave.	Bakarrik egon nintzen egun baterako eta gustatuko litzaidake hemen geratzea.
>>eus<< CO₂ has a lot to do with the so-called greenhouse effect.	CO₂ horrek lotura handia du negutegi efektuarekin.
>>eus<< I thought you were going to keep Tom here until I got back.	Uste nuen zuk Tom hemen mantenduko zenuela ni heltzen nintzen bitartean.
>>eus<< Since he was injured in an accident, he could no longer walk.	Istripu batetan zauritu zenetik, ezin izan du berriz ibili.
>>eus<< U.S.S.R. stands for the "Union of Soviet Socialist Republics".	SESB akronimoak adierazten du Sobietar Errepublika Sozialisten Batasuna.
>>eus<< If you don't have enough money to buy that, I'll lend you some.	Ez badaukazu nahikoa diru hori erosteko, utziko dizut pixka bat.
>>eus<< Some scientists believe that the greenhouse effect is imaginary.	Zientzialari batzuek uste dute negutegi efektua alegiazkoa dela.
>>eus<< In China, there's a saying that you can't judge a person by appearance.	Txinan esaten ari dira pertsona bat bere itxuragatik epai daitekeela.
>>eus<< Today, we can tell how the weather will be with a high degree of accuracy.	Gaur egun esan dezakegu nolako eguraldia egingo duen zehaztasun handiarekin.
>>eus<< Tom wants to know when you'll go to Australia and how long you'll be there.	Tom-ek jakin nahi du noiz joango zaren Australiara eta zenbat denbora emango duzu bertan.
