>>ukr<< Go.	Йди.
>>ukr<< You may go home now.	А зараз можеш іти додому.
>>ukr<< You might like this.	Тобі це може сподобатися.
>>ukr<< You might like this.	Вам це може сподобатися.
>>ukr<< You must be careful.	Ти повинен бути обережний.
>>ukr<< You must be careful.	Ти повинна бути обережна.
>>ukr<< You must be careful.	Мусиш бути обережним.
>>ukr<< You must be kidding!	Ти, мабуть, жартуєш!
>>ukr<< You must be kidding!	Ви, мабуть, жартуєте!
>>ukr<< You must be thirsty.	Тобі, мабуть, хочеться пити.
>>ukr<< You must be thirsty.	Вам, мабуть, хочеться пити.
>>ukr<< You must forgive me.	Маєш мені пробачити.
>>ukr<< You must go at once.	Ти мусиш іти негайно.
>>ukr<< You must study hard.	Ти маєш старанно навчатися.
>>ukr<< You must study more.	Ти повинен більше займатися.
>>ukr<< You must study more.	Ти повинна більше займатися.
>>ukr<< You need a vacation.	Тобі потрібно у відпустку.
>>ukr<< You need protection.	Тобі потрібен захист.
>>ukr<< You need protection.	Вам потрібен захист.
>>ukr<< You need to do that.	Тобі слід зробити це.
>>ukr<< You need to do that.	Вам слід зробити це.
>>ukr<< You need to help me.	Ти мусиш мені допомогти.
>>ukr<< You need to wake up.	Тобі потрібно прокидатися.
>>ukr<< You need to wake up.	Вам потрібно прокидатися.
>>ukr<< You never responded.	Ти так і не відповів.
>>ukr<< You never responded.	Ти так і не відповіла.
>>ukr<< You never stay long.	Ти ніколи не залишаєшся надовго.
>>ukr<< You never stay long.	Ви ніколи не залишаєтеся надовго.
>>ukr<< You ran a red light.	Ви проїхали на червоне світло.
>>ukr<< You said it, not me.	Це ти сказала, а не я.
>>ukr<< You said it, not me.	Це ти сказала, не я.
>>ukr<< You seem articulate.	Ти, здається, вмієш чітко висловлюватися.
>>ukr<< You seem to be lost.	Ти, здається, загубився.
>>ukr<< You seem to be lost.	Ти, здається, загубилася.
>>ukr<< You should be proud.	Тобі слід пишатися.
>>ukr<< You should be proud.	Вам слід пишатися.
>>ukr<< You should call Tom.	Тобі слід зателефонувати Тому.
>>ukr<< You should call Tom.	Вам слід зателефонувати Тому.
>>ukr<< You should eat more.	Ти повинен більше їсти.
>>ukr<< You should eat more.	Тобі слід більше їсти.
>>ukr<< You should eat more.	Вам слід більше їсти.
>>ukr<< You should trust me.	Тобі слід мені довіритися.
>>ukr<< You should trust me.	Вам слід мені довіряти.
>>ukr<< You shouldn't worry.	Тобі не варто турбуватися.
>>ukr<< You shouldn't worry.	Вам не варто турбуватися.
>>ukr<< You smell wonderful.	Ти чудово пахнеш.
>>ukr<< You sound surprised.	Ти здаєшся здивованим.
>>ukr<< You sound surprised.	Ви здаєтеся здивованими.
>>ukr<< You sound surprised.	Ти здаєшся здивованою.
>>ukr<< You speak very fast.	Ви дуже швидко говорите.
>>ukr<< You wait in the car.	Чекай у машині.
>>ukr<< You wait in the car.	Чекайте у машині.
>>ukr<< You were a good boy.	Ти був хорошим хлопчиком.
>>ukr<< You were both drunk.	Ви обидва були п'яні.
>>ukr<< You were both drunk.	Ви обидві були п'яні.
>>ukr<< You were right, Tom.	Ти мав рацію, Томе.
>>ukr<< You were right, Tom.	Ви мали рацію, Томе.
>>ukr<< You were right, Tom.	Томе, ти мав рацію.
>>ukr<< You were right, Tom.	Томе, ви мали рацію.
>>ukr<< You were right, too.	Ти теж мав рацію.
>>ukr<< You were right, too.	Ти теж мала рацію.
>>ukr<< You were seen there.	Тебе там бачили.
>>ukr<< You were seen there.	Вас там бачили.
>>ukr<< You will need a key.	Тобі буде потрібний ключ.
>>ukr<< You won't die today.	Сьогодні ти не помреш.
>>ukr<< You won't die today.	Сьогодні ти не загинеш.
>>ukr<< You won't die today.	Сьогодні ви не загинете.
>>ukr<< You won't die today.	Сьогодні ви не помрете.
>>ukr<< You'd better not go.	Тобі краще не ходити.
>>ukr<< You'd better not go.	Вам краще не ходити.
>>ukr<< You'll catch a cold.	Ти застудишся.
>>ukr<< You'll do fine, Tom.	Ти справишся, Томе.
>>ukr<< You'll do fine, Tom.	Ви справитеся, Томе.
>>ukr<< You'll feel nothing.	Ти нічого не відчуєш.
>>ukr<< You'll feel nothing.	Ви нічого не відчуєте.
>>ukr<< You'll have to move.	Ти муситимеш переїхати.
>>ukr<< You'll have to move.	Ти муситимеш посунутися.
>>ukr<< You'll have to wait.	Вам доведеться зачекати.
>>ukr<< You'll never change.	Ти ніколи не змінишся.
>>ukr<< You'll never escape.	Ти ніколи не втечеш.
>>ukr<< You'll never see it.	Ти його ніколи не побачиш.
>>ukr<< You'll never see it.	Ти її ніколи не побачиш.
>>ukr<< You'll never see it.	Ти цього ніколи не побачиш.
>>ukr<< You'll never see it.	Ви його ніколи не побачите.
>>ukr<< You'll never see it.	Ви її ніколи не побачите.
>>ukr<< You'll never see it.	Ви цього ніколи не побачите.
>>ukr<< You'll probably win.	Ти, ймовірно, переможеш.
>>ukr<< You'll probably win.	Ви, ймовірно, виграєте.
>>ukr<< You'll win for sure.	Немає сумніву, що ти переможеш.
>>ukr<< You're Tom's friend.	Ти друг Тома.
>>ukr<< You're Tom's friend.	Ви друг Тома.
>>ukr<< You're Tom's friend.	Ти подруга Тома.
>>ukr<< You're Tom's friend.	Ви подруга Тома.
>>ukr<< You're a bad father.	Ти поганий батько.
>>ukr<< You're a bad father.	Ви поганий батько.
>>ukr<< You're a bad kisser.	Ти погано цілуєшся.
>>ukr<< You're a bad kisser.	Ти не вмієш цілуватися.
>>ukr<< You're a bright boy.	Ти розумний хлопець.
>>ukr<< You're a good actor.	Ви добрий актор.
>>ukr<< You're a good actor.	Ти добрий актор.
>>ukr<< You're a good coach.	Ти добрий тренер.
>>ukr<< You're a good coach.	Ви добрий тренер.
>>ukr<< You're a good woman.	Ти добра жінка.
>>ukr<< You're a good woman.	Ви добра жінка.
>>ukr<< You're a guest here.	Ти тут гість.
>>ukr<< You're a mean drunk.	Коли ти п'яний, ти сердитий.
>>ukr<< You're a weird lady.	Ви дивна пані.
>>ukr<< You're acting weird.	Ти поводишся дивно.
>>ukr<< You're all adorable.	Ви всі чарівні.
>>ukr<< You're all the same.	Ви всі однакові.
>>ukr<< You're almost right.	Ти майже правий.
>>ukr<< You're always lying.	Ти завжди брешеш.
>>ukr<< You're always lying.	Ви постійно брешете.
>>ukr<< You're an alcoholic.	Ти алкоголік.
>>ukr<< You're an alcoholic.	Ви алкоголік.
>>ukr<< You're an hour late.	Ти запізнився на годину.
>>ukr<< You're an hour late.	Ти запізнилася на годину.
>>ukr<< You're an hour late.	Ви запізнилися на годину.
>>ukr<< You're being a fool.	Ти поводишся нерозумно.
>>ukr<< You're clearly busy.	Ти явно зайнятий.
>>ukr<< You're clearly busy.	Ти явно зайнята.
>>ukr<< You're clearly busy.	Ви явно зайнятий.
>>ukr<< You're clearly busy.	Ви явно зайнята.
>>ukr<< You're clearly busy.	Ви явно зайняті.
>>ukr<< You're disorganized.	Ти неорганізований.
>>ukr<< You're disorganized.	Ви неорганізовані.
>>ukr<< You're disorganized.	Ти неорганізована.
>>ukr<< You're exaggerating.	Ти перебільшуєш.
>>ukr<< You're exaggerating.	Ви перебільшуєте.
>>ukr<< You're going places.	Ти далеко підеш.
>>ukr<< You're going places.	Ви далеко підете.
>>ukr<< You're inconsistent.	Ти непослідовний.
>>ukr<< You're insufferable.	Ти нестерпний.
>>ukr<< You're insufferable.	Ти нестерпна.
>>ukr<< You're insufferable.	Ви нестерпний.
>>ukr<< You're insufferable.	Ви нестерпна.
>>ukr<< You're insufferable.	Ви нестерпні.
>>ukr<< You're irresistible.	Ти чарівний.
>>ukr<< You're irresistible.	Ти чарівна.
>>ukr<< You're just jealous.	Ти просто заздриш.
>>ukr<< You're just jealous.	Ви просто заздрите.
>>ukr<< You're looking good!	Чудово виглядаєш!
>>ukr<< You're looking well.	Ти добре виглядаєш.
>>ukr<< You're looking well.	Ви добре виглядаєте.
>>ukr<< You're looking well.	Добре виглядаєш.
>>ukr<< You're looking well.	Добре виглядаєте.
>>ukr<< You're my last hope.	Ти моя остання надія.
>>ukr<< You're no exception.	Ти не виняток.
>>ukr<< You're no exception.	Ви не виняток.
>>ukr<< You're not Canadian.	Ти не канадієць.
>>ukr<< You're not Canadian.	Ти не канадійка.
>>ukr<< You're not Canadian.	Ви не канадієць.
>>ukr<< You're not Canadian.	Ви не канадійка.
>>ukr<< You're not Canadian.	Ви не канадійці.
>>ukr<< You're not a doctor.	Ви не лікар.
>>ukr<< You're not a doctor.	Ти не лікар.
>>ukr<< You're not an idiot.	Ти не ідіот.
>>ukr<< You're not an idiot.	Ти не ідіотка.
>>ukr<< You're not an idiot.	Ви не ідіот.
>>ukr<< You're not an idiot.	Ви не ідіотка.
>>ukr<< You're not an idiot.	Ти не дурень.
>>ukr<< You're not an idiot.	Ти не дура.
>>ukr<< You're not an idiot.	Ви не дурень.
>>ukr<< You're not an idiot.	Ви не дура.
>>ukr<< You're not watching.	Ти не дивишся.
>>ukr<< You're our prisoner.	Ти наш в'язень.
>>ukr<< You're our prisoner.	Ви наш в'язень.
>>ukr<< You're our prisoner.	Ти наш полонений.
>>ukr<< You're our prisoner.	Ви наш полонений.
>>ukr<< You're our prisoner.	Ти наша полонена.
>>ukr<< You're our prisoner.	Ви наша полонена.
>>ukr<< You're out of sugar.	У тебе скінчився цукор.
>>ukr<< You're out of sugar.	У вас скінчився цукор.
>>ukr<< You're overreacting.	Ти занадто гостро реагуєш.
>>ukr<< You're overreacting.	Ти драматизуєш ситуацію.
>>ukr<< You're part of this.	Ти — частина цього.
>>ukr<< You're part of this.	Ви — частина цього.
>>ukr<< You're really dirty.	Ти дуже брудний.
>>ukr<< You're really dirty.	Ти дуже брудна.
>>ukr<< You're really dirty.	Ви дуже брудні.
>>ukr<< You're really dirty.	Ви дуже брудна.
>>ukr<< You're really dirty.	Ви дуже брудний.
>>ukr<< You're safe in here.	Ти тут у безпеці.
>>ukr<< You're safe in here.	Ви тут у безпеці.
>>ukr<< You're special, Tom.	Ти особливий, Томе.
>>ukr<< You're special, Tom.	Ви особливий, Томе.
>>ukr<< You're special, Tom.	Томе, ти особливий.
>>ukr<< You're special, Tom.	Томе, ви особливий.
>>ukr<< You're the only one.	Ти єдиний.
>>ukr<< You're the only one.	Ти єдина.
>>ukr<< You're the only one.	Ви єдиний.
>>ukr<< You're the only one.	Ви єдина.
>>ukr<< You're the only one.	Ви єдині.
>>ukr<< You're unbelievable.	Ти неймовірний.
>>ukr<< You're unbelievable.	Ти неймовірна.
>>ukr<< You're under arrest.	Тебе заарештовано.
>>ukr<< You're very patient.	Ти дуже терплячий.
>>ukr<< You're very patient.	Ти дуже терпляча.
>>ukr<< You're wasting time.	Ти марно витрачаєш час.
>>ukr<< You're wasting time.	Ти марнуєш час.
>>ukr<< You're wasting time.	Ви марнуєте час.
>>ukr<< You've changed, Tom.	Ти змінився, Томе.
>>ukr<< You've changed, Tom.	Ти переодягнувся, Томе.
>>ukr<< You've defeated Tom.	Ти переміг Тома.
>>ukr<< You've defeated Tom.	Ти перемогла Тома.
>>ukr<< You've defeated Tom.	Ви перемогли Тома.
>>ukr<< You've gone too far.	Ви зайшли занадто далеко.
>>ukr<< You've gone too far.	Ти зайшла занадто далеко.
>>ukr<< You've got one hour.	Ви маєте одну годину.
>>ukr<< You've got one hour.	Ти маєш одну годину.
>>ukr<< You've got problems.	У тебе проблеми.
>>ukr<< You've got problems.	У вас проблеми.
>>ukr<< You've made Tom cry.	Ти довів Тома до сліз.
>>ukr<< You've made Tom cry.	Ти довела Тома до сліз.
>>ukr<< You've paid already.	Ти вже заплатив.
>>ukr<< You've paid already.	Ти вже заплатила.
>>ukr<< You've paid already.	Ви вже заплатили.
>>ukr<< Your French is good.	У тебе добра французька.
>>ukr<< Your French is good.	Ти добре говориш французькою.
>>ukr<< Your French is good.	У вас добра французька.
>>ukr<< Your family is here.	Твоя родина тут.
>>ukr<< Your family is here.	Твоя сім'я тут.
>>ukr<< Your family is here.	Ваша родина тут.
>>ukr<< Your family is here.	Ваша сім'я тут.
>>ukr<< Your father is tall.	Твій батько високий.
>>ukr<< Your father is tall.	У тебе високий батько.
>>ukr<< Your feet are dirty.	Твої ноги брудні.
>>ukr<< Your friend is here.	Твій друг тут.
>>ukr<< Your friend is here.	Ваш друг тут.
>>ukr<< Your friend is here.	Твоя подруга тут.
>>ukr<< Your friend is here.	Ваша подруга тут.
>>ukr<< Your hair is filthy.	У тебе брудне волосся.
>>ukr<< Your hair is pretty.	Маєш гарне волосся.
>>ukr<< Your memory is good.	Маєш добру пам’ять.
>>ukr<< Your order is ready.	Ваше замовлення готове.
>>ukr<< Your shoes are here.	Твоє взуття тут.
>>ukr<< Your shoes are here.	Ваше взуття тут.
>>ukr<< Your tie is crooked.	У тебе криво зав'язана краватка.
>>ukr<< Your tie is crooked.	У тебе перекосилася краватка.
>>ukr<< Your tie looks good.	Твоя краватка має гарний вигляд.
>>ukr<< Your zipper is open.	У тебе розстебнута ширінька!
>>ukr<< Yours is over there.	Твій он там.
>>ukr<< Yours is over there.	Твоя он там.
>>ukr<< Yours is over there.	Твоє он там.
>>ukr<< Yours is over there.	Твої он там.
>>ukr<< Yours is over there.	Ваш он там.
>>ukr<< Yours is over there.	Ваша он там.
>>ukr<< Yours is over there.	Ваші он там.
>>ukr<< Yours is over there.	Твоє там.
>>ukr<< Zebras have stripes.	Зебри мають смуги.
>>ukr<< Zucchinis are green.	Кабачки зелені.
>>ukr<< A cup of tea, please.	Чашку чаю, будь ласка.
>>ukr<< A cup of tea, please.	Прошу одну чашку чаю.
>>ukr<< A horse runs quickly.	Кінь мчить хутко.
>>ukr<< A piano is expensive.	Піаніно дорогі.
>>ukr<< A vigilante shot Tom.	Тома вбив вігілант.
>>ukr<< All I have is a book.	Все, що я маю, — це книжка.
>>ukr<< All my stuff is here.	Всі мої речі тут.
>>ukr<< All right, I give up.	Гаразд, здаюся.
>>ukr<< Almost everyone came.	Прийшли майже всі.
>>ukr<< Am I right this time?	Цього разу я маю рацію?
>>ukr<< Am I under suspicion?	Я під підозрою?
>>ukr<< Am I wasting my time?	Я лише витрачаю час?
>>ukr<< Any of you can do it.	Будь-хто з вас може її зробити.
>>ukr<< Any of you can do it.	Будь-хто з вас може це зробити.
>>ukr<< Any of you can do it.	Будь-хто з вас може цим зайнятися.
>>ukr<< Anyone can volunteer.	Будь-хто може визватися добровольцем.
>>ukr<< Anyone up for tennis?	Хтось хоче пограти в теніс?
>>ukr<< Anything is possible.	Все можливо.
>>ukr<< Anything is possible.	Можливо все.
>>ukr<< Apes are intelligent.	Мавпи розумні.
>>ukr<< Apes are intelligent.	Людиноподібні мавпи розумні.
>>ukr<< Apples grow on trees.	Яблука ростуть на деревах.
>>ukr<< Are the windows open?	Вікна відчинені?
>>ukr<< Are the windows open?	Чи відчинені вікна?
>>ukr<< Are these dogs yours?	Ці собаки твої?
>>ukr<< Are these dogs yours?	Ці собаки ваші?
>>ukr<< Are these eggs fresh?	Ці яйця свіжі?
>>ukr<< Are these your books?	Це твої книжки?
>>ukr<< Are these yours, Tom?	Ці твої, Томе?
>>ukr<< Are these yours, Tom?	Ці ваші, Томе?
>>ukr<< Are those Tom's sons?	Це сини Тома?
>>ukr<< Are those my glasses?	Це мої окуляри?
>>ukr<< Are those my glasses?	Це мої склянки?
>>ukr<< Are we going on foot?	Ми підемо пішки?
>>ukr<< Are we starting soon?	Ми скоро розпочнемо?
>>ukr<< Are you OK with this?	Тебе це влаштовує?
>>ukr<< Are you a Republican?	Ти республіканець?
>>ukr<< Are you a Republican?	Ви республіканець?
>>ukr<< Are you a vegetarian?	Ти вегетаріанець?
>>ukr<< Are you a vegetarian?	Ти вегетаріанка?
>>ukr<< Are you a vegetarian?	Ви вегетаріанець?
>>ukr<< Are you a vegetarian?	Ви вегетаріанка?
>>ukr<< Are you able to swim?	Ти вмієш плавати?
>>ukr<< Are you able to swim?	Ви вмієте плавати?
>>ukr<< Are you accusing Tom?	Ти звинувачуєш Тома?
>>ukr<< Are you afraid of me?	Ти мене боїшся?
>>ukr<< Are you afraid of me?	Ви мене боїтеся?
>>ukr<< Are you all homeless?	Ви бездомні?
>>ukr<< Are you almost ready?	Ти майже готовий?
>>ukr<< Are you almost ready?	Ви майже готові?
>>ukr<< Are you almost ready?	Ти майже готова?
>>ukr<< Are you at home, too?	Ти теж удома?
>>ukr<< Are you at home, too?	Ви теж удома?
>>ukr<< Are you disappointed?	Ти розчарований?
>>ukr<< Are you disappointed?	Ти розчарована?
>>ukr<< Are you disappointed?	Ви розчаровані?
>>ukr<< Are you eating lunch?	Ти обідаєш?
>>ukr<< Are you eating lunch?	Ви обідаєте?
>>ukr<< Are you feeling sick?	Ти погано себе почуваєш?
>>ukr<< Are you feeling sick?	Ви погано себе почуваєте?
>>ukr<< Are you feeling sick?	Ви почуваєте себе хворим?
>>ukr<< Are you feeling sick?	Ви почуваєте себе хворою?
>>ukr<< Are you feeling sick?	Ти почуваєш себе хворим?
>>ukr<< Are you feeling sick?	Ти почуваєш себе хворою?
>>ukr<< Are you following me?	Ти мене розумієш?
>>ukr<< Are you following me?	Ви мене розумієте?
>>ukr<< Are you following me?	Ти мене переслідуєш?
>>ukr<< Are you following me?	Ви мене переслідуєте?
>>ukr<< Are you following me?	Ти слідкуєш за мною?
>>ukr<< Are you following me?	Ви слідкуєте за мною?
>>ukr<< Are you following me?	Ти йдеш за мною?
>>ukr<< Are you following me?	Ви йдете за мною?
>>ukr<< Are you freaking out?	Ти психуєш?
>>ukr<< Are you free tonight?	Ви вільні сьогодні ввечері?
>>ukr<< Are you free tonight?	Ти вільна сьогодні ввечері?
>>ukr<< Are you going or not?	Ти йдеш чи ні?
>>ukr<< Are you going or not?	Ви йдете чи ні?
>>ukr<< Are you going to eat?	Ти їстимеш?
>>ukr<< Are you going to eat?	Ви їстимете?
>>ukr<< Are you going to eat?	Ти будеш їсти?
>>ukr<< Are you going to eat?	Ви будете їсти?
>>ukr<< Are you guys serious?	Ви що, серйозно?
>>ukr<< Are you guys serious?	Хлопці, ви це серйозно?
>>ukr<< Are you in Australia?	Ти в Австралії?
>>ukr<< Are you in Australia?	Ви в Австралії?
>>ukr<< Are you in the sauna?	Ти в сауні?
>>ukr<< Are you in the sauna?	Ви в сауні?
>>ukr<< Are you pregnant yet?	Ти вже вагітна?
>>ukr<< Are you ready to eat?	Ти готовий їсти?
>>ukr<< Are you ready to eat?	Ти готова їсти?
>>ukr<< Are you ready to eat?	Ви готові їсти?
>>ukr<< Are you really a nun?	Ти дійсно чорниця?
>>ukr<< Are you really a nun?	Ти дійсно монахиня?
>>ukr<< Are you retired, Tom?	Томе, ти на пенсії?
>>ukr<< Are you retired, Tom?	Томе, ви на пенсії?
>>ukr<< Are you scared of me?	Ти мене боїшся?
>>ukr<< Are you scared of me?	Ви мене боїтеся?
>>ukr<< Are you staying, Tom?	Томе, ти лишаєшся?
>>ukr<< Are you staying, Tom?	Томе, ви лишаєтеся?
>>ukr<< Are you still around?	Ти все ще поблизу?
>>ukr<< Are you still hungry?	Ти ще голодний?
>>ukr<< Are you still hungry?	Ти ще голодна?
>>ukr<< Are you still hungry?	Ви ще голодний?
>>ukr<< Are you still hungry?	Ви ще голодна?
>>ukr<< Are you still hungry?	Ви ще голодні?
>>ukr<< Are you still in bed?	Ти ще в ліжку?
>>ukr<< Are you still in bed?	Ви ще в ліжку?
>>ukr<< Are you still sleepy?	Ти все ще сонний?
>>ukr<< Are you the last one?	Ти останній?
>>ukr<< Are you the last one?	Ти остання?
>>ukr<< Are you the last one?	Ви крайній?
>>ukr<< Are you their mother?	Ти їхня мати?
>>ukr<< Are you their mother?	Ви їхня мати?
>>ukr<< Are you thirsty, pal?	Ти хочеш пити, друже?
>>ukr<< Are your hands clean?	У тебе чисті руки?
>>ukr<< Are your hands clean?	В тебе чисті руки?
>>ukr<< Are your hands clean?	У вас чисті руки?
>>ukr<< Aren't you a student?	Хіба ти не студент?
>>ukr<< Aren't you a student?	Хіба ви не студент?
>>ukr<< Aren't you a teacher?	Хіба ти не викладач?
>>ukr<< Aren't you a teacher?	Хіба ви не вчитель?
>>ukr<< Aren't you all ready?	Хіба ви всі не готові?
>>ukr<< Aren't you alone now?	Хіба ти зараз не один?
>>ukr<< Aren't you alone now?	Хіба ти зараз не одна?
>>ukr<< Aren't you bored yet?	Ти ще не знудився?
>>ukr<< Aren't you bored yet?	Хіба вам ще не нудно?
>>ukr<< Aren't you bored yet?	Хіба тобі ще не нудно?
>>ukr<< Aren't you coming in?	Ти не зайдеш?
>>ukr<< Aren't you coming in?	Ви не зайдете?
>>ukr<< Aren't you from here?	А ти хіба не тутешній?
>>ukr<< Aren't you from here?	Хіба ти не звідси?
>>ukr<< Aren't you from here?	Хіба ти не місцева?
>>ukr<< Aren't you in a band?	Хіба ти не у музичній групі?
>>ukr<< Aren't you in a band?	Хіба ти не граєш в гурті?
>>ukr<< Aren't you my friend?	Хіба ти не мій друг?
>>ukr<< Aren't you my friend?	Хіба ти не моя подруга?
>>ukr<< Aren't you on a diet?	Хіба ти не на дієті?
>>ukr<< Aren't you on a diet?	Хіба ви не на дієті?
>>ukr<< Aren't you ready yet?	Хіба ти ще не готовий?
>>ukr<< Aren't you ready yet?	Хіба ти ще не готова?
>>ukr<< Aren't you satisfied?	Хіба ти не задоволений?
>>ukr<< Aren't you still mad?	Хіба ти все ще не розлючений?
>>ukr<< Aren't you still mad?	Хіба ти все ще не розлючена?
>>ukr<< Aren't you surprised?	Ти не здивована?
>>ukr<< Aren't you surprised?	Хіба ти не здивований?
>>ukr<< Aren't you surprised?	Хіба ти не здивована?
>>ukr<< Aren't you the mayor?	Хіба ти не мер?
>>ukr<< Aren't you the mayor?	Хіба ви не мер?
>>ukr<< Aren't you two happy?	Хіба ви двоє не щасливі?
>>ukr<< Baby teeth are sharp.	Молочні зуби гострі.
>>ukr<< Bats also have wings.	Кажани теж мають крила.
>>ukr<< Be careful. It's hot.	Обережно, він гарячий.
>>ukr<< Be careful. It's hot.	Обережно, вона гаряча.
>>ukr<< Be careful. It's hot.	Обережно, воно гаряче.
>>ukr<< Be careful. It's hot.	Обережно, спекотно.
>>ukr<< Be proud of yourself.	Пишайся собою.
>>ukr<< Be proud of yourself.	Пишайтеся собою.
>>ukr<< Beauty is subjective.	Краса суб'єктивна.
>>ukr<< Berlin is in Germany.	Берлін знаходиться у Німеччині.
>>ukr<< Birds fly in the sky.	Птахи літають в небі.
>>ukr<< Blood was everywhere.	Скрізь була кров.
>>ukr<< Blood was everywhere.	Кров була скрізь.
>>ukr<< Blow out the candles.	Задуй свічки.
>>ukr<< Blow out the candles.	Задуйте свічки.
>>ukr<< Boston is a big city.	Бостон — велике місто.
>>ukr<< Both dogs are asleep.	Обидва собаки сплять.
>>ukr<< Bring me a dry towel.	Принеси мені сухий рушник.
>>ukr<< Business is business.	Бізнес є бізнес.
>>ukr<< But you're not there.	Але тебе там нема.
>>ukr<< Call Tom immediately.	Негайно заталефонуй до Тома.
>>ukr<< Call Tom immediately.	Негайно заталефонуйте до Тома.
>>ukr<< Call Tom immediately.	Негайно поклич Тома.
>>ukr<< Call Tom immediately.	Негайно покличте Тома.
>>ukr<< Call me this evening.	Зателефонуйте мені сьогодні ввечері.
>>ukr<< Call me when you can.	Зателефонуй мені, коли зможеш.
>>ukr<< Call me when you can.	Зателефонуй мені, коли зможете.
>>ukr<< Can I ask a question?	Можу я поставити питання?
>>ukr<< Can I ask a question?	Я можу поставити запитання?
>>ukr<< Can I ask for a kiss?	Чи я можу попросити поцілунку?
>>ukr<< Can I borrow a shirt?	Можна мені позичити сорочку?
>>ukr<< Can I buy you dinner?	Я можу вас пригостити вечерею?
>>ukr<< Can I eat in my room?	Можня я поїм у себе в кімнаті?
>>ukr<< Can I kiss you again?	Можна знову тебе поцілувати?
>>ukr<< Can I kiss you again?	Можна знову вас поцілувати?
>>ukr<< Can I kiss you again?	Можна ще раз тебе поцілувати?
>>ukr<< Can I kiss you again?	Можна ще раз вас поцілувати?
>>ukr<< Can I sit beside Tom?	Можна мені сісти поруч із Томом?
>>ukr<< Can I speak with Tom?	Чи можу я поговорити з Томом?
>>ukr<< Can I speak with Tom?	Можна мені поговорити з Томом?
>>ukr<< Can I take a message?	Я можу передати повідомлення?
>>ukr<< Can I take your coat?	Можна мені взяти твоє пальто?
>>ukr<< Can I turn on the TV?	Можна увімкнути телевізор?
>>ukr<< Can I turn on the TV?	Можна ввімкнути телевізор?
>>ukr<< Can I use your phone?	Можна скористатися вашим телефоном?
>>ukr<< Can I use your phone?	Можна скористатися твоїм телефоном?
>>ukr<< Can Tom speak French?	Том уміє говорити французькою?
>>ukr<< Can Tom speak French?	Том говорить французькою?
>>ukr<< Can dogs eat bananas?	Собаки їдять банани?
>>ukr<< Can he speak English?	Він говорить англійською?
>>ukr<< Can we colonize Mars?	Ми можемо колонізувати Марс?
>>ukr<< Can we count on them?	Ми можемо на них розраховувати?
>>ukr<< Can we do that again?	Ми можемо зробити це знову?
>>ukr<< Can we do that later?	Ми можемо це зробити пізніше?
>>ukr<< Can we do that later?	Ми можемо зробити це пізніше?
>>ukr<< Can we go for a walk?	Ми можемо піти прогулятися?
>>ukr<< Can we meet tomorrow?	Ми можемо зустрітися завтра?
>>ukr<< Can you come at nine?	Можеш прийти о дев'ятій?
>>ukr<< Can you come with us?	Можеш піти з нами?
>>ukr<< Can you come with us?	Ти можеш піти з нами?
>>ukr<< Can you come with us?	Ви можете піти з нами?
>>ukr<< Can you do the crawl?	Ти вмієш плавати кролем?
>>ukr<< Can you fix my truck?	Можеш відремонтувати мою машину?
>>ukr<< Can you fix my truck?	Можете полагодити мою машину?
>>ukr<< Can you fix my truck?	Можете полагодити мою вантажівку?
>>ukr<< Can you guess my age?	Як ти думаєш, скільки мені років?
>>ukr<< Can you guess my age?	Можеш вгадати, скільки мені років?
>>ukr<< Can you hear me, Tom?	Ти чуєш мене, Томе?
>>ukr<< Can you hear me, Tom?	Ви чуєте мене, Томе?
>>ukr<< Can you imagine that?	Можеш це собі уявити?
>>ukr<< Can you imagine that?	Ти можеш це собі уявити?
>>ukr<< Can you program in C?	Ти можеш програмувати на С?
>>ukr<< Can you program in C?	Ти вмієш програмувати на C?
>>ukr<< Can you program in C?	Ви вмієте програмувати на C?
>>ukr<< Can you ride a horse?	Ти вмієш їздити верхи?
>>ukr<< Can you spare a buck?	Можеш мені позичити один долар?
>>ukr<< Can you speak French?	Ви говорите французькою?
>>ukr<< Can you speak French?	Ти говориш французькою?
>>ukr<< Can you speak French?	Ти вмієш говорити франузькою?
>>ukr<< Can you speak slower?	Можете говорити повільніше?
>>ukr<< Can you translate it?	Ти можеш це перекласти?
>>ukr<< Can you translate it?	Ви можете його перекласти?
>>ukr<< Can you translate it?	Ви можете її перекласти?
>>ukr<< Can you translate it?	Ви можете це перекласти?
>>ukr<< Can you translate it?	Можеш його перекласти?
>>ukr<< Can you translate it?	Можеш її перекласти?
>>ukr<< Can you translate it?	Можеш це перекласти?
>>ukr<< Can you translate it?	Ти можеш його перекласти?
>>ukr<< Can you translate it?	Ти можеш її перекласти?
>>ukr<< Can't you wait a bit?	Хіба ти не можеш трохи зачекати?
>>ukr<< Cattle feed on grass.	Худоба їсть траву.
>>ukr<< Children need loving.	Діти потребують любові.
>>ukr<< Children were crying.	Діти плакали.
>>ukr<< Clean up the kitchen.	Прибери на кухні.
>>ukr<< Clean up the kitchen.	Приберіть на кухні.
>>ukr<< Colds are contagious.	Застуда заразна.
>>ukr<< Come and take a look.	Йди глянь.
>>ukr<< Come and take a look.	Йдіть гляньте.
>>ukr<< Come and take a look.	Йди подивися.
>>ukr<< Come and take a look.	Йдіть подивіться.
