>>nob<< Run!	Løp!
>>nob<< I was sitting there.	Jeg satt der.
>>nob<< I will be back soon.	Jeg er straks tilbake.
>>nob<< I will be back soon.	Jeg er snart tilbake.
>>nob<< I will miss you all.	Jeg vil savne dere alle sammen.
>>nob<< I wish I could swim.	Jeg skulle ønske jeg kunne svømme.
>>nob<< I wish Tom was here.	Jeg skulle ønske Tom var her.
>>nob<< I'll let you decide.	Jeg lar deg bestemme.
>>nob<< I'll never help you.	Jeg vil aldri hjelpe deg.
>>nob<< I'm a tennis player.	Jeg er tennisspiller.
>>nob<< I'm against the war.	Jeg er imot krigen.
>>nob<< I'm bad at swimming.	Jeg er dårlig til å svømme.
>>nob<< I'm blind, not deaf.	Jeg er blind, ikke døv.
>>nob<< I'm counting on you.	Jeg stoler på deg.
>>nob<< I'm drinking coffee.	Jeg drikker kaffe.
>>nob<< I'm dying of thirst.	Jeg tørster i hjel.
>>nob<< I'm going to school.	Jeg skal på skolen.
>>nob<< I'm good at singing.	Jeg er god til å synge.
>>nob<< I'm in good company.	Jeg er i godt selskap.
>>nob<< I'm just a comedian.	Jeg er bare en komiker.
>>nob<< I'm not incompetent.	Jeg er ikke inkompetent.
>>nob<< I'm pretty stubborn.	Jeg er ganske sta.
>>nob<< I'm unemployed, too.	Jeg er også arbeidsledig.
>>nob<< I'm very hungry now.	Jeg er veldig sulten nå.
>>nob<< I've been very busy.	Jeg har vært veldig opptatt.
>>nob<< I've changed my job.	Jeg har skiftet jobb.
>>nob<< I've lost my wallet.	Jeg har mistet lommeboken min.
>>nob<< I've seen Tom naked.	Jeg har sett Tom naken.
>>nob<< Is it far from here?	Er det langt herfra?
>>nob<< Is this seat vacant?	Er dette setet ledig?
>>nob<< Is your mother here?	Er moren din her?
>>nob<< It isn't real money.	Det er ikke ekte penger.
>>nob<< It makes them crazy.	Det gjør dem gale.
>>nob<< It rained every day.	Det regnet hver dag.
>>nob<< It was just a dream.	Det var bare en drøm.
>>nob<< It was only a dream.	Det var bare en drøm.
>>nob<< It was only a rumor.	Det var bare et rykte.
>>nob<< It was pretty funny.	Det var ganske morsomt.
>>nob<< It was rather funny.	Det var ganske morsomt.
>>nob<< It was really cheap.	Det var veldig billig.
>>nob<< Just tell the truth.	Bare si sannheten.
>>nob<< Keep your eyes open.	Hold øynene åpne.
>>nob<< Let's buy something.	La oss kjøpe noe.
>>nob<< Let's try something.	La oss prøve noe.
>>nob<< Monkeys climb trees.	Aper klaterer i trær.
>>nob<< My family loved Tom.	Familien min elsket Tom.
>>nob<< My room is a pigsty.	Rommet mitt er en svinesti.
>>nob<< No one wants to eat.	Ingen vil spise.
>>nob<< No reason was given.	Ingen grunn ble gitt.
>>nob<< No weapon was found.	Ingen våpen ble funnet.
>>nob<< No, it doesn't hurt.	Nei, det gjør ikke vondt.
>>nob<< Now eat your supper.	Spis middagen din nå.
>>nob<< Put on this sweater.	Ta på denne genseren.
>>nob<< Put those guns away.	Legg vekk Pistolene.
>>nob<< She cannot stop him.	Hun kan ikke stoppe ham.
>>nob<< She has no brothers.	Hun har ingen brødre.
>>nob<< She seldom goes out.	Hun går sjelden ut.
>>nob<< She still loved him.	Hun elsket ham fremdeles.
>>nob<< She wants a new hat.	Hun vil ha en ny hatt.
>>nob<< She's a tough woman.	Hun er en tøff kvinne.
>>nob<< She's strong-willed.	Hun er viljesterk.
>>nob<< Somehow we survived.	På en eller annen måte overlevde vi.
>>nob<< Something is coming.	Noe er i ferd med å skje.
>>nob<< Take off your socks.	Ta av deg sokkene.
>>nob<< Tell me where it is.	Fortell meg hvor det er.
>>nob<< That glass is yours.	Det glasset er ditt.
>>nob<< That isn't a secret.	Det er ikke en hemmelighet.
>>nob<< That was my promise.	Det var det jeg hadde lovet.
>>nob<< That's a good point.	Det er et godt poeng.
>>nob<< That's a long story.	Det er en lang historie.
>>nob<< That's all I've got.	Det er alt jeg har.
>>nob<< That's not a secret.	Det er ikke en hemmelighet.
>>nob<< That's not uncommon.	Det er ikke uvanlig.
>>nob<< That's our decision.	Det er vår avgjørelse.
>>nob<< The computer is new.	Datamaskinen er ny.
>>nob<< The dog is sleeping.	Hunden sover.
>>nob<< The fight continues.	Kampen fortsetter.
>>nob<< The forest was dark.	Skogen var mørk.
>>nob<< The group disbanded.	Gruppen oppløste seg.
>>nob<< The meat was tender.	Kjøttet var mørt.
>>nob<< The ship is sinking.	Skipet synker.
>>nob<< The wind has abated.	Vinden har roet seg.
>>nob<< There's no solution.	Det er ingen løsning.
>>nob<< These are the rules.	Dette er reglene.
>>nob<< These shoes are old.	Disse skoene er gamle.
>>nob<< They are unreliable.	De er upålitelige.
>>nob<< They didn't find it.	De fant det ikke.
>>nob<< They didn't find it.	De fant den ikke.
>>nob<< They're unconscious.	De er bevisstløse.
>>nob<< This is good enough.	Dette er bra nok.
>>nob<< This novel bores me.	Denne romanen kjeder meg.
>>nob<< This table is round.	Dette bordet er rundt.
>>nob<< Tom broke the rules.	Tom brøt reglene.
>>nob<< Tom could be insane.	Det er mulig at Tom er gal.
>>nob<< Tom did a great job.	Tom gjorde et fantastisk arbeid.
>>nob<< Tom did it for Mary.	Tom gjorde det for Mary.
>>nob<< Tom did that before.	Tom gjorde det før.
>>nob<< Tom didn't blame me.	Tom skyldte ikke på meg.
>>nob<< Tom had seen enough.	Tom hadde sett nok.
>>nob<< Tom has a black eye.	Tom har et blått øye.
>>nob<< Tom has seen enough.	Tom har sett nok.
>>nob<< Tom is a bad father.	Tom er en dårlig far.
>>nob<< Tom is a consultant.	Tom er konsulent.
>>nob<< Tom is a good coach.	Tom er en god trener.
>>nob<< Tom is a greedy man.	Tom er en grådig mann.
>>nob<< Tom is a strong guy.	Tom er en sterk fyr.
>>nob<< Tom is a strong guy.	Tom er en sterk kis.
>>nob<< Tom is a strong guy.	Tom er en sterk type.
>>nob<< Tom is a strong kid.	Tom er et sterkt barn.
>>nob<< Tom is already home.	Tom er allerede hjemme.
>>nob<< Tom is between jobs.	Tom er arbeidsløs.
>>nob<< Tom is not an idiot.	Tom er ikke en idiot.
>>nob<< Tom is quite greedy.	Tom er ganske grådig.
>>nob<< Tom is really quiet.	Tom er veldig stille.
>>nob<< Tom kept on walking.	Tom fortsatte å gå.
>>nob<< Tom needs a crowbar.	Tom trenger et brekkjern.
>>nob<< Tom never lost hope.	Tom ga aldri opp håpet.
>>nob<< Tom refuses to talk.	Tom nekter å snakke.
>>nob<< Tom taught me a lot.	Tom lærte meg mye.
>>nob<< Tom tried to hit me.	Tom prøvde å slå meg.
>>nob<< Tom was very greedy.	Tom var veldig grådig.
>>nob<< Tom wasn't a hippie.	Tom var ikke en hippie.
>>nob<< Tom wasn't flirting.	Tom flørtet ikke.
>>nob<< Tom weighed himself.	Tom veide seg.
>>nob<< Tom yelled for help.	Tom ropte etter hjelp.
>>nob<< Tom's not breathing.	Tom puster ikke mer.
>>nob<< Tom's older than me.	Tom er eldre enn meg.
>>nob<< Try to visualize it.	Prøv å visualisere det.
>>nob<< We can't allow this.	Vi kan ikke tillate dette.
>>nob<< We washed our hands.	Vi vasket hendene våre.
>>nob<< We're proud of that.	Vi er stolte av det.
>>nob<< We're still talking.	Vi snakker fortsatt.
>>nob<< We've been attacked.	Vi har blitt angrepet.
>>nob<< Wear something blue.	Ta på deg noe blått.
>>nob<< What are you baking?	Hva baker du?
>>nob<< What did you answer?	Hva svarte du?
>>nob<< What is on the desk?	Hva ligger på skrivebordet?
>>nob<< What is popular now?	Hva er populært nå?
>>nob<< What lovely weather!	For et herlig vær!
>>nob<< When did you get up?	Når stod du opp?
>>nob<< When will you leave?	Når drar du?
>>nob<< When will you leave?	Når går du?
>>nob<< Where are you going?	Hvor skal du?
>>nob<< Where have you been?	Hvor har du vært?
>>nob<< Where is the toilet?	Hvor er toalettet?
>>nob<< Where's your friend?	Hvor er vennen din?
>>nob<< Where's your school?	Hvor er skolen din?
>>nob<< Where's your sister?	Hvor er søsteren din?
>>nob<< Where's your sister?	Hvor er søsteren deres?
>>nob<< Who is your teacher?	Hvem er læreren din?
>>nob<< Who owns that house?	Hvem eier det huset?
>>nob<< Who wrote that poem?	Hvem skrev det diktet?
>>nob<< Who wrote this poem?	Hvem skrev dette diktet?
>>nob<< Why didn't Tom sing?	Hvorfor sang ikke Tom?
>>nob<< Why is Tom not here?	Hvorfor er ikke Tom her?
>>nob<< Why were you crying?	Hvorfor gråt du?
>>nob<< You can rely on him.	Du kan stole på ham.
>>nob<< You have soft hands.	Du har myke hender.
>>nob<< You have to help us.	Du må hjelpe oss.
>>nob<< You knew I was here.	Du visste at jeg var her.
>>nob<< You know why I left.	Du vet hvorfor jeg dro.
>>nob<< You know, don't you?	Du vet, gjør du ikke?
>>nob<< You look very tired.	Du ser veldig trøtt ut.
>>nob<< You may go home now.	Nå kan du gå hjem.
>>nob<< You may not come in.	Du får ikke komme inn.
>>nob<< You should call Tom.	Du burde ringe Tom.
>>nob<< You'd better not go.	Du bør ikke gå.
>>nob<< You're irresistible.	Du er uimotståelig.
>>nob<< You're just in time.	Du er akkurat tidsnok.
>>nob<< You're not too late.	Dere er ikke for seine.
>>nob<< You're still my son.	Du er fortsatt sønnen min.
>>nob<< You're way too late.	Du er alt for sen.
>>nob<< A horse is an animal.	En hest er et dyr.
>>nob<< Anyone could do that.	Hvem som helst kunne gjort det.
>>nob<< Are you almost ready?	Er du nesten klar?
>>nob<< Are you ready to eat?	Er du klar for å spise?
>>nob<< Are you ready to fly?	Er du klar til å fly?
>>nob<< Are your hands clean?	Er hendene dine rene?
>>nob<< But who is the enemy?	Men hvem er fienden?
>>nob<< Can you speak French?	Kan du snakke fransk?
>>nob<< Do they like oranges?	Liker de appelsiner?
>>nob<< Do you have a sister?	Har du en søster?
>>nob<< Do you have a sister?	Har dere en søster?
>>nob<< Do you have any pets?	Har du kjæledyr?
>>nob<< Do you have the keys?	Har du nøklene?
>>nob<< Do you speak English?	Snakker du engelsk?
>>nob<< Do you study English?	Studerer du engelsk?
>>nob<< Do you talk about us?	Snakker du om oss?
>>nob<< Do you talk about us?	Snakker dere om oss?
>>nob<< Does Tom play soccer?	Spiller Tom fotball?
>>nob<< Don't be so stubborn.	Ikke vær så sta.
>>nob<< Don't disappoint him.	Ikke skuff han.
>>nob<< Don't eat like a pig.	Ikke spis som en gris.
>>nob<< Don't go there alone.	Ikke gå dit alene.
>>nob<< Don't go there alone.	Ikke gå der alene.
>>nob<< Don't pass out on me.	Ikke besvim.
>>nob<< Don't worry about us.	Ikke bekymre deg for oss.
>>nob<< Everything's changed.	Alt har forandret seg.
>>nob<< Finally, it's Friday.	Endelig er det fredag.
>>nob<< Go and see who it is.	Gå og se hvem det er.
>>nob<< Go back to your seat.	Gå tilbake til plassen din.
>>nob<< Good night, everyone!	God natt, alle sammen!
>>nob<< Guys are predictable.	Gutter er forutsigbare.
>>nob<< Have a pleasant trip.	God tur.
>>nob<< Have you finished it?	Har du gjort det ferdig?
>>nob<< Have you lost weight?	Har du gått ned i vekt?
>>nob<< Have you told anyone?	Har du fortalt noen?
>>nob<< He committed suicide.	Han begikk selvmord.
>>nob<< He did nothing wrong.	Han gjorde ingenting feil.
>>nob<< He didn't say a word.	Han sa ikke et ord.
>>nob<< He has a few friends.	Han har et par venner.
>>nob<< He has a foreign car.	Han har en utenlandsk bil.
>>nob<< He has a good memory.	Han har god hukommelse.
>>nob<< He is about your age.	Han er omtrent på din alder.
>>nob<< He is afraid of dogs.	Han er redd for hunder.
>>nob<< He is good at tennis.	Han er god i tennis.
>>nob<< He is reading a book.	Han leser ei bok.
>>nob<< He isn't here, is he?	Han er ikke her, sant?
>>nob<< He misses his family.	Han savner familien sin.
>>nob<< He often plays piano.	Han spiller ofte piano.
>>nob<< He was an honest man.	Han var en ærlig mann.
>>nob<< He's greedy and lazy.	Han er grådig og lat.
>>nob<< Hey you, don’t run!	Hei du, ikke løp!
>>nob<< How can you say that?	Hvordan kan du si det?
>>nob<< How is your daughter?	Hvordan går det med dattera di?
>>nob<< How much did it cost?	Hvor mye kostet det?
>>nob<< How much did it cost?	Hvor mye kostet den?
>>nob<< How was today's test?	Hvordan var prøven i dag?
>>nob<< How was your holiday?	Hvordan var ferien din?
>>nob<< I admire his courage.	Jeg beundrer motet hans.
>>nob<< I am a tennis player.	Jeg er tennisspiller.
>>nob<< I am also unemployed.	Jeg er også arbeidsledig.
>>nob<< I am no longer tired.	Jeg er ikke trøtt lenger.
>>nob<< I asked for his help.	Jeg ba om hans hjelp.
>>nob<< I asked for his help.	Jeg ba han om hjelp.
>>nob<< I ate a lot of pizza.	Jeg spiste mye pizza.
>>nob<< I ate too much today.	Jeg spiste for mye i dag.
>>nob<< I borrowed Tom's car.	Jeg lånte bilen til Tom.
>>nob<< I called my attorney.	Jeg ringte min advokat.
>>nob<< I can swim very fast.	Jeg kan svømme veldig fort.
>>nob<< I can't see anything.	Jeg kan ikke se noe.
>>nob<< I didn't look at Tom.	Jeg så ikke på Tom.
>>nob<< I don't like cookies.	Jeg liker ikke kaker.
>>nob<< I don't mind anymore.	Jeg bryr meg ikke lenger.
>>nob<< I don't mind waiting.	Jeg kan godt vente.
>>nob<< I found him the book.	Jeg fant boken til han.
>>nob<< I get off there, too.	Jeg går av der også.
>>nob<< I guess you're right.	Du har vel rett.
>>nob<< I had an inspiration.	Jeg hadde en inspirasjon.
>>nob<< I hard-boiled an egg.	Jeg hardkokte et egg.
>>nob<< I hate doing laundry.	Jeg hater å ta klesvasken.
>>nob<< I hate greedy people.	Jeg hater grådige folk.
>>nob<< I have a stomachache.	Jeg har vondt i magen.
>>nob<< I have three cameras.	Jeg har tre kameraer.
>>nob<< I have two daughters.	Jeg har to døtre.
>>nob<< I hope that's enough.	Jeg håper det er nok.
>>nob<< I just took a shower.	Jeg var nettopp i dusjen.
>>nob<< I know what you mean.	Jeg vet hva du mener.
>>nob<< I like eating apples.	Jeg liker å spise epler.
>>nob<< I need a new bicycle.	Jeg trenger en ny sykkel.
>>nob<< I need to read a lot.	Jeg må lese mye.
>>nob<< I never eat at night.	Jeg spiser aldri om natten.
>>nob<< I never even saw Tom.	Jeg så aldri Tom engang.
>>nob<< I never even saw you.	Jeg så deg aldri engang.
>>nob<< I often speak French.	Jeg snakker ofte fransk.
>>nob<< I regret going there.	Jeg angrer på å ha dratt dit.
>>nob<< I remember them well.	Jeg husker dem godt.
>>nob<< I think he was angry.	Jeg tror han var sint.
>>nob<< I think you know why.	Jeg tror du vet hvorfor.
>>nob<< I think you're right.	Jeg tror du har rett.
>>nob<< I walked up the hill.	Jeg gikk opp bakken.
>>nob<< I want a lot of them.	Jeg vil ha mange av dem.
>>nob<< I want an MP3 player!	Jeg vil ha MP3-spiller!
>>nob<< I wanted to continue.	Jeg ville fortsette.
>>nob<< I wanted to remember.	Jeg ville huske.
>>nob<< I wanted to warn you.	Jeg ville gi deg en advarsel.
>>nob<< I wish Tom were dead.	Jeg skulle ønske Tom var død.
>>nob<< I wish Tom were here.	Jeg skulle ønske Tom var her.
>>nob<< I wish this was over.	Jeg skulle ønske dette var over.
>>nob<< I wish this was over.	Jeg skulle ønske dette var ferdig.
>>nob<< I'll admit I'm wrong.	Jeg innrømmer at jeg tok feil.
>>nob<< I'll be watching you.	Jeg vil holde et øye med deg.
>>nob<< I'll be watching you.	Jeg kommer til å holde et øye med deg.
>>nob<< I'll buy you a drink.	Jeg kjøper deg en drink.
>>nob<< I'll give you a book.	Jeg skal gi deg en bok.
>>nob<< I'm Mary's boyfriend.	Jeg er kjæresten til Mary.
>>nob<< I'm also from Boston.	Jeg er også fra Boston.
>>nob<< I'm an archaeologist.	Jeg er arkeolog.
>>nob<< I'm an office worker.	Jeg er kontorarbeider.
>>nob<< I'm depending on you.	Jeg stoler på deg.
>>nob<< I'm doing my laundry.	Jeg vasker klærne mine.
>>nob<< I'm glad you're safe.	Jeg er glad du er trygg.
>>nob<< I'm not accusing you.	Jeg anklager deg ikke.
>>nob<< I'm not accusing you.	Jeg anklager dere ikke.
>>nob<< I'm not disorganized.	Jeg er ikke uorganisert.
>>nob<< I'm perfectly normal.	Jeg er helt normal.
>>nob<< I'm studying English.	Jeg studerer engelsk.
>>nob<< I'm sure I'll manage.	Jeg er sikker på at jeg vil klare meg.
>>nob<< I'm totally confused.	Jeg er helt forvirret.
>>nob<< I'm walking with her.	Jeg går sammen med henne.
>>nob<< I've got a good idea.	Jeg har en god idé.
>>nob<< I've had it with you.	Jeg har fått nok av deg.
>>nob<< I've lost my car key.	Jeg har mistet bilnøklene mine.
>>nob<< I've made up my mind.	Jeg har bestemt meg.
>>nob<< Ignore what Tom said.	Ikke bry deg om hva Tom sa.
>>nob<< Ignore what Tom said.	Ignorér hva Tom sa.
>>nob<< Is Tom at your place?	Er Tom hos deg?
>>nob<< Is Tom drinking beer?	Drikker Tom øl?
>>nob<< Is this your bicycle?	Er dette din sykkel?
>>nob<< Isn't that confusing?	Er ikke det forvirrende?
>>nob<< It gets on my nerves.	Det går meg på nervene.
>>nob<< It glows in the dark.	Den lyser i mørket.
>>nob<< It happened suddenly.	Det skjedde plutselig.
>>nob<< It is very hot today.	Det er veldig varmt i dag.
>>nob<< It took half an hour.	Det tok en halvtime.
>>nob<< It's a family secret.	Det er en familiehemmelighet.
>>nob<< It's a great theater.	Det er et flott teater.
>>nob<< It's a piece of cake.	Det er lett som ingenting.
>>nob<< It's a waste of time.	Det er bortkastet tid.
>>nob<< Keep your voice down.	Snakk lavere.
>>nob<< Let me try something.	La meg prøve noe.
>>nob<< May I ask a question?	Kan jeg stille et spørsmål?
>>nob<< May I ask a question?	Kan jeg spørre deg om noe?
>>nob<< May I go out to play?	Kan jeg gå ut og leke?
>>nob<< May I take a message?	Kan jeg ta en beskjed?
>>nob<< Mission accomplished.	Oppdrag utført.
>>nob<< Money does not smell.	Penger lukter ikke.
>>nob<< My house was on fire.	Huset mitt sto i brann.
>>nob<< My house was on fire.	Huset mitt stod i brann.
>>nob<< My mother loves cake.	Moren min elsker kake.
>>nob<< My mother loves cake.	Mora mi elsker kake.
>>nob<< Never come back here.	Kom aldri tilbake hit igjen!
>>nob<< Nightmares are scary.	Mareritt er skumle.
>>nob<< Not all adults drink.	Ikke alle voksne drikker.
>>nob<< Our train is delayed.	Toget vårt er forsinket.
>>nob<< Rabbits like carrots.	Kaniner liker gulrøtter.
>>nob<< She became a postman.	Hun ble en postdame.
>>nob<< She got what he said.	Hun skjønte hva han sa.
>>nob<< She is a quiet woman.	Hun er en stille kvinne.
>>nob<< She may have said so.	Kanskje hun sa det.
>>nob<< She sent me a letter.	Hun sendte meg et brev.
>>nob<< She tried not to cry.	Hun forsøkte å ikke gråte.
>>nob<< She wants to kill me.	Hun vil drepe meg.
>>nob<< Sometimes it happens.	Noen ganger skjer det.
>>nob<< Sorry, that's a typo.	Beklager, det var en skrivefeil.
>>nob<< That's his specialty.	Det er hans spesialitet.
>>nob<< That's my toothbrush.	Det er min tannbørste.
>>nob<< The boy came running.	Gutten kom løpende.
>>nob<< The brown hat is old.	Den brune hatten er gammel.
>>nob<< The garage was empty.	Garasjen var tom.
>>nob<< The gun isn't loaded.	Pistolen er ikke ladd.
>>nob<< The horse is jumping.	Hesten hopper.
>>nob<< The horse is thirsty.	Hesten er tørst.
>>nob<< The house is haunted.	Huset er hjemsøkt.
>>nob<< The house is haunted.	Det spøker i huset.
>>nob<< The more, the better.	Jo mer, desto bedre.
>>nob<< The proof is trivial.	Beviset er trivielt.
>>nob<< The room smelled bad.	Rommet luktet vondt.
>>nob<< The ship ran aground.	Skipet gikk på grunn.
>>nob<< The text is too long.	Teksten er for lang.
>>nob<< The wind calmed down.	Vinden har roet seg.
>>nob<< There is no solution.	Det er ingen løsning.
>>nob<< They want to kill me.	De vil drepe meg.
>>nob<< They're tears of joy.	Det er gledestårer.
>>nob<< This apple is rotten.	Dette eplet er råttent.
>>nob<< This cat is very fat.	Denne katten er veldig fet.
>>nob<< This gift is for you.	Denne gaven er til deg.
>>nob<< This is a true story.	Denne fortellingen er sann.
>>nob<< This is my house key.	Dette er husnøkkelen min.
>>nob<< This is our decision.	Dette er vår avgjørelse.
>>nob<< This isn't Tom's car.	Dette er ikke Toms bil.
>>nob<< This meat smells bad.	Dette kjøttet lukter dårlig.
>>nob<< This must be for you.	Dette må være for deg.
>>nob<< This will cost €30.	Dette vil koste €30.
>>nob<< Those houses are big.	De husene er store.
>>nob<< Tom agrees with them.	Tom er enig med dem.
>>nob<< Tom almost got fired.	Tom fikk nesten sparken.
>>nob<< Tom almost got fired.	Tom ble nesten oppsagt.
>>nob<< Tom breaks the rules.	Tom bryter reglene.
>>nob<< Tom doesn't get paid.	Tom får ikke betalt.
>>nob<< Tom doesn't have tea.	Tom har ikke te.
>>nob<< Tom fed the chickens.	Tom fôret hønsene.
>>nob<< Tom has helped a lot.	Tom har hjulpet oss mye.
>>nob<< Tom has killed again.	Tom har drept igjen.
>>nob<< Tom has no allergies.	Tom har ingen allergier.
>>nob<< Tom has no neighbors.	Tom har ingen naboer.
>>nob<< Tom is a good driver.	Tom er en god sjåfør.
>>nob<< Tom is different now.	Tom er annerledes nå.
>>nob<< Tom is just visiting.	Tom er bare på besøk.
>>nob<< Tom is looking tired.	Tom ser sliten ut.
>>nob<< Tom is losing weight.	Tom går ned i vekt.
>>nob<< Tom is pretty greedy.	Tom er ganske grådig.
>>nob<< Tom is really greedy.	Tom er virkelig grådig.
>>nob<< Tom is still outside.	Tom er fremdeles utenfor.
>>nob<< Tom is still outside.	Tom er fremdeles utendørs.
>>nob<< Tom is still outside.	Tom er fortsatt ute.
>>nob<< Tom is very stubborn.	Tom er veldig sta.
>>nob<< Tom left an hour ago.	Tom dro for en time siden.
>>nob<< Tom must've gone out.	Tom må ha gått ut.
>>nob<< Tom never was greedy.	Tom var aldri grådig.
>>nob<< Tom wants to keep it.	Tom vil beholde den.
>>nob<< Tom wants to keep it.	Tom vil beholde det.
>>nob<< Tom was a greedy man.	Tom var en grådig mann.
>>nob<< Tom wasn't very good.	Tom var ikke veldig god.
>>nob<< Tom wasn't very good.	Tom var ikke veldig dyktig.
>>nob<< We already know that.	Det vet vi allerede.
>>nob<< We have planned well.	Vi har planlagt godt.
>>nob<< We have to talk, Tom.	Vi må snakke, Tom.
>>nob<< We know who they are.	Jeg vet hvem de er.
>>nob<< We met along the way.	Vi møttes på veien.
>>nob<< We ran down the hill.	Vi løp ned bakken.
>>nob<< We sell orange juice.	Vi selger appelsinjuice.
>>nob<< We're both Catholics.	Vi er begge katolikker.
>>nob<< We're pretty excited.	Vi er ganske spente.
>>nob<< What are you reading?	Hva er det du leser?
>>nob<< What do you want now?	Hva er det nå du vil?
>>nob<< What do you want now?	Hva vil du nå?
>>nob<< What happened to Tom?	Hva skjedde med Tom?
>>nob<< What was the message?	Hva var meldingen?
>>nob<< When can you do that?	Når kan du gjøre det?
>>nob<< When can you do that?	Når kan dere gjøre det?
>>nob<< Where are your socks?	Hvor er sokkene dine?
>>nob<< Where are your socks?	Hvor er sokkene deres?
>>nob<< Where is your school?	Hvor er skolen din?
>>nob<< Where's the restroom?	Hvor er toalettet?
>>nob<< Which way will we go?	Hvilken vei skal vi gå?
>>nob<< Who am I speaking to?	Hvem snakker jeg med?
>>nob<< Who are those people?	Hvem er de folkene?
>>nob<< Who are your parents?	Hvem er foreldrene dine?
>>nob<< Whose guitar is this?	Hvem sin gitar er dette?
>>nob<< Whose guitar is this?	Hvem eier denne gitaren?
>>nob<< Why did you go there?	Hvorfor gikk du dit da?
>>nob<< Why don't we go home?	Skal vi gå hjem?
>>nob<< Why would I be happy?	Hvorfor skulle jeg være glad?
>>nob<< You are irresistible.	Du er uimotståelig.
>>nob<< You can bank on that.	Det kan du banne på.
>>nob<< You can use this car.	Du kan bruke denne bilen.
>>nob<< You can't be serious.	Det kan du ikke mene.
>>nob<< You can't be serious.	Det mener du ikke.
>>nob<< You could've done it.	Du kunne klart det.
>>nob<< You look happy today.	Du ser glad ut i dag.
>>nob<< You missed the point.	Du skjønte ikke poenget.
>>nob<< You missed the point.	Du tok ikke poenget.
>>nob<< You missed the point.	Du fikk ikke med deg poenget.
>>nob<< You seem to be tired.	Du ser trøtt ut.
>>nob<< You shouldn't go out.	Du burde ikke gå ut.
>>nob<< You're a kind person.	Du er en snill person.
>>nob<< You're extraordinary.	Du er ekstraordinær.
>>nob<< You're going too far.	Du går for langt.
>>nob<< You're indispensable.	Du er uunnværlig.
>>nob<< You're looking tired.	Du ser trøtt ut.
>>nob<< You're overconfident.	Du er overlegen.
>>nob<< You're such a weirdo.	For en raring du er.
>>nob<< You're unimaginative.	Du har dårlig fantasi.
>>nob<< You're unpredictable.	Du er uforutsigbar.
>>nob<< You've got a problem.	Du har et problem.
>>nob<< You've got my helmet.	Du har hjelmen min.
>>nob<< You've hurt me a lot.	Du har såret meg mye.
>>nob<< Your answer is wrong.	Svaret ditt er feil.
>>nob<< Always tell the truth.	Fortell alltid sannheten.
>>nob<< Always tell the truth.	Alltid si sannheten.
>>nob<< Are they all the same?	Er de alle like?
>>nob<< Are you feeling tired?	Føler du deg trøtt?
>>nob<< Are you ready for bed?	Er du klar for sengen?
>>nob<< Are you ready to play?	Er du klar til å spille?
>>nob<< Are you seeing anyone?	Er du sammen med noen?
>>nob<< Are you talking to me?	Snakker du til meg?
>>nob<< Call me at the office.	Ring meg på kontoret.
>>nob<< Can I borrow your pen?	Kan jeg låne pennen din?
>>nob<< Can I buy you a drink?	Kan jeg kjøpe deg en drink?
>>nob<< Can I use your pencil?	Kan jeg bruke blyanten din?
>>nob<< Can you get a day off?	Kan du ta en dag fri?
>>nob<< Can you guess her age?	Hvor gammel tror du hun er?
>>nob<< Can you keep a secret?	Kan du holde en hemmelighet?
>>nob<< Come to watch us play.	Kom og se oss spille.
>>nob<< Count from one to ten.	Tell fra en til ti.
>>nob<< Courage is contagious.	Modighet er smittsomt.
>>nob<< Did you buy a new car?	Kjøpte du ny bil?
>>nob<< Did you like the meal?	Smakte maten?
>>nob<< Dinner's almost ready.	Middagen er nesten klar.
>>nob<< Do you believe in God?	Tror du på gud?
>>nob<< Do you have a vacancy?	Har du et ledig rom?
>>nob<< Do you have some milk?	Har du melk?
>>nob<< Do you have your keys?	Har du nøklene dine?
>>nob<< Do you have your keys?	Har dere nøklene deres?
>>nob<< Do you hear something?	Hører du noe?
>>nob<< Don't be so defensive.	Ikke vær så defensiv.
>>nob<< Don't call the police.	Ikke ring politiet.
>>nob<< Don't call the police.	Ikke tilkall politiet.
>>nob<< Don't close your eyes.	Ikke lukk øynene.
>>nob<< Don't drink the water.	Ikke drikk vannet!
>>nob<< Don't forget anything.	Ikke glem noe.
>>nob<< Don't get sentimental.	Ikke bli sentimental.
>>nob<< Don't joke about that.	Ikke spøk med det.
>>nob<< Don't let it stop you.	Ikke la det stoppe deg.
>>nob<< Don't let me die here.	Ikke la meg dø her.
>>nob<< Don't settle for less.	Ikke nøy deg med mindre.
>>nob<< Everything's in order.	Alt i orden.
>>nob<< Everything's in place.	Alt er på plass.
>>nob<< Everything's so cheap.	Alt er så billig.
>>nob<< Follow your instincts.	Følg dine instinkter.
>>nob<< Get back to your post.	Gå tilbake til vaktposten din.
>>nob<< Guess where I've been.	Gjett hvor jeg har vært.
>>nob<< Has the taxi come yet?	Har taxien kommet enda?
>>nob<< Have you been smoking?	Har du røyket?
>>nob<< Have you eaten enough?	Har du spist nok?
>>nob<< Have you eaten enough?	Har dere spist nok?
>>nob<< Have you told anybody?	Har du fortalt noen?
>>nob<< Haven't we met before?	Har ikke vi møttes før?
>>nob<< He finally made money.	Endelig tjente han penger.
>>nob<< He had a strong alibi.	Han hadde et solid alibi.
>>nob<< He has a Japanese car.	Han har en japansk bil.
