>>mar<< Go.	जा.
>>mar<< Everyone's quiet.	सर्वजण शांत आहेत.
>>mar<< Everyone's quiet.	सगळे शांत आहेत.
>>mar<< Family is family.	कुटुंब ते कुटुंबच.
>>mar<< Fill up the tank.	टाकी भरून टाक.
>>mar<< Follow the rules.	नियम पाळ.
>>mar<< Follow the rules.	नियम पाळा.
>>mar<< Forget about Tom.	टॉमबद्दल विसरून जा.
>>mar<< French is useful.	फ्रेंच उपयोगी आहे.
>>mar<< Get on the horse.	घोड्यावर बस.
>>mar<< Get on the horse.	घोड्यावर बसा.
>>mar<< Get to work, Tom.	कामाला लाग, टॉम.
>>mar<< Give Tom a chair.	टॉमला एक खुर्ची दे.
>>mar<< Give Tom a chair.	टॉमला एक खुर्ची द्या.
>>mar<< Give Tom the gun.	बंदूक टॉमला दे.
>>mar<< Give Tom the gun.	बंदूक टॉमला द्या.
>>mar<< Give me a chance.	मला एक संधी द्या.
>>mar<< Give me a chance.	मला एक तरी संधी द्या.
>>mar<< Give me a hammer.	मला एक हातोडा दे.
>>mar<< Give me a hammer.	मला एक हातोडा द्या.
>>mar<< Give me my money.	मला माझे पैसे द्या.
>>mar<< Give me my money.	मला माझे पैसे दे.
>>mar<< Give me my sword.	मला माझी तलवार दे.
>>mar<< Give me my sword.	मला माझी तलवार द्या.
>>mar<< Give me one hour.	मला एक तास द्या.
>>mar<< Give me one hour.	मला एक तास दे.
>>mar<< Give me one more.	मला आणखीन एक दे.
>>mar<< Give me one more.	अजून एक द्या.
>>mar<< Give me that gun.	मला ती बंदूक दे.
>>mar<< Give me that gun.	मला ती बंदूक द्या.
>>mar<< Give me that key.	मला ती चावी दे.
>>mar<< Give me that key.	मला ती चावी द्या.
>>mar<< Give me the ball.	मला बॉल दे.
>>mar<< Give me the ball.	मला चेंडू दे.
>>mar<< Give me the ball.	मला चेंडू द्या.
>>mar<< Give me the ball.	मला बॉल द्या.
>>mar<< Give me the book.	पुस्तक मला दे.
>>mar<< Give me the book.	मला पुस्तक दे.
>>mar<< Give me the book.	पुस्तक मला द्या.
>>mar<< Give me the book.	मला पुस्तक द्या.
>>mar<< Give me the file.	मला फाइल दे.
>>mar<< Give me the file.	मला फाइल द्या.
>>mar<< Give me the wine.	मला वाईन द्या.
>>mar<< Give me the wine.	मला वाईन दे.
>>mar<< Give me this hat.	मला ही टोपी दे.
>>mar<< Give me this hat.	मला ही टोपी द्या.
>>mar<< Give me your gun.	मला तुझी बंदूक दे.
>>mar<< Give me your gun.	मला आपली बंदूक द्या.
>>mar<< Give me your gun.	बंदूक दे.
>>mar<< Give me your gun.	बंदूक द्या.
>>mar<< Give that to him.	ते त्याला दे.
>>mar<< Give that to him.	ते त्याला द्या.
>>mar<< Give this to Tom.	हे टॉमला दे.
>>mar<< Give this to Tom.	हे टॉमला द्या
>>mar<< Give this to her.	हे तिला दे.
>>mar<< Give this to her.	हे तिला द्या.
>>mar<< Give this to her.	हे त्यांना दे.
>>mar<< Give this to her.	हे त्यांना द्या.
>>mar<< Go tell Tom that.	ते जाऊन टॉमला सांग.
>>mar<< Go tell Tom that.	ते जाऊन टॉमला सांगा.
>>mar<< Go to the garage.	गॅरेजमध्ये जा.
>>mar<< Has anybody come?	कोणी आलं आहे का?
>>mar<< Has anybody come?	कोणी आलंय का?
>>mar<< Has someone died?	कोणी मेलं आहे का?
>>mar<< Has someone died?	कोणी वारलं आहे का?
>>mar<< Have a good time.	मजा कर.
>>mar<< Have a nice time.	मजा कर.
>>mar<< Have some coffee.	जराशी कॉफी घे.
>>mar<< Have some coffee.	जराशी कॉफी घ्या.
>>mar<< Have you had tea?	चहा घेऊन झाला आहे का?
>>mar<< Have you had tea?	तुझा चहा घेऊन झाला आहे का?
>>mar<< Have you had tea?	तुमचा चहा घेऊन झाला आहे का?
>>mar<< Have you read it?	वाचलंयस?
>>mar<< Have you seen it?	तू त्याला बघितलं आहेस का?
>>mar<< He became a hobo.	तो भटक्या बनला.
>>mar<< He became famous.	तो प्रसिद्ध झाला.
>>mar<< He called me fat.	तो मला जाडा म्हणाला.
>>mar<< He called me fat.	तो मला जाडी म्हणाला.
>>mar<< He called me fat.	ते मला जाडा म्हणाले.
>>mar<< He called me fat.	ते मला जाडी म्हणाले.
>>mar<< He can't stop me.	तो मला थांबवू शकत नाही.
>>mar<< He can't stop me.	ते मला थांबवू शकत नाहीत.
>>mar<< He caught a cold.	त्याला सर्दी झाली.
>>mar<< He caught a cold.	त्यांना सर्दी झाली.
>>mar<< He does not know.	त्याला माहीत नाही.
>>mar<< He doesn't sleep.	तो झोपत नाही.
>>mar<< He fell backward.	तो मागे पडला.
>>mar<< He fell backward.	ते मागे पडले.
>>mar<< He fell backward.	तो मागच्या बाजूने पडला.
>>mar<< He found my bike.	त्याने माझी बाईक शोधून काढली.
>>mar<< He found my bike.	त्यांनी माझी बाईक शोधून काढली.
>>mar<< He found my bike.	त्याला माझी बाईक सापडली.
>>mar<< He found my bike.	त्यांना माझी बाईक सापडली.
>>mar<< He gave it to me.	त्याने ते मला दिले.
>>mar<< He gave it to me.	त्यांनी ते मला दिले.
>>mar<< He gave it to me.	त्याने मला दिले.
>>mar<< He gave it to me.	त्यांनी मला दिले.
>>mar<< He had no hat on.	त्याने टोपी घातलेली नव्हती.
>>mar<< He had no hat on.	त्यांनी टोपी घातलेली नव्हती.
>>mar<< He has a bicycle.	त्याच्याकडे सायकल आहे.
>>mar<< He has a bicycle.	त्याच्याकडे एक सायकल आहे.
>>mar<< He has a bicycle.	त्यांच्याकडे सायकल आहे.
>>mar<< He has a bicycle.	त्यांच्याकडे एक सायकल आहे.
>>mar<< He is her friend.	तो तिचा मित्र आहे.
>>mar<< He is his friend.	तो त्याचा मित्र आहे.
>>mar<< He is his friend.	तो त्यांचा मित्र आहे.
>>mar<< He is his friend.	ते त्याचे मित्र आहेत.
>>mar<< He is his friend.	ते त्यांचे मित्र आहेत.
>>mar<< He is in college.	तो कॉलेजमध्ये आहे.
>>mar<< He is in college.	ते कॉलेजात आहेत.
>>mar<< He is in college.	तो कॉलेजात आहे.
>>mar<< He is in college.	ते कॉलेजमध्ये आहेत.
>>mar<< He is my brother.	तो माझा भाऊ आहे.
>>mar<< He is my brother.	ते माझे भाऊ आहेत.
>>mar<< He is still here.	तो अजूनही येथेच आहे.
>>mar<< He is still here.	तो अजून येथेच आहे.
>>mar<< He is still here.	ते अजूनही येथेच आहेत.
>>mar<< He is very brave.	तो अतिशय धाडसी आहे.
>>mar<< He knows me well.	तो मला बर्‍यापैकी ओळखतो.
>>mar<< He knows me well.	ते मला बर्‍यापैकी ओळखतात.
>>mar<< He laughed at me.	तो माझ्यावर हसला.
>>mar<< He laughed at me.	ते माझ्यावर हसले.
>>mar<< He made me do it.	त्यांनी मला करायला लावलं.
>>mar<< He made me do it.	त्याने मला करायला लावलं.
>>mar<< He must be tired.	तो थकलेला असेल.
>>mar<< He must be tired.	ते थकलेले असतील.
>>mar<< He needs a towel.	त्याला एका टॉवेलची गरज आहे.
>>mar<< He needs a towel.	त्यांना एका टॉवेलची गरज आहे.
>>mar<< He speaks Arabic.	तो अरबी बोलतो.
>>mar<< He speaks French.	तो फ्रेंच बोलतो.
>>mar<< He threw his toy.	त्याने त्याचं खेळणं फेकून दिलं.
>>mar<< He threw his toy.	त्याने त्याचं खेळणं फेकलं.
>>mar<< He told everyone.	त्याने सर्वांना सांगितलं.
>>mar<< He took his book.	त्याने त्याचं पुस्तक घेतलं.
>>mar<< He took his book.	त्यांनी त्यांचं पुस्तक घेतलं.
>>mar<< He used his head.	त्याने आपलं डोकं वापरलं.
>>mar<< He used to drink.	तो प्यायचा.
>>mar<< He wants to come.	त्यांना यायचं आहे.
>>mar<< He wants to come.	त्याला यायचं आहे.
>>mar<< He was in France.	तो फ्रान्समध्ये होता.
>>mar<< He was in France.	ते फ्रान्समध्ये होते.
>>mar<< He was my friend.	तो माझा मित्र होता.
>>mar<< He was my friend.	ते माझे मित्र होते.
>>mar<< He was very poor.	तो अतिशय गरीब होता.
>>mar<< He was very poor.	तो एकदम गरीब होता.
>>mar<< He went shopping.	तो शॉपिंग करायला गेला.
>>mar<< He went shopping.	तो खरेदी करायला गेला.
>>mar<< He writes Arabic.	तो अरबी लिहितो.
>>mar<< He's a bartender.	तो बार्टेंडर आहे.
>>mar<< He's got the flu.	त्याला फ्लू झाला आहे.
>>mar<< He's got the flu.	त्यांना फ्लू झाला आहे.
>>mar<< He's intelligent.	तो बुद्धिमान आहे.
>>mar<< He's intelligent.	ते बुद्धिमान आहेत.
>>mar<< He's not like us.	तो आपल्यासारखा नाहीये.
>>mar<< He's not like us.	तो आमच्यासारखा नाहीये.
>>mar<< He's ready to go.	तो जायला तयार आहे.
>>mar<< He's still young.	तो अजुनही तरुण आहे.
>>mar<< He's still young.	ते अजुनही तरुण आहेत.
>>mar<< He's watching TV.	तो टीव्ही बघतोय.
>>mar<< He's watching TV.	ते टीव्ही बघताहेत.
>>mar<< He's watching me.	तो मला बघतोय.
>>mar<< He's watching me.	ते मला बघताहेत.
>>mar<< He's watching me.	त्याची माझ्यावर नजर आहे.
>>mar<< He's watching me.	त्यांची माझ्यावर नजर आहे.
>>mar<< Health is wealth.	आरोग्य हीच धनसंपत्ती.
>>mar<< Her bike is blue.	तिची बाइक निळी आहे.
>>mar<< Her hair is long.	तिचे केस लांब आहेत.
>>mar<< Her hair is long.	त्यांचे केस लांब आहेत.
>>mar<< Her name is Mary.	तिचं नाव मेरी आहे.
>>mar<< Hey, are you Tom?	अरे, तू टॉम आहेस का?
>>mar<< Hey, are you Tom?	अरे, तुम्ही टॉम आहात का?
>>mar<< Hey, that's mine.	अरे, ते माझं आहे.
>>mar<< Hey, that's mine.	अरे, तो माझा आहे.
>>mar<< Hey, that's mine.	अरे, ती माझी आहे.
>>mar<< Hey, where's Tom?	अरे, टॉम कुठेय?
>>mar<< His eyes are red.	त्याचे डोळे लाल आहेत.
>>mar<< His face was red.	त्याचा चेहरा लाल होता.
>>mar<< Horses eat grass.	घोडे गवत खातात.
>>mar<< How about Friday?	शुक्रवारी चालेल का?
>>mar<< How are the eggs?	अंडी कशी आहेत?
>>mar<< How are you, Tom?	तू कसा आहेस, टॉम?
>>mar<< How are you, Tom?	तुम्ही कसे आहात, टॉम?
>>mar<< How did Tom know?	टॉमला कसं माहीत होतं?
>>mar<< How did Tom look?	टॉम कसा दिसत होता?
>>mar<< How does it work?	ते कसं काम करतं?
>>mar<< How does it work?	ते कसं चालतं?
>>mar<< How is the salad?	कोशिंबीर कशी आहे?
>>mar<< How is the salad?	सॅलड कसं आहे?
>>mar<< How lucky we are!	किती नशीबवान आहोत आपण!
>>mar<< How tall you are!	किती उंच आहेस तू!
>>mar<< How tall you are!	किती उंच आहात तुम्ही!
>>mar<< How was it today?	आज कसं होतं?
>>mar<< How was the game?	कसा होता गेम?
>>mar<< How was the game?	कसा होता खेळ?
>>mar<< How was the game?	कशी होती मॅच?
>>mar<< How was the play?	नाटक कसं होतं?
>>mar<< How was your day?	दिवस कसा गेला?
>>mar<< How was your day?	तुझा दिवस कसा गेला?
>>mar<< How was your day?	तुमचा दिवस कसा गेला?
>>mar<< I almost drowned.	मी जवळजवळ बुडलोच.
>>mar<< I almost drowned.	मी जवळजवळ बुडलेच.
>>mar<< I also like cake.	मला सुद्धा केक आवडतो.
>>mar<< I always says no.	मी नेहमीच नाही म्हणतो.
>>mar<< I always says no.	मी नेहमीच नाही म्हणते.
>>mar<< I am a professor.	मी प्राध्यापक आहे.
>>mar<< I am a professor.	मी प्रोफेसर आहे.
>>mar<< I am from Russia.	मी रशियाचा आहे.
>>mar<< I am not thirsty.	मला तहान लागली नाहीये.
>>mar<< I am not working.	मी काम करत नाहीये.
>>mar<< I am on duty now.	मी सध्या कामावर आहे.
>>mar<< I am on duty now.	मी आता ऑन-ड्यूटी आहे.
>>mar<< I am on duty now.	मी यावेळी ड्यूटीवर आहे.
>>mar<< I am your father.	मी तुझा बाप आहे.
>>mar<< I am your father.	मी तुझा वडील आहे.
>>mar<< I began to sweat.	मला घाम फुटला.
>>mar<< I bought a horse.	मी एक घोडा विकत घेतला.
>>mar<< I bought a watch.	मी एक घड्याळ विकत घेतलं.
>>mar<< I bought bananas.	मी केळी विकत घेतली.
>>mar<< I bought flowers.	मी फुलं विकत घेतली.
>>mar<< I brought a book.	मी एक पुस्तक आणलं.
>>mar<< I call Tom a lot.	मी टॉमला खूपदा बोलवतो.
>>mar<< I call Tom a lot.	मी टॉमला खूपदा बोलवते.
>>mar<< I call Tom a lot.	मी टॉमला खूपदा फोन करतो.
>>mar<< I call Tom a lot.	मी टॉमला खूपदा फोन करते.
>>mar<< I came yesterday.	मी काल आलो.
>>mar<< I came yesterday.	मी काल आले.
>>mar<< I can handle Tom.	मी टॉमला सांभाळू शकतो.
>>mar<< I can't call Tom.	मी टॉमला बोलवू शकत नाही.
>>mar<< I can't call Tom.	मी टॉमला फोन करू शकत नाही.
>>mar<< I can't die here.	मी इथे मरू शकत नाही.
>>mar<< I can't eat that.	मी ते खाऊ शकत नाही.
>>mar<< I can't eat that.	ते मी नाही खाऊ शकत.
>>mar<< I can't go there.	मी तिथे जाऊ शकत नाही.
>>mar<< I can't hear you.	तुम्ही मला ऐकू येत नाहियेत.
>>mar<< I can't hear you.	तू मला ऐकू येत नाहीस.
>>mar<< I can't remember.	मला आठवता येत नाहिये.
>>mar<< I can't remember.	मला आठवता येत नाही.
>>mar<< I can't see well.	मला बरोबर बघता येत नाहिये.
>>mar<< I can't see well.	मला ठीकपणे बघता येत नाहिये.
>>mar<< I can't stop her.	मी तिला थांबवू शकत नाही.
>>mar<< I can't stop her.	मी त्यांना थांबवू शकत नाही.
>>mar<< I can't stop you.	मी तुला थांबवू शकत नाही.
>>mar<< I can't stop you.	मी तुम्हाला थांबवू शकत नाही.
>>mar<< I can't tell yet.	मी अजूनपर्यंत सांगू शकत नाही.
>>mar<< I can't tell yet.	मला अजूनपर्यंत सांगता येणार नाही.
>>mar<< I closed my eyes.	मी माझे डोळे बंद केले.
>>mar<< I couldn't sleep.	मला झोप येत नव्हती.
>>mar<< I deliver pizzas.	मी पिझ्झा डिलिव्हर करतो.
>>mar<< I deliver pizzas.	मी पिझ्झा डिलिव्हर करते.
>>mar<< I didn't have it.	माझ्याकडे नव्हतं.
>>mar<< I didn't have it.	माझ्याकडे नव्हता.
>>mar<< I didn't have it.	माझ्याकडे नव्हती.
>>mar<< I didn't like it.	मला नाही आवडलं.
>>mar<< I didn't like it.	मला चांगलं नाही वाटलं.
>>mar<< I do remember it.	आठवतं तर खरं.
>>mar<< I don't eat pork.	मी पोर्क खात नाही.
>>mar<< I don't eat pork.	मी डुकराचे मांस खात नाही.
>>mar<< I don't know her.	मी तिला ओळखत नाही.
>>mar<< I don't know her.	मी त्यांना ओळखत नाही.
>>mar<< I don't know why.	का हे मला माहीत नाही.
>>mar<< I don't know yet.	मला अजुनपर्यंत माहीत नाही.
>>mar<< I don't know you.	मी तुला ओळखत नाही.
>>mar<< I don't know you.	मी तुम्हाला ओळखत नाही.
>>mar<< I don't like Tom.	मला टॉम आवडत नाही.
>>mar<< I don't like her.	मला ती आवडत नाही.
>>mar<< I don't like her.	मला ती चांगली वाटत नाहिये.
>>mar<< I don't like tea.	मला चहा आवडत नाही.
>>mar<< I don't love her.	माझं तिच्यावर प्रेम नाहिये.
>>mar<< I don't love her.	मी तिच्यावर प्रेम करत नाही.
>>mar<< I don't need Tom.	मला टॉमची गरज नाहीये.
>>mar<< I don't remember.	मला आठवत नाहिये.
>>mar<< I don't remember.	मला आठवत नाही.
>>mar<< I don't want ice.	मला बर्फ नको आहे.
>>mar<< I don't want tea.	मला चहा नको आहे.
>>mar<< I don't watch TV.	मी टीव्ही बघत नाही.
>>mar<< I drink tea, too.	मीसुद्धा चहा पितो.
>>mar<< I drink tea, too.	मीसुद्धा चहा पिते.
>>mar<< I drive a hybrid.	मी हायब्रिड चालवतो.
>>mar<< I drive a hybrid.	मी हायब्रिड चालवते.
>>mar<< I eat everything.	मी सर्वकाही खातो.
>>mar<< I eat everything.	मी सगळच खाते.
>>mar<< I filled the cup.	मी कप भरलं.
>>mar<< I forgot the map.	मी नकाशा विसरलो.
>>mar<< I forgot the map.	मी नकाशा विसरले.
>>mar<< I found somebody.	मला कोणीतरी सापडलं.
>>mar<< I found your cap.	मला तुझी टोपी सापडली.
>>mar<< I found your cap.	मला तुमची टोपी सापडली.
>>mar<< I gave Tom a gun.	मी टॉमला एक बंदूक दिली.
>>mar<< I get up at 6:30.	मी ६:३० वाजतो उठतो.
>>mar<< I get up at 6:30.	मी ६:३० वाजतो उठते.
>>mar<< I get up at 7:00.	मी ७:०० वाजतो उठतो.
>>mar<< I get up at 7:00.	मी ७:०० वाजतो उठते.
>>mar<< I got home first.	मी आधी घरी पोहोचलो.
>>mar<< I got home first.	मी आधी घरी पोहोचले.
>>mar<< I got hurt today.	आज मला लागलं.
>>mar<< I got my license.	मला माझा लायसन्स मिळाला.
>>mar<< I got my license.	मला माझं अनुज्ञप्तीपत्र मिळालं.
>>mar<< I got my license.	मला माझा परवाना मिळाला.
>>mar<< I got paid today.	माझा आज पगार झाला.
>>mar<< I have Tom's key.	माझ्याकडे टॉमची चावी आहे.
>>mar<< I have a big dog.	माझ्याकडे एक मोठा कुत्रा आहे.
>>mar<< I have a big dog.	माझ्याकडे मोठा कुत्रा आहे.
>>mar<< I have a brother.	माझा एक भाऊ आहे.
>>mar<< I have a diploma.	माझ्याकडे एक डिप्लोमा आहे.
>>mar<< I have a grenade.	माझ्याकडे एक ग्रेनेड आहे.
>>mar<< I have a message.	माझ्याकडे एक निरोप आहे.
>>mar<< I have a receipt.	माझ्याकडे रिसीट आहे.
>>mar<< I have a red car.	माझ्याकडे एक लाल गाडी आहे.
>>mar<< I have a red car.	माझ्याकडे लाल गाडी आहे.
>>mar<< I have a scooter.	माझ्याकडे स्कूटर आहे.
>>mar<< I have a trailer.	माझ्याकडे एक ट्रेलर आहे.
>>mar<< I have some pens.	माझ्याकडे काही पेनं आहेत.
>>mar<< I have something.	माझ्याकडे काहीतरी आहे.
>>mar<< I have to sneeze.	मला शिंकायचं आहे.
>>mar<< I have two books.	माझ्याकडे दोन पुस्तकं आहेत.
>>mar<< I have your coat.	माझ्याकडे तुझा कोट आहे.
>>mar<< I have your coat.	माझ्याकडे तुमचा कोट आहे.
>>mar<< I have your file.	माझ्याकडे तुझी फाइल आहे.
>>mar<< I hear the phone.	मला फोनचा आवाज ऐकू येत आहे.
>>mar<< I held my breath.	मी माझा श्वास धरला.
>>mar<< I just confessed.	मी आत्ताच कबूल केलं.
>>mar<< I just said that.	मी आत्ता तेच म्हटलं.
>>mar<< I just work here.	मी फक्त इथे काम करतो.
>>mar<< I just work here.	मी फक्त इथे काम करते.
>>mar<< I know my rights.	मला माझे अधिकार माहीत आहेत.
>>mar<< I know that girl.	मी त्या मुलीला ओळखतो.
>>mar<< I know that girl.	मी त्या मुलीला ओळखते.
>>mar<< I know the rules.	मला नियम माहीत आहेत.
>>mar<< I know this song.	मला हे गाणं माहीत आहे.
>>mar<< I know your name.	मला तुझं नाव माहीत आहे.
>>mar<< I know your name.	मला तुझं नाव ठाऊक आहे.
>>mar<< I know your name.	मला तुमचं नाव माहीत आहे.
>>mar<< I leave tomorrow.	मी उद्या निघतो.
>>mar<< I leave tomorrow.	मी उद्या निघते.
>>mar<< I lifted the lid.	मी झाकण वर केलं.
>>mar<< I like cucumbers.	मला काकड्या आवडतात.
>>mar<< I like green tea.	मला हिरवा चहा आवडतो.
>>mar<< I like his music.	मला त्याचं संगीत आवडतं.
>>mar<< I like his music.	मला त्यांचं संगीत आवडतं.
>>mar<< I like ice cream.	मला आईस्क्रिम आवडतं.
>>mar<< I like languages.	मला भाषा आवडतात.
>>mar<< I like long hair.	मला लांब केस आवडतात.
>>mar<< I like math best.	मला गणित सर्वात जास्त आवडतो.
>>mar<< I like red roses.	मला लाल गुलाब आवडतात.
>>mar<< I like that song.	मला ते गाणं आवडतं.
>>mar<< I like the ocean.	मला महासागर आवडतो.
>>mar<< I like them both.	मला ते दोघे आवडतात.
>>mar<< I like them both.	मला ती दोघं आवडतात.
>>mar<< I like them both.	मला त्या दोघी आवडतात.
>>mar<< I like this book.	मला हे पुस्तक आवडतं.
>>mar<< I like this city.	मला हे शहर आवडतं.
>>mar<< I like this game.	मला हा खेळ आवडतो.
>>mar<< I like this game.	मला हा गेम आवडतो.
>>mar<< I like this plan.	मला ही योजना आवडली.
>>mar<< I like this room.	मला ही खोली आवडते.
>>mar<< I like this room.	मला ही खोली आवडली.
>>mar<< I like you a lot.	मला तू खूप आवडतोस.
>>mar<< I like you a lot.	मला तुम्ही खूप आवडता.
>>mar<< I like you a lot.	मला तू खूप आवडतेस.
>>mar<< I like your bike.	मला तुझी सायकल आवडली.
>>mar<< I like your bike.	मला तुमची सायकल आवडली.
>>mar<< I like your bike.	मला तुझी बाईक आवडली.
>>mar<< I like your bike.	मला तुमची बाईक आवडली.
>>mar<< I like your cats.	मला तुझ्या मांजरी आवडतात.
>>mar<< I like your cats.	मला तुझ्या मांजरी आवडल्या.
>>mar<< I like your city.	मला तुझं शहर आवडतं.
>>mar<< I like your city.	मला तुमचं शहर आवडतं.
>>mar<< I like your idea.	मला तुझी आयडिया आवडली.
>>mar<< I like your idea.	मला तुमची आयडिया आवडली.
>>mar<< I like your plan.	मला तुझी योजना आवडली.
>>mar<< I like your plan.	मला तुमची योजना आवडली.
>>mar<< I like your room.	मला तुझी खोली आवडते.
>>mar<< I like your room.	मला तुझी खोली आवडली.
>>mar<< I like your room.	मला तुमची खोली आवडली.
>>mar<< I like your room.	मला तुमची खोली आवडते.
>>mar<< I liked it a lot.	मला खूप आवडलं.
>>mar<< I liked it a lot.	मला खूप आवडला.
>>mar<< I liked it a lot.	मला खूप आवडली.
>>mar<< I liked the fish.	मला मासा आवडला.
>>mar<< I lit the candle.	मी मेणबत्ती पेटवली.
>>mar<< I live in Boston.	मी बॉस्टनमध्ये राहतो.
>>mar<< I live in Boston.	मी बॉस्टनमध्ये राहते.
>>mar<< I live in Europe.	मी युरोपमध्ये राहतो.
>>mar<< I live in Europe.	मी युरोपमध्ये राहते.
>>mar<< I live in a city.	मी एका शहरात राहतो.
>>mar<< I live in a city.	मी एका शहरात राहते.
>>mar<< I live in a city.	मी शहरात राहतो.
>>mar<< I live in a city.	मी शहरात राहते.
>>mar<< I looked outside.	मी बाहेर पाहिलं.
>>mar<< I looked outside.	मी बाहेर बघितलं.
>>mar<< I lost the watch.	मी घड्याळ हरवलं.
>>mar<< I love Halloween.	मला हॅलोवीन खूप आवडतो.
>>mar<< I love birthdays.	मला वाढदिवस खूप आवडतात.
>>mar<< I love my father.	माझं माझ्या वडिलांवर प्रेम आहे.
>>mar<< I love this song.	मला हे गाणं खूप आवडतं.
>>mar<< I love this view.	मला हे दृश्य खूप आवडतं.
>>mar<< I love your eyes.	मला तुझे डोळे खूप आवडतात.
>>mar<< I love your eyes.	मला तुमचे डोळे खूप आवडतात.
>>mar<< I made Tom laugh.	मी टॉमला हसवलं.
>>mar<< I made Tom leave.	मी टॉमला निघायला लावलं.
>>mar<< I made a mistake.	मी चूक केली.
>>mar<< I made a mistake.	मी एक चूक केली.
>>mar<< I made a mistake.	मी चूकलो.
>>mar<< I made a mistake.	मी चूकले.
>>mar<< I made spaghetti.	मी स्पॅगेटी बनवली.
>>mar<< I made the train.	मी ती ट्रेन बनवली.
>>mar<< I make the rules.	नियम मी बनवतो.
>>mar<< I make the rules.	नियम मी बनवते.
>>mar<< I met Tom online.	टॉमला मी ऑनलाइन भेटलो.
>>mar<< I met Tom online.	टॉमला मी ऑनलाइन भेटले.
>>mar<< I met my friends.	मी माझ्या मित्रांना भेटलो.
>>mar<< I met my friends.	मी माझ्या मित्रांना भेटले.
>>mar<< I miss my family.	मला माझ्या कुटुंबाची आठवण येते.
>>mar<< I must have this.	मला हे मिळालंच पाहिजे.
>>mar<< I need a miracle.	मला एका चमत्काराची गरज आहे.
>>mar<< I need his power.	मला त्याच्या शक्तीची गरज आहे.
>>mar<< I need more help.	मला अजून मदत लागेल.
>>mar<< I need more help.	मला अजून मदतीची गरज आहे.
>>mar<< I need new shoes.	मला नवीन बुटांची गरज आहे.
>>mar<< I need that tape.	मला त्या टेपची गरज आहे.
>>mar<< I need treatment.	मला उपचाराची गरज आहे.
>>mar<< I never eat meat.	मी मांस कधीच खात नाही.
>>mar<< I never eat meat.	मी मटण कधीच खात नाही.
>>mar<< I never help Tom.	मी टॉमची मदत कधीच करत नाही.
>>mar<< I never told Tom.	टॉमला मी कधीच सांगितलं नाही.
>>mar<< I only drink tea.	मी फक्त चहा पितो.
>>mar<< I only drink tea.	मी फक्त चहा पिते.
>>mar<< I opened one eye.	मी एक डोळा उघडला.
>>mar<< I own this place.	ही जागा माझ्या मालकीची आहे.
>>mar<< I planted a tree.	मी एक झाड लावलं.
>>mar<< I prefer reading.	त्यापेक्षा मला वाचायला आवडतं.
>>mar<< I read the Times.	मी टाईम्स वाचतो.
>>mar<< I read the Times.	मी टाईम्स वाचते.
>>mar<< I read your book.	मी तुझं पुस्तक वाचलं.
>>mar<< I read your book.	मी तुमचं पुस्तक वाचलं.
>>mar<< I recognized Tom.	मी टॉमला ओळखलं.
>>mar<< I refuse to help.	मी मदत करण्यास नकार देतो.
>>mar<< I refuse to help.	मी मदत करण्यास नकार देते.
>>mar<< I remained quiet.	मी शांत राहिलो.
>>mar<< I remained quiet.	मी शांत राहिले.
>>mar<< I remembered Tom.	मला टॉम आठवला.
>>mar<< I remembered Tom.	मला टॉमची आठवण आली.
>>mar<< I sat beside her.	मी तिच्या बाजूला बसलो.
>>mar<< I sat beside her.	मी त्यांच्या बाजूला बसलो.
>>mar<< I sat beside her.	मी तिच्या बाजूला बसले.
>>mar<< I sat beside her.	मी त्यांच्या बाजूला बसले.
>>mar<< I saw Tom's face.	मला टॉमचा चेहरा दिसला.
>>mar<< I saw Tom's file.	मी टॉमची फाईल पाहिली.
>>mar<< I saw Tom's file.	मी टॉमची फाईल बघितली.
>>mar<< I saw Tom's file.	मला टॉमची फाईल दिसली.
>>mar<< I saw that on TV.	ते मी टीव्हीवर पाहिलं.
>>mar<< I slept in class.	मी वर्गात झोपलो.
>>mar<< I slept in class.	मी वर्गात झोपले.
>>mar<< I sold the books.	पुस्तकं मी विकून टाकली.
>>mar<< I sold the books.	मी पुस्तकं विकली.
>>mar<< I still love her.	माझं अजूनही त्यांच्यावर प्रेम आहे.
>>mar<< I still love her.	माझं अजूनही तिच्यावर प्रेम आहे.
>>mar<< I talk to myself.	मी स्वतःशी बोलतो.
>>mar<< I talk to myself.	मी स्वतःशी बोलते.
>>mar<< I took the money.	मी पैसे घेतले.
>>mar<< I took the photo.	मी फोटो काढला.
>>mar<< I took the train.	मी ट्रेन पकडली.
>>mar<< I totally forgot.	मी पूर्णपणे विसरून गेलो.
>>mar<< I totally forgot.	मी पूर्णपणे विसरून गेले.
>>mar<< I tried to do it.	मी करायचा प्रयत्न केला.
>>mar<< I turned the key.	मी चावी फिरवली.
>>mar<< I understand Tom.	मला टॉम समजतो.
>>mar<< I use a firewall.	मी फायरवॉल वापरतो.
>>mar<< I use a firewall.	मी फायरवॉल वापरते.
>>mar<< I use a firewall.	मी एक फायरवॉल वापरतो.
>>mar<< I use a firewall.	मी एक फायरवॉल वापरते.
>>mar<< I used to be shy.	मी लाजाळू असायचो.
>>mar<< I waited a month.	मी एक महिना थांबलो.
>>mar<< I waited a month.	मी एक महिना थांबले.
>>mar<< I waited a month.	मी एक महिना वाट बघितली.
>>mar<< I waited a month.	मी एक महिना वाट पाहिली.
