>>dan<< Go.	Gå!
>>dan<< I still live in Boston.	Jeg bor stadig i Boston.
>>dan<< I think I have a fever.	Jeg tror jeg har feber.
>>dan<< I think I'm very funny.	Jeg syntes, jeg er meget sjov.
>>dan<< I think Tom is jealous.	Jeg tror Tom er jaloux.
>>dan<< I think Tom likes Mary.	Jeg tror Tom kan lide Mary.
>>dan<< I think Tom's cheating.	Jeg tror Tom snyder.
>>dan<< I think about it often.	Jeg tænker tit på det.
>>dan<< I think he's competent.	Jeg tror han er kompetent.
>>dan<< I think it tastes good.	Jeg synes det smager godt.
>>dan<< I think it's very good.	Jeg synes det er meget godt.
>>dan<< I think that's crucial.	Jeg tror, det er afgørende.
>>dan<< I thought Tom was rich.	Jeg troede Tom var rig.
>>dan<< I thought you hated us.	Jeg troede, I hadede os.
>>dan<< I told Tom not to call.	Jeg bad Tom om ikke at ringe.
>>dan<< I took my camera along.	Jeg tog mit kamera med.
>>dan<< I turn thirty tomorrow.	Jeg bliver tredive i morgen.
>>dan<< I turn thirty tomorrow.	Jeg fylder tredive i morgen.
>>dan<< I use Google every day.	Jeg bruger Google hver dag.
>>dan<< I used to be a butcher.	Jeg har tidligere været slagter.
>>dan<< I want a lighter shade.	Jeg vil gerne have en lysere nuance.
>>dan<< I want to hear a story.	Jeg vil gerne høre en historie!
>>dan<< I want to rent a yacht.	Jeg vil gerne leje en lystyacht.
>>dan<< I want to see the lion.	Jeg vil gerne se løven.
>>dan<< I want to see the lion.	Jeg ønsker at se løven.
>>dan<< I want to speak French.	Jeg ønsker at tale fransk.
>>dan<< I wanted my money back.	Jeg ville have mine penge tilbage.
>>dan<< I wanted to rent a bus.	Jeg ønskede at leje en bus.
>>dan<< I wanted to rent a bus.	Jeg ønskede at hyre en bus.
>>dan<< I wanted to rescue you.	Jeg ville redde dig.
>>dan<< I was in terrible pain.	Jeg havde en forfærdelig smerte.
>>dan<< I was in the mountains.	Jeg var i bjergene.
>>dan<< I was lying on my back.	Jeg lå på min ryg.
>>dan<< I was on the wrong bus.	Jeg var på den forkerte bus.
>>dan<< I was taken for a ride.	Jeg blev taget ved næsen.
>>dan<< I was very tired today.	Jeg var meget træt i dag.
>>dan<< I wasn't strong enough.	Jeg var ikke stærk nok.
>>dan<< I went there yesterday.	Jeg gik derhen i går.
>>dan<< I went to the hospital.	Jeg tog til hospitalet.
>>dan<< I will always love you.	Jeg vil altid elske dig.
>>dan<< I will gladly help you.	Jeg vil gerne hjælpe dig.
>>dan<< I will not do it again.	Jeg vil ikke gøre det igen.
>>dan<< I wish it weren't true.	Gid det ikke var sandt.
>>dan<< I wish it weren't true.	Jeg ville ønske at det ikke var sandt.
>>dan<< I won't breathe a word.	Jeg vil ikke mæle et ord.
>>dan<< I won't buy this shirt.	Jeg vil ikke købe denne skjorte.
>>dan<< I won't buy this shirt.	Jeg ønsker ikke at købe denne skjorte.
>>dan<< I work as a bus driver.	Jeg arbejder som buschauffør.
>>dan<< I wouldn't bet on that.	Jeg ville ikke satse på det.
>>dan<< I'd better call a taxi.	Jeg må hellere ringe efter en taxi.
>>dan<< I'd better call a taxi.	Jeg må hellere ringe efter en taxa.
>>dan<< I'd like a medium size.	Jeg ønsker en mellemstørrelse.
>>dan<< I'd like a medium size.	Jeg ønsker en middelstørrelse.
>>dan<< I'd like a single room.	Jeg vil gerne have et enkeltværelse.
>>dan<< I'd like to send a fax.	Jeg vil gerne sende en fax.
>>dan<< I'd say the same thing.	Jeg ville sige det samme.
>>dan<< I'll be in the library.	Jeg vil være på biblioteket.
>>dan<< I'll be right with you.	Jeg skal lige straks være der.
>>dan<< I'll be there tomorrow.	Jeg vil være der i morgen.
>>dan<< I'll give you a laptop.	Jeg vil give dig en bærbar computer.
>>dan<< I'll give you a laptop.	Jeg vil give dig en bærbar.
>>dan<< I'll give you a laptop.	Jeg vil give dig en laptop.
>>dan<< I'll have another beer.	Jeg vil gerne have en øl til.
>>dan<< I'll meet Tom tomorrow.	Jeg mødes med Tom i morgen.
>>dan<< I'll never do it again.	Jeg gør det aldrig mere.
>>dan<< I'll never do it again.	Jeg gør det aldrig igen.
>>dan<< I'll phone again later.	Jeg ringer igen senere.
>>dan<< I'll see you next week.	Vi ses i næste uge!
>>dan<< I'm Mary's friend, Tom.	Jeg er Marys ven, Tom.
>>dan<< I'm a 13-year-old girl.	Jeg er en 13 år gammel pige.
>>dan<< I'm a 13-year-old girl.	Jeg er en pige på 13 år.
>>dan<< I'm allergic to gluten.	Jeg er allergisk overfor gluten.
>>dan<< I'm allergic to gluten.	Jeg er glutenallergiker.
>>dan<< I'm already quite busy.	Jeg har allerede ret travlt.
>>dan<< I'm at the airport now.	Jeg er i lufthavnen nu.
>>dan<< I'm busy with homework.	Jeg har travlt med at lave lektier.
>>dan<< I'm coming to save you.	Jeg kommer for at redde dig.
>>dan<< I'm extremely grateful.	Jeg er yderst taknemmelig.
>>dan<< I'm glad it's all over.	Jeg er glad for at det hele er overstået.
>>dan<< I'm glad we left early.	Jeg er glad for at vi tog tidligt afsted.
>>dan<< I'm going to google it.	Jeg vil google det.
>>dan<< I'm going to sleep now.	Jeg går i seng nu.
>>dan<< I'm going to visit Tom.	Jeg har i sinde at besøge Tom.
>>dan<< I'm immune to smallpox.	Jeg er immun over for kopper.
>>dan<< I'm lactose intolerant.	Jeg er laktoseintolerant.
>>dan<< I'm listening to music.	Jeg lytter til musik.
>>dan<< I'm literally starving.	Jeg er dødsulten.
>>dan<< I'm literally starving.	Jeg er skrupsulten.
>>dan<< I'm living in the city.	Jeg bor i byen.
>>dan<< I'm looking for my cat.	Jeg leder efter min kat.
>>dan<< I'm no one's boyfriend.	Jeg er ingens kæreste.
>>dan<< I'm not afraid anymore.	Jeg er ikke længere bange.
>>dan<< I'm not afraid anymore.	Jeg er ikke bange mere.
>>dan<< I'm not an interpreter.	Jeg er ikke tolk.
>>dan<< I'm not good at French.	Jeg er ikke god til fransk.
>>dan<< I'm not here every day.	Jeg er her ikke hver dag.
>>dan<< I'm not here every day.	Jeg er ikke hver dag her.
>>dan<< I'm not scared anymore.	Jeg er ikke bange mere.
>>dan<< I'm not the ambassador.	Jeg er ikke ambassadøren.
>>dan<< I'm proud of my school.	Jeg er stolt over min skole.
>>dan<< I'm really into soccer.	Jeg interesserer mig meget for fodbold.
>>dan<< I'm sitting home alone.	Jeg sidder alene hjemme.
>>dan<< I'm staying home today.	Jeg bliver hjemme i dag.
>>dan<< I'm sure Tom is guilty.	Jeg er sikker på at Tom er skyldig.
>>dan<< I'm terrible at tennis.	Jeg er håbløs til tennis.
>>dan<< I'm thinking about you.	Jeg tænker på dig.
>>dan<< I'm using common sense.	Jeg bruger min sunde fornuft.
>>dan<< I'm very proud of that.	Det er jeg meget stolt af.
>>dan<< I'm wearing sunglasses.	Jeg har solbriller på.
>>dan<< I've been to Australia.	Jeg har været i Australien.
>>dan<< I've built a new house.	Jeg har bygget et nyt hus.
>>dan<< I've got a sore throat.	Jeg har ondt i halsen.
>>dan<< I've got some problems.	Jeg har problemer.
>>dan<< I've had enough of you.	Jeg har fået nok af dig.
>>dan<< I've lost all my money.	Jeg har mistet alle mine penge.
>>dan<< I've never left Boston.	Jeg har aldrig forladt Boston.
>>dan<< I've only seen it once.	Jeg har kun set det en gang.
>>dan<< I've only seen it once.	Jeg har kun set det én gang.
>>dan<< I've only seen it once.	Jeg har kun set den én gang.
>>dan<< I've opened the window.	Jeg har åbnet vinduet.
>>dan<< I've visited Australia.	Jeg har besøgt Australien.
>>dan<< Iron is a useful metal.	Jern er et nyttigt metal.
>>dan<< Is Tom still at school?	Er Tom stadig i skole?
>>dan<< Is Tom still mad at me?	Er Tom stadig vred på mig?
>>dan<< Is her father a doctor?	Er hendes far læge?
>>dan<< Is his father a doctor?	Er hans far læge?
>>dan<< Is his name really Tom?	Er hans navn virkelig Tom?
>>dan<< Is it OK to smoke here?	Er det i orden at ryge her?
>>dan<< Is it OK to smoke here?	Er det o.k. at ryge her?
>>dan<< Is it OK to smoke here?	Er det OK at ryge her?
>>dan<< Is it a recent picture?	Er det et nyere foto?
>>dan<< Is that what Tom meant?	Var det det, Tom mente?
>>dan<< Is the bank still open?	Har banken stadigvæk åbent?
>>dan<< Is there water on Mars?	Er der vand på Mars?
>>dan<< Is this Canadian money?	Er de her canadiske penge?
>>dan<< Is this Canadian money?	Er disse canadiske penge?
>>dan<< Is this house for sale?	Er dette hus til salg?
>>dan<< Is this really allowed?	Er dette virkelig tilladt?
>>dan<< Is this really allowed?	Er det her virkelig tilladt?
>>dan<< Is this your cellphone?	Er dette din mobiltelefon?
>>dan<< It doesn't surprise me.	Det overrasker mig ikke.
>>dan<< It had started to rain.	Det var begyndt at regne.
>>dan<< It has stopped raining.	Det er holdt op med at regne.
>>dan<< It is already too late.	Det er allerede for sent.
>>dan<< It is important for me.	Det er vigtigt for mig.
>>dan<< It is starting to rain.	Det begynder at regne.
>>dan<< It is too late for him.	Det er for sent for ham.
>>dan<< It isn't Tom's problem.	Det er ikke Toms problem.
>>dan<< It isn't a coincidence.	Det er ikke tilfældigt.
>>dan<< It isn't going to hurt.	Det kommer ikke til at gøre ondt.
>>dan<< It isn't just for show.	Det er ikke kun til pynt.
>>dan<< It looks like an apple.	Det ligner et æble.
>>dan<< It makes perfect sense.	Det giver god mening.
>>dan<< It rained hard all day.	Det regnede kraftigt hele dagen.
>>dan<< It seems obvious to me.	Det synes indlysende for mig.
>>dan<< It was Tom's own fault.	Det var Toms egen skyld.
>>dan<< It was a beautiful day.	Det var en smuk dag.
>>dan<< It was a moral victory.	Det var en moralsk sejr.
>>dan<< It was a rash decision.	Det var en overilet beslutning.
>>dan<< It was a rash decision.	Det var en forhastet beslutning.
>>dan<< It was as hard as rock.	Den var hård som sten.
>>dan<< It was as hard as rock.	Det var hårdt som sten.
>>dan<< It was nothing special.	Det var ikke noget særligt.
>>dan<< It was the final straw.	Det var det sidste strå.
>>dan<< It wasn't funny at all.	Det var overhovedet ikke sjovt.
>>dan<< It's October the third.	Det er den tredje oktober.
>>dan<< It's October the third.	Det er den 3. oktober.
>>dan<< It's Tom's masterpiece.	Det er Toms mesterværk.
>>dan<< It's Tom's only chance.	Det er Toms eneste chance.
>>dan<< It's a beautiful sword.	Det er et smukt sværd.
>>dan<< It's a joke, of course.	Det var kun for sjov.
>>dan<< It's a wonderful world.	Det er en vidunderlig verden.
>>dan<< It's against the rules.	Det er imod reglerne.
>>dan<< It's an acquired taste.	Det er en smag, man vænner sig til.
>>dan<< It's bad for the heart.	Det er dårligt for hjertet.
>>dan<< It's business as usual.	Det er business as usual.
>>dan<< It's completely normal.	Det er helt normalt.
>>dan<< It's for your own good.	Det er til dit eget bedste.
>>dan<< It's hot in Boston now.	Det er varmt i Boston nu.
>>dan<< It's incredibly boring.	Det er utroligt kedeligt.
>>dan<< It's just not worth it.	Det er bare ikke det værd.
>>dan<< It's not Tom's problem.	Det er ikke Toms problem.
>>dan<< It's not a coincidence.	Det er ikke tilfældigt.
>>dan<< It's not a coincidence.	Det er ikke en tilfældighed.
>>dan<< It's not going to hurt.	Det kommer ikke til at gøre ondt.
>>dan<< It's raining very hard.	Det styrtregner.
>>dan<< It's rather warm today.	Det er ret varmt i dag.
>>dan<< It's routine procedure.	Det er en rutinemæssig fremgangsmåde.
>>dan<< It's snowing in Boston.	Det sner i Boston.
>>dan<< It's ten o'clock sharp.	Klokken er præcis ti.
>>dan<< It's their only chance.	Det er deres eneste chance.
>>dan<< It's what Tom believed.	Det er hvad Tom troede.
>>dan<< It's your turn to sing.	Det er din tur til at synge.
>>dan<< Let's bury the hatchet.	Lad os begrave stridsøksen.
>>dan<< Let's cut to the chase.	Lad os komme til sagen.
>>dan<< Let's do that tomorrow.	Lad os gøre det i morgen!
>>dan<< Let's feed the pigeons.	Lad os fodre duerne.
>>dan<< Let's get to the point.	Lad os komme til sagen.
>>dan<< Let's have a break now.	Lad os tage en pause nu.
>>dan<< Let's make some coffee.	Lad os lave noget kaffe.
>>dan<< Let's not tell anybody.	Lad os ikke fortælle det til nogen.
>>dan<< Let's say it in French.	Lad os sige det på fransk!
>>dan<< Look out of the window.	Se ud ad vinduet.
>>dan<< Look out of the window.	Kig ud ad vinduet.
>>dan<< Make me a ham sandwich.	Lav en skinkesandwich til mig.
>>dan<< Mary has a small waist.	Mary har en smal talje.
>>dan<< Mary is very beautiful.	Mary er meget smuk.
>>dan<< Mary oiled her bicycle.	Mary smurte sin cykel.
>>dan<< Mary oiled her bicycle.	Mary har givet sin cykel olie.
>>dan<< Mary's husband is rich.	Marys mand er rig.
>>dan<< May I go to the toilet?	Må jeg gå på toilettet?
>>dan<< May I open the windows?	Må jeg åbne vinduerne?
>>dan<< May I see your license?	Må jeg se dit kørekort?
>>dan<< May we use calculators?	Må vi bruge lommeregner?
>>dan<< Men have Adam's apples.	Mænd har et adamsæble.
>>dan<< Mind your own business!	Bland dig udenom!
>>dan<< Mind your own business!	Hold snuden for dig selv!
>>dan<< Mind your own business!	Pas dig selv!
>>dan<< Mind your own business.	Bland dig udenom!
>>dan<< Mind your own business.	Bland dig udenom.
>>dan<< Mind your own business.	Hold snuden for dig selv!
>>dan<< Mind your own business.	Pas dig selv!
>>dan<< Money isn't everything.	Penge er ikke alt.
>>dan<< Montana borders Canada.	Montana grænser op til Canada.
>>dan<< My TV has quit working.	Mit tv er holdt op med at virke.
>>dan<< My TV has quit working.	Mit tv-apparat er holdt op med at fungere.
>>dan<< My car's in the garage.	Min bil står i garagen.
>>dan<< My car's in the garage.	Min bil er i garagen.
>>dan<< My cat is following me.	Min kat følger efter mig.
>>dan<< My dog ate my homework.	Min hund har spist mine lektier.
>>dan<< My dog ate my homework.	Min hund har spist min hjemmeopgave.
>>dan<< My dream has come true.	Min drøm er blevet til virkelighed.
>>dan<< My father got laid off.	Min far blev fyret.
>>dan<< My father got laid off.	Min far er blevet fyret.
>>dan<< My father lost his job.	Min far har mistet sit arbejde.
>>dan<< My father never hit me.	Min far har aldrig slået mig.
>>dan<< My father quit smoking.	Min far er holdt op med at ryge.
>>dan<< My father quit smoking.	Far er holdt op med at ryge.
>>dan<< My fingers are crossed.	Jeg krydser fingre.
>>dan<< My friend is seventeen.	Min ven er sytten år gammel.
>>dan<< My friends are amazing.	Mine venner er utrolige.
>>dan<< My friends call me Tom.	Mine venner kalder mig Tom.
>>dan<< My mother is beautiful.	Min mor er smuk.
>>dan<< My mother is on a diet.	Min mor er på diæt.
>>dan<< My name is Tom Jackson.	Mit navn er Tom Jackson.
>>dan<< My parents aren't home.	Mine forældre er ikke hjemme.
>>dan<< My son doesn't obey me.	Min søn adlyder mig ikke.
>>dan<< My watch is waterproof.	Mit ur er vandtæt.
>>dan<< My wife's name is Mary.	Min kone hedder Mary.
>>dan<< No one knew the answer.	Ingen kendte svaret.
>>dan<< Nobody likes a crybaby.	Ingen kan lide en tudefrans.
>>dan<< Nobody likes a crybaby.	Ingen kan lide en tudemarie.
>>dan<< Nobody likes a crybaby.	Ingen kan lide et tudefjæs.
>>dan<< Nobody likes a crybaby.	Ingen kan lide en tudeprins.
>>dan<< Not all apples are red.	Ikke alle æbler er røde.
>>dan<< Not all birds can sing.	Ikke alle fugle kan synge.
>>dan<< Not all birds can sing.	Det er ikke alle fugle, der kan synge.
>>dan<< Not everyone was happy.	Ikke alle var glade.
>>dan<< Nothing seemed to work.	Intet syntes at fungere.
>>dan<< Of course, he is right.	Naturligvis har han ret.
>>dan<< Oil prices have fallen.	Oliepriserne er faldet.
>>dan<< Our TV is out of order.	Vores TV er i uorden.
>>dan<< Our cat is housebroken.	Vores kat er stueren.
>>dan<< Please be my boyfriend.	Vil du ikke nok være min kæreste?
>>dan<< Please behave yourself.	Opfør dig ordentligt.
>>dan<< Please behave yourself.	Opfør dig ordentligt, tak!
>>dan<< Please wash your hands.	Vask venligst dine hænder.
>>dan<< Please wash your hands.	Vask hænderne.
>>dan<< Practice makes perfect.	Øvelse gør mester.
>>dan<< Pull yourself together!	Tag dig sammen!
>>dan<< Pull yourself together.	Tag dig sammen!
>>dan<< Rabbits have long ears.	Kaniner har lange ører.
>>dan<< Seals sleep underwater.	Sæler sover under vandet.
>>dan<< Selling cars is my job.	At sælge biler er mit arbejde.
>>dan<< She applied for a visa.	Hun ansøgte om et visum.
>>dan<< She ate only lean meat.	Hun spiste kun magert kød.
>>dan<< She couldn't afford it.	Hun havde ikke råd til det.
>>dan<< She dressed like a boy.	Hun klædte sig som en dreng.
>>dan<< She forced me to do it.	Hun tvang mig til at gøre det.
>>dan<< She had a crush on him.	Hun var skudt i ham.
>>dan<< She had a healthy baby.	Hun havde en sund baby.
>>dan<< She has a lot of money.	Hun har mange penge.
>>dan<< She has a perfect body.	Hun har en perfekt krop.
>>dan<< She has beautiful eyes.	Hun har smukke øjne.
>>dan<< She has three brothers.	Hun har tre brødre.
>>dan<< She is a gifted artist.	Hun er en talentfuld kunstner.
>>dan<< She is a wealthy woman.	Hun er en velhavende kvinde.
>>dan<< She is already married.	Hun er allerede gift.
>>dan<< She is far from honest.	Hun er langtfra ærlig.
>>dan<< She is in need of help.	Hun behøver hjælp.
>>dan<< She is in need of help.	Hun har brug for hjælp.
>>dan<< She is in the bathroom.	Hun er i badeværelset.
>>dan<< She is not a physician.	Hun er ikke læge.
>>dan<< She is used to cooking.	Hun er vant til at lave mad.
>>dan<< She likes birdwatching.	Hun holder af fuglekigning.
>>dan<< She likes birdwatching.	Hun kan lide at se på fugle.
>>dan<< She picked me an apple.	Hun plukkede et æble til mig.
>>dan<< She said she was happy.	Hun sagde at hun var lykkelig.
>>dan<< She says she does that.	Hun siger at hun gør det.
>>dan<< She says she does that.	Hun siger hun gør det.
>>dan<< She woke up on her own.	Hun vågnede af sig selv.
>>dan<< She wore a white dress.	Hun havde en hvid kjole på.
>>dan<< She's going to kill me.	Hun vil slå mig ihjel.
>>dan<< Show me where it hurts.	Vis mig hvor det gør ondt.
>>dan<< Show me your documents.	Vis mig dine dokumenter.
>>dan<< Show me your documents.	Vis mig dine papirer.
>>dan<< Someone is calling you.	Nogen kalder på dig.
>>dan<< Someone stole my lunch.	Nogen har stjålet min frokost.
>>dan<< Someone stole my watch.	Nogen har stjålet mit ur.
>>dan<< Someone stole my watch.	Nogen stjal mit ur.
>>dan<< Someone's living there.	Der bor nogen der.
>>dan<< Something must be done!	Noget må der gøres!
>>dan<< Something must be done.	Noget må der gøres!
>>dan<< Something's wrong here.	Der er noget galt her.
>>dan<< Spiders aren't insects.	Edderkopper er ikke insekter.
>>dan<< Sport knows no borders.	Sport kender ingen grænser.
>>dan<< Start at the beginning.	Begynd med begyndelsen.
>>dan<< Stop biting your nails.	Hold op med at bide dine negle.
>>dan<< Take anything you like.	Tag hvad du vil.
>>dan<< Take the money and run.	Tag pengene og stik af.
>>dan<< Take the money and run.	Tag pengene og løb væk.
>>dan<< Thank you for the soup.	Tak for suppen.
>>dan<< Thanks for the flowers.	Tak for blomsterne!
>>dan<< Thanks for the updates.	Tak for opdateringerne.
>>dan<< That bicycle isn't his.	Den cykel der er ikke hans.
>>dan<< That happens sometimes.	Det sker en gang imellem.
>>dan<< That is very expensive!	Det er meget dyrt!
>>dan<< That looks good on you.	Den klæder dig godt.
>>dan<< That man is a Canadian.	Den mand er canadier.
>>dan<< That plane is enormous!	Det fly er kæmpestort!
>>dan<< That sometimes happens.	Det sker en gang imellem.
>>dan<< That's a good question.	Det er et godt spørgsmål.
>>dan<< That's a trivial error.	Det er en banal fejl.
>>dan<< That's a trivial error.	Det er en betydningsløs fejl.
>>dan<< That's my favorite bar.	Det er min yndlingsbar.
>>dan<< That's not what I hear.	Det er ikke hvad jeg hører.
>>dan<< That's what's going on.	Det er hvad der foregår.
>>dan<< That's why I fired Tom.	Det er derfor jeg fyrede Tom.
>>dan<< That's worth repeating.	Det er værd at gentage.
>>dan<< The automobile stopped.	Bilen standsede.
>>dan<< The barbells are heavy.	Vægtstængerne er tunge.
>>dan<< The barn door was open.	Ladeporten var åben.
>>dan<< The boy sat on a chair.	Drengen sad på en stol.
>>dan<< The boy's name was Tom.	Drengen hed Tom.
>>dan<< The boy's name was Tom.	Drengens navn var Tom.
>>dan<< The building collapsed.	Bygningen er styrtet sammen.
>>dan<< The building collapsed.	Bygningen styrtede sammen.
>>dan<< The car is moving fast.	Bilen kører hurtigt.
>>dan<< The cat caught a mouse.	Katten fangede en mus.
>>dan<< The church is very big.	Kirken er meget stor.
>>dan<< The door was wide open.	Døren stod på vid gab.
>>dan<< The door wasn't locked.	Døren var ikke låst.
>>dan<< The enemy is very near.	Fjenden er meget tæt på.
>>dan<< The faucet is dripping.	Vandhanen drypper.
>>dan<< The girl has no mother.	Pigen har ingen mor.
>>dan<< The kids are at school.	Børnene er i skole.
>>dan<< The line is still busy.	Linjen er stadig optaget.
>>dan<< The line is still busy.	Der er stadig optaget.
>>dan<< The map is on the wall.	Kortet er på væggen.
>>dan<< The old barn collapsed.	Den gamle lade faldt sammen.
>>dan<< The old barn collapsed.	Den gamle stald faldt sammen.
>>dan<< The painter died young.	Maleren døde ung.
>>dan<< The piano is expensive.	Klaveret er dyrt.
>>dan<< The piano is expensive.	Pianoet er dyrt.
>>dan<< The plane was hijacked.	Flyet blev kapret.
>>dan<< The plane was hijacked.	Flyet blev hijacket.
>>dan<< The probability is low.	Sandsynligheden er lille.
>>dan<< The question is simple.	Spørgsmålet er simpelt.
>>dan<< The radio doesn't work.	Radioapparatet virker ikke.
>>dan<< The radio doesn't work.	Radioen virker ikke.
>>dan<< The rain lasted a week.	Regnvejret varede en uge.
>>dan<< The real heroes are us.	Det er os der er de virkelige helte.
>>dan<< The real heroes are us.	Det er os der er de sande helte.
>>dan<< The restaurant is full.	Restauranten er fuld.
>>dan<< The short answer is no.	Det korte svar er nej.
>>dan<< The sooner, the better.	Jo tidligere, desto bedre.
>>dan<< The sooner, the better.	Jo før, jo bedre.
>>dan<< The sooner, the better.	Jo før, desto bedre.
>>dan<< The soup is very salty.	Suppen er meget salt.
>>dan<< The sun has just risen.	Solen er lige stået op.
>>dan<< The three women smiled.	De tre kvinder smilede.
>>dan<< The three women smiled.	De tre kvinder smilte.
>>dan<< The train was derailed.	Toget blev afsporet.
>>dan<< The water was freezing.	Vandet frøs.
>>dan<< The wind began to blow.	Det begyndte at blæse op.
>>dan<< The world is dangerous.	Verden er farlig.
>>dan<< There is no dress code.	Der er ingen dresscode.
>>dan<< There's a call for you.	Der er telefon til dig!
>>dan<< There's a lot at stake.	Der er meget på spil.
>>dan<< There's a lot going on.	Der sker en masse.
>>dan<< There's no speed limit.	Der er ingen hastighedsgrænse.
>>dan<< There's no speed limit.	Der er ingen hastighedsbegrænsning.
>>dan<< There's nothing to eat.	Der er ikke noget at spise.
>>dan<< There's some milk left.	Der er noget mælk tilbage.
>>dan<< These are marshmallows.	De her er skumfiduser.
>>dan<< They are having a chat.	De får sig en sludder.
>>dan<< They have many friends.	De har mange venner.
>>dan<< They made many charges.	De fremsatte mange anklager.
>>dan<< They made me come here.	Man tvang mig til at komme herhen.
>>dan<< They say love is blind.	Man siger at kærligheden er blind.
>>dan<< They went hand in hand.	De gik hånd i hånd.
>>dan<< They went to the beach.	De tog til stranden.
>>dan<< They were so different.	De var så forskellige.
>>dan<< They've got explosives.	De har sprængstof.
>>dan<< They've just found Tom.	De har lige fundet Tom.
>>dan<< This apple is very red.	Dette æble er meget rødt.
>>dan<< This apple tastes sour.	Dette æble smager surt.
>>dan<< This artist died young.	Denne kunstner døde ung.
>>dan<< This chalkboard is old.	Tavlen her er gammel.
>>dan<< This chalkboard is old.	Den her kridttavle er gammel.
>>dan<< This decision is final.	Denne beslutning er endelig.
>>dan<< This house is for sale.	Dette hus er til salg.
>>dan<< This is a good outcome.	Dette er et godt resultat.
>>dan<< This is my grandfather.	Det er min bedstefar.
>>dan<< This is my grandmother.	Det er min bedstemor.
>>dan<< This is not a sentence.	Dette er ikke en sætning.
>>dan<< This is really serious.	Det her er virkelig alvorligt.
>>dan<< This is the last train.	Dette er det sidste tog.
>>dan<< This isn't so uncommon.	Dette er ikke så ualmindeligt.
>>dan<< This newspaper is free.	Denne avis er gratis.
>>dan<< This pizza is terrible.	Denne pizza er elendig.
>>dan<< This pizza is terrible.	Denne pizza er forfærdelig.
>>dan<< This road is dangerous.	Denne vej er farlig.
>>dan<< This song is a classic.	Denne sang er en klassiker.
>>dan<< This table is reserved.	Dette bord er reserveret.
>>dan<< This table is wobbling.	Dette bord vakler.
>>dan<< This tea is too bitter.	Denne te er for bitter.
>>dan<< This thin book is mine.	Denne tynde bog er min.
>>dan<< This was on Tom's desk.	Dette var på Toms skrivebord.
>>dan<< Those books are theirs.	De bøger er deres.
>>dan<< Today is a special day.	I dag er en særlig dag.
>>dan<< Today's Tom's birthday.	I dag er det Toms fødselsdag.
>>dan<< Tom Jackson is my hero.	Tom Jackson er min helt.
>>dan<< Tom always exaggerates.	Tom overdriver altid.
>>dan<< Tom and I are partners.	Tom og jeg er partnere.
>>dan<< Tom and Mary are alive.	Tom og Mary er i live.
>>dan<< Tom and Mary are drunk.	Tom og Mary er fulde.
>>dan<< Tom and Mary are drunk.	Tom og Mary er berusede.
>>dan<< Tom and Mary are tired.	Tom og Mary er trætte.
>>dan<< Tom and Mary are upset.	Tom og Mary er oprørte.
>>dan<< Tom and Mary live here.	Tom og Mary bor her.
>>dan<< Tom and Mary miss John.	Tom og Mary savner John.
>>dan<< Tom applied for a visa.	Tom har ansøgt om visum.
>>dan<< Tom applied for a visa.	Tom har søgt om visum.
>>dan<< Tom applied for a visa.	Tom søgte om visum.
>>dan<< Tom applied for a visa.	Tom ansøgte om visum.
>>dan<< Tom baked an apple pie.	Tom bagte en æblekage.
>>dan<< Tom baked an apple pie.	Tom har bagt en æblekage.
>>dan<< Tom became very famous.	Tom blev meget berømt.
>>dan<< Tom bought a croissant.	Tom købte en croissant.
>>dan<< Tom bought a croissant.	Tom har købt en croissant.
>>dan<< Tom bought a newspaper.	Tom købte en avis.
>>dan<< Tom bought an aquarium.	Tom købte et akvarium.
>>dan<< Tom bought an aquarium.	Tom købte et akvarie.
>>dan<< Tom called me a coward.	Tom kaldte mig en kujon.
>>dan<< Tom can ride a bicycle.	Tom kan cykle.
>>dan<< Tom can't speak French.	Tom kan ikke tale fransk.
>>dan<< Tom cannot drive a car.	Tom kan ikke køre bil.
>>dan<< Tom collects old coins.	Tom samler på gamle mønter.
>>dan<< Tom cried all day long.	Tom græd hele dagen.
>>dan<< Tom crossed the border.	Tom krydsede grænsen.
>>dan<< Tom crossed the street.	Tom krydsede gaden.
>>dan<< Tom didn't die in vain.	Tom døde ikke forgæves.
>>dan<< Tom didn't drink a lot.	Tom drak ikke meget.
>>dan<< Tom didn't say a thing.	Tom sagde ikke noget.
>>dan<< Tom doesn't drink beer.	Tom drikker ikke øl.
>>dan<< Tom doesn't have a dog.	Tom har ikke en hund.
>>dan<< Tom doesn't like pizza.	Tom kan ikke lide pizza.
>>dan<< Tom doesn't sleep here.	Tom sover ikke her.
>>dan<< Tom doesn't talk a lot.	Tom taler ikke meget.
>>dan<< Tom drinks like a fish.	Tom drikker som en svamp.
>>dan<< Tom drives a black car.	Tom kører i en sort bil.
>>dan<< Tom fell into the well.	Tom faldt i brønden.
>>dan<< Tom fell off the wagon.	Tom faldt af vandvognen.
>>dan<< Tom flushed the toilet.	Tom skyllede wc'et ud.
>>dan<< Tom forgot to buy eggs.	Tom glemte at købe æg.
>>dan<< Tom gave Mary an apple.	Tom gav Mary et æble.
>>dan<< Tom gave Mary the keys.	Tom gav Mary nøglerne.
>>dan<< Tom gave me some books.	Tom gav mig nogle bøger.
>>dan<< Tom gets a lot of help.	Tom får meget hjælp.
