>>ilo<< I try.	Padasek.
>>ilo<< Where are you from?	Sadino ti naggapuam?
>>ilo<< Who's volunteering?	Asino ti agboluntario?
>>ilo<< Why are you crying?	Apay nga agsangsangitka?
>>ilo<< You know it's true.	Ammo nga isu ti pudno.
>>ilo<< You won't be ready.	Saanka nga makasagana.
>>ilo<< You're all cowards.	Takrotkayo amin.
>>ilo<< Are there any risks?	Adda kadi pagpeggadan?
>>ilo<< Are you on Facebook?	Addaka iti Facebook?
>>ilo<< Didn't you tell Tom?	Saanmo kadi nga imbaga ken ni Tom?
>>ilo<< Do you drink coffee?	Agkapkapeka?
>>ilo<< Don't you like this?	Dimo kadi kayat daytoy?
>>ilo<< He will be punished.	Madusa isuna.
>>ilo<< I bought a VIP pass.	Gimmatangak iti pang-VIP a pases.
>>ilo<< I can't fall asleep.	Saanak a makaturog.
>>ilo<< I had a weird dream.	Nakatagtagainepak iti saan a nakapapati.
>>ilo<< I have a dictionary.	Adda diksionariok.
>>ilo<< I have a girlfriend.	Adda nobiak.
>>ilo<< I have to leave now.	Masapul a pumanawakon.
>>ilo<< I heard you singing.	Nangngeganka nga agkankanta.
>>ilo<< I make €100 a day.	Makateggedak iti €100 iti inaldaw.
>>ilo<< I need a dictionary.	Masapulko ti maysa a diksionario.
>>ilo<< I own this property.	Sanikuak daytoy.
>>ilo<< I was forced to lie.	Napilitanak a nagulbod.
>>ilo<< I wasn't even there.	Ket no awanakto pay idiay.
>>ilo<< I will be back soon.	Agsubliak met la a dagus.
>>ilo<< I will be back soon.	Agsubliak a dagus.
>>ilo<< I will be back soon.	Agsubliak met laeng.
>>ilo<< I'm blind, not deaf.	Bulsekak, saan a tuleng.
>>ilo<< I'm the new teacher.	Siak ti kabarbaro a mannursuro.
>>ilo<< I'm very sleepy now.	Makaturturogak la unayen.
>>ilo<< Is Santa Claus real?	Pudpudno kadi ni Santa Claus?
>>ilo<< Is that a yes or no?	Wen kadi dayta wenno saan?
>>ilo<< Should we wait here?	Aguraytayo kadi ditoy?
>>ilo<< Sing me a love song.	Kantaannak iti maysa a samiweng ni ayat.
>>ilo<< The ground was cold.	Diay daga ket nalamiis.
>>ilo<< They aren't farmers.	Saanda nga mannalon.
>>ilo<< They're like family.	Kaslada pamilia.
>>ilo<< They're never happy.	Saanda nga agragsak.
>>ilo<< They're nice people.	Nasayaatda a tattao.
>>ilo<< They're normal kids.	Gagangayda nga ubbing.
>>ilo<< They're not doctors.	Saanda a mangngagas.
>>ilo<< They're not farmers.	Saanda a mannalon.
>>ilo<< They're still young.	Ubbingda pay laeng.
>>ilo<< This beer is bitter.	Napait daytoy a serbesa.
>>ilo<< This is a nightmare.	Maysa daytoy a batibat.
>>ilo<< This is much better.	Amang a nasaysayaat daytoy.
>>ilo<< This is my computer.	Daytoy ti computer-ko.
>>ilo<< Tom heard the noise.	Nangngeg ni Tom ti tagari.
>>ilo<< Tom wasn't bluffing.	Saan a mangigkigtot ni Tom.
>>ilo<< We have a job to do.	Adda obra a trabahuenta.
>>ilo<< We must do it again.	Masapul nga aramidentayo manen.
>>ilo<< We need to help Tom.	Masapul a tulonganayo ni Tom.
>>ilo<< We're trying to win.	Ikarkarigatanmi ti mangabak.
>>ilo<< We've already tried.	Pinadasmin.
>>ilo<< We've been ambushed.	Inarangdakami.
>>ilo<< We've done no wrong.	Awan ti inaramidmi nga madi.
>>ilo<< What did you answer?	Ania ti insungbatmo?
>>ilo<< What time is sunset?	Ania nga oras ti ilelennek diay init?
>>ilo<< When will you leave?	Kaano a pumanawka?
>>ilo<< Where are you going?	Papanam?
>>ilo<< Where have you been?	Napnapanam?
>>ilo<< Where's your weapon?	Ayanna ti igammo?
>>ilo<< Who is your teacher?	Asino ti titsermo?
>>ilo<< Whose fault is that?	Asino ti akimbasol iti dayta?
>>ilo<< Whose house is this?	Akimbalay iti daytoy?
>>ilo<< Why am I still here?	Apay nga addaak pay la ditoy?
>>ilo<< Why are you so thin?	Apay a nakakutkuttongka metten?
>>ilo<< Why do they do this?	Apay nga ar-aramidenda daytoy?
>>ilo<< You'd better not go.	Nasaysayaat no saanka a mapan.
>>ilo<< You're just cowards.	Takrotkayo laeng.
>>ilo<< Cats have nine lives.	Siam ti biag ti pusa.
>>ilo<< Could we take a walk?	Mabalinta ti mapan magmagna?
>>ilo<< Do you have children?	Adda annakmo?
>>ilo<< Do you speak English?	Makasaoka iti Ingles?
>>ilo<< Do you study English?	Agad-adalka iti Ingles?
>>ilo<< Do you study English?	Agad-adalka kadi iti Ingles?
>>ilo<< Do you understand me?	Maawatannak kadi?
>>ilo<< Flowers attract bees.	Agawis iti alimbubuyog dagiti sabong.
>>ilo<< Give me a day or two.	Ikkannak iti maysa wenno dua nga aldaw.
>>ilo<< Go back to your seat.	Agsublika iti tugawmo.
>>ilo<< Have I convinced you?	Naallukoyka kadi?
>>ilo<< Have a drink with me.	Aginumta.
>>ilo<< Have a nice day, Tom.	Naimbag nga aldawmo, Tom.
>>ilo<< He was a good friend.	Nasayaat isuna a gayyem.
>>ilo<< I agree to your plan.	Umanamongak iti planom.
>>ilo<< I arrived last night.	Simmangpetak idi rabii.
>>ilo<< I didn't believe you.	Saanak a namati kenka.
>>ilo<< I don't believe this.	Saanko a patien daytoy.
>>ilo<< I had an early lunch.	Nasapaak a nangaldaw.
>>ilo<< I have a debt to pay.	Adda bayadak nga utangko.
>>ilo<< I have been in Paris.	Napanak idiay Paris.
>>ilo<< I have no use for it.	Awan ti pangaramatak iti dayta.
>>ilo<< I held the door open.	Linuktak ti ridaw.
>>ilo<< I keep thirteen cats.	Adda tarakenko a sangapulo-ket-tallo a pusa.
>>ilo<< I know what Tom said.	Ammok no ania ti imbaga ni Tom.
>>ilo<< I love fried bananas.	Kaykayatko ti naprito a saba.
>>ilo<< I made a paper plane.	Nagaramidak iti papel a sinan-eroplano.
>>ilo<< I miss Tom's cooking.	Kailiwko ti luto ni Tom.
>>ilo<< I'm Mary's boyfriend.	Siak ti nobio ni Mary.
>>ilo<< I'm not tired at all.	Saanak met a nabannog ketdi.
>>ilo<< I'm smarter than you.	Nalalaingak ngem sika.
>>ilo<< It is very hot today.	Nakabarbara ita nga aldaw.
>>ilo<< It rained for a week.	Nagtudo iti makalawas.
>>ilo<< No one escaped alive.	Awan ti nakalibas a sibibiag.
>>ilo<< Someone cut the rope.	Adda nangputed iti tali.
>>ilo<< The sun is coming up.	Sumingsingisingen ti init.
>>ilo<< They made fun of him.	Nagaangawanda isuna.
>>ilo<< This will cost €30.	Agpateg daytoy iti €30.
>>ilo<< Tom has a girlfriend.	Adda nobia ni Tom.
>>ilo<< Tom is extremely shy.	Managbabain la unay ni Tom.
>>ilo<< Tom is very reliable.	Mapagtalkan unay ni Tom.
>>ilo<< Tom left me the keys.	Imbati ni Tom kaniak dagiti tulbek.
>>ilo<< We should get moving.	Nasken nga aggunaytayon.
>>ilo<< We want to do it now.	Kayatmi nga aramidenen ita.
>>ilo<< We were all helpless.	Amintayo ket awanan kabaelan.
>>ilo<< We'll try to do that.	Padasenmi nga aramiden dayta.
>>ilo<< We're not terrorists.	Saankami a terorista.
>>ilo<< We've already chosen.	Nangpilikamin.
>>ilo<< What are you reading?	Ania ti basbasaem?
>>ilo<< Where are the knives?	Ayanna dagiti kutsilio?
>>ilo<< Why was Tom in there?	Apay nga adda ni Tom idiay?
>>ilo<< Why wasn't Tom there?	Apay nga awan ni Tom idiay?
>>ilo<< Why were they chosen?	Apay nga isuda ti napili?
>>ilo<< Why were you yelling?	Apay nga aglalaawka?
>>ilo<< You all look so busy.	Kasla makumikomkayo amin.
>>ilo<< You almost missed me.	Dandani dinak nakamakam.
>>ilo<< You always lie to me.	Kanayonka nga agulbod kaniak.
>>ilo<< You are new students.	Kabarbarokayo nga estudiante.
>>ilo<< You are not a coward.	Saanka a takrot.
>>ilo<< You can't blame them.	Dimo mapabasol ida.
>>ilo<< You could've said no.	Imbagam latta koma a saan.
>>ilo<< You could've written.	Insuratmo koma lattan.
>>ilo<< You have a job to do.	Adda obra nga aramidem.
>>ilo<< You have thirty days.	Adda tallopulo nga aldawmo.
>>ilo<< You must be new here.	Kabarbarokan sa ditoy.
>>ilo<< You must be so proud.	Maipagpannakelmo la ketdi.
>>ilo<< You must be thrilled.	Mapikapikka la ketdi.
>>ilo<< You need a boyfriend.	Masapulmo ti nobio.
>>ilo<< You need new clothes.	Masapulmo ti baro a pagan-anay.
>>ilo<< You need to be there.	Masapul nga addaka idiay.
>>ilo<< You said it was over.	Imbagam a nalpasen.
>>ilo<< You said so yourself.	Sika a mismo ti nangibaga.
>>ilo<< You said that before.	Imbagam dayta idin.
>>ilo<< You said we could go.	Imbagam a mabalinmi ti mapan.
>>ilo<< You three look happy.	Naragsakkayo met a tallo.
>>ilo<< You two must be busy.	Makumikomkayo la ketdi a dua.
>>ilo<< You were my favorite.	Sika ti paboritok.
>>ilo<< You're a good doctor.	Nalaingka a doktor.
>>ilo<< You're a good singer.	Nalaingka a kumakanta.
>>ilo<< You're a nice person.	Nasingpetka a tao.
>>ilo<< You're all they have.	Sika laengen ti adda a namnamada.
>>ilo<< You're not one of us.	Saandaka a kadua.
>>ilo<< You're single, right?	Awan pay asawam, saan kadi?
>>ilo<< Are these Tom's shoes?	Sapatos kadi ni Tom dagitoy?
>>ilo<< Are they done already?	Nalpasda kadin?
>>ilo<< Are those my slippers?	Tsinelasko kadi dayta?
>>ilo<< Are we ready for this?	Nakasaganatayo kadi para iti daytoy?
>>ilo<< Are you willing to go?	Sipapaluboska kadi a mapan?
>>ilo<< Bananas are delicious.	Naimas ti saba.
>>ilo<< Can you keep a secret?	Makaidulinka kadi iti maysa a palimed?
>>ilo<< Do you believe in God?	Mamatika kadi iti Dios?
>>ilo<< Do you like to travel?	Kayatmo ti agdaliasat.
>>ilo<< Do you like to travel?	Kayatmo ti agdaliasat?
>>ilo<< Do you want some wine?	Kayatmo ti arak?
>>ilo<< Do you want to try it?	Kayatmo kadi a padasen?
>>ilo<< Don't joke about that.	Saanmo a pagang-angawan ti maipapan iti dayta.
>>ilo<< Have a good Christmas.	Naimbag a Paskuam.
>>ilo<< He called me a coward.	Inawagannak a takrot.
>>ilo<< He gave me 10,000 yen.	Inikkannak iti 10,000 a yen.
>>ilo<< How long did you stay?	Kasano kabayag a nagtalinaedka?
>>ilo<< I became Tom's friend.	Nagbalinak a gayyem ni Tom.
>>ilo<< I don't wanna go back.	Diak kayataen ti agsubli.
>>ilo<< I go there every year.	Tinawen a mapmapanak idiay.
>>ilo<< I have to go to sleep.	Masapul a maturogak.
>>ilo<< I have to go to sleep.	Innak maturogen.
>>ilo<< I have to go to sleep.	Masapul nga innak maturogen.
>>ilo<< I lost my inspiration.	Napukawko ti inspirasionko.
>>ilo<< I paid about 50 bucks.	Mapan a 50 a doliar ti imbayadko.
>>ilo<< I paid for it already.	Binayadakon dayta.
>>ilo<< I paid for the damage.	Binayadak ti nadadael.
>>ilo<< I paid for the drinks.	Binayadak dagiti mainum.
>>ilo<< I thought he was sick.	Kunak no masakit isuna.
>>ilo<< I will go if you come.	Mapanak no umayka.
>>ilo<< I'll never forget you.	Saankanto a pulos malipatan.
>>ilo<< I'm here as a tourist.	Addaak ditoy a kas turista.
>>ilo<< I'm telling the truth.	Ibagbagak ti pudno.
>>ilo<< I've already paid you.	Nagbayadak kenkan.
>>ilo<< Is there life on Mars?	Adda kadi biag iti Mars?
>>ilo<< Is your watch correct?	Umno met la kadi ti oras iti relom?
>>ilo<< Nobody understands me.	Awan ti makaawat kaniak.
>>ilo<< Please close the door.	Iserram man daydiay ridaw.
>>ilo<< Tadpoles become frogs.	Agbalin a tukak dagiti bayyek.
>>ilo<< That's not the reason.	Saan a dayta ti makagapu.
>>ilo<< That's pretty amazing.	Nasayaat dayta.
>>ilo<< The die has been cast.	Nalpasen a naimolde ti sukog.
>>ilo<< There's nowhere to go.	Awanen ti mabalin a papanan.
>>ilo<< This is a wooden comb.	Sagaysay a kayo daytoy.
>>ilo<< Those men are cowards.	Takrot dagidiay a tattao.
>>ilo<< Tom eats very quickly.	Nakaparpartak a mangan ni Tom.
>>ilo<< Tom is my best friend.	Kagayyemak ni Tom.
>>ilo<< Tom wants to help out.	Kayat ni Tom ti tumulong.
>>ilo<< Tomorrow is Christmas.	Paskua no bigat.
>>ilo<< We have to be careful.	Nasken nga agan-annadtayo.
>>ilo<< We should get married.	Masapul nga agkallaysatan.
>>ilo<< We should get started.	Masapul a mangrugitayon.
>>ilo<< We've already started.	Nairugimin.
>>ilo<< We've already started.	Nangrugikamin.
>>ilo<< We've already started.	Nakarugikamin.
>>ilo<< We've been discovered.	Naduktalandakami.
>>ilo<< What a fool I've been!	Anian a kinabagtitko ngamin idin!
>>ilo<< What are your beliefs?	Ania dagiti pammatim?
>>ilo<< What brought you here?	Ania ti nakaumayam ditoy?
>>ilo<< What brought you here?	Ania ti immayam ditoy?
>>ilo<< What's in these boxes?	Ania ti adda kadagitoy a kahon?
>>ilo<< What's in those cases?	Ania ti adda kadagidiay a kahon?
>>ilo<< What's my room number?	Ania ti numero ti siledko?
>>ilo<< When is your birthday?	Kaano ti kasangaymo?
>>ilo<< Where are our friends?	Ayanna dagiti gagayyemtayo?
>>ilo<< Who am I talking with?	Asino kadi ti kasarsaritak?
>>ilo<< Why should I be there?	Apay koma nga addaak idiay?
>>ilo<< You will pay for this.	Agbayadka gapu iti daytoy.
>>ilo<< Cats dislike being wet.	Saan a kayat dagiti pusa ti mabasa.
>>ilo<< Cats usually hate dogs.	Gagangay a kagura ti pusa ti aso.
>>ilo<< Do you know the answer?	Ammom kadi ti sungbat?
>>ilo<< Do you like doing this?	Kayatmo kadi nga ar-aramiden ti kastoy?
>>ilo<< Do you like my clothes?	Kayatmo kadi dagiti kawesko?
>>ilo<< Does Tom know who I am?	Ammo kadi ni Tom no asinoak?
>>ilo<< Does that make you sad?	Malidayanka kadi iti dayta?
>>ilo<< Don't you come near me.	Saanka nga umasideg kaniak.
>>ilo<< He often quotes Milton.	Kanayonna a dakamaten ni Milton.
>>ilo<< He sent a card to Mary.	Nangipatulod iti tarheta ken ni Mary.
>>ilo<< I cannot possibly come.	Saan a mabalin nga umayak.
>>ilo<< I don't speak Japanese.	Diak agsasao iti Hapones.
>>ilo<< I got on the wrong bus.	Sabali a bus ti naluganak.
>>ilo<< I love Christmas songs.	Kaykayatak dagiti kanta a Pamaskua.
>>ilo<< I will be more careful.	Amang nga agan-annadakon.
>>ilo<< I will gladly help you.	Maragsakanak a mangtulong kenka.
>>ilo<< I wish I was in Boston.	Kayatko nga addaak koma idiay Boston.
>>ilo<< I wish to go to Hawaii.	Kayatko ti mapan idiay Hawaii.
>>ilo<< I'll wait for you here.	Urayenka ditoy.
>>ilo<< I'm just being careful.	Naannadak laeng.
>>ilo<< I'm trying to help you.	Padpadasek a tulonganka.
>>ilo<< I've got no money left.	Awanen ti nabati a kuartak.
>>ilo<< I've got to be careful.	Masapul nga agannadak.
>>ilo<< Is it a recent picture?	Kaudian kadi a retrato?
>>ilo<< Is your mother at home?	Adda kadi ti nanangmo iti balayyo?
>>ilo<< It's October the third.	Maikatlo ita ti Oktubre.
>>ilo<< Just be careful of Tom.	Annadam laeng ni Tom.
>>ilo<< Life is like a journey.	Kasla maysa a panagdaliasat ti biag.
>>ilo<< Living here isn't easy.	Ti panaggian ditoy ket haan nga naannayas.
>>ilo<< May I watch TV tonight?	Mabalin nga agbuyaak iti TV ita a rabii?
>>ilo<< My father's car is new.	Kabarbaro ti kotse ti tatangko.
>>ilo<< My scalp is very itchy.	Nakagatgatel ti kudil ti ulok.
>>ilo<< She is used to cooking.	Naruam isuna nga agluto.
>>ilo<< She tore up the letter.	Pinigisna ti surat.
>>ilo<< Shouldn't we stop this?	Saantayo kadi nga isardeng daytoy?
>>ilo<< Someone gave Tom a car.	Adda nangted iti kotse ken ni Tom.
>>ilo<< Tell Tom to be careful.	Ibagam ken ni Tom nga agan-annad.
>>ilo<< The key is on the desk.	Adda ti tulbek iti lamisaan.
>>ilo<< They're always careful.	Naannnadda a kanayon.
>>ilo<< This clock is electric.	Dekoriente daytoy a relo.
>>ilo<< Tom can finish the job.	Kabaelan ni Tom a leppasen ti trabaho.
>>ilo<< Tom could beat anybody.	Abaken ni Tom ti uray asino.
>>ilo<< Tom is a buddy of mine.	Barkadak ni Tom.
>>ilo<< Tom is right behind me.	Adda a mismo ni Tom iti likudak.
>>ilo<< Tom is smaller than me.	Napampandek ni Tom ngem iti siak.
>>ilo<< Tom told us everything.	Inlatak ni Tom ti amin.
>>ilo<< Tom wasn't celebrating.	Saan nga agramrambak ni Tom.
>>ilo<< Tom wasn't complaining.	Saan nga agrekreklamo ni Tom.
>>ilo<< Tom watched Mary leave.	Binuybuya ni Tom ti ipapanaw ni Mary.
>>ilo<< Tom went up the stairs.	Immuli ni Tom iti agdan.
>>ilo<< Tom will agree with me.	Umanamongto kaniak ni Tom.
>>ilo<< Tom will be so excited.	Magagaran la ketdi unay ni Tom.
>>ilo<< Tom, please be careful.	Pangngaasim ta agan-annadka, Tom.
>>ilo<< We need to protect Tom.	Masapul a salaknibanayo ni Tom.
>>ilo<< We'd better get inside.	Nasaysayaat no umunegtan.
>>ilo<< Were you aware of this?	Pagaammom kadi daytoy?
>>ilo<< What a beautiful dress!	Anian a nagpintas a bado!
>>ilo<< What a beautiful scene!	Anian a nagpintas a buya!
>>ilo<< When did you find this?	Nakasarakam iti daytoy?
>>ilo<< When have I told a lie?	Kaano pay met a nagulbodak?
>>ilo<< Where do I put my bags?	Pangipanak kadagiti bagko?
>>ilo<< Who else is down there?	Asino pay ti adda idiay?
>>ilo<< Whose golf bag is this?	Akin-golf bag iti daytoy?
>>ilo<< Why are you busy today?	Apay a makumikomka ita nga aldaw?
>>ilo<< You are very beautiful.	Nakapimpintaska.
>>ilo<< You have to be careful.	Masapul nga agannadka.
>>ilo<< You have to be careful.	Masapul a naannadka.
>>ilo<< You were late for work.	Naladawka iti trabahom.
>>ilo<< All my friends like you.	Kayatdaka dagiti amin a gagayyemko.
>>ilo<< Ask me again in October.	Damagemto manen kaniak inton Oktubre.
>>ilo<< Did you really go there?	Agpayso kadi a napanka idiay?
>>ilo<< Do you have a cellphone?	Adda cellphone-mo?
>>ilo<< Don't make a fool of me.	Dinak a balbalatongen.
>>ilo<< Don't you know who I am?	Dimo kadi ammo no asinoak?
>>ilo<< He asked us to help him.	Tulongantayo kano isuna.
>>ilo<< He fought until the end.	Limmaban agingga iti maudi a kanito.
>>ilo<< I didn't know you cared.	Diak ammo nga impategnak.
>>ilo<< I hope to see you again.	Sapay ta agkitata manen.
>>ilo<< I never liked Christmas.	Diak pulos kinayat ti Paskua.
>>ilo<< I really need your help.	Kasapulak unay ti tulongmo.
>>ilo<< I thought you'd love it.	Ti ammok ket kayat mo daytoy.
>>ilo<< I'll be back in October.	Agsubliak no Oktubre.
>>ilo<< I'll follow your advice.	Tungpalek ti pammagbagam.
>>ilo<< I'll see you in October.	Kitaenkanto no Oktubre.
>>ilo<< I'll wait until October.	Agurayak agingga iti Oktubre.
>>ilo<< I'll write you a letter.	Suratankanto.
>>ilo<< I'm at a loss for words.	Diak ammo ti sawek.
>>ilo<< I'm looking for a house.	Adda birbirokek a balay.
>>ilo<< I'm looking for a house.	Agsapsapulak iti balay.
>>ilo<< It's the right decision.	Isu ti umno a pangngeddeng.
>>ilo<< Let me see the pictures.	Bay-am a kitaek dagiti ladawan.
>>ilo<< Scorpions are dangerous.	Napeggad dagiti manggagamma.
>>ilo<< She gave birth to twins.	Nagpasngay isuna iti singin.
>>ilo<< Tell them to be careful.	Ibagam kadakuada nga agannadda.
>>ilo<< They fought for freedom.	Nakirupirda para iti wayawaya.
>>ilo<< They fought for freedom.	Nakidangadangda para iti wayawaya.
>>ilo<< This house is abandoned.	Nagpanawan daytoy a balay.
>>ilo<< Tom handed Mary the key.	Inyawat ni Tom ti tulbek ken ni Mary.
>>ilo<< Tom is young and single.	Baro ni Tom ken awanan asawa.
>>ilo<< Tom sang some old songs.	Nagkanta ni Tom iti sumagmamano a daan a kanta.
>>ilo<< Tom seems to be excited.	Kasla magagaran ni Tom.
>>ilo<< Tom showed me a picture.	Adda impakita ni Tom kaniak a ladawan.
>>ilo<< Tom still can't go home.	Saan pay a makaawid ni Tom.
>>ilo<< Tom touched my shoulder.	Inaprosan ni Tom ti abagak.
>>ilo<< Tom was born in October.	Oktubre a nayanak ni Tom.
>>ilo<< Tom wasn't contributing.	Saan a mangmangted ni Tom.
>>ilo<< We should get back home.	Masapul nga agawidtan.
>>ilo<< Where can I put my bags?	Sadino ti mabalin a pangipanak kadagiti bagko?
>>ilo<< Who does this belong to?	Asino ti akinkukua iti daytoy?
>>ilo<< Who don't you know here?	Asino ti dimo am-ammo ditoy?
>>ilo<< You look very beautiful.	Nakapimpintas ti langam.
>>ilo<< You must do it yourself.	Nasken a sika a mismo ti mangaramid.
>>ilo<< You're not going to win.	Saanka a mangabak.
>>ilo<< You're not going to win.	Saankanto a mangabak.
>>ilo<< A glass of water, please.	Sangabaso man a danum, pangngaasim.
>>ilo<< Christmas is coming soon.	Umadanin ti Paskua.
>>ilo<< Do you believe in ghosts?	Mamatika kadi kadagiti al-alia?
>>ilo<< Do you know anybody here?	Adda kadi am-ammom ditoy?
>>ilo<< Do you know how to do it?	Ammom kadi no kasano nga aramiden?
>>ilo<< Do you remember who I am?	Malagipmo pay laeng no siasinoak?
>>ilo<< Do you want pepper on it?	Kayatmo kadi nga adda silina?
>>ilo<< Do you want to get drunk?	Kayatmo kadi ti mabartek?
>>ilo<< Don't forget who you are.	Dimo liplipatan no asinoka.
>>ilo<< Don't play with that key!	Dimo abalbalayen dayta a tulbek!
>>ilo<< Don't they drive you mad?	Didaka kadi pagbagtiten?
>>ilo<< Don't you recognize them?	Dimo kadi malasin ida?
>>ilo<< He doesn't have a sister.	Awan kabsatna a babai.
>>ilo<< He has lots of new ideas.	Adu ti kabarbaro nga ideana.
>>ilo<< He is liked by everybody.	Kayat isuna ti amin.
>>ilo<< He tried to get up early.	Pinadasna ti agriing a nasapa.
>>ilo<< He whistled as he walked.	Agsagsagawisiw isuna kabayatan a magmagna.
>>ilo<< How large is your family?	Kasano kadakkel ti familiam?
>>ilo<< How long were they there?	Kasano kabayagen nga addada idiay?
>>ilo<< How's everything at home?	Mag-an ti amin iti balay?
>>ilo<< I can't live without you.	Diak agbiag no awanka.
>>ilo<< I didn't know what to do.	Diak ammo no ania ti aramidek.
>>ilo<< I had no clue what to do.	Awan pamalpalatpatak no ania ti aramiden.
>>ilo<< I haven't read this book.	Saanko pay a nabasa daytoy a libro.
>>ilo<< I haven't washed my hair.	Saanko a ginulgolan ti buokko.
>>ilo<< I need to sleep a little.	Kasapulak ti maturog uray sangkabassit.
>>ilo<< I opened the door slowly.	Inin-inutko a linuktan ti ridaw.
>>ilo<< I paid for these tickets.	Binayadak dagitoy a tiket.
>>ilo<< I paid to have this done.	Nagbayadak tapno maileppas daytoy.
>>ilo<< I really want to see you.	Kayatko la unay a makitaka.
>>ilo<< I saw him enter the room.	Nakitak isuna a simrek iti siled.
>>ilo<< I sold it this afternoon.	Inlakok itay malem.
>>ilo<< I will write to you soon.	Suratankanto iti mabiit.
>>ilo<< I'll never do this again.	Diakton pulos aramiden daytoy.
>>ilo<< I'll never see Tom again.	Saankonton a pulos a makita pay ni Tom.
>>ilo<< I'm not going to read it.	Saanko nga basaen daytoy.
>>ilo<< I'm tired of watching TV.	Naumaakon nga agbuya iti TV.
>>ilo<< I'm trying to do my best.	Ikarkarigatak nga aramidem ti amin a kabaelak.
>>ilo<< I'm very glad to see you.	Maragsakanak unay a makakita kenka.
>>ilo<< I've been to the dentist.	Napanak iti dentista.
>>ilo<< I've never been to Paris.	Diak pay nakapan idiay Paris.
>>ilo<< Is it OK to do that here?	OK laeng kadi nga aramiden dayta ditoy?
>>ilo<< It happened last October.	Napasamak idi napan nga Oktubre.
>>ilo<< Terrorists blew up a bus.	Pinabettak dagiti terorista ti bus.
>>ilo<< The blanket is still wet.	Nabasa pay laeng ti ules.
>>ilo<< The blood test is normal.	Normal ti resulta ti pannakaamiris ti dara.
>>ilo<< The book is on the table.	Adda ti libro iti lamisaan.
>>ilo<< They called him a coward.	Inagawanda isuna a takrot.
>>ilo<< This is a very tall tree.	Nakataytayag a kayo daytoy.
>>ilo<< Tom didn't think of that.	Saan a napanunot ni Tom dayta.
>>ilo<< Tom has lost his car key.	Napukaw ni Tom ti tulbek ti kotsena.
>>ilo<< Tom is one of my friends.	Maysa kadagiti gayyemko ni Tom.
>>ilo<< Tom searched for the key.	Binirok ni Tom ti tulbek.
>>ilo<< Tom told Mary everything.	Imbaga ni Tom ti amin ken ni Mary.
>>ilo<< Tom wasn't concentrating.	Saan nga ipaspasnek ni Tom.
>>ilo<< Was the book interesting?	Napintas kadi ti libro?
>>ilo<< Were there any witnesses?	Adda kadi met la dagiti saksi?
>>ilo<< What can I do about this?	Ania ti maaramidak maipapan iti daytoy a banag?
>>ilo<< What does this word mean?	Ania ti kaipapanan daytoy a balikas?
>>ilo<< What he lacks is courage.	Ti kurang kenkuana ket kinatured.
>>ilo<< Who wrote these messages?	Asino ti nagsurat kadagitoy a mensahe?
>>ilo<< Why do you need a doctor?	Apay a masapulmo ti doktor?
>>ilo<< Why should I talk to Tom?	Apay koma a nasken a makisaritaak ken ni Tom?
>>ilo<< Will you stop teasing me?	Di la mabalin a sardengannak a rabrabaken?
>>ilo<< You are guilty of murder.	Nagbasolka iti pammapatay.
>>ilo<< You have chosen the best.	Pinilim ti kasasayaatan.
>>ilo<< Am I responsible for this?	Siak kadi ti responsable iti daytoy?
>>ilo<< Could you turn off the TV?	Mabalin kadi nga iddepem dayta TV?
>>ilo<< Do you still need my help?	Masapulmo pay la kadi ti tulongko?
>>ilo<< Don't worry. I'm a doctor.	Dika madanagan. Maysaak a doktor.
>>ilo<< He said that he was happy.	Kunana a naragsak isuna.
>>ilo<< He talked to me every day.	Kasasaonak iti inaldaw.
>>ilo<< How's that business going?	Kasano met ti tarayna dayta a negosio?
>>ilo<< I can't live without a TV.	Saanak nga agbiag no awan ti TV.
>>ilo<< I couldn't think straight.	Saanak a mapapanunot iti limpio.
>>ilo<< I have to wash the dishes.	Masapul nga innawak dagiti pinggan.
>>ilo<< I need to quit doing this.	Kasapulak nga isardeng daytoy.
>>ilo<< I think that you're wrong.	Panagkunak ket nagbiddutka.
>>ilo<< I try to keep my promises.	Ikarigatak a takderan dagiti karik.
>>ilo<< I want to be in your plan.	Kayatko ti makiraman iti planom.
>>ilo<< I watched TV this morning.	Nagbuyaak iti TV itay bigat.
>>ilo<< I'll never run away again.	Saanakon nga aglibas.
>>ilo<< I'm sure you're very busy.	Ammok a makumikomka unay.
>>ilo<< I've decided to marry Tom.	Inkeddengko nga ikallaysak ni Tom.
>>ilo<< It was just an experiment.	Maysa laeng nga eksperimento.
>>ilo<< My birthday is in October.	Kasangayko ket iti Oktubre.
>>ilo<< This cave is full of bats.	Napno iti panniki daytoy a gukayab.
>>ilo<< Tom doesn't know who I am.	Saan nga ammo ni Tom no asinoak.
>>ilo<< Tom is a spineless coward.	Awan durina a takrot ni Tom.
>>ilo<< Tom is always watching TV.	Kanayon nga agbuya iti TV ni Tom.
>>ilo<< Tom is always watching TV.	TV la ti ob-obraen ni Tom.
>>ilo<< Tom knows what this means.	Ammo ni Tom no ania ti kaipapanan daytoy.
>>ilo<< Tom left in early October.	Pimmanaw ni Tom idi nasapa nga Oktubre.
>>ilo<< Tomorrow is Christmas Day.	Kaaldawan ti Paskua no bigat.
>>ilo<< What are you trying to do?	Ania ti igaygay-atmo nga aramiden?
