>>ind<< Hi.	Hai.
>>ind<< We're all very excited.	Kami semua sangat bersemangat.
>>ind<< We're lucky, aren't we?	Kita beruntung, kan?
>>ind<< We're lucky, aren't we?	Kami beruntung, kan?
>>ind<< We're stuck in traffic.	Kami terjebak kemacetan.
>>ind<< We've been cooperative.	Kami selalu kooperatif.
>>ind<< We've been helping Tom.	Kami selalu membantu Tom.
>>ind<< We've done what we can.	Kami telah melakukan yang kami bisa.
>>ind<< We've only got an hour.	Kita hanya punya waktu satu jam.
>>ind<< We've run out of sugar.	Kita kehabisan gula.
>>ind<< What Tom did was wrong.	Yang Tom lakukan itu salah.
>>ind<< What actually happened?	Apa yang sebenarnya terjadi?
>>ind<< What are carbohydrates?	Apa itu karbohidrat?
>>ind<< What are they drinking?	Apa yang mereka minum?
>>ind<< What are they drinking?	Mereka minum apa?
>>ind<< What are you two doing?	Apa yang kalian berdua lakukan?
>>ind<< What changed your mind?	Apa yang mengubah pendapatmu?
>>ind<< What did you tell them?	Apa yang kalian katakan padanya?
>>ind<< What do I need to know?	Apa yang harus aku tahu?
>>ind<< What do I need to know?	Apa yang harus kuketahui?
>>ind<< What do you want to do?	Apa yang ingin kau lakukan?
>>ind<< What does your aunt do?	Bibimu sedang melakukan apa?
>>ind<< What fun would that be?	Memang apa bagusnya itu?
>>ind<< What is your name, sir?	Siapa nama anda, pak ?
>>ind<< What made you so angry?	Apa yang membuatmu begitu marah?
>>ind<< What time can you come?	Pada pukul berapa Anda bisa datang?
>>ind<< What time does it open?	Bukanya pada pukul berapa?
>>ind<< What're we looking for?	Apa yang sedang kita cari?
>>ind<< What's the matter, Tom?	Ada apa, Tom?
>>ind<< What's your cat's name?	Siapa nama kucingmu?
>>ind<< What's your major, Tom?	Apa jurusanmu, Tom?
>>ind<< What's your occupation?	Apa pekerjaanmu?
>>ind<< When did you finish it?	Kapan kamu menyelesaikannya?
>>ind<< When do you want to go?	Kamu ingin pergi kapan?
>>ind<< Where are your parents?	Di mana orang tuamu?
>>ind<< Where did you buy this?	Kamu beli ini di mana?
>>ind<< Where did you try them?	Di mana kamu mencobanya?
>>ind<< Where do you come from?	Dari mana asalmu?
>>ind<< Where is the newspaper?	Korannya mana?
>>ind<< Where is your backpack?	Di mana ranselmu?
>>ind<< Where is your fiancée?	Di mana tunanganmu?
>>ind<< Where've you guys been?	Ke mana saja kalian?
>>ind<< Which way is the beach?	Pantainya ada di sebelah mana?
>>ind<< Who did you give it to?	Kepada siapa kamu memberikannya?
>>ind<< Who opened the windows?	Siapa yang membuka jendela?
>>ind<< Whose is that notebook?	Buku catatan itu punya siapa?
>>ind<< Whose notebook is that?	Buku catatan itu punya siapa?
>>ind<< Whose umbrella is this?	Ini payung milik siapa?
>>ind<< Why are you still here?	Kenapa kamu masih di sini?
>>ind<< Why do you need change?	Kenapa kamu membutuhkan uang kembalian?
>>ind<< Why don't you help him?	Bagaimana kalau kamu membantunya?
>>ind<< Why is no one here yet?	Kenapa belum ada siapa-siapa disini?
>>ind<< Why should this happen?	Mengapa ini harus terjadi?
>>ind<< Will you come tomorrow?	Apakah kau akan datang besok?
>>ind<< Will you do that today?	Apakah kalian akan melakukannya hari ini?
>>ind<< Will you do that today?	Apakah Anda akan melakukannya hari ini?
>>ind<< Will you do that today?	Apakah kamu akan melakukannya hari ini?
>>ind<< Will you open the door?	Boleh tolong buka pintunya?
>>ind<< Wolves have long tails.	Serigala memiliki ekor yang panjang.
>>ind<< Would you like to come?	Apakah Anda akan datang?
>>ind<< Would you like to come?	Akankah kamu datang?
>>ind<< Would you like to come?	Maukah kamu datang?
>>ind<< Yesterday was Thursday.	Kemarin hari Kamis.
>>ind<< You are my best friend.	Kau adalah sahabat karibku.
>>ind<< You are taller than me.	Kamu lebih tinggi dariku.
>>ind<< You are very beautiful.	Kamu sangat cantik.
>>ind<< You can still help Tom.	Kamu masih bisa membantu Tom.
>>ind<< You can't ride a horse.	Kamu tidak bisa menunggang kuda.
>>ind<< You could have done it.	Kau harusnya bisa melakukannya.
>>ind<< You had plenty of time.	Kau punya banyak waktu.
>>ind<< You have to be patient.	Kau harus bersabar.
>>ind<< You just can't give up.	Kamu tidak boleh menyerah.
>>ind<< You may close the door.	Kamu boleh menutup pintunya.
>>ind<< You may use my new car.	Kau boleh menggunakan mobil baruku.
>>ind<< You must go to bed now.	Kau harus pergi tidur sekarang.
>>ind<< You need to stay awake.	Kamu harus tetap bangun.
>>ind<< You need to stay awake.	Kamu harus tetap terjaga.
>>ind<< You seem to like fruit.	Sepertinya Anda suka dengan buah-buahan.
>>ind<< You should go home now.	Kamu harus pulang sekarang.
>>ind<< You should know better.	Kamu harusnya tahu.
>>ind<< You should stay in bed.	Kau harus tetap beristirahat.
>>ind<< You should work harder.	Kamu harus bekerja lebih keras.
>>ind<< You should've told Tom.	Harusnya kamu memberi tahu Tom.
>>ind<< You were at my wedding.	Kamu ada pada acara pernikahanku.
>>ind<< You were late for work.	Kau terlambat untuk bekerja.
>>ind<< You'd better go by bus.	Lebih baik kau pergi dengan bus.
>>ind<< You'll lose everything.	Kamu akan kehilangan segalanya.
>>ind<< You're going to eat it.	Kamu akan memakannya.
>>ind<< You're perfectly right.	Kau memang benar.
>>ind<< You're very courageous.	Kamu berani sekali.
>>ind<< Your answer is correct.	Jawabanmu benar.
>>ind<< Your answer is correct.	Jawaban kalian benar.
>>ind<< Your answer is correct.	Jawaban Anda benar.
>>ind<< Your cake is delicious.	Kuemu enak.
>>ind<< Your plan sounds great.	Rencanamu kedengarannya bagus.
>>ind<< A hexagon has six sides.	Segi enam mempunyai enam sisi.
>>ind<< Ah, I see what you mean.	Ah, aku paham maksudmu.
>>ind<< Apparently, I was wrong.	Rupanya saya salah.
>>ind<< Are you attracted to me?	Apa kau tertarik padaku?
>>ind<< Are you happy right now?	Apakah kamu sedang senang sekarang?
>>ind<< Are you happy right now?	Apakah kamu bahagia saat ini?
>>ind<< Are you really a doctor?	Apakah Anda benar-benar dokter?
>>ind<< Are you sure about that?	Apa kau yakin dengan hal itu?
>>ind<< Are you sure about this?	Apa kau yakin dengan hal ini?
>>ind<< At least I wasn't alone.	Paling tidak aku tidak seorang diri.
>>ind<< At least I'll die happy.	Setidaknya aku akan mati bahagia.
>>ind<< Can I borrow your radio?	Bisa aku pinjam radiomu?
>>ind<< Can I see the wine list?	Bisakah aku melihat daftar minuman anggurnya?
>>ind<< Can I see your passport?	Dapatkah saya melihat paspor anda?
>>ind<< Can I use a credit card?	Bisa pakai kartu kredit?
>>ind<< Can we go to the circus?	Bisakah kita pergi ke sirkus?
>>ind<< Can we use a calculator?	Bolehkah kami menggunakan kalkulator?
>>ind<< Can you believe it, Tom?	Bisakah kamu memercayai itu, Tom?
>>ind<< Can you eat raw oysters?	Apa kau bisa memakan tiram mentah?
>>ind<< Can you fly an airplane?	Bisakah kamu menerbangkan pesawat?
>>ind<< Can you get it repaired?	Bisakah kau memperbaikinya?
>>ind<< Can you play the violin?	Kamu bisa main biola?
>>ind<< Can you play the violin?	Bisakah kamu bermain biola?
>>ind<< Can you play the violin?	Bisakah kalian bermain biola?
>>ind<< Can you read this kanji?	Dapatkah kau membaca kanji ini?
>>ind<< Can you teach me French?	Bisakah Anda mengajari saya bahasa Prancis?
>>ind<< Can't you speak English?	Bisakah kau menggunakan bahasa Inggris?
>>ind<< Close your eyes, please.	Tolong tutup matamu.
>>ind<< Cockroaches are insects.	Kecoak adalah serangga.
>>ind<< Could I borrow your car?	Bolehkah aku meminjam mobilmu?
>>ind<< Did Tom know what to do?	Apa Tom tahu apa yang harus ia lakukan?
>>ind<< Did anyone else see you?	Adakah seseorang yang melihatmu?
>>ind<< Did you come here alone?	Apa kau datang kemari sendirian?
>>ind<< Did you know about this?	Apakah Anda mengetahui hal ini?
>>ind<< Did your wish come true?	Apakah harapanmu terkabul?
>>ind<< Didn't you see anything?	Kamu tidak melihat apa-apa?
>>ind<< Do I look like an idiot?	Apakah aku terlihat seperti seorang idiot?
>>ind<< Do they have a computer?	Apakah mereka punya komputer?
>>ind<< Do you feel like eating?	Apa kau mau makan?
>>ind<< Do you really mean that?	Apa kau serius mengatakannya?
>>ind<< Do you remember my name?	Apakah Anda ingat nama saya?
>>ind<< Do you still read books?	Apa kau masih membaca buku-buku?
>>ind<< Do you want some coffee?	Ingin minum kopi?
>>ind<< Do you want to use mine?	Apa kamu mau pinjam punyaku?
>>ind<< Do you work on Saturday?	Apakah Anda bekerja pada hari Sabtu?
>>ind<< Does Tom drink red wine?	Apakah Tom minum anggur merah?
>>ind<< Does Tom live near here?	Apakah Tom tinggal di dekat sini?
>>ind<< Don't go out after dark.	Jangan pergi keluar setelah hari menjadi gelap.
>>ind<< Don't look in my closet.	Jangan lihat isi lemari saya.
>>ind<< Don't make a fool of me.	Jangan mempermainkanku.
>>ind<< Don't play in this room.	Jangan bermain di kamar ini.
>>ind<< Don't read in this room.	Jangan membaca di kamar ini.
>>ind<< Don't state the obvious.	Jangan mengatakan yang sudah jelas.
>>ind<< Don't swim in the river.	Jangan berenang di sungai.
>>ind<< Everyone is helping Tom.	Semua orang membantu Tom.
>>ind<< Everyone is helping Tom.	Semua orang menolong Tom.
>>ind<< Everyone is here, right?	Semuanya sudah di sini, kan?
>>ind<< Everyone makes mistakes.	Semua orang pernah melakukan kesalahan.
>>ind<< Everyone was speechless.	Semua orang kehabisan kata-kata.
>>ind<< Everything was arranged.	Semuanya sudah diatur.
>>ind<< Everything's dirt-cheap.	Semuanya sangat murah.
>>ind<< Everything's very cheap.	Semuanya sangat murah.
>>ind<< Get me an extra blanket.	Carikan aku selimut lagi.
>>ind<< Give us a ride downtown.	Tolong antarkan kami sampai ke pusat kota.
>>ind<< Good morning, everybody.	Selamat pagi, semuanya.
>>ind<< Have you been to London?	Kau pernah pergi ke London?
>>ind<< Have you been to London?	Kau pernah ke London?
>>ind<< Have you eaten anything?	Apakah kamu sudah makan sesuatu?
>>ind<< Have you ever seen this?	Pernakah Anda melihat ini?
>>ind<< Have you lost your mind?	Apa kau sudah gila?
>>ind<< Have you met her before?	Apakah kau pernah bertemu dengannya sebelumnya?
>>ind<< Have you seen something?	Kamu melihat sesuatu?
>>ind<< He asked for more money.	Dia meminta lebih banyak uang.
>>ind<< He came back from China.	Dia kembali dari Cina.
>>ind<< He gets mad very easily.	Dia sangat mudah marah.
>>ind<< He has been to Hokkaido.	Dia sudah pernah ke Hokkaido.
>>ind<< He left ten minutes ago.	Dia berangkat sepuluh menit yang lalu.
>>ind<< He resembles his mother.	Dia mirip dengan ibunya.
>>ind<< He's my younger brother.	Dia adikku.
>>ind<< He's my younger brother.	Dia adik laki-lakiku.
>>ind<< Her first name was Mary.	Nama depannya Mary.
>>ind<< Here's my email address.	Ini alamat e-mailku.
>>ind<< Hey! Let's start eating.	Ayo! Kita mulai makan.
>>ind<< His car ran into a tree.	Mobilnya menabrak pohon.
>>ind<< His daughter is a nurse.	Anak perempuannya adalah seorang perawat.
>>ind<< His daughter is a nurse.	Anak perempuannya seorang perawat.
>>ind<< How about taking a rest?	Mau istirahat?
>>ind<< How are you doing today?	Bagaimana kabarmu hari ini?
>>ind<< How can I know for sure?	Bagaimana caranya agar aku bisa mengetahuinya secara pasti?
>>ind<< How did this effect you?	Bagaimana efeknya untukmu?
>>ind<< How did you get injured?	Bagaimana kamu bisa terluka?
>>ind<< How do you do that, Tom?	Bagaimana kamu melakukannya, Tom?
>>ind<< How hungry are you, Tom?	Seberapa lapar kamu, Tom?
>>ind<< How long do horses live?	Berapa lama kuda hidup?
>>ind<< How much is this camera?	Kamera ini berapa harganya?
>>ind<< How's life in Australia?	Bagaimana kehidupan di Australia?
>>ind<< I admit I was surprised.	Kuakui aku terkejut.
>>ind<< I always walk to school.	Aku selalu berjalan ke sekolah.
>>ind<< I am disgusted with you.	Aku sudah muak denganmu.
>>ind<< I can't find my glasses.	Aku tidak bisa menemukan kacamataku.
>>ind<< I can't give up smoking.	Aku tidak bisa berhenti merokok.
>>ind<< I can't remember either.	Saya juga tidak ingat.
>>ind<< I couldn't convince Tom.	Aku tidak bisa membujuk Tom.
>>ind<< I couldn't get to sleep.	Aku tidak bisa tidur.
>>ind<< I didn't touch anything.	Saya tidak menyentuh apa pun.
>>ind<< I don't know what to do.	Aku tidak tahu harus berbuat apa.
>>ind<< I don't like exercising.	Saya tidak suka berolahraga.
>>ind<< I don't like gray skies.	Aku tidak suka langit kelabu.
>>ind<< I don't like it, either.	Aku juga tidak menyukainya.
>>ind<< I don't like my new job.	Aku tidak suka pekerjaan baruku.
>>ind<< I don't like rock music.	Aku tidak suka musik rok.
>>ind<< I don't like that store.	Saya tidak suka toko itu.
>>ind<< I don't like this movie.	Aku tidak suka film ini.
>>ind<< I don't like this place.	Aku tidak suka tempat ini.
>>ind<< I don't need it anymore.	Aku tidak butuh itu lagi.
>>ind<< I don't need it anymore.	Aku tidak membutuhkan itu lagi.
>>ind<< I don't think Tom cared.	Kupikir Tom tidak peduli.
>>ind<< I don't think Tom cares.	Kupikir Tom tidak peduli.
>>ind<< I don't want it anymore.	Aku sudah tidak menginginkannya.
>>ind<< I don't want to die yet.	Aku masih belum mau mati.
>>ind<< I don't want to see you.	Aku tidak mau melihat kalian.
>>ind<< I don't work for anyone.	Aku tidak bekerja untuk siapapun.
>>ind<< I don't work on Mondays.	Aku tidak bekerja pada hari Senin.
>>ind<< I drank too much coffee.	Aku kebanyakan minum kopi.
>>ind<< I eat dinner after work.	Aku makan malam setelah bekerja.
>>ind<< I go to school at seven.	Aku pergi ke sekolah pada pukul tujuh.
>>ind<< I got an F in chemistry.	Aku mendapat nilai F di pelajaran kimia.
>>ind<< I guess that's possible.	Aku rasa itu mungkin.
>>ind<< I had no one to turn to.	Tidak ada seorang pun yang bisa kutemui.
>>ind<< I had to keep my secret.	Saya harus menjaga rahasia saya.
>>ind<< I have a test next week.	Minggu depan aku ada ujian.
>>ind<< I have no money with me.	Aku tidak membawa uang.
>>ind<< I have so much to learn.	Ada banyak hal yang harus aku pelajari.
>>ind<< I have to know for sure.	Aku harus tahu dengan pasti.
>>ind<< I have to take medicine.	Aku harus minum obat.
>>ind<< I haven't asked Tom yet.	Aku belum bertanya kepada Tom.
>>ind<< I haven't done anything.	Saya belum melakukan apa-apa.
>>ind<< I haven't had lunch yet.	Aku belum makan siang.
>>ind<< I haven't seen anything.	Aku belum lihat apa pun.
>>ind<< I heard her sing a song.	Saya mendengar dia menyanyikan sebuah lagu.
>>ind<< I heard someone whistle.	Aku mendengar seseorang bersiul.
>>ind<< I helped them yesterday.	Aku membantu mereka kemarin.
>>ind<< I hope it stops raining.	Aku harap hujannya berhenti.
>>ind<< I hope that I can do it.	Aku harap aku bisa melakukannya.
>>ind<< I hope that you like it.	Aku harap kau menyukainya.
>>ind<< I hope to hear from you.	Kami ingin mendengarnya dari Anda.
>>ind<< I just clipped my nails.	Aku baru saja memotong kukuku.
>>ind<< I just want to have fun.	Aku hanya ingin bersenang-senang.
>>ind<< I know I have a problem.	Saya tahu bahwa saya mempunyai masalah.
>>ind<< I know I'm going to die.	Aku tau aku akan meninggal.
>>ind<< I know Tom isn't guilty.	Aku tahu Tom tidak salah.
>>ind<< I know that I was wrong.	Aku tahu aku salah.
>>ind<< I know that I was wrong.	Aku tahu bahwa aku salah.
>>ind<< I know what I'm feeling.	Aku tahu apa yang sedang aku rasakan.
>>ind<< I know why Tom resigned.	Aku tahu kenapa Tom mengundurkan diri.
>>ind<< I left my purse at home.	Dompet saya tertinggal di rumah.
>>ind<< I like my job very much.	Aku sangat menyukai pekerjaanku.
>>ind<< I like talking with Tom.	Saya suka mengobrol dengan Tom.
>>ind<< I liked teaching French.	Aku suka mengajar bahasa Prancis.
>>ind<< I live in a small house.	Aku tinggal di sebuah rumah kecil.
>>ind<< I lived there for years.	Aku bertahun-tahun tinggal di sana.
>>ind<< I love arguing with Tom.	Aku senang bertengkar dengan Tom.
>>ind<< I met her on the street.	Aku bertemu dengannya di jalan.
>>ind<< I met him on the street.	Aku bertemu dengannya di jalan.
>>ind<< I met my wife in Boston.	Saya bertemu istri saya di Boston.
>>ind<< I must go to the toilet.	Aku harus pergi ke toilet.
>>ind<< I must go to the toilet.	Saya harus pergi ke toilet.
>>ind<< I need more information.	Aku butuh informasi lagi.
>>ind<< I need some good advice.	Aku membutuhkan sedikit saran.
>>ind<< I need some information.	Aku butuh beberapa informasi.
>>ind<< I need to know for sure.	Aku perlu tahu secara pasti.
>>ind<< I need to trim my beard.	Aku harus memangkas janggutku.
>>ind<< I often have bad dreams.	Aku sering bermimpi buruk.
>>ind<< I often have nightmares.	Aku sering bermimpi buruk.
>>ind<< I passed by four houses.	Aku melewati empat rumah.
>>ind<< I play volleyball often.	Saya sering bermain voli.
>>ind<< I rarely read magazines.	Saya jarang membaca majalah.
>>ind<< I really need your help.	Aku sangat membutuhkan bantuanmu.
>>ind<< I remember that vividly.	Aku ingat itu dengan sangat jelas.
>>ind<< I say that all the time.	Aku mengatakan itu setiap saat.
>>ind<< I should read that book.	Aku harus membaca buku itu.
>>ind<< I showed my room to him.	Aku menunjukkan kamarku padanya.
>>ind<< I slept for eight hours.	Aku tidur selama delapan jam.
>>ind<< I still want to be here.	Aku masih ingin di sini.
>>ind<< I suppose you're hungry.	Kamu sepertinya lapar.
>>ind<< I think Tom is agnostic.	Saya pikir Tom adalah seorang agnostik.
>>ind<< I think Tom is loveable.	Saya pikir Tom mudah disukai.
>>ind<< I think Tom is sensible.	Aku pikir Tom adalah orang yang bijaksana.
>>ind<< I think Tom should stay.	Aku pikir Tom harus tetap tinggal.
>>ind<< I think it's going well.	Aku pikir semuanya baik-baik saja.
>>ind<< I think it's going well.	Aku pikir semua berjalan lancar.
>>ind<< I tried doing just that.	Saya telah mencoba melakukan hal tersebut.
>>ind<< I turned on my computer.	Aku menyalakan komputerku.
>>ind<< I usually get up at six.	Biasanya saya bangun pada pukul enam.
>>ind<< I want her in my office.	Saya ingin dia ada di kantorku.
>>ind<< I want him in my office.	Saya ingin dia ada di kantorku.
>>ind<< I want more information.	Aku ingin lebih banyak informasi.
>>ind<< I want to be an actress.	Saya ingin menjadi aktris.
>>ind<< I want to buy ski boots.	Aku ingin membeli sepatu ski.
>>ind<< I want to do everything.	Saya ingin melakukan segalanya.
>>ind<< I want to go to a hotel.	Aku ingin pergi ke sebuah hotel.
>>ind<< I want to look like her.	Aku ingin kamu berpenampilan seperti dia.
>>ind<< I want to see you smile.	Aku ingin melihatmu tersenyum.
>>ind<< I want to sing the song.	Aku ingin menyanyikan lagu itu.
>>ind<< I want to study history.	Aku ingin belajar Sejarah.
>>ind<< I was caught in traffic.	Aku terjebak kemacetan.
>>ind<< I was just about to eat.	Saya sudah hampir mau makan.
>>ind<< I will love you forever.	Saya mencintaimu selamanya.
>>ind<< I will not let you pass.	Aku tidak akan membiarkanmu lewat.
>>ind<< I wish I wasn't married.	Saya harap saya belum menikah
>>ind<< I'd really like to know.	Aku benar-benar ingin tahu.
>>ind<< I'll be better tomorrow.	Aku akan baik-baik saja besok.
>>ind<< I'll come to your place.	Aku akan pergi ke tempatmu.
>>ind<< I'll explain this later.	Aku akan menjelaskan ini nanti.
>>ind<< I'll give you something.	Aku akan memberikanmu sesuatu.
>>ind<< I'll lend you this book.	Aku akan meminjamkanmu buku ini.
>>ind<< I'll write Tom a letter.	Saya akan menulis sebuah surat untuk Tom.
>>ind<< I'll write Tom a letter.	Saya akan mengirim Tom sebuah surat.
>>ind<< I'm Tom, Mary's husband.	Saya Tom, suami Mary.
>>ind<< I'm disappointed in you.	Aku kecewa padamu.
>>ind<< I'm glad Tom enjoyed it.	Saya senang Tom menyukainya.
>>ind<< I'm glad you enjoyed it.	Saya senang Anda menikmatinya.
>>ind<< I'm not afraid of death.	Aku tidak takut mati.
>>ind<< I'm not sure how to act.	Saya tidak tahu bagaimana harus bertindak.
>>ind<< I'm not wearing clothes.	Saya tidak mengenakan pakaian.
>>ind<< I'm pleased to meet you.	Senang bertemu denganmu.
>>ind<< I'm so glad you're back.	Aku sangat senang kau kembali.
>>ind<< I'm sorry to be so late.	Maaf aku sudah terlambat cukup lama.
>>ind<< I'm still the boss here.	Aku masih bosnya di sini.
>>ind<< I'm sure you meant well.	Aku yakin maksudmu baik.
>>ind<< I'm sure you'll succeed.	Saya yakin kamu akan berhasil.
>>ind<< I'm trying not to laugh.	Aku mencoba tidak tertawa.
>>ind<< I'm trying not to laugh.	Aku berusaha menahan tawa.
>>ind<< I'm waiting for the bus.	Saya sedang menunggu bis.
>>ind<< I've done nothing wrong.	Aku tidak melakukan kesalahan apapun.
>>ind<< I've forgotten his name.	Saya lupa namanya.
>>ind<< I've never seen the sea.	Saya belum pernah melihat laut.
>>ind<< I've tried that already.	Aku sudah mencobanya.
>>ind<< I've waited long enough.	Aku sudah menunggu cukup lama.
>>ind<< Is French hard to learn?	Apakah bahasa Prancis susah dipelajari?
>>ind<< Is everything all right?	Apa semuanya baik-baik saja?
>>ind<< Is this camera for sale?	Apakah kamera ini dijual?
>>ind<< Is this water drinkable?	Apa air ini bisa diminum?
>>ind<< Is your job interesting?	Apakah pekerjaanmu menarik?
>>ind<< It didn't mean anything.	Itu tidak berarti apa-apa.
>>ind<< It rained the whole day.	Hujan sepanjang hari.
>>ind<< It seems you were right.	Kelihatannya kamu benar.
>>ind<< It was a stupid mistake.	Itu kesalahan yang bodoh.
>>ind<< It was only a nightmare.	Itu hanya mimpi buruk.
>>ind<< It's a misunderstanding.	Ini salah paham.
>>ind<< It's entirely up to you.	Itu sepenuhnya terserah padamu.
>>ind<< It's going to rain soon.	Sebentar lagi hujan akan turun.
>>ind<< It's not the first time.	Ini bukan yang pertama kali.
>>ind<< It's unfortunately true.	Sayang, benar.
>>ind<< It's unfortunately true.	Sayangnya itu benar.
>>ind<< It's very noisy in here.	Di sini sangat berisik.
>>ind<< Keep an eye on the bags.	Awasilah tas-tas itu.
>>ind<< Let me get you a brandy.	Akan kubawakan sebotol brendi untukmu.
>>ind<< Let me introduce myself.	Izinkan saya memperkenalkan diri.
>>ind<< Listen to who's talking.	Dengarkanlah orang yang sedang berbicara.
>>ind<< Lovely sunset, isn't it?	Senja yang indah, ya?
>>ind<< Mary can speak Japanese.	Mary bisa Bahasa Jepang.
>>ind<< Mary is Tom's secretary.	Mary adalah sekretaris Tom.
>>ind<< May I borrow your knife?	Bolehkah aku meminjam pisaumu?
>>ind<< May I borrow your radio?	Boleh aku pinjam radiomu?
>>ind<< May I hang up your coat?	Boleh kugantungkan jasmu?
>>ind<< May I see the wine list?	Boleh saya lihat daftar minuman anggurnya?
>>ind<< May I see your passport?	Boleh saya melihat paspor Anda?
>>ind<< May I take your picture?	Bolehkah aku mengambil gambarmu?
>>ind<< May I use your car, Dad?	Bolehkah Saya menggunakan mobilmu, yah?
>>ind<< Money is not everything.	Uang bukanlah segala-galanya
>>ind<< My bike needs repairing.	Sepeda saya perlu diperbaiki.
>>ind<< My brother is a teacher.	Saudaraku adalah seorang guru.
>>ind<< My brother is very tall.	Adik saya badannya sangat tinggi.
>>ind<< My brother is very tall.	Kakak saya badannya sangat tinggi.
>>ind<< My camera is waterproof.	Kameraku tahan air.
>>ind<< My father gets up early.	Ayahku bangun pagi.
>>ind<< My health has been good.	Badanku selalu dalam keadaan sehat.
>>ind<< My house is by the lake.	Rumah saya berada di tepi danau.
>>ind<< My house is by the lake.	Rumahku berada di tepi danau.
>>ind<< My wife has two sisters.	Istri saya punya dua saudara perempuan.
>>ind<< My wife is a vegetarian.	Istriku seorang vegetarian.
>>ind<< Never dig straight down.	Jangan pernah menggali lurus ke bawah.
>>ind<< No one came to my party.	Tidak ada yang datang ke pestaku.
>>ind<< No one ever believed me.	Tidak ada yang pernah memercayaiku.
>>ind<< No stitches were needed.	Tidak perlu dijahit.
>>ind<< No, thank you. I'm full.	Tidak, terima kasih. Saya sudah kenyang.
>>ind<< Nobody asked me to stay.	Tidak ada satupun yang memintaku untuk tinggal.
>>ind<< Nobody came to help him.	Tidak ada yang datang menolongnya.
>>ind<< Now give me what I want.	Sekarang berikan aku apa yang aku mau.
>>ind<< Paper is made from wood.	Kertas terbuat dari kayu.
>>ind<< Pawns only move forward.	Pion hanya bisa bergerak maju.
>>ind<< Please answer in French.	Tolong jawab dalam bahasa Prancis.
>>ind<< Please answer the phone.	Tolong angkat teleponnya.
>>ind<< Please call me a doctor.	Tolong panggilkan dokter.
>>ind<< Please call me tomorrow.	Tolong telepon aku besok.
>>ind<< Please close the window.	Tolong tutup jendelanya.
>>ind<< Please don't use French.	Tolong jangan menggunakan bahasa Prancis.
>>ind<< Please have a seat here.	Silakan duduk di sini.
>>ind<< Please lend me your car.	Tolong pinjamkan aku mobilmu.
>>ind<< Please open the package.	Silakan buka paket itu.
>>ind<< Please say hello to her.	Tolong sampaikan salamku kepadanya.
>>ind<< Please show me the scar.	Tolong tunjukkan saya bekas lukanya.
>>ind<< Please sum up your idea.	Tolong rangkum ide Anda.
>>ind<< Please sum up your idea.	Rangkumlah idemu.
>>ind<< Please write with a pen.	Tolong tulis dengan pulpen.
>>ind<< Push the button, please.	Tolong tekan tombolnya.
>>ind<< Put a mark on this page.	Tandai halaman ini.
>>ind<< Scorpions are dangerous.	Kalajengking itu berbahaya.
>>ind<< Sharks have sharp teeth.	Ikan hiu memiliki gigi yang tajam.
>>ind<< Sharks have sharp teeth.	Ikan hiu bergigi tajam.
>>ind<< She does not like sushi.	Dia tidak suka susyi.
>>ind<< She doesn't like soccer.	Dia tidak suka sepak bola.
>>ind<< She has to stop smoking.	Dia harus berhenti merokok.
>>ind<< She is a selfish person.	Dia orang yang egois.
>>ind<< She is knitting a scarf.	Dia sedang merajut syal.
>>ind<< She is very intelligent.	Dia sangat pintar.
>>ind<< She telephoned just now.	Dia baru saja menelepon.
>>ind<< She took care of my dog.	Dia merawat anjing saya.
>>ind<< She was born in America.	Dia lahir di Amerika.
>>ind<< She's not my girlfriend.	Dia bukan pacarku.
>>ind<< She's not young, is she?	Dia tidak muda ya.
>>ind<< Show me what you bought.	Tunjukkan padaku apa yang kamu beli.
>>ind<< So, what do you suggest?	Jadi, apa yang Anda sarankan?
>>ind<< Some people did nothing.	Beberapa orang tidak melakukan apa-apa.
>>ind<< Sorry, I made a mistake.	Maaf, aku membuat sebuah kesalahan.
>>ind<< Spiders don't have ears.	Laba-laba tidak punya telinga.
>>ind<< Spiders have eight legs.	Laba-laba memiliki delapan kaki.
>>ind<< Stay away from the door.	Menjauhlah dari pintu.
>>ind<< Tell me about your plan.	Beritahu aku tentang rencanamu.
>>ind<< Tell them I don't drink.	Beri tahu mereka aku tidak minum alkohol.
>>ind<< Thank you for yesterday.	Terima kasih untuk yang kemarin.
>>ind<< Thank you for your help.	Terima kasih atas bantuannya.
>>ind<< Thanks for volunteering.	Terima kasih sudah menjadi sukarelawan.
>>ind<< That dog is really ugly.	Anjing itu sangat jelek.
>>ind<< That law hasn't changed.	Aturan itu belum berubah.
>>ind<< That law hasn't changed.	Undang-undang itu belum berubah.
>>ind<< That statement is false.	Pernyataan itu salah.
>>ind<< That's the right answer.	Itulah jawaban yang benar.
>>ind<< That's what I told them.	Itulah yang aku katakan pada mereka.
>>ind<< That's what I was doing.	Itulah yang sedang saya lakukan tadi.
>>ind<< The TV was on all night.	Televisi menyala sepanjang malam.
>>ind<< The author is my friend.	Penulisnya adalah temanku.
>>ind<< The bird is in its nest.	Burung itu ada di sarangnya.
>>ind<< The box is on the table.	Kotak itu di atas meja.
>>ind<< The box is on the table.	Kotak itu ada di atas meja.
>>ind<< The bus hasn't come yet.	Bisnya belum datang.
>>ind<< The car ran into a tree.	Mobil itu menabrak pohon.
