>>hrv<< Who?	Tko?
>>hrv<< You should know better.	Trebao bi znati bolje.
>>hrv<< Your cake is delicious.	Tvoja torta je ukusna.
>>hrv<< Your plan sounds great.	Tvoj plan zvuči odlično.
>>hrv<< Are you afraid of death?	Bojiš li se smrti?
>>hrv<< Do you have news for me?	Imaš li za mene vijesti?
>>hrv<< Do you like this blouse?	Sviđa li ti se ta majica?
>>hrv<< Do you live in the city?	Živite li u gradu?
>>hrv<< Don't you like swimming?	Zar ne voliš plivanje?
>>hrv<< He concentrated on that.	Koncentrirao se na to.
>>hrv<< How can I be of service?	Kako mogu biti od pomoći?
>>hrv<< I can't believe my eyes.	Ja ne mogu vjerovati mojim očima.
>>hrv<< I can't believe my eyes.	Ne mogu vjerovati mojim očima.
>>hrv<< I don't really watch TV.	Ne gledam baš televiziju.
>>hrv<< I have a mild pain here.	Imam blagu bol ovdje.
>>hrv<< I said I'd wait for you.	Rekao sam da ću te čekati.
>>hrv<< I said I'd wait for you.	Rekla sam da ću te čekati.
>>hrv<< I suppose you're hungry.	Predpostavljam da si gladan.
>>hrv<< I took a picture of her.	Slikao sam ju.
>>hrv<< I want to check out now.	Provjeriti ću sad.
>>hrv<< I wasn't looking at Tom.	Nisam gledao u Toma.
>>hrv<< I wasn't looking at Tom.	Nisam gledala u Toma.
>>hrv<< I will love you forever.	Zauvijek ću te voljeti.
>>hrv<< I'm not afraid of death.	Ne bojim se smrti.
>>hrv<< It must be hard for you.	To ti mora biti vrlo teško.
>>hrv<< It was an easy decision.	To je bila laka odluka.
>>hrv<< It was cloudy yesterday.	Bilo je oblačno jučer.
>>hrv<< Let's go out for a walk.	Ajmo van na šetnju.
>>hrv<< Mary is a married woman.	Mary je udana žena.
>>hrv<< Mary is a retired nurse.	Mary je umirovljena medicinska sestra.
>>hrv<< My car is in the garage.	Moj auto je u garaži.
>>hrv<< Of course it isn't true.	Naravno da to nije točno.
>>hrv<< Of course it's not true.	Naravno, to nije točno.
>>hrv<< Of course, Tom is wrong.	Naravno, Tom je u krivu.
>>hrv<< She doesn't like soccer.	Ona ne voli nogomet.
>>hrv<< Sorry for all the typos.	Isprike na greškama.
>>hrv<< That isn't funny at all.	To nije uopće smiješno.
>>hrv<< The cup is on the table.	Šalica je na stolu.
>>hrv<< The sun is about to set.	Sunce će uskoro zaći.
>>hrv<< The toy store is closed.	Trgovina igračaka je zatvorena.
>>hrv<< Tom is very intelligent.	Tom je vrlo inteligentan.
>>hrv<< Tom is working too hard.	Tom previše radi.
>>hrv<< Tom said you were happy.	Tom je rekao da si sretan.
>>hrv<< Tom walks like a zombie.	Tom hoda kao zombi.
>>hrv<< Tom walks like a zombie.	Tom hoda poput zombija.
>>hrv<< Tom won't pass the test.	Tom neće položiti ispit.
>>hrv<< Tom's French is perfect.	Tomov francuski je savršen.
>>hrv<< Tom's dog attacked Mary.	Tomov pas je napao Mary.
>>hrv<< We do have some options.	Mi imamo neke mogućnosti.
>>hrv<< We do have some options.	Mi imamo neke opcije.
>>hrv<< We don't need this here.	Nama to ovdje ne treba.
>>hrv<< What time are you going?	U koje vrijeme ideš?
>>hrv<< Will you turn on the TV?	Hoćete li uključiti TV?
>>hrv<< Will you turn on the TV?	Hoćeš li uključiti tv?
>>hrv<< Write your address here.	Napiši svoju adresu ovdje.
>>hrv<< You can swim, can't you?	Znaš plivati, zar ne?
>>hrv<< You told me that before.	Rekao si mi to prije.
>>hrv<< You told me that before.	Rekla si mi to prije.
>>hrv<< Are you going to help me?	Hoćeš li mi pomoći?
>>hrv<< Could you leave us alone?	Možeš nas ostaviti na miru?
>>hrv<< Curiosity killed the cat.	Znatiželja je ubila mačku.
>>hrv<< Did you know that before?	Jesi li znao to prije?
>>hrv<< Did you know that before?	Jesi li znala to prije?
>>hrv<< Do you plan to stay long?	Planirate li dugo ostati?
>>hrv<< Do you want pepper on it?	Želiš li papra na tome?
>>hrv<< He came back from Canada.	Vratio se iz Kanade.
>>hrv<< He is good at gymnastics.	Gimnastika je njegova jaka strana.
>>hrv<< He looked after the baby.	Brinuo se za dijete.
>>hrv<< He tried to kill himself.	On se pokušao ubiti.
>>hrv<< I can't find my suitcase.	Ne mogu naći svoj kofer.
>>hrv<< I counted to two hundred.	Brojala sam do dvjesto.
>>hrv<< I counted to two hundred.	Brojao sam do dvjesto.
>>hrv<< I have few English books.	Imam malo engleskih knjiga.
>>hrv<< I just finished doing it.	Upravo sam ga dovršio.
>>hrv<< I just finished doing it.	Upravo sam je dovršio.
>>hrv<< I met your dad yesterday.	Sreo sam tvog oca jučer.
>>hrv<< I met your dad yesterday.	Sreo sam tvog tatu jučer.
>>hrv<< I met your dad yesterday.	Srela sam tvog tatu jučer.
>>hrv<< I'll tell Tom to do that.	Reći ću Tomu da to učini.
>>hrv<< It's like summer outside.	Vani je poput ljeta.
>>hrv<< May I ask a favor of you?	Mogu li te pitati za uslugu?
>>hrv<< Nobody can open the door.	Nitko ne može otvoriti vrata.
>>hrv<< She rejected my proposal.	Odbila je moj prijedlog.
>>hrv<< These are very old books.	To su vrlo stare knjige.
>>hrv<< This is my email address.	Ovo je moja e-mail adresa.
>>hrv<< Today is a beautiful day.	Danas je lijep dan.
>>hrv<< Tom didn't give it to me.	Tom mi nije to dao.
>>hrv<< Tom drinks a lot of beer.	Tom pije puno pive.
>>hrv<< Tom had dinner with Mary.	Tom je večerao s Mary.
>>hrv<< Tom has changed his name.	Tom je promijenio svoje ime.
>>hrv<< Tom hasn't been indicted.	Tom nije bio osuđen.
>>hrv<< Tom is my oldest brother.	Tom je moj stariji brat.
>>hrv<< Tom says I have charisma.	Tom kaže da sam karizmatičan.
>>hrv<< Tom visited us yesterday.	Tom nas je jučer posjetio.
>>hrv<< Tom was forced to resign.	Tom je bio prisiljen dati ostavku.
>>hrv<< Tom was wrong about that.	Tom je bio u krivu o tome.
>>hrv<< Tom went instead of Mary.	Tom je otišao umjesto Mary.
>>hrv<< We should get a new lamp.	Trebamo nabaviti novu svjetiljku.
>>hrv<< What does your father do?	Što radi tvoj otac?
>>hrv<< Will ten thousand yen do?	Hoće li deset tisuća yena biti dovoljno?
>>hrv<< You speak fluent English.	Ti govoriš engleski tečno.
>>hrv<< You're tired, aren't you?	Umoran si, zar ne?
>>hrv<< Can I use your dictionary?	Mogu li uzeti tvoj rječnik?
>>hrv<< Death is similar to sleep.	Smrt je slična snu.
>>hrv<< Do you have any vacancies?	Imate li slobodnih soba?
>>hrv<< Do you watch TV every day?	Gledaš li televiziju svaki dan?
>>hrv<< Everyone loves that place.	Svi vole to mjesto.
>>hrv<< Father bought me the book.	Otac mi je kupio tu knjigu.
>>hrv<< He is as old as my father.	Jednako je star kao i moj otac.
>>hrv<< He was afraid of the dark.	Imao je strah mraka.
>>hrv<< He's sleeping like a baby.	On spava ko beba.
>>hrv<< He's sleeping like a baby.	Spava ko beba.
>>hrv<< His story may not be true.	Njegova priča možda nije istinita.
>>hrv<< How much is this umbrella?	Koliko je ovaj kišobran?
>>hrv<< I have to do what's right.	Moram učiniti što je ispravno.
>>hrv<< I notice things like that.	Primjećujem takve stvari.
>>hrv<< I think Tom could do that.	Mislim da bi Tom mogao to napraviti.
>>hrv<< I think Tom could do that.	Ja mislim da bi Tom mogao to napraviti.
>>hrv<< I think Tom could do that.	Ja mislim da bi Tom mogao to obaviti.
>>hrv<< I think Tom could do that.	Ja mislim da bi Tom mogao to učiniti.
>>hrv<< I thought that was my job.	Mislio sam da je to moj posao.
>>hrv<< I thought that was my job.	Mislila sam da je to moj posao.
>>hrv<< I would like to buy a dog.	Želio bih kupiti psa.
>>hrv<< I'm going to leave school.	Napustit ću školu.
>>hrv<< It isn't very interesting.	To nije veoma zanimljivo.
>>hrv<< It's raining hard tonight.	Pada kiša noćas.
>>hrv<< Mary is Tom's twin sister.	Mary je Tomova sestra blizanka.
>>hrv<< My mobile has been stolen.	Moj mobitel je ukraden.
>>hrv<< Nothing is wrong with you.	Sve je u redu s tobom.
>>hrv<< She looks like her mother.	Ona sliči na majku.
>>hrv<< Someone stole Tom's money.	Netko je ukrao Tomov novac.
>>hrv<< That house belongs to him.	Ta kuća pripada njemu.
>>hrv<< The reason doesn't matter.	Uzrok nije važan.
>>hrv<< The results were negative.	Rezultati su bili negativni.
>>hrv<< The young man is a doctor.	Mladi čovjek je liječnik.
>>hrv<< Their flowers smell sweet.	Njihovo cvijeće slatko miriše.
>>hrv<< They don't pay you enough.	Oni te ne plaćaju dovoljno.
>>hrv<< Things changed after that.	Stvari su se promijenile nakon toga.
>>hrv<< This is today's newspaper.	Ovo su današnje novine.
>>hrv<< Tom already knew about it.	Tom je već znao o tome.
>>hrv<< Tom asked Mary for advice.	Tom je pitao Mariju za savjet.
>>hrv<< Tom became rich overnight.	Tom je postao vrlo bogat preko noći.
>>hrv<< Tom can touch the ceiling.	Tom može taknuti strop.
>>hrv<< Tom can't play the guitar.	Tom ne može svirati gitaru.
>>hrv<< Tom doesn't eat dark meat.	Tom ne jede crveno meso.
>>hrv<< Tom gave me several books.	Tom mi je dao nekoliko knjiga.
>>hrv<< Tom is always daydreaming.	Tom uvijek sanjari.
>>hrv<< Tom is highly intelligent.	Tom je vrlo inteligentan.
>>hrv<< Tom is teaching me French.	Tom me uči francuski.
>>hrv<< Tom left before I arrived.	Tom je otišao prije nego sam došao.
>>hrv<< Tom left before I arrived.	Tom je otišao prije nego što sam došao.
>>hrv<< Tom shooed the flies away.	Tom je otjerao muhe.
>>hrv<< Tom still looks surprised.	Tom još uvijek izgleda iznenađeno.
>>hrv<< Tom wants his money today.	Tom želi svoj novac danas.
>>hrv<< Tom was eating a sandwich.	Tom je jeo sendvič.
>>hrv<< Tom went out to buy bread.	Tom je otišao kupiti kruh.
>>hrv<< What you did helped a lot.	Ovo što si učinio je pomoglo mnogo.
>>hrv<< What're you talking about?	O čemu pričaš?
>>hrv<< What's the Wi-Fi password?	Koja je šifra Wi-Fi-ja.
>>hrv<< When did you buy that hat?	Kada si kupio taj šešir?
>>hrv<< Who discovered the island?	Tko je otkrio taj otok?
>>hrv<< Why don't we share a room?	Zašto ne bismo dijelili sobu?
>>hrv<< Why should you suspect me?	Zašto bi sumnjao u mene?
>>hrv<< You must control yourself.	Moraš se kontrolirati.
>>hrv<< Do we need to wait for you?	Trebamo li te čekati.
>>hrv<< Each of them has a bicycle.	Svaki od njih ima bicikl.
>>hrv<< Every ship needs a captain.	Svaki brod treba kapetana.
>>hrv<< Fill out this form, please.	Molim, ispunite taj formular.
>>hrv<< He has gone out for a walk.	Izašao je u šetnju.
>>hrv<< He held the trophy up high.	Visoko je podignuo trofej.
>>hrv<< He made me happy yesterday.	Jučer me usrećio.
>>hrv<< He's watching the Olympics.	On gleda olimpijadu.
>>hrv<< I don't belong to any club.	Ne pripadam nijednome klubu.
>>hrv<< I want to live in the city.	Želim živjeti u gradu.
>>hrv<< I wonder what Tom is up to.	Pitam se što Tom namjerava učiniti.
>>hrv<< I'll stay at home tomorrow.	Sutra ću ostati kod kuće.
>>hrv<< I'm breast-feeding my baby.	Dojim svoje dijete.
>>hrv<< I'm sure you did your best.	Siguran sam da si učinio najbolje što si mogao.
>>hrv<< Is there life before death?	Ima li života poslije smrti?
>>hrv<< Let me in or I'll tell Tom.	Pusti me unutra ili ću reći Tomu.
>>hrv<< Let's get something to eat.	Idemo nešto pojesti.
>>hrv<< My clock needs to be fixed.	Treba popraviti moj sat.
>>hrv<< Really? I didn't know that.	Stvarno? Nisam znao.
>>hrv<< Really? I didn't know that.	Stvarno? Nisam znala.
>>hrv<< Several people were killed.	Nekoliko ljudi je ubijeno.
>>hrv<< Several people were killed.	Ubijeno je nekoliko ljudi.
>>hrv<< Some medicine does us harm.	Neki lijekovi nam škode.
>>hrv<< That was a good experience.	Ovo je bilo ugodno iskustvo.
>>hrv<< Tom asked me to draw a map.	Tom me pitao da mu nacrtam kartu.
>>hrv<< Tom asked me to draw a map.	Tom me pitao da mu nacrtam mapu.
>>hrv<< Tom ate a piece of the pie.	Tom je pojeo krišku pite.
>>hrv<< Tom complains all the time.	Tom se stalno žali.
>>hrv<< Tom complains all the time.	Tom stalno prigovara.
>>hrv<< Tom complains all the time.	Tom cijelo vrijeme prigovara.
>>hrv<< We joined in on the chorus.	Prijavili smo se na zbor.
>>hrv<< We weren't able to do that.	Nismo mogli to napraviti.
>>hrv<< We weren't cautious enough.	Nismo bili dovoljno oprezni.
>>hrv<< We weren't cautious enough.	Nismo bile dovoljno oprezne.
>>hrv<< We weren't cautious enough.	Nismo bili dovoljno pažljivi.
>>hrv<< We won't go back to Boston.	Nećemo se vratiti u Boston.
>>hrv<< We worried a lot about you.	Mnogo smo se brinuli o tebi.
>>hrv<< We'd like to know about it.	Htjeli bismo znati o tome.
>>hrv<< We'll always remember that.	To ćemo uvijek pamtiti.
>>hrv<< We'll continue cooperating.	Nastavit ćemo surađivati.
>>hrv<< We'll do what we always do.	Napravit ćemo ono što uvijek napravimo.
>>hrv<< We'll do whatever it takes.	Učinit ćemo što god treba.
>>hrv<< What are you and Tom doing?	Što ti i Tom radite?
>>hrv<< Why should I listen to you?	Zašto bi te trebao slušati?
>>hrv<< Will you turn on the light?	Hočeš li ugasiti svjetlo?
>>hrv<< You are always complaining.	Uvijek se žališ.
>>hrv<< You guys make a great team.	Vi ste dobra ekipa.
>>hrv<< You should use a deodorant.	Ti bi trebao koristiti dezodorans.
>>hrv<< Your secret's safe with us.	Tvoja tajna je sigurna s nama.
>>hrv<< Your secret's safe with us.	Vaša tajna je sigurna s nama.
>>hrv<< Do you have time to help me?	Imate li vremena da mi pomognete?
>>hrv<< He did not know what to say.	Nije znao što reći.
>>hrv<< He once owned a lot of land.	On je posjedovao mnogo zemlje, nekad davno.
>>hrv<< How can I forget those days?	Kako mogu zaboraviti te dane?
>>hrv<< I want to see her very much.	Jako ju želim vidjeti.
>>hrv<< I wonder if Tom can hear us.	Pitem se može li nas Tom čuti.
>>hrv<< Is the job too much for you?	Je li ovaj posao pretežak za tebe?
>>hrv<< It's no use trying anything.	Nema smisla pokušavati bilo što drugo.
>>hrv<< Let's sit here on the grass.	Sjednimo tu na travu.
>>hrv<< She left France for America.	Ona je napustila Francusku zbog Amerike.
>>hrv<< Tennis is my favorite sport.	Tenis je moj omiljeni sport.
>>hrv<< The museum is worth a visit.	Isplati se posjetiti muzej.
>>hrv<< Tom asked if you'd be there.	Tom je pitao ako ćeš biti tamo.
>>hrv<< Tom has a surprise for Mary.	Tom ima iznenađenje za Mary.
>>hrv<< Tom is a friend from school.	Tom je prijatelj iz škole.
>>hrv<< Tom isn't as old as Mary is.	Tom nije toliko star kao Mary.
>>hrv<< We hope that you'll do that.	Nadamo se da ćeš to učiniti.
>>hrv<< We hope that you'll do that.	Nadamo se da ćeš to napraviti.
>>hrv<< We'd better call the doctor.	Bilo bi bolje pozvati liječnika.
>>hrv<< What are you thinking about?	O čemu misliš?
>>hrv<< A big typhoon is approaching.	Bliži se veliki tajfun.
>>hrv<< A bird was flying in the sky.	Ptica je letjela nebom.
>>hrv<< Could you send me a brochure?	Možete li mi poslati brošuru?
>>hrv<< Do you have any vacant rooms?	Imate li slobodnih soba?
>>hrv<< He put his thoughts on paper.	Stavio je svoje misli na papir.
>>hrv<< He resembles his grandfather.	On sliči na svog djeda.
>>hrv<< I couldn't remember his name.	Nisam se mogao sjetiti njegovog imena.
>>hrv<< I don't know what time it is.	Ne znam koliko je sati.
>>hrv<< I don't understand this word.	Ne razumijem ovu riječ.
>>hrv<< I need coffee in the morning.	Trebam kavu ujutro.
>>hrv<< I owe what I am to my father.	Dugujem svome ocu ono što sam.
>>hrv<< I want to tell you something.	Želim ti nešto reći.
>>hrv<< I want to want what you want.	Želim željeti ono što ti želiš.
>>hrv<< I worked on it day after day.	Radio sam na tome dan za danom.
>>hrv<< I'd rather be poor than rich.	Draže mi je biti siromašan nego bogat.
>>hrv<< I'm looking for a book store.	Tražim knjižaru.
>>hrv<< It's never too late to learn.	Nikada nije kasno za učenje.
>>hrv<< My brother is still sleeping.	Moj brat i dalje spava.
>>hrv<< No more, thank you. I'm full.	Ne više, hvala. Sit sam.
>>hrv<< One language is never enough.	Jedan jezik nikad nije dovoljan.
>>hrv<< Please sit down for a moment.	Sjednite na trenutak, molim.
>>hrv<< The animals are treated well.	Dobro se postupa sa životinjama.
>>hrv<< The animals are treated well.	Životinje su dobro tretirane.
>>hrv<< The spacecraft was destroyed.	Svemirski brod je bio uništen.
>>hrv<< Tom and Mary don't know that.	Tom i Mary to ne znaju.
>>hrv<< Tom can speak French as well.	Tom također priča francuski.
>>hrv<< Tom has never been to Boston.	Tom nije nikada bio u Bostonu.
>>hrv<< Tom is a computer programmer.	Tom je računalni programer.
>>hrv<< Tom tried to intimidate Mary.	Tom je pokušao zastrašiti Mary.
>>hrv<< We must consider all options.	Moramo razmotriti sve opcije.
>>hrv<< When was this book published?	Kad je ova knjiga objavljena?
>>hrv<< Who is your favorite TV star?	Koja je tvoja omiljena TV zvijezda?
>>hrv<< Would you like tea or coffee?	Želiš li čaj ili kavu?
>>hrv<< You can't live without water.	Bez vode je nemoguće živjeti.
>>hrv<< You'd better come right away.	Bolje ti je da dođeš istog časa.
>>hrv<< Your parents raised you well.	Roditelji su te dobro odgojili.
>>hrv<< Do you have any bottled water?	Imate li flaširanu vodu?
>>hrv<< Everybody was looking for Tom.	Svi su tražili Toma.
>>hrv<< He doesn't know French at all.	On uopće ne zna francuski.
>>hrv<< He is ashamed of telling lies.	Srami se laganja.
>>hrv<< He keeps his youth by jogging.	On održava svoju mladost trčanjem.
>>hrv<< I am thinking of going abroad.	Mislim otići u inozemstvo.
>>hrv<< I had to wait for Tom wake up.	Trebao sam čekati da se Tom probudi.
>>hrv<< I left my credit card at home.	Ostavio sam svoju kreditnu karticu u kući.
>>hrv<< I put my bike in a safe place.	Spremio sam bicikl na sigurno mjesto.
>>hrv<< I want to become a journalist.	Želim postati novinar.
>>hrv<< I went to church this morning.	Jutros sam išao u crkvu.
>>hrv<< I won't go to school tomorrow.	Neću ići u školu sutra.
>>hrv<< It is never too late to learn.	Nikada nije kasno za učenje.
>>hrv<< Most guitars have six strings.	Većina gitara ima šest žica.
>>hrv<< No man alive would believe it.	Nitko živ ne bi povjerovao u to.
>>hrv<< Please show me another camera.	Molim te pokaži mi drugu kameru.
>>hrv<< She has visited New York once.	Jednom je posjetila New York.
>>hrv<< She's really smart, isn't she?	Vrlo je pametna, zar ne?
>>hrv<< Smoking is not permitted here.	Ovdje nije dopušteno pušiti.
>>hrv<< Something incredible happened.	Dogodilo se nešto neočekivano.
>>hrv<< Thank you for the information.	Hvala na informaciji.
>>hrv<< That's water under the bridge.	Bilo, pa prošlo.
>>hrv<< The job has already been done.	Posao je već bio završen.
>>hrv<< They're thieves and murderers.	Oni su lopovi i ubojice.
>>hrv<< Tom doesn't like me very much.	Tomu se ne sviđam.
>>hrv<< Tom fell asleep while reading.	Tom je zaspao čitajući.
>>hrv<< Tom fell asleep while reading.	Tom je zaspao dok je čitao.
>>hrv<< Tom saw Mary with another man.	Tom je vidio Mary s drugim muškarcem.
>>hrv<< Tom sometimes comes to see me.	Tom ponekad dođe posjetiti me.
>>hrv<< Tom wanted to see Mary's room.	Tom je htjeo vidjeti Marynu sobu.
>>hrv<< We don't know how to find Tom.	Ne znamo kako da nađemo Toma.
>>hrv<< We were eating lunch together.	Zajedno smo ručali.
>>hrv<< We're going to sell our house.	Prodat ćemo svoju kuću.
>>hrv<< What is that big new building?	Što je ta nova zgrada?
>>hrv<< What kind of wine do you have?	Koje vino imaš?
>>hrv<< Who is your favorite composer?	Tko je tvoj omiljeni skladatelj?
>>hrv<< You agree with Tom, don't you?	Ti se slažeš s Tomom, zar ne?
>>hrv<< You made a great contribution.	Dao si veliki doprinos.
>>hrv<< You're a very patient teacher.	Ti si jako strpljiv učitelj.
>>hrv<< You're never too old to learn.	Nikada nije kasno za učenje.
>>hrv<< All their efforts were in vain.	Svi njihovi napori su bili uzaludni.
>>hrv<< Can you help me with something?	Možete li mi pomoći s nečim?
>>hrv<< Everything looks pretty normal.	Sve izgleda prilično normalno.
>>hrv<< He disappeared without a trace.	On je nestao bez traga.
>>hrv<< He disappeared without a trace.	Nestao je bez traga.
>>hrv<< How much is this diamond worth?	Koliko vrijedi ovaj dijamant?
>>hrv<< I assume you know what this is.	Pretpostavljam da znaš što je to.
>>hrv<< I don't care what your name is.	Nije me briga kako se zoveš.
>>hrv<< I don't know if I'll have time.	Ne znam hoću li imati vremena.
>>hrv<< I really didn't have any money.	Stvarno nisam imao novca.
>>hrv<< I think you've already met Tom.	Mislim da si Toma već upoznao.
>>hrv<< I want to drink something cold.	Želim popiti nešto hladno.
>>hrv<< I want you to take me with you.	Hoću da me povedeš sa sobom.
>>hrv<< I wonder if he'll come tonight.	Zanimljivo, on će danas doći?
>>hrv<< It could be some kind of trick.	To bi mogao biti neki trik.
>>hrv<< Please accept this little gift.	Molim te, primi ovaj mali dar.
>>hrv<< She picked up beautiful stones.	Pokupila je lijepa kamenja.
>>hrv<< That kid kept crying for hours.	To dijete je nastavilo plakati satima.
>>hrv<< The pain has lessened a little.	Bol je malo popustila.
>>hrv<< The visitor sat across from me.	Gost je sjeo preko puta mene.
>>hrv<< This bike needs to be repaired.	Taj bicikl treba popraviti.
>>hrv<< This place is really beautiful.	Ovo mjesto je zaista prekrasno.
>>hrv<< Tom doesn't live here, does he?	Tom ne živi ovdje, je li tako?
>>hrv<< Tom isn't a member of our club.	Tom nije član našeg kluba.
>>hrv<< We know we're better than that.	Znamo da smo bolji od toga.
>>hrv<< We were studying all afternoon.	Učili smo cijelo poslijepodne.
>>hrv<< Why do people go to the movies?	Zašto ljudi idu u kino?
>>hrv<< Don't change your mind so often.	Ne mijenjaj tako često svoja mišljenja.
>>hrv<< Don't try to play games with me.	Ne pokušavaj se igrati sa mnom.
>>hrv<< Everybody was singing except me.	Svi su osim mene pjevali.
>>hrv<< Gold is more precious than iron.	Zlato je skuplje od željeza.
>>hrv<< How did you spend your vacation?	Kako ste proveli odmor?
>>hrv<< I didn't plan on this happening.	Nisam planirao da se to dogodi.
>>hrv<< I don't know if I have the time.	Ne znam imam li vremena.
>>hrv<< I was too tired to eat anything.	Bio sam preumoran da išta pojedem.
>>hrv<< I wish my dream would come true.	Želim da mi se san ostvari.
>>hrv<< I'd like to send these to Japan.	Volio bih ove poslati u Japan.
>>hrv<< I'm currently located in Boston.	Trenutno sam lociran u Bostonu.
>>hrv<< I'm perfectly happy being alone.	Presretan sam kad sam sam.
>>hrv<< It fits on a single floppy disk.	Stane na jedan floppy disk.
>>hrv<< It is time for you to go to bed.	Vrijeme je da odeš spavati.
>>hrv<< My third husband bought me this.	Moj treći muž mi je kupio ovo.
>>hrv<< Please don't take pictures here.	Molim vas, ne fotografirajte tu.
>>hrv<< She must have done it yesterday.	Vjerojatno je to napravila jučer.
>>hrv<< She was amazed to hear the news.	Bila je iznenađena čuvši vijesti.
>>hrv<< She will pay 50 dollars at most.	Ona će platiti najviše 50 dolara.
>>hrv<< The early bird catches the worm.	Tko rano rani, dvije sreće grabi.
>>hrv<< The entire town was under water.	Cijeli grad je bio pod vodom.
>>hrv<< They armed themselves with guns.	Naoružali su se pištoljima.
>>hrv<< This fact must not be forgotten.	Ta činjenica ne smije biti zaboravljena.
>>hrv<< Tom cheated on the history exam.	Tom je varao na ispitu iz povijesti.
>>hrv<< Tom decided to take the day off.	Tom je odlučio uzeti slobodan dan.
>>hrv<< Tom has decided to go to Boston.	Tom je odlučio otići u Boston.
>>hrv<< Tom has decided to sell his car.	Tom je odlučio prodati auto.
>>hrv<< Tom has decided to sell his car.	Tom je odlučio prodati automobil.
>>hrv<< Tom is alone in the living room.	Tom je sam u dnevnoj sobi.
>>hrv<< Tom is very gifted and talented.	Tom je vrlo nadaren i talentiran.
>>hrv<< Tom may do whatever he wants to.	Tom može raditi što god hoće.
>>hrv<< We can't let them do this to us.	Ne smijemo im dopustiti da nam to rade.
>>hrv<< We set up our tents before dark.	Postavili smo naše šatore prije mraka.
>>hrv<< Who was this picture painted by?	Tko je naslikao ovu sliku?
>>hrv<< Why are we even discussing this?	Zašto uopće raspravljamo o ovome?
>>hrv<< World War Two broke out in 1939.	Drugi svjetski rat je započeo 1939.
>>hrv<< You'd better not go there again.	Da nisi otišao tamo opet.
>>hrv<< You'd better not go there again.	Da nisi otišla tamo opet.
>>hrv<< Are they still thinking about it?	Razmišljaju li još uvijek o tome?
>>hrv<< Because he's sick, he can't come.	Ne može doći jer je bolestan.
>>hrv<< Cardboard is stronger than paper.	Karton je jači od papira.
>>hrv<< Every action has its consequence.	Svaki postupak ima svoju posljedicu.
>>hrv<< He has one son and two daughters.	On ima jednog sina i dvije kčeri.
>>hrv<< He has one son and two daughters.	Ima jednog sina i dvije kčeri.
>>hrv<< He has one son and two daughters.	Ima sina i dvije kčeri.
>>hrv<< He often quotes from Shakespeare.	On često citira Shakespeara.
>>hrv<< He soon recovered from the shock.	On se ubrzo oporavio od šoka.
>>hrv<< I am so tired that I can't study.	Tako sam umoran da ne mogu učiti.
>>hrv<< I don't read as much as I'd like.	Ne čitam onoliko koliko bih volio.
>>hrv<< I got a new bike for my birthday.	Dobio sam novi bicikl za rođendan.
>>hrv<< I hope it does not rain tomorrow.	Nadam se da sutra neće padati kiša.
>>hrv<< I think Tom and Mary are in love.	Mislim da su Tom i Mary zaljubljeni.
>>hrv<< I would rather starve than steal.	Više volim gladovati, nego krasti.
>>hrv<< I'd like to cook chicken tonight.	Htio bih napraviti piletinu večeras.
>>hrv<< I'm just trying to be neighborly.	Samo se trudim biti dobar susjed.
>>hrv<< If you don't work, you can't eat.	Ako ne radiš, ne možeš jesti.
>>hrv<< It is as warm today as yesterday.	Danas je toplo kao i jučer.
>>hrv<< It's good that I have a daughter.	Dobro je što imam kći.
>>hrv<< Some people are scared of ghosts.	Neki se ljudi boje duhova.
>>hrv<< Some people like to travel alone.	Neki ljudi vole putovati sami.
>>hrv<< Tom didn't act like a normal boy.	Tom se nije ponašao kao normalan dječak.
>>hrv<< Tom is afraid of making mistakes.	Tom strahuje da ne napravi grešku.
>>hrv<< Tom is living with his uncle now.	Tom sada živi sa svojim ujakom.
>>hrv<< Tom knows the Secretary of State.	Tom poznaje državnog tajnika.
>>hrv<< Tom works at a local coffee shop.	Tom radi u lokalnom kafiću.
>>hrv<< Tom works at a local coffee shop.	Tom radi u obližnjem kafiću.
>>hrv<< Where did you find this evidence?	Gdje si pronašao ovaj dokaz?
>>hrv<< Would you like more tomato juice?	Želiš li još malo soka od rajčice?
>>hrv<< You're in better shape than I am.	U boljoj si formi nego ja.
>>hrv<< You're not paid to ask questions.	Ti nisi plaćen da postavljaš pitanja.
>>hrv<< You've got the right to be happy.	Imaš pravo biti sretan.
>>hrv<< You've got the right to be happy.	Imaš pravo biti sretna.
>>hrv<< Can you tell silver and tin apart?	Možeš li razlikovati srebro od kositra?
>>hrv<< Could I have a subway map, please?	Mogu li dobiti kartu metroa?
>>hrv<< Do you have time to come tomorrow?	Imaš li vremena doći sutra?
>>hrv<< He could no longer stand the pain.	Više nije mogao izdržati bol.
>>hrv<< Her beauty was beyond description.	Njezina ljepota je bila neopisiva.
>>hrv<< How long can you hold your breath?	Koliko dugo možeš držati dah?
>>hrv<< I asked Tom to wake me up at 2:30.	Zamolio sam Toma da me probudi u 2:30.
>>hrv<< I don't know what this word means.	Ne znam što znači ta riječ.
>>hrv<< I got very tired, but I felt good.	Umorio sam se dosta, ali dobro sam.
>>hrv<< I haven't seen you in here before.	Nisam te ovdje prije vidio.
>>hrv<< I haven't seen you in here before.	Nisam te ovdje prije vidjela.
