>>nds<< Run!	Loop!
>>nds<< The birds were hungry.	De Vagels weren hungerig.
>>nds<< The box was too heavy.	De Kist weer to swoor.
>>nds<< The boy bought a book.	De Jung hett en Book köfft.
>>nds<< The boy has come home.	De Jung is na Huus kamen.
>>nds<< The cat ate the mouse.	De Katt hett de Muus freten.
>>nds<< The heart is a muscle.	Dat Hart is en Muskel.
>>nds<< The hunter shot a fox.	De Jäger hett en Voss schaten.
>>nds<< The ice is very thick.	Dat Ies is düchtig dick.
>>nds<< The mountain is green.	De Barg is gröön.
>>nds<< The radio is too loud.	Dat Radio is to luud.
>>nds<< The soup is too salty.	De Supp is to solt.
>>nds<< The thief ran quickly.	De Deev lööp gau.
>>nds<< The world has changed.	De Welt hett sik ännert.
>>nds<< There's no sugar here.	Dor is keen Sucker.
>>nds<< This makes me curious.	Dat maakt mi neeschierig.
>>nds<< This pear smells nice.	De Beer rückt good.
>>nds<< Time is getting short.	De Tied warrt knapp.
>>nds<< Tom is bigger than me.	Tom is grötter as ik.
>>nds<< Tom is taller than me.	Tom is grötter as ik.
>>nds<< Tom ruined my weekend.	Tom hett mien Wekenenn rugeneert.
>>nds<< Tom scrubbed his feet.	Tom deed sien Fööt schrubben.
>>nds<< War broke out in 1941.	De Krieg füng 1941 an.
>>nds<< Water freezes at 0°C.	Water freert bi 0 °C.
>>nds<< We are disturbing him.	Wi stöört em.
>>nds<< We had a little water.	Wi harrn en beten Water.
>>nds<< We lost a lot of time.	Wi hebbt veel Tied verloren.
>>nds<< We lost a lot of time.	Ei hebbt veel Tied verloren.
>>nds<< We're afraid of death.	Wi sünd bang vör ’n Dood.
>>nds<< What are you studying?	Wat studeerst du?
>>nds<< What did you do today?	Wat hest du vondaag maakt?
>>nds<< What you say is right.	Wat du seggst is wohr.
>>nds<< What's my room number?	Wat is mien Kamernummer?
>>nds<< What's your full name?	Wat is dien vullen Naam?
>>nds<< Where are you heading?	Wo geihst du hen?
>>nds<< Where is your brother?	Woneem is dien Broder?
>>nds<< Who will come with me?	’Keen kummt mit mi?
>>nds<< Who wrote these poems?	’Keen hett disse Riemels schreven?
>>nds<< Who wrote this letter?	’Keen hett dissen Breev schreven?
>>nds<< Why did you come here?	Worüm büst du hier herkamen?
>>nds<< Why has this happened?	Worüm is dat passeert?
>>nds<< You need to follow me.	Du musst mit mi kamen.
>>nds<< You recovered quickly.	Du hest di gau verhaalt.
>>nds<< You've made a mistake.	Du hest en Fehler maakt.
>>nds<< A mosquito just bit me.	En Moskito hett mi jüst staken.
>>nds<< A wolf cannot be tamed.	En Wulv kann nich tähmt warrn.
>>nds<< All roads lead to Rome.	All Weeg föhrt na Room.
>>nds<< Are they looking at us?	Kiekt se na uns?
>>nds<< Are you feeling lonely?	Föhlst du di eensaam?
>>nds<< Better late than never.	Lever laat as nie!
>>nds<< Could I use your phone?	Dröff ik dien Telefoon bruken?
>>nds<< Did you enjoy the film?	Hett di de Film gefallen?
>>nds<< Did you like the movie?	Hett di de Film gefallen?
>>nds<< Do you have a computer?	Hest du en Computer?
>>nds<< Do you have a question?	Hest du en Fraag?
>>nds<< Do you know her father?	Kennst du ehren Vader?
>>nds<< Do you need much money?	Bruukst du veel Geld?
>>nds<< Does Tom like tomatoes?	Mag Tom Tomaten?
>>nds<< Does he live near here?	Wahnt he in de Neegd?
>>nds<< Does your stomach hurt?	Hest du Buukwehdaag?
>>nds<< Everyone has his price.	Elkeen hett sien Pries.
>>nds<< Give me a little money.	Geev mi en beten Geld.
>>nds<< He arrived at midnight.	He is üm Middernacht ankamen.
>>nds<< He can drive a car now.	He kann nu Auto föhren.
>>nds<< He did nothing but cry.	He ween man bloot.
>>nds<< He didn't say anything.	He seed nix.
>>nds<< He had dark brown hair.	He harr düüsterbruun Hoor.
>>nds<< He is a good violinist.	He is en goden Vigelienspeler.
>>nds<< He is far from perfect.	He is ganz un gornich perfekt.
>>nds<< He left Africa forever.	He is op alltied ut Afrika weggahn.
>>nds<< He pretends to be deaf.	He stellt sik doov.
>>nds<< He sang some old songs.	He süng en poor ole Leder.
>>nds<< He speaks English well.	He snackt good Engelsch.
>>nds<< He used the dictionary.	He deed en Wöörbook bruken.
>>nds<< He's a baseball player.	He is Baseballspeler.
>>nds<< He's not a good person.	He is keen goden Minsch.
>>nds<< He's stronger than you.	He is stärker as du.
>>nds<< Here's my phone number.	Hier is mien Telefoonnummer.
>>nds<< How high is that tower?	Wo hoog is disse Toorn?
>>nds<< I always keep promises.	Ik holl Verspreken jümmer.
>>nds<< I am eating a cucumber.	Ik eet en Gurk.
>>nds<< I bought her a new car.	Ik heff ehr en neet Auto köfft.
>>nds<< I can't understand you.	Ik kann di nich verstahn.
>>nds<< I didn't buy that book.	Ik heff dat Book nich köfft.
>>nds<< I don't have any money.	Ik heff keen Geld.
>>nds<< I don't like your name.	Ik mag dien Naam nich.
>>nds<< I don't speak Japanese.	Ik snack keen Japaansch.
>>nds<< I don't understand you.	Ik verstah di nich.
>>nds<< I have a cat and a dog.	Ik heff en Katt un en Hund.
>>nds<< I have about 5,000 yen.	Ik heff üm un bi 5.000 Yen.
>>nds<< I met an elderly woman.	Ik heff en öllere Froo drapen.
>>nds<< I prefer coffee to tea.	Ik mag Kaffe lever as Tee.
>>nds<< I prefer mineral water.	Ik mag lever Selter.
>>nds<< I prefer tea to coffee.	Ik mag Tee lever as Kaffe.
>>nds<< I received your letter.	Ik heff dien Breev kregen.
>>nds<< I saw Liz this morning.	Ik heff Liz vonmorgen sehn.
>>nds<< I sell clothing online.	Ik verkööp online Klamotten.
>>nds<< I slept for nine hours.	Ik heff negen Stünnen lang slapen.
>>nds<< I think I broke my leg.	Ik glööv, ik heff mi mien Been braken.
>>nds<< I threw up three times.	Ik heff dree Maal braken.
>>nds<< I want a chamomile tea.	Ik will en Kamellentee.
>>nds<< I want to study abroad.	Ik will in ’t Butenland studeren.
>>nds<< I was used to the heat.	Ik weer de Hitt wennt.
>>nds<< I will not do it again.	Ik will ’t nich wedder doon.
>>nds<< I wrote a song for you.	Ik heff en Leed för di schreven.
>>nds<< I'll show you the city.	Ik will di de Stad wiesen.
>>nds<< I'll tell you a secret.	Ik will di en Geheemnis verraden.
>>nds<< I'm a little bit tired.	Ik bün en beten mööd.
>>nds<< I'm at the airport now.	Ik bün opstunns op ’n Flegerhaven.
>>nds<< I'm too tired to drive.	Ik bün to mööd to ’n Föhren.
>>nds<< Is that a bus or a car?	Is dat en Bus oder en Auto?
>>nds<< Is your mother at home?	Is dien Moder tohuus?
>>nds<< It's pretty cold today.	Vondaag is dat temlich koold.
>>nds<< Mary oiled her bicycle.	Mary hett ehr Fohrrad öölt.
>>nds<< My brother is an idiot.	Mien Broder is en Idioot.
>>nds<< My dream has come true.	Mien Droom is wohr worrn.
>>nds<< My heart began to race.	Mien Hart füng an to puchen.
>>nds<< My house is like yours.	Mien Huus is as dien.
>>nds<< My husband is a doctor.	Mien Mann is Dokter.
>>nds<< My son has a toothache.	Mien Söhn hett Tähnwehdaag.
>>nds<< My spoon is very large.	Mien Löpel is bannig groot.
>>nds<< My stomach is growling.	Mien Maag grummelt.
>>nds<< My uncle drives a Ford.	Mien Unkel föhrt en Ford.
>>nds<< My wife died of cancer.	Mien Froo is an Kreevt storven.
>>nds<< School is over at 3:30.	De School is halvig veer ut.
>>nds<< She always wears black.	Se driggt jümmer swart.
>>nds<< She gave him a massage.	Se geev em en Massaasch.
>>nds<< She gave him a present.	Se geev em en Geschenk.
>>nds<< She gave him some food.	Se geev em en beten Eten.
>>nds<< She is cooking for him.	Se kaakt för em.
>>nds<< She kissed me, not him.	Se hett mi küsst, nich em.
>>nds<< She knit him a sweater.	Se deed em en Pullover knütten.
>>nds<< She likes birdwatching.	Se mag geern Vagels kieken.
>>nds<< She likes short skirts.	Se mag korte Röck.
>>nds<< She sent him a message.	Se hett em en Naricht tostüürt.
>>nds<< She stood close to him.	Se stünn dicht bi em.
>>nds<< She tore up the letter.	Se hett den Breev tweireten.
>>nds<< She's always grumbling.	Se is jümmer an ’t Rümgrummeln.
>>nds<< She's rolling in money.	Se swemmt in Geld.
>>nds<< She's smarter than him.	Se is klöker as he.
>>nds<< She's younger than him.	Se is jünger as he.
>>nds<< Show me another camera.	Wies mi noch en annere Kamera.
>>nds<< Tears came to her eyes.	Tranen schöten ehr in de Ogen.
>>nds<< That's not true at all.	Dat is ganz un gor nich wohr.
>>nds<< The flowers smell good.	De Blomen ruukt good.
>>nds<< The hole is big enough.	Dat Lock is groot noog.
>>nds<< The hole is big enough.	De Kuhl is groot noog.
>>nds<< The hole is big enough.	Dat Gatt is groot noog.
>>nds<< The knife is not sharp.	Dat Mest is nich scharp.
>>nds<< The marsh is knee-deep.	De Sump is kneedeep.
>>nds<< The situation worsened.	De Laag deed slechter warrn.
>>nds<< The street is slippery.	De Straat is slibberig.
>>nds<< The tea is boiling hot.	De Tee is kakendig heet.
>>nds<< They eat a lot of rice.	Se eet veel Ries.
>>nds<< This apple is very red.	Disse Appel is önnig rood.
>>nds<< This apple tastes sour.	Disse Appel smeckt suur.
>>nds<< This coat is too small.	Disse Mantel is to lütt.
>>nds<< This is our friend Tom.	Dit is uns Fründ Tom.
>>nds<< This table is wobbling.	Disse Disch kippelt.
>>nds<< This tea is too bitter.	Disse Tee is to bitter.
>>nds<< Time cannot be stopped.	Tied kann nich anhollen warrn.
>>nds<< Tom isn't a lazy child.	Tom is keen looi Kind.
>>nds<< Tom's looking for work.	Tom söcht na Arbeid.
>>nds<< Tulips will bloom soon.	De Tulpen blöht bald.
>>nds<< We are learning Arabic.	Wi lehrt Araabsch.
>>nds<< We got lost in the fog.	Wi hebbt uns in ’n Daak verbiestert.
>>nds<< We saw them last night.	Wi hebbt jem vergangen Nacht sehn.
>>nds<< We used up the shampoo.	Wi hebbt dat Shampoo opbruukt.
>>nds<< What do you mean by it?	Wat meenst du dor mit?
>>nds<< What made her so angry?	Wat hett ehr so füünsch maakt?
>>nds<< When do you need it by?	Wannehr bruukst du dat?
>>nds<< Which way is the beach?	Woneem geiht dat langs na ’n Strand?
>>nds<< Who did you speak with?	Mit ’keen hest du snackt?
>>nds<< Who told you the story?	’Keen hett di de Geschicht vertellt?
>>nds<< Why do you need change?	Worüm bruukst du Lüttgeld?
>>nds<< You need to be patient.	Du musst gedüllig wesen.
>>nds<< You'd better not do it.	Ji schullen dat beter nich maken.
>>nds<< You'd better not do it.	Du schullst dat beter nich maken.
>>nds<< You'd better not speak.	Du seggst beter nix.
>>nds<< All the lights went out.	All Lichten sünd utgahn.
>>nds<< Atoms are in everything.	Atooms sünd överall in.
>>nds<< Can I talk to my doctor?	Kann ik mien Dokter spreken?
>>nds<< Children are a blessing.	Kinner sünd en Segen.
>>nds<< Could I use your pencil?	Kann ik dien Bleesticken bruken?
>>nds<< Did you enjoy the movie?	Hett di de Film gefallen?
>>nds<< Did you write this book?	Hest du dit Book schreven?
>>nds<< Do you have any sisters?	Hest du Süstern?
>>nds<< Do you have enough time?	Hest du noog Tied?
>>nds<< Do you know his brother?	Kennst du sien Broder?
>>nds<< Do you like to be alone?	Büst du geern alleen?
>>nds<< Don't forget the ticket.	Vergeet de Fohrkoort nich.
>>nds<< Don't touch the flowers.	Lang de Blomen nich an.
>>nds<< Have you chosen a topic?	Hest du en Thema utsöcht?
>>nds<< He can't know the truth.	He kann de Wohrheit nich weten.
>>nds<< He doesn't look his age.	Man sütt em sien Öller nich an.
>>nds<< He has a test next week.	He hett toern Week en Test.
>>nds<< He is putting on weight.	He nimmt to.
>>nds<< He was interested in me.	He harr Intress an mi.
>>nds<< He wrote to his parents.	He hett sien Öllern schreven.
>>nds<< How do you know my name?	Wo kennst du mien Naam von?
>>nds<< How often do you shower?	Wo faken duuschst du?
>>nds<< How old is the universe?	Wo oold is dat Universum?
>>nds<< How's the weather there?	Wat is dor för ’n Weder?
>>nds<< I always walk to school.	Ik gah jümmer to Foot na School.
>>nds<< I can't live without TV.	Ik kann ahn Feernsehn nich leven.
>>nds<< I don't drink much wine.	Ik drink nich veel Wien.
>>nds<< I don't know what it is.	Ik weet nich, wat dat is.
>>nds<< I feel like throwing up.	Ik föhl mi, as wenn ik kalvern mutt.
>>nds<< I feel like throwing up.	Ik föhl mi, as wen ik breken mutt.
>>nds<< I felt my hands tremble.	Ik heff mien Hannen beven föhlt.
>>nds<< I gave my sister a doll.	Ik heff miene Süster en Popp geven.
>>nds<< I had to work on Sunday.	Ik müss an ’n Sünndag arbeiden.
>>nds<< I have lost my umbrella.	Ik heff mien Regenscherm verloren.
>>nds<< I have no time tomorrow.	Ik heff morgen keen Tied.
>>nds<< I hope to see you again.	Ik hööp, dat ik di wedderseh.
>>nds<< I know his brother well.	Ik kenn sien Broder good.
>>nds<< I like playing football.	Ik speel geern Football.
>>nds<< I like the way you walk.	Ik mag de Oord, woans du löppst.
>>nds<< I like to play football.	Ik speel geern Football.
>>nds<< I missed the 7:00 train.	Ik heff den Klock-7-Tog verpasst.
>>nds<< I no longer have a home.	Ik heff keen Tohuus mehr.
>>nds<< I play volleyball often.	Ik speel faken Volleyball.
>>nds<< I remember what he said.	Ik weet noch, wat he seggt hett.
>>nds<< I swim almost every day.	Ik swemm meist elk Dag.
>>nds<< I want to buy ski boots.	Ik will Skisteveln köpen.
>>nds<< I wanted to read a book.	Ik wull en Book lesen.
>>nds<< I was born 20 years ago.	Ik bün vör twintig Johr boren.
>>nds<< I'd like three of these.	Ik harr geern dree von disse.
>>nds<< I'm in a bad mood today.	Ik bün vondaag slecht toweeg.
>>nds<< I'm just looking around.	Ik kiek mi bloot üm.
>>nds<< I'm not home on Sundays.	Ik bün sünndaags nich tohuus.
>>nds<< Is her father a teacher?	Is ehr Vader Schoolmeester?
>>nds<< May I take your picture?	Dröff ik en Bild von di maken?
>>nds<< May I use the telephone?	Dröff ik dat Telefoon bruken?
>>nds<< My brother has no money.	Mien Broder hett keen Geld.
>>nds<< My brother plays guitar.	Mien Broder speelt Gitarr.
>>nds<< My son is ten years old.	Mien Söhn is teihn Johr oold.
>>nds<< My wife is a vegetarian.	Mien Froo is Vegetarier.
>>nds<< Not every day is Sunday.	Is nich jeden Dag Sünndag.
>>nds<< Paper is made from wood.	Poppeer warrt von Holt maakt.
>>nds<< School starts April 8th.	De School fangt an ’n 8. April an.
>>nds<< She bought a dozen eggs.	Se hett een Dutz Eier köfft.
>>nds<< She bought him a camera.	Se hett em en Kamera köfft.
>>nds<< She bought him a ticket.	Se hett em en Ticket köfft.
>>nds<< She does not like sushi.	Se mag keen Sushi.
>>nds<< She doesn't like soccer.	Se mag keen Football.
>>nds<< She forgot to write him.	Se hett vergeten, em to schrieven.
>>nds<< She gave birth to twins.	Se hett Tweeschen kregen.
>>nds<< She is eighteen at most.	Se is nich öller as achtteihn.
>>nds<< She is listening to him.	Se höört em to.
>>nds<< She knows many proverbs.	Se kennt veel Seggwöör.
>>nds<< She made a bet with him.	Se hett mit em weddt.
>>nds<< She sent him a postcard.	Se deed em en Postkoort tostüren.
>>nds<< She took him to the zoo.	Se hett em in ’n Zoo mitnahmen.
>>nds<< She understands you now.	Se versteiht di nu.
>>nds<< She's not a good person.	Se is keen gode Person.
>>nds<< Show me another example.	Wies mi noch en Bispeel.
>>nds<< Stop making such a fuss!	Stell di nich so an!
>>nds<< The boy is eating bread.	De Jung itt Brood.
>>nds<< The broken doll is mine.	De tweie Popp höört mi to.
>>nds<< The dog is in the house.	De Hund is in ’t Huus.
>>nds<< The hawk caught a mouse.	De Haavk hett en Muus fungen.
>>nds<< The hotel is down there.	Dat Hotel is dor neddern.
>>nds<< The letter was finished.	De Breev weer trech.
>>nds<< The night's still young.	De Nacht is noch jung.
>>nds<< The pain was unbearable.	De Wehdaag weer nich uttohollen.
>>nds<< The shower doesn't work.	De Duusch is kaputt.
>>nds<< The supermarket is open.	De Supermarkt is apen.
>>nds<< There comes our teacher.	Dor kummt uns Lehrer.
>>nds<< There is a fork missing.	Dor fehlt en Gavel.
>>nds<< There's something wrong.	Dor stimmt wat nich.
>>nds<< These apples taste good.	Disse Appels smeckt good.
>>nds<< They have a large house.	Se hebbt en groot Huus.
>>nds<< This is a good textbook.	Dit is en good Lehrbook.
>>nds<< This smells like cheese.	Dat rückt na Kees.
>>nds<< Tom knows Mary's father.	Tom kennt Mary ehr Vader.
>>nds<< Watch what you're doing!	Pass op, wat du deist!
>>nds<< Watch what you're doing!	Passt op, wat ji doot!
>>nds<< We have a dog and a cat.	Wi hebbt en Hund un en Katt.
>>nds<< We wasted a lot of time.	Wi hebbt en Barg Tied verschenkt.
>>nds<< We're having a barbecue.	Wi grillt jüst.
>>nds<< We're not in the jungle.	Wi sünd nich in ’n Dschungel.
>>nds<< Were you born in a barn?	Büst du in en Schüün boren worrn?
>>nds<< What a beautiful sunset!	Wat en smucken Sünnünnergang!
>>nds<< What are you doing here?	Wat deist du hier?
>>nds<< What do you like to eat?	Wat ittst du geern?
>>nds<< What makes you say that?	Worüm seggst du dat?
>>nds<< What're you looking for?	Wat söchst du?
>>nds<< What's the weather like?	Wo is dat Weder?
>>nds<< Which are the best ones?	Wat för welk sünd de besten?
>>nds<< Who lives in that house?	’Keen leevt in dat Huus?
>>nds<< Would you like to dance?	Wullt du geern dansen?
>>nds<< You have very sexy legs.	Du hest temlich sexy Been.
>>nds<< You need a lot of water.	Du bruukst veel Water.
>>nds<< You were late yesterday.	Du weerst güstern to laat.
>>nds<< You're everything to me.	Du büst allens för mi.
>>nds<< All these books are mine.	All disse Böker sünd mien.
>>nds<< Are my socks dry already?	Sünd mien Söcken al dröög?
>>nds<< Ask your dad to help you.	Fraag dien Vader üm Hülp.
>>nds<< Birds often fly together.	Vagels fleegt faken tohoop.
>>nds<< Can I ask you a question?	Kann ik di wat fragen?
>>nds<< Cats can see in the dark.	Katten köönt in ’n Düüstern sehn.
>>nds<< China is a large country.	China is en groot Land.
>>nds<< Choose between these two.	Wähl een von de beiden ut.
>>nds<< Could you say that again?	Kannst du dat nochmaal seggen?
>>nds<< Curiosity killed the cat.	Neeschierigkeid hett de Katt ümbröcht.
>>nds<< Do you believe in ghosts?	Glöövst du an Spökels?
>>nds<< Do you have enough money?	Hest du noog Geld?
>>nds<< Do you like strawberries?	Magst du geern Eerdbeern?
>>nds<< Don't tell me what to do.	Segg mi nich, wat ik doon schall.
>>nds<< Gold's heavier than iron.	Gold is sworer as Iesen.
>>nds<< He ate bread with butter.	He hett Botterbrood eten.
>>nds<< He doesn't have any pets.	He hett keen Huusdeerten.
>>nds<< He has written two books.	He hett twee Böker schreven.
>>nds<< He is a man of few words.	He maakt nich veel Wöör.
>>nds<< He is opening the window.	He maakt dat Finster op.
>>nds<< He likes taking pictures.	He maakt geern Fotos.
>>nds<< He likes to travel alone.	He reist geern alleen.
>>nds<< He looks old for his age.	He sütt oold ut för sien Öller.
>>nds<< He might change his mind.	Villicht ännert he sien Verscheel.
>>nds<< He opened his mouth wide.	He deed sien Mund wied apen.
>>nds<< He showed me his new car.	He hett mi sien neet Auto wiest.
>>nds<< He spends too much money.	He gifft toveel Geld ut.
>>nds<< He tried to kill himself.	He versöch sik sülvs ümtobringen.
>>nds<< He works as a translator.	He arbeidt as Översetter.
>>nds<< He's always dissatisfied.	He is jümmer untofreden.
>>nds<< He's been to the stadium.	He is na ’t Stadion wesen.
>>nds<< He's gone to the stadium.	He is na ’t Stadion gahn.
>>nds<< How dare you laugh at me!	Wo kannst du dat wagen, över mi to lachen?
>>nds<< How does this soup taste?	Wo smeckt disse Supp?
>>nds<< How much time has passed?	Woveel Tied is vergahn?
>>nds<< How often do you see her?	Wo faken süst du ehr?
>>nds<< How well do you know Tom?	Wo good kennst du Tom?
>>nds<< I almost dropped a plate.	Ik heff binah en Teller dalsmeten.
>>nds<< I am able to drive a car.	Ik kann Auto föhren.
>>nds<< I arrived here yesterday.	Ik bün hier güstern ankamen.
>>nds<< I bought a pair of boots.	Ik heff en Poor Steveln köfft.
>>nds<< I bought a pair of shoes.	Ik heff en Poor Schoh köfft.
>>nds<< I can't give up my dream.	Ik kann mien Droom nich opgeven.
>>nds<< I can't live without you.	Ik kann nich ahn di leven.
>>nds<< I can't thank you enough.	Ik kann di nich noog danken.
>>nds<< I don't know what to say.	Ik weet nich, wat ik seggen schall.
>>nds<< I don't mind if it's hot.	Dat maakt mi nix ut, wenn dat hitt is.
>>nds<< I don't want to eat here.	Ik will hier nich eten.
>>nds<< I don't want to hurt her.	Ik will ehr nich wehdoon.
>>nds<< I failed to persuade her.	Ik kunn ehr nich övertügen.
>>nds<< I have a pair of mittens.	Ik heff en Poor Fuusthanschen.
>>nds<< I have to go to the bank.	Ik mutt na de Bank gahn.
>>nds<< I have to help my mother.	Ik mutt mien Moder helpen.
>>nds<< I heard someone shouting.	Ik heff een grölen höört.
>>nds<< I hope he'll wait for me.	Ik hööp, dat he op mi wacht.
>>nds<< I make 100 euros per day.	Ik verdeen hunnerd Euro an ’n Dag.
>>nds<< I met your dad yesterday.	Ik heff güstern dien Vader drapen.
>>nds<< I remember what you said.	Ik weet noch, wat du seggt hest.
>>nds<< I see tears in your eyes.	Ik seh Tranen in dien Ogen.
>>nds<< I want to be an engineer.	Ik will en Inschenör wesen.
>>nds<< I want to go to the city.	Ik will na de Stad gahn.
>>nds<< I was hungry and thirsty.	Ik weer hungerig un döstig.
>>nds<< I was in Tokyo yesterday.	Güstern weer ik in Tokyo.
>>nds<< I will not eat ice cream.	Ik schall keen Ieskreem eten.
>>nds<< I wish I was young again.	Ik wull ik weer noch wedder jung.
>>nds<< I've been to Paris twice.	Ik bün twee Maal in Paris wesen.
>>nds<< I've spent all the money.	Ik heff allens Geld utgeven.
>>nds<< I've told you everything.	Ik heff di allens vertellt.
>>nds<< In a word, life is short.	Kort seggt: Dat Leven is kort.
>>nds<< Is this fish still alive?	Leevt disse Fisch noch?
>>nds<< It's still light outside.	Buten is dat noch hell.
>>nds<< It's still light outside.	Dat is noch hell buten.
>>nds<< Latin is a dead language.	Latien is en dode Spraak.
>>nds<< Lincoln was a Republican.	Lincoln weer Republikaner.
>>nds<< My cat killed a squirrel.	Mien Katt hett en Katteker doodmaakt.
>>nds<< My parents are both dead.	Miene Öllern sünd all beid dood.
>>nds<< Put the gun on the table.	Legg dat Gewehr op ’n Disch.
>>nds<< Shall I come next Sunday?	Schall ik tokamen Sünndag kamen?
>>nds<< She fell down the ladder.	Se füll de Ledder dal.
>>nds<< She had a strange hat on.	Se dreeg en snaakschen Hoot.
>>nds<< She handed him the money.	Se hett em dat Geld geven.
>>nds<< She kept her eyes closed.	Se höll ehr Ogen slaten.
>>nds<< She met him on the beach.	Se hett em an ’n Strand drapen.
>>nds<< She met him this morning.	Se hett em vonmorgen drapen.
>>nds<< She sang better than him.	Se süng beter as he.
>>nds<< She took him to the lake.	Se hett em an ’n See mitnahmen.
>>nds<< She wanted to understand.	Se wull dat verstahn.
>>nds<< Tears ran down my cheeks.	Tranen löpen över mien Backen.
>>nds<< That club is way too big.	De Knüppel is veel to groot.
>>nds<< That was his catchphrase.	Dat weer so sien Snack.
>>nds<< That's my favorite chair.	Dat is mien leevsten Stohl.
>>nds<< The baby has a cute face.	Dat Baby hett en nüüdlich Gesicht.
>>nds<< The boy can count to ten.	De Jung kann bet teihn tellen.
>>nds<< The boys have gone north.	De Jungs sünd na Noorden gahn.
>>nds<< The cat is in its basket.	De Katt is in ehr Korv.
>>nds<< The cat was on the table.	De Katt weer op ’n Disch.
>>nds<< The house has burnt down.	Dat Huus is afbrennt.
>>nds<< The milk has a bad taste.	De Melk smeckt slecht.
>>nds<< There is a knife missing.	Dor fehlt en Mest.
>>nds<< These things aren't mine!	Dat sünd nich miene Saken!
>>nds<< They are afraid of death.	Se sünd bang vör ’n Dood.
>>nds<< They don't even know why.	Se weet nich maal worüm.
>>nds<< They're going to kill me.	Se wüllt mi ümbringen.
>>nds<< This book is about stars.	Dit Book is över Steerns.
>>nds<< This house is very small.	Dit Huus is temlich lütt.
>>nds<< This is as heavy as lead.	Dit is swoor as Blee.
>>nds<< This is my email address.	Dat is mien E-Mail-Adress.
>>nds<< This orange is delicious.	Disse Appelsien smeckt lecker.
>>nds<< Tom does not like cheese.	Tom mag keen Kees.
>>nds<< Tom scrubbed the bathtub.	Tom deed de Baadwann schrubben.
>>nds<< Twelve is an even number.	Twölv is en lieke Tall.
>>nds<< We all enjoyed the movie.	Uns hett de Film all gefullen.
>>nds<< We almost froze to death.	Wi sünd meist doodfroren.
>>nds<< We ordered too much food.	Wi hebbt toveel Eten bestellt.
>>nds<< We raced toward the fire.	Wi löpen na dat Füür hen.
>>nds<< We've got plenty of time.	Wi hebbt veel Tied.
>>nds<< What are you doing today?	Wat maakst du vondaag?
>>nds<< What are you looking for?	Wat söchst du?
>>nds<< What are you pointing at?	Wo wiest du op?
>>nds<< What do you think he did?	Wat meenst du, wat he maakt hett?
>>nds<< What does this word mean?	Wat bedüüdt dit Woord?
>>nds<< What does your father do?	Wat maakt dien Vader?
>>nds<< What format should I use?	Wat för en Formaat schall ik bruken?
>>nds<< What will the postage be?	Woveel Porto is dat?
>>nds<< When does the shop close?	Wannehr maakt de Laden dicht?
>>nds<< Where are you living now?	Woneem leevst du nu?
>>nds<< You are our new neighbor.	Du büst uns nee Naver.
>>nds<< You must clean your room.	Du musst dien Kamer oprümen.
>>nds<< Add 5 to 3 and you have 8.	Tell 5 un 3 tohoop un du hest 8.
>>nds<< Air is lighter than water.	Luft is lichter as Water.
>>nds<< Can I use your dictionary?	Kann ik dien Wöörbook bruken?
>>nds<< Can you speak more slowly?	Kannst du en beten langsamer snacken?
>>nds<< Cats hate vacuum cleaners.	Katten köönt Stoffsugers nich af.
>>nds<< Divide the pizza in three.	Deel de Pizza in dree Delen.
>>nds<< Do you have a credit card?	Hest du en Kreditkoort?
>>nds<< Do you have any questions?	Hebbt ji Fragen?
>>nds<< Do you have two computers?	Hest du twee Reekners?
>>nds<< Do you like San Francisco?	Gefallt di San Francisco?
>>nds<< Do you like San Francisco?	Gefallt jo San Francisco?
>>nds<< Do you like tea or coffee?	Wullt du Tee oder Kaffe?
>>nds<< Don't leave the door open.	Laat de Döör nich apen.
>>nds<< Falcons are birds of prey.	Falken sünd Griepvagels.
>>nds<< Gold is heavier than iron.	Gold is sworer as Iesen.
>>nds<< Grandma likes watching TV.	Oma kickt geern Feernsehn.
>>nds<< Have you ever been abroad?	Sünd ji al maal in ’t Utland wesen?
>>nds<< He came back at 5 o'clock.	He keem Klock fiev trügg.
>>nds<< He did what they told him.	He deed, wat se em seggt hebbt.
>>nds<< He emigrated to Australia.	He is na Australien utwannert.
>>nds<< He had his hair cut short.	He hett sik de Hoor kort snieden laten.
>>nds<< He is old enough to drive.	He is oold noog to föhren.
>>nds<< He is still having doubts.	He twievelt noch jümmer.
>>nds<< He lives outside the city.	He leevt buten de Stad.
>>nds<< He must be from the South.	He mutt ut ’n Süden wesen.
>>nds<< He narrowly escaped death.	He is knapp ’n Dood utraakt.
>>nds<< He put milk in his coffee.	He deed Melk in sien Kaffe.
>>nds<< He rang me up at midnight.	He hett mi üm Middernacht anropen.
>>nds<< He sent me a brief letter.	He hett mi en korten Breev tostüürt.
>>nds<< He was lying on the grass.	He deed in ’t Gras liggen.
>>nds<< He was too tired to study.	He weer to mööd to ’n Lehren.
>>nds<< He wrote me a long letter.	He hett mi en langen Breev schreven.
>>nds<< How many bags do you have?	Woveel Büdels hest du?
>>nds<< How many kids do you have?	Woveel Kinner hest du?
>>nds<< How often do you eat fish?	Wo faken ittst du Fisch?
>>nds<< How old are your children?	Wo oold sünd joon Kinner?
>>nds<< I am very glad to see you.	Ik frei mi dull, di to sehn.
>>nds<< I bought a pair of gloves.	Ik heff en Poor Hanschen köfft.
