>>dtp<< Help!	Uhupai!
>>dtp<< Are you almost here?	Korikot ko' hiti do tinu?
>>dtp<< Are you being funny?	Maan ko' kotumpirak?
>>dtp<< Are you coming back?	Muli ko' tiinu?
>>dtp<< Are you coming, Tom?	Oi Tom, korikot ko' tinu?
>>dtp<< Are you from Boston?	Mantad ko' id Boston?
>>dtp<< Are you going along?	Tumalib ko' lo hodi?
>>dtp<< Are you guys crying?	Mihad ikoyu?
>>dtp<< Are you kids hungry?	Oi tanganak, witilon ikoyu?
>>dtp<< Are you on Facebook?	Haro Pisbuk nu?
>>dtp<< Are you on vacation?	Moi ko' hino tombuluyon?
>>dtp<< Are you really sure?	Kopio gia?
>>dtp<< Are you still alone?	Osongulun ko' po?
>>dtp<< Are you still dizzy?	Oinggolou ko' po?
>>dtp<< Are you that stupid?	Basug ko' dii?
>>dtp<< Are you two related?	Kopiirad ikoyu?
>>dtp<< Are you watching me?	Mongintong ko' nangku doho?
>>dtp<< Bring your tool box.	Owito pakakas nu.
>>dtp<< Can someone help me?	Haro isai milo' monguhup doho?
>>dtp<< Can we do something?	Milo' tokou mangan?
>>dtp<< Can we speak French?	Milo' tokou mimboros Poransis?
>>dtp<< Don't you hate that?	Au ko araatan doho?
>>dtp<< Everybody looked up.	Tuminingaha toinsanan.
>>dtp<< French is difficult.	Apagon no boros Poransis.
>>dtp<< Get a ticket for me.	Onuai do tikit montok doho.
>>dtp<< Get back in the van.	Ongoi sakai id suang korita bin.
>>dtp<< Go and look for Tom.	Ongoi pogihum i Tom.
>>dtp<< He can help you out.	Milo' yau monguhup dika.
>>dtp<< He seems to be sick.	Sumakit iyau dii.
>>dtp<< He's as big as I am.	Agayo yau miagal doho.
>>dtp<< How bad could it be?	Songkuro rinaat diti?
>>dtp<< How bad is Tom hurt?	Okuro-kuro da kogonitan i Tom?
>>dtp<< How bad is the pain?	Okuro-kuro daa toruol lo?
>>dtp<< How can I forget it?	Poingkuro no olingan ku dilo?
>>dtp<< How can I reach Tom?	Ingkuro oku kagampot id Tom?
>>dtp<< How can I trust you?	Poingkuro oku lumansan dika?
>>dtp<< How can Tom do that?	Ingkuro no maan i Tom dilo?
>>dtp<< How can Tom do this?	Poingkuro ma i Tom maan diti?
>>dtp<< How can we help Tom?	Inkuro ma tokou monguhup i Tom?
>>dtp<< How can we help you?	Inkuro ma tokou monguhup dika?
>>dtp<< I always take a bus.	Asaru oku sumakai do bas.
>>dtp<< I am right for once.	Insan nopo katapatan ku.
>>dtp<< I asked Tom to stop.	Nokosunud oku kumaa Tom ula'.
>>dtp<< I broke up with Tom.	Tumongkiad oku maya i Tom.
>>dtp<< I came by to say hi.	Moi oku rikot hiti om tumabi.
>>dtp<< I can come in early.	Milo' oku korikot do osopung.
>>dtp<< I can deal with Tom.	Milo' oku mongumbal maya Tom.
>>dtp<< I can get you there.	Milo' oku mongintong dika id hino.
>>dtp<< I can seal the leak.	Milo' oku popotopot do lawas.
>>dtp<< I can still do that.	Milo' oku po maan dilo.
>>dtp<< I can take Tom home.	Milo' oku koruhang Tom id walai.
>>dtp<< I can wait out here.	Milo' oku mangandad hiti.
>>dtp<< I eat a lot of meat.	Ogumu oku mangakan do tonsi.
>>dtp<< I have a dictionary.	Kikamus oku.
>>dtp<< I have to leave now.	Mugad oku do baino.
>>dtp<< I know this is hard.	Noilaan ku diti apagon.
>>dtp<< I love Chinese food.	Orohian oku do taakanon Sina.
>>dtp<< I make €100 a day.	Naawi oku nodi do soginumu hatus Yuro sangadau.
>>dtp<< I must be on my way.	Mongoi oku koti.
>>dtp<< I share his opinion.	Tumanud oku do kopoilaan dau.
>>dtp<< I will be back soon.	Gulion ku kawagu kio.
>>dtp<< I wish you'd listen.	Alansan no daa korongou ko.
>>dtp<< I wonder who she is.	Isai isido lo dii?
>>dtp<< I'd be OK with that.	Osonong-sonong oku no dilo.
>>dtp<< I'd be glad to help.	Maha oku daa monguhup.
>>dtp<< I'll be good to Tom.	Maan oku awasi kumaa Tom bo.
>>dtp<< I'll be happy to go.	Ounsikahan oku nung mongoi.
>>dtp<< I'll be out of town.	Mogidu oku mantad watas kakadayan do tinu.
>>dtp<< I'll buy Tom a beer.	Bolian ku do biir kumaa Tom.
>>dtp<< I'm at a truck stop.	Hiti oku id pangadadan do lori.
>>dtp<< I'm blind, not deaf.	Yoho ih bolou, okon gia ih bosuk.
>>dtp<< I'm thinking of you.	Momusorou oku dika.
>>dtp<< Is any of this real?	Haro ti otopot?
>>dtp<< Is any of this true?	Otopot doiti?
>>dtp<< Is everybody hungry?	Louson tian toinsanan?
>>dtp<< Is that a yes or no?	Ohoo toi ko' amu?
>>dtp<< It bothers me a lot.	Naantakan ngawi kumaa doho.
>>dtp<< It'll be a long day.	Alaid tadau-adau do tinu.
>>dtp<< It's a fact of life.	Iri no koposion.
>>dtp<< It's all new for me.	Wagu lo ngawi kangku daa.
>>dtp<< It's time to get up.	Posik no.
>>dtp<< Keep an eye on them.	Intang-intangai kaka iyolo kio.
>>dtp<< Let's try something.	Umbalai bogia.
>>dtp<< Look at what I made.	Intangai wonsoyon ku ti.
>>dtp<< Look, I'll show you.	Intangai, pokitonon ku ndo diya.
>>dtp<< She's in a bad mood.	Au osonong habar disido.
>>dtp<< Take a few days off.	Onuai do undorong tokuri.
>>dtp<< Thank you for lunch.	Kotoluadan do manahak taakanon.
>>dtp<< Thank you for today.	Kotoluadan do baino.
>>dtp<< That's where I live.	Ilo hodi no tiyonon ku.
>>dtp<< That's where I work.	Hiti no pakarajaan ku.
>>dtp<< The computer is new.	Wagu ilo kompiuto.
>>dtp<< There's a lot to do.	Ogumu moti maan dilo.
>>dtp<< This belongs to you.	Iti nopo nga dika.
>>dtp<< This novel bores me.	Apa'asan iti buuk basaan doho.
>>dtp<< Tom has a black dog.	Haro i Tom do oitom tasu.
>>dtp<< Tom is a bad person.	I Tom nopo nga tulun taraat.
>>dtp<< Tom made an apology.	Minokiampun i Tom.
>>dtp<< We all have a price.	Haro no gatang dahai.
>>dtp<< We can get you help.	Milo' tokou monguhup dika.
>>dtp<< We can help Tom now.	Milo' yahai monguhup Tom baino.
>>dtp<< We can make it work.	Milo' tokou poimpanau lo.
>>dtp<< We haven't lost yet.	Au yahai napalid po.
>>dtp<< We need three rooms.	Manu yahai tolu bilik.
>>dtp<< We'll be on our way.	Poimpanau tokou kio.
>>dtp<< What are they up to?	Nunu mangan diolo?
>>dtp<< What are you saying?	Nunu kanu di?
>>dtp<< What can I tell Tom?	Nunu popoilo' oku kumaa Tom?
>>dtp<< What can I tell you?	Poingkuro ma popoilo' tiya?
>>dtp<< What should I bring?	Nunu apatut o owitan ku?
>>dtp<< What time is it now?	Jam kopiro dinondo?
>>dtp<< When can we see Tom?	Soira milo' tokou miruba i Tom?
>>dtp<< When did you buy it?	Mantad hombo pinomolian nu dino?
>>dtp<< When will you leave?	Soira hibokon nu?
>>dtp<< Where are you going?	Honggo tongoyon nu?
>>dtp<< Where can I find it?	Nonggo oku mongihum lo hodi?
>>dtp<< Where can I wash up?	Hinonggo oku milo' momoug?
>>dtp<< Where were you born?	Hinonggo kinosusuon nu?
>>dtp<< Who can stop us now?	Isai mogodu tokou baino?
>>dtp<< Who is your teacher?	Isai mongingia' nu?
>>dtp<< Whose fault is that?	Isai nopo kasala diri?
>>dtp<< Why am I still here?	Nokuro kakal po hiti oku?
>>dtp<< Why are you at home?	Nokuro ko' mangandad id walai?
>>dtp<< Why are you in town?	Nokuro ko' id watas kakadayan?
>>dtp<< Why are you with me?	Nokuro ko' koruhang maya doho?
>>dtp<< Why bring it up now?	Nokuro tu mongowit do baino?
>>dtp<< Why did you do that?	Nokuro ko' maan do miagal diti?
>>dtp<< Will I have to move?	Apatut ko popoundaliu dilo?
>>dtp<< You are out of step.	Aiso no orikatan nu.
>>dtp<< You can rely on Tom.	Milo' ko' kotumbaya i Tom.
>>dtp<< You can talk to Tom.	Milo' ko' moboros montok Tom.
>>dtp<< You can use my help.	Milo' ko' mokiuhup mantad doho.
>>dtp<< You'd be good at it.	Osonong no maan nu dilo.
>>dtp<< All things must pass.	Sansagan do ngawi katalib di otopot.
>>dtp<< All three men smiled.	Mirak-irak i tolu maman.
>>dtp<< Are those my glasses?	Soromin mato' ku lo hodi?
>>dtp<< Are we starting soon?	Sumonu tokou toi?
>>dtp<< Are you finished yet?	Naawi ko' no?
>>dtp<< Are you freaking out?	Kotigog ko' dii?
>>dtp<< Are you getting this?	Nakaanu ko' diti?
>>dtp<< Are you leaving soon?	Humibok ko' tinu?
>>dtp<< Are you open tonight?	Mongiwang ko' baino?
>>dtp<< Are you still hungry?	Witilon po tian nu?
>>dtp<< Are you their mother?	Ika nopo nga tidi diolo?
>>dtp<< Are you unhappy, Tom?	Au ko' otood, Tom?
>>dtp<< Are you walking home?	Muli ko' no?
>>dtp<< Are your bags packed?	Norotop no barait nu?
>>dtp<< Birds fly in the sky.	Tumulud o tombolog hilo'd tawan.
>>dtp<< Bring those men here.	Owito ilo tongulun hiti.
>>dtp<< Can I ask what it is?	Milo' oku monguhot nunu iti?
>>dtp<< Can I start tomorrow?	Milo' oku tumimpuun id suab?
>>dtp<< Can people buy these?	Milo' i tongulun momoli lo hodi?
>>dtp<< Can you see anything?	Kokito ko' do nunu?
>>dtp<< Come and help me out.	Kanou hiti om uhupai oku.
>>dtp<< Come and see me soon.	Solowoto' doho do kawagu oi.
>>dtp<< Come and take a look.	Umbalai do intong.
>>dtp<< Do you speak English?	Koilo' ko' mimboros Inggilis?
>>dtp<< Do you study English?	Minsingilo' ko' nangku boros Inggilis?
>>dtp<< Do you understand me?	Karati ko' nangku doho?
>>dtp<< Get away from me now.	Pogidu ko' mantad doho baino.
>>dtp<< Get away from my son.	Pogidu ko' mantad tanak ku.
>>dtp<< Give me a day or two.	Onuai oku maan id sangadau toi ko' duo tadau.
>>dtp<< Go ahead and ask Tom.	Ongoi uhoto i Tom.
>>dtp<< Go ahead, try it now.	Maai gia mongumbal baino.
>>dtp<< Go back to your seat.	Ongoi irikau hino tirikohon.
>>dtp<< Have a drink with me.	Kaino monginum.
>>dtp<< Have a nice day, Tom.	Intang-intangai do awasi tadau kio oi Tom.
>>dtp<< He has no girlfriend.	Ingaa iyau do sumandak.
>>dtp<< Here comes the train!	Nokorikot no koritapui!
>>dtp<< How are Tom and Mary?	Okuro-kuro habar i Tom om Mary?
>>dtp<< How bad was Tom hurt?	Okuro-kuro da nogonitan i Tom?
>>dtp<< How big is your room?	Songkuro ginayo linimput nu?
>>dtp<< How can I be helpful?	Poingkuro ma uhupan ku?
>>dtp<< How can I refuse you?	Inkuro no au oku asaga' dika?
>>dtp<< How can they do that?	Ingkuro no milo' iyolo maan lo hodi?
>>dtp<< How do I gain weight?	Poingkuro ma kaanu oku do winagat?
>>dtp<< How do you stop this?	Poingkuro ma popotingkod diti?
>>dtp<< I asked Tom to leave.	Nokosunud oku kumaa Tom hibok.
>>dtp<< I asked for a refund.	Manu oku do pogulian.
>>dtp<< I bet this will work.	Kotumbaya oku milo' do poimpanau ti.
>>dtp<< I broke a vase today.	Nababak oku do susuangan tusak baino.
>>dtp<< I brought you a gift.	Noowit oku do titahak.
>>dtp<< I can barely see you.	Nokokito oku kopio dika.
>>dtp<< I can help with that.	Milo' oku monguhup dilo.
>>dtp<< I can put this right.	Milo' oku popo'opi diti.
>>dtp<< I can still help you.	Milo' oku po monguhup dika.
>>dtp<< I can take you there.	Milo' oku ongoion dika hino.
>>dtp<< I can tell you later.	Sumonu oku momisunud dika kio.
>>dtp<< I have a stomachache.	Oruol tian ku.
>>dtp<< I hope Tom does well.	Alansan oku daa osonong-sonong i Tom.
>>dtp<< I knew you wanted me.	Noilaan ku diya tu manu ko' doho.
>>dtp<< I love French movies.	Orohian oku do wayang Poransis.
>>dtp<< I think you liked it.	Andasan ku daa om orohian ko' dilo.
>>dtp<< I think you're right.	Otopot ko' kangku daa.
>>dtp<< I took a deep breath.	Paparalom oku do pinuhobo.
>>dtp<< I wake up very early.	Osopung oku kopio mosik.
>>dtp<< I will give it a try.	Umbalan ku ndo dilo.
>>dtp<< I'll apologize later.	Ompunan ku sumoonu.
>>dtp<< I'm smarter than you.	Abaal oku mantad ko dika.
>>dtp<< Is Tom in the garden?	Haro i Tom hilo'd tumo?
>>dtp<< Is it as bad as that?	Au awasi dilo?
>>dtp<< It's happening again.	Nokoontok no kaagu.
>>dtp<< Mary hugged her doll.	Guminapus i Mary do siningayanak.
>>dtp<< Men are all the same.	Iri nopo kusai-kusai nga miagal no.
>>dtp<< My arm is killing me.	Adalaan korualan di longon ku.
>>dtp<< My boss is very nice.	Osonong wowoyoon ku ih.
>>dtp<< My feet are freezing.	Ososogit lapap ku.
>>dtp<< She allowed me to go.	Asaga' yau doho mongoi.
>>dtp<< She can speak French.	Koilo' yau mimboros Poransis.
>>dtp<< She served me coffee.	Poposurung yau do kupi' montok doho.
>>dtp<< Show me the pictures.	Pokitonon o gambar.
>>dtp<< Take a look at these.	Intangai lo hodi.
>>dtp<< Take a look in there.	Intangai id suang lo hodi.
>>dtp<< Thank you for asking.	Kotoluadan tu monguhot.
>>dtp<< Thank you for coming.	Kotoluadan tu kinorikatan.
>>dtp<< Thank you for dinner.	Kotoluadan tu dumuom do sodopon.
>>dtp<< Thank you for trying.	Kotoluadan do mumbal.
>>dtp<< There were two cakes.	Haro duo kiik.
>>dtp<< These are all I have.	Haro no iti ngawi mantad doho.
>>dtp<< They have lost a lot.	Natagakan diolo kogumuan.
>>dtp<< They shared feelings.	Maan iyolo do piuhupan kaka kopurimanan diolo.
>>dtp<< Tom didn't buy bread.	Au i Tom minomoli do ruti paun.
>>dtp<< Tom is Mary's nephew.	Tom nopo nga mononginan Mary.
>>dtp<< Tom is ready to help.	Nokosodia i Tom do monguhup.
>>dtp<< Tom wrote the report.	Minonurat i Tom do laporan.
>>dtp<< We all work too hard.	Monotos tokou kopio do kumaraja.
>>dtp<< We can all walk home.	Milo' tokou poimpanau muli walai.
>>dtp<< We can order a pizza.	Milo' tokou monuhu' do piza.
>>dtp<< We can still do that.	Milo' tokou po maan dilo.
>>dtp<< We can talk about it.	Milo' tokou moboros kaka ti.
>>dtp<< We can use your help.	Milo' tokou mokiuhup mantad dika.
>>dtp<< We can't forget that.	Au yahai milo olingan dilo.
>>dtp<< We shared everything.	Maan tokou do piuhupan ngawi.
>>dtp<< What are you cooking?	Nunu onsokon nu?
>>dtp<< What do you remember?	Nunu o kasarahan nu?
>>dtp<< Where can I meet Tom?	Hinonggo oku miruba Tom?
>>dtp<< Where is your father?	Honggo tapa nu?
>>dtp<< Where is your school?	Hinonggo sikul nu?
>>dtp<< Who is he talking to?	Disai dii binoros dau?
>>dtp<< Why are you doing it?	Nokuro ko' mangan dilo?
>>dtp<< Why are you home now?	Nokuro ko' id walai do baino?
>>dtp<< Why did you tell Tom?	Nokuro tu pinopoli ko di Tom?
>>dtp<< You always lie to me.	Asaru ko' mongudut doho.
>>dtp<< You can come back in.	Milo' ko' koguli kagu monuang.
>>dtp<< You can come in here.	Milo' ko' korikot id hiti.
>>dtp<< You can head on home.	Milo' ko' muli walai.
>>dtp<< You can hold my hand.	Milo' ko' mongigit palad ku.
>>dtp<< You can ride with me.	Milo' ko' suminakai maya doho.
>>dtp<< You can stay in here.	Milo' ko' miyon hiti.
>>dtp<< You can stay with me.	Milo' ko' mangandad maya doho.
>>dtp<< You can stay with us.	Milo' ko' mangandad maya dahai.
>>dtp<< You can use my phone.	Milo' ko' momoguno puun ku.
>>dtp<< You've been infected.	Nokoroliu ko no.
>>dtp<< Your answer is wrong.	Amu kopunong sisimbar nu.
>>dtp<< Can you keep a secret?	Obuli ko' daa lumisok kaka ri?
>>dtp<< Do you believe in God?	Kotumbaya ko' nangku di kinorohingan?
>>dtp<< Don't keep me waiting.	Kada pologoso oku poingandad.
>>dtp<< Everybody believes it.	Ongotumbayaan i toinsanan.
>>dtp<< Everyone was drinking.	Moginum i tongulun ngawi.
>>dtp<< He also speaks French.	Yau nga mimboros Poransis.
>>dtp<< He understands French.	Karati yau boros Poransis.
>>dtp<< I can't come in today.	Au oku korikot baino.
>>dtp<< I can't open this jar.	Au oku milo ukaban dilo kakanan.
>>dtp<< I don't like roosters.	Au oku orohian do tandaha.
>>dtp<< I have a twin brother.	Kimiapid oku di kusai.
>>dtp<< I have to go to sleep.	Moi oku odop no koti.
>>dtp<< I know what you meant.	Oilaan ku do komoyon nu.
>>dtp<< I met your girlfriend.	Nokoruba oku di sumandak nu.
>>dtp<< I must finish my work.	Mositi oku do momongo karaja ku.
>>dtp<< I really like puppies.	Orohian oku no kopio do duku.
>>dtp<< I'll be out in a jiff.	Osiyau oku manau do tinu.
>>dtp<< I'm going to rest, OK?	Manu oku mundorong kio.
>>dtp<< I'm going to the mall.	Mongoi oku hilo'd supping.
>>dtp<< I'm not an only child.	Yoku okon' ko songulun tanak.
>>dtp<< Is your watch correct?	Otopot toi maso id jam nu?
>>dtp<< No tickets are needed.	Au tagal tikit.
>>dtp<< Thank you for calling.	Kotoluadan tu monolipoun.
>>dtp<< Thank you for sharing.	Kotuluadan tu piuhupan.
>>dtp<< Thank you for writing.	Kotoluadan do monurat.
>>dtp<< Thanks for the invite.	Kotoluadan tu pangalap.
>>dtp<< That serves you right.	Hondahoi, kotoh!
>>dtp<< The cow lost its calf.	Atagak no tampanak do sapi.
>>dtp<< Tom corrected himself.	Maan i Tom popunongo do sondiri.
>>dtp<< Tom eats very quickly.	Osikap tomod i Tom dumuom.
>>dtp<< Tom gave Mary a towel.	Manahak i Tom do kumut pinihid kumaa di Mary.
>>dtp<< Tom has a hairy chest.	Kihulu kangkab di Tom.
>>dtp<< Tom has been infected.	Nokoroliu i Tom.
>>dtp<< Tom has what he needs.	Haro nodi pokionuan di Tom.
>>dtp<< Tom is always healthy.	Olidas i Tom kasasari.
>>dtp<< Tom knows some French.	Koilo' i Tom mimboros Poransis do okuri-kuri.
>>dtp<< Tom pocketed the keys.	Monuang i Tom do kunsi id suang pakit.
>>dtp<< Tom teaches us French.	Monuduk i Tom dahai do boros Poransis.
>>dtp<< Tom's voice was clear.	Atalang no tuni di Tom.
>>dtp<< We're closed tomorrow.	Tobonon tokou suab.
>>dtp<< What did you do there?	Nunu maan nu dilo hodi?
>>dtp<< What you say is right.	Nunu nopo boros nu nga otopot.
>>dtp<< What's your last name?	Nunu o ngaran di tohuri nu?
>>dtp<< When is your birthday?	Soira tadau kinosusuon nu?
>>dtp<< Where is the bathroom?	Honggo kamar jamban?
>>dtp<< Where's everyone else?	Hinonggo toinsanan dii?
>>dtp<< Why did you come here?	Nokuro tu korikot ko' hiti?
>>dtp<< You and I are friends.	Mambalut kito.
>>dtp<< You and I should talk.	Pibarasan kito kama.
>>dtp<< All roads lead to Rome.	Wayaan ngawi gisom do bandar Rome.
>>dtp<< Did you bring the book?	Mongowit ko' do buuk?
>>dtp<< Do you translate songs?	Papadalin ko do sinding?
>>dtp<< Don't tell anyone that.	Kada sunudai toinsanan.
>>dtp<< Everything looked nice.	Osonong o kokitanan do ngawi.
>>dtp<< He's one of my in-laws.	Iyau no monongiwan ku.
>>dtp<< I can hear Tom's voice.	Korongou oku dot tuni di Tom.
>>dtp<< I don't speak Japanese.	Au oku mimboros Jipun.
>>dtp<< I should've known that.	Apatut oku daa oilaan dilo.
>>dtp<< I think I'll walk back.	Gumuli oku mamanau kangku daa.
>>dtp<< I was in the mountains.	Yoku id suang do nuluhon.
>>dtp<< I will gladly help you.	Otomon oku monguhup dika.
>>dtp<< I'm glad you called me.	Ounsikou oku tu luminohou ko' doho.
>>dtp<< I've never hit a woman.	Au oku bobogon montok tondu bo.
>>dtp<< Is your mother at home?	Kakal po tama nu id walai?
>>dtp<< It's a little late now.	A'adahan nodi baino.
>>dtp<< My GPS works very well.	Poimpanau o GPS ku.
>>dtp<< Spitting is prohibited.	Pogoduhan no dulaan.
>>dtp<< Stop talking about Tom.	Ula nodi boboroson kaka i Tom.
>>dtp<< That was not necessary.	Amu minog ih.
>>dtp<< That's a hard question.	Osusa’ ilo ponguhatan.
>>dtp<< That's very, very good.	Osonong-sonong tomod lo.
>>dtp<< There's no explanation.	Aiso o kotolinahasan.
>>dtp<< Tom needs your support.	Manu i Tom do sokodungon nu.
>>dtp<< Tom stopped everything.	Tuminingkod i Tom do ngawi.
>>dtp<< Tom understands French.	Karati i Tom mimboros Poransis.
>>dtp<< We're not finished yet.	Amu po naawi tokou.
>>dtp<< Where do you come from?	Hinonggo tadon nu?
>>dtp<< Who teaches you French?	Isai minonuduk dika mimboros Poransis?
>>dtp<< Why was I not informed?	Nokuro au isai sinunudan montok doho?
>>dtp<< Women share everything.	Maan i Tongondu pogiilang-ilangon.
>>dtp<< You can sit next to me.	Milo' ko' mirikau id ponong ku.
>>dtp<< Can I offer you a drink?	Obuli oku mamalanja dokoyu do tiinumon?
>>dtp<< Can we still be friends?	Monongkiambalut yahai?
>>dtp<< Did you read everything?	Nakabasa ko do ngawi?
>>dtp<< Do you have a cellphone?	Haro no himpun nu?
>>dtp<< Do you want me to leave?	Mumang ko doho iyadaan?
>>dtp<< Do you want to tell Tom?	Manu ko' popoilo kumaa di Tom?
>>dtp<< Don't forget the ticket.	Kada lihuai ongoi paganu dilo tikit kio.
>>dtp<< Don't forget your money.	Kada lihuai tusin nu.
>>dtp<< Don't you feel anything?	Au ko opurimanan do nunu?
>>dtp<< He is known to everyone.	Mintutun i tongulun ngawi kaka disio.
>>dtp<< I didn't want the money.	Mada oku do tusin.
>>dtp<< I go to school at seven.	Mongoi oku hilo'd sikul jaam koturu.
>>dtp<< I hate my mother-in-law.	Araatan oku di tiwanon ku.
>>dtp<< I have an ear infection.	Koroliu o tolingo ku.
>>dtp<< I thought you'd love it.	Andasan ku daa orohian ko' ti.
>>dtp<< I wasn't at Tom's party.	Au oku mongoi karamaian di Tom.
>>dtp<< I'll come back tomorrow.	Muli ku ndo suab.
>>dtp<< Please adopt this puppy.	Tamangai no iti duku.
>>dtp<< Please have a seat here.	Irikau hiti.
>>dtp<< Put the garbage outside.	Poopio ilo rinomos id labus.
>>dtp<< She doesn't like soccer.	Au isido orohian do mimbuul.
>>dtp<< She led a solitary life.	Kosongulunan koposion disido.
>>dtp<< Thank you for listening.	Kotoluadan tu kinarangahan.
>>dtp<< That's all I had to say.	Iti no kangku dii.
>>dtp<< They ate lunch together.	Mogiampot iyolo mangakan.
>>dtp<< They're always fighting.	Asaru iyolo mogisaap.
>>dtp<< This is as long as that.	Anaru iti miagal ko dilo.
>>dtp<< This would be a mistake.	Iri no nangku nasalaan ku.
>>dtp<< Tom gave me his address.	Minanahak i Tom doho disio kinoiyonon.
>>dtp<< Tom is in need of money.	Mumang i Tom do tusin.
>>dtp<< Tom took off right away.	Tumilombus i Tom do wayaan.
>>dtp<< Tom was shot in the arm.	Naantakan do longon di Tom o timbakan.
>>dtp<< What was Tom's reaction?	Ingkuro topurimanan di Tom?
>>dtp<< What's your middle name?	Nunu o ngaran di pintangaan nu?
>>dtp<< Where did I put my keys?	Hombo kunsi di pinoopi ku?
>>dtp<< Where do you want to go?	Hinonggo kopio tongoyon nu?
>>dtp<< Who wants to go hunting?	Isai manu moi pagasu?
>>dtp<< You and I are soulmates.	Miiso ginawo kito.
>>dtp<< You'd better be careful.	Mogot daa intang-intangan nu.
>>dtp<< You'll be my son-in-law.	Sumiliu ko' monongiwan ku.
>>dtp<< A light rain was falling.	Moris-poris no rasam.
>>dtp<< Do you believe in ghosts?	Kotumbaya ko' po nangku di rogon?
>>dtp<< Do you think Tom is ugly?	Araat o kokitanan di Tom?
>>dtp<< Don't let Tom use my car.	Kada pologoso i Tom sakayon do korita ku.
>>dtp<< Don't tell Tom the truth.	Kada posunudo kumaa di Tom do tootopot.
>>dtp<< Everyone knows about Tom.	Noilaan i toinsanan kaka di Tom.
>>dtp<< Everyone seeks happiness.	Mogihum toinsanan do kataadan.
>>dtp<< Get that thing off of me.	Insodu oku mantad dilo hodi.
>>dtp<< Have you ever had a baby?	Nokoumbal ko' minomogompi di baragang?
>>dtp<< He named his puppy Pooch.	Pungaranan isio do duku dau Pooch.
>>dtp<< He taught himself French.	Minsingilo' yau sondiri do boros Poransis.
>>dtp<< I can't live without you.	Mada oku daa poimpasi miampai aiso diya.
>>dtp<< I have no time for games.	Ingga no maso' ku do pamainan.
>>dtp<< I read the old documents.	Mambasa oku do dokumen talaid.
>>dtp<< I thought it was awesome.	Andasan ku daa om osonong ilo.
>>dtp<< I will explain it to her.	Poiloon ku ndo disido.
>>dtp<< I'll do everything I can.	Maan ku ndo nunu komilaan ku.
>>dtp<< I'll go tomorrow morning.	Mongoi oku doid kosuabon.
>>dtp<< I'm sorry she's not here.	Siou tu aiso isido hiti.
>>dtp<< I'm surprised to see you.	Kotigog oku do rumuba diya.
>>dtp<< I'm very glad to see you.	Tabi pintutunan kumaa dika.
>>dtp<< I've already accepted it.	Nakaramit oku dilo.
>>dtp<< I've got a few questions.	Haro piipiro uhoton ku.
>>dtp<< Is that as heavy as this?	Apagon ko ilo miagal diti?
>>dtp<< It'll never happen again.	Ingaa no kaantakan nodi.
>>dtp<< It's about time to start.	Otimpuun nodi maso'.
>>dtp<< It's our job to help you.	Iti nopo nga tugu-wangon dahai monguhup diya.
>>dtp<< It's time to say goodbye.	Mongoi oku no.
>>dtp<< It's your responsibility.	Iti nopo nga tonggungan nu.
>>dtp<< Let me check my calendar.	Mintong oku po kalandor ku.
>>dtp<< Let them know we're busy.	Poiloon iyolo kaka tokou dit atangkangau.
>>dtp<< Let's pretend we're busy.	Kanou maan tokou dot atangkangau nopo tinomod dahai.
>>dtp<< Listen to your wife, Tom.	Rongoho no sawo nu oi Tom.
>>dtp<< My aim is to be a doctor.	Iman-imanon ku nopo nga mongugusap.
>>dtp<< She goes to night school.	Mongoi iyau id sikul do totuong.
>>dtp<< Thank you for everything.	Kotoluadan do ngawi.
>>dtp<< That's a beautiful dress.	Olumis nopo rasuk dilo.
>>dtp<< That's all I want to say.	Iti no boros ku.
>>dtp<< The blood test is normal.	Kootusan nopo raha nga onomal.
>>dtp<< The book is on the table.	Ilo buuk id timpak do mija'.
>>dtp<< The puppy wants to sleep.	Siodop ilo duku.
>>dtp<< The sky is full of stars.	Ogumu rombituon id tawan.
>>dtp<< This book is about China.	Buuk nopo ti nga kokomoi pogun China.
>>dtp<< This is a green notebook.	Iti nopo nga buuk nota totomou.
>>dtp<< This is a powerful laser.	Iti nopo nga lasor tokuat.
>>dtp<< This is as large as that.	Agayo iti ko mantad dilo.
>>dtp<< This is probably for you.	Iti nopo montok diya kanto.
>>dtp<< Tom isn't very ambitious.	Aiso iman-imanon kopio i Tom.
>>dtp<< We haven't got much time.	Aiso maso tokou.
>>dtp<< We'll get another chance.	Manganu yahai do kosiwatan kawagu.
>>dtp<< What's your name, please?	Obuli ko daa sunudon do ngaran nu?
>>dtp<< Why don't you leave, Tom?	Nokuro tu amu ko' lumabus po oi Tom?
>>dtp<< You are absolutely right.	Otopot kopio kanu.
>>dtp<< You have a gum infection.	Oruol ngonsis ku.
>>dtp<< You're parked in my spot.	Noopian do padsakayan nu hodi onuan ku.
>>dtp<< Are you sure this is real?	Otopot ko diti?
>>dtp<< Could you take my picture?	Milo' ko onuai gambar ku?
>>dtp<< He knew the story already.	Noilaan iyau nodi do tangon.
>>dtp<< He seems to be in trouble.	Miagal do haro kobolingkangan iyau ih.
>>dtp<< He's sleeping like a baby.	Noodop yau miagal do baragang.
>>dtp<< I bet I know what's wrong.	Koilo' oku nunu nasalaan dii.
>>dtp<< I can't remember his name.	Au oku kosorou ngaran dau.
>>dtp<< I don't care much for Tom.	Au oku opusou di Tom.
